entry_id	entry_tier	entry_type	recognition_form	portable_value_de	teaching_rule_de
R-S	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	S	AUSWÄHLEN	Grundtafel: frei zusammensetzen.
R-CHD	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	CHD	UMSETZEN	Grundtafel: frei zusammensetzen.
R-OR	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	OR	SATZ	Grundtafel: frei zusammensetzen.
R-L	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	L	LEITEN	Grundtafel: frei zusammensetzen.
R-T	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	T	EINSTELLEN	Grundtafel: frei zusammensetzen.
R-AIN	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	AIN	EINHEIT	Grundtafel: frei zusammensetzen.
R-R	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	R	MARKIEREN	Grundtafel: frei zusammensetzen.
R-P	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	P	EINSETZEN	Grundtafel: frei zusammensetzen.
R-CTH	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	CTH	BEREIT	Grundtafel: frei zusammensetzen.
R-SHED	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	SHED	ABSETZEN	Grundtafel: frei zusammensetzen.
R-CKH	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	CKH	DURCHLASS	Grundtafel: frei zusammensetzen.
R-AM_ADDR	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	AM_ADDR	INNEN	Grundtafel: frei zusammensetzen.
R-CHEO	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	CHEO	AUSZUG	Grundtafel: frei zusammensetzen.
R-DA	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	DA	ZWEIT	Grundtafel: frei zusammensetzen.
R-CARRIER_Q	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	CARRIER_Q	BEGINNEN	Grundtafel: frei zusammensetzen.
R-A_ADDR	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	A_ADDR	ORT	Grundtafel: frei zusammensetzen.
R-AIR	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	AIR	LAUF	Grundtafel: frei zusammensetzen.
R-CHK	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	CHK	BEHANDELN	Grundtafel: frei zusammensetzen.
R-IIN	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	IIN	STUFE	Grundtafel: frei zusammensetzen.
R-S_ADDR	B_RARE_PRODUCTIVE_EXTENSION	ROOT_OR_LOCAL_SIGN	S_ADDR	STERNORT	Erweiterungstafel: nur in belegten Fachverbindungen verwenden.
R-SOLK	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	SOLK	AUFFANGEN	Grundtafel: frei zusammensetzen.
R-EEE	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	EEE	VOLL	Grundtafel: frei zusammensetzen.
R-LSH	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	LSH	SPÜLEN	Grundtafel: frei zusammensetzen.
R-LOCAL_CHAR_F	B_RARE_PRODUCTIVE_EXTENSION	ROOT_OR_LOCAL_SIGN	LOCAL_CHAR_F	NEBENWEG	Erweiterungstafel: nur in belegten Fachverbindungen verwenden.
R-CPH	B_RARE_PRODUCTIVE_EXTENSION	ROOT_OR_LOCAL_SIGN	CPH	UMLEITEN	Erweiterungstafel: nur in belegten Fachverbindungen verwenden.
R-HO	B_RARE_PRODUCTIVE_EXTENSION	ROOT_OR_LOCAL_SIGN	HO	TEILSTOFF	Erweiterungstafel: nur in belegten Fachverbindungen verwenden.
R-AN	B_RARE_PRODUCTIVE_EXTENSION	ROOT_OR_LOCAL_SIGN	AN	ZUSATZ	Erweiterungstafel: nur in belegten Fachverbindungen verwenden.
R-G_LABEL	B_RARE_PRODUCTIVE_EXTENSION	ROOT_OR_LOCAL_SIGN	G_LABEL	PRÜFEN	Erweiterungstafel: nur in belegten Fachverbindungen verwenden.
R-CFH	B_RARE_PRODUCTIVE_EXTENSION	ROOT_OR_LOCAL_SIGN	CFH	TRENNEN	Erweiterungstafel: nur in belegten Fachverbindungen verwenden.
R-LOCAL_CHAR_G	B_RARE_PRODUCTIVE_EXTENSION	ROOT_OR_LOCAL_SIGN	LOCAL_CHAR_G	EINMAL	Erweiterungstafel: nur in belegten Fachverbindungen verwenden.
R-LOCAL_CHAR_I	B_RARE_PRODUCTIVE_EXTENSION	ROOT_OR_LOCAL_SIGN	LOCAL_CHAR_I	UNTERSTUFE	Erweiterungstafel: nur in belegten Fachverbindungen verwenden.
R-OS	B_RARE_PRODUCTIVE_EXTENSION	ROOT_OR_LOCAL_SIGN	OS	DAZU	Erweiterungstafel: nur in belegten Fachverbindungen verwenden.
R-D_LABEL	B_RARE_PRODUCTIVE_EXTENSION	ROOT_OR_LOCAL_SIGN	D_LABEL	RAND	Erweiterungstafel: nur in belegten Fachverbindungen verwenden.
R-S_LABEL	D_LOCAL_DIAGRAM_SIGN	ROOT_OR_LOCAL_SIGN	S_LABEL	RAHMEN	Nur auf der lokalen Bild-/Diagrammtafel lernen; kein allgemeiner Wortstamm.
R-LOCAL_CHAR_B	B_RARE_PRODUCTIVE_EXTENSION	ROOT_OR_LOCAL_SIGN	LOCAL_CHAR_B	PAAR	Erweiterungstafel: nur in belegten Fachverbindungen verwenden.
R-M_LOCAL	B_RARE_PRODUCTIVE_EXTENSION	ROOT_OR_LOCAL_SIGN	M_LOCAL	MITTE	Erweiterungstafel: nur in belegten Fachverbindungen verwenden.
R-Z_ADDR	D_LOCAL_DIAGRAM_SIGN	ROOT_OR_LOCAL_SIGN	Z_ADDR	AUSSEN	Nur auf der lokalen Bild-/Diagrammtafel lernen; kein allgemeiner Wortstamm.
R-LD	B_RARE_PRODUCTIVE_EXTENSION	ROOT_OR_LOCAL_SIGN	LD	BEFESTIGEN	Erweiterungstafel: nur in belegten Fachverbindungen verwenden.
R-LOCAL_CHAR_J	B_RARE_PRODUCTIVE_EXTENSION	ROOT_OR_LOCAL_SIGN	LOCAL_CHAR_J	VERBINDEN	Erweiterungstafel: nur in belegten Fachverbindungen verwenden.
R-LOCAL_CHAR_Z	D_LOCAL_DIAGRAM_SIGN	ROOT_OR_LOCAL_SIGN	LOCAL_CHAR_Z	ZWISCHEN	Nur auf der lokalen Bild-/Diagrammtafel lernen; kein allgemeiner Wortstamm.
R-RESUME_CARD	B_RARE_PRODUCTIVE_EXTENSION	ROOT_OR_LOCAL_SIGN	RESUME_CARD	WIEDER	Erweiterungstafel: nur in belegten Fachverbindungen verwenden.
F001	C_LEARNED_FORMULA_CARD	FORMULA_CARD	CHD+Y	UMSETZEN · DIES	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F002	C_LEARNED_FORMULA_CARD	FORMULA_CARD	SHED+DY	ABSETZEN · SCHLIESSEN	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F003	C_LEARNED_FORMULA_CARD	FORMULA_CARD	OK+E+DY	SETZEN · KURZ · SCHLIESSEN	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F004	C_LEARNED_FORMULA_CARD	FORMULA_CARD	OK+EE+DY	SETZEN · LÄNGER · SCHLIESSEN	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F005	C_LEARNED_FORMULA_CARD	FORMULA_CARD	OK+Y	SETZEN · DIES	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F006	C_LEARNED_FORMULA_CARD	FORMULA_CARD	OK+AIN	SETZEN · EINHEIT	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F007	C_LEARNED_FORMULA_CARD	FORMULA_CARD	OK+EE+Y	SETZEN · LÄNGER · DIES	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F008	C_LEARNED_FORMULA_CARD	FORMULA_CARD	OK+AIIN	SETZEN · SOLLWERT	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F009	C_LEARNED_FORMULA_CARD	FORMULA_CARD	OK+AL	SETZEN · ZIEL	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F010	C_LEARNED_FORMULA_CARD	FORMULA_CARD	SH+E+Y	HALTEN · KURZ · DIES	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F011	C_LEARNED_FORMULA_CARD	FORMULA_CARD	OT+Y	DANACH · DIES	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F012	C_LEARNED_FORMULA_CARD	FORMULA_CARD	D_ADDR+AR	TEIL · QUELLE	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F013	C_LEARNED_FORMULA_CARD	FORMULA_CARD	OK+AR	SETZEN · QUELLE	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F014	C_LEARNED_FORMULA_CARD	FORMULA_CARD	SH+EE+Y	HALTEN · LÄNGER · DIES	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F015	C_LEARNED_FORMULA_CARD	FORMULA_CARD	L+CHD+DY	LEITEN · UMSETZEN · SCHLIESSEN	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F016	C_LEARNED_FORMULA_CARD	FORMULA_CARD	OT+AR	DANACH · QUELLE	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F017	C_LEARNED_FORMULA_CARD	FORMULA_CARD	OK+E+Y	SETZEN · KURZ · DIES	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F018	C_LEARNED_FORMULA_CARD	FORMULA_CARD	OL+DY	FORTSETZEN · SCHLIESSEN	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F019	C_LEARNED_FORMULA_CARD	FORMULA_CARD	CHEO+L	AUSZUG · LEITEN	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F020	C_LEARNED_FORMULA_CARD	FORMULA_CARD	CKH+Y	DURCHLASS · DIES	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F021	C_LEARNED_FORMULA_CARD	FORMULA_CARD	OT+E+DY	DANACH · KURZ · SCHLIESSEN	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F022	C_LEARNED_FORMULA_CARD	FORMULA_CARD	OT+EE+DY	DANACH · LÄNGER · SCHLIESSEN	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F023	C_LEARNED_FORMULA_CARD	FORMULA_CARD	OT+EE+Y	DANACH · LÄNGER · DIES	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F024	C_LEARNED_FORMULA_CARD	FORMULA_CARD	S+AR	AUSWÄHLEN · QUELLE	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F025	C_LEARNED_FORMULA_CARD	FORMULA_CARD	CTH+Y	BEREIT · DIES	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F026	C_LEARNED_FORMULA_CARD	FORMULA_CARD	OT+OR	DANACH · SATZ	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F027	C_LEARNED_FORMULA_CARD	FORMULA_CARD	S+AIIN	AUSWÄHLEN · SOLLWERT	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F035	C_LEARNED_FORMULA_CARD	FORMULA_CARD	OK+OL	SETZEN · FORTSETZEN	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F036	C_LEARNED_FORMULA_CARD	FORMULA_CARD	OL+Y	FORTSETZEN · DIES	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
F039	C_LEARNED_FORMULA_CARD	FORMULA_CARD	OT+AL	DANACH · ZIEL	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.
