pair_id	operator_frame	ar_recipe	ar_surface	ar_status	ar_reading_de	al_recipe	al_surface	al_status	al_reading_de	attested_counterpart_events	predicted_surface	already_active_prediction	decision
ARAL17	L+ADDRESS	L+AR	lar	ATTESTED	LEITEN · QUELLE	L+AL	lal	PREDICTION_ONLY	LEITEN · ZIELSTELLE	1	lal	YES	AR_SOURCE__AL_TARGET__SAME_OPERATOR_FRAME
ARAL18	L+ADDRESS+OR	L+AR+OR	ldaror	PREDICTION_ONLY	LEITEN · QUELLE · ANSATZ	L+AL+OR	ldalor	ATTESTED	LEITEN · ZIELSTELLE · ANSATZ	1	ldaror	NO	AR_SOURCE__AL_TARGET__SAME_OPERATOR_FRAME
ARAL19	OK+ADDRESS+Y	OK+AR+Y	qokary	PREDICTION_ONLY	ANSETZEN · QUELLE · POSTEN	OK+AL+Y	qokaly	ATTESTED	ANSETZEN · ZIELSTELLE · POSTEN	1	qokary	NO	AR_SOURCE__AL_TARGET__SAME_OPERATOR_FRAME
ARAL20	OK+EE+ADDRESS	OK+EE+AR	qokeedar	PREDICTION_ONLY	ANSETZEN · LANG · QUELLE	OK+EE+AL	qokeedal	ATTESTED	ANSETZEN · LANG · ZIELSTELLE	1	qokeedar	NO	AR_SOURCE__AL_TARGET__SAME_OPERATOR_FRAME
ARAL21	OL+ADDRESS+Y	OL+AR+Y	olsary	PREDICTION_ONLY	WEITER · QUELLE · POSTEN	OL+AL+Y	olsaly	ATTESTED	WEITER · ZIELSTELLE · POSTEN	1	olsary	NO	AR_SOURCE__AL_TARGET__SAME_OPERATOR_FRAME
ARAL22	P+CHD+ADDRESS	P+CHD+AR	pchedar	PREDICTION_ONLY	EINBRINGEN · UMSETZEN · QUELLE	P+CHD+AL	pchedal	ATTESTED	EINBRINGEN · UMSETZEN · ZIELSTELLE	1	pchedar	NO	AR_SOURCE__AL_TARGET__SAME_OPERATOR_FRAME
ARAL23	R+ADDRESS	R+AR	rar	PREDICTION_ONLY	KUEHLEN · QUELLE	R+AL	ral	ATTESTED	KUEHLEN · ZIELSTELLE	1	rar	NO	AR_SOURCE__AL_TARGET__SAME_OPERATOR_FRAME
ARAL24	R+ADDRESS+Y	R+AR+Y	rary	PREDICTION_ONLY	KUEHLEN · QUELLE · POSTEN	R+AL+Y	raly	ATTESTED	KUEHLEN · ZIELSTELLE · POSTEN	1	rary	NO	AR_SOURCE__AL_TARGET__SAME_OPERATOR_FRAME
ARAL25	R+SH+E+ADDRESS	R+SH+E+AR	rshear	PREDICTION_ONLY	KUEHLEN · HALTEN · KURZ · QUELLE	R+SH+E+AL	rsheal	ATTESTED	KUEHLEN · HALTEN · KURZ · ZIELSTELLE	1	rshear	NO	AR_SOURCE__AL_TARGET__SAME_OPERATOR_FRAME
ARAL26	SH+E+CKH+ADDRESS	SH+E+CKH+AR	sheckhar	PREDICTION_ONLY	HALTEN · KURZ · DURCHLASS · QUELLE	SH+E+CKH+AL	sheckhal	ATTESTED	HALTEN · KURZ · DURCHLASS · ZIELSTELLE	1	sheckhar	NO	AR_SOURCE__AL_TARGET__SAME_OPERATOR_FRAME
ARAL27	SH+O+ADDRESS	SH+O+AR	schoar	PREDICTION_ONLY	HALTEN · ARBEITSGANG · QUELLE	SH+O+AL	schoal	ATTESTED	HALTEN · ARBEITSGANG · ZIELSTELLE	1	schoar	NO	AR_SOURCE__AL_TARGET__SAME_OPERATOR_FRAME
