fragment_id	source_case	surviving_cards	source_positions	surface_fragment	card_fragment	matching_cases	matching_case_count	unique_case_recovery	owner_or_margin_needed	shared_commands_de	resolution_rule_de
C1_K4_10	C1	4	1|4|5|6	qokaiin qokal shey shedy	PROC038|PROC048|PROC031|PROC078	C1|C3	2	NO	YES	ANSETZEN · MASS / ANSETZEN · ZIEL / HALTEN · LANG · DIES / ABSETZEN; SCHLUSS	Bildbesitzer, Randmarke oder eine zusätzliche fallcharakteristische Karte verwenden
C2_K1_05	C2	1	5	qokal	PROC048	C1|C2|C3|C4	4	NO	YES	ANSETZEN · ZIEL	Bildbesitzer, Randmarke oder eine zusätzliche fallcharakteristische Karte verwenden
C3_K1_03	C3	1	3	qokaiin	PROC038	C1|C3|C4|C5	4	NO	YES	ANSETZEN · MASS	Bildbesitzer, Randmarke oder eine zusätzliche fallcharakteristische Karte verwenden
C3_K1_04	C3	1	4	qokal	PROC048	C1|C2|C3|C4	4	NO	YES	ANSETZEN · ZIEL	Bildbesitzer, Randmarke oder eine zusätzliche fallcharakteristische Karte verwenden
C3_K1_05	C3	1	5	shey	PROC031	C1|C3	2	NO	YES	HALTEN · LANG · DIES	Bildbesitzer, Randmarke oder eine zusätzliche fallcharakteristische Karte verwenden
C3_K1_06	C3	1	6	shedy	PROC078	C1|C3|C5	3	NO	YES	ABSETZEN; SCHLUSS	Bildbesitzer, Randmarke oder eine zusätzliche fallcharakteristische Karte verwenden
C3_K2_10	C3	2	3|4	qokaiin qokal	PROC038|PROC048	C1|C3|C4	3	NO	YES	ANSETZEN · MASS / ANSETZEN · ZIEL	Bildbesitzer, Randmarke oder eine zusätzliche fallcharakteristische Karte verwenden
C3_K2_11	C3	2	3|5	qokaiin shey	PROC038|PROC031	C1|C3	2	NO	YES	ANSETZEN · MASS / HALTEN · LANG · DIES	Bildbesitzer, Randmarke oder eine zusätzliche fallcharakteristische Karte verwenden
C3_K2_12	C3	2	3|6	qokaiin shedy	PROC038|PROC078	C1|C3|C5	3	NO	YES	ANSETZEN · MASS / ABSETZEN; SCHLUSS	Bildbesitzer, Randmarke oder eine zusätzliche fallcharakteristische Karte verwenden
C3_K2_13	C3	2	4|5	qokal shey	PROC048|PROC031	C1|C3	2	NO	YES	ANSETZEN · ZIEL / HALTEN · LANG · DIES	Bildbesitzer, Randmarke oder eine zusätzliche fallcharakteristische Karte verwenden
C3_K2_14	C3	2	4|6	qokal shedy	PROC048|PROC078	C1|C3	2	NO	YES	ANSETZEN · ZIEL / ABSETZEN; SCHLUSS	Bildbesitzer, Randmarke oder eine zusätzliche fallcharakteristische Karte verwenden
C3_K2_15	C3	2	5|6	shey shedy	PROC031|PROC078	C1|C3	2	NO	YES	HALTEN · LANG · DIES / ABSETZEN; SCHLUSS	Bildbesitzer, Randmarke oder eine zusätzliche fallcharakteristische Karte verwenden
C3_K3_17	C3	3	3|4|5	qokaiin qokal shey	PROC038|PROC048|PROC031	C1|C3	2	NO	YES	ANSETZEN · MASS / ANSETZEN · ZIEL / HALTEN · LANG · DIES	Bildbesitzer, Randmarke oder eine zusätzliche fallcharakteristische Karte verwenden
C3_K3_18	C3	3	3|4|6	qokaiin qokal shedy	PROC038|PROC048|PROC078	C1|C3	2	NO	YES	ANSETZEN · MASS / ANSETZEN · ZIEL / ABSETZEN; SCHLUSS	Bildbesitzer, Randmarke oder eine zusätzliche fallcharakteristische Karte verwenden
C3_K3_19	C3	3	3|5|6	qokaiin shey shedy	PROC038|PROC031|PROC078	C1|C3	2	NO	YES	ANSETZEN · MASS / HALTEN · LANG · DIES / ABSETZEN; SCHLUSS	Bildbesitzer, Randmarke oder eine zusätzliche fallcharakteristische Karte verwenden
C3_K3_20	C3	3	4|5|6	qokal shey shedy	PROC048|PROC031|PROC078	C1|C3	2	NO	YES	ANSETZEN · ZIEL / HALTEN · LANG · DIES / ABSETZEN; SCHLUSS	Bildbesitzer, Randmarke oder eine zusätzliche fallcharakteristische Karte verwenden
C3_K4_15	C3	4	3|4|5|6	qokaiin qokal shey shedy	PROC038|PROC048|PROC031|PROC078	C1|C3	2	NO	YES	ANSETZEN · MASS / ANSETZEN · ZIEL / HALTEN · LANG · DIES / ABSETZEN; SCHLUSS	Bildbesitzer, Randmarke oder eine zusätzliche fallcharakteristische Karte verwenden
C4_K1_01	C4	1	1	qokaiin	PROC038	C1|C3|C4|C5	4	NO	YES	ANSETZEN · MASS	Bildbesitzer, Randmarke oder eine zusätzliche fallcharakteristische Karte verwenden
C4_K1_04	C4	1	4	qokal	PROC048	C1|C2|C3|C4	4	NO	YES	ANSETZEN · ZIEL	Bildbesitzer, Randmarke oder eine zusätzliche fallcharakteristische Karte verwenden
C4_K2_03	C4	2	1|4	qokaiin qokal	PROC038|PROC048	C1|C3|C4	3	NO	YES	ANSETZEN · MASS / ANSETZEN · ZIEL	Bildbesitzer, Randmarke oder eine zusätzliche fallcharakteristische Karte verwenden
C5_K1_02	C5	1	2	qokaiin	PROC038	C1|C3|C4|C5	4	NO	YES	ANSETZEN · MASS	Bildbesitzer, Randmarke oder eine zusätzliche fallcharakteristische Karte verwenden
C5_K1_06	C5	1	6	shedy	PROC078	C1|C3|C5	3	NO	YES	ABSETZEN; SCHLUSS	Bildbesitzer, Randmarke oder eine zusätzliche fallcharakteristische Karte verwenden
C5_K2_09	C5	2	2|6	qokaiin shedy	PROC038|PROC078	C1|C3|C5	3	NO	YES	ANSETZEN · MASS / ABSETZEN; SCHLUSS	Bildbesitzer, Randmarke oder eine zusätzliche fallcharakteristische Karte verwenden
