selection_ordinal	register	gdt584_rule_id	carrier_root	carrier_root_signature	gdt587_context_family	gdt587_lemma_de	gdt587_object_form_de	gdt587_genitive_form_de	gdt587_packet_rule_id	assignment_count	host_count	page_count	pages	layer_profile	strict_type_mobility	example_carrier_slot_ids	guard
14	BIOLOGICAL	SH_BIO_BATHE	AIN	Y+AIN	BIOLOGICAL_PART_OR_PORTION	Anwendungsportion	die Anwendungsportion	der Anwendungsportion	DEFAULT_GDT584_OBJECT_COMPOSITION	3	3	2	f75r|f81r	RUNNING_ATOM	MULTI_PAGE	RUNNING:G407-E1432@1|RUNNING:G407-E1649@1|RUNNING:G407-E2779@2	OBSERVED_STRICT_SELECTION_SIGNATURE_ONLY
15	BIOLOGICAL	SH_BIO_BATHE	AIN	Y+AIN+OR	BIOLOGICAL_PART_OR_PORTION	Anwendungsportion	die Anwendungsportion	der Anwendungsportion	DEFAULT_GDT584_OBJECT_COMPOSITION	1	1	1	f75r	RUNNING_ATOM	SINGLE_PAGE	RUNNING:G407-E1604@2	OBSERVED_STRICT_SELECTION_SIGNATURE_ONLY
16	BIOLOGICAL	SH_BIO_BATHE	OR	OR	BIOLOGICAL_BATH_OR_STATION_UNIT	Badeinheit	die Badeinheit	der Badeinheit	DEFAULT_GDT584_OBJECT_COMPOSITION	6	6	4	f75r|f77r|f81r|f83r	RUNNING_ATOM	MULTI_PAGE	RUNNING:G407-E1503@3|RUNNING:G407-E1654@5|RUNNING:G407-E2530@2|RUNNING:G407-E2757@2|RUNNING:G407-E2880@3|RUNNING:G407-E3613@2	OBSERVED_STRICT_SELECTION_SIGNATURE_ONLY
17	BIOLOGICAL	SH_BIO_BATHE	OR	Y+AIN+OR	BIOLOGICAL_BATH_OR_STATION_UNIT	Badeinheit	die Badeinheit	der Badeinheit	DEFAULT_GDT584_OBJECT_COMPOSITION	1	1	1	f75r	RUNNING_ATOM	SINGLE_PAGE	RUNNING:G407-E1600@1	OBSERVED_STRICT_SELECTION_SIGNATURE_ONLY
18	BIOLOGICAL	SH_BIO_BATHE	OR	Y+OR	BIOLOGICAL_BATH_OR_STATION_UNIT	Badeinheit	die Badeinheit	der Badeinheit	DEFAULT_GDT584_OBJECT_COMPOSITION	4	3	2	f75r|f77r	RUNNING_ATOM	MULTI_PAGE	RUNNING:G407-E1611@4|RUNNING:G407-E1613@2|RUNNING:G407-E1794@2|RUNNING:G407-E2479@1	OBSERVED_STRICT_SELECTION_SIGNATURE_ONLY
19	BIOLOGICAL	SH_BIO_BATHE	Y	Y	BIOLOGICAL_BODY_OR_STATION	Körper	den Körper	des Körpers	DEFAULT_GDT584_OBJECT_COMPOSITION	51	48	6	f75r|f77r|f81r|f81v|f82r|f83r	RUNNING_ATOM	MULTI_PAGE	RUNNING:G407-E1455@3|RUNNING:G407-E1457@3|RUNNING:G407-E1459@3|RUNNING:G407-E1506@3|RUNNING:G407-E1526@3|RUNNING:G407-E1529@3	OBSERVED_STRICT_SELECTION_SIGNATURE_ONLY
20	BIOLOGICAL	SH_BIO_BATHE	Y	Y+AIIN	BIOLOGICAL_BODY_OR_STATION	Stationsansatz	den Stationsansatz	des Stationsansatzes	BIOLOGICAL_BATH_FILL	7	6	2	f77r|f82r	RUNNING_ATOM	MULTI_PAGE	RUNNING:G407-E2404@3|RUNNING:G407-E2509@3|RUNNING:G407-E2637@3|RUNNING:G407-E2653@2|RUNNING:G407-E3182@3|RUNNING:G407-E3341@6	OBSERVED_STRICT_SELECTION_SIGNATURE_ONLY
21	BIOLOGICAL	SH_BIO_BATHE	Y	Y	BIOLOGICAL_BODY_OR_STATION	Stationsansatz	den Stationsansatz	des Stationsansatzes	DEFAULT_GDT584_OBJECT_COMPOSITION	41	31	6	f75r|f77r|f81r|f81v|f82r|f83r	RUNNING_ATOM	MULTI_PAGE	RUNNING:G407-E1452@4|RUNNING:G407-E1574@6|RUNNING:G407-E1577@1|RUNNING:G407-E1711@4|RUNNING:G407-E2435@5|RUNNING:G407-E2469@3	OBSERVED_STRICT_SELECTION_SIGNATURE_ONLY
22	BIOLOGICAL	SH_BIO_BATHE	Y	Y+AIN	BIOLOGICAL_BODY_OR_STATION	Stationsansatz	den Stationsansatz	des Stationsansatzes	DEFAULT_GDT584_OBJECT_COMPOSITION	6	3	2	f75r|f81r	RUNNING_ATOM	MULTI_PAGE	RUNNING:G407-E1433@3|RUNNING:G407-E1434@2|RUNNING:G407-E1651@2|RUNNING:G407-E1653@2|RUNNING:G407-E2778@3|RUNNING:G407-E2780@2	OBSERVED_STRICT_SELECTION_SIGNATURE_ONLY
23	BIOLOGICAL	SH_BIO_BATHE	Y	Y+AIN+OR	BIOLOGICAL_BODY_OR_STATION	Stationsansatz	den Stationsansatz	des Stationsansatzes	DEFAULT_GDT584_OBJECT_COMPOSITION	4	1	1	f75r	RUNNING_ATOM	SINGLE_PAGE	RUNNING:G407-E1599@3|RUNNING:G407-E1601@1|RUNNING:G407-E1602@2|RUNNING:G407-E1604@1	OBSERVED_STRICT_SELECTION_SIGNATURE_ONLY
24	BIOLOGICAL	SH_BIO_BATHE	Y	Y+OR	BIOLOGICAL_BODY_OR_STATION	Stationsansatz	den Stationsansatz	des Stationsansatzes	DEFAULT_GDT584_OBJECT_COMPOSITION	3	3	2	f75r|f77r	RUNNING_ATOM	MULTI_PAGE	RUNNING:G407-E1611@1|RUNNING:G407-E1795@1|RUNNING:G407-E2476@4	OBSERVED_STRICT_SELECTION_SIGNATURE_ONLY
25	BIOLOGICAL	SH_REST_HOLD	AIIN	Y+AIIN	BIOLOGICAL_BATH_OR_STATION_MEASURE	Stationsmaß	das Stationsmaß	des Stationsmaßes	DEFAULT_GDT584_OBJECT_COMPOSITION	1	1	1	f76r	RUNNING_ATOM	SINGLE_PAGE	RUNNING:G407-E2240@1	OBSERVED_STRICT_SELECTION_SIGNATURE_ONLY
26	BIOLOGICAL	SH_REST_HOLD	AIN	AIN	BIOLOGICAL_PART_OR_PORTION	Anwendungsportion	die Anwendungsportion	der Anwendungsportion	DEFAULT_GDT584_OBJECT_COMPOSITION	1	1	1	f76r	RUNNING_ATOM	SINGLE_PAGE	RUNNING:G407-E1854@1	OBSERVED_STRICT_SELECTION_SIGNATURE_ONLY
27	BIOLOGICAL	SH_REST_HOLD	OR	Y+OR	BIOLOGICAL_BATH_OR_STATION_UNIT	Stationseinheit	die Stationseinheit	der Stationseinheit	DEFAULT_GDT584_OBJECT_COMPOSITION	1	1	1	f76r	RUNNING_ATOM	SINGLE_PAGE	RUNNING:G407-E2379@1	OBSERVED_STRICT_SELECTION_SIGNATURE_ONLY
28	BIOLOGICAL	SH_REST_HOLD	Y	Y	BIOLOGICAL_BODY_OR_STATION	Stationsansatz	den Stationsansatz	des Stationsansatzes	DEFAULT_GDT584_OBJECT_COMPOSITION	36	34	1	f76r	RUNNING_ATOM	SINGLE_PAGE	RUNNING:G407-E1835@5|RUNNING:G407-E1839@5|RUNNING:G407-E1840@6|RUNNING:G407-E1857@1|RUNNING:G407-E1857@4|RUNNING:G407-E1866@2	OBSERVED_STRICT_SELECTION_SIGNATURE_ONLY
29	BIOLOGICAL	SH_REST_HOLD	Y	Y+AIIN	BIOLOGICAL_BODY_OR_STATION	Stationsansatz	den Stationsansatz	des Stationsansatzes	DEFAULT_GDT584_OBJECT_COMPOSITION	2	1	1	f76r	RUNNING_ATOM	SINGLE_PAGE	RUNNING:G407-E2238@1|RUNNING:G407-E2241@1	OBSERVED_STRICT_SELECTION_SIGNATURE_ONLY
30	BIOLOGICAL	SH_REST_HOLD	Y	Y+OR	BIOLOGICAL_BODY_OR_STATION	Stationsansatz	den Stationsansatz	des Stationsansatzes	DEFAULT_GDT584_OBJECT_COMPOSITION	1	1	1	f76r	RUNNING_ATOM	SINGLE_PAGE	RUNNING:G407-E2378@3	OBSERVED_STRICT_SELECTION_SIGNATURE_ONLY
31	BIOLOGICAL	S_BIO_DIVERT	AIIN	AIIN	BIOLOGICAL_FLOW_PACKET	Mengenangabe	die Mengenangabe	der Mengenangabe	BIOLOGICAL_FLOW_PACKET	1	1	1	f77r	RUNNING_ATOM	SINGLE_PAGE	RUNNING:G407-E2667@1	OBSERVED_STRICT_SELECTION_SIGNATURE_ONLY
32	BIOLOGICAL	S_BIO_DIVERT	AIIN	AIIN+AIN	BIOLOGICAL_FLOW_PACKET	Mengenangabe	die Mengenangabe	der Mengenangabe	BIOLOGICAL_FLOW_PACKET	1	1	1	f76r	RUNNING_ATOM	SINGLE_PAGE	RUNNING:G407-E1968@1	OBSERVED_STRICT_SELECTION_SIGNATURE_ONLY
33	BIOLOGICAL	S_BIO_DIVERT	AIIN	AIIN+OR	BIOLOGICAL_FLOW_PACKET	Mengenangabe	die Mengenangabe	der Mengenangabe	BIOLOGICAL_FLOW_PACKET	1	1	1	f81r	RUNNING_ATOM	SINGLE_PAGE	RUNNING:G407-E2923@3	OBSERVED_STRICT_SELECTION_SIGNATURE_ONLY
34	BIOLOGICAL	S_BIO_DIVERT	AIIN	Y+AIIN+OR	BIOLOGICAL_FLOW_PACKET	Mengenangabe	die Mengenangabe	der Mengenangabe	BIOLOGICAL_FLOW_PACKET	1	1	1	f82r	RUNNING_ATOM	SINGLE_PAGE	RUNNING:G407-E3322@2	OBSERVED_STRICT_SELECTION_SIGNATURE_ONLY
35	BIOLOGICAL	S_BIO_DIVERT	AIN	AIIN+AIN	BIOLOGICAL_FLOW_PACKET	Teilmenge	die Teilmenge	der Teilmenge	BIOLOGICAL_FLOW_PACKET	1	1	1	f76r	RUNNING_ATOM	SINGLE_PAGE	RUNNING:G407-E1970@1	OBSERVED_STRICT_SELECTION_SIGNATURE_ONLY
36	BIOLOGICAL	S_BIO_DIVERT	AIN	AIN	BIOLOGICAL_FLOW_PACKET	Teilmenge	die Teilmenge	der Teilmenge	BIOLOGICAL_FLOW_PACKET	2	2	2	f75r|f76r	RUNNING_ATOM	MULTI_PAGE	RUNNING:G407-E1542@2|RUNNING:G407-E2224@2	OBSERVED_STRICT_SELECTION_SIGNATURE_ONLY
37	BIOLOGICAL	S_BIO_DIVERT	OR	AIIN+OR	BIOLOGICAL_FLOW_PACKET	Beckeninhalt	den Beckeninhalt	des Beckeninhalts	BIOLOGICAL_FLOW_PACKET	2	1	1	f81r	RUNNING_ATOM	SINGLE_PAGE	RUNNING:G407-E2922@1|RUNNING:G407-E2923@1	OBSERVED_STRICT_SELECTION_SIGNATURE_ONLY
38	BIOLOGICAL	S_BIO_DIVERT	OR	OR	BIOLOGICAL_FLOW_PACKET	Beckeninhalt	den Beckeninhalt	des Beckeninhalts	BIOLOGICAL_FLOW_PACKET	2	1	1	f82r	LOCAL_COMPONENT	SINGLE_PAGE	LOCAL_COMPONENT:P912-E1398@2|LOCAL_COMPONENT:P912-E1398@3	OBSERVED_STRICT_SELECTION_SIGNATURE_ONLY
39	BIOLOGICAL	S_BIO_DIVERT	OR	Y+AIIN+OR	BIOLOGICAL_FLOW_PACKET	Beckeninhalt	den Beckeninhalt	des Beckeninhalts	BIOLOGICAL_FLOW_PACKET	1	1	1	f82r	RUNNING_ATOM	SINGLE_PAGE	RUNNING:G407-E3323@1	OBSERVED_STRICT_SELECTION_SIGNATURE_ONLY
40	BIOLOGICAL	S_BIO_DIVERT	Y	Y	BIOLOGICAL_FLOW_PACKET	Strom	den Strom	des Stroms	BIOLOGICAL_FLOW_PACKET	6	5	3	f75r|f76r|f81r	RUNNING_ATOM	MULTI_PAGE	RUNNING:G407-E1589@2|RUNNING:G407-E1819@2|RUNNING:G407-E1935@2|RUNNING:G407-E2859@1|RUNNING:G407-E2860@2|RUNNING:G407-E2867@2	OBSERVED_STRICT_SELECTION_SIGNATURE_ONLY
41	BIOLOGICAL	S_BIO_DIVERT	Y	Y+AIIN+OR	BIOLOGICAL_FLOW_PACKET	Strom	den Strom	des Stroms	BIOLOGICAL_FLOW_PACKET	1	1	1	f82r	RUNNING_ATOM	SINGLE_PAGE	RUNNING:G407-E3323@2	OBSERVED_STRICT_SELECTION_SIGNATURE_ONLY
42	BIOLOGICAL	S_REST_SELECT	AIIN	AIIN	BIOLOGICAL_BATH_OR_STATION_MEASURE	Stationsmaß	das Stationsmaß	des Stationsmaßes	DEFAULT_GDT584_OBJECT_COMPOSITION	20	18	6	f75r|f76r|f77r|f81v|f82r|f83r	LOCAL_COMPONENT|RUNNING_ATOM	MULTI_PAGE	RUNNING:G407-E1556@2|RUNNING:G407-E1944@2|RUNNING:G407-E2305@2|RUNNING:G407-E2315@2|RUNNING:G407-E2316@2|RUNNING:G407-E2470@2	OBSERVED_STRICT_SELECTION_SIGNATURE_ONLY
43	BIOLOGICAL	S_REST_SELECT	AIIN	AIIN+AIN	BIOLOGICAL_BATH_OR_STATION_MEASURE	Stationsmaß	das Stationsmaß	des Stationsmaßes	DEFAULT_GDT584_OBJECT_COMPOSITION	1	1	1	f76r	RUNNING_ATOM	SINGLE_PAGE	RUNNING:G407-E2355@2	OBSERVED_STRICT_SELECTION_SIGNATURE_ONLY
44	BIOLOGICAL	S_REST_SELECT	AIIN	Y+AIIN	BIOLOGICAL_BATH_OR_STATION_MEASURE	Stationsmaß	das Stationsmaß	des Stationsmaßes	DEFAULT_GDT584_OBJECT_COMPOSITION	3	3	2	f77r|f82r	RUNNING_ATOM	MULTI_PAGE	RUNNING:G407-E2703@1|RUNNING:G407-E3300@1|RUNNING:G407-E3391@1	OBSERVED_STRICT_SELECTION_SIGNATURE_ONLY
45	BIOLOGICAL	S_REST_SELECT	AIIN	Y+AIIN+OR	BIOLOGICAL_BATH_OR_STATION_MEASURE	Stationsmaß	das Stationsmaß	des Stationsmaßes	DEFAULT_GDT584_OBJECT_COMPOSITION	1	1	1	f83r	RUNNING_ATOM	SINGLE_PAGE	RUNNING:G407-E3731@1	OBSERVED_STRICT_SELECTION_SIGNATURE_ONLY
46	BIOLOGICAL	S_REST_SELECT	AIN	AIIN+AIN	BIOLOGICAL_PART_OR_PORTION	Anwendungsportion	die Anwendungsportion	der Anwendungsportion	DEFAULT_GDT584_OBJECT_COMPOSITION	1	1	1	f76r	RUNNING_ATOM	SINGLE_PAGE	RUNNING:G407-E2354@2	OBSERVED_STRICT_SELECTION_SIGNATURE_ONLY
47	BIOLOGICAL	S_REST_SELECT	AIN	AIN	BIOLOGICAL_PART_OR_PORTION	Anwendungsportion	die Anwendungsportion	der Anwendungsportion	DEFAULT_GDT584_OBJECT_COMPOSITION	15	15	6	f75r|f76r|f77r|f81r|f82r|f83r	LOCAL_COMPONENT|RUNNING_ATOM	MULTI_PAGE	RUNNING:G407-E1553@2|RUNNING:G407-E1634@2|RUNNING:G407-E1638@2|RUNNING:G407-E1803@2|RUNNING:G407-E1842@2|RUNNING:G407-E2031@2	OBSERVED_STRICT_SELECTION_SIGNATURE_ONLY
48	BIOLOGICAL	S_REST_SELECT	AIN	Y+AIN	BIOLOGICAL_PART_OR_PORTION	Anwendungsportion	die Anwendungsportion	der Anwendungsportion	DEFAULT_GDT584_OBJECT_COMPOSITION	3	3	1	f76r	RUNNING_ATOM	SINGLE_PAGE	RUNNING:G407-E2124@2|RUNNING:G407-E2166@2|RUNNING:G407-E2377@2	OBSERVED_STRICT_SELECTION_SIGNATURE_ONLY
49	BIOLOGICAL	S_REST_SELECT	AIN	Y+AIN+OR	BIOLOGICAL_PART_OR_PORTION	Anwendungsportion	die Anwendungsportion	der Anwendungsportion	DEFAULT_GDT584_OBJECT_COMPOSITION	1	1	1	f81r	RUNNING_ATOM	SINGLE_PAGE	RUNNING:G407-E2813@2	OBSERVED_STRICT_SELECTION_SIGNATURE_ONLY
50	BIOLOGICAL	S_REST_SELECT	OR	OR	BIOLOGICAL_BATH_OR_STATION_UNIT	Stationseinheit	die Stationseinheit	der Stationseinheit	DEFAULT_GDT584_OBJECT_COMPOSITION	3	3	3	f76r|f81r|f83r	RUNNING_ATOM	MULTI_PAGE	RUNNING:G407-E2249@2|RUNNING:G407-E2908@2|RUNNING:G407-E3549@2	OBSERVED_STRICT_SELECTION_SIGNATURE_ONLY
51	BIOLOGICAL	S_REST_SELECT	OR	Y+AIIN+OR	BIOLOGICAL_BATH_OR_STATION_UNIT	Stationseinheit	die Stationseinheit	der Stationseinheit	DEFAULT_GDT584_OBJECT_COMPOSITION	1	1	1	f83r	RUNNING_ATOM	SINGLE_PAGE	RUNNING:G407-E3730@2	OBSERVED_STRICT_SELECTION_SIGNATURE_ONLY
52	BIOLOGICAL	S_REST_SELECT	OR	Y+AIN+OR	BIOLOGICAL_BATH_OR_STATION_UNIT	Stationseinheit	die Stationseinheit	der Stationseinheit	DEFAULT_GDT584_OBJECT_COMPOSITION	1	1	1	f81r	RUNNING_ATOM	SINGLE_PAGE	RUNNING:G407-E2813@1	OBSERVED_STRICT_SELECTION_SIGNATURE_ONLY
53	BIOLOGICAL	S_REST_SELECT	OR	Y+OR	BIOLOGICAL_BATH_OR_STATION_UNIT	Stationseinheit	die Stationseinheit	der Stationseinheit	DEFAULT_GDT584_OBJECT_COMPOSITION	2	2	2	f75r|f76r	RUNNING_ATOM	MULTI_PAGE	RUNNING:G407-E1486@2|RUNNING:G407-E2220@2	OBSERVED_STRICT_SELECTION_SIGNATURE_ONLY
54	BIOLOGICAL	S_REST_SELECT	Y	Y	BIOLOGICAL_BODY_OR_STATION	Stationsansatz	den Stationsansatz	des Stationsansatzes	DEFAULT_GDT584_OBJECT_COMPOSITION	8	8	4	f76r|f81r|f82r|f83r	LOCAL_COMPONENT|RUNNING_ATOM	MULTI_PAGE	RUNNING:G407-E1844@1|RUNNING:G407-E2279@2|RUNNING:G407-E2756@3|RUNNING:G407-E2771@4|RUNNING:G407-E2882@4|RUNNING:G407-E3356@4	OBSERVED_STRICT_SELECTION_SIGNATURE_ONLY
55	BIOLOGICAL	S_REST_SELECT	Y	Y+AIIN	BIOLOGICAL_BODY_OR_STATION	Stationsansatz	den Stationsansatz	des Stationsansatzes	DEFAULT_GDT584_OBJECT_COMPOSITION	3	3	2	f77r|f82r	RUNNING_ATOM	MULTI_PAGE	RUNNING:G407-E2702@3|RUNNING:G407-E3301@1|RUNNING:G407-E3392@3	OBSERVED_STRICT_SELECTION_SIGNATURE_ONLY
56	BIOLOGICAL	S_REST_SELECT	Y	Y+AIIN+OR	BIOLOGICAL_BODY_OR_STATION	Stationsansatz	den Stationsansatz	des Stationsansatzes	DEFAULT_GDT584_OBJECT_COMPOSITION	1	1	1	f83r	RUNNING_ATOM	SINGLE_PAGE	RUNNING:G407-E3732@1	OBSERVED_STRICT_SELECTION_SIGNATURE_ONLY
57	BIOLOGICAL	S_REST_SELECT	Y	Y+AIN	BIOLOGICAL_BODY_OR_STATION	Stationsansatz	den Stationsansatz	des Stationsansatzes	DEFAULT_GDT584_OBJECT_COMPOSITION	3	3	1	f76r	RUNNING_ATOM	SINGLE_PAGE	RUNNING:G407-E2125@1|RUNNING:G407-E2167@2|RUNNING:G407-E2376@1	OBSERVED_STRICT_SELECTION_SIGNATURE_ONLY
58	BIOLOGICAL	S_REST_SELECT	Y	Y+AIN+OR	BIOLOGICAL_BODY_OR_STATION	Stationsansatz	den Stationsansatz	des Stationsansatzes	DEFAULT_GDT584_OBJECT_COMPOSITION	2	1	1	f81r	RUNNING_ATOM	SINGLE_PAGE	RUNNING:G407-E2813@4|RUNNING:G407-E2814@1	OBSERVED_STRICT_SELECTION_SIGNATURE_ONLY
59	BIOLOGICAL	S_REST_SELECT	Y	Y+OR	BIOLOGICAL_BODY_OR_STATION	Stationsansatz	den Stationsansatz	des Stationsansatzes	DEFAULT_GDT584_OBJECT_COMPOSITION	3	2	2	f75r|f76r	RUNNING_ATOM	MULTI_PAGE	RUNNING:G407-E1487@1|RUNNING:G407-E2221@2|RUNNING:G407-E2222@1	OBSERVED_STRICT_SELECTION_SIGNATURE_ONLY
60	BIOLOGICAL	T_AFTER_SH_COOL	Y	Y	BIOLOGICAL_BODY_OR_STATION	Körper	den Körper	des Körpers	DEFAULT_GDT584_OBJECT_COMPOSITION	6	6	3	f75r|f77r|f81v	RUNNING_ATOM	MULTI_PAGE	RUNNING:G407-E1656@2|RUNNING:G407-E1742@4|RUNNING:G407-E1758@4|RUNNING:G407-E2452@4|RUNNING:G407-E2471@4|RUNNING:G407-E3109@5	OBSERVED_STRICT_SELECTION_SIGNATURE_ONLY
61	BIOLOGICAL	T_BIO_STATION_REGULATE	AIIN	AIIN	BIOLOGICAL_BATH_OR_STATION_MEASURE	Stationsmaß	das Stationsmaß	des Stationsmaßes	DEFAULT_GDT584_OBJECT_COMPOSITION	2	2	2	f77r|f82r	RUNNING_ATOM	MULTI_PAGE	RUNNING:G407-E2633@3|RUNNING:G407-E3440@2	OBSERVED_STRICT_SELECTION_SIGNATURE_ONLY
