mobility_ordinal	carrier_slot_id	primary_governor_key	statement_or_record_id	physical_page	layer	register	gdt584_rule_id	carrier_root	carrier_root_signature	gdt587_context_family	gdt587_lemma_de	gdt587_packet_rule_id	strict_exact_foreign_page_count	strict_exact_foreign_pages	same_action_root_foreign_page_count	same_action_root_foreign_pages	same_action_root_lemma_foreign_pages	same_register_root_foreign_page_count	same_register_root_foreign_pages	same_register_root_lemma_foreign_pages	cross_register_same_root_lemma_foreign_pages	transfer_tier	transfer_tier_short	tier_supporting_pages	foreign_example_carrier_slot_id	same_layer_transfer_tier	same_layer_supporting_pages	future_intake_action	guard
11	RUNNING:G407-E0027@5	ACTION:G407-E0027@2:T	G407-S001	f1r	RUNNING_ATOM	SOURCE_SECTION_T	T_SOURCE_FIX	Y	Y	SOURCE_ACTION_OBJECT	Arbeitsgut	DEFAULT_GDT584_OBJECT_COMPOSITION	1	f66r	1	f66r	f66r	1	f66r	f66r	f66r	EXACT_SELECTION_OTHER_PAGE	E	f66r	RUNNING:G515-E0320@4	EXACT_SELECTION_OTHER_PAGE	f66r	REUSE_EXACT_SELECTION_AND_PACKET	FOREIGN_PAGE_PROVENANCE_ONLY__NOT_INDEPENDENT_SEMANTIC_CONFIRMATION
12	RUNNING:G407-E0029@3	ACTION:G407-E0028@4:S	G407-S001	f1r	RUNNING_ATOM	SOURCE_SECTION_T	S_SOURCE_SORT_OUT	AIIN	Y+AIIN	SOURCE_LIQUID_OR_MEASURE	Arbeitsflüssigkeit	SOURCE_LIQUID_FROM_MATERIAL	0	NONE	1	f66r	f66r	1	f66r	f66r	f66r	SAME_ACTION_ROOT_LEMMA_OTHER_PAGE	C	f66r	RUNNING:G515-E0462@1	SAME_ACTION_ROOT_LEMMA_OTHER_PAGE	f66r	REUSE_ACTION_ROOT_LEMMA_REBUILD_PACKET_COUNTS	FOREIGN_PAGE_PROVENANCE_ONLY__NOT_INDEPENDENT_SEMANTIC_CONFIRMATION
13	RUNNING:G407-E0030@1	ACTION:G407-E0028@4:S	G407-S001	f1r	RUNNING_ATOM	SOURCE_SECTION_T	S_SOURCE_SORT_OUT	Y	Y+AIIN	SOURCE_ACTION_OBJECT	Arbeitsmaterial	SOURCE_LIQUID_FROM_MATERIAL	0	NONE	1	f66r	f66r	1	f66r	f66r	f66r	SAME_ACTION_ROOT_LEMMA_OTHER_PAGE	C	f66r	RUNNING:G515-E0480@2	SAME_ACTION_ROOT_LEMMA_OTHER_PAGE	f66r	REUSE_ACTION_ROOT_LEMMA_REBUILD_PACKET_COUNTS	FOREIGN_PAGE_PROVENANCE_ONLY__NOT_INDEPENDENT_SEMANTIC_CONFIRMATION
14	RUNNING:G407-E0032@3	ACTION:G407-E0031@1:S	G407-S001	f1r	RUNNING_ATOM	SOURCE_SECTION_T	S_SOURCE_SORT_OUT	Y	Y	SOURCE_ACTION_OBJECT	Arbeitsmaterial	DEFAULT_GDT584_OBJECT_COMPOSITION	1	f66r	1	f66r	f66r	1	f66r	f66r	f66r	EXACT_SELECTION_OTHER_PAGE	E	f66r	RUNNING:G515-E0480@2	EXACT_SELECTION_OTHER_PAGE	f66r	REUSE_EXACT_SELECTION_AND_PACKET	FOREIGN_PAGE_PROVENANCE_ONLY__NOT_INDEPENDENT_SEMANTIC_CONFIRMATION
15	RUNNING:G407-E0036@1	ACTION:G407-E0035@2:T	G407-S001	f1r	RUNNING_ATOM	SOURCE_SECTION_T	T_SOURCE_FIX	AIIN	AIIN	SOURCE_LIQUID_OR_MEASURE	Flüssigkeitsmenge	DEFAULT_GDT584_OBJECT_COMPOSITION	0	NONE	0	NONE	NONE	1	f66r	NONE	NONE	SAME_REGISTER_ROOT_OTHER_PAGE	R	f66r	RUNNING:G515-E0357@5	SAME_REGISTER_ROOT_OTHER_PAGE	f66r	USE_REGISTER_ROOT_FALLBACK_UNLESS_CELL_OBSERVED	FOREIGN_PAGE_PROVENANCE_ONLY__NOT_INDEPENDENT_SEMANTIC_CONFIRMATION
16	RUNNING:G407-E0041@1	ACTION:G407-E0040@1:S	G407-S001	f1r	RUNNING_ATOM	SOURCE_SECTION_T	S_SOURCE_SORT_OUT	Y	Y	SOURCE_ACTION_OBJECT	Arbeitsmaterial	DEFAULT_GDT584_OBJECT_COMPOSITION	1	f66r	1	f66r	f66r	1	f66r	f66r	f66r	EXACT_SELECTION_OTHER_PAGE	E	f66r	RUNNING:G515-E0480@2	EXACT_SELECTION_OTHER_PAGE	f66r	REUSE_EXACT_SELECTION_AND_PACKET	FOREIGN_PAGE_PROVENANCE_ONLY__NOT_INDEPENDENT_SEMANTIC_CONFIRMATION
17	RUNNING:G407-E0043@3	ACTION:G407-E0043@2:T	G407-S001	f1r	RUNNING_ATOM	SOURCE_SECTION_T	T_SOURCE_FIX	AIIN	AIIN	SOURCE_LIQUID_OR_MEASURE	Flüssigkeitsmenge	DEFAULT_GDT584_OBJECT_COMPOSITION	0	NONE	0	NONE	NONE	1	f66r	NONE	NONE	SAME_REGISTER_ROOT_OTHER_PAGE	R	f66r	RUNNING:G515-E0357@5	SAME_REGISTER_ROOT_OTHER_PAGE	f66r	USE_REGISTER_ROOT_FALLBACK_UNLESS_CELL_OBSERVED	FOREIGN_PAGE_PROVENANCE_ONLY__NOT_INDEPENDENT_SEMANTIC_CONFIRMATION
18	RUNNING:G407-E0046@1	ACTION:G407-E0046@6:SH	G407-S001	f1r	RUNNING_ATOM	SOURCE_SECTION_T	SH_SOURCE_REST	Y	Y	SOURCE_ACTION_OBJECT	Arbeitsmaterial	DEFAULT_GDT584_OBJECT_COMPOSITION	1	f66r	1	f66r	f66r	1	f66r	f66r	f66r	EXACT_SELECTION_OTHER_PAGE	E	f66r	RUNNING:G515-E0328@3	EXACT_SELECTION_OTHER_PAGE	f66r	REUSE_EXACT_SELECTION_AND_PACKET	FOREIGN_PAGE_PROVENANCE_ONLY__NOT_INDEPENDENT_SEMANTIC_CONFIRMATION
19	RUNNING:G407-E0046@7	ACTION:G407-E0046@6:SH	G407-S001	f1r	RUNNING_ATOM	SOURCE_SECTION_T	SH_SOURCE_REST	Y	Y	SOURCE_ACTION_OBJECT	Arbeitsmaterial	DEFAULT_GDT584_OBJECT_COMPOSITION	1	f66r	1	f66r	f66r	1	f66r	f66r	f66r	EXACT_SELECTION_OTHER_PAGE	E	f66r	RUNNING:G515-E0328@3	EXACT_SELECTION_OTHER_PAGE	f66r	REUSE_EXACT_SELECTION_AND_PACKET	FOREIGN_PAGE_PROVENANCE_ONLY__NOT_INDEPENDENT_SEMANTIC_CONFIRMATION
20	RUNNING:G407-E0054@5	ACTION:G407-E0054@1:SH	G407-S002	f1r	RUNNING_ATOM	SOURCE_SECTION_T	SH_SOURCE_REST	Y	Y	SOURCE_ACTION_OBJECT	Arbeitsmaterial	DEFAULT_GDT584_OBJECT_COMPOSITION	1	f66r	1	f66r	f66r	1	f66r	f66r	f66r	EXACT_SELECTION_OTHER_PAGE	E	f66r	RUNNING:G515-E0328@3	EXACT_SELECTION_OTHER_PAGE	f66r	REUSE_EXACT_SELECTION_AND_PACKET	FOREIGN_PAGE_PROVENANCE_ONLY__NOT_INDEPENDENT_SEMANTIC_CONFIRMATION
21	RUNNING:G407-E0055@1	ACTION:G407-E0055@2:SH	G407-S002	f1r	RUNNING_ATOM	SOURCE_SECTION_T	SH_SOURCE_REST	Y	Y	SOURCE_ACTION_OBJECT	Arbeitsmaterial	DEFAULT_GDT584_OBJECT_COMPOSITION	1	f66r	1	f66r	f66r	1	f66r	f66r	f66r	EXACT_SELECTION_OTHER_PAGE	E	f66r	RUNNING:G515-E0328@3	EXACT_SELECTION_OTHER_PAGE	f66r	REUSE_EXACT_SELECTION_AND_PACKET	FOREIGN_PAGE_PROVENANCE_ONLY__NOT_INDEPENDENT_SEMANTIC_CONFIRMATION
22	RUNNING:G407-E0055@4	ACTION:G407-E0055@2:SH	G407-S002	f1r	RUNNING_ATOM	SOURCE_SECTION_T	SH_SOURCE_REST	Y	Y	SOURCE_ACTION_OBJECT	Arbeitsmaterial	DEFAULT_GDT584_OBJECT_COMPOSITION	1	f66r	1	f66r	f66r	1	f66r	f66r	f66r	EXACT_SELECTION_OTHER_PAGE	E	f66r	RUNNING:G515-E0328@3	EXACT_SELECTION_OTHER_PAGE	f66r	REUSE_EXACT_SELECTION_AND_PACKET	FOREIGN_PAGE_PROVENANCE_ONLY__NOT_INDEPENDENT_SEMANTIC_CONFIRMATION
23	RUNNING:G407-E0059@5	ACTION:G407-E0059@4:T	G407-S003	f1r	RUNNING_ATOM	SOURCE_SECTION_T	T_SOURCE_FIX	Y	Y+AIN	SOURCE_ACTION_OBJECT	Arbeitsgut	SOURCE_PART_OF_MATERIAL	0	NONE	1	f66r	f66r	1	f66r	f66r	f66r	SAME_ACTION_ROOT_LEMMA_OTHER_PAGE	C	f66r	RUNNING:G515-E0320@4	SAME_ACTION_ROOT_LEMMA_OTHER_PAGE	f66r	REUSE_ACTION_ROOT_LEMMA_REBUILD_PACKET_COUNTS	FOREIGN_PAGE_PROVENANCE_ONLY__NOT_INDEPENDENT_SEMANTIC_CONFIRMATION
24	RUNNING:G407-E0061@1	ACTION:G407-E0059@4:T	G407-S003	f1r	RUNNING_ATOM	SOURCE_SECTION_T	T_SOURCE_FIX	Y	Y+AIN	SOURCE_ACTION_OBJECT	Arbeitsgut	SOURCE_PART_OF_MATERIAL	0	NONE	1	f66r	f66r	1	f66r	f66r	f66r	SAME_ACTION_ROOT_LEMMA_OTHER_PAGE	C	f66r	RUNNING:G515-E0320@4	SAME_ACTION_ROOT_LEMMA_OTHER_PAGE	f66r	REUSE_ACTION_ROOT_LEMMA_REBUILD_PACKET_COUNTS	FOREIGN_PAGE_PROVENANCE_ONLY__NOT_INDEPENDENT_SEMANTIC_CONFIRMATION
25	RUNNING:G407-E0062@1	ACTION:G407-E0059@4:T	G407-S003	f1r	RUNNING_ATOM	SOURCE_SECTION_T	T_SOURCE_FIX	AIN	Y+AIN	SOURCE_PART	Teilmenge	SOURCE_PART_OF_MATERIAL	0	NONE	0	NONE	NONE	0	NONE	NONE	f75r|f76r	PAGE_PRIVATE_REGISTER_ROOT	P	NONE	RUNNING:G407-E1542@2	PAGE_PRIVATE_REGISTER_ROOT	NONE	KEEP_CROSS_REGISTER_RIVAL_AND_PORTABLE_CORE	FOREIGN_PAGE_PROVENANCE_ONLY__NOT_INDEPENDENT_SEMANTIC_CONFIRMATION
26	RUNNING:G407-E0065@1	ACTION:G407-E0064@3:S	G407-S003	f1r	RUNNING_ATOM	SOURCE_SECTION_T	S_SOURCE_SORT_OUT	AIIN	AIIN	SOURCE_LIQUID_OR_MEASURE	Arbeitsflüssigkeit	DEFAULT_GDT584_OBJECT_COMPOSITION	1	f66r	1	f66r	f66r	1	f66r	f66r	f66r	EXACT_SELECTION_OTHER_PAGE	E	f66r	RUNNING:G515-E0462@1	EXACT_SELECTION_OTHER_PAGE	f66r	REUSE_EXACT_SELECTION_AND_PACKET	FOREIGN_PAGE_PROVENANCE_ONLY__NOT_INDEPENDENT_SEMANTIC_CONFIRMATION
27	RUNNING:G407-E0073@5	ACTION:G407-E0073@4:S	G407-S005	f1r	RUNNING_ATOM	SOURCE_SECTION_T	S_SOURCE_SORT_OUT	AIIN	AIIN	SOURCE_LIQUID_OR_MEASURE	Arbeitsflüssigkeit	DEFAULT_GDT584_OBJECT_COMPOSITION	1	f66r	1	f66r	f66r	1	f66r	f66r	f66r	EXACT_SELECTION_OTHER_PAGE	E	f66r	RUNNING:G515-E0462@1	EXACT_SELECTION_OTHER_PAGE	f66r	REUSE_EXACT_SELECTION_AND_PACKET	FOREIGN_PAGE_PROVENANCE_ONLY__NOT_INDEPENDENT_SEMANTIC_CONFIRMATION
28	RUNNING:G407-E0076@1	ACTION:G407-E0076@2:T	G407-S005	f1r	RUNNING_ATOM	SOURCE_SECTION_T	T_SOURCE_FIX	Y	Y+AIN	SOURCE_ACTION_OBJECT	Arbeitsgut	SOURCE_PART_OF_MATERIAL	0	NONE	1	f66r	f66r	1	f66r	f66r	f66r	SAME_ACTION_ROOT_LEMMA_OTHER_PAGE	C	f66r	RUNNING:G515-E0320@4	SAME_ACTION_ROOT_LEMMA_OTHER_PAGE	f66r	REUSE_ACTION_ROOT_LEMMA_REBUILD_PACKET_COUNTS	FOREIGN_PAGE_PROVENANCE_ONLY__NOT_INDEPENDENT_SEMANTIC_CONFIRMATION
29	RUNNING:G407-E0076@3	ACTION:G407-E0076@2:T	G407-S005	f1r	RUNNING_ATOM	SOURCE_SECTION_T	T_SOURCE_FIX	AIN	Y+AIN	SOURCE_PART	Teilmenge	SOURCE_PART_OF_MATERIAL	0	NONE	0	NONE	NONE	0	NONE	NONE	f75r|f76r	PAGE_PRIVATE_REGISTER_ROOT	P	NONE	RUNNING:G407-E1542@2	PAGE_PRIVATE_REGISTER_ROOT	NONE	KEEP_CROSS_REGISTER_RIVAL_AND_PORTABLE_CORE	FOREIGN_PAGE_PROVENANCE_ONLY__NOT_INDEPENDENT_SEMANTIC_CONFIRMATION
30	RUNNING:G407-E0077@4	ACTION:G407-E0077@3:SH	G407-S005	f1r	RUNNING_ATOM	SOURCE_SECTION_T	SH_SOURCE_REST	Y	Y	SOURCE_ACTION_OBJECT	Arbeitsmaterial	DEFAULT_GDT584_OBJECT_COMPOSITION	1	f66r	1	f66r	f66r	1	f66r	f66r	f66r	EXACT_SELECTION_OTHER_PAGE	E	f66r	RUNNING:G515-E0328@3	EXACT_SELECTION_OTHER_PAGE	f66r	REUSE_EXACT_SELECTION_AND_PACKET	FOREIGN_PAGE_PROVENANCE_ONLY__NOT_INDEPENDENT_SEMANTIC_CONFIRMATION
31	RUNNING:G407-E0081@4	ACTION:G407-E0081@2:SH	G407-S005	f1r	RUNNING_ATOM	SOURCE_SECTION_T	SH_SOURCE_REST	Y	Y	SOURCE_ACTION_OBJECT	Arbeitsmaterial	DEFAULT_GDT584_OBJECT_COMPOSITION	1	f66r	1	f66r	f66r	1	f66r	f66r	f66r	EXACT_SELECTION_OTHER_PAGE	E	f66r	RUNNING:G515-E0328@3	EXACT_SELECTION_OTHER_PAGE	f66r	REUSE_EXACT_SELECTION_AND_PACKET	FOREIGN_PAGE_PROVENANCE_ONLY__NOT_INDEPENDENT_SEMANTIC_CONFIRMATION
32	RUNNING:G407-E0085@4	ACTION:G407-E0085@1:SH	G407-S005	f1r	RUNNING_ATOM	SOURCE_SECTION_T	SH_SOURCE_REST	AIN	AIN	SOURCE_PART	Teilmenge	DEFAULT_GDT584_OBJECT_COMPOSITION	0	NONE	0	NONE	NONE	0	NONE	NONE	f75r|f76r	PAGE_PRIVATE_REGISTER_ROOT	P	NONE	RUNNING:G407-E1542@2	PAGE_PRIVATE_REGISTER_ROOT	NONE	KEEP_CROSS_REGISTER_RIVAL_AND_PORTABLE_CORE	FOREIGN_PAGE_PROVENANCE_ONLY__NOT_INDEPENDENT_SEMANTIC_CONFIRMATION
33	RUNNING:G407-E0088@3	ACTION:G407-E0088@1:SH	G407-S005	f1r	RUNNING_ATOM	SOURCE_SECTION_T	SH_SOURCE_REST	Y	Y	SOURCE_ACTION_OBJECT	Arbeitsmaterial	DEFAULT_GDT584_OBJECT_COMPOSITION	1	f66r	1	f66r	f66r	1	f66r	f66r	f66r	EXACT_SELECTION_OTHER_PAGE	E	f66r	RUNNING:G515-E0328@3	EXACT_SELECTION_OTHER_PAGE	f66r	REUSE_EXACT_SELECTION_AND_PACKET	FOREIGN_PAGE_PROVENANCE_ONLY__NOT_INDEPENDENT_SEMANTIC_CONFIRMATION
34	RUNNING:G407-E0092@5	ACTION:G407-E0092@7:S	G407-S005	f1r	RUNNING_ATOM	SOURCE_SECTION_T	S_SOURCE_SORT_OUT	AIIN	AIIN	SOURCE_LIQUID_OR_MEASURE	Arbeitsflüssigkeit	DEFAULT_GDT584_OBJECT_COMPOSITION	1	f66r	1	f66r	f66r	1	f66r	f66r	f66r	EXACT_SELECTION_OTHER_PAGE	E	f66r	RUNNING:G515-E0462@1	EXACT_SELECTION_OTHER_PAGE	f66r	REUSE_EXACT_SELECTION_AND_PACKET	FOREIGN_PAGE_PROVENANCE_ONLY__NOT_INDEPENDENT_SEMANTIC_CONFIRMATION
35	RUNNING:G407-E0093@4	ACTION:G407-E0093@2:T	G407-S005	f1r	RUNNING_ATOM	SOURCE_SECTION_T	T_SOURCE_FIX	Y	Y	SOURCE_ACTION_OBJECT	Arbeitsgut	DEFAULT_GDT584_OBJECT_COMPOSITION	1	f66r	1	f66r	f66r	1	f66r	f66r	f66r	EXACT_SELECTION_OTHER_PAGE	E	f66r	RUNNING:G515-E0320@4	EXACT_SELECTION_OTHER_PAGE	f66r	REUSE_EXACT_SELECTION_AND_PACKET	FOREIGN_PAGE_PROVENANCE_ONLY__NOT_INDEPENDENT_SEMANTIC_CONFIRMATION
36	RUNNING:G407-E0095@2	ACTION:G407-E0094@1:SH	G407-S005	f1r	RUNNING_ATOM	SOURCE_SECTION_T	SH_SOURCE_REST	AIN	AIIN+AIN	SOURCE_PART	Teilmenge	DEFAULT_GDT584_OBJECT_COMPOSITION	0	NONE	0	NONE	NONE	0	NONE	NONE	f75r|f76r	PAGE_PRIVATE_REGISTER_ROOT	P	NONE	RUNNING:G407-E1542@2	PAGE_PRIVATE_REGISTER_ROOT	NONE	KEEP_CROSS_REGISTER_RIVAL_AND_PORTABLE_CORE	FOREIGN_PAGE_PROVENANCE_ONLY__NOT_INDEPENDENT_SEMANTIC_CONFIRMATION
37	RUNNING:G407-E0097@1	ACTION:G407-E0094@1:SH	G407-S005	f1r	RUNNING_ATOM	SOURCE_SECTION_T	SH_SOURCE_REST	AIN	AIIN+AIN	SOURCE_PART	Teilmenge	DEFAULT_GDT584_OBJECT_COMPOSITION	0	NONE	0	NONE	NONE	0	NONE	NONE	f75r|f76r	PAGE_PRIVATE_REGISTER_ROOT	P	NONE	RUNNING:G407-E1542@2	PAGE_PRIVATE_REGISTER_ROOT	NONE	KEEP_CROSS_REGISTER_RIVAL_AND_PORTABLE_CORE	FOREIGN_PAGE_PROVENANCE_ONLY__NOT_INDEPENDENT_SEMANTIC_CONFIRMATION
38	RUNNING:G407-E0100@3	ACTION:G407-E0094@1:SH	G407-S005	f1r	RUNNING_ATOM	SOURCE_SECTION_T	SH_SOURCE_REST	AIIN	AIIN+AIN	SOURCE_LIQUID_OR_MEASURE	Arbeitsflüssigkeit	DEFAULT_GDT584_OBJECT_COMPOSITION	0	NONE	1	f66r	f66r	1	f66r	f66r	f66r	SAME_ACTION_ROOT_LEMMA_OTHER_PAGE	C	f66r	RUNNING:G515-E0357@5	SAME_ACTION_ROOT_LEMMA_OTHER_PAGE	f66r	REUSE_ACTION_ROOT_LEMMA_REBUILD_PACKET_COUNTS	FOREIGN_PAGE_PROVENANCE_ONLY__NOT_INDEPENDENT_SEMANTIC_CONFIRMATION
39	RUNNING:G407-E0102@2	ACTION:G407-E0102@1:CHD	G407-S005	f1r	RUNNING_ATOM	SOURCE_SECTION_T	CHD_REST_PROCESS	Y	Y	SOURCE_ACTION_OBJECT	Arbeitsmaterial	DEFAULT_GDT584_OBJECT_COMPOSITION	1	f66r	1	f66r	f66r	1	f66r	f66r	f66r	EXACT_SELECTION_OTHER_PAGE	E	f66r	RUNNING:G515-E0326@2	EXACT_SELECTION_OTHER_PAGE	f66r	REUSE_EXACT_SELECTION_AND_PACKET	FOREIGN_PAGE_PROVENANCE_ONLY__NOT_INDEPENDENT_SEMANTIC_CONFIRMATION
40	RUNNING:G407-E0105@3	ACTION:G407-E0105@2:T	G407-S005	f1r	RUNNING_ATOM	SOURCE_SECTION_T	T_SOURCE_FIX	Y	Y	SOURCE_ACTION_OBJECT	Arbeitsgut	DEFAULT_GDT584_OBJECT_COMPOSITION	1	f66r	1	f66r	f66r	1	f66r	f66r	f66r	EXACT_SELECTION_OTHER_PAGE	E	f66r	RUNNING:G515-E0320@4	EXACT_SELECTION_OTHER_PAGE	f66r	REUSE_EXACT_SELECTION_AND_PACKET	FOREIGN_PAGE_PROVENANCE_ONLY__NOT_INDEPENDENT_SEMANTIC_CONFIRMATION
