rule_gate_ordinal	rule_id	gate_class	parent_rule_id	action_root	registers	priority	selection_requirements	old_action_occurrence_count	old_carrier_slot_count	old_carrier_host_count	future_runtime_action	guard
29	S_REST_SELECT	AUTO_CONTEXT	S_REST_SELECT	S	SOURCE_SECTION_T|HERBAL|CELESTIAL|BIOLOGICAL|PHARMA	269	REGISTER_AND_ACTION_ROOT_ONLY	162	72	55	AUTO_SELECT_FROM_COMPLETE_HOST	FIXED_GDT583_RULE_GATE__NO_NEW_SURFACE_OR_ACTION_SENSE
30	CHD_HP_DRY_GRIND_CONFIRMED	MANUAL_GDT584_OVERRIDE	CHD_HP_DRY_GRIND	CHD	HERBAL	MANUAL_AFTER_GDT583	EXPLICIT_MANUAL_CONTEXT_OVERRIDE_REQUIRED	2	2	2	USE_PARENT_UNLESS_EXPLICIT_MANUAL_OVERRIDE	OLD_GDT584_OCCURRENCE_READING__NOT_AUTOMATIC_ON_NEW_PAGE
31	CHD_HP_MATERIAL_COMMINUTE	MANUAL_GDT584_OVERRIDE	CHD_HP_DRY_GRIND	CHD	HERBAL|PHARMA	MANUAL_AFTER_GDT583	EXPLICIT_MANUAL_CONTEXT_OVERRIDE_REQUIRED	16	18	16	USE_PARENT_UNLESS_EXPLICIT_MANUAL_OVERRIDE	OLD_GDT584_OCCURRENCE_READING__NOT_AUTOMATIC_ON_NEW_PAGE
32	CHD_HP_WET_EXTRACT_PROCESS	MANUAL_GDT584_OVERRIDE	CHD_REST_PROCESS	CHD	HERBAL|PHARMA	MANUAL_AFTER_GDT583	EXPLICIT_MANUAL_CONTEXT_OVERRIDE_REQUIRED	5	13	5	USE_PARENT_UNLESS_EXPLICIT_MANUAL_OVERRIDE	OLD_GDT584_OCCURRENCE_READING__NOT_AUTOMATIC_ON_NEW_PAGE
33	CHD_HP_WET_TRITURATE	MANUAL_GDT584_OVERRIDE	CHD_HP_DRY_GRIND	CHD	HERBAL|PHARMA	MANUAL_AFTER_GDT583	EXPLICIT_MANUAL_CONTEXT_OVERRIDE_REQUIRED	5	5	5	USE_PARENT_UNLESS_EXPLICIT_MANUAL_OVERRIDE	OLD_GDT584_OCCURRENCE_READING__NOT_AUTOMATIC_ON_NEW_PAGE
34	SH_HP_SETTLE_BEFORE_STRAIN	MANUAL_GDT584_OVERRIDE	SH_REST_HOLD	SH	HERBAL|PHARMA	MANUAL_AFTER_GDT583	EXPLICIT_MANUAL_CONTEXT_OVERRIDE_REQUIRED	8	4	3	USE_PARENT_UNLESS_EXPLICIT_MANUAL_OVERRIDE	OLD_GDT584_OCCURRENCE_READING__NOT_AUTOMATIC_ON_NEW_PAGE
35	SH_HP_UNIT_HOLD	MANUAL_GDT584_OVERRIDE	SH_HP_SOAK	SH	HERBAL|PHARMA	MANUAL_AFTER_GDT583	EXPLICIT_MANUAL_CONTEXT_OVERRIDE_REQUIRED	5	5	5	USE_PARENT_UNLESS_EXPLICIT_MANUAL_OVERRIDE	OLD_GDT584_OCCURRENCE_READING__NOT_AUTOMATIC_ON_NEW_PAGE
36	S_HP_SIEVE_DIRECT_PORTION	MANUAL_GDT584_OVERRIDE	S_HP_STRAIN	S	PHARMA	MANUAL_AFTER_GDT583	EXPLICIT_MANUAL_CONTEXT_OVERRIDE_REQUIRED	1	2	1	USE_PARENT_UNLESS_EXPLICIT_MANUAL_OVERRIDE	OLD_GDT584_OCCURRENCE_READING__NOT_AUTOMATIC_ON_NEW_PAGE
37	S_HP_STAGE_SEPARATE	MANUAL_GDT584_OVERRIDE	S_HP_SIEVE	S	HERBAL	MANUAL_AFTER_GDT583	EXPLICIT_MANUAL_CONTEXT_OVERRIDE_REQUIRED	1	1	1	USE_PARENT_UNLESS_EXPLICIT_MANUAL_OVERRIDE	OLD_GDT584_OCCURRENCE_READING__NOT_AUTOMATIC_ON_NEW_PAGE
38	S_HP_STRAIN_AFTER_WET_STEP	MANUAL_GDT584_OVERRIDE	S_HP_SIEVE	S	HERBAL|PHARMA	MANUAL_AFTER_GDT583	EXPLICIT_MANUAL_CONTEXT_OVERRIDE_REQUIRED	3	3	3	USE_PARENT_UNLESS_EXPLICIT_MANUAL_OVERRIDE	OLD_GDT584_OCCURRENCE_READING__NOT_AUTOMATIC_ON_NEW_PAGE
