matrix_ordinal	register	automatic_gdt583_rule_id	action_root	rule_priority	carrier_root	portable_core	matrix_state	observed_assignment_count	observed_host_count	observed_page_count	observed_pages	observed_lemmas_de	fallback_lemma_de	fallback_object_form_de	fallback_genitive_form_de	selection_requirements	guard
11	SOURCE_SECTION_T	SH_REST_HOLD	SH	169	AIN	ANTEIL	REGISTER_INVARIANT	0	0	0	NONE	NONE	Teilmenge	die Teilmenge	der Teilmenge	REGISTER_AND_ACTION_ROOT_ONLY	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
12	SOURCE_SECTION_T	SH_REST_HOLD	SH	169	OR	EINHEIT	REGISTER_INVARIANT	0	0	0	NONE	NONE	Ansatz	den Ansatz	des Ansatzes	REGISTER_AND_ACTION_ROOT_ONLY	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
13	SOURCE_SECTION_T	CHD_REST_PROCESS	CHD	199	Y	POSTEN	OBSERVED_CELL	12	12	2	f1r|f66r	Arbeitsmaterial	Arbeitsgut	das Arbeitsgut	des Arbeitsguts	REGISTER_AND_ACTION_ROOT_ONLY	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
14	SOURCE_SECTION_T	CHD_REST_PROCESS	CHD	199	AIIN	WERT	KEEP_BROAD	0	0	0	NONE	NONE	Flüssigkeitsmaß	das Flüssigkeitsmaß	des Flüssigkeitsmaßes	REGISTER_AND_ACTION_ROOT_ONLY	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
15	SOURCE_SECTION_T	CHD_REST_PROCESS	CHD	199	AIN	ANTEIL	REGISTER_INVARIANT	0	0	0	NONE	NONE	Teilmenge	die Teilmenge	der Teilmenge	REGISTER_AND_ACTION_ROOT_ONLY	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
16	SOURCE_SECTION_T	CHD_REST_PROCESS	CHD	199	OR	EINHEIT	REGISTER_INVARIANT	0	0	0	NONE	NONE	Ansatz	den Ansatz	des Ansatzes	REGISTER_AND_ACTION_ROOT_ONLY	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
17	SOURCE_SECTION_T	S_SOURCE_SORT_OUT	S	260	Y	POSTEN	OBSERVED_CELL	11	11	2	f1r|f66r	Arbeitsmaterial	Arbeitsgut	das Arbeitsgut	des Arbeitsguts	REGISTER_AND_ACTION_ROOT_ONLY	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
18	SOURCE_SECTION_T	S_SOURCE_SORT_OUT	S	260	AIIN	WERT	OBSERVED_CELL	7	6	2	f1r|f66r	Arbeitsflüssigkeit	Flüssigkeitsmaß	das Flüssigkeitsmaß	des Flüssigkeitsmaßes	REGISTER_AND_ACTION_ROOT_ONLY	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
19	SOURCE_SECTION_T	S_SOURCE_SORT_OUT	S	260	AIN	ANTEIL	REGISTER_INVARIANT	0	0	0	NONE	NONE	Teilmenge	die Teilmenge	der Teilmenge	REGISTER_AND_ACTION_ROOT_ONLY	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
20	SOURCE_SECTION_T	S_SOURCE_SORT_OUT	S	260	OR	EINHEIT	OBSERVED_CELL	1	1	1	f1r	Ansatz	Ansatz	den Ansatz	des Ansatzes	REGISTER_AND_ACTION_ROOT_ONLY	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
21	SOURCE_SECTION_T	S_REST_SELECT	S	269	Y	POSTEN	KEEP_BROAD	0	0	0	NONE	NONE	Arbeitsgut	das Arbeitsgut	des Arbeitsguts	REGISTER_AND_ACTION_ROOT_ONLY	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
22	SOURCE_SECTION_T	S_REST_SELECT	S	269	AIIN	WERT	KEEP_BROAD	0	0	0	NONE	NONE	Flüssigkeitsmaß	das Flüssigkeitsmaß	des Flüssigkeitsmaßes	REGISTER_AND_ACTION_ROOT_ONLY	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
23	SOURCE_SECTION_T	S_REST_SELECT	S	269	AIN	ANTEIL	REGISTER_INVARIANT	0	0	0	NONE	NONE	Teilmenge	die Teilmenge	der Teilmenge	REGISTER_AND_ACTION_ROOT_ONLY	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
24	SOURCE_SECTION_T	S_REST_SELECT	S	269	OR	EINHEIT	REGISTER_INVARIANT	0	0	0	NONE	NONE	Ansatz	den Ansatz	des Ansatzes	REGISTER_AND_ACTION_ROOT_ONLY	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
25	HERBAL	T_AFTER_SH_COOL	T	30	Y	POSTEN	OBSERVED_CELL	2	1	1	f11r	Pflanzenmaterial	Pflanzenmaterial	das Pflanzenmaterial	des Pflanzenmaterials	previous_actions=SH	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
26	HERBAL	T_AFTER_SH_COOL	T	30	AIIN	WERT	KEEP_BROAD	0	0	0	NONE	NONE	Pflanzenauszug	den Pflanzenauszug	des Pflanzenauszugs	previous_actions=SH	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
27	HERBAL	T_AFTER_SH_COOL	T	30	AIN	ANTEIL	REGISTER_INVARIANT	0	0	0	NONE	NONE	Pflanzenportion	die Pflanzenportion	der Pflanzenportion	previous_actions=SH	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
28	HERBAL	T_AFTER_SH_COOL	T	30	OR	EINHEIT	KEEP_BROAD	0	0	0	NONE	NONE	Pflanzen- oder Arbeitseinheit	die Pflanzen- oder Arbeitseinheit	der Pflanzen- oder Arbeitseinheit	previous_actions=SH	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
29	HERBAL	T_HP_BEFORE_CHD_DRY	T	40	Y	POSTEN	OBSERVED_CELL	1	1	1	f95v	Pflanzenmaterial	Pflanzenmaterial	das Pflanzenmaterial	des Pflanzenmaterials	next_actions=CHD	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
30	HERBAL	T_HP_BEFORE_CHD_DRY	T	40	AIIN	WERT	KEEP_BROAD	0	0	0	NONE	NONE	Pflanzenauszug	den Pflanzenauszug	des Pflanzenauszugs	next_actions=CHD	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
31	HERBAL	T_HP_BEFORE_CHD_DRY	T	40	AIN	ANTEIL	REGISTER_INVARIANT	0	0	0	NONE	NONE	Pflanzenportion	die Pflanzenportion	der Pflanzenportion	next_actions=CHD	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
32	HERBAL	T_HP_BEFORE_CHD_DRY	T	40	OR	EINHEIT	KEEP_BROAD	0	0	0	NONE	NONE	Pflanzen- oder Arbeitseinheit	die Pflanzen- oder Arbeitseinheit	der Pflanzen- oder Arbeitseinheit	next_actions=CHD	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
33	HERBAL	T_HP_BEFORE_SH_WARM	T	50	Y	POSTEN	OBSERVED_CELL	1	1	1	f95v	Pflanzenmaterial	Pflanzenmaterial	das Pflanzenmaterial	des Pflanzenmaterials	next_actions=SH	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
34	HERBAL	T_HP_BEFORE_SH_WARM	T	50	AIIN	WERT	KEEP_BROAD	0	0	0	NONE	NONE	Pflanzenauszug	den Pflanzenauszug	des Pflanzenauszugs	next_actions=SH	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
35	HERBAL	T_HP_BEFORE_SH_WARM	T	50	AIN	ANTEIL	REGISTER_INVARIANT	0	0	0	NONE	NONE	Pflanzenportion	die Pflanzenportion	der Pflanzenportion	next_actions=SH	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
36	HERBAL	T_HP_BEFORE_SH_WARM	T	50	OR	EINHEIT	OBSERVED_CELL	1	1	1	f13r	Pflanzenansatz	Pflanzen- oder Arbeitseinheit	die Pflanzen- oder Arbeitseinheit	der Pflanzen- oder Arbeitseinheit	next_actions=SH	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
37	HERBAL	T_PHYSICAL_GRADE_TEMPER	T	60	Y	POSTEN	OBSERVED_CELL	10	9	8	f10r|f17r|f20v|f24v|f31r|f4r|f55v|f95v	Pflanzenmaterial	Pflanzenmaterial	das Pflanzenmaterial	des Pflanzenmaterials	direct_any=E,EE,EEE	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
38	HERBAL	T_PHYSICAL_GRADE_TEMPER	T	60	AIIN	WERT	KEEP_BROAD	0	0	0	NONE	NONE	Pflanzenauszug	den Pflanzenauszug	des Pflanzenauszugs	direct_any=E,EE,EEE	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
39	HERBAL	T_PHYSICAL_GRADE_TEMPER	T	60	AIN	ANTEIL	OBSERVED_CELL	1	1	1	f95v	Pflanzenportion	Pflanzenportion	die Pflanzenportion	der Pflanzenportion	direct_any=E,EE,EEE	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
40	HERBAL	T_PHYSICAL_GRADE_TEMPER	T	60	OR	EINHEIT	OBSERVED_CELL	1	1	1	f10r	Pflanzenansatz	Pflanzen- oder Arbeitseinheit	die Pflanzen- oder Arbeitseinheit	der Pflanzen- oder Arbeitseinheit	direct_any=E,EE,EEE	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
41	HERBAL	T_HP_FORM_SET	T	70	Y	POSTEN	OBSERVED_CELL	7	5	4	f10r|f11r|f4r|f55v	Pflanzenmaterial	Pflanzenmaterial	das Pflanzenmaterial	des Pflanzenmaterials	direct_any=O,IIN,DA	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
42	HERBAL	T_HP_FORM_SET	T	70	AIIN	WERT	KEEP_BROAD	0	0	0	NONE	NONE	Pflanzenauszug	den Pflanzenauszug	des Pflanzenauszugs	direct_any=O,IIN,DA	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
43	HERBAL	T_HP_FORM_SET	T	70	AIN	ANTEIL	REGISTER_INVARIANT	0	0	0	NONE	NONE	Pflanzenportion	die Pflanzenportion	der Pflanzenportion	direct_any=O,IIN,DA	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
44	HERBAL	T_HP_FORM_SET	T	70	OR	EINHEIT	OBSERVED_CELL	2	2	2	f10r|f11r	Arbeitseinheit	Pflanzen- oder Arbeitseinheit	die Pflanzen- oder Arbeitseinheit	der Pflanzen- oder Arbeitseinheit	direct_any=O,IIN,DA	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
45	HERBAL	T_HP_MEASURE_SET	T	90	Y	POSTEN	OBSERVED_CELL	2	1	1	f10r	Pflanzenmaterial	Pflanzenmaterial	das Pflanzenmaterial	des Pflanzenmaterials	direct_any=AIIN,AIN,OR,AL,AR,L,AIR,A_ADDR,D_ADDR,S_ADDR;direct_none=Y	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
46	HERBAL	T_HP_MEASURE_SET	T	90	AIIN	WERT	OBSERVED_CELL	5	5	3	f10r|f18r|f95v	Auszugsmenge	Pflanzenauszug	den Pflanzenauszug	des Pflanzenauszugs	direct_any=AIIN,AIN,OR,AL,AR,L,AIR,A_ADDR,D_ADDR,S_ADDR;direct_none=Y	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
47	HERBAL	T_HP_MEASURE_SET	T	90	AIN	ANTEIL	REGISTER_INVARIANT	0	0	0	NONE	NONE	Pflanzenportion	die Pflanzenportion	der Pflanzenportion	direct_any=AIIN,AIN,OR,AL,AR,L,AIR,A_ADDR,D_ADDR,S_ADDR;direct_none=Y	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
48	HERBAL	T_HP_MEASURE_SET	T	90	OR	EINHEIT	OBSERVED_CELL	3	3	2	f10r|f18r	Arbeitseinheit	Pflanzen- oder Arbeitseinheit	die Pflanzen- oder Arbeitseinheit	der Pflanzen- oder Arbeitseinheit	direct_any=AIIN,AIN,OR,AL,AR,L,AIR,A_ADDR,D_ADDR,S_ADDR;direct_none=Y	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
49	HERBAL	T_PHYSICAL_BROAD	T	99	Y	POSTEN	OBSERVED_CELL	79	57	12	f10r|f11r|f13r|f17r|f18r|f20v|f24v|f31r|f4r|f55v|f56r|f95v	Pflanzenmaterial	Pflanzenmaterial	das Pflanzenmaterial	des Pflanzenmaterials	REGISTER_AND_ACTION_ROOT_ONLY	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
50	HERBAL	T_PHYSICAL_BROAD	T	99	AIIN	WERT	OBSERVED_CELL	11	10	5	f10r|f18r|f20v|f4r|f55v	Pflanzenauszug	Pflanzenauszug	den Pflanzenauszug	des Pflanzenauszugs	REGISTER_AND_ACTION_ROOT_ONLY	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
51	HERBAL	T_PHYSICAL_BROAD	T	99	AIN	ANTEIL	OBSERVED_CELL	2	2	2	f10r|f55v	Pflanzenportion	Pflanzenportion	die Pflanzenportion	der Pflanzenportion	REGISTER_AND_ACTION_ROOT_ONLY	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
52	HERBAL	T_PHYSICAL_BROAD	T	99	OR	EINHEIT	OBSERVED_CELL	8	7	6	f10r|f11r|f13r|f18r|f55v|f95v	Pflanzenansatz	Pflanzen- oder Arbeitseinheit	die Pflanzen- oder Arbeitseinheit	der Pflanzen- oder Arbeitseinheit	REGISTER_AND_ACTION_ROOT_ONLY	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
53	HERBAL	SH_HP_EXTRACT_STEEP	SH	140	Y	POSTEN	OBSERVED_CELL	4	4	3	f11r|f20v|f95v	Pflanzenmaterial	Pflanzenmaterial	das Pflanzenmaterial	des Pflanzenmaterials	host_any=AIIN	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
54	HERBAL	SH_HP_EXTRACT_STEEP	SH	140	AIIN	WERT	OBSERVED_CELL	10	10	5	f11r|f13r|f18r|f20v|f95v	Pflanzenauszug	Pflanzenauszug	den Pflanzenauszug	des Pflanzenauszugs	host_any=AIIN	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
55	HERBAL	SH_HP_EXTRACT_STEEP	SH	140	AIN	ANTEIL	OBSERVED_CELL	1	1	1	f95v	Pflanzenportion	Pflanzenportion	die Pflanzenportion	der Pflanzenportion	host_any=AIIN	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
56	HERBAL	SH_HP_EXTRACT_STEEP	SH	140	OR	EINHEIT	OBSERVED_CELL	2	2	2	f20v|f95v	Pflanzeneinheit	Pflanzen- oder Arbeitseinheit	die Pflanzen- oder Arbeitseinheit	der Pflanzen- oder Arbeitseinheit	host_any=AIIN	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
57	HERBAL	SH_HP_SOAK	SH	150	Y	POSTEN	OBSERVED_CELL	20	19	7	f11r|f13r|f20v|f24v|f31r|f4r|f95v	Pflanzenmaterial	Pflanzenmaterial	das Pflanzenmaterial	des Pflanzenmaterials	host_any_groups=Y/AIN/OR+E/EE/EEE/O/IIN/LOCAL_CHAR_F	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
58	HERBAL	SH_HP_SOAK	SH	150	AIIN	WERT	KEEP_BROAD	0	0	0	NONE	NONE	Pflanzenauszug	den Pflanzenauszug	des Pflanzenauszugs	host_any_groups=Y/AIN/OR+E/EE/EEE/O/IIN/LOCAL_CHAR_F	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
59	HERBAL	SH_HP_SOAK	SH	150	AIN	ANTEIL	OBSERVED_CELL	1	1	1	f95v	Pflanzenportion	Pflanzenportion	die Pflanzenportion	der Pflanzenportion	host_any_groups=Y/AIN/OR+E/EE/EEE/O/IIN/LOCAL_CHAR_F	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
60	HERBAL	SH_HP_SOAK	SH	150	OR	EINHEIT	OBSERVED_CELL	2	2	2	f13r|f4r	Pflanzeneinheit	Pflanzen- oder Arbeitseinheit	die Pflanzen- oder Arbeitseinheit	der Pflanzen- oder Arbeitseinheit	host_any_groups=Y/AIN/OR+E/EE/EEE/O/IIN/LOCAL_CHAR_F	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
61	HERBAL	SH_REST_HOLD	SH	169	Y	POSTEN	OBSERVED_CELL	9	8	5	f13r|f18r|f20v|f4r|f95v	Pflanzenmaterial	Pflanzenmaterial	das Pflanzenmaterial	des Pflanzenmaterials	REGISTER_AND_ACTION_ROOT_ONLY	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
62	HERBAL	SH_REST_HOLD	SH	169	AIIN	WERT	KEEP_BROAD	0	0	0	NONE	NONE	Pflanzenauszug	den Pflanzenauszug	des Pflanzenauszugs	REGISTER_AND_ACTION_ROOT_ONLY	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
63	HERBAL	SH_REST_HOLD	SH	169	AIN	ANTEIL	OBSERVED_CELL	2	2	2	f20v|f4r	Pflanzenportion	Pflanzenportion	die Pflanzenportion	der Pflanzenportion	REGISTER_AND_ACTION_ROOT_ONLY	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
64	HERBAL	SH_REST_HOLD	SH	169	OR	EINHEIT	OBSERVED_CELL	13	13	9	f10r|f11r|f13r|f17r|f18r|f20v|f31r|f4r|f95v	Pflanzeneinheit	Pflanzen- oder Arbeitseinheit	die Pflanzen- oder Arbeitseinheit	der Pflanzen- oder Arbeitseinheit	REGISTER_AND_ACTION_ROOT_ONLY	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
65	HERBAL	CHD_HP_DRY_GRIND	CHD	190	Y	POSTEN	REGISTER_INVARIANT	0	0	0	NONE	NONE	Pflanzenmaterial	das Pflanzenmaterial	des Pflanzenmaterials	host_any=Y,AIN,OR,LOCAL_CHAR_F;host_none=AIIN	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
66	HERBAL	CHD_HP_DRY_GRIND	CHD	190	AIIN	WERT	KEEP_BROAD	0	0	0	NONE	NONE	Pflanzenauszug	den Pflanzenauszug	des Pflanzenauszugs	host_any=Y,AIN,OR,LOCAL_CHAR_F;host_none=AIIN	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
67	HERBAL	CHD_HP_DRY_GRIND	CHD	190	AIN	ANTEIL	REGISTER_INVARIANT	0	0	0	NONE	NONE	Pflanzenportion	die Pflanzenportion	der Pflanzenportion	host_any=Y,AIN,OR,LOCAL_CHAR_F;host_none=AIIN	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
68	HERBAL	CHD_HP_DRY_GRIND	CHD	190	OR	EINHEIT	KEEP_BROAD	0	0	0	NONE	NONE	Pflanzen- oder Arbeitseinheit	die Pflanzen- oder Arbeitseinheit	der Pflanzen- oder Arbeitseinheit	host_any=Y,AIN,OR,LOCAL_CHAR_F;host_none=AIIN	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
69	HERBAL	CHD_REST_PROCESS	CHD	199	Y	POSTEN	REGISTER_INVARIANT	0	0	0	NONE	NONE	Pflanzenmaterial	das Pflanzenmaterial	des Pflanzenmaterials	REGISTER_AND_ACTION_ROOT_ONLY	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
70	HERBAL	CHD_REST_PROCESS	CHD	199	AIIN	WERT	OBSERVED_CELL	5	4	2	f31r|f95v	Pflanzenauszug	Pflanzenauszug	den Pflanzenauszug	des Pflanzenauszugs	REGISTER_AND_ACTION_ROOT_ONLY	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
71	HERBAL	CHD_REST_PROCESS	CHD	199	AIN	ANTEIL	OBSERVED_CELL	1	1	1	f95v	Pflanzenportion	Pflanzenportion	die Pflanzenportion	der Pflanzenportion	REGISTER_AND_ACTION_ROOT_ONLY	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
72	HERBAL	CHD_REST_PROCESS	CHD	199	OR	EINHEIT	KEEP_BROAD	0	0	0	NONE	NONE	Pflanzen- oder Arbeitseinheit	die Pflanzen- oder Arbeitseinheit	der Pflanzen- oder Arbeitseinheit	REGISTER_AND_ACTION_ROOT_ONLY	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
73	HERBAL	S_HP_STRAIN	S	230	Y	POSTEN	OBSERVED_CELL	2	2	2	f11r|f31r	Pflanzenmaterial	Pflanzenmaterial	das Pflanzenmaterial	des Pflanzenmaterials	host_any=AIIN	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
