dictionary_ordinal	lock_key	surface	occurrence_count	physical_pages	final_working_recipe	literal_reading_de	old_working_phrase_de	controlled_order_reading_de	canonical_workshop_phrase_de	phrase_template	phrase_repair_status	atom_count	portable_atom_count	structural_or_local_atom_count	action_slot_count	argument_slot_count	all_slots_explicit	exact_recipe_roundtrip	special_route	route_class	route_source	resolution_status	lock_scope	local_record_policy	guard
11	PROSE_STREAM|cheda	cheda	1	f31r	CHD+A_ADDR	BEARBEITEN · [A_ADDR:STEUERUNG=HIER]	INHERITED	bearbeiten → [hier: A-Adresse].	Bearbeiten; hier.	ACTION_NO_ARGUMENT	FILLED_INHERITED_PLACEHOLDER	2	1	1	1	0	YES	CHD+A_ADDR	NO	ORDINARY_FINAL_SURFACE_LOCK	GDT536_FINAL_EDITION	INHERITED_RESOLVED_WORKING_DEFAULT	PROSE_STREAM_ONLY	DELEGATE_TO_GDT517_ROLE_AWARE_BASE	EDITORIAL_PHRASE_ONLY__FIXED_RECIPE_AND_ATOM_VALUES_RETAINED
12	PROSE_STREAM|chedaiir	chedaiir	1	f66r	CHD+IIN+R	BEARBEITEN · [IIN:STEUERUNG=STUFE] · MARKIEREN	INHERITED	bearbeiten → [Stufe] → markieren.	Bearbeiten und markieren; auf der bezeichneten Stufe.	MULTI_ACTION_NO_ARGUMENT	FILLED_INHERITED_PLACEHOLDER	3	2	1	2	0	YES	CHD+IIN+R	NO	ORDINARY_FINAL_SURFACE_LOCK	GDT536_FINAL_EDITION	INHERITED_RESOLVED_WORKING_DEFAULT	PROSE_STREAM_ONLY	DELEGATE_TO_GDT517_ROLE_AWARE_BASE	EDITORIAL_PHRASE_ONLY__FIXED_RECIPE_AND_ATOM_VALUES_RETAINED
13	PROSE_STREAM|cheeo	cheeo	1	f66r	CH+EE+O	NEHMEN · [EE:STEUERUNG=GRAD II] · [O:STEUERUNG=AUSFÜHRUNG]	INHERITED	nehmen → [Grad II] → [Ausführung].	Nehmen; auf Grad II; zur Ausführung.	ACTION_NO_ARGUMENT	FILLED_INHERITED_PLACEHOLDER	3	1	2	1	0	YES	CH+EE+O	NO	ORDINARY_FINAL_SURFACE_LOCK	GDT536_FINAL_EDITION	INHERITED_RESOLVED_WORKING_DEFAULT	PROSE_STREAM_ONLY	DELEGATE_TO_GDT517_ROLE_AWARE_BASE	EDITORIAL_PHRASE_ONLY__FIXED_RECIPE_AND_ATOM_VALUES_RETAINED
14	PROSE_STREAM|chefchy	chefchy	1	f66r	CH+E+LOCAL_CHAR_F+CH+Y	NEHMEN · [E:STEUERUNG=GRAD I] · [LOCAL_CHAR_F:STEUERUNG=HIER] · NEHMEN · POSTEN	INHERITED	nehmen → [Grad I] → [hier: f-Kennmarke] → nehmen → Posten.	Den Posten zweimal nehmen; auf Grad I; hier.	MULTI_ACTION_WITH_ARGUMENT	FILLED_INHERITED_PLACEHOLDER	5	3	2	2	1	YES	CH+E+LOCAL_CHAR_F+CH+Y	NO	ORDINARY_FINAL_SURFACE_LOCK	GDT536_FINAL_EDITION	INHERITED_RESOLVED_WORKING_DEFAULT	PROSE_STREAM_ONLY	DELEGATE_TO_GDT517_ROLE_AWARE_BASE	EDITORIAL_PHRASE_ONLY__FIXED_RECIPE_AND_ATOM_VALUES_RETAINED
15	PROSE_STREAM|chekchy	chekchy	1	f66r	CH+K+Y	NEHMEN · GEBEN · POSTEN	Nehmen, geben und posten.	nehmen → geben → Posten.	Den Posten nehmen und geben.	MULTI_ACTION_WITH_ARGUMENT	NORMALIZED_EXISTING_PHRASE	3	3	0	2	1	YES	CH+K+Y	YES	EXACT_LEFT_SUPERFORM_PEEL	GDT530	INHERITED_RESOLVED_WORKING_DEFAULT	PROSE_STREAM_ONLY	DELEGATE_TO_GDT517_ROLE_AWARE_BASE	EDITORIAL_PHRASE_ONLY__FIXED_RECIPE_AND_ATOM_VALUES_RETAINED
16	PROSE_STREAM|chekeey	chekeey	1	f66r	CH+K+EE+Y	NEHMEN · GEBEN · [EE:STEUERUNG=GRAD II] · POSTEN	INHERITED	nehmen → geben → [Grad II] → Posten.	Den Posten nehmen und geben; auf Grad II.	MULTI_ACTION_WITH_ARGUMENT	FILLED_INHERITED_PLACEHOLDER	4	3	1	2	1	YES	CH+K+EE+Y	NO	ORDINARY_FINAL_SURFACE_LOCK	GDT536_FINAL_EDITION	INHERITED_RESOLVED_WORKING_DEFAULT	PROSE_STREAM_ONLY	DELEGATE_TO_GDT517_ROLE_AWARE_BASE	EDITORIAL_PHRASE_ONLY__FIXED_RECIPE_AND_ATOM_VALUES_RETAINED
17	PROSE_STREAM|chekeody	chekeody	1	f66r	CH+K+E+O+DY	NEHMEN · GEBEN · [E:STEUERUNG=GRAD I] · [O:STEUERUNG=AUSFÜHRUNG] · [DY:STEUERUNG=SCHLUSS]	INHERITED	nehmen → geben → [Grad I] → [Ausführung] → [Schluss].	Nehmen und geben; auf Grad I; zur Ausführung; abschließen.	MULTI_ACTION_NO_ARGUMENT	FILLED_INHERITED_PLACEHOLDER	5	2	3	2	0	YES	CH+K+E+O+DY	NO	ORDINARY_FINAL_SURFACE_LOCK	GDT536_FINAL_EDITION	INHERITED_RESOLVED_WORKING_DEFAULT	PROSE_STREAM_ONLY	DELEGATE_TO_GDT517_ROLE_AWARE_BASE	EDITORIAL_PHRASE_ONLY__FIXED_RECIPE_AND_ATOM_VALUES_RETAINED
18	PROSE_STREAM|cheod	cheod	1	f31r	CH+E+O+D_ADDR	NEHMEN · [E:STEUERUNG=GRAD I] · [O:STEUERUNG=AUSFÜHRUNG] · [D_ADDR:STEUERUNG=HIER]	INHERITED	nehmen → [Grad I] → [Ausführung] → [hier: D-Adresse].	Nehmen; auf Grad I; zur Ausführung; hier.	ACTION_NO_ARGUMENT	FILLED_INHERITED_PLACEHOLDER	4	1	3	1	0	YES	CH+E+O+D_ADDR	NO	ORDINARY_FINAL_SURFACE_LOCK	GDT536_FINAL_EDITION	INHERITED_RESOLVED_WORKING_DEFAULT	PROSE_STREAM_ONLY	DELEGATE_TO_GDT517_ROLE_AWARE_BASE	EDITORIAL_PHRASE_ONLY__FIXED_RECIPE_AND_ATOM_VALUES_RETAINED
19	PROSE_STREAM|chepakeo	chepakeo	1	f31r	CH+E+P+A_ADDR+K+E+O	NEHMEN · [E:STEUERUNG=GRAD I] · EINSETZEN · [A_ADDR:STEUERUNG=HIER] · GEBEN · [E:STEUERUNG=GRAD I] · [O:STEUERUNG=AUSFÜHRUNG]	INHERITED	nehmen → [Grad I] → einsetzen → [hier: A-Adresse] → geben → [Grad I] → [Ausführung].	Nehmen, einsetzen und geben; auf Grad I; hier; erneut auf Grad I; zur Ausführung.	MULTI_ACTION_NO_ARGUMENT	FILLED_INHERITED_PLACEHOLDER	7	3	4	3	0	YES	CH+E+P+A_ADDR+K+E+O	NO	ORDINARY_FINAL_SURFACE_LOCK	GDT536_FINAL_EDITION	INHERITED_RESOLVED_WORKING_DEFAULT	PROSE_STREAM_ONLY	DELEGATE_TO_GDT517_ROLE_AWARE_BASE	EDITORIAL_PHRASE_ONLY__FIXED_RECIPE_AND_ATOM_VALUES_RETAINED
20	PROSE_STREAM|chepos	chepos	1	f31r	CH+E+P+O+S	NEHMEN · [E:STEUERUNG=GRAD I] · EINSETZEN · [O:STEUERUNG=AUSFÜHRUNG] · WÄHLEN	INHERITED	nehmen → [Grad I] → einsetzen → [Ausführung] → wählen.	Nehmen, einsetzen und wählen; auf Grad I; zur Ausführung.	MULTI_ACTION_NO_ARGUMENT	FILLED_INHERITED_PLACEHOLDER	5	3	2	3	0	YES	CH+E+P+O+S	NO	ORDINARY_FINAL_SURFACE_LOCK	GDT536_FINAL_EDITION	INHERITED_RESOLVED_WORKING_DEFAULT	PROSE_STREAM_ONLY	DELEGATE_TO_GDT517_ROLE_AWARE_BASE	EDITORIAL_PHRASE_ONLY__FIXED_RECIPE_AND_ATOM_VALUES_RETAINED
21	PROSE_STREAM|cheta	cheta	1	f66r	CH+E+T+A_ADDR	NEHMEN · [E:STEUERUNG=GRAD I] · EINSTELLEN · [A_ADDR:STEUERUNG=HIER]	INHERITED	nehmen → [Grad I] → einstellen → [hier: A-Adresse].	Nehmen und einstellen; auf Grad I; hier.	MULTI_ACTION_NO_ARGUMENT	FILLED_INHERITED_PLACEHOLDER	4	2	2	2	0	YES	CH+E+T+A_ADDR	NO	ORDINARY_FINAL_SURFACE_LOCK	GDT536_FINAL_EDITION	INHERITED_RESOLVED_WORKING_DEFAULT	PROSE_STREAM_ONLY	DELEGATE_TO_GDT517_ROLE_AWARE_BASE	EDITORIAL_PHRASE_ONLY__FIXED_RECIPE_AND_ATOM_VALUES_RETAINED
22	PROSE_STREAM|choekeey	choekeey	1	f66r	CH+O+E+K+EE+Y	NEHMEN · [O:STEUERUNG=AUSFÜHRUNG] · [E:STEUERUNG=GRAD I] · GEBEN · [EE:STEUERUNG=GRAD II] · POSTEN	INHERITED	nehmen → [Ausführung] → [Grad I] → geben → [Grad II] → Posten.	Den Posten nehmen und geben; zur Ausführung; auf Grad I; auf Grad II.	MULTI_ACTION_WITH_ARGUMENT	FILLED_INHERITED_PLACEHOLDER	6	3	3	2	1	YES	CH+O+E+K+EE+Y	NO	ORDINARY_FINAL_SURFACE_LOCK	GDT536_FINAL_EDITION	INHERITED_RESOLVED_WORKING_DEFAULT	PROSE_STREAM_ONLY	DELEGATE_TO_GDT517_ROLE_AWARE_BASE	EDITORIAL_PHRASE_ONLY__FIXED_RECIPE_AND_ATOM_VALUES_RETAINED
23	PROSE_STREAM|choiin	choiin	1	f20v	CH+O+IIN	NEHMEN · [O:STEUERUNG=AUSFÜHRUNG] · [IIN:STEUERUNG=STUFE]	INHERITED	nehmen → [Ausführung] → [Stufe].	Nehmen; zur Ausführung; auf der bezeichneten Stufe.	ACTION_NO_ARGUMENT	FILLED_INHERITED_PLACEHOLDER	3	1	2	1	0	YES	CH+O+IIN	NO	ORDINARY_FINAL_SURFACE_LOCK	GDT536_FINAL_EDITION	INHERITED_RESOLVED_WORKING_DEFAULT	PROSE_STREAM_ONLY	DELEGATE_TO_GDT517_ROLE_AWARE_BASE	EDITORIAL_PHRASE_ONLY__FIXED_RECIPE_AND_ATOM_VALUES_RETAINED
24	PROSE_STREAM|cholpchd	cholpchd	1	f66r	OL+P+CHD	FORTSETZEN · EINSETZEN · BEARBEITEN	INHERITED	fortsetzen → einsetzen → bearbeiten.	Fortsetzen; einsetzen und bearbeiten.	MULTI_ACTION_NO_ARGUMENT	FILLED_INHERITED_PLACEHOLDER	3	3	0	2	0	YES	OL+P+CHD	NO	ORDINARY_FINAL_SURFACE_LOCK	GDT536_FINAL_EDITION	INHERITED_RESOLVED_WORKING_DEFAULT	PROSE_STREAM_ONLY	DELEGATE_TO_GDT517_ROLE_AWARE_BASE	EDITORIAL_PHRASE_ONLY__FIXED_RECIPE_AND_ATOM_VALUES_RETAINED
25	PROSE_STREAM|choraiin	choraiin	1	f4r	CH+OR+AIIN	NEHMEN · EINHEIT · WERT	INHERITED	nehmen → Einheit → Wert.	Die Einheit und den Wert nehmen.	ACTION_WITH_ARGUMENT	FILLED_INHERITED_PLACEHOLDER	3	3	0	1	2	YES	CH+OR+AIIN	NO	ORDINARY_FINAL_SURFACE_LOCK	GDT536_FINAL_EDITION	INHERITED_RESOLVED_WORKING_DEFAULT	PROSE_STREAM_ONLY	DELEGATE_TO_GDT517_ROLE_AWARE_BASE	EDITORIAL_PHRASE_ONLY__FIXED_RECIPE_AND_ATOM_VALUES_RETAINED
26	PROSE_STREAM|choraly	choraly	1	f20v	CH+OR+AL+Y	NEHMEN · EINHEIT · ZIELORT · POSTEN	INHERITED	nehmen → Einheit → Zielort → Posten.	Die Einheit und den Posten nehmen; am Zielort.	ACTION_WITH_ARGUMENT	FILLED_INHERITED_PLACEHOLDER	4	4	0	1	2	YES	CH+OR+AL+Y	NO	ORDINARY_FINAL_SURFACE_LOCK	GDT536_FINAL_EDITION	INHERITED_RESOLVED_WORKING_DEFAULT	PROSE_STREAM_ONLY	DELEGATE_TO_GDT517_ROLE_AWARE_BASE	EDITORIAL_PHRASE_ONLY__FIXED_RECIPE_AND_ATOM_VALUES_RETAINED
27	PROSE_STREAM|chory	chory	1	f20v	CH+OR+Y	NEHMEN · EINHEIT · POSTEN	INHERITED	nehmen → Einheit → Posten.	Die Einheit und den Posten nehmen.	ACTION_WITH_ARGUMENT	FILLED_INHERITED_PLACEHOLDER	3	3	0	1	2	YES	CH+OR+Y	NO	ORDINARY_FINAL_SURFACE_LOCK	GDT536_FINAL_EDITION	INHERITED_RESOLVED_WORKING_DEFAULT	PROSE_STREAM_ONLY	DELEGATE_TO_GDT517_ROLE_AWARE_BASE	EDITORIAL_PHRASE_ONLY__FIXED_RECIPE_AND_ATOM_VALUES_RETAINED
28	PROSE_STREAM|chpady	chpady	1	f4r	CH+P+A_ADDR+DY	NEHMEN · EINSETZEN · [A_ADDR:STEUERUNG=HIER] · [DY:STEUERUNG=SCHLUSS]	INHERITED	nehmen → einsetzen → [hier: A-Adresse] → [Schluss].	Nehmen und einsetzen; hier; abschließen.	MULTI_ACTION_NO_ARGUMENT	FILLED_INHERITED_PLACEHOLDER	4	2	2	2	0	YES	CH+P+A_ADDR+DY	NO	ORDINARY_FINAL_SURFACE_LOCK	GDT536_FINAL_EDITION	INHERITED_RESOLVED_WORKING_DEFAULT	PROSE_STREAM_ONLY	DELEGATE_TO_GDT517_ROLE_AWARE_BASE	EDITORIAL_PHRASE_ONLY__FIXED_RECIPE_AND_ATOM_VALUES_RETAINED
29	PROSE_STREAM|chxar	chxar	1	f66r	CH+LOCAL_X+AR	NEHMEN · [LOKALES_X:ZEICHEN_ODER_NAMENSKERN] · AUSGANG	INHERITED	nehmen → [lokaler X-Zeichen-/Namenskern] → Ausgang.	Nehmen; mit lokalem X-Zeichen-/Namenskern; vom Ausgang.	ACTION_NO_ARGUMENT	FILLED_INHERITED_PLACEHOLDER	3	2	1	1	0	YES	CH+LOCAL_X+AR	NO	ORDINARY_FINAL_SURFACE_LOCK	GDT536_FINAL_EDITION	INHERITED_RESOLVED_WORKING_DEFAULT	PROSE_STREAM_ONLY	DELEGATE_TO_GDT517_ROLE_AWARE_BASE	EDITORIAL_PHRASE_ONLY__FIXED_RECIPE_AND_ATOM_VALUES_RETAINED
30	PROSE_STREAM|ckhochy	ckhochy	1	f4r	CH+K+O+CH+Y	NEHMEN · GEBEN · [O:STEUERUNG=AUSFÜHRUNG] · NEHMEN · POSTEN	INHERITED	nehmen → geben → [Ausführung] → nehmen → Posten.	Den Posten nehmen, geben und erneut nehmen; zur Ausführung.	MULTI_ACTION_WITH_ARGUMENT	FILLED_INHERITED_PLACEHOLDER	5	4	1	3	1	YES	CH+K+O+CH+Y	NO	ORDINARY_FINAL_SURFACE_LOCK	GDT536_FINAL_EDITION	INHERITED_RESOLVED_WORKING_DEFAULT	PROSE_STREAM_ONLY	DELEGATE_TO_GDT517_ROLE_AWARE_BASE	EDITORIAL_PHRASE_ONLY__FIXED_RECIPE_AND_ATOM_VALUES_RETAINED
31	PROSE_STREAM|cphaiin	cphaiin	1	f4r	CH+P+AIIN	NEHMEN · EINSETZEN · WERT	INHERITED	nehmen → einsetzen → Wert.	Den Wert nehmen und einsetzen.	MULTI_ACTION_WITH_ARGUMENT	FILLED_INHERITED_PLACEHOLDER	3	3	0	2	1	YES	CH+P+AIIN	NO	ORDINARY_FINAL_SURFACE_LOCK	GDT536_FINAL_EDITION	INHERITED_RESOLVED_WORKING_DEFAULT	PROSE_STREAM_ONLY	DELEGATE_TO_GDT517_ROLE_AWARE_BASE	EDITORIAL_PHRASE_ONLY__FIXED_RECIPE_AND_ATOM_VALUES_RETAINED
32	PROSE_STREAM|cpholdy	cpholdy	1	f4r	CH+P+OL+DY	NEHMEN · EINSETZEN · FORTSETZEN · [DY:STEUERUNG=SCHLUSS]	INHERITED	nehmen → einsetzen → fortsetzen → [Schluss].	Nehmen und einsetzen; fortsetzen; abschließen.	MULTI_ACTION_NO_ARGUMENT	FILLED_INHERITED_PLACEHOLDER	4	3	1	2	0	YES	CH+P+OL+DY	NO	ORDINARY_FINAL_SURFACE_LOCK	GDT536_FINAL_EDITION	INHERITED_RESOLVED_WORKING_DEFAULT	PROSE_STREAM_ONLY	DELEGATE_TO_GDT517_ROLE_AWARE_BASE	EDITORIAL_PHRASE_ONLY__FIXED_RECIPE_AND_ATOM_VALUES_RETAINED
33	PROSE_STREAM|cthdy	cthdy	1	f66r	CH+T+D_ADDR+Y	NEHMEN · EINSTELLEN · [D_ADDR:STEUERUNG=HIER] · POSTEN	INHERITED	nehmen → einstellen → [hier: D-Adresse] → Posten.	Den Posten nehmen und einstellen; hier.	MULTI_ACTION_WITH_ARGUMENT	FILLED_INHERITED_PLACEHOLDER	4	3	1	2	1	YES	CH+T+D_ADDR+Y	NO	ORDINARY_FINAL_SURFACE_LOCK	GDT536_FINAL_EDITION	INHERITED_RESOLVED_WORKING_DEFAULT	PROSE_STREAM_ONLY	DELEGATE_TO_GDT517_ROLE_AWARE_BASE	EDITORIAL_PHRASE_ONLY__FIXED_RECIPE_AND_ATOM_VALUES_RETAINED
34	PROSE_STREAM|cthom	cthom	1	f4r	CH+T+O+M_LOCAL	NEHMEN · EINSTELLEN · [O:STEUERUNG=AUSFÜHRUNG] · [M_LOCAL:STEUERUNG=HIER]	INHERITED	nehmen → einstellen → [Ausführung] → [hier: lokale m-Marke].	Nehmen und einstellen; zur Ausführung; hier.	MULTI_ACTION_NO_ARGUMENT	FILLED_INHERITED_PLACEHOLDER	4	2	2	2	0	YES	CH+T+O+M_LOCAL	NO	ORDINARY_FINAL_SURFACE_LOCK	GDT536_FINAL_EDITION	INHERITED_RESOLVED_WORKING_DEFAULT	PROSE_STREAM_ONLY	DELEGATE_TO_GDT517_ROLE_AWARE_BASE	EDITORIAL_PHRASE_ONLY__FIXED_RECIPE_AND_ATOM_VALUES_RETAINED
35	PROSE_STREAM|da	da	1	f31r	DA	[DA:STEUERUNG=ZWEITE STUFE]	INHERITED	[zweite Stufe].	Auf der zweiten Stufe.	FORMAL_OR_LOCAL_CONTROL	FILLED_INHERITED_PLACEHOLDER	1	0	1	0	0	YES	DA	NO	ORDINARY_FINAL_SURFACE_LOCK	GDT536_FINAL_EDITION	INHERITED_RESOLVED_WORKING_DEFAULT	PROSE_STREAM_ONLY	DELEGATE_TO_GDT517_ROLE_AWARE_BASE	EDITORIAL_PHRASE_ONLY__FIXED_RECIPE_AND_ATOM_VALUES_RETAINED
36	PROSE_STREAM|dairal	dairal	1	f66r	D_ADDR+AIR+AL	[D_ADDR:STEUERUNG=HIER] · BAHN · ZIELORT	INHERITED	[hier: D-Adresse] → Bahn → Zielort.	Hier; entlang der Bahn; am Zielort.	RELATION_OR_ADDRESS	FILLED_INHERITED_PLACEHOLDER	3	2	1	0	0	YES	D_ADDR+AIR+AL	NO	ORDINARY_FINAL_SURFACE_LOCK	GDT536_FINAL_EDITION	INHERITED_RESOLVED_WORKING_DEFAULT	PROSE_STREAM_ONLY	DELEGATE_TO_GDT517_ROLE_AWARE_BASE	EDITORIAL_PHRASE_ONLY__FIXED_RECIPE_AND_ATOM_VALUES_RETAINED
37	PROSE_STREAM|dairody	dairody	1	f66r	D_ADDR+AIR+O+DY	[D_ADDR:STEUERUNG=HIER] · BAHN · [O:STEUERUNG=AUSFÜHRUNG] · [DY:STEUERUNG=SCHLUSS]	INHERITED	[hier: D-Adresse] → Bahn → [Ausführung] → [Schluss].	Hier; entlang der Bahn; zur Ausführung; abschließen.	RELATION_OR_ADDRESS	FILLED_INHERITED_PLACEHOLDER	4	1	3	0	0	YES	D_ADDR+AIR+O+DY	NO	ORDINARY_FINAL_SURFACE_LOCK	GDT536_FINAL_EDITION	INHERITED_RESOLVED_WORKING_DEFAULT	PROSE_STREAM_ONLY	DELEGATE_TO_GDT517_ROLE_AWARE_BASE	EDITORIAL_PHRASE_ONLY__FIXED_RECIPE_AND_ATOM_VALUES_RETAINED
