teaching_unit_id	recognition_forms	old_headword_de	selected_headword_de	occurrences	pages	observed_event_readings_de	change_status	headword_rule
W014	dsheol	EINREIBEN	EINREIBEN	1	f81v	einreiben	KEEP	ONE_SHORT_WORKSHOP_WORD__CONTEXT_MAY_INFLECT_OR_SPECIFY
W015	dshedy	FRISCHWASSER	FRISCHWASSER	2	f82r	Frischwasser	KEEP	ONE_SHORT_WORKSHOP_WORD__CONTEXT_MAY_INFLECT_OR_SPECIFY
W016	ytey	FÜLLEN	FÜLLEN	1	f81v	füllen	KEEP	ONE_SHORT_WORKSHOP_WORD__CONTEXT_MAY_INFLECT_OR_SPECIFY
W017	keol	GABE	ZUGABE	1	f56r	Gabe	SHORT_COMPOUND_REFINEMENT	ONE_SHORT_WORKSHOP_WORD__CONTEXT_MAY_INFLECT_OR_SPECIFY
W018	os	GEFÄSS	GEFÄSS	1	f10r	Gefäß	KEEP	ONE_SHORT_WORKSHOP_WORD__CONTEXT_MAY_INFLECT_OR_SPECIFY
W019	octheol	GLEICHEN	AUSGLEICHEN	1	f82r	gleichstellen	SHORT_COMPOUND_REFINEMENT	ONE_SHORT_WORKSHOP_WORD__CONTEXT_MAY_INFLECT_OR_SPECIFY
W020	teol	HAHN	HAHN	1	f81v	Hahn	KEEP	ONE_SHORT_WORKSHOP_WORD__CONTEXT_MAY_INFLECT_OR_SPECIFY
W021	chealror	KLAR	KLARPUNKT	1	f83r	klar	SHORT_COMPOUND_REFINEMENT	ONE_SHORT_WORKSHOP_WORD__CONTEXT_MAY_INFLECT_OR_SPECIFY
W022	cheey|shey	KLARLAUF	KLARLAUF	15	f11r|f82r|f83r	Klarlauf	KEEP	ONE_SHORT_WORKSHOP_WORD__CONTEXT_MAY_INFLECT_OR_SPECIFY
W023	tshol	KRAUT	KRAUT	1	f11r	Blütenkraut	KEEP	ONE_SHORT_WORKSHOP_WORD__CONTEXT_MAY_INFLECT_OR_SPECIFY
W024	ody|tchody	KUEHLEN	KUEHLEN	3	f11r|f55v	kalt stellen|kühlen	KEEP	ONE_SHORT_WORKSHOP_WORD__CONTEXT_MAY_INFLECT_OR_SPECIFY
W025	sheckhal	MASS	MITTELMASS	1	f81v	Mittelmaß	SHORT_COMPOUND_REFINEMENT	ONE_SHORT_WORKSHOP_WORD__CONTEXT_MAY_INFLECT_OR_SPECIFY
W026	cphy	NACHSEIHEN	NACHSEIHEN	1	f11r	nachseihen	KEEP	ONE_SHORT_WORKSHOP_WORD__CONTEXT_MAY_INFLECT_OR_SPECIFY
W027	qoctholy	PRESSEN	PRESSEN	1	f10r	pressen	KEEP	ONE_SHORT_WORKSHOP_WORD__CONTEXT_MAY_INFLECT_OR_SPECIFY
W028	shoyty	RESERVE	BLÜTENRESERVE	1	f11r	Blütenreserve	SHORT_COMPOUND_REFINEMENT	ONE_SHORT_WORKSHOP_WORD__CONTEXT_MAY_INFLECT_OR_SPECIFY
W029	etyd	REST	WURZELREST	1	f10r	Wurzelrest	SHORT_COMPOUND_REFINEMENT	ONE_SHORT_WORKSHOP_WORD__CONTEXT_MAY_INFLECT_OR_SPECIFY
W030	qekey	ROH	ROH	1	f83r	roh	KEEP	ONE_SHORT_WORKSHOP_WORD__CONTEXT_MAY_INFLECT_OR_SPECIFY
W031	ly	SCHALE	AUFFANGSCHALE	1	f81v	Auffangschale	SHORT_COMPOUND_REFINEMENT	ONE_SHORT_WORKSHOP_WORD__CONTEXT_MAY_INFLECT_OR_SPECIFY
W032	sshkchdy	SCHWENKEN	SCHWENKEN	1	f81v	schwenken	KEEP	ONE_SHORT_WORKSHOP_WORD__CONTEXT_MAY_INFLECT_OR_SPECIFY
W033	cheeety|tshey	SPÜLUNG	SPÜLUNG	2	f82r|f83r	Spülwasser|erste Spülung	KEEP	ONE_SHORT_WORKSHOP_WORD__CONTEXT_MAY_INFLECT_OR_SPECIFY
W034	sh	STÄNGEL	STÄNGEL	1	f56r	Stängel	KEEP	ONE_SHORT_WORKSHOP_WORD__CONTEXT_MAY_INFLECT_OR_SPECIFY
W035	shfydaiin	STEHZEIT	STEHZEIT	1	f11r	vorgeschriebene Stehzeit	KEEP	ONE_SHORT_WORKSHOP_WORD__CONTEXT_MAY_INFLECT_OR_SPECIFY
W036	lcheey|qolky	STELLE	STELLE	2	f81v|f82r	Arbeitsstelle|Nassstelle	KEEP	ONE_SHORT_WORKSHOP_WORD__CONTEXT_MAY_INFLECT_OR_SPECIFY
W037	schoal	SUD	WEINSUD	1	f11r	Weinsud	SHORT_COMPOUND_REFINEMENT	ONE_SHORT_WORKSHOP_WORD__CONTEXT_MAY_INFLECT_OR_SPECIFY
W038	ches	TEILEN	TEILEN	1	f82r	gleichteilen	KEEP	ONE_SHORT_WORKSHOP_WORD__CONTEXT_MAY_INFLECT_OR_SPECIFY
W039	oykchor	TOPF	TOPF	1	f10r	Topf	KEEP	ONE_SHORT_WORKSHOP_WORD__CONTEXT_MAY_INFLECT_OR_SPECIFY
W040	kchy	TRANK	TRANK	1	f11r	Trank	KEEP	ONE_SHORT_WORKSHOP_WORD__CONTEXT_MAY_INFLECT_OR_SPECIFY
W041	dain|solkaiin	TUCH	TUCH	4	f82r|f83r	Seihtuch|Tuch	KEEP	ONE_SHORT_WORKSHOP_WORD__CONTEXT_MAY_INFLECT_OR_SPECIFY
W042	qockhey|sheckhy	ÜBERLAUF	ÜBERLAUF	3	f82r|f83r	Überlauf	KEEP	ONE_SHORT_WORKSHOP_WORD__CONTEXT_MAY_INFLECT_OR_SPECIFY
W043	talam	VERWAHREN	VERWAHREN	1	f55v	verwahren	KEEP	ONE_SHORT_WORKSHOP_WORD__CONTEXT_MAY_INFLECT_OR_SPECIFY
W044	dchol|schol	VORIGES	VORPOSTEN	2	f11r|f56r	Voriges	SHORT_COMPOUND_REFINEMENT	ONE_SHORT_WORKSHOP_WORD__CONTEXT_MAY_INFLECT_OR_SPECIFY
W045	qotedaiin	WANNE	WANNE	1	f83r	Wanne	KEEP	ONE_SHORT_WORKSHOP_WORD__CONTEXT_MAY_INFLECT_OR_SPECIFY
W046	lol|rol|shecthy	WARM	WARMGRAD	5	f81v|f83r	warm|handwarm	SHORT_COMPOUND_REFINEMENT	ONE_SHORT_WORKSHOP_WORD__CONTEXT_MAY_INFLECT_OR_SPECIFY
W047	rsheal	WARMWASSER	WARMWASSER	1	f82r	Warmwasser	KEEP	ONE_SHORT_WORKSHOP_WORD__CONTEXT_MAY_INFLECT_OR_SPECIFY
W048	choy|lkedy|rshedy	WASCHEN	WASCHEN	4	f56r|f82r|f83r	waschen|Waschgang|nachwaschen	KEEP	ONE_SHORT_WORKSHOP_WORD__CONTEXT_MAY_INFLECT_OR_SPECIFY
W049	dchey	WURZEL	WURZEL	1	f10r	Wurzel	KEEP	ONE_SHORT_WORKSHOP_WORD__CONTEXT_MAY_INFLECT_OR_SPECIFY
W050	chckhal	ZEIT	HALTEZEIT	1	f83r	Haltezeit	SHORT_COMPOUND_REFINEMENT	ONE_SHORT_WORKSHOP_WORD__CONTEXT_MAY_INFLECT_OR_SPECIFY
W051	kchey	ZERREIBEN	ZERREIBEN	1	f56r	zerreiben	KEEP	ONE_SHORT_WORKSHOP_WORD__CONTEXT_MAY_INFLECT_OR_SPECIFY
L001	torshor	WURZELKRONE	WURZELKRONE	1	f13r	Artikelkopf: die große sichtbare Speicherwurzel/Krone aktivieren.	KEEP	ONE_SHORT_WORKSHOP_WORD__CONTEXT_MAY_INFLECT_OR_SPECIFY
L002	dchg	BRUTKNÖLLCHEN	BRUTKNÖLLCHEN	1	f13r	Einen der kleinen sichtbaren Rundkörper am Wurzelhals abnehmen.	KEEP	ONE_SHORT_WORKSHOP_WORD__CONTEXT_MAY_INFLECT_OR_SPECIFY
L003	tshy	BLÜTENANTEIL	BLÜTENANTEIL	1	f13r	Den Anteil aus dem endständigen Blütenstand wählen.	KEEP	ONE_SHORT_WORKSHOP_WORD__CONTEXT_MAY_INFLECT_OR_SPECIFY
L004	cfholdy	AUSPRESSEN	AUSPRESSEN	1	f13r	Den ersten Ansatz weiter auspressen und den Teilgang schließen.	KEEP	ONE_SHORT_WORKSHOP_WORD__CONTEXT_MAY_INFLECT_OR_SPECIFY
L005	shochy	BLATTANTEIL	BLATTANTEIL	1	f13r	Einen Anteil aus der breiten Blattkrone nehmen.	KEEP	ONE_SHORT_WORKSHOP_WORD__CONTEXT_MAY_INFLECT_OR_SPECIFY
