chain_stage	component_or_whole_card_family	joint_tuple_id	surface_family	occurrences	event_ids	event_locations	pages	records	statements	owner	visible_owner_and_geometry	image_hashes_verified	visible_direction_or_filter_claim	current_selected_parse	new_working_parse	short_concrete_default_de	owner_process_step_de	rival_or_boundary_de	decision	connected_passages_de
01_WASH_WET	TSHEY_GANZKARTE	d4a31dbcf1ed6d9e5aa9	tshey	1	E212	E212@f82r:f82r.26/B2-S015	f82r	B2	B2-S015	lokale Becken-/Gerätestation f82r	f82r: mehrere getrennte Stationsvignetten mit lokalen Bändern/Knoten; kein durchgehender gerichteter Lauf und kein sichtbares Tuch	f82r=81bd1aa1addeedd6b08411ec05105f45d6ba6b9f59ea39ff95cf2fd89cf49d6c	NO_DRAWN_DIRECTION_OR_FILTER_CLOTH; only local owner/connection is visible	tshey=Spülung beginnen	TSHEY learned whole rinse-start card	Spülung beginnen	KETTENSCHRITT 1: waschen, spülen, benetzen oder einweichen	produktives TSH=waschen; TSHOL=Blütenkraut widerspricht, daher Ganzkarte	KEEP_AS_LEARNED_WHOLE_CARD	B2-S015: Spülung beginnen; länger einweichen; Schluss
02_REST_SETTLE	SHED_RUHEN_ABSETZEN	bc4f1f5c006c74a4d26d	cheedy|shedy|tedy	12	E125|E136|E155|E163|E192|E255|E266|E314|E325|E336|E347|E361	E125@f81v:f81v.17/B1-S004 | E136@f81v:f81v.18/B1-S008 | E155@f81v:f81v.24/B1-S016 | E163@f81v:f81v.27/B1-S019 | E192@f82r:f82r.7/B2-S008 | E255@f83r:f83r.11/B3-S012 | E266@f83r:f83r.14/B3-S018 | E314@f83r:f83r.24/B3-S034 | E325@f83r:f83r.26/B4-S003 | E336@f83r:f83r.28/B4-S009 | E347@f83r:f83r.37/B4-S013 | E361@f83r:f83r.44/B4-S016	f81v|f82r|f83r	B1|B2|B3|B4	B1-S004|B1-S008|B1-S016|B1-S019|B2-S008|B3-S012|B3-S018|B3-S034|B4-S003|B4-S009|B4-S013|B4-S016	gemeinsames Becken-/Figurenfeld f81v | lokale Becken-/Gerätestation f82r | lokale Gefäß-/Leitungsstation f83r	f81v: großes grünes Becken-/Figurenfeld und lokaler Randlauf; kein Pfeil, Filtertuch oder Klärsegment | f82r: mehrere getrennte Stationsvignetten mit lokalen Bändern/Knoten; kein durchgehender gerichteter Lauf und kein sichtbares Tuch | f83r: lokale Stationen und echter blauer Verbindungsbogen mit unteren Läufen; kein Pfeil, keine Quelle/Senke und kein sichtbares Filtertuch	f81v=5065b13388c0307510ce5c27bc6df76996791e6fc51a705a5b0a6be228a88d44 | f82r=81bd1aa1addeedd6b08411ec05105f45d6ba6b9f59ea39ff95cf2fd89cf49d6c | f83r=3d5b04d796f247d140930949cd080f57164c94920134012adf8811112bcd55e9	NO_DRAWN_DIRECTION_OR_FILTER_CLOTH; only local owner/connection is visible	SHED_REST+GRADE_1+DY_CLOSE	SHED_REST+GRADE_1+DY_CLOSE	ruhen oder absetzen; Schluss	KETTENSCHRITT 2: ruhen, nachwirken oder absetzen	Rivale: allgemeines Baden, Übertragen oder Halten ohne Stofftrennung; konkrete Kartenlesung bleibt kürzer	SELECT_CONCRETE_FILTRATION_CHAIN_VALUE	B1-S004: Den laufenden Posten umsetzen oder durcharbeiten; mit Vorigem weiter; ruhen oder absetzen; Schluss | B1-S008: Dieser Arbeitsposten; mit Vorigem weiter; kurz oder mild erwärmen; mit Vorigem weiter; ruhen oder absetzen; Schluss | B1-S016: An der Zielstelle einsetzen; den laufenden Posten länger einwirken lassen; mit Vorigem weiter; ruhen oder absetzen; Schluss | B1-S019: Ruhen oder absetzen; Schluss | B2-S008: Das nächste Maß; daraus in den Arbeitsgang nehmen; ruhen oder absetzen; Schluss | B3-S012: Zubereitung; ruhen oder absetzen; Schluss | B3-S018: Ruhen oder absetzen; Schluss | B3-S034: Sollstufe; gebrauchsfertig; zerkleinern; das nächste Maß; untere Zielstelle; ruhen oder absetzen; Schluss | B4-S003: Den laufenden Posten umsetzen oder durcharbeiten; danach zur Zielstelle; den nächsten Posten wählen; den laufenden Posten länger einwirken lassen; den laufenden Posten einsetzen; mit Vorigem weiter; ruhen oder absetzen; Schluss | B4-S009: Ruhen oder absetzen; Schluss | B4-S013: Vorigen Arbeitsgang weiterführen; ruhen oder absetzen; Schluss | B4-S016: Eine weitere Portion zugeben; Zielstelle; erwärmtes Medium ausgießen; ruhen oder absetzen; Schluss
02_REST_SETTLE	GELERNTE_KETTENKARTE	d72f71baff01cd0a0406	chldaiin	1	E286	E286@f83r:f83r.16/B3-S026	f83r	B3	B3-S026	lokale Gefäß-/Leitungsstation f83r	f83r: lokale Stationen und echter blauer Verbindungsbogen mit unteren Läufen; kein Pfeil, keine Quelle/Senke und kein sichtbares Filtertuch	f83r=3d5b04d796f247d140930949cd080f57164c94920134012adf8811112bcd55e9	NO_DRAWN_DIRECTION_OR_FILTER_CLOTH; only local owner/connection is visible	CHLD_LEARNED+AIIN_MEASURE	CHLD_LEARNED+AIIN_MEASURE	bis zum vorgeschriebenen Stand absetzen lassen	KETTENSCHRITT 2: ruhen, nachwirken oder absetzen	Rivale: allgemeines Baden, Übertragen oder Halten ohne Stofftrennung; konkrete Kartenlesung bleibt kürzer	SELECT_CONCRETE_FILTRATION_CHAIN_VALUE	B3-S026: Beckenstation; bis zum vorgeschriebenen Stand absetzen lassen; den laufenden Posten umsetzen oder durcharbeiten; eine Portion zugeben; gebrauchsfertig; bis klar; an der Auffangstelle länger halten; Schluss
02_REST_SETTLE	SHED_RUHEN_ABSETZEN	db167f8e9b53eefb58f8	qokshedy	1	E267	E267@f83r:f83r.14/B3-S019	f83r	B3	B3-S019	lokale Gefäß-/Leitungsstation f83r	f83r: lokale Stationen und echter blauer Verbindungsbogen mit unteren Läufen; kein Pfeil, keine Quelle/Senke und kein sichtbares Filtertuch	f83r=3d5b04d796f247d140930949cd080f57164c94920134012adf8811112bcd55e9	NO_DRAWN_DIRECTION_OR_FILTER_CLOTH; only local owner/connection is visible	OK+SHED_REST+DY_CLOSE	OK+SHED_REST+DY_CLOSE	zur Ruhe setzen; Schluss	KETTENSCHRITT 2: ruhen, nachwirken oder absetzen	Rivale: allgemeines Baden, Übertragen oder Halten ohne Stofftrennung; konkrete Kartenlesung bleibt kürzer	SELECT_CONCRETE_FILTRATION_CHAIN_VALUE	B3-S019: Zur Ruhe setzen; Schluss
02_REST_SETTLE	SHED_RUHEN_ABSETZEN	abb23e5e6936b4147f76	shedal	2	E275|E364	E275@f83r:f83r.15/B3-S021 | E364@f83r:f83r.47/B5-S003	f83r	B3|B5	B3-S021|B5-S003	lokale Gefäß-/Leitungsstation f83r	f83r: lokale Stationen und echter blauer Verbindungsbogen mit unteren Läufen; kein Pfeil, keine Quelle/Senke und kein sichtbares Filtertuch	f83r=3d5b04d796f247d140930949cd080f57164c94920134012adf8811112bcd55e9	NO_DRAWN_DIRECTION_OR_FILTER_CLOTH; only local owner/connection is visible	SHED_REST+AL_TARGET	SHED_REST+AL_TARGET	Ruhe- oder Absetzstelle	KETTENSCHRITT 2: ruhen, nachwirken oder absetzen	Rivale: allgemeines Baden, Übertragen oder Halten ohne Stofftrennung; konkrete Kartenlesung bleibt kürzer	SELECT_CONCRETE_FILTRATION_CHAIN_VALUE	B3-S021: Auf das vorgeschriebene Maß einstellen; gebrauchsfertig; Zielstelle; dieser Arbeitsposten; vorgeschriebenes Maß; Ruhe- oder Absetzstelle; warmes Wasser; dieser Arbeitsposten; Zielstelle; gebrauchsfertig; lokal umsetzen; Schluss | B5-S003: Ruhe- oder Absetzstelle; Zielstelle; mit Vorigem weiter; bis warm; an der Zielstelle umsetzen; vorgeschriebenes Maß; mit Vorigem weiter; zweite Öffnungsstufe; den laufenden Posten umsetzen oder durcharbeiten
02_REST_SETTLE	SHED_RUHEN_ABSETZEN	03626ca94cb17800d767	sheedy	1	E261	E261@f83r:f83r.11/B3-S014	f83r	B3	B3-S014	lokale Gefäß-/Leitungsstation f83r	f83r: lokale Stationen und echter blauer Verbindungsbogen mit unteren Läufen; kein Pfeil, keine Quelle/Senke und kein sichtbares Filtertuch	f83r=3d5b04d796f247d140930949cd080f57164c94920134012adf8811112bcd55e9	NO_DRAWN_DIRECTION_OR_FILTER_CLOTH; only local owner/connection is visible	SHED_REST+GRADE_2+DY_CLOSE	SHED_REST+GRADE_2+DY_CLOSE	länger ruhen oder absetzen; Schluss	KETTENSCHRITT 2: ruhen, nachwirken oder absetzen	Rivale: allgemeines Baden, Übertragen oder Halten ohne Stofftrennung; konkrete Kartenlesung bleibt kürzer	SELECT_CONCRETE_FILTRATION_CHAIN_VALUE	B3-S014: Flüssigkeit in den Lauf bringen; länger ruhen oder absetzen; Schluss
02_REST_SETTLE	SHED_RUHEN_ABSETZEN	daa1347f456415fe8737	solshedy	1	E193	E193@f82r:f82r.7/B2-S009	f82r	B2	B2-S009	lokale Becken-/Gerätestation f82r	f82r: mehrere getrennte Stationsvignetten mit lokalen Bändern/Knoten; kein durchgehender gerichteter Lauf und kein sichtbares Tuch	f82r=81bd1aa1addeedd6b08411ec05105f45d6ba6b9f59ea39ff95cf2fd89cf49d6c	NO_DRAWN_DIRECTION_OR_FILTER_CLOTH; only local owner/connection is visible	OL_CONTINUE+SHED_REST+DY_CLOSE	OL_CONTINUE+SHED_REST+DY_CLOSE	mit dem Vorigen ruhen lassen; Schluss	KETTENSCHRITT 2: ruhen, nachwirken oder absetzen	Rivale: allgemeines Baden, Übertragen oder Halten ohne Stofftrennung; konkrete Kartenlesung bleibt kürzer	SELECT_CONCRETE_FILTRATION_CHAIN_VALUE	B2-S009: Mit dem Vorigen ruhen lassen; Schluss
03B_TRANSFER_PASSAGE	AIR_FLÜSSIGKEITSLAUF	12efe866f335461823a6	chair	1	E006	E006@f10r:f10r.2/H1-S001	f10r	H1	H1-S001	abgebildete Pflanze f10r	f10r: ganze Pflanze; kein Gefäß, Tuch, Ablauf oder Richtung gezeichnet	f10r=d2b4f7f1ba78cc2b2712ad9ac51b13260af0227164c19b7b63a0808f3dcc3951	NO_DRAWN_PROCESS_APPARATUS; plant is owner only	CH_LEARNED+AIR_FLOW	CH_LEARNED+AIR_FLOW	Flüssigkeitszulauf	TRANSPORTSCHRITT: Flüssigkeit/Durchgang zwischen Trennung und Auffangen	Rivale: allgemeines Baden, Übertragen oder Halten ohne Stofftrennung; konkrete Kartenlesung bleibt kürzer	SELECT_CONCRETE_FILTRATION_CHAIN_VALUE	H1-S001: Wurzelteil; säubern; aus demselben Vorrat; zerkleinern; Gefäß; Flüssigkeitszulauf; ersten Auszug auffangen; den laufenden Posten einsetzen; vorgeschriebenes Maß; Wurzelteil
03B_TRANSFER_PASSAGE	CKH_DURCHLASS	2cc8bb3c2af19607888f	chckhy|shckhy	4	E119|E128|E139|E179	E119@f81v:f81v.7/B1-S002 | E128@f81v:f81v.17/B1-S006 | E139@f81v:f81v.18/B1-S011 | E179@f82r:f82r.3/B2-S005	f81v|f82r	B1|B2	B1-S002|B1-S006|B1-S011|B2-S005	gemeinsames Becken-/Figurenfeld f81v | lokale Becken-/Gerätestation f82r	f81v: großes grünes Becken-/Figurenfeld und lokaler Randlauf; kein Pfeil, Filtertuch oder Klärsegment | f82r: mehrere getrennte Stationsvignetten mit lokalen Bändern/Knoten; kein durchgehender gerichteter Lauf und kein sichtbares Tuch	f81v=5065b13388c0307510ce5c27bc6df76996791e6fc51a705a5b0a6be228a88d44 | f82r=81bd1aa1addeedd6b08411ec05105f45d6ba6b9f59ea39ff95cf2fd89cf49d6c	NO_DRAWN_DIRECTION_OR_FILTER_CLOTH; only local owner/connection is visible	ckhy=Durchlauf	CKH_PASSAGE=DURCHLASS/GANG; exakte CKHY-Karte	durch den verbundenen Durchlass leiten	TRANSPORTSCHRITT: Flüssigkeit/Durchgang zwischen Trennung und Auffangen	bloßer Verbindungslauf ohne Filterfunktion; gewählt ist der neutrale Durchlass	SELECT_CONCRETE_FILTRATION_CHAIN_VALUE	B1-S002: Auf das vorgeschriebene Maß einstellen; laufende Beckenflüssigkeit; an der Zielstelle einsetzen; aus demselben Vorrat; mit Vorigem weiter; eine Portion; eine weitere Portion zugeben; Zielstelle; mit Vorigem weiter; vor dem Abkühlen; Badezusatz; mit der vorigen Zubereitung; mit Vorigem weiter; mäßige Menge; vorgeschriebenes Maß; an der Zielstelle länger einwirken lassen; vorgeschriebenes Maß; durch verbundenen Lauf; Arbeitsbewegung abschließen | B1-S006: Eine Portion zugeben; durch verbundenen Lauf; Badezusatz; abkühlen | B1-S011: Durch verbundenen Lauf; den laufenden Posten einsetzen | B2-S005: Den laufenden Posten an der Zielstelle einsetzen; durch Tuch; durch verbundenen Lauf; auf das vorgeschriebene Maß einstellen; auf das vorgeschriebene Maß einstellen; gleiche Einstellung; den laufenden Posten länger warm halten; abziehen; Ende
03B_TRANSFER_PASSAGE	AIR_FLÜSSIGKEITSLAUF	8aedd154964a78e555d6	dairydy	1	E351	E351@f83r:f83r.38/B4-S014	f83r	B4	B4-S014	lokale Gefäß-/Leitungsstation f83r	f83r: lokale Stationen und echter blauer Verbindungsbogen mit unteren Läufen; kein Pfeil, keine Quelle/Senke und kein sichtbares Filtertuch	f83r=3d5b04d796f247d140930949cd080f57164c94920134012adf8811112bcd55e9	NO_DRAWN_DIRECTION_OR_FILTER_CLOTH; only local owner/connection is visible	D_RENDERER+AIR_FLOW+Y_REFERENT+DY_TERMINAL	D_RENDERER+AIR_FLOW+Y_REFERENT+DY_TERMINAL	den Flüssigkeitslauf abschließen	TRANSPORTSCHRITT: Flüssigkeit/Durchgang zwischen Trennung und Auffangen	Rivale: allgemeines Baden, Übertragen oder Halten ohne Stofftrennung; konkrete Kartenlesung bleibt kürzer	SELECT_CONCRETE_FILTRATION_CHAIN_VALUE	B4-S014: Zubereitung; dieser Arbeitsposten; über der Stelle; den Flüssigkeitslauf abschließen
03B_TRANSFER_PASSAGE	AIR_FLÜSSIGKEITSLAUF	22fb87a5a83e5c3fb510	kair	1	E103	E103@f81v:f81v.2/B1-S002	f81v	B1	B1-S002	gemeinsames Becken-/Figurenfeld f81v	f81v: großes grünes Becken-/Figurenfeld und lokaler Randlauf; kein Pfeil, Filtertuch oder Klärsegment	f81v=5065b13388c0307510ce5c27bc6df76996791e6fc51a705a5b0a6be228a88d44	NO_DRAWN_DIRECTION_OR_FILTER_CLOTH; only local owner/connection is visible	K_LEARNED+AIR_FLOW	K_LEARNED+AIR_FLOW	laufende Beckenflüssigkeit	TRANSPORTSCHRITT: Flüssigkeit/Durchgang zwischen Trennung und Auffangen	Rivale: allgemeines Baden, Übertragen oder Halten ohne Stofftrennung; konkrete Kartenlesung bleibt kürzer	SELECT_CONCRETE_FILTRATION_CHAIN_VALUE	B1-S002: Auf das vorgeschriebene Maß einstellen; laufende Beckenflüssigkeit; an der Zielstelle einsetzen; aus demselben Vorrat; mit Vorigem weiter; eine Portion; eine weitere Portion zugeben; Zielstelle; mit Vorigem weiter; vor dem Abkühlen; Badezusatz; mit der vorigen Zubereitung; mit Vorigem weiter; mäßige Menge; vorgeschriebenes Maß; an der Zielstelle länger einwirken lassen; vorgeschriebenes Maß; durch verbundenen Lauf; Arbeitsbewegung abschließen
