component_id	visible_realizations	working_meaning_de	status	licensed_environment	evidence_summary	important_limit
P_CHED	p+ched	hinein- oder zum Empfänger führen	FIXED_CONTEXT_BOUND	nur pchedal und pchedy	pchedal and pchedy form the thin opposite of L+CHED	two events only; only licensed before CHED
E_GRADE_1	e in licensed state frames	kurze oder milde Einwirkung; erste Arbeitsstufe	SELECTED_BOUNDED_STATE_GRADE	OK/OT/SHED/CHK/SOLK exact-card rows	brief open and closed members recur	not every visible e
E_GRADE_2	ee in licensed state frames	anhaltende oder längere Einwirkung; zweite Arbeitsstufe	SELECTED_BOUNDED_STATE_GRADE	OK/OT/SHED/CHK/SOLK exact-card rows	open/closed pairs recur across records	not an exact time or repetition count
E_GRADE_3	eee in licensed state frames	vollständige oder durchgehende Einwirkung; dritte Arbeitsstufe	SELECTED_BOUNDED_STATE_GRADE_THIN	OK+EEE+DY	one predicted top-grade member	one occurrence only
Y_REFERENT	y; licensed chy wrappers	aktuell gemeinter Arbeitsposten; dies oder es	FIXED_CONTEXT_BOUND	exact Y and licensed state grids	base card plus open grid members	Y is a referent, not the word open
DY_TERMINAL_CONSTRUCTION	dy only in licensed exact-card terminal frames	lokalen Arbeitsschritt abschließen	FIXED_CONTEXT_BOUND	recognized terminal exact cards	all selected close members are statement-final	visible dy can also render the nonterminal base Y card
Q_RENDERER	q	keine eigene Bedeutung	NO_SEMANTIC_VALUE	exakte Karten mit und ohne q	mehrere identische Kartenfamilien wechseln q	Kann eine Schreib- oder Eintrittsrealisierung sein
CH_RENDERER	ch|sh|d|t in identischer exakter Karte	keine automatisch eigene Bedeutung	NO_SEMANTIC_VALUE	nur wo dieselbe anonyme Kartenidentität die Formen verbindet	chedy|chdy und dchedy|schedy|tchedy	Nicht auf alle sichtbaren ch-, sh-, d- oder t-Anfänge verallgemeinern
SHED_REST_FAMILY	cheedy|shedy|tedy; sheedy; shedal	ruhen oder absetzen	SELECTED_BOUNDED_STATE_FAMILY	selected SHED exact cards only	twelve default closes plus a long close and two stations	not every visible sh
CHK_WARMTH_PAIR	cheky; cheeky; chkeey; chkeedy	wärmen oder warm halten	SELECTED_BOUNDED_STATE_FAMILY	two learned realization templates	brief/sustained open and sustained closed readings	not a global CH or K meaning
OLK_SOLK_COLLECTION_STATION	solkey; solkeey; olkeedy|solkeedy	Auffangstelle; lokal kurz oder länger auffangen	SELECTED_LOCAL_PROCESS_FAMILY	solkey; solkeey; olkeedy|solkeedy	brief/sustained open and sustained closed collection cards	owner-local; no drawn source, sink or flow direction
OK_REDUPLICATION	OK+OK in qokokchy	erneut in Arbeit nehmen	FIXED_SINGLE_CARD	qokokchy only	the repeated operator precedes the same wrapped Y referent	one card; not a general reduplication rule
OK_AL_Y_ORDER	OK+AL+Y in qokaly	den laufenden Posten an der Zielstelle einsetzen	FIXED_SINGLE_CARD	qokaly only	all three components already have selected bounded contributions	one card; argument order is not independently replicated
OR_PREPARATION	or|chor|shor|sor	Zubereitung; bereiteter Ansatz	FIXED_IN_WORKING_MODEL	OR, OL+OR, OT+OR, CHO+OR and OR+AIN	7 base, 2 previous, 2 next, 1 plant and 1 portion event	only licensed exact identities; not every visible internal or
IIN_GRADE	oiiin|soiiin and bounded IIN hulls	Sollstufe; verlangte Arbeitseinstellung	FIXED_CONTEXT_BOUND	exact IIN and learned K/DA extensions	two recurrent base events plus two extensions	does not specify whether the dimension is softness, aperture or another setting
CTH_READY	cthy exact family; qcthey|shcthey	gebrauchsfertig oder bereit	SELECTED_RECURRENT_STATE_FAMILY	CTH+Y and CTH+E+Y exact cards	seven base and two held-ready events	cthaiin remains a learned whole card
CHEO_EXTRACT_LIQUID	chokcheo; cheoar	Auszugs- oder Trägerflüssigkeit	PROVISIONAL_TWO_CARD_CORE	OK+CHEO before cloth filtering and CHEO+AR in a second Herbal record	two different Herbal pages support carrier/extract liquid	does not distinguish water, oil, wine, or another liquid
LDDY_APPLICATION_CLOSE	qokylddy	als Auflage befestigen und schließen	SELECTED_SINGLE_CARD_CORE	the one exact qokylddy card	one closed cell at the local f83r arch-linked pair	learned whole terminal core; not portable morphology yet
CKH_PASSAGE	chckhy|shckhy in one exact card	Durchlauf	SELECTED_BOUNDED_PROCESS_STEM	2cc8bb3c2af19607888f only	four events across B1/B2; one follows the Seihtuch card	not every visible CKH substring and no drawn arrow
CKHE_STRAIN	shckhedy; lcheckhedy	seihen	SELECTED_BOUNDED_PROCESS_STEM	two exact terminal cards	four statement-final events; H3 supplies the independent coarse/fine process analogy	CKHE is learned in these cards, not automatically CKH plus free E
LSH_WASH	lsho; lshedy	waschen oder spülen	SELECTED_BOUNDED_PROCESS_STEM	two exact LSH cards	one open wash card and two terminal wash cards in B1	SHED rest and TSHOL plant remain unrelated exact cards
SHEY_CLEAR_EXTRACT	cheey|shey exact renderer family	Klarauszug	SELECTED_RECURRENT_WHOLE_CARD	b5df9126607030b95175 only	four events; one immediately follows the second straining in H3	does not mean that EY is water or SH is clear elsewhere
FILTER_CLOTH_DECK	dain; solkaiin	Tuch; Seihtuch	SELECTED_NOMENCLATOR_PAIR	two exact tool cards	three tool-slot events before process/route cards	no shared visible root is asserted
SEPARATION_ACTION_DECK	qoctholy; kchal; cfhy; cphy	abpressen; abseihen; auswringen; nachseihen	SELECTED_NOMENCLATOR_DECK	four exact action cards	H2/H3/H5 statement order separates coarse, fine and repeated operations	short whole-card values, not a new F/P/HY morphology
