unit_serial	register	page	unit_id	visible_owner	group_count	surface_sequence	atom_sequence	literal_card_reading_de	owner_expansion_de	translation_mode
127	ASTRO	f67r2	f67r2.11	A1_RIGHT_SECTOR_SLOT_11	3	chky chykchs chy	CH+K+Y | KCH | NONE	aktuellen Klassenzustand setzen; Diagrammplatz berechnen oder bearbeiten; dieser lokale Diagrammposten	right sector slot 11: aktuellen Klassenzustand setzen; Diagrammplatz berechnen oder bearbeiten; dieser lokale Diagrammposten	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
128	ASTRO	f67r2	f67r2.12	A1_RIGHT_SECTOR_SLOT_12	2	ykees ykchos	YK | YK+KCH	bezeichnete Klasse oder Haus; bezeichnete Klasse oder Haus + KCH	right sector slot 12: bezeichnete Klasse oder Haus; bezeichnete Klasse oder Haus + KCH	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
129	ASTRO	f67r2	f67r2.13	A1_RIGHT_RING_BAND_01	4	opodchol s ain aldy	OP+OD+OL | S | AIN | AL	markiertes Paarfeld fortsetzen; Nebenwert; gezaehlter Teil oder Unterabschnitt; Zielsektor, Zielstern oder Zielfeld	right ring band 01: markiertes Paarfeld fortsetzen; Nebenwert; gezaehlter Teil oder Unterabschnitt; Zielsektor, Zielstern oder Zielfeld	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
130	ASTRO	f67r2	f67r2.14	A1_RIGHT_RING_BAND_02	3	soeey doiin oldy	EE | IIN | OL	lange Tabellenstufe; Tabellenstufe; fortsetzen und den Eintrag schliessen	right ring band 02: lange Tabellenstufe; Tabellenstufe; fortsetzen und den Eintrag schliessen	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
131	ASTRO	f67r2	f67r2.15	A1_LEFT_LOCAL_FIELD_15	1	dolchsody	OL	im selben Ring, Band oder Satz fortsetzen	left local field 15: im selben Ring, Band oder Satz fortsetzen	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
132	ASTRO	f67r2	f67r2.16	A1_LEFT_LOCAL_FIELD_16	4	odaeiin okoes oekain y	OD+IIN | OK | AIN | NONE	Arbeits- oder Bedingungsstufe markieren; Diagrammposten setzen oder aktivieren; gezaehlter Teil oder Unterabschnitt; dieser lokale Diagrammposten	left local field 16: Arbeits- oder Bedingungsstufe markieren; Diagrammposten setzen oder aktivieren; gezaehlter Teil oder Unterabschnitt; dieser lokale Diagrammposten	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
133	ASTRO	f67r2	f67r2.17	A1_LEFT_LOCAL_FIELD_17	3	otchey soraiir dy	OT | OR | NONE	naechster Diagrammposten; Bedingungs-, Tabellen- oder Wahlansatz; dieser lokale Diagrammposten	left local field 17: naechster Diagrammposten; Bedingungs-, Tabellen- oder Wahlansatz; dieser lokale Diagrammposten	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
134	ASTRO	f67r2	f67r2.18	A1_LEFT_LOCAL_FIELD_18	3	qopchy daiin dal	OP+CH+Y | AIIN | AL	aktueller Zustand des Paarfelds; Sollwert; Ziel	left local field 18: aktueller Zustand des Paarfelds; Sollwert; Ziel	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
135	ASTRO	f67r2	f67r2.19	A1_LEFT_LOCAL_FIELD_19	4	ydchos ain ar amy	YD+HO | AIN | AR | AM+Y	Eingangsposten der aktiven Zeile; gezaehlter Teil oder Unterabschnitt; Ausgangssektor, Ursprung oder Bezugswert; aktueller Aspekt	left local field 19: Eingangsposten der aktiven Zeile; gezaehlter Teil oder Unterabschnitt; Ausgangssektor, Ursprung oder Bezugswert; aktueller Aspekt	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
136	ASTRO	f67r2	f67r2.20	A1_LEFT_LOCAL_FIELD_20	2	chocfhy saral	HO | AR+AL	Himmelsobjekt oder Eingangsbedingung; von Quelle zum Ziel	left local field 20: Himmelsobjekt oder Eingangsbedingung; von Quelle zum Ziel	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
137	ASTRO	f67r2	f67r2.21	A1_LEFT_LOCAL_FIELD_21	3	sain am ar	AIN | AM | AR	Portion; ASPEKT; Ausgangssektor, Ursprung oder Bezugswert	left local field 21: Portion; ASPEKT; Ausgangssektor, Ursprung oder Bezugswert	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
138	ASTRO	f67r2	f67r2.22	A1_LEFT_LOCAL_FIELD_22	1	okal	OK+AL	am Zielplatz setzen	left local field 22: am Zielplatz setzen	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
139	ASTRO	f67r2	f67r2.23	A1_LEFT_LOCAL_FIELD_23	2	oparchy salsain	OP+AR | AL+AIN	Quelle des Paarfelds; Ziel + Portion	left local field 23: Quelle des Paarfelds; Ziel + Portion	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
140	ASTRO	f67r2	f67r2.24	A1_LEFT_LOCAL_FIELD_24	3	sodar ofar ar	AR | AR | AR	Ausgangssektor, Ursprung oder Bezugswert; Ausgangssektor, Ursprung oder Bezugswert; Ausgangssektor, Ursprung oder Bezugswert	left local field 24: Ausgangssektor, Ursprung oder Bezugswert; Ausgangssektor, Ursprung oder Bezugswert; Ausgangssektor, Ursprung oder Bezugswert	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
141	ASTRO	f67r2	f67r2.25	A1_LEFT_LOCAL_FIELD_25	1	ydam	YD+AM	Aspekt der aktiven Zeile	left local field 25: Aspekt der aktiven Zeile	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
142	ASTRO	f67r2	f67r2.26	A1_LEFT_LOCAL_FIELD_26	3	yteoor yto ykor	YT+OR | YT | YK+OR	bezeichneter Platz oder Phase + OR; bezeichneter Platz oder Phase; bezeichnete Klasse oder Haus + OR	left local field 26: bezeichneter Platz oder Phase + OR; bezeichneter Platz oder Phase; bezeichnete Klasse oder Haus + OR	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
143	ASTRO	f67r2	f67r2.27	A1_LEFT_LOCAL_FIELD_27	4	okeo r aiin am	OK | R | AIIN | AM	Diagrammposten setzen oder aktivieren; Bezugswert; Sollwert oder Grad des bezeichneten Himmelsplatzes; ASPEKT	left local field 27: Diagrammposten setzen oder aktivieren; Bezugswert; Sollwert oder Grad des bezeichneten Himmelsplatzes; ASPEKT	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
144	ASTRO	f67r2	f67r2.28	A1_LEFT_LOCAL_FIELD_28	2	okain am	OK+AIN | AM	einen gezaehlten Teilwert zugeben; ASPEKT	left local field 28: einen gezaehlten Teilwert zugeben; ASPEKT	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
145	ASTRO	f67r2	f67r2.29	A1_LEFT_LOCAL_FIELD_29	2	ytody saiin	YT+OD+Y | AIIN	diesen Platz eintragen; Sollwert	left local field 29: diesen Platz eintragen; Sollwert	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
146	ASTRO	f67r2	f67r2.30	A1_LEFT_LOCAL_FIELD_30	2	ochol olol	HO | OL+OL	im selben Ring, Band oder Satz fortsetzen; im selben Ring, Band oder Satz fortsetzen + im selben Ring, Band oder Satz fortsetzen	left local field 30: im selben Ring, Band oder Satz fortsetzen; im selben Ring, Band oder Satz fortsetzen + im selben Ring, Band oder Satz fortsetzen	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
147	ASTRO	f67r2	f67r2.31	A1_LEFT_LOCAL_FIELD_31	1	opcholdy	OP+OL+DY	Paarfeld fortsetzen und festhalten	left local field 31: Paarfeld fortsetzen und festhalten	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
148	ASTRO	f67r2	f67r2.32	A1_LEFT_LOCAL_FIELD_32	4	dosar odas air alaiin	AR | OD | AIR | AL+AIIN	Ausgangssektor, Ursprung oder Bezugswert; Nebenwert markieren; Himmels-, Ring- oder Zeigerlauf; Ziel-Sollwert	left local field 32: Ausgangssektor, Ursprung oder Bezugswert; Nebenwert markieren; Himmels-, Ring- oder Zeigerlauf; Ziel-Sollwert	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
149	ASTRO	f67r2	f67r2.33	A1_LEFT_LOCAL_FIELD_33	3	dokan oear odal	OK | AR | OD+AL	Diagrammposten setzen oder aktivieren; Ausgangssektor, Ursprung oder Bezugswert; Ziel markieren	left local field 33: Diagrammposten setzen oder aktivieren; Ausgangssektor, Ursprung oder Bezugswert; Ziel markieren	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
150	ASTRO	f67r2	f67r2.34	A1_LEFT_LOCAL_FIELD_34	2	ofar oeoldan	AR | OL	Ausgangssektor, Ursprung oder Bezugswert; im selben Ring, Band oder Satz fortsetzen + Bedingung oder Tabellenwert anwenden	left local field 34: Ausgangssektor, Ursprung oder Bezugswert; im selben Ring, Band oder Satz fortsetzen + Bedingung oder Tabellenwert anwenden	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
151	ASTRO	f67r2	f67r2.35	A1_LEFT_LOCAL_FIELD_35	3	chol giin okol	HO | G+IIN | OK+OL	im selben Ring oder Band fortsetzen; Gradstufe; Fortsetzung aktivieren	left local field 35: im selben Ring oder Band fortsetzen; Gradstufe; Fortsetzung aktivieren	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
152	ASTRO	f67r2	f67r2.36	A1_LEFT_LOCAL_FIELD_36	3	ytor daiin or	YT+OR | AIIN | OR	bezeichneter Platz oder Phase + OR; Sollwert; Bedingungs- oder Tabellensatz	left local field 36: bezeichneter Platz oder Phase + OR; Sollwert; Bedingungs- oder Tabellensatz	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
153	ASTRO	f67r2	f67r2.37	A1_LEFT_LOCAL_FIELD_37	1	ytoaiin	YT+AIIN	bezeichneter Platz oder Phase + AIIN	left local field 37: bezeichneter Platz oder Phase + AIIN	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
154	ASTRO	f67r2	f67r2.38	A1_LEFT_LOCAL_FIELD_38	2	otoldos octhole	OT+OL | CTH+OL	als nächstes fortsetzen; lokaler DOS-Status; Bereitwert + Fortsetzen	left local field 38: als nächstes fortsetzen; lokaler DOS-Status; Bereitwert + Fortsetzen	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
155	ASTRO	f67r2	f67r2.39	A1_LEFT_LOCAL_FIELD_39	3	sor chedaiin dy	OR | CHD+AIIN | NONE	Satz/Ansatz; ZUM SOLLWERT UMSETZEN; dieser lokale Diagrammposten	left local field 39: Satz/Ansatz; ZUM SOLLWERT UMSETZEN; dieser lokale Diagrammposten	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
156	ASTRO	f67r2	f67r2.40	A1_LEFT_LOCAL_FIELD_40	3	yteos oiin og	YT | IIN | G	bezeichneter Platz oder Phase; Tabellenstufe; Grundgrad	left local field 40: bezeichneter Platz oder Phase; Tabellenstufe; Grundgrad	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
157	ASTRO	f67r2	f67r2.41	A1_LEFT_LOCAL_FIELD_41	2	ytoeopchey chekody	YT | CHK+OD+Y	bezeichneter Platz oder Phase; erwärmten/gehaltenen Posten markieren	left local field 41: bezeichneter Platz oder Phase; erwärmten/gehaltenen Posten markieren	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
158	ASTRO	f67r2	f67r2.42	A1_LEFT_LOCAL_FIELD_42	3	sosho chos ockhy	OS+HO | HO | CKH	Feldeingang; Eingangsposten; durch Sektor, Ring oder Pruefweg fuehren	left local field 42: Feldeingang; Eingangsposten; durch Sektor, Ring oder Pruefweg fuehren	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
159	ASTRO	f67r2	f67r2.43	A1_LEFT_LOCAL_FIELD_43	4	daiin aiin os qsg	AIIN | AIIN | OS | G	Sollwert; Sollwert oder Grad des bezeichneten Himmelsplatzes; FELD/RAHMEN; Nebengrad	left local field 43: Sollwert; Sollwert oder Grad des bezeichneten Himmelsplatzes; FELD/RAHMEN; Nebengrad	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
160	ASTRO	f67r2	f67r2.44	A1_LEFT_LOCAL_FIELD_44	3	ofydy sheody aiin	O+Y+DY | E+OD+Y | AIIN	aktuellen Grundwert festhalten; diesen gehaltenen Posten kurz markieren; Sollwert oder Grad des bezeichneten Himmelsplatzes	left local field 44: aktuellen Grundwert festhalten; diesen gehaltenen Posten kurz markieren; Sollwert oder Grad des bezeichneten Himmelsplatzes	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
161	ASTRO	f67r2	f67r2.45	A1_LEFT_LOCAL_FIELD_45	3	ycheody es odaiiin	CHEO | SEL+S | OD+IIN	aktueller Ablesewert fest; ausgewählter Nebenwert; Stufe markieren	left local field 45: aktueller Ablesewert fest; ausgewählter Nebenwert; Stufe markieren	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
162	ASTRO	f67r2	f67r2.46	A1_LEFT_LOCAL_FIELD_46	2	yekees oraly	EE | OR+AL	lange Tabellenstufe; Ansatz/Satz + Ziel	left local field 46: lange Tabellenstufe; Ansatz/Satz + Ziel	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
163	ASTRO	f67r2	f67r2.47	A1_LEFT_LOCAL_FIELD_47	1	yfain	AIN	gezaehlter Teil oder Unterabschnitt	left local field 47: gezaehlter Teil oder Unterabschnitt	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
164	ASTRO	f67r2	f67r2.48	A1_LEFT_LOCAL_FIELD_48	3	todaiin dain dy	AIIN | AIN | NONE	Sollwert; Portion; dieser lokale Diagrammposten	left local field 48: Sollwert; Portion; dieser lokale Diagrammposten	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
165	ASTRO	f67r2	f67r2.49	A1_LEFT_LOCAL_FIELD_49	3	os choer aiin	OS | HO | AIIN	FELD/RAHMEN; Himmelsobjekt oder Eingangsbedingung; Sollwert oder Grad des bezeichneten Himmelsplatzes	left local field 49: FELD/RAHMEN; Himmelsobjekt oder Eingangsbedingung; Sollwert oder Grad des bezeichneten Himmelsplatzes	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
166	ASTRO	f67r2	f67r2.50	A1_LEFT_LOCAL_FIELD_50	2	choeea sal	HO+EE | AL	Eingangsposten länger halten; Ziel	left local field 50: Eingangsposten länger halten; Ziel	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
167	ASTRO	f67r2	f67r2.51	A1_LEFT_LOCAL_FIELD_51	1	dadaiin	AIIN	Sollwert	left local field 51: Sollwert	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
168	ASTRO	f67r2	f67r2.52	A1_LEFT_OUTER_STAR_STATION_01	1	qotoear	OT+E+AR	nächste Quelle kurz nehmen	left outer star station 01: nächste Quelle kurz nehmen	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
169	ASTRO	f67r2	f67r2.53	A1_LEFT_OUTER_STAR_STATION_02	1	dchdar	CHD+AR	von Quelle umsetzen	left outer star station 02: von Quelle umsetzen	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
170	ASTRO	f67r2	f67r2.54	A1_LEFT_OUTER_STAR_STATION_03	2	y saldal	NONE | AL+AL	dieser lokale Diagrammposten; Zielsektor, Zielstern oder Zielfeld + Zielsektor, Zielstern oder Zielfeld	left outer star station 03: dieser lokale Diagrammposten; Zielsektor, Zielstern oder Zielfeld + Zielsektor, Zielstern oder Zielfeld	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
171	ASTRO	f67r2	f67r2.55	A1_LEFT_OUTER_STAR_STATION_04	1	ytodal	YT+AL	bezeichneter Platz oder Phase + AL	left outer star station 04: bezeichneter Platz oder Phase + AL	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
172	ASTRO	f67r2	f67r2.56	A1_LEFT_OUTER_STAR_STATION_05	2	tol daiin	OL | AIIN	Fortsetzen; Sollwert	left outer star station 05: Fortsetzen; Sollwert	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
173	ASTRO	f67r2	f67r2.57	A1_LEFT_OUTER_STAR_STATION_06	2	otar dy	OT+AR | NONE	danach vom bezeichneten Ausgangsplatz; dieser lokale Diagrammposten	left outer star station 06: danach vom bezeichneten Ausgangsplatz; dieser lokale Diagrammposten	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
174	ASTRO	f67r2	f67r2.58	A1_LEFT_OUTER_STAR_STATION_07	3	cho dal g	HO | AL | G	Eingangsposten oder Zutat; Ziel; GRAD	left outer star station 07: Eingangsposten oder Zutat; Ziel; GRAD	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
175	ASTRO	f67r2	f67r2.59	A1_LEFT_OUTER_STAR_STATION_08	1	ytchodly	YT+HO	bezeichneter Platz oder Phase + HO	left outer star station 08: bezeichneter Platz oder Phase + HO	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
176	ASTRO	f67r2	f67r2.60	A1_LEFT_OUTER_STAR_STATION_09	1	octhys	CTH	sekundäre Grundbedingung	left outer star station 09: sekundäre Grundbedingung	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
177	ASTRO	f67r2	f67r2.61	A1_LEFT_OUTER_STAR_STATION_10	1	ytokar	YT+OK+AR	bezeichneter Platz oder Phase + OK+AR	left outer star station 10: bezeichneter Platz oder Phase + OK+AR	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
178	ASTRO	f67r2	f67r2.62	A1_LEFT_OUTER_STAR_STATION_11	1	otolor	OT+OL+OR	Folge + Fortsetzen + Ansatz/Satz	left outer star station 11: Folge + Fortsetzen + Ansatz/Satz	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
179	ASTRO	f67r2	f67r2.63	A1_LEFT_OUTER_STAR_STATION_12	1	okodar	OK+OD+AR	markierte Quelle aktivieren	left outer star station 12: markierte Quelle aktivieren	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
180	ASTRO	f67r2	f67r2.64	A1_RIGHT_PHASE_STATION_01	2	s air	S | AIR	Nebenwert; Himmels-, Ring- oder Zeigerlauf	right phase station 01: Nebenwert; Himmels-, Ring- oder Zeigerlauf	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
181	ASTRO	f67r2	f67r2.65	A1_RIGHT_PHASE_STATION_02	1	soear	AR	Ausgangssektor, Ursprung oder Bezugswert	right phase station 02: Ausgangssektor, Ursprung oder Bezugswert	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
182	ASTRO	f67r2	f67r2.66	A1_RIGHT_PHASE_STATION_03	1	cpheey	EE	lange Tabellenstufe	right phase station 03: lange Tabellenstufe	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
183	ASTRO	f67r2	f67r2.67	A1_RIGHT_PHASE_STATION_04	1	okodar	OK+OD+AR	markierte Quelle aktivieren	right phase station 04: markierte Quelle aktivieren	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
184	ASTRO	f67r2	f67r2.68	A1_RIGHT_PHASE_STATION_05	1	oepchod	HO	Himmelsobjekt oder Eingangsbedingung	right phase station 05: Himmelsobjekt oder Eingangsbedingung	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
185	ASTRO	f67r2	f67r2.69	A1_RIGHT_PHASE_STATION_06	2	s ay	S | A+Y	Nebenwert; aktueller Hauptwert	right phase station 06: Nebenwert; aktueller Hauptwert	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
186	ASTRO	f67r2	f67r2.70	A1_RIGHT_PHASE_STATION_07	1	osar	OS+AR	Feldquelle	right phase station 07: Feldquelle	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
187	ASTRO	f67r2	f67r2.71	A1_RIGHT_PHASE_STATION_08	1	oran	OR	Bedingungs-, Tabellen- oder Wahlansatz	right phase station 08: Bedingungs-, Tabellen- oder Wahlansatz	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
188	ASTRO	f67r2	f67r2.72	A1_LEFT_OUTER_RING_TEXT	12	dar aldaiin ydaiin qkoy ydaiin qofair ypair ykoaiin ydoly ytalchos oly okey	AR | AL+AIIN | YD+AIIN | K+O+Y | YD+AIIN | AIR | AIR | YK+AIIN | YD+OL | YT+AL+HO | OL | OK	Quelle; Ziel-Sollwert; Sollwert der aktiven Zeile; aktuelle Grundklasse; Sollwert der aktiven Zeile; Himmels-, Ring- oder Zeigerlauf; Himmels-, Ring- oder Zeigerlauf; bezeichnete Klasse oder Haus + AIIN; aktive Zeile fortsetzen; bezeichneter Platz oder Phase + AL+HO; im selben Ring, Band oder Satz fortsetzen; in kurzer Stufe setzen	left outer ring text: Quelle; Ziel-Sollwert; Sollwert der aktiven Zeile; aktuelle Grundklasse; Sollwert der aktiven Zeile; Himmels-, Ring- oder Zeigerlauf; Himmels-, Ring- oder Zeigerlauf; bezeichnete Klasse oder Haus + AIIN; aktive Zeile fortsetzen; bezeichneter Platz oder Phase + AL+HO; im selben Ring, Band oder Satz fortsetzen; in kurzer Stufe setzen	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
189	ASTRO	f67r2	f67r2.73	A1_RIGHT_OUTER_RING_TEXT	11	sshey sy shees qeykeey ykchey ykchey qokeochy oaiin okol ar olar	CHEEY | NONE | SH+EE | EE | YK+KCH | YK+KCH | OK | AIIN | OK+OL | AR | OL+AR	Ablesewert; dieser lokale Diagrammposten; länger halten; lange Tabellenstufe; bezeichnete Klasse oder Haus + KCH; bezeichnete Klasse oder Haus + KCH; Diagrammposten setzen oder aktivieren; Sollwert; Fortsetzung aktivieren; Ausgangssektor, Ursprung oder Bezugswert; VON DER QUELLE WEITER	right outer ring text: Ablesewert; dieser lokale Diagrammposten; länger halten; lange Tabellenstufe; bezeichnete Klasse oder Haus + KCH; bezeichnete Klasse oder Haus + KCH; Diagrammposten setzen oder aktivieren; Sollwert; Fortsetzung aktivieren; Ausgangssektor, Ursprung oder Bezugswert; VON DER QUELLE WEITER	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
190	ASTRO	f67r2	f67r2.74	A1_PAIRED_WHEEL_LEGEND_UNRESOLVED	13	yshey qokeeody cheos oeeos qockhy chos aiin okeeody qokoaiin odain ar air ay	Y+CHEEY | OK+EE+OD+Y | CHEO | EE+OS | CKH | HO | AIIN | OK+EE+OD+Y | OK+AIIN | OD+AIN | AR | AIR | A+Y	aktueller Ablesewert; diesen Posten länger aktivieren und eintragen; Ausgabe/Auszug; langes oder zweites Feld; durch Sektor, Ring oder Pruefweg fuehren; Eingangsposten; Sollwert oder Grad des bezeichneten Himmelsplatzes; diesen Posten länger aktivieren und eintragen; Sollwert aktivieren; Portion markieren; Ausgangssektor, Ursprung oder Bezugswert; Himmels-, Ring- oder Zeigerlauf; aktueller Hauptwert	paired wheel legend unresolved: aktueller Ablesewert; diesen Posten länger aktivieren und eintragen; Ausgabe/Auszug; langes oder zweites Feld; durch Sektor, Ring oder Pruefweg fuehren; Eingangsposten; Sollwert oder Grad des bezeichneten Himmelsplatzes; diesen Posten länger aktivieren und eintragen; Sollwert aktivieren; Portion markieren; Ausgangssektor, Ursprung oder Bezugswert; Himmels-, Ring- oder Zeigerlauf; aktueller Hauptwert	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
