unit_serial	register	page	unit_id	visible_owner	group_count	surface_sequence	atom_sequence	literal_card_reading_de	owner_expansion_de	translation_mode
11	PROSE	f55v	H4-S002	H4	3	daiin chedy talam	AIIN | CHD+Y | AL+AM	Sollmaß; laufenden Posten umsetzen; am Ziel verwahren	Stelle auf Sollmaß, übertrage den Posten und verwahre ihn an der Zielstelle.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
12	PROSE	f55v	H4-S003	H4	4	ykaiin cheoar cheeky oldy	Y+AIIN | CHEO+AR | CHK+EE+Y | OL+CLOSE	Postenmaß; Auszug entnehmen; länger erwärmen und offen halten; Fortsetzung abschließen	Nimm den abgemessenen Auszug aus der Quelle, wärme ihn länger und führe den Arbeitsgang zu Ende.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
13	PROSE	f55v	H4-S004	H4	6	aiin okal oltchy or y orain	AIIN | OK+AL | OL+CTH+Y | OR | Y | OR+AIN	Sollmaß; dort ansetzen; bereiten Posten weiterführen; Ansatz; dieser Posten; Ansatzportion	Arbeite nach Sollmaß, setze den Ansatz an der Zielstelle an und nimm davon eine Portion.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
14	PROSE	f56r	H5-S001	H5	9	chochor cho chodaly daiin sho kchol otchor choky dal	HO+OR | HO | HO+AL+Y | AIIN | HO | KCH+OL | OT+OR | OK+Y | AL	Zutatenansatz; Eingangsposten oder Zutat; diese Zutat zur Stelle bringen; Sollmaß; Zutat; weiter bearbeiten; Folgeansatz; aktuellen Posten ansetzen; dorthin	Nimm eine Zutat der abgebildeten Pflanze, bringe sie nach Sollmaß zur Arbeitsstelle und beginne damit den nächsten Ansatz.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
15	PROSE	f56r	H5-S002	H5	4	schol choy choky cheeckhody	PREV+OL | HO+Y | OK+Y | EE+CKH+HO+CLOSE	vorigen Posten fortsetzen; diese Zutat; aktuellen Posten ansetzen; länger auftragen; Schluss	Nimm den vorigen Posten wieder auf, setze diese Zutat an und lasse sie länger an der Zielstelle einwirken.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
16	PROSE	f56r	H5-S003	H5	4	sh cho kchey qokokchy	SH | HO | KCH+E+Y | OK+OK+Y	halten; Eingangsposten oder Zutat; diesen Posten kurz bearbeiten; erneut ansetzen	Halte die Zutat, bearbeite sie kurz und setze sie noch einmal an.: halten; Zutat; diesen Posten kurz bearbeiten; erneut ansetzen	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
17	PROSE	f56r	H5-S004	H5	3	okchy chokcheo kchal	OK+Y | OK+CHEO | KCH+AL	Posten zur Weiterbearbeitung ansetzen; Auszug zugeben; an der Zielstelle bearbeiten	Nimm den Posten in Arbeit, gib den Auszug zu und bearbeite alles an der Zielstelle.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
18	PROSE	f56r	H5-S005	H5	4	sho chokchy kchoar sotodan	HO | OK+Y | CHEO+AR | OT+DAN	Zutat; Posten zur Weiterbearbeitung ansetzen; Auszug daraus; danach anwenden	Setze die nächste Zutat an, nimm den Auszug daraus und wende ihn danach an.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
19	PROSE	f56r	H5-S006	H5	3	otchey keol daiin	OT+Y | E+OL | AIIN	nächster Teilposten; kurz weiterbearbeiten; Sollmaß	Nimm den folgenden Posten, führe ihn kurz weiter und stelle ihn auf Sollmaß.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
20	PROSE	f81v	B1-S001	B1	1	qokedy	OK+E+CLOSE	kurz ansetzen; Schluss	Bearbeite kurz und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
21	PROSE	f81v	B1-S002	B1	19	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	OK+AIIN | AIR | OK+AL | AR | OL | AIN | OL+AIN | AL | OL | OL | LOCAL_WHOLE | OL+OR | OL | CKH+E+AL | AIIN | OK+EE+AL | AIIN | CKH+Y | CHD+CLOSE	auf Sollmaß einstellen; Beckenwasser; dort ansetzen; aus dem Ansatz; fortsetzen; eine Portion; weitere Portion; dorthin; fortsetzen; vom vorigen Gang weiterführen; Zusatz; Fortsetzungsansatz; fortsetzen; kurz zur Zielstelle durchleiten; Sollmaß; dort länger halten; Sollmaß; durchleiten; Posten überführen; Schluss	Arbeite nach Sollmaß, öffne den Wasserlauf am Ziel, nimm vom Ausgang, führe weiter, gib einen Anteil, einen weiteren Anteil und den Zusatz zum Ziel, halte dort länger, übertrage und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
22	PROSE	f81v	B1-S003	B1	2	qol sshkchdy	OL | SH+KCH+CHD+CLOSE	fortsetzen; im Arbeitsgang schwenken; Schluss	Führe weiter, halte den Posten im Arbeitsgang, übertrage und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
23	PROSE	f81v	B1-S004	B1	3	chedy ol shedy	CHD+Y | OL | SHED+E+CLOSE	laufenden Posten umsetzen; fortsetzen; kurz absetzen lassen; Schluss	Übertrage, führe weiter, lass absetzen und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
24	PROSE	f81v	B1-S005	B1	1	qolchedy	OL+CHD+CLOSE	weiterüberführen; Schluss	Führe den Posten weiter und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
25	PROSE	f81v	B1-S006	B1	4	qokain shckhy dl ral	OK+AIN | CKH+Y | LOCAL_WHOLE | AL	eine Portion zugeben; durchleiten; Zusatz; zur Zielstelle	Gib einen gezählten Anteil und den Zusatz zu, leite den Posten durch und führe ihn zum Ziel.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
26	PROSE	f81v	B1-S007	B1	1	qokchdy	OK+CHD+CLOSE	Umsetzung ansetzen; Schluss	Nimm den Posten in Arbeit, übertrage und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
27	PROSE	f81v	B1-S008	B1	5	chey ol cheky ol shedy	Y | OL | CHK+E+Y | OL | SHED+E+CLOSE	dieser Posten; fortsetzen; kurz wärmen; fortsetzen; kurz absetzen lassen; Schluss	Führe den aktuellen Posten weiter, wärme kurz, lass absetzen und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
28	PROSE	f81v	B1-S009	B1	1	qokedy	OK+E+CLOSE	kurz ansetzen; Schluss	Bearbeite kurz und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
29	PROSE	f81v	B1-S010	B1	1	qokedy	OK+E+CLOSE	kurz ansetzen; Schluss	Bearbeite kurz und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
30	PROSE	f81v	B1-S011	B1	2	chckhy qoky	CKH+Y | OK+Y	durchleiten; aktuellen Posten ansetzen	Leite durch und nimm den Posten in Arbeit.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
31	PROSE	f81v	B1-S012	B1	3	lsho qokey lshedy	WASH+START | OK+E+Y | WASH+CLOSE	Waschgang beginnen; kurz ansetzen; waschen; Schluss	Beginne mit dem durchgeleiteten Waschposten den Waschgang, bearbeite kurz, wasche und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
32	PROSE	f81v	B1-S013	B1	1	lshedy	WASH+CLOSE	waschen; Schluss	Wasche und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
33	PROSE	f81v	B1-S014	B1	5	chedy qolky lchedal qol otar	CHD+Y | OL | L+CHD+AL | OL | OT+AR	laufenden Posten umsetzen; auf dem Arbeitsweg weiterleiten; zur Ablaufstelle führen; fortsetzen; danach von dort	Übertrage, führe weiter, leite am Auslass ab und führe danach von dort weiter.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
34	PROSE	f81v	B1-S015	B1	2	ytey okchedy	Y+E+TY | OK+CHD+CLOSE	kurzen Teil des aktuellen Postens nehmen; angesetzten Inhalt überführen; Schluss	Nimm einen kurzen Teil des aktuellen Postens, setze ihn an, übertrage und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
35	PROSE	f81v	B1-S016	B1	4	qokal okeey qol cheedy	OK+AL | OK+EE+Y | OL | SHED+E+CLOSE	dort ansetzen; länger ansetzen; fortsetzen; kurz absetzen lassen; Schluss	Setze dort länger an, führe weiter, lass absetzen und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
36	PROSE	f81v	B1-S017	B1	3	sal teol dchdy	AL | E+OL | CHD+CLOSE	dorthin; kurz weiterleiten; weitergeführten Posten überführen; Schluss	Führe dorthin, führe kurz weiter, übertrage und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
37	PROSE	f81v	B1-S018	B1	4	ly dsheol oiiin olkeedy	L+Y | SH+E+OL | IIN | SOLK+EE+CLOSE	aktuellen Posten abführen; kurz weiter ruhen lassen; Sollstufe; länger sammeln; Schluss	Führe den aktuellen Posten ab, halte kurz, führe fort, stelle die Stufe ein, sammle länger und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
38	PROSE	f81v	B1-S019	B1	1	tedy	SHED+E+CLOSE	kurz absetzen lassen; Schluss	Lass absetzen und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
39	PROSE	f81v	B1-S020	B1	2	cheky shckhedy	CHK+E+Y | CKHE+CLOSE	kurz wärmen; seihen; Schluss	Wärme kurz, seih und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
40	PROSE	f81v	B1-S021	B1	1	chal	AL	dorthin	Führe den Posten dorthin.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
41	PROSE	f82r	B2-S001	B2	1	dchedy	CHD+CLOSE	Posten überführen; Schluss	Übertrage und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
42	PROSE	f82r	B2-S002	B2	1	qolchedy	OL+CHD+CLOSE	weiterüberführen; Schluss	Führe weiter und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
43	PROSE	f82r	B2-S003	B2	3	qokain dy qokeedy	OK+AIN | Y | OK+EE+CLOSE	eine Portion zugeben; dieser Posten; länger ansetzen; Schluss	Gib einen Anteil zu, setze den Posten länger an und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
44	PROSE	f82r	B2-S004	B2	5	qokal lcheckhy lched qokeey lcheckhedy	OK+AL | L+CKH+Y | L+CHD | OK+EE+Y | L+CKHE+CLOSE	dort ansetzen; Ausgangsdurchlass; abführen; länger ansetzen; abseihen; Schluss	Setze dort an, leite durch den Ausgang, führe ab, bearbeite länger, seih ab und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
45	PROSE	f82r	B2-S005	B2	8	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	OK+AL+Y | SOLK+AIIN | CKH+Y | OK+AIIN | OK+AIIN | CTH+OL | CHK+EE+Y | L+CLOSE	dies dort ansetzen; bis Sollmass sammeln; durchleiten; auf Sollmaß einstellen; auf Sollmaß einstellen; bereitgestellten Gang fortsetzen; diesen Posten länger warm halten; abziehen; Ende	Nimm den aktuellen Posten in Arbeit am Ziel, sammle bis zum Vorgabewert, leite durch, setze zweimal auf Vorgabewert, führe bereit fort, wärme länger, führe ab und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
46	PROSE	f82r	B2-S006	B2	4	oteey qokal sheckhy qoky	OT+EE+Y | OK+AL | CKH+E+Y | OK+Y	langer Folgeposten; dort ansetzen; kurz durchleiten; aktuellen Posten ansetzen	Nimm den langen Folgeposten, setze ihn dort an, leite ihn kurz durch und nimm den Posten in Arbeit.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
47	PROSE	f82r	B2-S007	B2	1	dshedy	SHED+E+CLOSE	kurz absetzen; Schluss	Lass kurz absetzen und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
48	PROSE	f82r	B2-S008	B2	3	sotaiin qokar shedy	OT+AIIN | OK+AR | SHED+E+CLOSE	Folgemaß; daraus ansetzen; kurz absetzen lassen; Schluss	Stelle den Folgewert ein, setze daraus an, lass absetzen und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
49	PROSE	f82r	B2-S009	B2	1	solshedy	OL+SHED+CLOSE	weiter absetzen; Schluss	Lass weiter absetzen und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
50	PROSE	f82r	B2-S010	B2	4	qokeey qoky ls cheey	OK+EE+Y | OK+Y | L | CHEEY	länger ansetzen; aktuellen Posten ansetzen; Durchlassöffnung; klarer Auszug	Bearbeite länger, führe den Posten durch den Auslass und nimm den Klarauszug.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
51	PROSE	f82r	B2-S011	B2	4	okain char okain qokeedy	OK+AIN | AR | OK+AIN | OK+EE+CLOSE	eine Portion zugeben; aus dem Ansatz; eine Portion zugeben; länger ansetzen; Schluss	Gib einen gezählten Anteil zu, nimm vom Ausgang einen weiteren Anteil, bearbeite länger und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
52	PROSE	f82r	B2-S012	B2	8	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	L+Y | CHEEY | CTH+E+Y | OK+EE+Y | L+CHEEY | AIIN | Y | OK+EEE+CLOSE	abziehen; klarer Auszug; kurz bereithalten; länger ansetzen; Klarlauf abfuehren; Sollmaß; dieser Posten; vollständig ansetzen; Schluss	Ziehe den Posten ab, nimm den Klarauszug, halte ihn kurz bereit, setze ihn länger an, führe den Klarauszug ab, arbeite nach Sollmaß, führe den Posten vollständig aus und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
53	PROSE	f82r	B2-S013	B2	1	lchedy	L+CHD+CLOSE	abführen; Schluss	Führe ab und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
54	PROSE	f82r	B2-S014	B2	1	lar	L+AR	von dort abfuehren	Führe von dort ab.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
55	PROSE	f82r	B2-S015	B2	2	tshey qokeedy	CHEEY | OK+EE+CLOSE	Klarlauf zugeben; länger ansetzen; Schluss	Nimm den Klarauszug, bearbeite länger und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
56	PROSE	f82r	B2-S016	B2	8	cheal lchedar ches aiin oteey qokaiin okey pchedy	AL | L+CHD+AR | PARTITION | AIIN | OT+EE+Y | OK+AIIN | OK+E+Y | P+CHD+CLOSE	dorthin; von dort abführen; teilen; Sollmaß; langer Folgeposten; auf Sollmaß einstellen; kurz ansetzen; einführen; Schluss	Führe zum Ziel und vom Ausgang ab, trenne, stelle auf Sollmaß, nimm den langen Folgeposten, setze kurz, führe ein und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
57	PROSE	f82r	B2-S017	B2	2	rsheal daldy	SH+E+AL | AL+CLOSE	kurz am Ziel ruhen; Nebenoeffnung; Schluss	Halte den Posten kurz am Ziel, schließe das Ziel und beende den Schritt.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
58	PROSE	f82r	B2-S018	B2	1	qokeedy	OK+EE+CLOSE	länger ansetzen; Schluss	Bearbeite länger und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
59	PROSE	f82r	B2-S019	B2	1	rshedy	WASH+CLOSE	Waschgang abschließen	Führe den Waschgang aus und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
60	PROSE	f82r	B2-S020	B2	1	qoteedy	OT+EE+CLOSE	lange Folge; Schluss	Führe den längeren Folgegang aus und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
61	PROSE	f82r	B2-S021	B2	1	qokeedy	OK+EE+CLOSE	länger ansetzen; Schluss	Bearbeite länger und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
62	PROSE	f82r	B2-S022	B2	1	lochedy	L+CHD+CLOSE	Rest abfuehren; Schluss	Führe den Rest ab und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
63	PROSE	f83r	B3-S001	B3	1	olkeedy	SOLK+EE+CLOSE	länger sammeln; Schluss	Sammle länger und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
64	PROSE	f83r	B3-S002	B3	2	qotal chkeedy	OT+AL | CHK+EE+CLOSE	danach dorthin; länger wärmen; Schluss	Führe danach dorthin, wärme länger und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
65	PROSE	f83r	B3-S003	B3	4	chey daiin chey lchedy	Y | AIIN | Y | L+CHD+CLOSE	dieser Posten; Sollmaß; dieser Posten; abführen; Schluss	Nimm den aktuellen Posten, arbeite nach Sollmaß, nimm ihn wieder auf, führe ab und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
66	PROSE	f83r	B3-S004	B3	3	qokaiin qotal dar	OK+AIIN | OT+AL | AR	auf Sollmaß einstellen; danach dorthin; aus dem Ansatz	Arbeite nach Sollmaß, führe danach dorthin und nimm daraus.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
67	PROSE	f83r	B3-S005	B3	1	schedy	CHD+CLOSE	Posten überführen; Schluss	Übertrage und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
68	PROSE	f83r	B3-S006	B3	3	chedchy qokal olchedy	CHD+Y | OK+AL | OL+CHD+CLOSE	diesen Posten überführen; dort ansetzen; weiterüberführen; Schluss	Übertrage den aktuellen Posten, setze ihn am Ziel an, führe weiter und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
69	PROSE	f83r	B3-S007	B3	3	qokaiin chedy qokeedy	OK+AIIN | CHD+Y | OK+EE+CLOSE	auf Sollmaß einstellen; laufenden Posten umsetzen; länger ansetzen; Schluss	Arbeite nach Sollmaß, übertrage, bearbeite länger und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
70	PROSE	f83r	B3-S008	B3	1	lchedy	L+CHD+CLOSE	abführen; Schluss	Führe ab und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
71	PROSE	f83r	B3-S009	B3	1	qoky	OK+Y	aktuellen Posten ansetzen	Nimm den Posten in Arbeit.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
72	PROSE	f83r	B3-S010	B3	2	pchedal otedy	P+CHD+AL | OT+E+CLOSE	Einlass; kurze Folge; Schluss	Führe den angesetzten Posten am Einlass zu, nimm die kurze Folge und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
73	PROSE	f83r	B3-S011	B3	4	shecthedchy qoky chedy chary	CTH+CHD+Y | OK+Y | CHD+Y | AR+Y	bereiten Posten umsetzen; aktuellen Posten ansetzen; laufenden Posten umsetzen; aus diesem Posten	Übertrage den bereiten Posten, setze ihn an, übertrage den aktuellen Posten und nimm ihn vom Ausgang.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
74	PROSE	f83r	B3-S012	B3	2	sor shedy	OR | SHED+E+CLOSE	Ansatz; kurz absetzen lassen; Schluss	Bereite den Ansatz, lass ihn absetzen und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
75	PROSE	f83r	B3-S013	B3	4	qokaiin chkain shcthey qokedy	OK+AIIN | AIN | CTH+E+Y | OK+E+CLOSE	auf Sollmaß einstellen; eine Portion; kurz bereithalten; kurz ansetzen; Schluss	Arbeite nach Sollmaß, nimm einen Anteil, halte kurz bereit, bearbeite kurz und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
76	PROSE	f83r	B3-S014	B3	2	okair sheedy	OK+AIR | SHED+EE+CLOSE	Wasser einlassen; länger absetzen; Schluss	Lass Wasser ein, lass länger absetzen und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
77	PROSE	f83r	B3-S015	B3	1	lchedy	L+CHD+CLOSE	abführen; Schluss	Führe ab und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
78	PROSE	f83r	B3-S016	B3	2	lo qokchedy	L | OK+CHD+CLOSE	abfuehren; angesetzten Inhalt überführen; Schluss	Führe ab, setze den Posten um und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
79	PROSE	f83r	B3-S017	B3	1	qokeedy	OK+EE+CLOSE	länger ansetzen; Schluss	Bearbeite länger und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
80	PROSE	f83r	B3-S018	B3	1	shedy	SHED+E+CLOSE	kurz absetzen lassen; Schluss	Lass absetzen und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
81	PROSE	f83r	B3-S019	B3	1	qokshedy	OK+SHED+CLOSE	Absetzgang ansetzen; Schluss	Lass absetzen und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
82	PROSE	f83r	B3-S020	B3	2	dal lchedy	AL | L+CHD+CLOSE	dorthin; abführen; Schluss	Führe dorthin, führe ab und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
83	PROSE	f83r	B3-S021	B3	11	qokaiin shcthy dal sy saiin shedal shecthy chey tal shcthy dalchdy	OK+AIIN | CTH+Y | AL | Y | AIIN | SHED+AL | CTH+E+Y | Y | AL | CTH+Y | AL+CHD+CLOSE	auf Sollmaß einstellen; bereit; dorthin; dieser Posten; Sollmaß; dort absetzen; kurz bereit halten; dieser Posten; dorthin; bereit; dorthin umsetzen; Schluss	Arbeite nach Sollmaß, halte bereit, führe dorthin, lass dort absetzen, halte den Posten kurz bereit, führe ihn erneut dorthin, übertrage und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
84	PROSE	f83r	B3-S022	B3	1	qotchedy	OT+CHD+CLOSE	nächsten Posten überführen; Schluss	Übertrage den Folgeposten und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
85	PROSE	f83r	B3-S023	B3	1	lchedy	L+CHD+CLOSE	abführen; Schluss	Führe ab und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
86	PROSE	f83r	B3-S024	B3	1	tchedy	CHD+CLOSE	Posten überführen; Schluss	Übertrage und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
87	PROSE	f83r	B3-S025	B3	1	qokchdy	OK+CHD+CLOSE	Umsetzung ansetzen; Schluss	Übertrage und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
