old_command_id	card_no	event_id	page	record	statement_id	position_in_statement	surface	previous_command_de	current_command_de	next_command_de	case_expansion_de
CMD084	PROC091	E151	f81v	B1	B1-S015	LAST	okchedy	EINTRAGEN · KURZ · DIES	ANSETZEN · UMSETZEN; SCHLUSS	END	den laufenden Posten einsetzen und überführen und den Schritt schließen
CMD097	PROC013	E154	f81v	B1	B1-S016	MIDDLE	qol	ANSETZEN · LANG · DIES	FORTSETZEN	ABSETZEN; SCHLUSS	den laufenden Posten weiter absetzen lassen und den Schritt schließen
CMD021	PROC094	E158	f81v	B1	B1-S017	LAST	dchdy	KURZ · FORTSETZEN	UMSETZEN; SCHLUSS	END	den laufenden Posten weiter an der bezeichneten Stelle kurz umfüllen und den Schritt schließen
CMD021	PROC076	E167	f82r	B2	B2-S001	ONLY	dchedy	START	UMSETZEN; SCHLUSS	END	den laufenden Posten überführen und den Schritt schließen
CMD025	PROC107	E183	f82r	B2	B2-S005	MIDDLE	chkeey	GANG · BEREIT · KURZ · FORTSETZEN	WAERMEN · LANG · DIES	FUEHREN; SCHLUSS	den laufenden Posten weiter im Arbeitsgang zunächst kurz, dann länger bis bereit warm halten
CMD095	PROC008	E188	f82r	B2	B2-S006	LAST	qoky	HALTEN · KURZ · DURCHLASS · DIES	ANSETZEN · DIES	END	den laufenden Posten einsetzen
CMD095	PROC008	E195	f82r	B2	B2-S010	MIDDLE	qoky	ANSETZEN · LANG · DIES	ANSETZEN · DIES	FORTSETZEN	den laufenden Posten einsetzen
CMD097	PROC115	E196	f82r	B2	B2-S010	MIDDLE	ls	ANSETZEN · DIES	FORTSETZEN	HALTEN · LANG · DIES	den laufenden Posten weiter länger halten
CMD141	PROC031	E197	f82r	B2	B2-S010	LAST	cheey	FORTSETZEN	HALTEN · LANG · DIES	END	den laufenden Posten weiter länger halten
CMD141	PROC031	E203	f82r	B2	B2-S012	MIDDLE	cheey	FUEHREN · ABZIEHEN · DIES	HALTEN · LANG · DIES	BEREIT · KURZ · DIES	den laufenden Posten länger halten
CMD021	PROC076	E239	f83r	B3	B3-S005	ONLY	schedy	START	UMSETZEN; SCHLUSS	END	danach den laufenden Posten von dort an der bezeichneten Stelle umfüllen und den Schritt schließen
CMD022	PROC133	E240	f83r	B3	B3-S006	FIRST	chedchy	START	UMSETZEN · DIES	ANSETZEN · ZIEL	den laufenden Posten umsetzen
CMD022	PROC042	E244	f83r	B3	B3-S007	MIDDLE	chedy	ANSETZEN · MASS	UMSETZEN · DIES	ANSETZEN · LANG; SCHLUSS	den laufenden Posten umsetzen
CMD095	PROC008	E247	f83r	B3	B3-S009	ONLY	qoky	START	ANSETZEN · DIES	END	den laufenden Posten einsetzen
CMD095	PROC008	E251	f83r	B3	B3-S011	MIDDLE	qoky	HALTEN · KURZ · BIS BEREIT; UMSETZEN · DIES	ANSETZEN · DIES	UMSETZEN · DIES	den laufenden Posten einsetzen
CMD022	PROC042	E252	f83r	B3	B3-S011	MIDDLE	chedy	ANSETZEN · DIES	UMSETZEN · DIES	QUELLE · DIES	den laufenden Posten umsetzen
CMD084	PROC091	E264	f83r	B3	B3-S016	LAST	qokchedy	FUEHREN · GANG	ANSETZEN · UMSETZEN; SCHLUSS	END	den laufenden Posten einsetzen und überführen und den Schritt schließen
CMD114	PROC145	E281	f83r	B3	B3-S022	ONLY	qotchedy	START	DANACH · UMSETZEN; SCHLUSS	END	danach den laufenden Posten überführen und den Schritt schließen
CMD021	PROC076	E283	f83r	B3	B3-S024	ONLY	tchedy	START	UMSETZEN; SCHLUSS	END	den laufenden Posten überführen und den Schritt schließen
CMD084	PROC082	E284	f83r	B3	B3-S025	ONLY	qokchdy	START	ANSETZEN · UMSETZEN; SCHLUSS	END	den laufenden Posten einsetzen und überführen und den Schritt schließen
CMD022	PROC042	E287	f83r	B3	B3-S026	MIDDLE	chedy	FUEHREN · MASS	UMSETZEN · DIES	ANSETZEN · PORTION	den laufenden Posten umsetzen
CMD097	PROC013	E295	f83r	B3	B3-S029	FIRST	sol	START	FORTSETZEN	VOLL · EINTRAGEN · DIES	den laufenden Posten weiter vollständig eintragen
CMD095	PROC008	E298	f83r	B3	B3-S030	FIRST	qoky	START	ANSETZEN · DIES	MASS	den laufenden Posten einsetzen
CMD114	PROC145	E301	f83r	B3	B3-S030	LAST	otchedy	UMSETZEN · LAUF	DANACH · UMSETZEN; SCHLUSS	END	danach den laufenden Posten überführen und den Schritt schließen
CMD022	PROC042	E304	f83r	B3	B3-S032	MIDDLE	chedy	UMSETZEN · PORTION	UMSETZEN · DIES	DANACH · KURZ · MASS	danach den laufenden Posten nach vorgeschriebenem Maß kurz abmessen und umsetzen und den Schritt schließen
CMD022	PROC042	E319	f83r	B4	B4-S003	FIRST	chedy	START	UMSETZEN · DIES	DANACH · ZIEL	den laufenden Posten umsetzen
CMD121	PROC065	E321	f83r	B4	B4-S003	MIDDLE	otchey	DANACH · ZIEL	DANACH · DIES	ANSETZEN · LANG · DIES	danach den laufenden Posten an der bezeichneten Stelle länger anlegen
CMD095	PROC008	E323	f83r	B4	B4-S003	MIDDLE	qoky	ANSETZEN · LANG · DIES	ANSETZEN · DIES	FORTSETZEN	den laufenden Posten einsetzen
CMD097	PROC013	E324	f83r	B4	B4-S003	MIDDLE	tol	ANSETZEN · DIES	FORTSETZEN	ABSETZEN; SCHLUSS	den laufenden Posten weiter absetzen lassen und den Schritt schließen
CMD022	PROC042	E328	f83r	B4	B4-S005	MIDDLE	chedy	PORTION	UMSETZEN · DIES	ANSETZEN · LANG; SCHLUSS	den laufenden Posten als Portion abmessen und umsetzen
CMD025	PROC046	E333	f83r	B4	B4-S008	MIDDLE	cheeky	MASS	WAERMEN · LANG · DIES	HALTEN · LANG · DIES	den laufenden Posten nach vorgeschriebenem Maß länger warm halten
CMD141	PROC157	E334	f83r	B4	B4-S008	MIDDLE	sheey	WAERMEN · LANG · DIES	HALTEN · LANG · DIES	ANSETZEN · KURZ; SCHLUSS	den laufenden Posten länger halten
CMD022	PROC042	E342	f83r	B4	B4-S011	MIDDLE	chdy	ANSETZEN · PORTION	UMSETZEN · DIES	FORTSETZEN	den laufenden Posten umsetzen
CMD097	PROC013	E343	f83r	B4	B4-S011	MIDDLE	sol	UMSETZEN · DIES	FORTSETZEN	FUEHREN · ZUFUEHREN · KURZ; SCHLUSS	den laufenden Posten weiter kurz abführen und zugeben und den Schritt schließen
CMD093	PROC160	E346	f83r	B4	B4-S013	FIRST	qokol	START	ANSETZEN · FORTSETZEN	ABSETZEN; SCHLUSS	den laufenden Posten weiter einsetzen
CMD141	PROC031	E353	f83r	B4	B4-S015	MIDDLE	shey	ANSETZEN · PORTION	HALTEN · LANG · DIES	ZUFUEHREN · PORTION	den laufenden Posten länger halten
CMD114	PROC166	E362	f83r	B5	B5-S001	ONLY	otchdy	START	DANACH · UMSETZEN; SCHLUSS	END	danach den laufenden Posten überführen und den Schritt schließen
CMD084	PROC082	E363	f83r	B5	B5-S002	ONLY	qokchdy	START	ANSETZEN · UMSETZEN; SCHLUSS	END	den laufenden Posten einsetzen und überführen und den Schritt schließen
CMD097	PROC013	E366	f83r	B5	B5-S003	MIDDLE	cheol	ZIEL	FORTSETZEN	FUEHREN · FORTSETZEN	den laufenden Posten weiter an der bezeichneten Stelle hinleiten
CMD097	PROC013	E370	f83r	B5	B5-S003	MIDDLE	sol	MASS	FORTSETZEN	ZWEIT · STUFE	den laufenden Posten weiter nach vorgeschriebenem Maß bis zur zweiten Sollstufe abmessen und umsetzen
CMD022	PROC042	E372	f83r	B5	B5-S003	LAST	chedy	ZWEIT · STUFE	UMSETZEN · DIES	END	den laufenden Posten weiter nach vorgeschriebenem Maß bis zur zweiten Sollstufe abmessen und umsetzen
CMD097	PROC013	E376	f83r	B6	B6-S001	MIDDLE	ol	KUEHLEN · ZIEL · DIES	FORTSETZEN	MASS	den laufenden Posten weiter nach vorgeschriebenem Maß als Portion an der bezeichneten Stelle hinleiten
CMD097	PROC013	E378	f83r	B6	B6-S001	MIDDLE	ol	MASS	FORTSETZEN	PORTION	den laufenden Posten weiter nach vorgeschriebenem Maß als Portion an der bezeichneten Stelle hinleiten
