card_no	surfaces	semantic_component_parse	command_id	standard_command_de	command_class	occurrences	records	duplicate_semantic_command	old_command_id	old_standard_command_de	resolution
PROC015	ycheor	Y+CH+E+OR	CMD159	DIES · ABZIEHEN · KURZ · ANSATZ	ACTION_COMMAND	1	H2	NO	CMD159	DIES · ABZIEHEN · KURZ · ANSATZ	UNCHANGED_UNIQUE_COMMAND
PROC016	chor|or|shor|sor	OR	CMD106	ANSATZ	ARGUMENT_OR_OBJECT_FORMULA	7	H2|H4|B3|B4	NO	CMD106	ANSATZ	UNCHANGED_UNIQUE_COMMAND
PROC017	cthaiin	CTH+AIIN	CMD027	BEREIT · MASS	STATE_OR_GRADE_FORMULA	1	H2	NO	CMD027	BEREIT · MASS	UNCHANGED_UNIQUE_COMMAND
PROC018	qoctholy	O+CTH+OL+Y	CMD073	GANG · BEREIT · FORTSETZEN · DIES	STATE_OR_GRADE_FORMULA	1	H2	NO	CMD073	GANG · BEREIT · FORTSETZEN · DIES	UNCHANGED_UNIQUE_COMMAND
PROC019	chey|chy|dy|shy|sy|y	Y	CMD158	DIES	ARGUMENT_OR_OBJECT_FORMULA	18	H2|H3|H4|B1|B2|B3|B4|B6	NO	CMD158	DIES	UNCHANGED_UNIQUE_COMMAND
PROC020	otchor|qotchor	OT+CH+OR	CMD113	DANACH · ABZIEHEN · ANSATZ	ACTION_COMMAND	2	H2|H5	NO	CMD113	DANACH · ABZIEHEN · ANSATZ	UNCHANGED_UNIQUE_COMMAND
PROC021	otol	OT+OL	CMD120	DANACH · FORTSETZEN	SEQUENCE_FORMULA	1	H2	NO	CMD120	DANACH · FORTSETZEN	UNCHANGED_UNIQUE_COMMAND
PROC022	cholor|olor	OL+OR	CMD102	FORTSETZEN · ANSATZ	SEQUENCE_FORMULA	2	H2|B1	NO	CMD102	FORTSETZEN · ANSATZ	UNCHANGED_UNIQUE_COMMAND
PROC023	oykchor	O+Y+K+OR	CMD076	GANG · DIES · ZUFUEHREN · ANSATZ	ACTION_COMMAND	1	H2	NO	CMD076	GANG · DIES · ZUFUEHREN · ANSATZ	UNCHANGED_UNIQUE_COMMAND
PROC024	kaiiin	K+IIN	CMD048	ZUFUEHREN · STUFE	ACTION_COMMAND	1	H2	NO	CMD048	ZUFUEHREN · STUFE	UNCHANGED_UNIQUE_COMMAND
PROC025	chodaiin	CH+O+AIIN	CMD017	ABZIEHEN · GANG · MASS	ACTION_COMMAND	1	H2	NO	CMD017	ABZIEHEN · GANG · MASS	UNCHANGED_UNIQUE_COMMAND
PROC026	tshol	T+SH+OL	CMD155	EINTRAGEN · HALTEN · FORTSETZEN	ACTION_COMMAND	1	H3	NO	CMD155	EINTRAGEN · HALTEN · FORTSETZEN	UNCHANGED_UNIQUE_COMMAND
PROC027	schoal	SH+O+AL	CMD143	HALTEN · GANG · ZIEL	ACTION_COMMAND	1	H3	NO	CMD143	HALTEN · GANG · ZIEL	UNCHANGED_UNIQUE_COMMAND
PROC028	cfhy	CFH+Y	CMD010	AUSWRINGEN · DIES	ACTION_COMMAND	1	H3	NO	CMD010	AUSWRINGEN · DIES	UNCHANGED_UNIQUE_COMMAND
PROC029	shfydaiin	SH+Y+AIIN	CMD145	HALTEN · DIES · MASS	ACTION_COMMAND	1	H3	NO	CMD145	HALTEN · DIES · MASS	UNCHANGED_UNIQUE_COMMAND
PROC030	cphy	P+Y	CMD125	HINEIN · DIES	ACTION_COMMAND	1	H3	NO	CMD125	HINEIN · DIES	UNCHANGED_UNIQUE_COMMAND
PROC031	cheey|shey	SH+EE+Y	CMD141	HALTEN · LANG · DIES	ACTION_COMMAND	4	H3|B2|B4	YES	CMD141	HALTEN · LANG · DIES	KEEP_SAME_COMMAND_AS_ALLOGRAPH_OR_REGISTER_VARIANT
PROC032	tchody	T+CH+O+DY	CMD153	EINTRAGEN · ABZIEHEN · GANG; SCHLUSS	ACTION_COMMAND	1	H3	NO	CMD153	EINTRAGEN · ABZIEHEN · GANG; SCHLUSS	UNCHANGED_UNIQUE_COMMAND
PROC033	shoyty	SH+O+Y+T+Y	CMD144	DIES HALTEN · IM GANG EINTRAGEN · DIES	ACTION_COMMAND	1	H3	NO	CMD144	DIES HALTEN · IM GANG EINTRAGEN · DIES	UNCHANGED_UNIQUE_COMMAND
PROC034	dchol|schol	RESUME_CARD	CMD162	WIEDERAUFNEHMEN	SEQUENCE_FORMULA	2	H3|H5	NO	CMD097	FORTSETZEN	SEMANTIC_SPLIT_STATEMENT_ENTRY
PROC035	kchy	K+Y	CMD050	ZUFUEHREN · DIES	ACTION_COMMAND	1	H3	NO	CMD050	ZUFUEHREN · DIES	UNCHANGED_UNIQUE_COMMAND
PROC036	qotchy	OT+Y	CMD121	DANACH · DIES	SEQUENCE_FORMULA	1	H3	YES	CMD121	DANACH · DIES	KEEP_SAME_COMMAND_AS_ALLOGRAPH_OR_REGISTER_VARIANT
PROC037	okchol	OK+OL	CMD093	ANSETZEN · FORTSETZEN	ACTION_COMMAND	1	H3	YES	CMD093	ANSETZEN · FORTSETZEN	KEEP_SAME_COMMAND_AS_ALLOGRAPH_OR_REGISTER_VARIANT
PROC038	okaiin|qokaiin	OK+AIIN	CMD077	ANSETZEN · MASS	ACTION_COMMAND	9	H4|B1|B2|B3	NO	CMD077	ANSETZEN · MASS	UNCHANGED_UNIQUE_COMMAND
PROC039	ykain	Y+K+AIN	CMD161	DIES · ZUFUEHREN · PORTION	ACTION_COMMAND	1	H4	NO	CMD161	DIES · ZUFUEHREN · PORTION	KEEP_SAME_COMMAND_AS_ALLOGRAPH_OR_REGISTER_VARIANT
PROC040	ykan	Y+K+AN	CMD163	DIES · ZUFUEHREN · NACHPORTION	ACTION_COMMAND	1	H4	NO	CMD161	DIES · ZUFUEHREN · PORTION	SEMANTIC_SPLIT_ADJACENT_SECOND_PORTION
PROC041	ody	O+DY	CMD074	GANG; SCHLUSS	CLOSE_FORMULA	1	H4	NO	CMD074	GANG; SCHLUSS	UNCHANGED_UNIQUE_COMMAND
PROC042	chdy|chedy	CHD+Y	CMD022	UMSETZEN · DIES	ACTION_COMMAND	11	H4|B1|B3|B4|B5	YES	CMD022	UMSETZEN · DIES	KEEP_SAME_COMMAND_AS_ALLOGRAPH_OR_REGISTER_VARIANT
PROC043	talam	TALAM	CMD157	VERWAHREN	ACTION_COMMAND	1	H4	NO	CMD157	VERWAHREN	UNCHANGED_UNIQUE_COMMAND
PROC044	ykaiin	Y+K+AIIN	CMD160	DIES · ZUFUEHREN · MASS	ACTION_COMMAND	1	H4	NO	CMD160	DIES · ZUFUEHREN · MASS	UNCHANGED_UNIQUE_COMMAND
PROC045	cheoar	CH+E+O+AR	CMD013	ABZIEHEN · KURZ · GANG · QUELLE	ACTION_COMMAND	1	H4	NO	CMD013	ABZIEHEN · KURZ · GANG · QUELLE	UNCHANGED_UNIQUE_COMMAND
PROC046	cheeky	CHK+EE+Y	CMD025	WAERMEN · LANG · DIES	ACTION_COMMAND	2	H4|B4	YES	CMD025	WAERMEN · LANG · DIES	KEEP_SAME_COMMAND_AS_ALLOGRAPH_OR_REGISTER_VARIANT
PROC047	oldy	OL+DY	CMD100	FORTSETZEN; SCHLUSS	CLOSE_FORMULA	2	H4|B4	NO	CMD100	FORTSETZEN; SCHLUSS	UNCHANGED_UNIQUE_COMMAND
PROC048	okal|qokal	OK+AL	CMD080	ANSETZEN · ZIEL	ACTION_COMMAND	6	H4|B1|B2|B3	NO	CMD080	ANSETZEN · ZIEL	UNCHANGED_UNIQUE_COMMAND
PROC049	oltchy	OL+T+Y	CMD104	FORTSETZEN · EINTRAGEN · DIES	ACTION_COMMAND	1	H4	NO	CMD104	FORTSETZEN · EINTRAGEN · DIES	UNCHANGED_UNIQUE_COMMAND
PROC050	orain	OR+AIN	CMD107	ANSATZ · PORTION	ARGUMENT_OR_OBJECT_FORMULA	1	H4	NO	CMD107	ANSATZ · PORTION	UNCHANGED_UNIQUE_COMMAND
PROC051	chochor	HO+CH+OR	CMD039	GABE · ABZIEHEN · ANSATZ	ACTION_COMMAND	1	H5	NO	CMD039	GABE · ABZIEHEN · ANSATZ	UNCHANGED_UNIQUE_COMMAND
PROC052	cho|sho	HO	CMD037	GABE	ARGUMENT_OR_OBJECT_FORMULA	4	H5	NO	CMD037	GABE	UNCHANGED_UNIQUE_COMMAND
PROC053	chodaly	HO+AL+Y	CMD038	GABE · ZIEL · DIES	ARGUMENT_OR_OBJECT_FORMULA	1	H5	NO	CMD038	GABE · ZIEL · DIES	UNCHANGED_UNIQUE_COMMAND
PROC054	kchol	K+OL	CMD049	ZUFUEHREN · FORTSETZEN	ACTION_COMMAND	1	H5	NO	CMD049	ZUFUEHREN · FORTSETZEN	UNCHANGED_UNIQUE_COMMAND
PROC055	al|chal|cheal|dal|sal|tal	AL	CMD004	ZIEL	ARGUMENT_OR_OBJECT_FORMULA	10	H5|B1|B2|B3|B4|B5	NO	CMD004	ZIEL	UNCHANGED_UNIQUE_COMMAND
PROC056	choy	HO+Y	CMD040	GABE · DIES	ARGUMENT_OR_OBJECT_FORMULA	1	H5	NO	CMD040	GABE · DIES	UNCHANGED_UNIQUE_COMMAND
PROC057	cheeckhody	CH+EE+CKH+O+DY	CMD016	ABZIEHEN · LANG · DURCHLASS · GANG; SCHLUSS	ACTION_COMMAND	1	H5	NO	CMD016	ABZIEHEN · LANG · DURCHLASS · GANG; SCHLUSS	UNCHANGED_UNIQUE_COMMAND
PROC058	sh	SH	CMD131	HALTEN	ACTION_COMMAND	1	H5	NO	CMD131	HALTEN	UNCHANGED_UNIQUE_COMMAND
PROC059	kchey	K+E+Y	CMD046	ZUFUEHREN · KURZ · DIES	ACTION_COMMAND	1	H5	NO	CMD046	ZUFUEHREN · KURZ · DIES	UNCHANGED_UNIQUE_COMMAND
PROC060	qokokchy	OK+OK+Y	CMD092	ANSETZEN · ANSETZEN · DIES	ACTION_COMMAND	1	H5	NO	CMD092	ANSETZEN · ANSETZEN · DIES	UNCHANGED_UNIQUE_COMMAND
PROC061	chokcheo	OK+CH+E+O	CMD083	ANSETZEN · ABZIEHEN · KURZ · GANG	ACTION_COMMAND	1	H5	NO	CMD083	ANSETZEN · ABZIEHEN · KURZ · GANG	UNCHANGED_UNIQUE_COMMAND
PROC062	kchal	K+AL	CMD043	ZUFUEHREN · ZIEL	ACTION_COMMAND	1	H5	NO	CMD043	ZUFUEHREN · ZIEL	UNCHANGED_UNIQUE_COMMAND
PROC063	kchoar	K+HO+AR	CMD047	ZUFUEHREN · GABE · QUELLE	ACTION_COMMAND	1	H5	NO	CMD047	ZUFUEHREN · GABE · QUELLE	UNCHANGED_UNIQUE_COMMAND
PROC064	sotodan	OT+O+AIN	CMD119	DANACH · GANG · PORTION	SEQUENCE_FORMULA	1	H5	NO	CMD119	DANACH · GANG · PORTION	UNCHANGED_UNIQUE_COMMAND
PROC065	otchey	OT+Y	CMD121	DANACH · DIES	SEQUENCE_FORMULA	2	H5|B4	YES	CMD121	DANACH · DIES	KEEP_SAME_COMMAND_AS_ALLOGRAPH_OR_REGISTER_VARIANT
PROC066	keol	K+E+OL	CMD045	ZUFUEHREN · KURZ · FORTSETZEN	ACTION_COMMAND	1	H5	NO	CMD045	ZUFUEHREN · KURZ · FORTSETZEN	UNCHANGED_UNIQUE_COMMAND
PROC067	qokedy	OK+E+DY	CMD085	ANSETZEN · KURZ; SCHLUSS	ACTION_COMMAND	8	B1|B3|B4	NO	CMD085	ANSETZEN · KURZ; SCHLUSS	UNCHANGED_UNIQUE_COMMAND
PROC068	kair	K+AIR	CMD042	ZUFUEHREN · LAUF	ACTION_COMMAND	1	B1	NO	CMD042	ZUFUEHREN · LAUF	UNCHANGED_UNIQUE_COMMAND
PROC069	chkain|kain	K+AIN	CMD041	ZUFUEHREN · PORTION	ACTION_COMMAND	3	B1|B3|B4	NO	CMD041	ZUFUEHREN · PORTION	UNCHANGED_UNIQUE_COMMAND
PROC070	olkain|qolkain	OL+K+AIN	CMD101	FORTSETZEN · ZUFUEHREN · PORTION	ACTION_COMMAND	2	B1|B4	NO	CMD101	FORTSETZEN · ZUFUEHREN · PORTION	UNCHANGED_UNIQUE_COMMAND
PROC071	rol	R+OL	CMD128	KUEHLEN · FORTSETZEN	ACTION_COMMAND	1	B1	NO	CMD128	KUEHLEN · FORTSETZEN	UNCHANGED_UNIQUE_COMMAND
PROC072	dl	L	CMD051	FUEHREN	ACTION_COMMAND	2	B1	NO	CMD051	FUEHREN	UNCHANGED_UNIQUE_COMMAND
PROC073	sheckhal	SH+E+CKH+AL	CMD133	HALTEN · KURZ · DURCHLASS · ZIEL	ACTION_COMMAND	1	B1	NO	CMD133	HALTEN · KURZ · DURCHLASS · ZIEL	UNCHANGED_UNIQUE_COMMAND
PROC074	qokeedal	OK+EE+AL	CMD087	ANSETZEN · LANG · ZIEL	ACTION_COMMAND	1	B1	NO	CMD087	ANSETZEN · LANG · ZIEL	UNCHANGED_UNIQUE_COMMAND
PROC075	chckhy|shckhy	CKH+Y	CMD026	DURCHLASS · DIES	ARGUMENT_OR_OBJECT_FORMULA	4	B1|B2	NO	CMD026	DURCHLASS · DIES	UNCHANGED_UNIQUE_COMMAND
PROC076	dchedy|schedy|tchedy	CHD+DY	CMD021	UMSETZEN; SCHLUSS	ACTION_COMMAND	4	B1|B2|B3	YES	CMD021	UMSETZEN; SCHLUSS	KEEP_SAME_COMMAND_AS_ALLOGRAPH_OR_REGISTER_VARIANT
PROC077	sshkchdy	SH+K+CHD+DY	CMD142	HALTEN · ZUFUEHREN · UMSETZEN; SCHLUSS	ACTION_COMMAND	1	B1	NO	CMD142	HALTEN · ZUFUEHREN · UMSETZEN; SCHLUSS	UNCHANGED_UNIQUE_COMMAND
PROC078	cheedy|shedy|tedy	SHED+DY	CMD147	ABSETZEN; SCHLUSS	ACTION_COMMAND	12	B1|B2|B3|B4	NO	CMD147	ABSETZEN; SCHLUSS	UNCHANGED_UNIQUE_COMMAND
PROC079	olchedy|qolchedy	OL+CHD+DY	CMD099	FORTSETZEN · UMSETZEN; SCHLUSS	ACTION_COMMAND	3	B1|B2|B3	NO	CMD099	FORTSETZEN · UMSETZEN; SCHLUSS	UNCHANGED_UNIQUE_COMMAND
PROC080	okain|qokain	OK+AIN	CMD078	ANSETZEN · PORTION	ACTION_COMMAND	7	B1|B2|B3|B4	NO	CMD078	ANSETZEN · PORTION	UNCHANGED_UNIQUE_COMMAND
PROC081	ral	R+AL	CMD126	KUEHLEN · ZIEL	ACTION_COMMAND	1	B1	NO	CMD126	KUEHLEN · ZIEL	UNCHANGED_UNIQUE_COMMAND
PROC082	qokchdy	OK+CHD+DY	CMD084	ANSETZEN · UMSETZEN; SCHLUSS	ACTION_COMMAND	3	B1|B3|B5	YES	CMD084	ANSETZEN · UMSETZEN; SCHLUSS	KEEP_SAME_COMMAND_AS_ALLOGRAPH_OR_REGISTER_VARIANT
PROC083	cheky	CHK+E+Y	CMD023	WAERMEN · KURZ · DIES	ACTION_COMMAND	3	B1|B4	NO	CMD023	WAERMEN · KURZ · DIES	UNCHANGED_UNIQUE_COMMAND
PROC084	lsho	LSH+O	CMD070	WASCHEN · GANG	ACTION_COMMAND	1	B1	NO	CMD070	WASCHEN · GANG	UNCHANGED_UNIQUE_COMMAND
PROC085	okey|qokey	OK+E+Y	CMD086	ANSETZEN · KURZ · DIES	ACTION_COMMAND	2	B1|B2	NO	CMD086	ANSETZEN · KURZ · DIES	UNCHANGED_UNIQUE_COMMAND
PROC086	lshedy	LSH+E+DY	CMD069	WASCHEN · KURZ; SCHLUSS	ACTION_COMMAND	2	B1	NO	CMD069	WASCHEN · KURZ; SCHLUSS	UNCHANGED_UNIQUE_COMMAND
PROC087	qolky	SOLK+Y	CMD152	AUFFANGEN · DIES	ACTION_COMMAND	1	B1	NO	CMD152	AUFFANGEN · DIES	UNCHANGED_UNIQUE_COMMAND
PROC088	lchedal	L+CHD+AL	CMD057	FUEHREN · UMSETZEN · ZIEL	ACTION_COMMAND	1	B1	NO	CMD057	FUEHREN · UMSETZEN · ZIEL	UNCHANGED_UNIQUE_COMMAND
PROC089	otar	OT+AR	CMD111	DANACH · QUELLE	SEQUENCE_FORMULA	1	B1	NO	CMD111	DANACH · QUELLE	UNCHANGED_UNIQUE_COMMAND
PROC090	ytey	T+E+Y	CMD154	EINTRAGEN · KURZ · DIES	ACTION_COMMAND	1	B1	NO	CMD154	EINTRAGEN · KURZ · DIES	UNCHANGED_UNIQUE_COMMAND
PROC091	okchedy|qokchedy	OK+CHD+DY	CMD084	ANSETZEN · UMSETZEN; SCHLUSS	ACTION_COMMAND	2	B1|B3	YES	CMD084	ANSETZEN · UMSETZEN; SCHLUSS	KEEP_SAME_COMMAND_AS_ALLOGRAPH_OR_REGISTER_VARIANT
PROC092	okeey|qokeey	OK+EE+Y	CMD090	ANSETZEN · LANG · DIES	ACTION_COMMAND	7	B1|B2|B3|B4	NO	CMD090	ANSETZEN · LANG · DIES	UNCHANGED_UNIQUE_COMMAND
PROC093	teol	E+OL	CMD033	KURZ · FORTSETZEN	STATE_OR_GRADE_FORMULA	1	B1	NO	CMD033	KURZ · FORTSETZEN	UNCHANGED_UNIQUE_COMMAND
PROC094	dchdy	CHD+DY	CMD021	UMSETZEN; SCHLUSS	ACTION_COMMAND	1	B1	YES	CMD021	UMSETZEN; SCHLUSS	KEEP_SAME_COMMAND_AS_ALLOGRAPH_OR_REGISTER_VARIANT
PROC095	ly	L+Y	CMD068	FUEHREN · DIES	ACTION_COMMAND	1	B1	NO	CMD068	FUEHREN · DIES	UNCHANGED_UNIQUE_COMMAND
PROC096	dsheol	SH+E+OL	CMD138	HALTEN · KURZ · FORTSETZEN	ACTION_COMMAND	1	B1	NO	CMD138	HALTEN · KURZ · FORTSETZEN	UNCHANGED_UNIQUE_COMMAND
PROC097	oiiin|soiiin	O+IIN	CMD075	GANG · STUFE	ARGUMENT_OR_OBJECT_FORMULA	2	B1|B3	NO	CMD075	GANG · STUFE	UNCHANGED_UNIQUE_COMMAND
PROC098	olkeedy|solkeedy	SOLK+EE+DY	CMD150	AUFFANGEN · LANG; SCHLUSS	ACTION_COMMAND	3	B1|B3	NO	CMD150	AUFFANGEN · LANG; SCHLUSS	UNCHANGED_UNIQUE_COMMAND
PROC099	shckhedy	SH+CKH+E+DY	CMD132	HALTEN · DURCHLASS · KURZ; SCHLUSS	ACTION_COMMAND	3	B1|B4	NO	CMD132	HALTEN · DURCHLASS · KURZ; SCHLUSS	UNCHANGED_UNIQUE_COMMAND
PROC100	qokeedy	OK+EE+DY	CMD088	ANSETZEN · LANG; SCHLUSS	ACTION_COMMAND	10	B2|B3|B4	NO	CMD088	ANSETZEN · LANG; SCHLUSS	UNCHANGED_UNIQUE_COMMAND
PROC101	lcheckhy	L+CKH+Y	CMD061	FUEHREN · DURCHLASS · DIES	ACTION_COMMAND	1	B2	NO	CMD061	FUEHREN · DURCHLASS · DIES	UNCHANGED_UNIQUE_COMMAND
PROC102	lched	L+CHD	CMD056	FUEHREN · UMSETZEN	ACTION_COMMAND	1	B2	NO	CMD056	FUEHREN · UMSETZEN	UNCHANGED_UNIQUE_COMMAND
PROC103	lcheckhedy	L+CKH+E+DY	CMD060	FUEHREN · DURCHLASS · KURZ; SCHLUSS	ACTION_COMMAND	1	B2	NO	CMD060	FUEHREN · DURCHLASS · KURZ; SCHLUSS	UNCHANGED_UNIQUE_COMMAND
PROC104	qokaly	OK+AL+Y	CMD081	ANSETZEN · ZIEL · DIES	ACTION_COMMAND	1	B2	NO	CMD081	ANSETZEN · ZIEL · DIES	UNCHANGED_UNIQUE_COMMAND
PROC105	solkaiin	SOLK+AIIN	CMD148	AUFFANGEN · MASS	ACTION_COMMAND	1	B2	NO	CMD148	AUFFANGEN · MASS	UNCHANGED_UNIQUE_COMMAND
PROC106	octheol	O+CTH+E+OL	CMD072	GANG · BEREIT · KURZ · FORTSETZEN	STATE_OR_GRADE_FORMULA	1	B2	NO	CMD072	GANG · BEREIT · KURZ · FORTSETZEN	UNCHANGED_UNIQUE_COMMAND
PROC107	chkeey	CHK+EE+Y	CMD025	WAERMEN · LANG · DIES	ACTION_COMMAND	1	B2	YES	CMD025	WAERMEN · LANG · DIES	KEEP_SAME_COMMAND_AS_ALLOGRAPH_OR_REGISTER_VARIANT
PROC108	ldy	L+DY	CMD062	FUEHREN; SCHLUSS	ACTION_COMMAND	2	B2|B3	NO	CMD062	FUEHREN; SCHLUSS	UNCHANGED_UNIQUE_COMMAND
PROC109	oteey	OT+EE+Y	CMD118	DANACH · LANG · DIES	STATE_OR_GRADE_FORMULA	2	B2	NO	CMD118	DANACH · LANG · DIES	UNCHANGED_UNIQUE_COMMAND
PROC110	sheckhy	SH+E+CKH+Y	CMD134	HALTEN · KURZ · DURCHLASS · DIES	ACTION_COMMAND	1	B2	NO	CMD134	HALTEN · KURZ · DURCHLASS · DIES	UNCHANGED_UNIQUE_COMMAND
PROC111	dshedy	SH+E+DY	CMD137	HALTEN · KURZ; SCHLUSS	ACTION_COMMAND	1	B2	NO	CMD137	HALTEN · KURZ; SCHLUSS	UNCHANGED_UNIQUE_COMMAND
PROC112	otaiin|sotaiin	OT+AIIN	CMD109	DANACH · MASS	SEQUENCE_FORMULA	3	B2|B3	NO	CMD109	DANACH · MASS	UNCHANGED_UNIQUE_COMMAND
PROC113	qokar	OK+AR	CMD082	ANSETZEN · QUELLE	ACTION_COMMAND	1	B2	NO	CMD082	ANSETZEN · QUELLE	UNCHANGED_UNIQUE_COMMAND
PROC114	solshedy	OL+SH+E+DY	CMD103	FORTSETZEN · HALTEN · KURZ; SCHLUSS	ACTION_COMMAND	1	B2	NO	CMD103	FORTSETZEN · HALTEN · KURZ; SCHLUSS	UNCHANGED_UNIQUE_COMMAND
PROC115	ls	OL	CMD097	FORTSETZEN	SEQUENCE_FORMULA	1	B2	YES	CMD097	FORTSETZEN	KEEP_SAME_COMMAND_AS_ALLOGRAPH_OR_REGISTER_VARIANT
PROC116	lchy	L+CH+Y	CMD055	FUEHREN · ABZIEHEN · DIES	ACTION_COMMAND	1	B2	NO	CMD055	FUEHREN · ABZIEHEN · DIES	UNCHANGED_UNIQUE_COMMAND
PROC117	qcthey|shcthey	CTH+E+Y	CMD028	BEREIT · KURZ · DIES	STATE_OR_GRADE_FORMULA	2	B2|B3	NO	CMD028	BEREIT · KURZ · DIES	UNCHANGED_UNIQUE_COMMAND
PROC118	lcheey	L+EE+Y	CMD063	FUEHREN · LANG · DIES	ACTION_COMMAND	1	B2	NO	CMD063	FUEHREN · LANG · DIES	UNCHANGED_UNIQUE_COMMAND
PROC119	qokeeedy	OK+EEE+DY	CMD091	ANSETZEN · VOLL; SCHLUSS	ACTION_COMMAND	1	B2	NO	CMD091	ANSETZEN · VOLL; SCHLUSS	UNCHANGED_UNIQUE_COMMAND
PROC120	lchedy	L+CHD+DY	CMD059	FUEHREN · UMSETZEN; SCHLUSS	ACTION_COMMAND	8	B2|B3|B4	NO	CMD059	FUEHREN · UMSETZEN; SCHLUSS	UNCHANGED_UNIQUE_COMMAND
PROC121	lar	L+AR	CMD054	FUEHREN · QUELLE	ACTION_COMMAND	1	B2	NO	CMD054	FUEHREN · QUELLE	UNCHANGED_UNIQUE_COMMAND
PROC122	tshey	SH+E+Y	CMD139	HALTEN · KURZ · DIES	ACTION_COMMAND	1	B2	NO	CMD139	HALTEN · KURZ · DIES	UNCHANGED_UNIQUE_COMMAND
PROC123	lchedar	L+CHD+AR	CMD058	FUEHREN · UMSETZEN · QUELLE	ACTION_COMMAND	1	B2	NO	CMD058	FUEHREN · UMSETZEN · QUELLE	UNCHANGED_UNIQUE_COMMAND
PROC124	ches	CH+E+S	CMD014	ABZIEHEN · KURZ · TEILEN	ACTION_COMMAND	1	B2	NO	CMD014	ABZIEHEN · KURZ · TEILEN	UNCHANGED_UNIQUE_COMMAND
PROC125	pchedy	P+CHD+DY	CMD124	HINEIN · UMSETZEN; SCHLUSS	ACTION_COMMAND	1	B2	NO	CMD124	HINEIN · UMSETZEN; SCHLUSS	UNCHANGED_UNIQUE_COMMAND
PROC126	rsheal	R+SH+E+AL	CMD129	KUEHLEN · HALTEN · KURZ · ZIEL	ACTION_COMMAND	1	B2	NO	CMD129	KUEHLEN · HALTEN · KURZ · ZIEL	UNCHANGED_UNIQUE_COMMAND
