component_recipe	current_event_count	current_page_count	current_register_count	one_event_jackknife_outcome	whole_recipe_deletion_fixed_reader_outcome	regenerated_neighbor_count	regenerated_fallback_rank	regenerated_source_recipes	literal_reading_de
AL+O	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	L+O	ZIELORT · AUSFÜHRUNG
AL+O+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	ZIELORT · AUSFÜHRUNG · POSTEN
AL+OL	1	1	1	REGENERATED_NARROW	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	2	REGENERATED_NARROW	AR+OL | L+OL	ZIELORT · FORTSETZEN
AL+OR	3	3	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	3	REGENERATED_STRONG	AL+AIIN | AL+Y | L+OR	ZIELORT · EINHEIT
AL+R+OR	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	ZIELORT · MARKIEREN · EINHEIT
AL+S	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	ZIELORT · WÄHLEN
AL+S+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	ZIELORT · WÄHLEN · POSTEN
AL+SH+E+DY	2	1	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	L+SH+E+DY	ZIELORT · HALTEN · GRAD I · SCHLUSS
AL+SH+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	ZIELORT · HALTEN · POSTEN
AL+T+E+D_ADDR+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	ZIELORT · EINSTELLEN · GRAD I · HIER · POSTEN
AL+Y	9	7	3	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	4	REGENERATED_HIGH	AL+AIIN | AL+OR | AR+Y | L+Y	ZIELORT · POSTEN
AM_ADDR	9	7	3	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HIER
AM_ADDR+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HIER · POSTEN
AR	39	15	5	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	3	REGENERATED_STRONG	AIR | AL | L	AUSGANG
AR+AIIN	1	1	1	REGENERATED_STRONG	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	3	REGENERATED_STRONG	AL+AIIN | AR+Y | L+AIIN	AUSGANG · WERT
AR+CH+EE+Y	2	2	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	AUSGANG · NEHMEN · GRAD II · POSTEN
AR+CH+Y+T+AIIN	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	AUSGANG · NEHMEN · POSTEN · EINSTELLEN · WERT
AR+OL	4	4	3	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	2	REGENERATED_NARROW	AL+OL | L+OL	AUSGANG · FORTSETZEN
AR+OL+Y	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	L+OL+Y	AUSGANG · FORTSETZEN · POSTEN
AR+S+A_ADDR	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	AUSGANG · WÄHLEN · HIER
AR+Y	1	1	1	REGENERATED_STRONG	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	3	REGENERATED_STRONG	AL+Y | AR+AIIN | L+Y	AUSGANG · POSTEN
A_ADDR	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HIER
A_ADDR+AL	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HIER · ZIELORT
A_ADDR+LOCAL_CHAR_I+M_LOCAL	2	1	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HIER · VARIANTE · HIER
A_ADDR+S	4	3	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HIER · WÄHLEN
A_ADDR+S+E	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HIER · WÄHLEN · GRAD I
A_ADDR+SH+Y+T+EE+D_ADDR	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HIER · HALTEN · POSTEN · EINSTELLEN · GRAD II · HIER
A_ADDR+T+AIIN	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HIER · EINSTELLEN · WERT
A_ADDR+T+CH+OR	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HIER · EINSTELLEN · NEHMEN · EINHEIT
A_ADDR+T+EE+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HIER · EINSTELLEN · GRAD II · POSTEN
A_ADDR+Y	2	2	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HIER · POSTEN
CARRIER_Q+E+AIIN	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	BEGINNMARKER · GRAD I · WERT
CARRIER_Q+E+DY	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	BEGINNMARKER · GRAD I · SCHLUSS
CARRIER_Q+E+K+AIIN	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	BEGINNMARKER · GRAD I · GEBEN · WERT
CARRIER_Q+E+K+EE+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	BEGINNMARKER · GRAD I · GEBEN · GRAD II · POSTEN
CARRIER_Q+E+P+CHD+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	BEGINNMARKER · GRAD I · EINSETZEN · BEARBEITEN · POSTEN
CARRIER_Q+E+T+AL	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	BEGINNMARKER · GRAD I · EINSTELLEN · ZIELORT
CARRIER_Q+E+T+CH+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	BEGINNMARKER · GRAD I · EINSTELLEN · NEHMEN · POSTEN
CARRIER_Q+E+T+IIN	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	BEGINNMARKER · GRAD I · EINSTELLEN · STUFE
CARRIER_Q+E+Y+K+EE+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	BEGINNMARKER · GRAD I · POSTEN · GEBEN · GRAD II · POSTEN
CARRIER_Q+EE+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	BEGINNMARKER · GRAD II · POSTEN
CARRIER_Q+EEE+D_ADDR+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	BEGINNMARKER · GRAD III · HIER · POSTEN
CARRIER_Q+EEE+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	BEGINNMARKER · GRAD III · POSTEN
CARRIER_Q+K+O+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	BEGINNMARKER · GEBEN · AUSFÜHRUNG · POSTEN
CARRIER_Q+O+AIIN	6	5	3	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	2	REGENERATED_NARROW	CARRIER_Q+O+AIN | CARRIER_Q+O+OR	BEGINNMARKER · AUSFÜHRUNG · WERT
CARRIER_Q+O+AIN	1	1	1	REGENERATED_NARROW	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	2	REGENERATED_NARROW	CARRIER_Q+O+AIIN | CARRIER_Q+O+OR	BEGINNMARKER · AUSFÜHRUNG · ANTEIL
CARRIER_Q+O+A_ADDR+Y	2	1	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	BEGINNMARKER · AUSFÜHRUNG · HIER · POSTEN
CARRIER_Q+O+CH+EE+Y	2	2	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	BEGINNMARKER · AUSFÜHRUNG · NEHMEN · GRAD II · POSTEN
CARRIER_Q+O+CH+K+OL	3	3	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	BEGINNMARKER · AUSFÜHRUNG · NEHMEN · GEBEN · FORTSETZEN
CARRIER_Q+O+CH+K+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	BEGINNMARKER · AUSFÜHRUNG · NEHMEN · GEBEN · POSTEN
CARRIER_Q+O+CH+T+E+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	BEGINNMARKER · AUSFÜHRUNG · NEHMEN · EINSTELLEN · GRAD I · POSTEN
CARRIER_Q+O+CH+T+OL+Y	2	2	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	BEGINNMARKER · AUSFÜHRUNG · NEHMEN · EINSTELLEN · FORTSETZEN · POSTEN
CARRIER_Q+O+DY	3	3	3	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	BEGINNMARKER · AUSFÜHRUNG · SCHLUSS
CARRIER_Q+O+D_ADDR+CHD	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	BEGINNMARKER · AUSFÜHRUNG · HIER · BEARBEITEN
CARRIER_Q+O+D_ADDR+O+AM_ADDR	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	BEGINNMARKER · AUSFÜHRUNG · HIER · AUSFÜHRUNG · HIER
CARRIER_Q+O+D_ADDR+OR	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	BEGINNMARKER · AUSFÜHRUNG · HIER · EINHEIT
CARRIER_Q+O+E+AIR	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	BEGINNMARKER · AUSFÜHRUNG · GRAD I · BAHN
CARRIER_Q+O+E+K+E+OR	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	BEGINNMARKER · AUSFÜHRUNG · GRAD I · GEBEN · GRAD I · EINHEIT
CARRIER_Q+O+E+K+OL	2	1	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	BEGINNMARKER · AUSFÜHRUNG · GRAD I · GEBEN · FORTSETZEN
CARRIER_Q+O+E+S+E+DY	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	BEGINNMARKER · AUSFÜHRUNG · GRAD I · WÄHLEN · GRAD I · SCHLUSS
CARRIER_Q+O+EE+D_ADDR+Y	2	2	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	BEGINNMARKER · AUSFÜHRUNG · GRAD II · HIER · POSTEN
CARRIER_Q+O+IIN+S	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	BEGINNMARKER · AUSFÜHRUNG · STUFE · WÄHLEN
CARRIER_Q+O+LOCAL_CHAR_F+AIIN	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	BEGINNMARKER · AUSFÜHRUNG · HIER · WERT
CARRIER_Q+O+LOCAL_CHAR_F+AIR	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	BEGINNMARKER · AUSFÜHRUNG · HIER · BAHN
CARRIER_Q+O+LOCAL_CHAR_F+CHD+AIIN	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	CARRIER_Q+O+LOCAL_CHAR_F+CHD+Y	BEGINNMARKER · AUSFÜHRUNG · HIER · BEARBEITEN · WERT
CARRIER_Q+O+LOCAL_CHAR_F+CHD+Y	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	CARRIER_Q+O+LOCAL_CHAR_F+CHD+AIIN	BEGINNMARKER · AUSFÜHRUNG · HIER · BEARBEITEN · POSTEN
CARRIER_Q+O+OL	2	2	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	BEGINNMARKER · AUSFÜHRUNG · FORTSETZEN
CARRIER_Q+O+OR	2	2	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	2	REGENERATED_NARROW	CARRIER_Q+O+AIIN | CARRIER_Q+O+AIN	BEGINNMARKER · AUSFÜHRUNG · EINHEIT
CARRIER_Q+O+P	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	BEGINNMARKER · AUSFÜHRUNG · EINSETZEN
CARRIER_Q+O+P+CH+OL	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	BEGINNMARKER · AUSFÜHRUNG · EINSETZEN · NEHMEN · FORTSETZEN
CARRIER_Q+O+P+CHD+Y	6	4	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	BEGINNMARKER · AUSFÜHRUNG · EINSETZEN · BEARBEITEN · POSTEN
CARRIER_Q+O+P+OL	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	BEGINNMARKER · AUSFÜHRUNG · EINSETZEN · FORTSETZEN
CARRIER_Q+O+P+SH+D_ADDR+Y	2	2	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	BEGINNMARKER · AUSFÜHRUNG · EINSETZEN · HALTEN · HIER · POSTEN
CARRIER_Q+O+P+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	BEGINNMARKER · AUSFÜHRUNG · EINSETZEN · POSTEN
CARRIER_Q+O+SH+EE+D_ADDR+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	BEGINNMARKER · AUSFÜHRUNG · HALTEN · GRAD II · HIER · POSTEN
CARRIER_Q+S+G_LABEL	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	BEGINNMARKER · WÄHLEN · VARIANTE
CH	2	2	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	S	NEHMEN
CH+AIIN	5	4	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	2	REGENERATED_NARROW	CH+OR | S+AIIN	NEHMEN · WERT
CH+AIR	1	1	1	REGENERATED_STRONG	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	3	REGENERATED_STRONG	CH+AL | CH+L | S+AIR	NEHMEN · BAHN
CH+AL	8	7	4	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	3	REGENERATED_STRONG	CH+AIR | CH+L | S+AL	NEHMEN · ZIELORT
CH+AL+S	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · ZIELORT · WÄHLEN
CH+AL+Y	3	3	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · ZIELORT · POSTEN
CH+AM_ADDR	2	2	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	S+AM_ADDR	NEHMEN · HIER
CH+A_ADDR	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	S+A_ADDR	NEHMEN · HIER
CH+A_ADDR+S	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · HIER · WÄHLEN
CH+CH+K+AL	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · NEHMEN · GEBEN · ZIELORT
CH+CH+K+D_ADDR+Y	2	2	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · NEHMEN · GEBEN · HIER · POSTEN
CH+CH+K+E+Y	4	3	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	2	REGENERATED_NARROW	CH+CH+P+E+Y | S+CH+K+E+Y	NEHMEN · NEHMEN · GEBEN · GRAD I · POSTEN
CH+CH+P+E+DY	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · NEHMEN · EINSETZEN · GRAD I · SCHLUSS
CH+CH+P+E+Y	3	3	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	CH+CH+K+E+Y	NEHMEN · NEHMEN · EINSETZEN · GRAD I · POSTEN
CH+CH+P+Y	3	2	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · NEHMEN · EINSETZEN · POSTEN
CH+CH+S	2	2	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · NEHMEN · WÄHLEN
CH+CH+T	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · NEHMEN · EINSTELLEN
CH+CH+T+D_ADDR+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · NEHMEN · EINSTELLEN · HIER · POSTEN
CH+CH+T+E+DY	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · NEHMEN · EINSTELLEN · GRAD I · SCHLUSS
