component_recipe	original_tier	reversed_recipe	order_relation	reversed_intake_tier	original_phrase_de	reversed_phrase_de	exact_key_keeps_distinct
CH+O+D_ADDR+OR	T2_FUTURE_STRONG	OR+D_ADDR+O+CH	ORDER_CHANGED	T5_NO_LICENSED_RECIPE	Nimm die Einheit als Ausführung hier.	NONE	YES
CH+P+AIIN	T2_FUTURE_STRONG	AIIN+P+CH	ORDER_CHANGED	T5_NO_LICENSED_RECIPE	Nimm den Wert; setze den Wert ein.	NONE	YES
CH+P+AIN	T2_FUTURE_STRONG	AIN+P+CH	ORDER_CHANGED	T5_NO_LICENSED_RECIPE	Nimm den Anteil; setze den Anteil ein.	NONE	YES
CH+P+AIR	T2_FUTURE_STRONG	AIR+P+CH	ORDER_CHANGED	T5_NO_LICENSED_RECIPE	Nimm; setze entlang der Bahn ein.	NONE	YES
CH+T+AIN	T2_FUTURE_STRONG	AIN+T+CH	ORDER_CHANGED	T5_NO_LICENSED_RECIPE	Nimm den Anteil; stelle den Anteil ein.	NONE	YES
CHD+L	T2_FUTURE_STRONG	L+CHD	ORDER_CHANGED	T0_EXACT_OBSERVED	Bearbeite über die Verbindung.	Bearbeite über die Verbindung.	YES
D_ADDR+CH+AIN	T2_FUTURE_STRONG	AIN+CH+D_ADDR	ORDER_CHANGED	T5_NO_LICENSED_RECIPE	Nimm den Anteil hier.	NONE	YES
K+CH+Y	T2_FUTURE_STRONG	Y+CH+K	ORDER_CHANGED	T0_EXACT_OBSERVED	Gib den Posten; nimm den Posten.	Nimm den Posten; gib den Posten.	YES
K+L	T2_FUTURE_STRONG	L+K	ORDER_CHANGED	T5_NO_LICENSED_RECIPE	Gib über die Verbindung.	NONE	YES
L+CHD+L	T2_FUTURE_STRONG	L+CHD+L	PALINDROME_SAME_KEY	T2_FUTURE_STRONG	Bearbeite über die Verbindung und über die Verbindung.	Bearbeite über die Verbindung und über die Verbindung.	YES
L+K+OR	T2_FUTURE_STRONG	OR+K+L	ORDER_CHANGED	T5_NO_LICENSED_RECIPE	Gib die Einheit über die Verbindung.	NONE	YES
O+OR	T2_FUTURE_STRONG	OR+O	ORDER_CHANGED	T0_EXACT_OBSERVED	Führe die Einheit aus.	Führe die Einheit aus.	YES
OK+CH+AIIN	T2_FUTURE_STRONG	AIIN+CH+OK	ORDER_CHANGED	T5_NO_LICENSED_RECIPE	Setze den Wert; nimm den Wert.	NONE	YES
OK+L	T2_FUTURE_STRONG	L+OK	ORDER_CHANGED	T5_NO_LICENSED_RECIPE	Setze über die Verbindung.	NONE	YES
OL+K+OR	T2_FUTURE_STRONG	OR+K+OL	ORDER_CHANGED	T5_NO_LICENSED_RECIPE	Weiter: Gib die Einheit.	NONE	YES
OT+E+AIN	T2_FUTURE_STRONG	AIN+E+OT	ORDER_CHANGED	T5_NO_LICENSED_RECIPE	Danach: Anteil auf Grad I.	NONE	YES
P+AIIN	T2_FUTURE_STRONG	AIIN+P	ORDER_CHANGED	T5_NO_LICENSED_RECIPE	Setze den Wert ein.	NONE	YES
P+AIN	T2_FUTURE_STRONG	AIN+P	ORDER_CHANGED	T5_NO_LICENSED_RECIPE	Setze den Anteil ein.	NONE	YES
P+AIR	T2_FUTURE_STRONG	AIR+P	ORDER_CHANGED	T5_NO_LICENSED_RECIPE	Setze entlang der Bahn ein.	NONE	YES
P+AL	T2_FUTURE_STRONG	AL+P	ORDER_CHANGED	T5_NO_LICENSED_RECIPE	Setze am Zielort ein.	NONE	YES
P+L	T3_SECOND_RING_AMBER	L+P	ORDER_CHANGED	T5_NO_LICENSED_RECIPE	Setze über die Verbindung ein.	NONE	YES
P+OR	T2_FUTURE_STRONG	OR+P	ORDER_CHANGED	T5_NO_LICENSED_RECIPE	Setze die Einheit ein.	NONE	YES
P+SH+AL	T2_FUTURE_STRONG	AL+SH+P	ORDER_CHANGED	T5_NO_LICENSED_RECIPE	Setze ein; halte am Zielort.	NONE	YES
P+SH+Y	T2_FUTURE_STRONG	Y+SH+P	ORDER_CHANGED	T5_NO_LICENSED_RECIPE	Setze den Posten ein; halte den Posten.	NONE	YES
S+Y	T2_FUTURE_STRONG	Y+S	ORDER_CHANGED	T5_NO_LICENSED_RECIPE	Wähle den Posten.	NONE	YES
SH+AIN	T1_FUTURE_HIGH	AIN+SH	ORDER_CHANGED	T5_NO_LICENSED_RECIPE	Halte den Anteil.	NONE	YES
SH+AIR	T2_FUTURE_STRONG	AIR+SH	ORDER_CHANGED	T5_NO_LICENSED_RECIPE	Halte entlang der Bahn.	NONE	YES
SH+E+K+AIN	T2_FUTURE_STRONG	AIN+K+E+SH	ORDER_CHANGED	T5_NO_LICENSED_RECIPE	Halte den Anteil; gib den Anteil auf Grad I.	NONE	YES
SH+OK+Y	T2_FUTURE_STRONG	Y+OK+SH	ORDER_CHANGED	T5_NO_LICENSED_RECIPE	Halte den Posten; setze den Posten.	NONE	YES
T+CHD+OR	T2_FUTURE_STRONG	OR+CHD+T	ORDER_CHANGED	T5_NO_LICENSED_RECIPE	Stelle die Einheit ein; bearbeite die Einheit.	NONE	YES
T+OR	T2_FUTURE_STRONG	OR+T	ORDER_CHANGED	T5_NO_LICENSED_RECIPE	Stelle die Einheit ein.	NONE	YES
Y+AIIN	T2_FUTURE_STRONG	AIIN+Y	ORDER_CHANGED	T0_EXACT_OBSERVED	Wert des Postens.	Wert des Postens.	YES
Y+AIR	T2_FUTURE_STRONG	AIR+Y	ORDER_CHANGED	T2_FUTURE_STRONG	Posten entlang der Bahn.	Entlang der Bahn: Posten.	YES
Y+K+L	T2_FUTURE_STRONG	L+K+Y	ORDER_CHANGED	T0_EXACT_OBSERVED	Gib den Posten über die Verbindung.	Gib den Posten über die Verbindung.	YES
Y+OR	T2_FUTURE_STRONG	OR+Y	ORDER_CHANGED	T0_EXACT_OBSERVED	Einheit des Postens.	Einheit des Postens.	YES
