scribe	record	event_position	event_id	statement_id	exact_card_id	source_surface	registered_variants	rendered_surface	surface_changed	component_recipe	decoded_meaning_de	registered_and_same_card
S3_Q_SH	H1	1	E001	H1-S001	PROC001	dchey	dchey	dchey	NO	CH+E+Y	ENTNEHMEN · KURZ · POSTEN	YES
S3_Q_SH	H1	2	E002	H1-S001	PROC002	cthoor	cthoor	cthoor	NO	CTH+O+OR	BEREITEN · ARBEITSGANG · ANSATZ	YES
S3_Q_SH	H1	3	E003	H1-S001	PROC003	char	char|dar|sar	sar	YES	AR	QUELLE	YES
S3_Q_SH	H1	4	E004	H1-S001	PROC004	chty	chety|chty	chty	NO	T+Y	BEARBEITEN · POSTEN	YES
S3_Q_SH	H1	5	E005	H1-S001	PROC005	os	os	os	NO	OS	DAZU	YES
S3_Q_SH	H1	6	E006	H1-S001	PROC006	chair	chair	chair	NO	CH+AIR	ENTNEHMEN · WASSER	YES
S3_Q_SH	H1	7	E007	H1-S001	PROC007	otytchol	otytchol	otytchol	NO	OT+Y+T+CH+OL	DANACH · POSTEN · BEARBEITEN · ENTNEHMEN · WEITER	YES
S3_Q_SH	H1	8	E008	H1-S001	PROC008	oky	choky|oky|qoky	qoky	YES	OK+Y	ANSETZEN · POSTEN	YES
S3_Q_SH	H1	9	E009	H1-S001	PROC009	daiin	aiin|chaiin|daiin|saiin|taiin	saiin	YES	AIIN	SOLLMASS	YES
S3_Q_SH	H1	10	E010	H1-S001	PROC010	etyd	etyd	etyd	NO	E+T+Y	KURZ · BEARBEITEN · POSTEN	YES
S3_Q_SH	H1	11	E011	H1-S002	PROC011	qokchy	chokchy|okchy|qokchy	qokchy	NO	OK+Y	ANSETZEN · POSTEN	YES
S3_Q_SH	H1	12	E012	H1-S002	PROC012	qotchol	qotchol	qotchol	NO	OT+CH+OL	DANACH · ENTNEHMEN · WEITER	YES
S3_Q_SH	H1	13	E013	H1-S002	PROC013	chol	cheol|chol|ol|qol|sol|tol	qol	YES	OL	WEITER	YES
S3_Q_SH	H1	14	E014	H1-S002	PROC014	cthy	checthy|cthy|shcthy	shcthy	YES	CTH+Y	BEREITEN · POSTEN	YES
S4_D_T	H1	1	E001	H1-S001	PROC001	dchey	dchey	dchey	NO	CH+E+Y	ENTNEHMEN · KURZ · POSTEN	YES
S4_D_T	H1	2	E002	H1-S001	PROC002	cthoor	cthoor	cthoor	NO	CTH+O+OR	BEREITEN · ARBEITSGANG · ANSATZ	YES
S4_D_T	H1	3	E003	H1-S001	PROC003	char	char|dar|sar	dar	YES	AR	QUELLE	YES
S4_D_T	H1	4	E004	H1-S001	PROC004	chty	chety|chty	chty	NO	T+Y	BEARBEITEN · POSTEN	YES
S4_D_T	H1	5	E005	H1-S001	PROC005	os	os	os	NO	OS	DAZU	YES
S4_D_T	H1	6	E006	H1-S001	PROC006	chair	chair	chair	NO	CH+AIR	ENTNEHMEN · WASSER	YES
S4_D_T	H1	7	E007	H1-S001	PROC007	otytchol	otytchol	otytchol	NO	OT+Y+T+CH+OL	DANACH · POSTEN · BEARBEITEN · ENTNEHMEN · WEITER	YES
S4_D_T	H1	8	E008	H1-S001	PROC008	oky	choky|oky|qoky	oky	NO	OK+Y	ANSETZEN · POSTEN	YES
S4_D_T	H1	9	E009	H1-S001	PROC009	daiin	aiin|chaiin|daiin|saiin|taiin	daiin	NO	AIIN	SOLLMASS	YES
S4_D_T	H1	10	E010	H1-S001	PROC010	etyd	etyd	etyd	NO	E+T+Y	KURZ · BEARBEITEN · POSTEN	YES
S4_D_T	H1	11	E011	H1-S002	PROC011	qokchy	chokchy|okchy|qokchy	okchy	YES	OK+Y	ANSETZEN · POSTEN	YES
S4_D_T	H1	12	E012	H1-S002	PROC012	qotchol	qotchol	qotchol	NO	OT+CH+OL	DANACH · ENTNEHMEN · WEITER	YES
S4_D_T	H1	13	E013	H1-S002	PROC013	chol	cheol|chol|ol|qol|sol|tol	tol	YES	OL	WEITER	YES
S4_D_T	H1	14	E014	H1-S002	PROC014	cthy	checthy|cthy|shcthy	cthy	NO	CTH+Y	BEREITEN · POSTEN	YES
