model	edition	at	word	gloss
N	ZL3b	ZL3b|f53v.6|G004	ykcheody	⟦ykcheody⟧
N	ZL3b	ZL3b|f53v.6|G005	choldam	⟦choldam⟧
N	ZL3b	ZL3b|f53v.7|G001	todaiin	⟦todaiin⟧
N	ZL3b	ZL3b|f53v.7|G002	shodaiin	Dosis Q des feuchten Materials
N	ZL3b	ZL3b|f53v.7|G003	qote[a:o]	⟦qote[a:o]⟧
N	ZL3b	ZL3b|f53v.7|G004	dchy	⟦dchy⟧
N	ZL3b	ZL3b|f53v.7|G005	qotod	⟦qotod⟧
N	ZL3b	ZL3b|f53v.7|G006	odaiin	zusätzliche Dosis Q
N	ZL3b	ZL3b|f53v.8|G001	sheey	benetze
N	ZL3b	ZL3b|f53v.8|G002	kshody	⟦kshody⟧
N	ZL3b	ZL3b|f53v.8|G003	tsheody	⟦tsheody⟧
N	ZL3b	ZL3b|f53v.8|G004	sheody	⟦sheody⟧
N	ZL3b	ZL3b|f53v.8|G005	sheetchy	⟦sheetchy⟧
N	ZL3b	ZL3b|f53v.8|G006	opod	⟦opod⟧
N	ZL3b	ZL3b|f53v.9|G001	octheody	⟦octheody⟧
N	ZL3b	ZL3b|f53v.9|G002	shody	benetztes Material
N	ZL3b	ZL3b|f53v.9|G003	qodal	abgemessene Materialportion
N	ZL3b	ZL3b|f53v.9|G004	cthody	⟦cthody⟧
N	ZL3b	ZL3b|f53v.9|G005	sheos	⟦sheos⟧
N	ZL3b	ZL3b|f53v.9|G006	shodaiin	Dosis Q des feuchten Materials
N	ZL3b	ZL3b|f53v.10|G001	ychocthy	⟦ychocthy⟧
N	ZL3b	ZL3b|f53v.10|G002	qodal	abgemessene Materialportion
N	ZL3b	ZL3b|f53v.10|G003	shodaiin	Dosis Q des feuchten Materials
N	ZL3b	ZL3b|f53v.11|G001	otsho	⟦otsho⟧
N	ZL3b	ZL3b|f53v.11|G002	or	Anteil
N	ZL3b	ZL3b|f53v.11|G003	chear	⟦chear⟧
N	ZL3b	ZL3b|f53v.11|G004	sheod	⟦sheod⟧
N	ZL3b	ZL3b|f53v.11|G005	chkodal	⟦chkodal⟧
N	ZL3b	ZL3b|f53v.12|G001	ycheey	⟦ycheey⟧
N	ZL3b	ZL3b|f53v.12|G002	kchy	⟦kchy⟧
N	ZL3b	ZL3b|f53v.12|G003	oky	warm
N	ZL3b	ZL3b|f53v.12|G004	kody	⟦kody⟧
N	ZL3b	ZL3b|f53v.12|G005	ydam	⟦ydam⟧
N	ZL3b	ZL3b|f53v.13|G001	yckhodaiin	⟦yckhodaiin⟧
N	ZL3b	ZL3b|f53v.13|G002	otoldy	⟦otoldy⟧
N	IT2a	IT2a|f53v.1|G001	tshor	Material [tshor]
N	IT2a	IT2a|f53v.1|G002	shey	feucht
N	IT2a	IT2a|f53v.1|G003	qodckhy	⟦qodckhy⟧
N	IT2a	IT2a|f53v.1|G004	cpho	⟦cpho⟧
N	IT2a	IT2a|f53v.1|G005	oltshey	⟦oltshey⟧
N	IT2a	IT2a|f53v.1|G006	daiin	Masse C·Uₚ
N	IT2a	IT2a|f53v.1|G007	qopchy	⟦qopchy⟧
N	IT2a	IT2a|f53v.2|G001	okeey	⟦okeey⟧
N	IT2a	IT2a|f53v.2|G002	daiin	Masse C·Uₚ
N	IT2a	IT2a|f53v.2|G003	sheekol	⟦sheekol⟧
N	IT2a	IT2a|f53v.2|G004	shom	⟦shom⟧
N	IT2a	IT2a|f53v.2|G005	shol	feucht
N	IT2a	IT2a|f53v.2|G006	cthy	Kraut
N	IT2a	IT2a|f53v.2|G007	dcham	⟦dcham⟧
N	IT2a	IT2a|f53v.2|G008	do	⟦do⟧
N	IT2a	IT2a|f53v.3|G001	ydaiin	⟦ydaiin⟧
N	IT2a	IT2a|f53v.3|G002	cphom	⟦cphom⟧
N	IT2a	IT2a|f53v.3|G003	chol	getrocknet
N	IT2a	IT2a|f53v.3|G004	dockhy	⟦dockhy⟧
N	IT2a	IT2a|f53v.3|G005	cthol	⟦cthol⟧
N	IT2a	IT2a|f53v.3|G006	dam	⟦dam⟧
N	IT2a	IT2a|f53v.3|G007	oty	⟦oty⟧
N	IT2a	IT2a|f53v.4|G001	qokol	⟦qokol⟧
N	IT2a	IT2a|f53v.4|G002	daiin	Masse C·Uₚ
N	IT2a	IT2a|f53v.4|G003	qockhor	⟦qockhor⟧
N	IT2a	IT2a|f53v.4|G004	okchor	⟦okchor⟧
N	IT2a	IT2a|f53v.4|G005	daiin	Masse C·Uₚ
N	IT2a	IT2a|f53v.4|G006	daiin	Masse C·Uₚ
N	IT2a	IT2a|f53v.4|G007	d	⟦d⟧
N	IT2a	IT2a|f53v.5|G001	ysheey	⟦ysheey⟧
N	IT2a	IT2a|f53v.5|G002	ckhol	⟦ckhol⟧
N	IT2a	IT2a|f53v.5|G003	chckhey	⟦chckhey⟧
N	IT2a	IT2a|f53v.5|G004	daiin	Masse C·Uₚ
N	IT2a	IT2a|f53v.5|G005	ctheody	⟦ctheody⟧
N	IT2a	IT2a|f53v.5|G006	ydy	⟦ydy⟧
N	IT2a	IT2a|f53v.6|G001	ochoiky	⟦ochoiky⟧
N	IT2a	IT2a|f53v.6|G002	dshey	⟦dshey⟧
N	IT2a	IT2a|f53v.6|G003	chol	getrocknet
N	IT2a	IT2a|f53v.6|G004	ykcheody	⟦ykcheody⟧
N	IT2a	IT2a|f53v.6|G005	chol	getrocknet
N	IT2a	IT2a|f53v.6|G006	dam	⟦dam⟧
N	IT2a	IT2a|f53v.7|G001	todaiin	⟦todaiin⟧
N	IT2a	IT2a|f53v.7|G002	shodaiin	Dosis Q des feuchten Materials
N	IT2a	IT2a|f53v.7|G003	qotea	⟦qotea⟧
N	IT2a	IT2a|f53v.7|G004	dchy	⟦dchy⟧
N	IT2a	IT2a|f53v.7|G005	qotod	⟦qotod⟧
N	IT2a	IT2a|f53v.7|G006	odaiin	zusätzliche Dosis Q
N	IT2a	IT2a|f53v.8|G001	sheey	benetze
N	IT2a	IT2a|f53v.8|G002	kshody	⟦kshody⟧
N	IT2a	IT2a|f53v.8|G003	tsheody	⟦tsheody⟧
N	IT2a	IT2a|f53v.8|G004	sheody	⟦sheody⟧
N	IT2a	IT2a|f53v.8|G005	sheetchy	⟦sheetchy⟧
N	IT2a	IT2a|f53v.8|G006	opod	⟦opod⟧
N	IT2a	IT2a|f53v.9|G001	oc	⟦oc⟧
N	IT2a	IT2a|f53v.9|G002	theody	⟦theody⟧
N	IT2a	IT2a|f53v.9|G003	shody	benetztes Material
N	IT2a	IT2a|f53v.9|G004	qodal	abgemessene Materialportion
N	IT2a	IT2a|f53v.9|G005	cthody	⟦cthody⟧
N	IT2a	IT2a|f53v.9|G006	sheor	⟦sheor⟧
N	IT2a	IT2a|f53v.9|G007	shodaiin	Dosis Q des feuchten Materials
N	IT2a	IT2a|f53v.10|G001	ychocthy	⟦ychocthy⟧
N	IT2a	IT2a|f53v.10|G002	qodal	abgemessene Materialportion
N	IT2a	IT2a|f53v.10|G003	shodaiin	Dosis Q des feuchten Materials
N	IT2a	IT2a|f53v.11|G001	otsho	⟦otsho⟧
N	IT2a	IT2a|f53v.11|G002	or	Anteil
N	IT2a	IT2a|f53v.11|G003	chear	⟦chear⟧
N	IT2a	IT2a|f53v.11|G004	sheos	⟦sheos⟧
N	IT2a	IT2a|f53v.11|G005	chkodal	⟦chkodal⟧
N	IT2a	IT2a|f53v.12|G001	ycheey	⟦ycheey⟧
N	IT2a	IT2a|f53v.12|G002	kchy	⟦kchy⟧
N	IT2a	IT2a|f53v.12|G003	oky	warm
N	IT2a	IT2a|f53v.12|G004	kody	⟦kody⟧
N	IT2a	IT2a|f53v.12|G005	odam	⟦odam⟧
N	IT2a	IT2a|f53v.13|G001	ycthodaiin	⟦ycthodaiin⟧
N	IT2a	IT2a|f53v.13|G002	otoldy	⟦otoldy⟧
L	ZL3b	ZL3b|f53v.1|G001	tshor	Material [tshor]
L	ZL3b	ZL3b|f53v.1|G002	shey	feucht
L	ZL3b	ZL3b|f53v.1|G003	qodckhy	⟦qodckhy⟧
L	ZL3b	ZL3b|f53v.1|G004	e{ph}o	⟦e{ph}o⟧
L	ZL3b	ZL3b|f53v.1|G005	oltshey	⟦oltshey⟧
L	ZL3b	ZL3b|f53v.1|G006	daiin	Masse C·Uₚ
L	ZL3b	ZL3b|f53v.1|G007	qopchy	⟦qopchy⟧
L	ZL3b	ZL3b|f53v.2|G001	okeey	⟦okeey⟧
L	ZL3b	ZL3b|f53v.2|G002	daiin	Masse C·Uₚ
L	ZL3b	ZL3b|f53v.2|G003	sheekol	⟦sheekol⟧
L	ZL3b	ZL3b|f53v.2|G004	shom	⟦shom⟧
L	ZL3b	ZL3b|f53v.2|G005	shol	feucht
L	ZL3b	ZL3b|f53v.2|G006	cthy	Kraut
L	ZL3b	ZL3b|f53v.2|G007	dchom	⟦dchom⟧
L	ZL3b	ZL3b|f53v.2|G008	do	⟦do⟧
L	ZL3b	ZL3b|f53v.3|G001	ydaiin	⟦ydaiin⟧
L	ZL3b	ZL3b|f53v.3|G002	cph[o:a]m	⟦cph[o:a]m⟧
L	ZL3b	ZL3b|f53v.3|G003	chol	getrocknet
L	ZL3b	ZL3b|f53v.3|G004	dockhy	⟦dockhy⟧
L	ZL3b	ZL3b|f53v.3|G005	cthol	⟦cthol⟧
L	ZL3b	ZL3b|f53v.3|G006	dam	⟦dam⟧
L	ZL3b	ZL3b|f53v.3|G007	oty	⟦oty⟧
L	ZL3b	ZL3b|f53v.4|G001	qokol	⟦qokol⟧
L	ZL3b	ZL3b|f53v.4|G002	daiiin	⟦daiiin⟧
L	ZL3b	ZL3b|f53v.4|G003	qockhor	⟦qockhor⟧
L	ZL3b	ZL3b|f53v.4|G004	okchor	⟦okchor⟧
L	ZL3b	ZL3b|f53v.4|G005	daiio	⟦daiio⟧
L	ZL3b	ZL3b|f53v.4|G006	dain	Masse B·Uₚ
L	ZL3b	ZL3b|f53v.4|G007	d	⟦d⟧
L	ZL3b	ZL3b|f53v.5|G001	ysheey	⟦ysheey⟧
L	ZL3b	ZL3b|f53v.5|G002	ckhol	⟦ckhol⟧
L	ZL3b	ZL3b|f53v.5|G003	chckhey	⟦chckhey⟧
L	ZL3b	ZL3b|f53v.5|G004	daiin	Masse C·Uₚ
L	ZL3b	ZL3b|f53v.5|G005	ctheody	⟦ctheody⟧
L	ZL3b	ZL3b|f53v.5|G006	ydy	⟦ydy⟧
L	ZL3b	ZL3b|f53v.6|G001	ochoiky	⟦ochoiky⟧
L	ZL3b	ZL3b|f53v.6|G002	dshey	⟦dshey⟧
L	ZL3b	ZL3b|f53v.6|G003	chol	getrocknet
L	ZL3b	ZL3b|f53v.6|G004	ykcheody	⟦ykcheody⟧
L	ZL3b	ZL3b|f53v.6|G005	choldam	⟦choldam⟧
L	ZL3b	ZL3b|f53v.7|G001	todaiin	⟦todaiin⟧
L	ZL3b	ZL3b|f53v.7|G002	shodaiin	Dosis Q des feuchten Materials
L	ZL3b	ZL3b|f53v.7|G003	qote[a:o]	⟦qote[a:o]⟧
L	ZL3b	ZL3b|f53v.7|G004	dchy	⟦dchy⟧
L	ZL3b	ZL3b|f53v.7|G005	qotod	⟦qotod⟧
L	ZL3b	ZL3b|f53v.7|G006	odaiin	zusätzliche Dosis Q
L	ZL3b	ZL3b|f53v.8|G001	sheey	benetze
L	ZL3b	ZL3b|f53v.8|G002	kshody	⟦kshody⟧
L	ZL3b	ZL3b|f53v.8|G003	tsheody	⟦tsheody⟧
L	ZL3b	ZL3b|f53v.8|G004	sheody	⟦sheody⟧
L	ZL3b	ZL3b|f53v.8|G005	sheetchy	⟦sheetchy⟧
L	ZL3b	ZL3b|f53v.8|G006	opod	⟦opod⟧
L	ZL3b	ZL3b|f53v.9|G001	octheody	⟦octheody⟧
L	ZL3b	ZL3b|f53v.9|G002	shody	benetztes Material
L	ZL3b	ZL3b|f53v.9|G003	qodal	miss das unmittelbar vorherige Material ab
L	ZL3b	ZL3b|f53v.9|G004	cthody	⟦cthody⟧
L	ZL3b	ZL3b|f53v.9|G005	sheos	⟦sheos⟧
L	ZL3b	ZL3b|f53v.9|G006	shodaiin	Dosis Q des feuchten Materials
L	ZL3b	ZL3b|f53v.10|G001	ychocthy	⟦ychocthy⟧
L	ZL3b	ZL3b|f53v.10|G002	qodal	miss das unmittelbar vorherige Material ab
L	ZL3b	ZL3b|f53v.10|G003	shodaiin	Dosis Q des feuchten Materials
L	ZL3b	ZL3b|f53v.11|G001	otsho	⟦otsho⟧
L	ZL3b	ZL3b|f53v.11|G002	or	Anteil
L	ZL3b	ZL3b|f53v.11|G003	chear	⟦chear⟧
L	ZL3b	ZL3b|f53v.11|G004	sheod	⟦sheod⟧
L	ZL3b	ZL3b|f53v.11|G005	chkodal	⟦chkodal⟧
L	ZL3b	ZL3b|f53v.12|G001	ycheey	⟦ycheey⟧
L	ZL3b	ZL3b|f53v.12|G002	kchy	⟦kchy⟧
L	ZL3b	ZL3b|f53v.12|G003	oky	warm
L	ZL3b	ZL3b|f53v.12|G004	kody	⟦kody⟧
L	ZL3b	ZL3b|f53v.12|G005	ydam	⟦ydam⟧
L	ZL3b	ZL3b|f53v.13|G001	yckhodaiin	⟦yckhodaiin⟧
L	ZL3b	ZL3b|f53v.13|G002	otoldy	⟦otoldy⟧
L	IT2a	IT2a|f53v.1|G001	tshor	Material [tshor]
L	IT2a	IT2a|f53v.1|G002	shey	feucht
L	IT2a	IT2a|f53v.1|G003	qodckhy	⟦qodckhy⟧
L	IT2a	IT2a|f53v.1|G004	cpho	⟦cpho⟧
L	IT2a	IT2a|f53v.1|G005	oltshey	⟦oltshey⟧
L	IT2a	IT2a|f53v.1|G006	daiin	Masse C·Uₚ
L	IT2a	IT2a|f53v.1|G007	qopchy	⟦qopchy⟧
L	IT2a	IT2a|f53v.2|G001	okeey	⟦okeey⟧
L	IT2a	IT2a|f53v.2|G002	daiin	Masse C·Uₚ
L	IT2a	IT2a|f53v.2|G003	sheekol	⟦sheekol⟧
L	IT2a	IT2a|f53v.2|G004	shom	⟦shom⟧
L	IT2a	IT2a|f53v.2|G005	shol	feucht
L	IT2a	IT2a|f53v.2|G006	cthy	Kraut
L	IT2a	IT2a|f53v.2|G007	dcham	⟦dcham⟧
L	IT2a	IT2a|f53v.2|G008	do	⟦do⟧
L	IT2a	IT2a|f53v.3|G001	ydaiin	⟦ydaiin⟧
L	IT2a	IT2a|f53v.3|G002	cphom	⟦cphom⟧
L	IT2a	IT2a|f53v.3|G003	chol	getrocknet
L	IT2a	IT2a|f53v.3|G004	dockhy	⟦dockhy⟧
L	IT2a	IT2a|f53v.3|G005	cthol	⟦cthol⟧
L	IT2a	IT2a|f53v.3|G006	dam	⟦dam⟧
L	IT2a	IT2a|f53v.3|G007	oty	⟦oty⟧
L	IT2a	IT2a|f53v.4|G001	qokol	⟦qokol⟧
L	IT2a	IT2a|f53v.4|G002	daiin	Masse C·Uₚ
L	IT2a	IT2a|f53v.4|G003	qockhor	⟦qockhor⟧
L	IT2a	IT2a|f53v.4|G004	okchor	⟦okchor⟧
L	IT2a	IT2a|f53v.4|G005	daiin	Masse C·Uₚ
L	IT2a	IT2a|f53v.4|G006	daiin	Masse C·Uₚ
L	IT2a	IT2a|f53v.4|G007	d	⟦d⟧
L	IT2a	IT2a|f53v.5|G001	ysheey	⟦ysheey⟧
L	IT2a	IT2a|f53v.5|G002	ckhol	⟦ckhol⟧
L	IT2a	IT2a|f53v.5|G003	chckhey	⟦chckhey⟧
L	IT2a	IT2a|f53v.5|G004	daiin	Masse C·Uₚ
L	IT2a	IT2a|f53v.5|G005	ctheody	⟦ctheody⟧
L	IT2a	IT2a|f53v.5|G006	ydy	⟦ydy⟧
L	IT2a	IT2a|f53v.6|G001	ochoiky	⟦ochoiky⟧
L	IT2a	IT2a|f53v.6|G002	dshey	⟦dshey⟧
L	IT2a	IT2a|f53v.6|G003	chol	getrocknet
L	IT2a	IT2a|f53v.6|G004	ykcheody	⟦ykcheody⟧
L	IT2a	IT2a|f53v.6|G005	chol	getrocknet
L	IT2a	IT2a|f53v.6|G006	dam	⟦dam⟧
L	IT2a	IT2a|f53v.7|G001	todaiin	⟦todaiin⟧
L	IT2a	IT2a|f53v.7|G002	shodaiin	Dosis Q des feuchten Materials
L	IT2a	IT2a|f53v.7|G003	qotea	⟦qotea⟧
L	IT2a	IT2a|f53v.7|G004	dchy	⟦dchy⟧
L	IT2a	IT2a|f53v.7|G005	qotod	⟦qotod⟧
L	IT2a	IT2a|f53v.7|G006	odaiin	zusätzliche Dosis Q
L	IT2a	IT2a|f53v.8|G001	sheey	benetze
L	IT2a	IT2a|f53v.8|G002	kshody	⟦kshody⟧
L	IT2a	IT2a|f53v.8|G003	tsheody	⟦tsheody⟧
L	IT2a	IT2a|f53v.8|G004	sheody	⟦sheody⟧
L	IT2a	IT2a|f53v.8|G005	sheetchy	⟦sheetchy⟧
L	IT2a	IT2a|f53v.8|G006	opod	⟦opod⟧
L	IT2a	IT2a|f53v.9|G001	oc	⟦oc⟧
L	IT2a	IT2a|f53v.9|G002	theody	⟦theody⟧
L	IT2a	IT2a|f53v.9|G003	shody	benetztes Material
L	IT2a	IT2a|f53v.9|G004	qodal	miss das unmittelbar vorherige Material ab
L	IT2a	IT2a|f53v.9|G005	cthody	⟦cthody⟧
L	IT2a	IT2a|f53v.9|G006	sheor	⟦sheor⟧
L	IT2a	IT2a|f53v.9|G007	shodaiin	Dosis Q des feuchten Materials
L	IT2a	IT2a|f53v.10|G001	ychocthy	⟦ychocthy⟧
L	IT2a	IT2a|f53v.10|G002	qodal	miss das unmittelbar vorherige Material ab
L	IT2a	IT2a|f53v.10|G003	shodaiin	Dosis Q des feuchten Materials
L	IT2a	IT2a|f53v.11|G001	otsho	⟦otsho⟧
L	IT2a	IT2a|f53v.11|G002	or	Anteil
L	IT2a	IT2a|f53v.11|G003	chear	⟦chear⟧
L	IT2a	IT2a|f53v.11|G004	sheos	⟦sheos⟧
L	IT2a	IT2a|f53v.11|G005	chkodal	⟦chkodal⟧
L	IT2a	IT2a|f53v.12|G001	ycheey	⟦ycheey⟧
L	IT2a	IT2a|f53v.12|G002	kchy	⟦kchy⟧
L	IT2a	IT2a|f53v.12|G003	oky	warm
L	IT2a	IT2a|f53v.12|G004	kody	⟦kody⟧
L	IT2a	IT2a|f53v.12|G005	odam	⟦odam⟧
L	IT2a	IT2a|f53v.13|G001	ycthodaiin	⟦ycthodaiin⟧
L	IT2a	IT2a|f53v.13|G002	otoldy	⟦otoldy⟧
R	ZL3b	ZL3b|f53v.1|G001	tshor	Material [tshor]
R	ZL3b	ZL3b|f53v.1|G002	shey	feucht
R	ZL3b	ZL3b|f53v.1|G003	qodckhy	⟦qodckhy⟧
R	ZL3b	ZL3b|f53v.1|G004	e{ph}o	⟦e{ph}o⟧
R	ZL3b	ZL3b|f53v.1|G005	oltshey	⟦oltshey⟧
R	ZL3b	ZL3b|f53v.1|G006	daiin	Masse C·Uₚ
R	ZL3b	ZL3b|f53v.1|G007	qopchy	⟦qopchy⟧
R	ZL3b	ZL3b|f53v.2|G001	okeey	⟦okeey⟧
R	ZL3b	ZL3b|f53v.2|G002	daiin	Masse C·Uₚ
R	ZL3b	ZL3b|f53v.2|G003	sheekol	⟦sheekol⟧
R	ZL3b	ZL3b|f53v.2|G004	shom	⟦shom⟧
R	ZL3b	ZL3b|f53v.2|G005	shol	feucht
R	ZL3b	ZL3b|f53v.2|G006	cthy	Kraut
R	ZL3b	ZL3b|f53v.2|G007	dchom	⟦dchom⟧
R	ZL3b	ZL3b|f53v.2|G008	do	⟦do⟧
R	ZL3b	ZL3b|f53v.3|G001	ydaiin	⟦ydaiin⟧
R	ZL3b	ZL3b|f53v.3|G002	cph[o:a]m	⟦cph[o:a]m⟧
R	ZL3b	ZL3b|f53v.3|G003	chol	getrocknet
R	ZL3b	ZL3b|f53v.3|G004	dockhy	⟦dockhy⟧
R	ZL3b	ZL3b|f53v.3|G005	cthol	⟦cthol⟧
R	ZL3b	ZL3b|f53v.3|G006	dam	⟦dam⟧
R	ZL3b	ZL3b|f53v.3|G007	oty	⟦oty⟧
R	ZL3b	ZL3b|f53v.4|G001	qokol	⟦qokol⟧
R	ZL3b	ZL3b|f53v.4|G002	daiiin	⟦daiiin⟧
R	ZL3b	ZL3b|f53v.4|G003	qockhor	⟦qockhor⟧
R	ZL3b	ZL3b|f53v.4|G004	okchor	⟦okchor⟧
R	ZL3b	ZL3b|f53v.4|G005	daiio	⟦daiio⟧
R	ZL3b	ZL3b|f53v.4|G006	dain	Masse B·Uₚ
R	ZL3b	ZL3b|f53v.4|G007	d	⟦d⟧
R	ZL3b	ZL3b|f53v.5|G001	ysheey	⟦ysheey⟧
R	ZL3b	ZL3b|f53v.5|G002	ckhol	⟦ckhol⟧
R	ZL3b	ZL3b|f53v.5|G003	chckhey	⟦chckhey⟧
R	ZL3b	ZL3b|f53v.5|G004	daiin	Masse C·Uₚ
R	ZL3b	ZL3b|f53v.5|G005	ctheody	⟦ctheody⟧
R	ZL3b	ZL3b|f53v.5|G006	ydy	⟦ydy⟧
R	ZL3b	ZL3b|f53v.6|G001	ochoiky	⟦ochoiky⟧
R	ZL3b	ZL3b|f53v.6|G002	dshey	⟦dshey⟧
R	ZL3b	ZL3b|f53v.6|G003	chol	getrocknet
R	ZL3b	ZL3b|f53v.6|G004	ykcheody	⟦ykcheody⟧
R	ZL3b	ZL3b|f53v.6|G005	choldam	⟦choldam⟧
R	ZL3b	ZL3b|f53v.7|G001	todaiin	⟦todaiin⟧
R	ZL3b	ZL3b|f53v.7|G002	shodaiin	Dosis Q des feuchten Materials
R	ZL3b	ZL3b|f53v.7|G003	qote[a:o]	⟦qote[a:o]⟧
R	ZL3b	ZL3b|f53v.7|G004	dchy	⟦dchy⟧
R	ZL3b	ZL3b|f53v.7|G005	qotod	⟦qotod⟧
R	ZL3b	ZL3b|f53v.7|G006	odaiin	zusätzliche Dosis Q
R	ZL3b	ZL3b|f53v.8|G001	sheey	benetze
R	ZL3b	ZL3b|f53v.8|G002	kshody	⟦kshody⟧
R	ZL3b	ZL3b|f53v.8|G003	tsheody	⟦tsheody⟧
R	ZL3b	ZL3b|f53v.8|G004	sheody	⟦sheody⟧
R	ZL3b	ZL3b|f53v.8|G005	sheetchy	⟦sheetchy⟧
R	ZL3b	ZL3b|f53v.8|G006	opod	⟦opod⟧
R	ZL3b	ZL3b|f53v.9|G001	octheody	⟦octheody⟧
R	ZL3b	ZL3b|f53v.9|G002	shody	benetztes Material
R	ZL3b	ZL3b|f53v.9|G003	qodal	miss das unmittelbar folgende Material ab
R	ZL3b	ZL3b|f53v.9|G004	cthody	⟦cthody⟧
R	ZL3b	ZL3b|f53v.9|G005	sheos	⟦sheos⟧
R	ZL3b	ZL3b|f53v.9|G006	shodaiin	Dosis Q des feuchten Materials
R	ZL3b	ZL3b|f53v.10|G001	ychocthy	⟦ychocthy⟧
R	ZL3b	ZL3b|f53v.10|G002	qodal	miss das unmittelbar folgende Material ab
R	ZL3b	ZL3b|f53v.10|G003	shodaiin	Dosis Q des feuchten Materials
R	ZL3b	ZL3b|f53v.11|G001	otsho	⟦otsho⟧
R	ZL3b	ZL3b|f53v.11|G002	or	Anteil
R	ZL3b	ZL3b|f53v.11|G003	chear	⟦chear⟧
R	ZL3b	ZL3b|f53v.11|G004	sheod	⟦sheod⟧
R	ZL3b	ZL3b|f53v.11|G005	chkodal	⟦chkodal⟧
R	ZL3b	ZL3b|f53v.12|G001	ycheey	⟦ycheey⟧
R	ZL3b	ZL3b|f53v.12|G002	kchy	⟦kchy⟧
R	ZL3b	ZL3b|f53v.12|G003	oky	warm
R	ZL3b	ZL3b|f53v.12|G004	kody	⟦kody⟧
R	ZL3b	ZL3b|f53v.12|G005	ydam	⟦ydam⟧
R	ZL3b	ZL3b|f53v.13|G001	yckhodaiin	⟦yckhodaiin⟧
R	ZL3b	ZL3b|f53v.13|G002	otoldy	⟦otoldy⟧
R	IT2a	IT2a|f53v.1|G001	tshor	Material [tshor]
R	IT2a	IT2a|f53v.1|G002	shey	feucht
R	IT2a	IT2a|f53v.1|G003	qodckhy	⟦qodckhy⟧
R	IT2a	IT2a|f53v.1|G004	cpho	⟦cpho⟧
R	IT2a	IT2a|f53v.1|G005	oltshey	⟦oltshey⟧
R	IT2a	IT2a|f53v.1|G006	daiin	Masse C·Uₚ
R	IT2a	IT2a|f53v.1|G007	qopchy	⟦qopchy⟧
R	IT2a	IT2a|f53v.2|G001	okeey	⟦okeey⟧
R	IT2a	IT2a|f53v.2|G002	daiin	Masse C·Uₚ
R	IT2a	IT2a|f53v.2|G003	sheekol	⟦sheekol⟧
R	IT2a	IT2a|f53v.2|G004	shom	⟦shom⟧
R	IT2a	IT2a|f53v.2|G005	shol	feucht
R	IT2a	IT2a|f53v.2|G006	cthy	Kraut
