model	edition	locus	at	patient	patient_at	status
R	ZL3b	f53v.10	ZL3b|f53v.10|G002	shodaiin	ZL3b|f53v.10|G003	ASSUMED_MATERIAL
R	ZL3b	f53v.9	ZL3b|f53v.9|G003	cthody	ZL3b|f53v.9|G004	UNKNOWN_PATIENT
R	ZL3b	f85r1.8	ZL3b|f85r1.8|G007	daiin	ZL3b|f85r1.8|G008	WRONG_KNOWN_ROLE
R	IT2a	f51v.4	IT2a|f51v.4|G002	ytal	IT2a|f51v.4|G003	UNKNOWN_PATIENT
R	IT2a	f53v.10	IT2a|f53v.10|G002	shodaiin	IT2a|f53v.10|G003	ASSUMED_MATERIAL
R	IT2a	f53v.9	IT2a|f53v.9|G004	cthody	IT2a|f53v.9|G005	UNKNOWN_PATIENT
R	IT2a	f85r1.8	IT2a|f85r1.8|G007	daiin	IT2a|f85r1.8|G008	WRONG_KNOWN_ROLE
R	RF1b	f51v.4	RF1b|f51v.4|G002	ytal	RF1b|f51v.4|G003	UNKNOWN_PATIENT
R	RF1b	f53v.9	RF1b|f53v.9|G005	cthody	RF1b|f53v.9|G006	UNKNOWN_PATIENT
R	RF1b	f85r1.8	RF1b|f85r1.8|G007	daiin	RF1b|f85r1.8|G008	WRONG_KNOWN_ROLE
R	ZL3b	f104r.35	ZL3b|f104r.35|G004	chey	ZL3b|f104r.35|G005	UNKNOWN_PATIENT
R	ZL3b	f52r.6	ZL3b|f52r.6|G003	dy	ZL3b|f52r.6|G004	UNKNOWN_PATIENT
R	ZL3b	f54v.9	ZL3b|f54v.9|G003	ytam	ZL3b|f54v.9|G004	UNKNOWN_PATIENT
R	IT2a	f104r.35	IT2a|f104r.35|G004	chey	IT2a|f104r.35|G005	UNKNOWN_PATIENT
R	IT2a	f52r.6	IT2a|f52r.6|G003	dy	IT2a|f52r.6|G004	UNKNOWN_PATIENT
R	IT2a	f54v.9	IT2a|f54v.9|G003	ytam	IT2a|f54v.9|G004	UNKNOWN_PATIENT
R	RF1b	f104r.35	RF1b|f104r.35|G004	chey	RF1b|f104r.35|G005	UNKNOWN_PATIENT
R	RF1b	f52r.6	RF1b|f52r.6|G003	dy	RF1b|f52r.6|G004	UNKNOWN_PATIENT
R	RF1b	f54v.9	RF1b|f54v.9|G003	ytam	RF1b|f54v.9|G004	UNKNOWN_PATIENT
