deck_id	target_surface	target_occurrence_id	page	locus	ordinal	deck_role	recommended_action	already_in_gdt770	strict_qualified	evidence_ids	reason_de	reader_requirement_de	semantic_identity_credit
G771-D011	ols	G769-T0037	f104v	f104v.19	11	OLS_RIGHT_VALUE	ALREADY_GDT770	1	1	F02_VALUE_DIRECT	Direkter rechter Wertkontakt; nur ein streng vollständiger Fall verfügbar.	Unvollständige Zeilen nicht durch Zielbedeutung schließen.	0
G771-D012	ols	G769-T0440	f83r	f83r.10	4	OLS_RIGHT_VALUE	HOLD_INCOMPLETE_OR_EXCLUDED	0	0	F02_VALUE_DIRECT	Direkter rechter Wertkontakt; nur ein streng vollständiger Fall verfügbar.	Unvollständige Zeilen nicht durch Zielbedeutung schließen.	0
G771-D013	ols	G769-T0521	f99v	f99v.21	8	OLS_RIGHT_VALUE	HOLD_INCOMPLETE_OR_EXCLUDED	0	0	F02_VALUE_DIRECT	Direkter rechter Wertkontakt; nur ein streng vollständiger Fall verfügbar.	Unvollständige Zeilen nicht durch Zielbedeutung schließen.	0
G771-D014	otar	G769-T0025	f103v	f103v.41	9	OTAR_SEQUENCE_BRIDGE	SCORE_ADD	0	1	F04_MOIST_R2|F14_MEDIAL_TWO_SIDED_LINKER|F15_STATE_TRANSITION_BRIDGE	Prüft dann/weiter gegen das verschachtelte Nominalmodell.	Neue Zeile vor Reader-Ausgabe aktuell und targetmaskiert typisieren.	0
G771-D015	otar	G769-T0027	f103v	f103v.45	10	OTAR_SEQUENCE_BRIDGE	SCORE_ADD	0	1	F06_TARGET_BEFORE_PROCESS	Prüft dann/weiter gegen das verschachtelte Nominalmodell.	Neue Zeile vor Reader-Ausgabe aktuell und targetmaskiert typisieren.	0
G771-D016	otar	G769-T0059	f106v	f106v.2	7	OTAR_SEQUENCE_BRIDGE	HOLD_EXCLUDED_OR_INCOMPLETE	0	0	F06_TARGET_BEFORE_PROCESS|F14_MEDIAL_TWO_SIDED_LINKER	Prüft dann/weiter gegen das verschachtelte Nominalmodell.	Neue Zeile vor Reader-Ausgabe aktuell und targetmaskiert typisieren.	0
G771-D017	otar	G769-T0109	f113r	f113r.30	6	OTAR_SEQUENCE_BRIDGE	HOLD_EXCLUDED_OR_INCOMPLETE	0	0	F14_MEDIAL_TWO_SIDED_LINKER|F15_STATE_TRANSITION_BRIDGE	Prüft dann/weiter gegen das verschachtelte Nominalmodell.	Neue Zeile vor Reader-Ausgabe aktuell und targetmaskiert typisieren.	0
G771-D018	otar	G769-T0135	f115r	f115r.4	8	OTAR_SEQUENCE_BRIDGE	HOLD_EXCLUDED_OR_INCOMPLETE	0	0	F03_DRY_R2|F06_TARGET_BEFORE_PROCESS|F08_HOT_R2|F09_COLD_R2|F14_MEDIAL_TWO_SIDED_LINKER|F15_STATE_TRANSITION_BRIDGE	Prüft dann/weiter gegen das verschachtelte Nominalmodell.	Neue Zeile vor Reader-Ausgabe aktuell und targetmaskiert typisieren.	0
G771-D019	otar	G769-T0195	f39v	f39v.5	5	OTAR_SEQUENCE_BRIDGE	HOLD_EXCLUDED_OR_INCOMPLETE	0	0	F01_AMOUNT_DIRECT|F14_MEDIAL_TWO_SIDED_LINKER|F16_RELATIONAL_AMOUNT_ORDER	Prüft dann/weiter gegen das verschachtelte Nominalmodell.	Neue Zeile vor Reader-Ausgabe aktuell und targetmaskiert typisieren.	0
G771-D020	otar	G769-T0212	f45r	f45r.6	6	OTAR_SEQUENCE_BRIDGE	HOLD_EXCLUDED_OR_INCOMPLETE	0	0	F06_TARGET_BEFORE_PROCESS|F14_MEDIAL_TWO_SIDED_LINKER	Prüft dann/weiter gegen das verschachtelte Nominalmodell.	Neue Zeile vor Reader-Ausgabe aktuell und targetmaskiert typisieren.	0
G771-D021	otar	G769-T0214	f46v	f46v.2	7	OTAR_SEQUENCE_BRIDGE	ALREADY_GDT770	1	1	F14_MEDIAL_TWO_SIDED_LINKER|F15_STATE_TRANSITION_BRIDGE	Prüft dann/weiter gegen das verschachtelte Nominalmodell.	Neue Zeile vor Reader-Ausgabe aktuell und targetmaskiert typisieren.	0
G771-D022	otar	G769-T0238	f58r	f58r.10	6	OTAR_SEQUENCE_BRIDGE	HOLD_EXCLUDED_OR_INCOMPLETE	0	0	F06_TARGET_BEFORE_PROCESS|F07_LINE_FINAL_OR_CLOSE|F14_MEDIAL_TWO_SIDED_LINKER	Prüft dann/weiter gegen das verschachtelte Nominalmodell.	Neue Zeile vor Reader-Ausgabe aktuell und targetmaskiert typisieren.	0
G771-D023	otar	G769-T0465	f86v5	f86v5.13	10	OTAR_SEQUENCE_BRIDGE	ALREADY_GDT770	1	1	F01_AMOUNT_DIRECT|F14_MEDIAL_TWO_SIDED_LINKER|F16_RELATIONAL_AMOUNT_ORDER	Prüft dann/weiter gegen das verschachtelte Nominalmodell.	Neue Zeile vor Reader-Ausgabe aktuell und targetmaskiert typisieren.	0
G771-D024	otar	G769-T0484	f86v6	f86v6.40	5	OTAR_SEQUENCE_BRIDGE	HOLD_EXCLUDED_OR_INCOMPLETE	0	0	F06_TARGET_BEFORE_PROCESS|F08_HOT_R2|F14_MEDIAL_TWO_SIDED_LINKER	Prüft dann/weiter gegen das verschachtelte Nominalmodell.	Neue Zeile vor Reader-Ausgabe aktuell und targetmaskiert typisieren.	0
G771-D025	otar	G769-T0474	f86v6	f86v6.9	7	OTAR_SEQUENCE_BRIDGE	HOLD_EXCLUDED_OR_INCOMPLETE	0	0	F01_AMOUNT_DIRECT|F03_DRY_R2|F08_HOT_R2|F14_MEDIAL_TWO_SIDED_LINKER|F16_RELATIONAL_AMOUNT_ORDER	Prüft dann/weiter gegen das verschachtelte Nominalmodell.	Neue Zeile vor Reader-Ausgabe aktuell und targetmaskiert typisieren.	0
G771-D026	otar	G769-T0504	f94v	f94v.4	2	OTAR_SEQUENCE_BRIDGE	SCORE_ADD	0	1	F06_TARGET_BEFORE_PROCESS|F08_HOT_R2	Prüft dann/weiter gegen das verschachtelte Nominalmodell.	Neue Zeile vor Reader-Ausgabe aktuell und targetmaskiert typisieren.	0
