surface_id	visible_surface	register_status	prose_occurrences	astro_occurrences	common_atom_sequences	classification	historical_layer	composition_autonomy	apprentice_action_de	memorized_body_or_residue	classification_evidence	short_spoken_value_de
SF0021	char	PROSE_AND_ASTRO	2	1	AR	PRODUCTIVE_BREVIGRAPH	BREVIGRAPH	FULL	aus Kernen zusammensetzen	NONE	PROSE:LITERAL_PRODUCTIVE_PARSE	aus dem Ansatz
SF0022	chary	PROSE_ONLY	1	0	AR+Y	PRODUCTIVE_BREVIGRAPH	BREVIGRAPH	FULL	aus Kernen zusammensetzen	NONE	PROSE:LITERAL_PRODUCTIVE_PARSE	aus diesem Posten
SF0023	chckhal	PROSE_ONLY	1	0	CKH+AL	PRODUCTIVE_CORE_PLUS_EDGE	BREVIGRAPH	FULL	bekannten Kern und produktiven Rand zusammensetzen	NONE	PROSE:LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	zur Zielstelle durchleiten
SF0024	chckhy	PROSE_ONLY	3	0	CKH+Y	PRODUCTIVE_CORE_PLUS_EDGE	BREVIGRAPH	FULL	bekannten Kern und produktiven Rand zusammensetzen	NONE	PROSE:LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	durchleiten
SF0025	chda	ASTRO_ONLY	0	1	CHD	LOCAL_NOMENCLATOR_WITH_CORE_HINT	NOMENCLATOR_PLUS_BREVIGRAPH_HINT	PARTIAL	lokale Karte lernen; sichtbaren Kern nur als Hinweis lesen	NONE	ASTRO:COMMON_CORE	Wert oder Platzbezug uebertragen
SF0026	chdal	PROSE_ONLY	1	0	CHD+AL	PRODUCTIVE_CORE_PLUS_EDGE	BREVIGRAPH	FULL	bekannten Kern und produktiven Rand zusammensetzen	NONE	PROSE:LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	dort umsetzen
SF0027	chdy	PROSE_AND_ASTRO	1	1	CHD+Y	PRODUCTIVE_CORE_PLUS_EDGE	BREVIGRAPH	FULL	bekannten Kern und produktiven Rand zusammensetzen	NONE	PROSE:LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	laufenden Posten umsetzen
SF0028	cheal	PROSE_AND_ASTRO	1	1	AL	RENDERER_ALLOGRAPH_OF_PRODUCTIVE	RENDERER_PLUS_BREVIGRAPH	FULL_AFTER_RENDERER_NORMALIZATION	Renderer abziehen, dann zusammensetzen	NONE	PROSE:RENDERER_ALIAS_PLUS_PRODUCTIVE_PARSE	dorthin
SF0029	chealror	PROSE_ONLY	1	0	AL+OR	PRODUCTIVE_BREVIGRAPH	BREVIGRAPH	FULL	aus Kernen zusammensetzen	NONE	PROSE:LITERAL_PRODUCTIVE_PARSE	Ansatz von dort zur Zielstelle
SF0030	chear	ASTRO_ONLY	0	1	AR	LOCAL_NOMENCLATOR_WITH_CORE_HINT	NOMENCLATOR_PLUS_BREVIGRAPH_HINT	PARTIAL	lokale Karte lernen; sichtbaren Kern nur als Hinweis lesen	NONE	ASTRO:COMMON_CORE	Ausgangssektor, Ursprung oder Bezugswert
SF0031	checthy	PROSE_ONLY	2	0	CTH+Y	PRODUCTIVE_CORE_PLUS_EDGE	BREVIGRAPH	FULL	bekannten Kern und produktiven Rand zusammensetzen	NONE	PROSE:LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	bereit
SF0032	chedaiin	ASTRO_ONLY	0	1	CHD+AIIN	PRODUCTIVE_ASTRO_COMPOSITION	BREVIGRAPH_PLUS_OWNER	FULL_WITH_OWNER	Kerne lesen, Diagrammbesitzer ergänzen	NONE	ASTRO:FORWARD_SINGLE_CELL	ZUM SOLLWERT UMSETZEN
SF0033	chedain	PROSE_ONLY	1	0	CHD+AIN	PRODUCTIVE_CORE_PLUS_EDGE	BREVIGRAPH	FULL	bekannten Kern und produktiven Rand zusammensetzen	NONE	PROSE:LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	Portion umsetzen
SF0034	chedchy	PROSE_ONLY	1	0	CHD+Y	PRODUCTIVE_CORE_PLUS_EDGE	BREVIGRAPH	FULL	bekannten Kern und produktiven Rand zusammensetzen	NONE	PROSE:LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	diesen Posten überführen
SF0035	chedy	PROSE_ONLY	10	0	CHD+Y	PRODUCTIVE_CORE_PLUS_EDGE	BREVIGRAPH	FULL	bekannten Kern und produktiven Rand zusammensetzen	NONE	PROSE:LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	laufenden Posten umsetzen
SF0036	cheeckhody	PROSE_ONLY	1	0	EE+CKH+HO+CLOSE	PRODUCTIVE_CORE_PLUS_EDGE	BREVIGRAPH	FULL	bekannten Kern und produktiven Rand zusammensetzen	HO	PROSE:LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	länger auftragen; Schluss
SF0037	cheedar	PROSE_ONLY	1	0	CHD+AR	PRODUCTIVE_CORE_PLUS_EDGE	BREVIGRAPH	FULL	bekannten Kern und produktiven Rand zusammensetzen	CHD	PROSE:LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	von dort umsetzen
SF0038	cheedy	PROSE_ONLY	1	0	SHED+E+CLOSE	PRODUCTIVE_CORE_PLUS_EDGE	BREVIGRAPH	FULL	bekannten Kern und produktiven Rand zusammensetzen	NONE	PROSE:LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	kurz absetzen lassen; Schluss
SF0039	cheeety	PROSE_ONLY	1	0	EEE+TY	PRODUCTIVE_BREVIGRAPH	BREVIGRAPH	FULL	aus Kernen zusammensetzen	NONE	PROSE:LITERAL_PRODUCTIVE_PARSE	ganzen Teilposten
SF0040	cheeky	PROSE_ONLY	2	0	CHK+EE+Y	PRODUCTIVE_CORE_PLUS_EDGE	BREVIGRAPH	FULL	bekannten Kern und produktiven Rand zusammensetzen	NONE	PROSE:LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	länger erwärmen und offen halten
SF0041	chees	ASTRO_ONLY	0	1	NONE	LOCAL_ASTRO_NOMENCLATOR	NOMENCLATOR_PLUS_OWNER	NONE	lokale Karte mit Diagrammplatz lernen	chees	ASTRO:NO_COMMON_CORE	lange oder volle Diagrammstufe
SF0042	cheeteey	ASTRO_ONLY	0	1	NONE	LOCAL_ASTRO_NOMENCLATOR	NOMENCLATOR_PLUS_OWNER	NONE	lokale Karte mit Diagrammplatz lernen	cheeteey	ASTRO:NO_COMMON_CORE	lange oder volle Diagrammstufe + lange oder volle Diagrammstufe
SF0043	cheey	PROSE_AND_ASTRO	2	2	CHEEY	NOMENCLATOR_WHOLE_SIGN	NOMENCLATOR	NONE	ganze Karte lernen	CHEEY	PROSE:MEMORIZED_WHOLE	klarer Auszug
SF0044	chekody	ASTRO_ONLY	0	1	CHK+OD+Y	ASTRO_OD_PRODUCTIVE_MODIFIER	BOUND_TABLE_MODIFIER	FULL_WITH_OWNER	Grundkörper lesen, OD=markiert hinzufügen, Y/Argument rechts lesen	NONE	ASTRO_LOCAL:OD	erwärmten/gehaltenen Posten markieren
SF0045	cheky	PROSE_ONLY	3	0	CHK+E+Y	PRODUCTIVE_CORE_PLUS_EDGE	BREVIGRAPH	FULL	bekannten Kern und produktiven Rand zusammensetzen	NONE	PROSE:LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	kurz wärmen
SF0046	cheo	ASTRO_ONLY	0	1	CHEO	PRODUCTIVE_CORE_SIGN	BREVIGRAPH_PLUS_OWNER	FULL_WITH_OWNER	Kern lesen, Diagrammbesitzer ergänzen	NONE	ASTRO:COMMON_CORE	Ablesewert
SF0047	cheoar	PROSE_ONLY	1	0	CHEO+AR	PRODUCTIVE_CORE_PLUS_EDGE	BREVIGRAPH	FULL	bekannten Kern und produktiven Rand zusammensetzen	NONE	PROSE:LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	Auszug entnehmen
SF0048	cheody	ASTRO_ONLY	0	1	CHEO	LOCAL_NOMENCLATOR_WITH_CORE_HINT	NOMENCLATOR_PLUS_BREVIGRAPH_HINT	PARTIAL	lokale Karte lernen; sichtbaren Kern nur als Hinweis lesen	NONE	ASTRO:COMMON_CORE	Ablesewert fest
SF0049	cheokorchey	ASTRO_ONLY	0	1	CHEO+OR	LOCAL_NOMENCLATOR_WITH_COMPONENT_HINT	NOMENCLATOR_PLUS_BREVIGRAPH_HINT	PARTIAL	lokale Karte lernen, bekannten Kern als Hinweis nutzen	UNRESOLVED_LOCAL	ASTRO:LEARNED_WITH_HINT	Auszug/Ausgabe + Ansatz/Satz
SF0050	cheol	PROSE_ONLY	1	0	OL	PRODUCTIVE_BREVIGRAPH	BREVIGRAPH	FULL	aus Kernen zusammensetzen	NONE	PROSE:LITERAL_PRODUCTIVE_PARSE	fortsetzen
SF0051	cheor	ASTRO_ONLY	0	2	CHEO	LOCAL_NOMENCLATOR_WITH_CORE_HINT	NOMENCLATOR_PLUS_BREVIGRAPH_HINT	PARTIAL	lokale Karte lernen; sichtbaren Kern nur als Hinweis lesen	NONE	ASTRO:COMMON_CORE	Bedingungs-, Tabellen- oder Wahlansatz
SF0052	cheos	ASTRO_ONLY	0	1	CHEO	LOCAL_NOMENCLATOR_WITH_CORE_HINT	NOMENCLATOR_PLUS_BREVIGRAPH_HINT	PARTIAL	lokale Karte lernen; sichtbaren Kern nur als Hinweis lesen	NONE	ASTRO:COMMON_CORE	sekundärer Ablesewert
SF0053	ches	PROSE_ONLY	1	0	PARTITION	NOMENCLATOR_WHOLE_SIGN	NOMENCLATOR	NONE	ganze Karte lernen	PARTITION	PROSE:MEMORIZED_WHOLE	teilen
SF0054	cheteeser	ASTRO_ONLY	0	1	NONE	LOCAL_ASTRO_NOMENCLATOR	NOMENCLATOR_PLUS_OWNER	NONE	lokale Karte mit Diagrammplatz lernen	cheteeser	ASTRO:NO_COMMON_CORE	lange oder volle Diagrammstufe
SF0055	chetody	ASTRO_ONLY	0	1	NONE	LOCAL_ASTRO_NOMENCLATOR	NOMENCLATOR_PLUS_OWNER	NONE	lokale Karte mit Diagrammplatz lernen	chetody	ASTRO:NO_COMMON_CORE	abgeleiteter Platzwert
SF0056	chety	PROSE_ONLY	1	0	PARTITION+TY	LEXICAL_BODY_PLUS_PRODUCTIVE_EDGE	NOMENCLATOR_PLUS_BREVIGRAPH	PARTIAL	Körper lernen, produktiven Rand lesen	PARTITION	PROSE:LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	Teil abtrennen
SF0057	chey	PROSE_AND_ASTRO	7	4	Y	PRODUCTIVE_BREVIGRAPH	BREVIGRAPH	FULL	aus Kernen zusammensetzen	NONE	PROSE:LITERAL_PRODUCTIVE_PARSE	dieser Posten
SF0058	cheyky	ASTRO_ONLY	0	1	NONE	LOCAL_ASTRO_NOMENCLATOR	NOMENCLATOR_PLUS_OWNER	NONE	lokale Karte mit Diagrammplatz lernen	cheyky	ASTRO:NO_COMMON_CORE	Ablesung dieses Hauses
SF0059	chkain	PROSE_ONLY	1	0	AIN	PRODUCTIVE_BREVIGRAPH	BREVIGRAPH	FULL	aus Kernen zusammensetzen	NONE	PROSE:LITERAL_PRODUCTIVE_PARSE	eine Portion
SF0060	chkchdar	ASTRO_ONLY	0	1	KCH+AR	LOCAL_NOMENCLATOR_WITH_COMPONENT_HINT	NOMENCLATOR_PLUS_BREVIGRAPH_HINT	PARTIAL	lokale Karte lernen, bekannten Kern als Hinweis nutzen	UNRESOLVED_LOCAL	ASTRO:LEARNED_WITH_HINT	Bearbeiten + Quelle
SF0061	chkchykoly	ASTRO_ONLY	0	1	KCH+OL	LOCAL_NOMENCLATOR_WITH_COMPONENT_HINT	NOMENCLATOR_PLUS_BREVIGRAPH_HINT	PARTIAL	lokale Karte lernen, bekannten Kern als Hinweis nutzen	UNRESOLVED_LOCAL	ASTRO:LEARNED_WITH_HINT	Bearbeiten + Fortsetzen
SF0062	chkeedy	PROSE_ONLY	1	0	CHK+EE+CLOSE	PRODUCTIVE_CORE_PLUS_EDGE	BREVIGRAPH	FULL	bekannten Kern und produktiven Rand zusammensetzen	NONE	PROSE:LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	länger wärmen; Schluss
SF0063	chkeey	PROSE_ONLY	1	0	CHK+EE+Y	PRODUCTIVE_CORE_PLUS_EDGE	BREVIGRAPH	FULL	bekannten Kern und produktiven Rand zusammensetzen	NONE	PROSE:LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	diesen Posten länger warm halten
SF0064	chky	ASTRO_ONLY	0	1	NONE	LOCAL_ASTRO_NOMENCLATOR	NOMENCLATOR_PLUS_OWNER	NONE	lokale Karte mit Diagrammplatz lernen	chky	ASTRO:NO_COMMON_CORE	Grad oder Diagrammzustand justieren
SF0065	chldaiin	PROSE_ONLY	1	0	SHED+AIIN	PRODUCTIVE_CORE_PLUS_EDGE	BREVIGRAPH	FULL	bekannten Kern und produktiven Rand zusammensetzen	SHED	PROSE:LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	Absetzmaß
SF0066	cho	PROSE_AND_ASTRO	2	2	HO	NOMENCLATOR_WHOLE_SIGN	NOMENCLATOR	NONE	ganze Karte lernen	NONE	PROSE:LEXICAL_ROOT_ONLY	Zutat
SF0067	choaiin	ASTRO_ONLY	0	1	HO+AIIN	LOCAL_NOMENCLATOR_WITH_COMPONENT_HINT	NOMENCLATOR_PLUS_BREVIGRAPH_HINT	PARTIAL	lokale Karte lernen, bekannten Kern als Hinweis nutzen	UNRESOLVED_LOCAL	ASTRO:LEARNED_WITH_HINT	Eingangsposten + Sollwert/Maß
SF0068	chocfhy	ASTRO_ONLY	0	2	HO	LOCAL_NOMENCLATOR_WITH_CORE_HINT	NOMENCLATOR_PLUS_BREVIGRAPH_HINT	PARTIAL	lokale Karte lernen; sichtbaren Kern nur als Hinweis lesen	NONE	ASTRO:COMMON_CORE	Himmelsobjekt oder Eingangsbedingung
SF0069	chochor	PROSE_ONLY	1	0	HO+OR	PRODUCTIVE_CORE_PLUS_EDGE	BREVIGRAPH	FULL	bekannten Kern und produktiven Rand zusammensetzen	NONE	PROSE:LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	Zutatenansatz
SF0070	choctheeey	ASTRO_ONLY	0	1	HO+CTH	LOCAL_NOMENCLATOR_WITH_COMPONENT_HINT	NOMENCLATOR_PLUS_BREVIGRAPH_HINT	PARTIAL	lokale Karte lernen, bekannten Kern als Hinweis nutzen	UNRESOLVED_LOCAL	ASTRO:LEARNED_WITH_HINT	Eingangsposten + Bereitwert
SF0071	chod	ASTRO_ONLY	0	1	HO	LOCAL_NOMENCLATOR_WITH_CORE_HINT	NOMENCLATOR_PLUS_BREVIGRAPH_HINT	PARTIAL	lokale Karte lernen; sichtbaren Kern nur als Hinweis lesen	NONE	ASTRO:COMMON_CORE	Himmelsobjekt oder Eingangsbedingung
SF0072	chodaiin	PROSE_ONLY	1	0	HO+AIIN	PRODUCTIVE_CORE_PLUS_EDGE	BREVIGRAPH	FULL	bekannten Kern und produktiven Rand zusammensetzen	NONE	PROSE:LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	Zutatenmaß
SF0073	chodaly	PROSE_ONLY	1	0	HO+AL+Y	PRODUCTIVE_CORE_PLUS_EDGE	BREVIGRAPH	FULL	bekannten Kern und produktiven Rand zusammensetzen	NONE	PROSE:LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	diese Zutat zur Stelle bringen
SF0074	choeea	ASTRO_ONLY	0	1	HO	LOCAL_NOMENCLATOR_WITH_CORE_HINT	NOMENCLATOR_PLUS_BREVIGRAPH_HINT	PARTIAL	lokale Karte lernen; sichtbaren Kern nur als Hinweis lesen	NONE	ASTRO:COMMON_CORE	Himmelsobjekt oder Eingangsbedingung + lange oder volle Diagrammstufe
SF0075	choer	ASTRO_ONLY	0	1	HO	LOCAL_NOMENCLATOR_WITH_CORE_HINT	NOMENCLATOR_PLUS_BREVIGRAPH_HINT	PARTIAL	lokale Karte lernen; sichtbaren Kern nur als Hinweis lesen	NONE	ASTRO:COMMON_CORE	Himmelsobjekt oder Eingangsbedingung
SF0076	chokal	ASTRO_ONLY	0	1	HO+AL	LOCAL_NOMENCLATOR_WITH_COMPONENT_HINT	NOMENCLATOR_PLUS_BREVIGRAPH_HINT	PARTIAL	lokale Karte lernen, bekannten Kern als Hinweis nutzen	UNRESOLVED_LOCAL	ASTRO:LEARNED_WITH_HINT	Eingangsposten + Ziel
SF0077	chokcheo	PROSE_ONLY	1	0	OK+CHEO	PRODUCTIVE_CORE_PLUS_EDGE	BREVIGRAPH	FULL	bekannten Kern und produktiven Rand zusammensetzen	NONE	PROSE:LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	Auszug zugeben
SF0078	chokchy	PROSE_ONLY	1	0	OK+Y	PRODUCTIVE_BREVIGRAPH	BREVIGRAPH	FULL	aus Kernen zusammensetzen	NONE	PROSE:LITERAL_PRODUCTIVE_PARSE	Posten zur Weiterbearbeitung ansetzen
SF0079	choky	PROSE_AND_ASTRO	2	1	OK+Y	PRODUCTIVE_BREVIGRAPH	BREVIGRAPH	FULL	aus Kernen zusammensetzen	NONE	PROSE:LITERAL_PRODUCTIVE_PARSE	aktuellen Posten ansetzen
SF0080	chol	PROSE_AND_ASTRO	3	4	OL	RENDERER_ALLOGRAPH_OF_PRODUCTIVE	RENDERER_PLUS_BREVIGRAPH	FULL_AFTER_RENDERER_NORMALIZATION	Renderer abziehen, dann zusammensetzen	NONE	PROSE:RENDERER_ALIAS_PLUS_PRODUCTIVE_PARSE	fortsetzen
SF0081	cholor	PROSE_ONLY	1	0	OL+OR	PRODUCTIVE_BREVIGRAPH	BREVIGRAPH	FULL	aus Kernen zusammensetzen	NONE	PROSE:LITERAL_PRODUCTIVE_PARSE	Fortsetzungsansatz
SF0082	choly	ASTRO_ONLY	0	1	HO	LOCAL_NOMENCLATOR_WITH_CORE_HINT	NOMENCLATOR_PLUS_BREVIGRAPH_HINT	PARTIAL	lokale Karte lernen; sichtbaren Kern nur als Hinweis lesen	NONE	ASTRO:COMMON_CORE	im selben Ring, Band oder Satz fortsetzen
SF0083	chor	PROSE_ONLY	3	0	OR	PRODUCTIVE_BREVIGRAPH	BREVIGRAPH	FULL	aus Kernen zusammensetzen	NONE	PROSE:LITERAL_PRODUCTIVE_PARSE	Ansatz
SF0084	chos	ASTRO_ONLY	0	2	HO	LOCAL_NOMENCLATOR_WITH_CORE_HINT	NOMENCLATOR_PLUS_BREVIGRAPH_HINT	PARTIAL	lokale Karte lernen; sichtbaren Kern nur als Hinweis lesen	NONE	ASTRO:COMMON_CORE	Himmelsobjekt oder Eingangsbedingung
SF0085	choteey	ASTRO_ONLY	0	1	HO	LOCAL_NOMENCLATOR_WITH_CORE_HINT	NOMENCLATOR_PLUS_BREVIGRAPH_HINT	PARTIAL	lokale Karte lernen; sichtbaren Kern nur als Hinweis lesen	NONE	ASTRO:COMMON_CORE	naechster Platz oder folgende Bedingung + lange oder volle Diagrammstufe
SF0086	choy	PROSE_ONLY	1	0	HO+Y	PRODUCTIVE_CORE_PLUS_EDGE	BREVIGRAPH	FULL	bekannten Kern und produktiven Rand zusammensetzen	NONE	PROSE:LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	diese Zutat
SF0087	chpor	ASTRO_ONLY	0	1	OR	LOCAL_NOMENCLATOR_WITH_CORE_HINT	NOMENCLATOR_PLUS_BREVIGRAPH_HINT	PARTIAL	lokale Karte lernen; sichtbaren Kern nur als Hinweis lesen	NONE	ASTRO:COMMON_CORE	Bedingungs-, Tabellen- oder Wahlansatz
SF0088	chsdy	ASTRO_ONLY	0	1	NONE	LOCAL_ASTRO_NOMENCLATOR	NOMENCLATOR_PLUS_OWNER	NONE	lokale Karte mit Diagrammplatz lernen	chsdy	ASTRO:NO_COMMON_CORE	sekundärer Zustand fest
SF0089	chteey	ASTRO_ONLY	0	1	NONE	LOCAL_ASTRO_NOMENCLATOR	NOMENCLATOR_PLUS_OWNER	NONE	lokale Karte mit Diagrammplatz lernen	chteey	ASTRO:NO_COMMON_CORE	lange oder volle Diagrammstufe
SF0090	chty	PROSE_ONLY	1	0	PARTITION+TY	LEXICAL_BODY_PLUS_PRODUCTIVE_EDGE	NOMENCLATOR_PLUS_BREVIGRAPH	PARTIAL	Körper lernen, produktiven Rand lesen	PARTITION	PROSE:LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	Teil abtrennen
SF0091	chy	PROSE_AND_ASTRO	3	2	Y	RENDERER_ALLOGRAPH_OF_PRODUCTIVE	RENDERER_PLUS_BREVIGRAPH	FULL_AFTER_RENDERER_NORMALIZATION	Renderer abziehen, dann zusammensetzen	NONE	PROSE:RENDERER_ALIAS_PLUS_PRODUCTIVE_PARSE	dieser Posten
SF0092	chykar	ASTRO_ONLY	0	1	AR	LOCAL_NOMENCLATOR_WITH_CORE_HINT	NOMENCLATOR_PLUS_BREVIGRAPH_HINT	PARTIAL	lokale Karte lernen; sichtbaren Kern nur als Hinweis lesen	NONE	ASTRO:COMMON_CORE	Ausgangssektor, Ursprung oder Bezugswert
SF0093	chykchs	ASTRO_ONLY	0	1	KCH	LOCAL_NOMENCLATOR_WITH_CORE_HINT	NOMENCLATOR_PLUS_BREVIGRAPH_HINT	PARTIAL	lokale Karte lernen; sichtbaren Kern nur als Hinweis lesen	NONE	ASTRO:COMMON_CORE	Diagrammplatz berechnen oder bearbeiten
SF0094	cpheey	ASTRO_ONLY	0	1	NONE	LOCAL_ASTRO_NOMENCLATOR	NOMENCLATOR_PLUS_OWNER	NONE	lokale Karte mit Diagrammplatz lernen	cpheey	ASTRO:NO_COMMON_CORE	lange oder volle Diagrammstufe
