component_recipe	intake_tier	tier_priority	literal_reading_de	generic_workshop_phrase_de	support_count	support_kind	registers	sample_surface	sample_existing_clause_de	intake_action	surface_rule
AL+CHD	T0_EXACT_OBSERVED	0	ZIELORT · BEARBEITEN	Bearbeite am Zielort.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	alched	Bearbeite den Stationsposten [wie zuvor]; zur Zielstation.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
AL+CHD+DY	T0_EXACT_OBSERVED	0	ZIELORT · BEARBEITEN · SCHLUSS	Bearbeite am Zielort; schließe den Schritt.	5	OBSERVED_EVENT_COUNT	BIOLOGICAL|CELESTIAL|PHARMA	dalchdy	Bearbeite den Positionsposten [wie zuvor]; zur Zielposition; schließe den Schritt.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
AL+DY	T0_EXACT_OBSERVED	0	ZIELORT · SCHLUSS	Am Zielort; schließe den Schritt.	4	OBSERVED_EVENT_COUNT	BIOLOGICAL|HERBAL	daldy	Im laufenden Gang nimm den Pflanzenposten [wie zuvor]; zur Zielstelle; schließe den Schritt.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
AL+D_ADDR+AIIN	T0_EXACT_OBSERVED	0	ZIELORT · HIER · WERT	Am Zielort: Wert hier.	1	OBSERVED_EVENT_COUNT	CELESTIAL	aldaiin	Im laufenden Gang wähle den Positionswert; zur Zielposition; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
AL+D_ADDR+Y	T0_EXACT_OBSERVED	0	ZIELORT · HIER · POSTEN	Am Zielort: Posten hier.	2	OBSERVED_EVENT_COUNT	CELESTIAL|HERBAL	aldy	Im laufenden Gang nimm den Pflanzenposten; zur Zielstelle; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
AL+K+AIN	T0_EXACT_OBSERVED	0	ZIELORT · GEBEN · ANTEIL	Gib den Anteil am Zielort.	1	OBSERVED_EVENT_COUNT	HERBAL	alkain	Gib den Materialanteil zu; zur Zielstelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
AL+LOCAL_CHAR_F+SH+E+D_ADDR	T0_EXACT_OBSERVED	0	ZIELORT · HIER · HALTEN · GRAD I · HIER	Halte am Zielort auf Grad I mit der lokalen Variante und hier.	1	OBSERVED_EVENT_COUNT	HERBAL	alfshed	Halte den Materialanteil [wie zuvor]; zur Zielstelle; auf Grad I; an der bezeichneten Stelle und an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
AL+O	T0_EXACT_OBSERVED	0	ZIELORT · AUSFÜHRUNG	Am Zielort.	1	OBSERVED_EVENT_COUNT	CELESTIAL	alo	Im laufenden Gang setze den Positionswert [wie zuvor]; zur Zielposition; als Ausführung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
AL+O+Y	T0_EXACT_OBSERVED	0	ZIELORT · AUSFÜHRUNG · POSTEN	Führe den Posten aus am Zielort.	1	OBSERVED_EVENT_COUNT	CELESTIAL	aloy	Bezug: den Positionsposten; zur Zielposition; als Ausführung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
AL+OL	T0_EXACT_OBSERVED	0	ZIELORT · FORTSETZEN	Weiter: Am Zielort.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	alol	Weiter im laufenden Gang führe den Stationsposten [wie zuvor] zu; zur Zielstation.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
AL+OR	T0_EXACT_OBSERVED	0	ZIELORT · EINHEIT	Am Zielort: Einheit.	3	OBSERVED_EVENT_COUNT	BIOLOGICAL|HERBAL	alor	Im laufenden Gang bearbeite die Stationseinheit; zur Zielstation.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
AL+R+OR	T0_EXACT_OBSERVED	0	ZIELORT · MARKIEREN · EINHEIT	Markiere die Einheit am Zielort.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	chealror	Markiere die Stationseinheit; zur Zielstation.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
AL+S	T0_EXACT_OBSERVED	0	ZIELORT · WÄHLEN	Wähle am Zielort.	1	OBSERVED_EVENT_COUNT	PHARMA	dals	Wähle den Mengenwert [wie zuvor]; zum Zielgefäß.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
AL+S+Y	T0_EXACT_OBSERVED	0	ZIELORT · WÄHLEN · POSTEN	Wähle den Posten am Zielort.	1	OBSERVED_EVENT_COUNT	PHARMA	alsy	Wähle den Drogenposten; zum Zielgefäß.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
AL+SH+E+DY	T0_EXACT_OBSERVED	0	ZIELORT · HALTEN · GRAD I · SCHLUSS	Halte am Zielort auf Grad I; schließe den Schritt.	2	OBSERVED_EVENT_COUNT	BIOLOGICAL	dalshedy	Halte den Stationsposten [wie zuvor]; zur Zielstation; auf Grad I; schließe den Schritt.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
AL+SH+Y	T0_EXACT_OBSERVED	0	ZIELORT · HALTEN · POSTEN	Halte den Posten am Zielort.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	alshy	Halte den Stationsposten; zur Zielstation.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
AL+T+E+D_ADDR+Y	T0_EXACT_OBSERVED	0	ZIELORT · EINSTELLEN · GRAD I · HIER · POSTEN	Stelle den Posten am Zielort ein auf Grad I hier.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	altedy	Stelle den Stationsposten ein; zur Zielstation; auf Grad I; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
AL+Y	T0_EXACT_OBSERVED	0	ZIELORT · POSTEN	Am Zielort: Posten.	9	OBSERVED_EVENT_COUNT	BIOLOGICAL|CELESTIAL|PHARMA	aly	Im laufenden Gang nimm den Positionsposten auf; zur Zielposition.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
AM_ADDR	T0_EXACT_OBSERVED	0	HIER	Hier.	9	OBSERVED_EVENT_COUNT	BIOLOGICAL|CELESTIAL|HERBAL	am	Im laufenden Gang stelle den Materialanteil [wie zuvor] ein; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
AM_ADDR+Y	T0_EXACT_OBSERVED	0	HIER · POSTEN	Posten hier.	1	OBSERVED_EVENT_COUNT	CELESTIAL	amy	Im laufenden Gang wähle den Positionsposten; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
AR	T0_EXACT_OBSERVED	0	AUSGANG	Vom Ausgang.	39	OBSERVED_EVENT_COUNT	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	ar	Im laufenden Gang ordne den laufenden Eintrag [wie zuvor] zu; von der Ausgangszeile.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
AR+AIIN	T0_EXACT_OBSERVED	0	AUSGANG · WERT	Vom Ausgang: Wert.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	araiin	Im laufenden Gang wähle den Stationswert; von der Ausgangsstation.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
AR+CH+EE+Y	T0_EXACT_OBSERVED	0	AUSGANG · NEHMEN · GRAD II · POSTEN	Nimm den Posten vom Ausgang auf Grad II.	2	OBSERVED_EVENT_COUNT	BIOLOGICAL|PHARMA	darchey	Entnimm den Stationsposten; von der Ausgangsstation; auf Grad II.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
AR+CH+Y+T+AIIN	T0_EXACT_OBSERVED	0	AUSGANG · NEHMEN · POSTEN · EINSTELLEN · WERT	Nimm den Posten und den Wert; stelle den Posten und den Wert vom Ausgang ein.	1	OBSERVED_EVENT_COUNT	HERBAL	archytaiin	Nimm den Pflanzenposten und den Arbeitswert und stelle den Pflanzenposten und den Arbeitswert ein; vom Ausgangsmaterial.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
AR+OL	T0_EXACT_OBSERVED	0	AUSGANG · FORTSETZEN	Weiter: Vom Ausgang.	4	OBSERVED_EVENT_COUNT	BIOLOGICAL|CELESTIAL|PHARMA	arol	Weiter im laufenden Gang ordne die Positionseinheit [wie zuvor] zu; von der Ausgangsposition.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
AR+OL+Y	T0_EXACT_OBSERVED	0	AUSGANG · FORTSETZEN · POSTEN	Weiter: Vom Ausgang: Posten.	1	OBSERVED_EVENT_COUNT	CELESTIAL	aroly	Weiter im laufenden Gang wähle den Positionsposten; von der Ausgangsposition.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
AR+S+A_ADDR	T0_EXACT_OBSERVED	0	AUSGANG · WÄHLEN · HIER	Wähle vom Ausgang hier.	1	OBSERVED_EVENT_COUNT	HERBAL	arsa	Wähle die Arbeitseinheit [wie zuvor]; vom Ausgangsmaterial; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
AR+Y	T0_EXACT_OBSERVED	0	AUSGANG · POSTEN	Vom Ausgang: Posten.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	chary	Im laufenden Gang bearbeite den Stationsposten; von der Ausgangsstation.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
A_ADDR	T0_EXACT_OBSERVED	0	HIER	Hier.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	qa	Im laufenden Gang halte den Stationsposten [wie zuvor]; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
A_ADDR+AL	T0_EXACT_OBSERVED	0	HIER · ZIELORT	Am Zielort hier.	1	OBSERVED_EVENT_COUNT	CELESTIAL	adal	Im laufenden Gang setze den Positionswert [wie zuvor]; zur Zielposition; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
A_ADDR+LOCAL_CHAR_I+M_LOCAL	T0_EXACT_OBSERVED	0	HIER · VARIANTE · HIER	Hier, mit der lokalen Variante und hier.	2	OBSERVED_EVENT_COUNT	PHARMA	daim	Im laufenden Gang setze den Drogenposten [wie zuvor] als Ansatz an; an der bezeichneten Stelle, mit der lokalen Variante und an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
A_ADDR+S	T0_EXACT_OBSERVED	0	HIER · WÄHLEN	Wähle hier.	4	OBSERVED_EVENT_COUNT	BIOLOGICAL|PHARMA	as	Wähle den Stationsanteil [wie zuvor]; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
A_ADDR+S+E	T0_EXACT_OBSERVED	0	HIER · WÄHLEN · GRAD I	Wähle auf Grad I hier.	1	OBSERVED_EVENT_COUNT	SOURCE_SECTION_T	ase	Wähle den Kennwert [wie zuvor]; auf Grad I; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
A_ADDR+SH+Y+T+EE+D_ADDR	T0_EXACT_OBSERVED	0	HIER · HALTEN · POSTEN · EINSTELLEN · GRAD II · HIER	Halte den Posten; stelle den Posten ein auf Grad II hier und hier.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	ashyteed	Halte den Stationsposten und stelle den Stationsposten ein; auf Grad II; an der bezeichneten Stelle und an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
A_ADDR+T+AIIN	T0_EXACT_OBSERVED	0	HIER · EINSTELLEN · WERT	Stelle den Wert ein hier.	1	OBSERVED_EVENT_COUNT	SOURCE_SECTION_T	ataiin	Lege den Kennwert fest; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
A_ADDR+T+CH+OR	T0_EXACT_OBSERVED	0	HIER · EINSTELLEN · NEHMEN · EINHEIT	Stelle die Einheit ein; nimm die Einheit hier.	1	OBSERVED_EVENT_COUNT	CELESTIAL	atchor	Stelle die Positionseinheit ein und nimm die Positionseinheit auf; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
A_ADDR+T+EE+Y	T0_EXACT_OBSERVED	0	HIER · EINSTELLEN · GRAD II · POSTEN	Stelle den Posten ein auf Grad II hier.	1	OBSERVED_EVENT_COUNT	CELESTIAL	ateey	Stelle den Positionsposten ein; auf Grad II; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
A_ADDR+Y	T0_EXACT_OBSERVED	0	HIER · POSTEN	Posten hier.	2	OBSERVED_EVENT_COUNT	BIOLOGICAL|CELESTIAL	ay	Im laufenden Gang setze den Positionsposten; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CARRIER_Q+E+AIIN	T0_EXACT_OBSERVED	0	BEGINNMARKER · GRAD I · WERT	Beginne: wert auf Grad I.	1	OBSERVED_EVENT_COUNT	PHARMA	qeaiin	Im laufenden Gang wähle den Mengenwert; als neuen Einsatz und auf Grad I.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CARRIER_Q+E+DY	T0_EXACT_OBSERVED	0	BEGINNMARKER · GRAD I · SCHLUSS	Beginne: auf Grad I; schließe den Schritt.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	qedy	Im laufenden Gang setze den Stationsposten [wie zuvor] im Stationsgang an; als neuen Einsatz und auf Grad I; schließe den Schritt.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CARRIER_Q+E+K+AIIN	T0_EXACT_OBSERVED	0	BEGINNMARKER · GRAD I · GEBEN · WERT	Beginne: gib den Wert auf Grad I.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	qekaiin	Führe den Stationswert zu; als neuen Einsatz und auf Grad I.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CARRIER_Q+E+K+EE+Y	T0_EXACT_OBSERVED	0	BEGINNMARKER · GRAD I · GEBEN · GRAD II · POSTEN	Beginne: gib den Posten auf Grad I und auf Grad II.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	qekeey	Führe den Stationsposten zu; als neuen Einsatz, auf Grad I und auf Grad II.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CARRIER_Q+E+P+CHD+Y	T0_EXACT_OBSERVED	0	BEGINNMARKER · GRAD I · EINSETZEN · BEARBEITEN · POSTEN	Beginne: setze den Posten ein; bearbeite den Posten auf Grad I.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	qepchedy	Setze den Stationsposten ein und bearbeite den Stationsposten; als neuen Einsatz und auf Grad I.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CARRIER_Q+E+T+AL	T0_EXACT_OBSERVED	0	BEGINNMARKER · GRAD I · EINSTELLEN · ZIELORT	Beginne: stelle am Zielort ein auf Grad I.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	qetal	Stelle den Stationsanteil [wie zuvor] ein; zur Zielstation; als neuen Einsatz und auf Grad I.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CARRIER_Q+E+T+CH+Y	T0_EXACT_OBSERVED	0	BEGINNMARKER · GRAD I · EINSTELLEN · NEHMEN · POSTEN	Beginne: stelle den Posten ein; nimm den Posten auf Grad I.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	qetchy	Stelle den Stationsposten ein und entnimm den Stationsposten; als neuen Einsatz und auf Grad I.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CARRIER_Q+E+T+IIN	T0_EXACT_OBSERVED	0	BEGINNMARKER · GRAD I · EINSTELLEN · STUFE	Beginne: stelle ein auf Grad I und auf der bezeichneten Stufe.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	qeteiiin	Stelle den Stationsposten [wie zuvor] ein; als neuen Einsatz, auf Grad I und auf der bezeichneten Stufe.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CARRIER_Q+E+Y+K+EE+Y	T0_EXACT_OBSERVED	0	BEGINNMARKER · GRAD I · POSTEN · GEBEN · GRAD II · POSTEN	Beginne: gib den Posten und den Posten auf Grad I und auf Grad II.	1	OBSERVED_EVENT_COUNT	CELESTIAL	qeykeey	Ordne den Positionsposten [außen] und den Positionsposten [innen] zu; als neuen Einsatz, auf Grad I und auf Grad II.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CARRIER_Q+EE+Y	T0_EXACT_OBSERVED	0	BEGINNMARKER · GRAD II · POSTEN	Beginne: posten auf Grad II.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	qeey	Im laufenden Gang halte den Stationsposten; als neuen Einsatz und auf Grad II.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CARRIER_Q+EEE+D_ADDR+Y	T0_EXACT_OBSERVED	0	BEGINNMARKER · GRAD III · HIER · POSTEN	Beginne: posten auf Grad III hier.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	qeeedy	Im laufenden Gang halte den Stationsposten; als neuen Einsatz und auf Grad III; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CARRIER_Q+EEE+Y	T0_EXACT_OBSERVED	0	BEGINNMARKER · GRAD III · POSTEN	Beginne: posten auf Grad III.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	qeeey	Im laufenden Gang halte den Stationsposten; als neuen Einsatz und auf Grad III.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CARRIER_Q+K+O+Y	T0_EXACT_OBSERVED	0	BEGINNMARKER · GEBEN · AUSFÜHRUNG · POSTEN	Beginne: gib den Posten als Ausführung.	1	OBSERVED_EVENT_COUNT	CELESTIAL	qkoy	Ordne den Positionsposten zu; als neuen Einsatz und als Ausführung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CARRIER_Q+O+AIIN	T0_EXACT_OBSERVED	0	BEGINNMARKER · AUSFÜHRUNG · WERT	Beginne mit der Ausführung des Werts.	6	OBSERVED_EVENT_COUNT	BIOLOGICAL|HERBAL|PHARMA	qoaiin	Im laufenden Gang setze den Arbeitswert im Arbeitsgang an; als neuen Einsatz und als Ausführung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CARRIER_Q+O+AIN	T0_EXACT_OBSERVED	0	BEGINNMARKER · AUSFÜHRUNG · ANTEIL	Beginne mit der Ausführung des Anteils.	1	OBSERVED_EVENT_COUNT	HERBAL	qodain	Im laufenden Gang halte den Materialanteil; als neuen Einsatz und als Ausführung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CARRIER_Q+O+A_ADDR+Y	T0_EXACT_OBSERVED	0	BEGINNMARKER · AUSFÜHRUNG · HIER · POSTEN	Beginne mit der Ausführung des Postens hier.	2	OBSERVED_EVENT_COUNT	PHARMA	qoay	Im laufenden Gang halte den Drogenposten; als neuen Einsatz und als Ausführung; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CARRIER_Q+O+CH+EE+Y	T0_EXACT_OBSERVED	0	BEGINNMARKER · AUSFÜHRUNG · NEHMEN · GRAD II · POSTEN	Beginne: nimm den Posten auf Grad II als Ausführung.	2	OBSERVED_EVENT_COUNT	CELESTIAL|PHARMA	qocheey	Nimm den Positionsposten auf; als neuen Einsatz, als Ausführung und auf Grad II.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CARRIER_Q+O+CH+K+OL	T0_EXACT_OBSERVED	0	BEGINNMARKER · AUSFÜHRUNG · NEHMEN · GEBEN · FORTSETZEN	Weiter: Beginne: nimm; gib als Ausführung.	3	OBSERVED_EVENT_COUNT	BIOLOGICAL|PHARMA	qockhol	Weiter entnimm den Stationsposten [wie zuvor] und führe den Stationsposten [wie zuvor] zu; als neuen Einsatz und als Ausführung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CARRIER_Q+O+CH+K+Y	T0_EXACT_OBSERVED	0	BEGINNMARKER · AUSFÜHRUNG · NEHMEN · GEBEN · POSTEN	Beginne: nimm den Posten; gib den Posten als Ausführung.	1	OBSERVED_EVENT_COUNT	CELESTIAL	qockhy	Nimm den Positionsposten auf und ordne den Positionsposten zu; als neuen Einsatz und als Ausführung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CARRIER_Q+O+CH+T+E+Y	T0_EXACT_OBSERVED	0	BEGINNMARKER · AUSFÜHRUNG · NEHMEN · EINSTELLEN · GRAD I · POSTEN	Beginne: nimm den Posten; stelle den Posten ein auf Grad I als Ausführung.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	qocthey	Entnimm den Stationsposten und stelle den Stationsposten ein; als neuen Einsatz, als Ausführung und auf Grad I.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CARRIER_Q+O+CH+T+OL+Y	T0_EXACT_OBSERVED	0	BEGINNMARKER · AUSFÜHRUNG · NEHMEN · EINSTELLEN · FORTSETZEN · POSTEN	Weiter: Beginne: nimm den Posten; stelle den Posten ein als Ausführung.	2	OBSERVED_EVENT_COUNT	HERBAL|PHARMA	qoctholy	Weiter nimm den Pflanzenposten und stelle den Pflanzenposten ein; als neuen Einsatz und als Ausführung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CARRIER_Q+O+DY	T0_EXACT_OBSERVED	0	BEGINNMARKER · AUSFÜHRUNG · SCHLUSS	Beginne den bezeichneten Gang; schließe den Schritt.	3	OBSERVED_EVENT_COUNT	BIOLOGICAL|HERBAL|PHARMA	qody	Im laufenden Gang stelle den Pflanzenposten [wie zuvor] ein; als neuen Einsatz und als Ausführung; schließe den Schritt.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
