component_recipe	literal_reading_de	generic_workshop_phrase_de	source_neighbor_count	source_recipes	generic_phrase_collision_count	generic_phrase_collision_recipes	appendix_rule	surface_rule
AR+O	AUSGANG · AUSFÜHRUNG	Vom Ausgang.	2	AL+O | L+O	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AR+SH+E+DY	AUSGANG · HALTEN · GRAD I · SCHLUSS	Halte vom Ausgang auf Grad I; schließe den Schritt.	2	AL+SH+E+DY | L+SH+E+DY	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CARRIER_Q+O+LOCAL_CHAR_F+CHD+AIN	BEGINNMARKER · AUSFÜHRUNG · HIER · BEARBEITEN · ANTEIL	Beginne: bearbeite den Anteil als Ausführung mit der lokalen Variante.	2	CARRIER_Q+O+LOCAL_CHAR_F+CHD+AIIN | CARRIER_Q+O+LOCAL_CHAR_F+CHD+Y	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CARRIER_Q+O+LOCAL_CHAR_F+CHD+OR	BEGINNMARKER · AUSFÜHRUNG · HIER · BEARBEITEN · EINHEIT	Beginne: bearbeite die Einheit als Ausführung mit der lokalen Variante.	2	CARRIER_Q+O+LOCAL_CHAR_F+CHD+AIIN | CARRIER_Q+O+LOCAL_CHAR_F+CHD+Y	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+CH+OK+E+Y	NEHMEN · NEHMEN · SETZEN · GRAD I · POSTEN	Nimm den Posten; nimm den Posten; setze den Posten auf Grad I.	2	CH+CH+K+E+Y | CH+CH+P+E+Y	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+E+O+CH+OK+Y	NEHMEN · GRAD I · AUSFÜHRUNG · NEHMEN · SETZEN · POSTEN	Nimm den Posten; nimm den Posten; setze den Posten auf Grad I als Ausführung.	2	CH+E+O+CH+K+Y | CH+E+O+CH+P+Y	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+EE+Y	NEHMEN · GRAD II · POSTEN	Nimm den Posten auf Grad II.	2	CH+EE+OR | S+EE+Y	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+K+E+AIIN	NEHMEN · GEBEN · GRAD I · WERT	Nimm den Wert; gib den Wert auf Grad I.	2	CH+K+E+OR | CH+K+E+Y	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+K+E+AIN	NEHMEN · GEBEN · GRAD I · ANTEIL	Nimm den Anteil; gib den Anteil auf Grad I.	2	CH+K+E+OR | CH+K+E+Y	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+LOCAL_CHAR_F+AIN	NEHMEN · HIER · ANTEIL	Nimm den Anteil mit der lokalen Variante.	2	CH+LOCAL_CHAR_F+AIIN | CH+LOCAL_CHAR_F+Y	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+LOCAL_CHAR_F+OR	NEHMEN · HIER · EINHEIT	Nimm die Einheit mit der lokalen Variante.	2	CH+LOCAL_CHAR_F+AIIN | CH+LOCAL_CHAR_F+Y	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+OK+AL	NEHMEN · SETZEN · ZIELORT	Nimm; setze am Zielort.	2	CH+K+AL | CH+P+AL	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+OK+AR	NEHMEN · SETZEN · AUSGANG	Nimm; setze vom Ausgang.	2	CH+K+AR | CH+P+AR	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+OK+E+Y	NEHMEN · SETZEN · GRAD I · POSTEN	Nimm den Posten; setze den Posten auf Grad I.	2	CH+K+E+Y | CH+P+E+Y	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+OK+EE+DY	NEHMEN · SETZEN · GRAD II · SCHLUSS	Nimm; setze auf Grad II; schließe den Schritt.	2	CH+K+EE+DY | S+OK+EE+DY	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+OK+O	NEHMEN · SETZEN · AUSFÜHRUNG	Nimm; setze als Ausführung.	2	CH+K+O | CH+P+O	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+OK+O+Y	NEHMEN · SETZEN · AUSFÜHRUNG · POSTEN	Nimm den Posten; setze den Posten als Ausführung.	2	CH+K+O+Y | CH+P+O+Y	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+OK+OL	NEHMEN · SETZEN · FORTSETZEN	Weiter: Nimm; setze.	2	CH+K+OL | CH+P+OL	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+OK+OR	NEHMEN · SETZEN · EINHEIT	Nimm die Einheit; setze die Einheit.	2	CH+K+OR | CH+P+OR	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+OK+Y	NEHMEN · SETZEN · POSTEN	Nimm den Posten; setze den Posten.	2	CH+K+Y | CH+P+Y	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+OT+AIIN	NEHMEN · DANACH · WERT	Danach: Nimm den Wert.	2	CH+OT+Y | S+OT+AIIN	1	CH+OT+AIIN|OT+CH+AIIN	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+P+E+OR	NEHMEN · EINSETZEN · GRAD I · EINHEIT	Nimm die Einheit; setze die Einheit ein auf Grad I.	2	CH+K+E+OR | CH+P+E+Y	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+P+L	NEHMEN · EINSETZEN · VERBINDUNG	Nimm; setze über die Verbindung ein.	2	CH+P+AL | CH+P+AR	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+T+AIR	NEHMEN · EINSTELLEN · BAHN	Nimm; stelle entlang der Bahn ein.	2	CH+T+AL | CH+T+AR	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+T+L	NEHMEN · EINSTELLEN · VERBINDUNG	Nimm; stelle über die Verbindung ein.	2	CH+T+AL | CH+T+AR	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+Y	NEHMEN · POSTEN	Nimm den Posten.	2	CH+AIIN | CH+OR	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
D_ADDR+AIIN	HIER · WERT	Wert hier.	2	D_ADDR+OR | D_ADDR+Y	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
D_ADDR+AIN	HIER · ANTEIL	Anteil hier.	2	D_ADDR+OR | D_ADDR+Y	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
D_ADDR+AIN+Y	HIER · ANTEIL · POSTEN	Anteil des Postens hier.	2	D_ADDR+AIIN+Y | D_ADDR+OR+Y	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
D_ADDR+AL	HIER · ZIELORT	Am Zielort hier.	2	D_ADDR+AIR | D_ADDR+AR	1	D_ADDR+AL|O+D_ADDR+AL	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
D_ADDR+AR+AIN	HIER · AUSGANG · ANTEIL	Vom Ausgang: Anteil hier.	2	D_ADDR+AR+AIIN | D_ADDR+AR+OR	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
D_ADDR+AR+Y	HIER · AUSGANG · POSTEN	Vom Ausgang: Posten hier.	2	D_ADDR+AR+AIIN | D_ADDR+AR+OR	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
D_ADDR+CH+AIR	HIER · NEHMEN · BAHN	Nimm entlang der Bahn hier.	2	D_ADDR+CH+AL | D_ADDR+CH+AR	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
D_ADDR+CH+L	HIER · NEHMEN · VERBINDUNG	Nimm über die Verbindung hier.	2	D_ADDR+CH+AL | D_ADDR+CH+AR	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
D_ADDR+CHD+OR	HIER · BEARBEITEN · EINHEIT	Bearbeite die Einheit hier.	2	D_ADDR+CHD+Y | D_ADDR+SH+OR	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
D_ADDR+K+AIIN	HIER · GEBEN · WERT	Gib den Wert hier.	2	D_ADDR+K+AIN | D_ADDR+K+Y	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
D_ADDR+K+OR	HIER · GEBEN · EINHEIT	Gib die Einheit hier.	2	D_ADDR+K+AIN | D_ADDR+K+Y	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
D_ADDR+L	HIER · VERBINDUNG	Über die Verbindung hier.	2	D_ADDR+AIR | D_ADDR+AR	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
D_ADDR+O+AIN	HIER · AUSFÜHRUNG · ANTEIL	Führe den Anteil aus hier.	2	D_ADDR+O+AIIN | D_ADDR+O+Y	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
D_ADDR+O+OR	HIER · AUSFÜHRUNG · EINHEIT	Führe die Einheit aus hier.	2	D_ADDR+O+AIIN | D_ADDR+O+Y	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
D_ADDR+OK+Y	HIER · SETZEN · POSTEN	Setze den Posten hier.	2	D_ADDR+K+Y | D_ADDR+P+Y	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
D_ADDR+OL+K+AIIN	HIER · FORTSETZEN · GEBEN · WERT	Weiter: Gib den Wert hier.	2	D_ADDR+OL+K+AIN | D_ADDR+OL+K+Y	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
D_ADDR+OL+K+OR	HIER · FORTSETZEN · GEBEN · EINHEIT	Weiter: Gib die Einheit hier.	2	D_ADDR+OL+K+AIN | D_ADDR+OL+K+Y	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
D_ADDR+P+AIN	HIER · EINSETZEN · ANTEIL	Setze den Anteil ein hier.	2	D_ADDR+K+AIN | D_ADDR+P+Y	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
D_ADDR+SH+Y	HIER · HALTEN · POSTEN	Halte den Posten hier.	2	D_ADDR+CHD+Y | D_ADDR+SH+OR	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
D_ADDR+Y+K+Y	HIER · POSTEN · GEBEN · POSTEN	Gib den Posten und den Posten hier.	2	D_ADDR+Y+K+AIN | D_ADDR+Y+P+Y	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
D_ADDR+Y+P+AIN	HIER · POSTEN · EINSETZEN · ANTEIL	Setze den Posten und den Anteil ein hier.	2	D_ADDR+Y+K+AIN | D_ADDR+Y+P+Y	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
D_ADDR+Y+Y	HIER · POSTEN · POSTEN	Äußerer Posten; innerer Posten.	2	D_ADDR+AIIN+Y | D_ADDR+OR+Y	0	NONE	EXACT_RECIPE_KEY_REQUIRED__PHRASE_ALONE_NEVER_MATCHES	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
