component_recipe	intake_tier	register	literal_reading_de	owner_local_atom_expansion_de	owner_local_workshop_phrase_de	surface_rule
AIR+Y	T2_FUTURE_STRONG	PHARMA	BAHN · POSTEN	TRANSFERBAHN · DROGENPOSTEN	Entlang der Transferbahn: Drogenposten.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AIR+Y	T2_FUTURE_STRONG	SOURCE_SECTION_T	BAHN · POSTEN	LESEBAHN · LAUFENDER EINTRAG	Entlang der Lesebahn: laufenden Eintrag.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AR+AIN	T2_FUTURE_STRONG	BIOLOGICAL	AUSGANG · ANTEIL	AUSGANGSSTATION · STATIONSANTEIL	Von der Ausgangsstation: Stationsanteil.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AR+AIN	T2_FUTURE_STRONG	CELESTIAL	AUSGANG · ANTEIL	AUSGANGSPOSITION · SEKTORANTEIL	Von der Ausgangsposition: Sektoranteil.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AR+AIN	T2_FUTURE_STRONG	HERBAL	AUSGANG · ANTEIL	AUSGANGSMATERIAL · MATERIALANTEIL	Vom Ausgangsmaterial: Materialanteil.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AR+AIN	T2_FUTURE_STRONG	PHARMA	AUSGANG · ANTEIL	AUSGANGSGEFÄSS · DROGENANTEIL	Vom Ausgangsgefäß: Drogenanteil.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AR+AIN	T2_FUTURE_STRONG	SOURCE_SECTION_T	AUSGANG · ANTEIL	AUSGANGSZEILE · TEILWERT	Von der Ausgangszeile: Teilwert.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CARRIER_Q+O+Y	T2_FUTURE_STRONG	BIOLOGICAL	BEGINNMARKER · AUSFÜHRUNG · POSTEN	BEGINNMARKER · AUSFÜHRUNG · STATIONSPOSTEN	Beginne mit der Ausführung des Stationspostens.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CARRIER_Q+O+Y	T2_FUTURE_STRONG	CELESTIAL	BEGINNMARKER · AUSFÜHRUNG · POSTEN	BEGINNMARKER · AUSFÜHRUNG · POSITIONSPOSTEN	Beginne mit der Ausführung des Positionspostens.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CARRIER_Q+O+Y	T2_FUTURE_STRONG	HERBAL	BEGINNMARKER · AUSFÜHRUNG · POSTEN	BEGINNMARKER · AUSFÜHRUNG · PFLANZENPOSTEN	Beginne mit der Ausführung des Pflanzenpostens.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CARRIER_Q+O+Y	T2_FUTURE_STRONG	PHARMA	BEGINNMARKER · AUSFÜHRUNG · POSTEN	BEGINNMARKER · AUSFÜHRUNG · DROGENPOSTEN	Beginne mit der Ausführung des Drogenpostens.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CARRIER_Q+O+Y	T2_FUTURE_STRONG	SOURCE_SECTION_T	BEGINNMARKER · AUSFÜHRUNG · POSTEN	BEGINNMARKER · AUSFÜHRUNG · LAUFENDER EINTRAG	Beginne mit der Ausführung des laufenden Eintrags.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+AIN	T2_FUTURE_STRONG	BIOLOGICAL	NEHMEN · ANTEIL	POSTEN ENTNEHMEN · STATIONSANTEIL	Entnimm den Stationsanteil.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+AIN	T2_FUTURE_STRONG	CELESTIAL	NEHMEN · ANTEIL	POSITION AUFNEHMEN · SEKTORANTEIL	Nimm den Sektoranteil auf.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+AIN	T2_FUTURE_STRONG	HERBAL	NEHMEN · ANTEIL	PFLANZENTEIL NEHMEN · MATERIALANTEIL	Nimm den Materialanteil.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+AIN	T2_FUTURE_STRONG	PHARMA	NEHMEN · ANTEIL	DROGENPOSTEN NEHMEN · DROGENANTEIL	Nimm den Drogenanteil.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+AIN	T2_FUTURE_STRONG	SOURCE_SECTION_T	NEHMEN · ANTEIL	ENTNEHMEN · TEILWERT	Entnimm den Teilwert.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+E+O+AIR	T2_FUTURE_STRONG	BIOLOGICAL	NEHMEN · GRAD I · AUSFÜHRUNG · BAHN	POSTEN ENTNEHMEN · GRAD I · AUSFÜHRUNG · STATIONSBAHN	Entnimm entlang der Stationsbahn auf Grad I als Ausführung.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+E+O+AIR	T2_FUTURE_STRONG	CELESTIAL	NEHMEN · GRAD I · AUSFÜHRUNG · BAHN	POSITION AUFNEHMEN · GRAD I · AUSFÜHRUNG · RINGBAHN	Nimm entlang der Ringbahn auf auf Grad I als Ausführung.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+E+O+AIR	T2_FUTURE_STRONG	HERBAL	NEHMEN · GRAD I · AUSFÜHRUNG · BAHN	PFLANZENTEIL NEHMEN · GRAD I · AUSFÜHRUNG · VERARBEITUNGSBAHN	Nimm entlang der Verarbeitungsbahn auf Grad I als Ausführung.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+E+O+AIR	T2_FUTURE_STRONG	PHARMA	NEHMEN · GRAD I · AUSFÜHRUNG · BAHN	DROGENPOSTEN NEHMEN · GRAD I · AUSFÜHRUNG · TRANSFERBAHN	Nimm entlang der Transferbahn auf Grad I als Ausführung.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+E+O+AIR	T2_FUTURE_STRONG	SOURCE_SECTION_T	NEHMEN · GRAD I · AUSFÜHRUNG · BAHN	ENTNEHMEN · GRAD I · AUSFÜHRUNG · LESEBAHN	Entnimm entlang der Lesebahn auf Grad I als Ausführung.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+K+L	T2_FUTURE_STRONG	BIOLOGICAL	NEHMEN · GEBEN · VERBINDUNG	POSTEN ENTNEHMEN · POSTEN ZUFÜHREN · SICHTBARE VERBINDUNG	Entnimm; führe über die sichtbare Verbindung zu.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+K+L	T2_FUTURE_STRONG	CELESTIAL	NEHMEN · GEBEN · VERBINDUNG	POSITION AUFNEHMEN · WERT ZUORDNEN · RINGVERBINDUNG	Nimm auf; ordne über die Ringverbindung zu.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+K+L	T2_FUTURE_STRONG	HERBAL	NEHMEN · GEBEN · VERBINDUNG	PFLANZENTEIL NEHMEN · MATERIAL ZUGEBEN · VERBINDUNG IM PFLANZENARTIKEL	Nimm; gib über die Verbindung im Pflanzenartikel zu.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+K+L	T2_FUTURE_STRONG	PHARMA	NEHMEN · GEBEN · VERBINDUNG	DROGENPOSTEN NEHMEN · ZUTAT ZUGEBEN · GEFÄSSVERBINDUNG	Nimm; gib über die Gefäßverbindung zu.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+K+L	T2_FUTURE_STRONG	SOURCE_SECTION_T	NEHMEN · GEBEN · VERBINDUNG	ENTNEHMEN · ZUORDNEN · EINTRAGSVERBINDUNG	Entnimm; ordne über die Eintragsverbindung zu.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+O+D_ADDR+OR	T2_FUTURE_STRONG	BIOLOGICAL	NEHMEN · AUSFÜHRUNG · HIER · EINHEIT	POSTEN ENTNEHMEN · AUSFÜHRUNG · HIER · STATIONSEINHEIT	Entnimm die Stationseinheit als Ausführung hier.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+O+D_ADDR+OR	T2_FUTURE_STRONG	CELESTIAL	NEHMEN · AUSFÜHRUNG · HIER · EINHEIT	POSITION AUFNEHMEN · AUSFÜHRUNG · HIER · POSITIONSEINHEIT	Nimm die Positionseinheit auf als Ausführung hier.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+O+D_ADDR+OR	T2_FUTURE_STRONG	HERBAL	NEHMEN · AUSFÜHRUNG · HIER · EINHEIT	PFLANZENTEIL NEHMEN · AUSFÜHRUNG · HIER · ARBEITSEINHEIT	Nimm die Arbeitseinheit als Ausführung hier.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+O+D_ADDR+OR	T2_FUTURE_STRONG	PHARMA	NEHMEN · AUSFÜHRUNG · HIER · EINHEIT	DROGENPOSTEN NEHMEN · AUSFÜHRUNG · HIER · ANSATZEINHEIT	Nimm die Ansatzeinheit als Ausführung hier.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+O+D_ADDR+OR	T2_FUTURE_STRONG	SOURCE_SECTION_T	NEHMEN · AUSFÜHRUNG · HIER · EINHEIT	ENTNEHMEN · AUSFÜHRUNG · HIER · EINTRAGSEINHEIT	Entnimm die Eintragseinheit als Ausführung hier.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+P+AIIN	T2_FUTURE_STRONG	BIOLOGICAL	NEHMEN · EINSETZEN · WERT	POSTEN ENTNEHMEN · POSTEN EINSETZEN · STATIONSWERT	Entnimm den Stationswert; setze den Stationswert ein.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+P+AIIN	T2_FUTURE_STRONG	CELESTIAL	NEHMEN · EINSETZEN · WERT	POSITION AUFNEHMEN · EINTRAG EINSETZEN · POSITIONSWERT	Nimm den Positionswert auf; setze den Positionswert ein.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+P+AIIN	T2_FUTURE_STRONG	HERBAL	NEHMEN · EINSETZEN · WERT	PFLANZENTEIL NEHMEN · MATERIAL EINSETZEN · ARBEITSWERT	Nimm den Arbeitswert; setze den Arbeitswert ein.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+P+AIIN	T2_FUTURE_STRONG	PHARMA	NEHMEN · EINSETZEN · WERT	DROGENPOSTEN NEHMEN · ZUTAT EINSETZEN · MENGENWERT	Nimm den Mengenwert; setze den Mengenwert ein.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+P+AIIN	T2_FUTURE_STRONG	SOURCE_SECTION_T	NEHMEN · EINSETZEN · WERT	ENTNEHMEN · IN EINTRAG EINSETZEN · KENNWERT	Entnimm den Kennwert; setze den Kennwert in den Eintrag ein.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+P+AIN	T2_FUTURE_STRONG	BIOLOGICAL	NEHMEN · EINSETZEN · ANTEIL	POSTEN ENTNEHMEN · POSTEN EINSETZEN · STATIONSANTEIL	Entnimm den Stationsanteil; setze den Stationsanteil ein.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+P+AIN	T2_FUTURE_STRONG	CELESTIAL	NEHMEN · EINSETZEN · ANTEIL	POSITION AUFNEHMEN · EINTRAG EINSETZEN · SEKTORANTEIL	Nimm den Sektoranteil auf; setze den Sektoranteil ein.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+P+AIN	T2_FUTURE_STRONG	HERBAL	NEHMEN · EINSETZEN · ANTEIL	PFLANZENTEIL NEHMEN · MATERIAL EINSETZEN · MATERIALANTEIL	Nimm den Materialanteil; setze den Materialanteil ein.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+P+AIN	T2_FUTURE_STRONG	PHARMA	NEHMEN · EINSETZEN · ANTEIL	DROGENPOSTEN NEHMEN · ZUTAT EINSETZEN · DROGENANTEIL	Nimm den Drogenanteil; setze den Drogenanteil ein.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+P+AIN	T2_FUTURE_STRONG	SOURCE_SECTION_T	NEHMEN · EINSETZEN · ANTEIL	ENTNEHMEN · IN EINTRAG EINSETZEN · TEILWERT	Entnimm den Teilwert; setze den Teilwert in den Eintrag ein.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+P+AIR	T2_FUTURE_STRONG	BIOLOGICAL	NEHMEN · EINSETZEN · BAHN	POSTEN ENTNEHMEN · POSTEN EINSETZEN · STATIONSBAHN	Entnimm; setze entlang der Stationsbahn ein.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+P+AIR	T2_FUTURE_STRONG	CELESTIAL	NEHMEN · EINSETZEN · BAHN	POSITION AUFNEHMEN · EINTRAG EINSETZEN · RINGBAHN	Nimm auf; setze entlang der Ringbahn ein.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+P+AIR	T2_FUTURE_STRONG	HERBAL	NEHMEN · EINSETZEN · BAHN	PFLANZENTEIL NEHMEN · MATERIAL EINSETZEN · VERARBEITUNGSBAHN	Nimm; setze entlang der Verarbeitungsbahn ein.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+P+AIR	T2_FUTURE_STRONG	PHARMA	NEHMEN · EINSETZEN · BAHN	DROGENPOSTEN NEHMEN · ZUTAT EINSETZEN · TRANSFERBAHN	Nimm; setze entlang der Transferbahn ein.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+P+AIR	T2_FUTURE_STRONG	SOURCE_SECTION_T	NEHMEN · EINSETZEN · BAHN	ENTNEHMEN · IN EINTRAG EINSETZEN · LESEBAHN	Entnimm; setze entlang der Lesebahn in den Eintrag ein.	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
