edition	paragraph	target	previous_locus	previous_raw	target_raw	all_prior_loci	row_status
IT2a	f6v|f6v.6-f6v.21	f6v.8:1	f6v.7	ychos ychol daiin cthol dol	ychor chor okchey qokom	f6v.6;f6v.7	recorded
IT2a	f9v|f9v.5-f9v.12	f9v.11:1	f9v.10	oty kchol chol chy kyty	ychor chshoty oky kaiin	f9v.5;f9v.6;f9v.7;f9v.8;f9v.9;f9v.10	recorded
IT2a	f17v|f17v.1-f17v.23	f17v.15:1	f17v.14	olo r okeeol chodaiin okeol tchory	ychor cthy cheeky cheo otor oteol	f17v.1;f17v.2;f17v.3;f17v.4;f17v.5;f17v.6;f17v.7;f17v.8;f17v.9;f17v.10;f17v.11;f17v.12;f17v.13;f17v.14	recorded
IT2a	f19v|f19v.8-f19v.14	f19v.9:1	f19v.8	toy tchey qo dchol qokchs dom	ychor oky chor ytal chol oky ddor	f19v.8	recorded
IT2a	f22v|f22v.6-f22v.16	f22v.7:1	f22v.6	fshor shy tchor otaiin	ychor chor qokchol chory	f22v.6	recorded
IT2a	f23r|f23r.4-f23r.5	f23r.5:1	f23r.4	qokoldy okaiir ykaiil g qokeey ofchol dain yfchor olfchor otchald	ychor qokchol ytom chol dair chol ar ol ol dol dain	f23r.4	recorded
IT2a	f24r|f24r.1-f24r.20	f24r.8:1	f24r.7	qekar chtar s cheor cthol qodol	ychor s om qoear daiin qokeol	f24r.1;f24r.2;f24r.3;f24r.4;f24r.5;f24r.6;f24r.7	recorded
IT2a	f45v|f45v.5-f45v.11	f45v.9:1	f45v.8	ykcheor odal sho dy pchom otor oaiir	ychor cthy chol qokom sy sa ykchom	f45v.5;f45v.6;f45v.7;f45v.8	recorded
IT2a	f86v5|f86v5.18-f86v5.25	f86v5.20:1	f86v5.19	ycheeytydaiin ykeeo chey shckhy shoky oty oty otain olkchdy	ychor ar aiin ytaly otaiin ykaiin otar ytar aiin ytaiim	f86v5.18;f86v5.19	recorded
IT2a	f93r|f93r.1-f93r.32	f93r.10:1	f93r.9	shodam okcheody ctho ckhol	ychor chey keol cheol ckhody	f93r.1;f93r.2;f93r.3;f93r.4;f93r.5;f93r.6;f93r.7;f93r.8;f93r.9	recorded
IT2a	f93r|f93r.1-f93r.32	f93r.28:1	f93r.27	qokor cheo los ckheody	ychor odol cho daiin s	f93r.1;f93r.2;f93r.3;f93r.4;f93r.5;f93r.6;f93r.7;f93r.8;f93r.9;f93r.10;f93r.11;f93r.12;f93r.13;f93r.14;f93r.15;f93r.16;f93r.17;f93r.18;f93r.19;f93r.20;f93r.21;f93r.22;f93r.23;f93r.24;f93r.25;f93r.26;f93r.27	recorded
IT2a	f99r|f99r.47-f99r.52	f99r.52:1	f99r.51	yshain ykhey octhey dy daiin okor okeey shcty sh	ychor ols or am air om	f99r.47;f99r.48;f99r.49;f99r.50;f99r.51	recorded
IT2a	f102v2|f102v2.30-f102v2.39	f102v2.35:1	f102v2.34	sor shey okeeor sheockhey qokeos okeeol ctheor okey sal	ychor sheol por sheeor shekeey qoky cheo keody qokeol dain	f102v2.30;f102v2.31;f102v2.32;f102v2.33;f102v2.34	recorded
IT2a	f106r|f106r.8-f106r.9	f106r.9:1	f106r.8	porarchy oror olkaiin shedy oteedy qotor qoteedo qoteedy dair okeedaim	ychor chol qokain chocphol lchedy qocheo qokar	f106r.8	recorded
RF1b	f6v|f6v.6-f6v.21	f6v.8:1	f6v.7	ychos ychol daiin cthol dol	ychor chor okchey qokom	f6v.6;f6v.7	recorded
RF1b	f9v|f9v.5-f9v.12	f9v.11:1	f9v.10	oty kchol chol chy kyty	ychor chshoty okykaiin	f9v.5;f9v.6;f9v.7;f9v.8;f9v.9;f9v.10	recorded
RF1b	f17v|f17v.1-f17v.23	f17v.15:1	f17v.14	olo r okeeol chodaiin okeol t chory	ychor cthy che'eky cheo otor oteol	f17v.1;f17v.2;f17v.3;f17v.4;f17v.5;f17v.6;f17v.7;f17v.8;f17v.9;f17v.10;f17v.11;f17v.12;f17v.13;f17v.14	recorded
RF1b	f19v|f19v.8-f19v.14	f19v.9:1	f19v.8	toy tchey qo @152;chol qokchs dom	ychor oky chor ytal chol okyddor	f19v.8	recorded
RF1b	f22v|f22v.6-f22v.16	f22v.7:1	f22v.6	fshor shytchor otaiin	ychor chor qokchol chory	f22v.6	recorded
RF1b	f23r|f23r.4-f23r.5	f23r.5:1	f23r.4	qokoldy okaiir ykaiilg qokeey ofchol dain yfchor olfchor otchald	ychor qokchol yt@221;m chol dair chol ar ol ol dol dain	f23r.4	recorded
RF1b	f24r|f24r.1-f24r.20	f24r.8:1	f24r.7	q@145;kar chtar s cheor cthol qodol	ychor s om qoear daiin qokeol	f24r.1;f24r.2;f24r.3;f24r.4;f24r.5;f24r.6;f24r.7	recorded
RF1b	f45v|f45v.5-f45v.11	f45v.9:1	f45v.8	yksheor odal sho dy pchom otor oaiir	ychor cthy chol qokom sy sa okchom	f45v.5;f45v.6;f45v.7;f45v.8	recorded
RF1b	f86v5|f86v5.18-f86v5.25	f86v5.20:1	f86v5.19	ycheeytydaiin ykeeo chey shckhy shoky oty oty otain olkeedy	ychor ar aiin ytaly otaiin ykaiin otal ytar aiin ytaiiim	f86v5.18;f86v5.19	recorded
RF1b	f93r|f93r.1-f93r.32	f93r.28:1	f93r.27	qokor cheo los ckheody	ychor odol chodaiin s	f93r.1;f93r.2;f93r.3;f93r.4;f93r.5;f93r.6;f93r.7;f93r.8;f93r.9;f93r.10;f93r.11;f93r.12;f93r.13;f93r.14;f93r.15;f93r.16;f93r.17;f93r.18;f93r.19;f93r.20;f93r.21;f93r.22;f93r.23;f93r.24;f93r.25;f93r.26;f93r.27	recorded
RF1b	f99r|f99r.47-f99r.52	f99r.52:1	f99r.51	yshaiin {ykh}ey @221;cthey dy @152;aiin okor okeey sh{cty}sh	ychor ols @221;r agair@221;m	f99r.47;f99r.48;f99r.49;f99r.50;f99r.51	recorded
RF1b	f102v2|f102v2.30-f102v2.39	f102v2.35:1	f102v2.34	sos shey okeeor sheockhey qokeos okeeol ctheos okey sal	ychor sheol por sheeor shekeey qoky che@221;teody qokeol daiin	f102v2.30;f102v2.31;f102v2.32;f102v2.33;f102v2.34	recorded
RF1b	f106r|f106r.8-f106r.9	f106r.9:1	f106r.8	porarchy @221;rar ol kaiin shedy oteedy qotor qoteedo qoteedy dair o@176;eedaim	ychor chol qokain chocphol lchedy qocheo qokar	f106r.8	recorded
