surface	entry	kind	working_meaning_de	composition	context_rule	status	source_locus	occurrences	acceptance_tier
cheoky	cheoky@GDT652_EXACT_WHOLE	EXACT_ZL3B_WHOLE_STRONG_COMPONENT_GRID	trocken angesetzte heiße Zubereitung am Gradanfang	ch+E_ATTR+O_PREP+K_HEISS+y	exact complete surface only; tier=STRONG_COMPONENT_GRID; 6 audited occurrences; 6 all-reader exact; learned components remain family-bound	NEW_V29_ACCEPTED_ROUND_22	NONE	6	STRONG_COMPONENT_GRID
cheokey	cheokey@GDT652_EXACT_WHOLE	EXACT_ZL3B_WHOLE_PROVISIONAL_LOW_N_COMPONENT_GRID	trocken angesetzte heiße Zubereitung in der Gradmitte	ch+E_ATTR+O_PREP+K_HEISS+e+y	exact complete surface only; tier=PROVISIONAL_LOW_N_COMPONENT_GRID; 2 audited occurrences; 2 all-reader exact; learned components remain family-bound	NEW_V29_ACCEPTED_ROUND_23	NONE	2	PROVISIONAL_LOW_N_COMPONENT_GRID
cheokeey	cheokeey@GDT652_EXACT_WHOLE	EXACT_ZL3B_WHOLE_STRONG_COMPONENT_GRID	trocken angesetzte heiße Zubereitung am Gradende	ch+E_ATTR+O_PREP+K_HEISS+ee+y	exact complete surface only; tier=STRONG_COMPONENT_GRID; 4 audited occurrences; 4 all-reader exact; learned components remain family-bound	NEW_V29_ACCEPTED_ROUND_24	f27r.12	4	STRONG_COMPONENT_GRID
cheokedy	cheokedy@GDT652_EXACT_WHOLE	EXACT_ZL3B_WHOLE_PROVISIONAL_LOW_N_COMPONENT_GRID	trocken angesetzte heiße Zubereitung in der Gradmitte, abgeschlossen	ch+E_ATTR+O_PREP+K_HEISS+e+d+y	exact complete surface only; tier=PROVISIONAL_LOW_N_COMPONENT_GRID; 2 audited occurrences; 1 all-reader exact; learned components remain family-bound	NEW_V29_ACCEPTED_ROUND_25	NONE	2	PROVISIONAL_LOW_N_COMPONENT_GRID
shoky	shoky@GDT652_EXACT_WHOLE	EXACT_ZL3B_WHOLE_STRONG_COMPONENT_GRID	heiß-feuchter Ansatz am Gradanfang	sh+O_PREP+K_HEISS+y	exact complete surface only; tier=STRONG_COMPONENT_GRID; 6 audited occurrences; 6 all-reader exact; learned components remain family-bound	NEW_V29_ACCEPTED_ROUND_26	NONE	6	STRONG_COMPONENT_GRID
shokey	shokey@GDT652_EXACT_WHOLE	EXACT_ZL3B_WHOLE_STRONG_COMPONENT_GRID	heiß-feuchter Ansatz in der Gradmitte	sh+O_PREP+K_HEISS+e+y	exact complete surface only; tier=STRONG_COMPONENT_GRID; 3 audited occurrences; 2 all-reader exact; learned components remain family-bound	NEW_V29_ACCEPTED_ROUND_27	NONE	3	STRONG_COMPONENT_GRID
shokeey	shokeey@GDT652_EXACT_WHOLE	EXACT_ZL3B_WHOLE_PROVISIONAL_LOW_N_COMPONENT_GRID	heiß-feuchter Ansatz am Gradende	sh+O_PREP+K_HEISS+ee+y	exact complete surface only; tier=PROVISIONAL_LOW_N_COMPONENT_GRID; 2 audited occurrences; 1 all-reader exact; learned components remain family-bound	NEW_V29_ACCEPTED_ROUND_28	NONE	2	PROVISIONAL_LOW_N_COMPONENT_GRID
sheoky	sheoky@GDT652_EXACT_WHOLE	EXACT_ZL3B_WHOLE_STRONG_COMPONENT_GRID	feucht angesetzte heiße Zubereitung am Gradanfang	sh+E_ATTR+O_PREP+K_HEISS+y	exact complete surface only; tier=STRONG_COMPONENT_GRID; 7 audited occurrences; 5 all-reader exact; learned components remain family-bound	NEW_V29_ACCEPTED_ROUND_29	NONE	7	STRONG_COMPONENT_GRID
sheokey	sheokey@GDT652_EXACT_WHOLE	EXACT_ZL3B_WHOLE_PROVISIONAL_LOW_N_COMPONENT_GRID	feucht angesetzte heiße Zubereitung in der Gradmitte	sh+E_ATTR+O_PREP+K_HEISS+e+y	exact complete surface only; tier=PROVISIONAL_LOW_N_COMPONENT_GRID; 2 audited occurrences; 2 all-reader exact; learned components remain family-bound	NEW_V29_ACCEPTED_ROUND_30	NONE	2	PROVISIONAL_LOW_N_COMPONENT_GRID
sheokeedy	sheokeedy@GDT652_EXACT_WHOLE	EXACT_ZL3B_WHOLE_PROVISIONAL_LOW_N_COMPONENT_GRID	feucht angesetzte heiße Zubereitung am Gradende, abgeschlossen	sh+E_ATTR+O_PREP+K_HEISS+ee+d+y	exact complete surface only; tier=PROVISIONAL_LOW_N_COMPONENT_GRID; 1 audited occurrences; 1 all-reader exact; learned components remain family-bound	NEW_V29_ACCEPTED_ROUND_31	NONE	1	PROVISIONAL_LOW_N_COMPONENT_GRID
opal	opal@GDT652_EXACT_WHOLE	EXACT_ZL3B_WHOLE_STRONG_MATERIA_COMPOUND	Ansatz aus Pulverrohstoff, Form I	O_PREP+[PAL_LEARNED]	exact complete surface only; tier=STRONG_MATERIA_COMPOUND; 6 audited occurrences; 6 all-reader exact; learned components remain family-bound	NEW_V29_ACCEPTED_ROUND_32	f75v.50	6	STRONG_MATERIA_COMPOUND
osal	osal@GDT652_EXACT_WHOLE	EXACT_ZL3B_WHOLE_STRONG_MATERIA_COMPOUND	Ansatz aus Saatrohstoff, Form I	O_PREP+[SAL_LEARNED]	exact complete surface only; tier=STRONG_MATERIA_COMPOUND; 3 audited occurrences; 2 all-reader exact; learned components remain family-bound	NEW_V29_ACCEPTED_ROUND_33	NONE	3	STRONG_MATERIA_COMPOUND
oral	oral@GDT652_EXACT_WHOLE	EXACT_ZL3B_WHOLE_EXPLORATORY_RIVAL_SEGMENTATION	Ansatz aus Wurzelrohstoff, Form I	O_PREP+[RAL_LEARNED]	exact complete surface only; tier=EXPLORATORY_RIVAL_SEGMENTATION; 10 audited occurrences; 6 all-reader exact; learned components remain family-bound	NEW_V29_ACCEPTED_ROUND_34	NONE	10	EXPLORATORY_RIVAL_SEGMENTATION
olal	olal@GDT652_EXACT_WHOLE	EXACT_ZL3B_WHOLE_EXPLORATORY_RIVAL_SEGMENTATION	Ansatz aus Holzrohstoff, Form I	O_PREP+[LAL_LEARNED]	exact complete surface only; tier=EXPLORATORY_RIVAL_SEGMENTATION; 5 audited occurrences; 5 all-reader exact; learned components remain family-bound	NEW_V29_ACCEPTED_ROUND_35	NONE	5	EXPLORATORY_RIVAL_SEGMENTATION
