surface	acceptance_tier	working_meaning_de	rival_de	strongest_support	strongest_counterargument	replacement_trigger
chockhedy	PROVISIONAL_LOW_N_COMPONENT_GRID	Arzneikompositum im Trockenansatz in der Gradmitte, abgeschlossen	trocken zubereitetes Arzneikompositum in der Gradmitte, abgeschlossen	observed exact-anchored cell in the populated CH/SH by E_ATTR by O_PREP plus CKH lattice, with three independent reader-split bridges	the outer quality and preparation shells are inherited from sister grids rather than decoded afresh in every CKH token	replace Arzneikompositum if one better learned object value explains the neutral and four qualified CKH shells; split a compound if direct reader boundaries demand it
cheockhy	STRONG_COMPONENT_GRID	trocken angesetztes Arzneikompositum am Gradanfang	trocken gebundene CKH-Zubereitung am Gradanfang	observed exact-anchored cell in the populated CH/SH by E_ATTR by O_PREP plus CKH lattice, with three independent reader-split bridges	the outer quality and preparation shells are inherited from sister grids rather than decoded afresh in every CKH token	replace Arzneikompositum if one better learned object value explains the neutral and four qualified CKH shells; split a compound if direct reader boundaries demand it
cheockhey	PROVISIONAL_LOW_N_COMPONENT_GRID	trocken angesetztes Arzneikompositum in der Gradmitte	trocken gebundene CKH-Zubereitung in der Gradmitte	observed exact-anchored cell in the populated CH/SH by E_ATTR by O_PREP plus CKH lattice, with three independent reader-split bridges	the outer quality and preparation shells are inherited from sister grids rather than decoded afresh in every CKH token	replace Arzneikompositum if one better learned object value explains the neutral and four qualified CKH shells; split a compound if direct reader boundaries demand it
shockhy	STRONG_COMPONENT_GRID	Arzneikompositum im Feuchtansatz am Gradanfang	feucht zubereitetes Arzneikompositum am Gradanfang	observed exact-anchored cell in the populated CH/SH by E_ATTR by O_PREP plus CKH lattice, with three independent reader-split bridges	the outer quality and preparation shells are inherited from sister grids rather than decoded afresh in every CKH token	replace Arzneikompositum if one better learned object value explains the neutral and four qualified CKH shells; split a compound if direct reader boundaries demand it
shockhey	STRONG_COMPONENT_GRID	Arzneikompositum im Feuchtansatz in der Gradmitte	feucht zubereitetes Arzneikompositum in der Gradmitte	observed exact-anchored cell in the populated CH/SH by E_ATTR by O_PREP plus CKH lattice, with three independent reader-split bridges	the outer quality and preparation shells are inherited from sister grids rather than decoded afresh in every CKH token	replace Arzneikompositum if one better learned object value explains the neutral and four qualified CKH shells; split a compound if direct reader boundaries demand it
sheockhy	PROVISIONAL_LOW_N_COMPONENT_GRID	feucht angesetztes Arzneikompositum am Gradanfang	feucht gebundene CKH-Zubereitung am Gradanfang	observed exact-anchored cell in the populated CH/SH by E_ATTR by O_PREP plus CKH lattice, with three independent reader-split bridges	the outer quality and preparation shells are inherited from sister grids rather than decoded afresh in every CKH token	replace Arzneikompositum if one better learned object value explains the neutral and four qualified CKH shells; split a compound if direct reader boundaries demand it
sheockhey	PROVISIONAL_LOW_N_COMPONENT_GRID	feucht angesetztes Arzneikompositum in der Gradmitte	feucht gebundene CKH-Zubereitung in der Gradmitte	observed exact-anchored cell in the populated CH/SH by E_ATTR by O_PREP plus CKH lattice, with three independent reader-split bridges	the outer quality and preparation shells are inherited from sister grids rather than decoded afresh in every CKH token	replace Arzneikompositum if one better learned object value explains the neutral and four qualified CKH shells; split a compound if direct reader boundaries demand it
chokey	STRONG_COMPONENT_GRID	heiß-trockener Ansatz in der Gradmitte	Trockenansatz mit heißer Mittelqualität	observed exact-anchored cell in the eighty-eight-token qualified O_PREP plus K_HEISS grid, anchored by the complete six-cell OK ladder	the whole is not directly split at every surface and the outer quality shell remains a learned compositional value	replace Arzneikompositum if one better learned object value explains the neutral and four qualified CKH shells; split a compound if direct reader boundaries demand it
chokeey	STRONG_COMPONENT_GRID	heiß-trockener Ansatz am Gradende	Trockenansatz mit heißer Endqualität	observed exact-anchored cell in the eighty-eight-token qualified O_PREP plus K_HEISS grid, anchored by the complete six-cell OK ladder	the whole is not directly split at every surface and the outer quality shell remains a learned compositional value	replace Arzneikompositum if one better learned object value explains the neutral and four qualified CKH shells; split a compound if direct reader boundaries demand it
chokedy	STRONG_COMPONENT_GRID	heiß-trockener Ansatz in der Gradmitte, abgeschlossen	Trockenansatz mit heißer Mittelqualität, abgeschlossen	observed exact-anchored cell in the eighty-eight-token qualified O_PREP plus K_HEISS grid, anchored by the complete six-cell OK ladder	the whole is not directly split at every surface and the outer quality shell remains a learned compositional value	replace Arzneikompositum if one better learned object value explains the neutral and four qualified CKH shells; split a compound if direct reader boundaries demand it
chokeedy	PROVISIONAL_LOW_N_COMPONENT_GRID	heiß-trockener Ansatz am Gradende, abgeschlossen	Trockenansatz mit heißer Endqualität, abgeschlossen	observed exact-anchored cell in the eighty-eight-token qualified O_PREP plus K_HEISS grid, anchored by the complete six-cell OK ladder	the whole is not directly split at every surface and the outer quality shell remains a learned compositional value	replace Arzneikompositum if one better learned object value explains the neutral and four qualified CKH shells; split a compound if direct reader boundaries demand it
cheoky	STRONG_COMPONENT_GRID	trocken angesetzte heiße Zubereitung am Gradanfang	trocken gebundener heißer Ansatz am Gradanfang	observed exact-anchored cell in the eighty-eight-token qualified O_PREP plus K_HEISS grid, anchored by the complete six-cell OK ladder	the whole is not directly split at every surface and the outer quality shell remains a learned compositional value	replace Arzneikompositum if one better learned object value explains the neutral and four qualified CKH shells; split a compound if direct reader boundaries demand it
cheokey	PROVISIONAL_LOW_N_COMPONENT_GRID	trocken angesetzte heiße Zubereitung in der Gradmitte	trocken gebundener heißer Ansatz in der Gradmitte	observed exact-anchored cell in the eighty-eight-token qualified O_PREP plus K_HEISS grid, anchored by the complete six-cell OK ladder	the whole is not directly split at every surface and the outer quality shell remains a learned compositional value	replace Arzneikompositum if one better learned object value explains the neutral and four qualified CKH shells; split a compound if direct reader boundaries demand it
cheokeey	STRONG_COMPONENT_GRID	trocken angesetzte heiße Zubereitung am Gradende	trocken gebundener heißer Ansatz am Gradende	observed exact-anchored cell in the eighty-eight-token qualified O_PREP plus K_HEISS grid, anchored by the complete six-cell OK ladder	the whole is not directly split at every surface and the outer quality shell remains a learned compositional value	replace Arzneikompositum if one better learned object value explains the neutral and four qualified CKH shells; split a compound if direct reader boundaries demand it
cheokedy	PROVISIONAL_LOW_N_COMPONENT_GRID	trocken angesetzte heiße Zubereitung in der Gradmitte, abgeschlossen	trocken gebundener heißer Ansatz in der Gradmitte, abgeschlossen	observed exact-anchored cell in the eighty-eight-token qualified O_PREP plus K_HEISS grid, anchored by the complete six-cell OK ladder	the whole is not directly split at every surface and the outer quality shell remains a learned compositional value	replace Arzneikompositum if one better learned object value explains the neutral and four qualified CKH shells; split a compound if direct reader boundaries demand it
shoky	STRONG_COMPONENT_GRID	heiß-feuchter Ansatz am Gradanfang	Feuchtansatz mit heißer Anfangsqualität	observed exact-anchored cell in the eighty-eight-token qualified O_PREP plus K_HEISS grid, anchored by the complete six-cell OK ladder	the whole is not directly split at every surface and the outer quality shell remains a learned compositional value	replace Arzneikompositum if one better learned object value explains the neutral and four qualified CKH shells; split a compound if direct reader boundaries demand it
shokey	STRONG_COMPONENT_GRID	heiß-feuchter Ansatz in der Gradmitte	Feuchtansatz mit heißer Mittelqualität	observed exact-anchored cell in the eighty-eight-token qualified O_PREP plus K_HEISS grid, anchored by the complete six-cell OK ladder	the whole is not directly split at every surface and the outer quality shell remains a learned compositional value	replace Arzneikompositum if one better learned object value explains the neutral and four qualified CKH shells; split a compound if direct reader boundaries demand it
shokeey	PROVISIONAL_LOW_N_COMPONENT_GRID	heiß-feuchter Ansatz am Gradende	Feuchtansatz mit heißer Endqualität	observed exact-anchored cell in the eighty-eight-token qualified O_PREP plus K_HEISS grid, anchored by the complete six-cell OK ladder	the whole is not directly split at every surface and the outer quality shell remains a learned compositional value	replace Arzneikompositum if one better learned object value explains the neutral and four qualified CKH shells; split a compound if direct reader boundaries demand it
sheoky	STRONG_COMPONENT_GRID	feucht angesetzte heiße Zubereitung am Gradanfang	feucht gebundener heißer Ansatz am Gradanfang	observed exact-anchored cell in the eighty-eight-token qualified O_PREP plus K_HEISS grid, anchored by the complete six-cell OK ladder	the whole is not directly split at every surface and the outer quality shell remains a learned compositional value	replace Arzneikompositum if one better learned object value explains the neutral and four qualified CKH shells; split a compound if direct reader boundaries demand it
sheokey	PROVISIONAL_LOW_N_COMPONENT_GRID	feucht angesetzte heiße Zubereitung in der Gradmitte	feucht gebundener heißer Ansatz in der Gradmitte	observed exact-anchored cell in the eighty-eight-token qualified O_PREP plus K_HEISS grid, anchored by the complete six-cell OK ladder	the whole is not directly split at every surface and the outer quality shell remains a learned compositional value	replace Arzneikompositum if one better learned object value explains the neutral and four qualified CKH shells; split a compound if direct reader boundaries demand it
sheokeedy	PROVISIONAL_LOW_N_COMPONENT_GRID	feucht angesetzte heiße Zubereitung am Gradende, abgeschlossen	feucht gebundener heißer Ansatz am Gradende, abgeschlossen	observed exact-anchored cell in the eighty-eight-token qualified O_PREP plus K_HEISS grid, anchored by the complete six-cell OK ladder	the whole is not directly split at every surface and the outer quality shell remains a learned compositional value	replace Arzneikompositum if one better learned object value explains the neutral and four qualified CKH shells; split a compound if direct reader boundaries demand it
opal	STRONG_MATERIA_COMPOUND	Ansatz aus Pulverrohstoff, Form I	Pulverzubereitung in der AL-Form	observed exact-anchored member of the complete O plus P/S/R/L plus AL set beside already concrete PAL/SAL/RAL/LAL materia heads	AL may encode an item or measure form rather than raw state, and ORAL/OLAL admit rival internal segmentations	replace Arzneikompositum if one better learned object value explains the neutral and four qualified CKH shells; split a compound if direct reader boundaries demand it
osal	STRONG_MATERIA_COMPOUND	Ansatz aus Saatrohstoff, Form I	Saatzubereitung in der AL-Form	observed exact-anchored member of the complete O plus P/S/R/L plus AL set beside already concrete PAL/SAL/RAL/LAL materia heads	AL may encode an item or measure form rather than raw state, and ORAL/OLAL admit rival internal segmentations	replace Arzneikompositum if one better learned object value explains the neutral and four qualified CKH shells; split a compound if direct reader boundaries demand it
oral	EXPLORATORY_RIVAL_SEGMENTATION	Ansatz aus Wurzelrohstoff, Form I	OR-Anteil in der AL-Form	observed exact-anchored member of the complete O plus P/S/R/L plus AL set beside already concrete PAL/SAL/RAL/LAL materia heads	AL may encode an item or measure form rather than raw state, and ORAL/OLAL admit rival internal segmentations	replace Arzneikompositum if one better learned object value explains the neutral and four qualified CKH shells; split a compound if direct reader boundaries demand it
olal	EXPLORATORY_RIVAL_SEGMENTATION	Ansatz aus Holzrohstoff, Form I	OL-Anteil in der AL-Form	observed exact-anchored member of the complete O plus P/S/R/L plus AL set beside already concrete PAL/SAL/RAL/LAL materia heads	AL may encode an item or measure form rather than raw state, and ORAL/OLAL admit rival internal segmentations	replace Arzneikompositum if one better learned object value explains the neutral and four qualified CKH shells; split a compound if direct reader boundaries demand it
