round	surface	tier	decision	decision_reason	pre_dictionary_entries	post_dictionary_entries	occurrences	all_reader_exact	split_normalized	reader_variant	hard_collisions	complete_before	complete_after	strict_complete_after	one_unknown_before	one_unknown_after	new_complete_loci
14	shockhy	STRONG_COMPONENT_GRID	ACCEPT_V29_EXACT_WHOLE	observed exact-anchored cell in the populated CH/SH by E_ATTR by O_PREP plus CKH lattice, with three independent reader-split bridges	463	464	4	4	4	0	0	109	109	64	166	166	NONE
15	shockhey	STRONG_COMPONENT_GRID	ACCEPT_V29_EXACT_WHOLE	observed exact-anchored cell in the populated CH/SH by E_ATTR by O_PREP plus CKH lattice, with three independent reader-split bridges	464	465	3	3	3	0	0	109	109	64	166	166	NONE
16	sheockhy	PROVISIONAL_LOW_N_COMPONENT_GRID	ACCEPT_V29_EXACT_WHOLE	observed exact-anchored cell in the populated CH/SH by E_ATTR by O_PREP plus CKH lattice, with three independent reader-split bridges	465	466	2	2	2	0	0	109	109	64	166	166	NONE
17	sheockhey	PROVISIONAL_LOW_N_COMPONENT_GRID	ACCEPT_V29_EXACT_WHOLE	observed exact-anchored cell in the populated CH/SH by E_ATTR by O_PREP plus CKH lattice, with three independent reader-split bridges	466	467	2	1	2	0	0	109	109	64	166	166	NONE
18	chokey	STRONG_COMPONENT_GRID	ACCEPT_V29_EXACT_WHOLE	observed exact-anchored cell in the eighty-eight-token qualified O_PREP plus K_HEISS grid, anchored by the complete six-cell OK ladder	467	468	4	4	4	0	0	109	110	65	166	165	f42v.15
19	chokeey	STRONG_COMPONENT_GRID	ACCEPT_V29_EXACT_WHOLE	observed exact-anchored cell in the eighty-eight-token qualified O_PREP plus K_HEISS grid, anchored by the complete six-cell OK ladder	468	469	10	9	9	1	0	110	110	65	165	166	NONE
20	chokedy	STRONG_COMPONENT_GRID	ACCEPT_V29_EXACT_WHOLE	observed exact-anchored cell in the eighty-eight-token qualified O_PREP plus K_HEISS grid, anchored by the complete six-cell OK ladder	469	470	4	2	2	2	0	110	110	65	166	166	NONE
21	chokeedy	PROVISIONAL_LOW_N_COMPONENT_GRID	ACCEPT_V29_EXACT_WHOLE	observed exact-anchored cell in the eighty-eight-token qualified O_PREP plus K_HEISS grid, anchored by the complete six-cell OK ladder	470	471	2	2	2	0	0	110	110	65	166	166	NONE
22	cheoky	STRONG_COMPONENT_GRID	ACCEPT_V29_EXACT_WHOLE	observed exact-anchored cell in the eighty-eight-token qualified O_PREP plus K_HEISS grid, anchored by the complete six-cell OK ladder	471	472	6	6	6	0	0	110	111	65	166	165	f37v.15
23	cheokey	PROVISIONAL_LOW_N_COMPONENT_GRID	ACCEPT_V29_EXACT_WHOLE	observed exact-anchored cell in the eighty-eight-token qualified O_PREP plus K_HEISS grid, anchored by the complete six-cell OK ladder	472	473	2	2	2	0	0	111	111	65	165	165	NONE
24	cheokeey	STRONG_COMPONENT_GRID	ACCEPT_V29_EXACT_WHOLE	observed exact-anchored cell in the eighty-eight-token qualified O_PREP plus K_HEISS grid, anchored by the complete six-cell OK ladder	473	474	4	4	4	0	0	111	112	66	165	164	f27r.12
25	cheokedy	PROVISIONAL_LOW_N_COMPONENT_GRID	ACCEPT_V29_EXACT_WHOLE	observed exact-anchored cell in the eighty-eight-token qualified O_PREP plus K_HEISS grid, anchored by the complete six-cell OK ladder	474	475	2	1	1	1	0	112	112	66	164	164	NONE
26	shoky	STRONG_COMPONENT_GRID	ACCEPT_V29_EXACT_WHOLE	observed exact-anchored cell in the eighty-eight-token qualified O_PREP plus K_HEISS grid, anchored by the complete six-cell OK ladder	475	476	6	6	6	0	0	112	112	66	164	165	NONE
27	shokey	STRONG_COMPONENT_GRID	ACCEPT_V29_EXACT_WHOLE	observed exact-anchored cell in the eighty-eight-token qualified O_PREP plus K_HEISS grid, anchored by the complete six-cell OK ladder	476	477	3	2	2	1	0	112	112	66	165	165	NONE
28	shokeey	PROVISIONAL_LOW_N_COMPONENT_GRID	ACCEPT_V29_EXACT_WHOLE	observed exact-anchored cell in the eighty-eight-token qualified O_PREP plus K_HEISS grid, anchored by the complete six-cell OK ladder	477	478	2	1	2	0	0	112	112	66	165	165	NONE
29	sheoky	STRONG_COMPONENT_GRID	ACCEPT_V29_EXACT_WHOLE	observed exact-anchored cell in the eighty-eight-token qualified O_PREP plus K_HEISS grid, anchored by the complete six-cell OK ladder	478	479	7	5	5	2	0	112	112	66	165	166	NONE
30	sheokey	PROVISIONAL_LOW_N_COMPONENT_GRID	ACCEPT_V29_EXACT_WHOLE	observed exact-anchored cell in the eighty-eight-token qualified O_PREP plus K_HEISS grid, anchored by the complete six-cell OK ladder	479	480	2	2	2	0	0	112	112	66	166	166	NONE
31	sheokeedy	PROVISIONAL_LOW_N_COMPONENT_GRID	ACCEPT_V29_EXACT_WHOLE	observed exact-anchored cell in the eighty-eight-token qualified O_PREP plus K_HEISS grid, anchored by the complete six-cell OK ladder	480	481	1	1	1	0	0	112	112	66	166	166	NONE
32	opal	STRONG_MATERIA_COMPOUND	ACCEPT_V29_EXACT_WHOLE	observed exact-anchored member of the complete O plus P/S/R/L plus AL set beside already concrete PAL/SAL/RAL/LAL materia heads	481	482	6	6	6	0	0	112	113	67	166	165	f75v.50
33	osal	STRONG_MATERIA_COMPOUND	ACCEPT_V29_EXACT_WHOLE	observed exact-anchored member of the complete O plus P/S/R/L plus AL set beside already concrete PAL/SAL/RAL/LAL materia heads	482	483	3	2	2	1	0	113	113	67	165	165	NONE
34	oral	EXPLORATORY_RIVAL_SEGMENTATION	ACCEPT_V29_EXACT_WHOLE	observed exact-anchored member of the complete O plus P/S/R/L plus AL set beside already concrete PAL/SAL/RAL/LAL materia heads	483	484	10	6	7	3	0	113	113	67	165	165	NONE
35	olal	EXPLORATORY_RIVAL_SEGMENTATION	ACCEPT_V29_EXACT_WHOLE	observed exact-anchored member of the complete O plus P/S/R/L plus AL set beside already concrete PAL/SAL/RAL/LAL materia heads	484	485	5	5	5	0	0	113	113	67	165	165	NONE
