card_no	surfaces	semantic_component_parse	command_id	standard_command_de	command_class	occurrences	records	duplicate_semantic_command	old_command_id	old_standard_command_de	resolution	old_standard_command_de	revised_components	backread_revision
PROC012	qotchol	OT+CH+OL	CMD112	DANACH · ABNEHMEN · FORTSETZEN	ACTION_COMMAND	1	H1	NO	CMD112	DANACH · ABZIEHEN · FORTSETZEN	UNCHANGED_UNIQUE_COMMAND	DANACH · ABZIEHEN · FORTSETZEN	CH	YES
PROC013	cheol|chol|ol|qol|sol|tol	OL	CMD097	FORTSETZEN	SEQUENCE_FORMULA	19	H1|H2|B1|B3|B4|B5|B6	YES	CMD097	FORTSETZEN	KEEP_SAME_COMMAND_AS_ALLOGRAPH_OR_REGISTER_VARIANT	FORTSETZEN	NONE	NO
PROC014	checthy|cthy|shcthy	CTH+Y	CMD030	BEREIT · DIES	STATE_OR_GRADE_FORMULA	7	H1|H2|H3|B3	NO	CMD030	BEREIT · DIES	UNCHANGED_UNIQUE_COMMAND	BEREIT · DIES	NONE	NO
PROC015	ycheor	Y+CH+E+OR	CMD159	DIES · ABNEHMEN · KURZ · ANSATZ	ACTION_COMMAND	1	H2	NO	CMD159	DIES · ABZIEHEN · KURZ · ANSATZ	UNCHANGED_UNIQUE_COMMAND	DIES · ABZIEHEN · KURZ · ANSATZ	CH	YES
PROC016	chor|or|shor|sor	OR	CMD106	ANSATZ	ARGUMENT_OR_OBJECT_FORMULA	7	H2|H4|B3|B4	NO	CMD106	ANSATZ	UNCHANGED_UNIQUE_COMMAND	ANSATZ	NONE	NO
PROC017	cthaiin	CTH+AIIN	CMD027	BEREIT · MASS	STATE_OR_GRADE_FORMULA	1	H2	NO	CMD027	BEREIT · MASS	UNCHANGED_UNIQUE_COMMAND	BEREIT · MASS	NONE	NO
PROC018	qoctholy	O+CTH+OL+Y	CMD073	ARBEITSGANG · BEREIT · FORTSETZEN · DIES	STATE_OR_GRADE_FORMULA	1	H2	NO	CMD073	GANG · BEREIT · FORTSETZEN · DIES	UNCHANGED_UNIQUE_COMMAND	GANG · BEREIT · FORTSETZEN · DIES	O	YES
PROC019	chey|chy|dy|shy|sy|y	Y	CMD158	DIES	ARGUMENT_OR_OBJECT_FORMULA	18	H2|H3|H4|B1|B2|B3|B4|B6	NO	CMD158	DIES	UNCHANGED_UNIQUE_COMMAND	DIES	NONE	NO
PROC020	otchor|qotchor	OT+CH+OR	CMD113	DANACH · ABNEHMEN · ANSATZ	ACTION_COMMAND	2	H2|H5	NO	CMD113	DANACH · ABZIEHEN · ANSATZ	UNCHANGED_UNIQUE_COMMAND	DANACH · ABZIEHEN · ANSATZ	CH	YES
PROC021	otol	OT+OL	CMD120	DANACH · FORTSETZEN	SEQUENCE_FORMULA	1	H2	NO	CMD120	DANACH · FORTSETZEN	UNCHANGED_UNIQUE_COMMAND	DANACH · FORTSETZEN	NONE	NO
PROC022	cholor|olor	OL+OR	CMD102	FORTSETZEN · ANSATZ	SEQUENCE_FORMULA	2	H2|B1	NO	CMD102	FORTSETZEN · ANSATZ	UNCHANGED_UNIQUE_COMMAND	FORTSETZEN · ANSATZ	NONE	NO
PROC023	oykchor	O+Y+K+OR	CMD076	ARBEITSGANG · DIES · ZUDOSIEREN · ANSATZ	ACTION_COMMAND	1	H2	NO	CMD076	GANG · DIES · ZUFUEHREN · ANSATZ	UNCHANGED_UNIQUE_COMMAND	GANG · DIES · ZUFUEHREN · ANSATZ	K|O	YES
PROC024	kaiiin	K+IIN	CMD048	ZUDOSIEREN · STUFE	ACTION_COMMAND	1	H2	NO	CMD048	ZUFUEHREN · STUFE	UNCHANGED_UNIQUE_COMMAND	ZUFUEHREN · STUFE	K	YES
PROC025	chodaiin	CH+O+AIIN	CMD017	ABNEHMEN · ARBEITSGANG · MASS	ACTION_COMMAND	1	H2	NO	CMD017	ABZIEHEN · GANG · MASS	UNCHANGED_UNIQUE_COMMAND	ABZIEHEN · GANG · MASS	CH|O	YES
PROC026	tshol	T+SH+OL	CMD155	EINTRAGEN · HALTEN · FORTSETZEN	ACTION_COMMAND	1	H3	NO	CMD155	EINTRAGEN · HALTEN · FORTSETZEN	UNCHANGED_UNIQUE_COMMAND	EINTRAGEN · HALTEN · FORTSETZEN	NONE	NO
PROC027	schoal	SH+O+AL	CMD143	HALTEN · ARBEITSGANG · ZIEL	ACTION_COMMAND	1	H3	NO	CMD143	HALTEN · GANG · ZIEL	UNCHANGED_UNIQUE_COMMAND	HALTEN · GANG · ZIEL	O	YES
PROC028	cfhy	CFH+Y	CMD010	AUSWRINGEN · DIES	ACTION_COMMAND	1	H3	NO	CMD010	AUSWRINGEN · DIES	UNCHANGED_UNIQUE_COMMAND	AUSWRINGEN · DIES	NONE	NO
PROC029	shfydaiin	SH+Y+AIIN	CMD145	HALTEN · DIES · MASS	ACTION_COMMAND	1	H3	NO	CMD145	HALTEN · DIES · MASS	UNCHANGED_UNIQUE_COMMAND	HALTEN · DIES · MASS	NONE	NO
PROC030	cphy	P+Y	CMD125	EINFUELLEN · DIES	ACTION_COMMAND	1	H3	NO	CMD125	HINEIN · DIES	UNCHANGED_UNIQUE_COMMAND	HINEIN · DIES	P	YES
PROC031	cheey|shey	SH+EE+Y	CMD141	HALTEN · LANG · DIES	ACTION_COMMAND	4	H3|B2|B4	YES	CMD141	HALTEN · LANG · DIES	KEEP_SAME_COMMAND_AS_ALLOGRAPH_OR_REGISTER_VARIANT	HALTEN · LANG · DIES	NONE	NO
PROC032	tchody	T+CH+O+DY	CMD153	EINTRAGEN · ABNEHMEN · ARBEITSGANG; SCHLUSS	ACTION_COMMAND	1	H3	NO	CMD153	EINTRAGEN · ABZIEHEN · GANG; SCHLUSS	UNCHANGED_UNIQUE_COMMAND	EINTRAGEN · ABZIEHEN · GANG; SCHLUSS	CH|O	YES
PROC033	shoyty	SH+O+Y+T+Y	CMD144	DIES HALTEN · IM ARBEITSGANG EINTRAGEN · DIES	ACTION_COMMAND	1	H3	NO	CMD144	DIES HALTEN · IM GANG EINTRAGEN · DIES	UNCHANGED_UNIQUE_COMMAND	DIES HALTEN · IM GANG EINTRAGEN · DIES	O	YES
PROC034	dchol|schol	RESUME_CARD	CMD162	WIEDERAUFNEHMEN	SEQUENCE_FORMULA	2	H3|H5	NO	CMD097	WIEDERAUFNEHMEN	SEMANTIC_SPLIT_STATEMENT_ENTRY	WIEDERAUFNEHMEN	NONE	NO
PROC035	kchy	K+Y	CMD050	ZUDOSIEREN · DIES	ACTION_COMMAND	1	H3	NO	CMD050	ZUFUEHREN · DIES	UNCHANGED_UNIQUE_COMMAND	ZUFUEHREN · DIES	K	YES
PROC036	qotchy	OT+Y	CMD121	DANACH · DIES	SEQUENCE_FORMULA	1	H3	YES	CMD121	DANACH · DIES	KEEP_SAME_COMMAND_AS_ALLOGRAPH_OR_REGISTER_VARIANT	DANACH · DIES	NONE	NO
PROC037	okchol	OK+OL	CMD093	ANSETZEN · FORTSETZEN	ACTION_COMMAND	1	H3	YES	CMD093	ANSETZEN · FORTSETZEN	KEEP_SAME_COMMAND_AS_ALLOGRAPH_OR_REGISTER_VARIANT	ANSETZEN · FORTSETZEN	NONE	NO
PROC038	okaiin|qokaiin	OK+AIIN	CMD077	ANSETZEN · MASS	ACTION_COMMAND	9	H4|B1|B2|B3	NO	CMD077	ANSETZEN · MASS	UNCHANGED_UNIQUE_COMMAND	ANSETZEN · MASS	NONE	NO
PROC039	ykain	Y+K+AIN	CMD161	DIES · ZUDOSIEREN · PORTION	ACTION_COMMAND	1	H4	NO	CMD161	DIES · ZUFUEHREN · PORTION	KEEP_SAME_COMMAND_AS_ALLOGRAPH_OR_REGISTER_VARIANT	DIES · ZUFUEHREN · PORTION	K	YES
PROC040	ykan	Y+K+AN	CMD163	DIES · ZUDOSIEREN · NACHPORTION	ACTION_COMMAND	1	H4	NO	CMD161	DIES · ZUFUEHREN · NACHPORTION	SEMANTIC_SPLIT_ADJACENT_SECOND_PORTION	DIES · ZUFUEHREN · NACHPORTION	K	YES
PROC041	ody	O+DY	CMD074	ARBEITSGANG; SCHLUSS	CLOSE_FORMULA	1	H4	NO	CMD074	GANG; SCHLUSS	UNCHANGED_UNIQUE_COMMAND	GANG; SCHLUSS	O	YES
PROC042	chdy|chedy	CHD+Y	CMD022	UMSETZEN · DIES	ACTION_COMMAND	11	H4|B1|B3|B4|B5	YES	CMD022	UMSETZEN · DIES	KEEP_SAME_COMMAND_AS_ALLOGRAPH_OR_REGISTER_VARIANT	UMSETZEN · DIES	NONE	NO
PROC043	talam	TALAM	CMD157	VERWAHREN	ACTION_COMMAND	1	H4	NO	CMD157	VERWAHREN	UNCHANGED_UNIQUE_COMMAND	VERWAHREN	NONE	NO
PROC044	ykaiin	Y+K+AIIN	CMD160	DIES · ZUDOSIEREN · MASS	ACTION_COMMAND	1	H4	NO	CMD160	DIES · ZUFUEHREN · MASS	UNCHANGED_UNIQUE_COMMAND	DIES · ZUFUEHREN · MASS	K	YES
PROC045	cheoar	CH+E+O+AR	CMD013	ABNEHMEN · KURZ · ARBEITSGANG · QUELLE	ACTION_COMMAND	1	H4	NO	CMD013	ABZIEHEN · KURZ · GANG · QUELLE	UNCHANGED_UNIQUE_COMMAND	ABZIEHEN · KURZ · GANG · QUELLE	CH|O	YES
PROC046	cheeky	CHK+EE+Y	CMD025	WAERMEN · LANG · DIES	ACTION_COMMAND	2	H4|B4	YES	CMD025	WAERMEN · LANG · DIES	KEEP_SAME_COMMAND_AS_ALLOGRAPH_OR_REGISTER_VARIANT	WAERMEN · LANG · DIES	NONE	NO
PROC047	oldy	OL+DY	CMD100	FORTSETZEN; SCHLUSS	CLOSE_FORMULA	2	H4|B4	NO	CMD100	FORTSETZEN; SCHLUSS	UNCHANGED_UNIQUE_COMMAND	FORTSETZEN; SCHLUSS	NONE	NO
PROC048	okal|qokal	OK+AL	CMD080	ANSETZEN · ZIEL	ACTION_COMMAND	6	H4|B1|B2|B3	NO	CMD080	ANSETZEN · ZIEL	UNCHANGED_UNIQUE_COMMAND	ANSETZEN · ZIEL	NONE	NO
PROC049	oltchy	OL+T+Y	CMD104	FORTSETZEN · EINTRAGEN · DIES	ACTION_COMMAND	1	H4	NO	CMD104	FORTSETZEN · EINTRAGEN · DIES	UNCHANGED_UNIQUE_COMMAND	FORTSETZEN · EINTRAGEN · DIES	NONE	NO
PROC050	orain	OR+AIN	CMD107	ANSATZ · PORTION	ARGUMENT_OR_OBJECT_FORMULA	1	H4	NO	CMD107	ANSATZ · PORTION	UNCHANGED_UNIQUE_COMMAND	ANSATZ · PORTION	NONE	NO
PROC051	chochor	HO+CH+OR	CMD039	GABE · ABNEHMEN · ANSATZ	ACTION_COMMAND	1	H5	NO	CMD039	GABE · ABZIEHEN · ANSATZ	UNCHANGED_UNIQUE_COMMAND	GABE · ABZIEHEN · ANSATZ	CH	YES
PROC052	cho|sho	HO	CMD037	GABE	ARGUMENT_OR_OBJECT_FORMULA	4	H5	NO	CMD037	GABE	UNCHANGED_UNIQUE_COMMAND	GABE	NONE	NO
PROC053	chodaly	HO+AL+Y	CMD038	GABE · ZIEL · DIES	ARGUMENT_OR_OBJECT_FORMULA	1	H5	NO	CMD038	GABE · ZIEL · DIES	UNCHANGED_UNIQUE_COMMAND	GABE · ZIEL · DIES	NONE	NO
PROC054	kchol	K+OL	CMD049	ZUDOSIEREN · FORTSETZEN	ACTION_COMMAND	1	H5	NO	CMD049	ZUFUEHREN · FORTSETZEN	UNCHANGED_UNIQUE_COMMAND	ZUFUEHREN · FORTSETZEN	K	YES
PROC055	al|chal|cheal|dal|sal|tal	AL	CMD004	ZIEL	ARGUMENT_OR_OBJECT_FORMULA	10	H5|B1|B2|B3|B4|B5	NO	CMD004	ZIEL	UNCHANGED_UNIQUE_COMMAND	ZIEL	NONE	NO
PROC056	choy	HO+Y	CMD040	GABE · DIES	ARGUMENT_OR_OBJECT_FORMULA	1	H5	NO	CMD040	GABE · DIES	UNCHANGED_UNIQUE_COMMAND	GABE · DIES	NONE	NO
PROC057	cheeckhody	CH+EE+CKH+O+DY	CMD016	ABNEHMEN · LANG · DURCHLASS · ARBEITSGANG; SCHLUSS	ACTION_COMMAND	1	H5	NO	CMD016	ABZIEHEN · LANG · DURCHLASS · GANG; SCHLUSS	UNCHANGED_UNIQUE_COMMAND	ABZIEHEN · LANG · DURCHLASS · GANG; SCHLUSS	CH|O	YES
PROC058	sh	SH	CMD131	HALTEN	ACTION_COMMAND	1	H5	NO	CMD131	HALTEN	UNCHANGED_UNIQUE_COMMAND	HALTEN	NONE	NO
PROC059	kchey	K+E+Y	CMD046	ZUDOSIEREN · KURZ · DIES	ACTION_COMMAND	1	H5	NO	CMD046	ZUFUEHREN · KURZ · DIES	UNCHANGED_UNIQUE_COMMAND	ZUFUEHREN · KURZ · DIES	K	YES
PROC060	qokokchy	OK+OK+Y	CMD092	ANSETZEN · ANSETZEN · DIES	ACTION_COMMAND	1	H5	NO	CMD092	ANSETZEN · ANSETZEN · DIES	UNCHANGED_UNIQUE_COMMAND	ANSETZEN · ANSETZEN · DIES	NONE	NO
PROC061	chokcheo	OK+CH+E+O	CMD083	ANSETZEN · ABNEHMEN · KURZ · ARBEITSGANG	ACTION_COMMAND	1	H5	NO	CMD083	ANSETZEN · ABZIEHEN · KURZ · GANG	UNCHANGED_UNIQUE_COMMAND	ANSETZEN · ABZIEHEN · KURZ · GANG	CH|O	YES
PROC062	kchal	K+AL	CMD043	ZUDOSIEREN · ZIEL	ACTION_COMMAND	1	H5	NO	CMD043	ZUFUEHREN · ZIEL	UNCHANGED_UNIQUE_COMMAND	ZUFUEHREN · ZIEL	K	YES
PROC063	kchoar	K+HO+AR	CMD047	ZUDOSIEREN · GABE · QUELLE	ACTION_COMMAND	1	H5	NO	CMD047	ZUFUEHREN · GABE · QUELLE	UNCHANGED_UNIQUE_COMMAND	ZUFUEHREN · GABE · QUELLE	K	YES
PROC064	sotodan	OT+O+AIN	CMD119	DANACH · ARBEITSGANG · PORTION	SEQUENCE_FORMULA	1	H5	NO	CMD119	DANACH · GANG · PORTION	UNCHANGED_UNIQUE_COMMAND	DANACH · GANG · PORTION	O	YES
PROC065	otchey	OT+Y	CMD121	DANACH · DIES	SEQUENCE_FORMULA	2	H5|B4	YES	CMD121	DANACH · DIES	KEEP_SAME_COMMAND_AS_ALLOGRAPH_OR_REGISTER_VARIANT	DANACH · DIES	NONE	NO
PROC066	keol	K+E+OL	CMD045	ZUDOSIEREN · KURZ · FORTSETZEN	ACTION_COMMAND	1	H5	NO	CMD045	ZUFUEHREN · KURZ · FORTSETZEN	UNCHANGED_UNIQUE_COMMAND	ZUFUEHREN · KURZ · FORTSETZEN	K	YES
PROC067	qokedy	OK+E+DY	CMD085	ANSETZEN · KURZ; SCHLUSS	ACTION_COMMAND	8	B1|B3|B4	NO	CMD085	ANSETZEN · KURZ; SCHLUSS	UNCHANGED_UNIQUE_COMMAND	ANSETZEN · KURZ; SCHLUSS	NONE	NO
PROC068	kair	K+AIR	CMD042	ZUDOSIEREN · LAUF	ACTION_COMMAND	1	B1	NO	CMD042	ZUFUEHREN · LAUF	UNCHANGED_UNIQUE_COMMAND	ZUFUEHREN · LAUF	K	YES
PROC069	chkain|kain	K+AIN	CMD041	ZUDOSIEREN · PORTION	ACTION_COMMAND	3	B1|B3|B4	NO	CMD041	ZUFUEHREN · PORTION	UNCHANGED_UNIQUE_COMMAND	ZUFUEHREN · PORTION	K	YES
PROC070	olkain|qolkain	OL+K+AIN	CMD101	FORTSETZEN · ZUDOSIEREN · PORTION	ACTION_COMMAND	2	B1|B4	NO	CMD101	FORTSETZEN · ZUFUEHREN · PORTION	UNCHANGED_UNIQUE_COMMAND	FORTSETZEN · ZUFUEHREN · PORTION	K	YES
PROC071	rol	R+OL	CMD128	KUEHLEN · FORTSETZEN	ACTION_COMMAND	1	B1	NO	CMD128	KUEHLEN · FORTSETZEN	UNCHANGED_UNIQUE_COMMAND	KUEHLEN · FORTSETZEN	NONE	NO
PROC072	dl	L	CMD051	WEITERLEITEN	ACTION_COMMAND	2	B1	NO	CMD051	FUEHREN	UNCHANGED_UNIQUE_COMMAND	FUEHREN	L	YES
PROC073	sheckhal	SH+E+CKH+AL	CMD133	HALTEN · KURZ · DURCHLASS · ZIEL	ACTION_COMMAND	1	B1	NO	CMD133	HALTEN · KURZ · DURCHLASS · ZIEL	UNCHANGED_UNIQUE_COMMAND	HALTEN · KURZ · DURCHLASS · ZIEL	NONE	NO
PROC074	qokeedal	OK+EE+AL	CMD087	ANSETZEN · LANG · ZIEL	ACTION_COMMAND	1	B1	NO	CMD087	ANSETZEN · LANG · ZIEL	UNCHANGED_UNIQUE_COMMAND	ANSETZEN · LANG · ZIEL	NONE	NO
PROC075	chckhy|shckhy	CKH+Y	CMD026	DURCHLASS · DIES	ARGUMENT_OR_OBJECT_FORMULA	4	B1|B2	NO	CMD026	DURCHLASS · DIES	UNCHANGED_UNIQUE_COMMAND	DURCHLASS · DIES	NONE	NO
PROC076	dchedy|schedy|tchedy	CHD+DY	CMD021	UMSETZEN; SCHLUSS	ACTION_COMMAND	4	B1|B2|B3	YES	CMD021	UMSETZEN; SCHLUSS	KEEP_SAME_COMMAND_AS_ALLOGRAPH_OR_REGISTER_VARIANT	UMSETZEN; SCHLUSS	NONE	NO
PROC077	sshkchdy	SH+K+CHD+DY	CMD142	HALTEN · ZUDOSIEREN · UMSETZEN; SCHLUSS	ACTION_COMMAND	1	B1	NO	CMD142	HALTEN · ZUFUEHREN · UMSETZEN; SCHLUSS	UNCHANGED_UNIQUE_COMMAND	HALTEN · ZUFUEHREN · UMSETZEN; SCHLUSS	K	YES
PROC078	cheedy|shedy|tedy	SHED+DY	CMD147	ABSETZEN; SCHLUSS	ACTION_COMMAND	12	B1|B2|B3|B4	NO	CMD147	ABSETZEN; SCHLUSS	UNCHANGED_UNIQUE_COMMAND	ABSETZEN; SCHLUSS	NONE	NO
PROC079	olchedy|qolchedy	OL+CHD+DY	CMD099	FORTSETZEN · UMSETZEN; SCHLUSS	ACTION_COMMAND	3	B1|B2|B3	NO	CMD099	FORTSETZEN · UMSETZEN; SCHLUSS	UNCHANGED_UNIQUE_COMMAND	FORTSETZEN · UMSETZEN; SCHLUSS	NONE	NO
PROC080	okain|qokain	OK+AIN	CMD078	ANSETZEN · PORTION	ACTION_COMMAND	7	B1|B2|B3|B4	NO	CMD078	ANSETZEN · PORTION	UNCHANGED_UNIQUE_COMMAND	ANSETZEN · PORTION	NONE	NO
PROC081	ral	R+AL	CMD126	KUEHLEN · ZIEL	ACTION_COMMAND	1	B1	NO	CMD126	KUEHLEN · ZIEL	UNCHANGED_UNIQUE_COMMAND	KUEHLEN · ZIEL	NONE	NO
PROC082	qokchdy	OK+CHD+DY	CMD084	ANSETZEN · UMSETZEN; SCHLUSS	ACTION_COMMAND	3	B1|B3|B5	YES	CMD084	ANSETZEN · UMSETZEN; SCHLUSS	KEEP_SAME_COMMAND_AS_ALLOGRAPH_OR_REGISTER_VARIANT	ANSETZEN · UMSETZEN; SCHLUSS	NONE	NO
PROC083	cheky	CHK+E+Y	CMD023	WAERMEN · KURZ · DIES	ACTION_COMMAND	3	B1|B4	NO	CMD023	WAERMEN · KURZ · DIES	UNCHANGED_UNIQUE_COMMAND	WAERMEN · KURZ · DIES	NONE	NO
PROC084	lsho	LSH+O	CMD070	WASCHEN · ARBEITSGANG	ACTION_COMMAND	1	B1	NO	CMD070	WASCHEN · GANG	UNCHANGED_UNIQUE_COMMAND	WASCHEN · GANG	O	YES
PROC085	okey|qokey	OK+E+Y	CMD086	ANSETZEN · KURZ · DIES	ACTION_COMMAND	2	B1|B2	NO	CMD086	ANSETZEN · KURZ · DIES	UNCHANGED_UNIQUE_COMMAND	ANSETZEN · KURZ · DIES	NONE	NO
PROC086	lshedy	LSH+E+DY	CMD069	WASCHEN · KURZ; SCHLUSS	ACTION_COMMAND	2	B1	NO	CMD069	WASCHEN · KURZ; SCHLUSS	UNCHANGED_UNIQUE_COMMAND	WASCHEN · KURZ; SCHLUSS	NONE	NO
PROC087	qolky	SOLK+Y	CMD152	AUFFANGEN · DIES	ACTION_COMMAND	1	B1	NO	CMD152	AUFFANGEN · DIES	UNCHANGED_UNIQUE_COMMAND	AUFFANGEN · DIES	NONE	NO
PROC088	lchedal	L+CHD+AL	CMD057	WEITERLEITEN · UMSETZEN · ZIEL	ACTION_COMMAND	1	B1	NO	CMD057	FUEHREN · UMSETZEN · ZIEL	UNCHANGED_UNIQUE_COMMAND	FUEHREN · UMSETZEN · ZIEL	L	YES
PROC089	otar	OT+AR	CMD111	DANACH · QUELLE	SEQUENCE_FORMULA	1	B1	NO	CMD111	DANACH · QUELLE	UNCHANGED_UNIQUE_COMMAND	DANACH · QUELLE	NONE	NO
PROC090	ytey	T+E+Y	CMD154	EINTRAGEN · KURZ · DIES	ACTION_COMMAND	1	B1	NO	CMD154	EINTRAGEN · KURZ · DIES	UNCHANGED_UNIQUE_COMMAND	EINTRAGEN · KURZ · DIES	NONE	NO
PROC091	okchedy|qokchedy	OK+CHD+DY	CMD084	ANSETZEN · UMSETZEN; SCHLUSS	ACTION_COMMAND	2	B1|B3	YES	CMD084	ANSETZEN · UMSETZEN; SCHLUSS	KEEP_SAME_COMMAND_AS_ALLOGRAPH_OR_REGISTER_VARIANT	ANSETZEN · UMSETZEN; SCHLUSS	NONE	NO
PROC092	okeey|qokeey	OK+EE+Y	CMD090	ANSETZEN · LANG · DIES	ACTION_COMMAND	7	B1|B2|B3|B4	NO	CMD090	ANSETZEN · LANG · DIES	UNCHANGED_UNIQUE_COMMAND	ANSETZEN · LANG · DIES	NONE	NO
PROC093	teol	E+OL	CMD033	KURZ · FORTSETZEN	STATE_OR_GRADE_FORMULA	1	B1	NO	CMD033	KURZ · FORTSETZEN	UNCHANGED_UNIQUE_COMMAND	KURZ · FORTSETZEN	NONE	NO
PROC094	dchdy	CHD+DY	CMD021	UMSETZEN; SCHLUSS	ACTION_COMMAND	1	B1	YES	CMD021	UMSETZEN; SCHLUSS	KEEP_SAME_COMMAND_AS_ALLOGRAPH_OR_REGISTER_VARIANT	UMSETZEN; SCHLUSS	NONE	NO
PROC095	ly	L+Y	CMD068	WEITERLEITEN · DIES	ACTION_COMMAND	1	B1	NO	CMD068	FUEHREN · DIES	UNCHANGED_UNIQUE_COMMAND	FUEHREN · DIES	L	YES
PROC096	dsheol	SH+E+OL	CMD138	HALTEN · KURZ · FORTSETZEN	ACTION_COMMAND	1	B1	NO	CMD138	HALTEN · KURZ · FORTSETZEN	UNCHANGED_UNIQUE_COMMAND	HALTEN · KURZ · FORTSETZEN	NONE	NO
PROC097	oiiin|soiiin	O+IIN	CMD075	ARBEITSGANG · STUFE	ARGUMENT_OR_OBJECT_FORMULA	2	B1|B3	NO	CMD075	GANG · STUFE	UNCHANGED_UNIQUE_COMMAND	GANG · STUFE	O	YES
PROC098	olkeedy|solkeedy	SOLK+EE+DY	CMD150	AUFFANGEN · LANG; SCHLUSS	ACTION_COMMAND	3	B1|B3	NO	CMD150	AUFFANGEN · LANG; SCHLUSS	UNCHANGED_UNIQUE_COMMAND	AUFFANGEN · LANG; SCHLUSS	NONE	NO
PROC099	shckhedy	SH+CKH+E+DY	CMD132	HALTEN · DURCHLASS · KURZ; SCHLUSS	ACTION_COMMAND	3	B1|B4	NO	CMD132	HALTEN · DURCHLASS · KURZ; SCHLUSS	UNCHANGED_UNIQUE_COMMAND	HALTEN · DURCHLASS · KURZ; SCHLUSS	NONE	NO
PROC100	qokeedy	OK+EE+DY	CMD088	ANSETZEN · LANG; SCHLUSS	ACTION_COMMAND	10	B2|B3|B4	NO	CMD088	ANSETZEN · LANG; SCHLUSS	UNCHANGED_UNIQUE_COMMAND	ANSETZEN · LANG; SCHLUSS	NONE	NO
PROC101	lcheckhy	L+CKH+Y	CMD061	WEITERLEITEN · DURCHLASS · DIES	ACTION_COMMAND	1	B2	NO	CMD061	FUEHREN · DURCHLASS · DIES	UNCHANGED_UNIQUE_COMMAND	FUEHREN · DURCHLASS · DIES	L	YES
PROC102	lched	L+CHD	CMD056	WEITERLEITEN · UMSETZEN	ACTION_COMMAND	1	B2	NO	CMD056	FUEHREN · UMSETZEN	UNCHANGED_UNIQUE_COMMAND	FUEHREN · UMSETZEN	L	YES
PROC103	lcheckhedy	L+CKH+E+DY	CMD060	WEITERLEITEN · DURCHLASS · KURZ; SCHLUSS	ACTION_COMMAND	1	B2	NO	CMD060	FUEHREN · DURCHLASS · KURZ; SCHLUSS	UNCHANGED_UNIQUE_COMMAND	FUEHREN · DURCHLASS · KURZ; SCHLUSS	L	YES
