pair_carrier_id	ordered_action_pair	portable_action_trace_de	carrier_neutral_handgrip_de	global_running_event_id	physical_page	register	owner_class	surface	component_recipe	action_component_positions	clause_action_marker_positions	clause_action_order_exact	before_action_atoms	between_action_atoms	after_action_atoms	direct_component_adjacency	frame_atom_trace	frame_value_trace_de	argument_mode	explicit_argument_roots	inherited_argument_root	imperative_clause_de	portable_back_projection_de	roundtrip_exact	working_root_meaning_changed	surface_prediction_made	occurrence_prediction_made	guard
G505-C11	CH+SH	NEHMEN → HALTEN	Nimm das zuvor Genannte und halte es.	G407-E0298	f10r	HERBAL	WURZEL_UND_GANZPFLANZE	otchoshor	OT+CH+O+SH+OR	2,4	8,36	YES	OT	O	OR	NO	OT+O+OR	DANACH · AUSFÜHRUNG · EINHEIT	EXPLICIT_ARGUMENTS	OR	NONE	Danach nimm die Arbeitseinheit und halte die Arbeitseinheit; als Ausführung.	DANACH · NEHMEN · AUSFÜHRUNG · HALTEN · EINHEIT	YES	NO	NO	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-C12	CH+P	NEHMEN → EINSETZEN	Nimm das zuvor Genannte und setze es ein.	G407-E0311	f11r	HERBAL	WURZEL_UND_GANZPFLANZE	cphy	CH+P+Y	1,2	1,29	YES	NONE	NONE	Y	YES	Y	POSTEN	EXPLICIT_ARGUMENTS	Y	NONE	Nimm den Pflanzenposten und setze den Pflanzenposten ein.	NEHMEN · EINSETZEN · POSTEN	YES	NO	NO	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-C13	P+CH	EINSETZEN → NEHMEN	Setze das zuvor Genannte ein und nimm es.	G407-E0372	f13r	HERBAL	WURZEL_UND_GANZPFLANZE	opchor	O+P+CH+OR	2,3	1,34	YES	O	NONE	OR	YES	O+OR	AUSFÜHRUNG · EINHEIT	EXPLICIT_ARGUMENTS	OR	NONE	Setze die Arbeitseinheit ein und nimm die Arbeitseinheit; als Ausführung.	AUSFÜHRUNG · EINSETZEN · NEHMEN · EINHEIT	YES	NO	NO	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-C14	CH+P	NEHMEN → EINSETZEN	Nimm das zuvor Genannte und setze es ein.	G407-E0449	f17r	HERBAL	WURZEL_UND_GANZPFLANZE	chop	CH+O+P	1,3	1,41	YES	NONE	O	NONE	NO	O	AUSFÜHRUNG	INHERITED_ARGUMENT	NONE	Y	Nimm den Pflanzenposten [wie zuvor] und setze den Pflanzenposten [wie zuvor] ein; als Ausführung.	NEHMEN · AUSFÜHRUNG · EINSETZEN	YES	NO	NO	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-C15	P+CH	EINSETZEN → NEHMEN	Setze das zuvor Genannte ein und nimm es.	G407-E0476	f17r	HERBAL	WURZEL_UND_GANZPFLANZE	ypchy	Y+P+CH+Y	2,3	1,74	YES	Y	NONE	Y	YES	Y+Y	POSTEN · POSTEN	EXPLICIT_ARGUMENTS	Y|Y	NONE	Setze den Pflanzenposten [außen] und den Pflanzenposten [innen] ein und nimm den Pflanzenposten [außen] und den Pflanzenposten [innen].	POSTEN · EINSETZEN · NEHMEN · POSTEN	YES	NO	NO	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-C16	CH+P	NEHMEN → EINSETZEN	Nimm das zuvor Genannte und setze es ein.	G407-E0482	f17r	HERBAL	WURZEL_UND_GANZPFLANZE	cphor	CH+P+OR	1,2	1,29	YES	NONE	NONE	OR	YES	OR	EINHEIT	EXPLICIT_ARGUMENTS	OR	NONE	Nimm die Arbeitseinheit und setze die Arbeitseinheit ein.	NEHMEN · EINSETZEN · EINHEIT	YES	NO	NO	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-C17	CH+P	NEHMEN → EINSETZEN	Nimm das zuvor Genannte und setze es ein.	G407-E0483	f17r	HERBAL	WURZEL_UND_GANZPFLANZE	cphaldy	CH+P+AL+DY	1,2	1,41	YES	NONE	NONE	AL+DY	YES	AL+DY	ZIELORT · SCHLUSS	INHERITED_ARGUMENT	NONE	OR	Nimm die Arbeitseinheit [wie zuvor] und setze die Arbeitseinheit [wie zuvor] ein; zur Zielstelle; schließe den Schritt.	NEHMEN · EINSETZEN · ZIELORT · SCHLUSS	YES	NO	NO	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-C18	CH+SH	NEHMEN → HALTEN	Nimm das zuvor Genannte und halte es.	G407-E0494	f17r	HERBAL	WURZEL_UND_GANZPFLANZE	choldshy	CH+OL+D_ADDR+SH+Y	1,4	8,36	YES	NONE	OL+D_ADDR	Y	NO	OL+D_ADDR+Y	FORTSETZEN · HIER · POSTEN	EXPLICIT_ARGUMENTS	Y	NONE	Weiter nimm den Pflanzenposten und halte den Pflanzenposten; an der bezeichneten Stelle.	NEHMEN · FORTSETZEN · HIER · HALTEN · POSTEN	YES	NO	NO	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-C19	P+CH	EINSETZEN → NEHMEN	Setze das zuvor Genannte ein und nimm es.	G407-E0497	f17r	HERBAL	WURZEL_UND_GANZPFLANZE	opchordy	O+P+CH+OR+DY	2,3	1,34	YES	O	NONE	OR+DY	YES	O+OR+DY	AUSFÜHRUNG · EINHEIT · SCHLUSS	EXPLICIT_ARGUMENTS	OR	NONE	Setze die Arbeitseinheit ein und nimm die Arbeitseinheit; als Ausführung; schließe den Schritt.	AUSFÜHRUNG · EINSETZEN · NEHMEN · EINHEIT · SCHLUSS	YES	NO	NO	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-C20	CH+CH	NEHMEN → NEHMEN	Nimm das zuvor Genannte zweimal.	G407-E0606	f24v	HERBAL	GANZPFLANZE	chocfhey	CH+O+CH+LOCAL_CHAR_F+E+Y	1,3	1,29	YES	NONE	O	LOCAL_CHAR_F+E+Y	NO	O+LOCAL_CHAR_F+E+Y	AUSFÜHRUNG · HIER · GRAD I · POSTEN	EXPLICIT_ARGUMENTS	Y	NONE	Nimm den Pflanzenposten und nimm den Pflanzenposten; als Ausführung und auf Grad I; an der bezeichneten Stelle.	NEHMEN · AUSFÜHRUNG · NEHMEN · HIER · GRAD I · POSTEN	YES	NO	NO	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-C21	CH+P	NEHMEN → EINSETZEN	Nimm das zuvor Genannte und setze es ein.	G407-E0611	f24v	HERBAL	GANZPFLANZE	ocphoraiin	O+CH+P+OR+AIIN	2,3	1,49	YES	O	NONE	OR+AIIN	YES	O+OR+AIIN	AUSFÜHRUNG · EINHEIT · WERT	EXPLICIT_ARGUMENTS	OR|AIIN	NONE	Nimm die Arbeitseinheit und den Arbeitswert und setze die Arbeitseinheit und den Arbeitswert ein; als Ausführung.	AUSFÜHRUNG · NEHMEN · EINSETZEN · EINHEIT · WERT	YES	NO	NO	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-C22	P+CH	EINSETZEN → NEHMEN	Setze das zuvor Genannte ein und nimm es.	G407-E0741	f55v	HERBAL	BLÜTEN_UND_GANZPFLANZE	pchal	P+CH+AL	1,2	1,46	YES	NONE	NONE	AL	YES	AL	ZIELORT	INHERITED_ARGUMENT	NONE	Y	Setze den Pflanzenposten [wie zuvor] ein und nimm den Pflanzenposten [wie zuvor]; zur Zielstelle.	EINSETZEN · NEHMEN · ZIELORT	YES	NO	NO	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-C23	CH+CH	NEHMEN → NEHMEN	Nimm das zuvor Genannte zweimal.	G407-E0805	f56r	HERBAL	KOPFSTADIEN_UND_GANZPFLANZE	chorchy	CH+OR+CH+Y	1,3	1,52	YES	NONE	OR	Y	NO	OR+Y	EINHEIT · POSTEN	EXPLICIT_ARGUMENTS	OR|Y	NONE	Nimm die Arbeitseinheit und den Pflanzenposten und nimm die Arbeitseinheit und den Pflanzenposten.	NEHMEN · EINHEIT · NEHMEN · POSTEN	YES	NO	NO	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-C24	CH+CH	NEHMEN → NEHMEN	Nimm das zuvor Genannte zweimal.	G407-E0851	f56r	HERBAL	KOPFSTADIEN_UND_GANZPFLANZE	chotchey	CH+OT+CH+E+Y	1,3	8,36	YES	NONE	OT	E+Y	NO	OT+E+Y	DANACH · GRAD I · POSTEN	EXPLICIT_ARGUMENTS	Y	NONE	Danach nimm den Pflanzenposten und nimm den Pflanzenposten; auf Grad I.	NEHMEN · DANACH · NEHMEN · GRAD I · POSTEN	YES	NO	NO	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-C25	CH+CH	NEHMEN → NEHMEN	Nimm das zuvor Genannte zweimal.	G407-E0923	f67r2	CELESTIAL	HIMMELSRAD_UND_TABELLE	chocfhy	CH+O+CH+LOCAL_CHAR_F+Y	1,3	1,34	YES	NONE	O	LOCAL_CHAR_F+Y	NO	O+LOCAL_CHAR_F+Y	AUSFÜHRUNG · HIER · POSTEN	EXPLICIT_ARGUMENTS	Y	NONE	Nimm den Positionsposten auf und nimm den Positionsposten auf; als Ausführung; an der bezeichneten Stelle.	NEHMEN · AUSFÜHRUNG · NEHMEN · HIER · POSTEN	YES	NO	NO	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-C26	P+CH	EINSETZEN → NEHMEN	Setze das zuvor Genannte ein und nimm es.	G407-E0928	f67r2	CELESTIAL	HIMMELSRAD_UND_TABELLE	oparchy	O+P+AR+CH+Y	2,4	1,35	YES	O	AR	Y	NO	O+AR+Y	AUSFÜHRUNG · AUSGANG · POSTEN	EXPLICIT_ARGUMENTS	Y	NONE	Setze den Positionsposten ein und nimm den Positionsposten auf; von der Ausgangsposition; als Ausführung.	AUSFÜHRUNG · EINSETZEN · AUSGANG · NEHMEN · POSTEN	YES	NO	NO	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-C27	CH+P	NEHMEN → EINSETZEN	Nimm das zuvor Genannte und setze es ein.	G407-E1031	f68r1	CELESTIAL	STERNTAFEL_ODER_STERNRING	cphol	CH+P+OL	1,2	8,53	YES	NONE	NONE	OL	YES	OL	FORTSETZEN	INHERITED_ARGUMENT	NONE	Y	Weiter nimm den Positionsposten [wie zuvor] auf und setze den Positionsposten [wie zuvor] ein.	NEHMEN · EINSETZEN · FORTSETZEN	YES	NO	NO	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-C28	P+CH	EINSETZEN → NEHMEN	Setze das zuvor Genannte ein und nimm es.	G407-E1033	f68r1	CELESTIAL	STERNTAFEL_ODER_STERNRING	opcheeol	O+P+CH+EE+OL	2,3	8,54	YES	O	NONE	EE+OL	YES	O+EE+OL	AUSFÜHRUNG · GRAD II · FORTSETZEN	INHERITED_ARGUMENT	NONE	Y	Weiter setze den Positionsposten [wie zuvor] ein und nimm den Positionsposten [wie zuvor] auf; als Ausführung und auf Grad II.	AUSFÜHRUNG · EINSETZEN · NEHMEN · GRAD II · FORTSETZEN	YES	NO	NO	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-C29	CH+P	NEHMEN → EINSETZEN	Nimm das zuvor Genannte und setze es ein.	G407-E1043	f68r1	CELESTIAL	STERNTAFEL_ODER_STERNRING	chpor	CH+P+OR	1,2	1,35	YES	NONE	NONE	OR	YES	OR	EINHEIT	EXPLICIT_ARGUMENTS	OR	NONE	Nimm die Positionseinheit auf und setze die Positionseinheit ein.	NEHMEN · EINSETZEN · EINHEIT	YES	NO	NO	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-C30	P+CH	EINSETZEN → NEHMEN	Setze das zuvor Genannte ein und nimm es.	G407-E1394	f72r	CELESTIAL	TIERKREISRING	opcholalaiin	O+P+CH+OL+AL+AIIN	2,3	8,40	YES	O	NONE	OL+AL+AIIN	YES	O+OL+AL+AIIN	AUSFÜHRUNG · FORTSETZEN · ZIELORT · WERT	EXPLICIT_ARGUMENTS	AIIN	NONE	Weiter setze den Positionswert ein und nimm den Positionswert auf; zur Zielposition; als Ausführung.	AUSFÜHRUNG · EINSETZEN · NEHMEN · FORTSETZEN · ZIELORT · WERT	YES	NO	NO	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-C31	CH+CH	NEHMEN → NEHMEN	Nimm das zuvor Genannte zweimal.	G407-E1834	f76r	BIOLOGICAL	TEXTBLOCK_MIT_SEITENBESITZER	chcfhdy	CH+O+CH+LOCAL_CHAR_F+Y	1,3	4,35	YES	NONE	O	LOCAL_CHAR_F+Y	NO	O+LOCAL_CHAR_F+Y	AUSFÜHRUNG · HIER · POSTEN	EXPLICIT_ARGUMENTS	Y	NONE	Entnimm den Stationsposten und entnimm den Stationsposten; als Ausführung; an der bezeichneten Stelle.	NEHMEN · AUSFÜHRUNG · NEHMEN · HIER · POSTEN	YES	NO	NO	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-C32	CH+P	NEHMEN → EINSETZEN	Nimm das zuvor Genannte und setze es ein.	G407-E1848	f76r	BIOLOGICAL	TEXTBLOCK_MIT_SEITENBESITZER	chep	CH+E+P	1,3	4,44	YES	NONE	E	NONE	NO	E	GRAD I	INHERITED_ARGUMENT	NONE	Y	Entnimm den Stationsposten [wie zuvor] und setze den Stationsposten [wie zuvor] ein; auf Grad I.	NEHMEN · GRAD I · EINSETZEN	YES	NO	NO	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-C33	S+CHD	WÄHLEN → BEARBEITEN	Wähle das zuvor Genannte und bearbeite es.	G407-E1883	f76r	BIOLOGICAL	TEXTBLOCK_MIT_SEITENBESITZER	solchedy	S+OL+CHD+Y	1,3	8,37	YES	NONE	OL	Y	NO	OL+Y	FORTSETZEN · POSTEN	EXPLICIT_ARGUMENTS	Y	NONE	Weiter wähle den Stationsposten und bearbeite den Stationsposten.	WÄHLEN · FORTSETZEN · BEARBEITEN · POSTEN	YES	NO	NO	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-C34	CH+SH	NEHMEN → HALTEN	Nimm das zuvor Genannte und halte es.	G407-E1963	f76r	BIOLOGICAL	TEXTBLOCK_MIT_SEITENBESITZER	chorshedy	CH+OR+SH+E+DY	1,3	4,33	YES	NONE	OR	E+DY	NO	OR+E+DY	EINHEIT · GRAD I · SCHLUSS	EXPLICIT_ARGUMENTS	OR	NONE	Entnimm die Stationseinheit und halte die Stationseinheit; auf Grad I; schließe den Schritt.	NEHMEN · EINHEIT · HALTEN · GRAD I · SCHLUSS	YES	NO	NO	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-C35	CH+P	NEHMEN → EINSETZEN	Nimm das zuvor Genannte und setze es ein.	G407-E2051	f76r	BIOLOGICAL	TEXTBLOCK_MIT_SEITENBESITZER	chepy	CH+E+P+Y	1,3	4,32	YES	NONE	E	Y	NO	E+Y	GRAD I · POSTEN	EXPLICIT_ARGUMENTS	Y	NONE	Entnimm den Stationsposten und setze den Stationsposten ein; auf Grad I.	NEHMEN · GRAD I · EINSETZEN · POSTEN	YES	NO	NO	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-C36	CH+CH	NEHMEN → NEHMEN	Nimm das zuvor Genannte zweimal.	G407-E2115	f76r	BIOLOGICAL	TEXTBLOCK_MIT_SEITENBESITZER	cheolchey	CH+E+OL+CH+E+Y	1,4	11,42	YES	NONE	E+OL	E+Y	NO	E+OL+E+Y	GRAD I · FORTSETZEN · GRAD I · POSTEN	EXPLICIT_ARGUMENTS	Y	NONE	Weiter entnimm den Stationsposten und entnimm den Stationsposten; auf Grad I und auf Grad I.	NEHMEN · GRAD I · FORTSETZEN · NEHMEN · GRAD I · POSTEN	YES	NO	NO	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-C37	CH+P	NEHMEN → EINSETZEN	Nimm das zuvor Genannte und setze es ein.	G407-E2531	f77r	BIOLOGICAL	LOKALE_STATIONSGRUPPE	cphey	CH+P+E+Y	1,2	4,32	YES	NONE	NONE	E+Y	YES	E+Y	GRAD I · POSTEN	EXPLICIT_ARGUMENTS	Y	NONE	Entnimm den Stationsposten und setze den Stationsposten ein; auf Grad I.	NEHMEN · EINSETZEN · GRAD I · POSTEN	YES	NO	NO	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-C38	S+CHD	WÄHLEN → BEARBEITEN	Wähle das zuvor Genannte und bearbeite es.	G407-E2549	f77r	BIOLOGICAL	LOKALE_STATIONSGRUPPE	solchedy	S+OL+CHD+Y	1,3	8,37	YES	NONE	OL	Y	NO	OL+Y	FORTSETZEN · POSTEN	EXPLICIT_ARGUMENTS	Y	NONE	Weiter wähle den Stationsposten und bearbeite den Stationsposten.	WÄHLEN · FORTSETZEN · BEARBEITEN · POSTEN	YES	NO	NO	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-C39	P+CH	EINSETZEN → NEHMEN	Setze das zuvor Genannte ein und nimm es.	G407-E2714	f81r	BIOLOGICAL	BAD_ODER_BECKENFELD	polchoy	P+OL+CH+O+Y	1,3	8,44	YES	NONE	OL	O+Y	NO	OL+O+Y	FORTSETZEN · AUSFÜHRUNG · POSTEN	EXPLICIT_ARGUMENTS	Y	NONE	Weiter setze den Stationsposten ein und entnimm den Stationsposten; als Ausführung.	EINSETZEN · FORTSETZEN · NEHMEN · AUSFÜHRUNG · POSTEN	YES	NO	NO	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-C40	P+CH	EINSETZEN → NEHMEN	Setze das zuvor Genannte ein und nimm es.	G407-E2809	f81r	BIOLOGICAL	BAD_ODER_BECKENFELD	qopchol	CARRIER_Q+O+P+CH+OL	3,4	8,25	YES	CARRIER_Q+O	NONE	OL	YES	CARRIER_Q+O+OL	BEGINNMARKER · AUSFÜHRUNG · FORTSETZEN	ARGUMENT_FREE	NONE	NONE	Weiter setze ein und entnimm; als neuen Einsatz und als Ausführung.	BEGINNMARKER · AUSFÜHRUNG · EINSETZEN · NEHMEN · FORTSETZEN	YES	NO	NO	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-C41	CH+P	NEHMEN → EINSETZEN	Nimm das zuvor Genannte und setze es ein.	G407-E3002	f81v	BIOLOGICAL	BAD_ODER_BECKENFELD	cphedy	CH+P+E+DY	1,2	4,44	YES	NONE	NONE	E+DY	YES	E+DY	GRAD I · SCHLUSS	INHERITED_ARGUMENT	NONE	AIN	Entnimm den Stationsanteil [wie zuvor] und setze den Stationsanteil [wie zuvor] ein; auf Grad I; schließe den Schritt.	NEHMEN · EINSETZEN · GRAD I · SCHLUSS	YES	NO	NO	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
