exercise_id	register	renderer_id	workshop_hand	hand_habit	ordinary_source_command_de	source_master_cards	visible_copy	recovered_master_cards	card_roundtrip	recovered_source_command_de
X03	HERBAL_ARTICLE	R-C	S-FLUSSHAND	prefer a registered sh or s continuation	Den Ansatz und diesen Posten nach Sollmaß übernehmen.	chor chey aiin	shor shy saiin	chor chey aiin	PASS	Den Ansatz und diesen Posten nach Sollmaß übernehmen.
X03	HERBAL_ARTICLE	R-D	KURZHAND	prefer the shortest registered surface	Den Ansatz und diesen Posten nach Sollmaß übernehmen.	chor chey aiin	or y aiin	chor chey aiin	PASS	Den Ansatz und diesen Posten nach Sollmaß übernehmen.
X04	HERBAL_ARTICLE	R-A	VORLAGENHAND	master head	Das Sollmaß vorgeben, am Ziel ansetzen und den Ansatz übernehmen.	aiin okal chor chey	aiin okal chor chey	aiin okal chor chey	PASS	Das Sollmaß vorgeben, am Ziel ansetzen und den Ansatz übernehmen.
X04	HERBAL_ARTICLE	R-B	Q-EINTRITTSHAND	prefer a registered q entry	Das Sollmaß vorgeben, am Ziel ansetzen und den Ansatz übernehmen.	aiin okal chor chey	aiin qokal chor chey	aiin okal chor chey	PASS	Das Sollmaß vorgeben, am Ziel ansetzen und den Ansatz übernehmen.
X04	HERBAL_ARTICLE	R-C	S-FLUSSHAND	prefer a registered sh or s continuation	Das Sollmaß vorgeben, am Ziel ansetzen und den Ansatz übernehmen.	aiin okal chor chey	saiin okal shor shy	aiin okal chor chey	PASS	Das Sollmaß vorgeben, am Ziel ansetzen und den Ansatz übernehmen.
X04	HERBAL_ARTICLE	R-D	KURZHAND	prefer the shortest registered surface	Das Sollmaß vorgeben, am Ziel ansetzen und den Ansatz übernehmen.	aiin okal chor chey	aiin okal or y	aiin okal chor chey	PASS	Das Sollmaß vorgeben, am Ziel ansetzen und den Ansatz übernehmen.
X05	HERBAL_ARTICLE	R-A	VORLAGENHAND	master head	Danach den nächsten Posten ansetzen, nach Sollmaß und zum Ziel.	otchey choky aiin al	otchey choky aiin al	otchey choky aiin al	PASS	Danach den nächsten Posten ansetzen, nach Sollmaß und zum Ziel.
X05	HERBAL_ARTICLE	R-B	Q-EINTRITTSHAND	prefer a registered q entry	Danach den nächsten Posten ansetzen, nach Sollmaß und zum Ziel.	otchey choky aiin al	otchey qoky aiin al	otchey choky aiin al	PASS	Danach den nächsten Posten ansetzen, nach Sollmaß und zum Ziel.
X05	HERBAL_ARTICLE	R-C	S-FLUSSHAND	prefer a registered sh or s continuation	Danach den nächsten Posten ansetzen, nach Sollmaß und zum Ziel.	otchey choky aiin al	otchey choky saiin sal	otchey choky aiin al	PASS	Danach den nächsten Posten ansetzen, nach Sollmaß und zum Ziel.
X05	HERBAL_ARTICLE	R-D	KURZHAND	prefer the shortest registered surface	Danach den nächsten Posten ansetzen, nach Sollmaß und zum Ziel.	otchey choky aiin al	otchey oky aiin al	otchey choky aiin al	PASS	Danach den nächsten Posten ansetzen, nach Sollmaß und zum Ziel.
X06	BOTH	R-A	VORLAGENHAND	master head	Zwei Posten unter dasselbe Sollmaß stellen.	chey aiin chey	chey aiin chey	chey aiin chey	PASS	Zwei Posten unter dasselbe Sollmaß stellen.
X06	BOTH	R-B	Q-EINTRITTSHAND	prefer a registered q entry	Zwei Posten unter dasselbe Sollmaß stellen.	chey aiin chey	chey aiin chey	chey aiin chey	PASS	Zwei Posten unter dasselbe Sollmaß stellen.
X06	BOTH	R-C	S-FLUSSHAND	prefer a registered sh or s continuation	Zwei Posten unter dasselbe Sollmaß stellen.	chey aiin chey	shy saiin shy	chey aiin chey	PASS	Zwei Posten unter dasselbe Sollmaß stellen.
X06	BOTH	R-D	KURZHAND	prefer the shortest registered surface	Zwei Posten unter dasselbe Sollmaß stellen.	chey aiin chey	y aiin y	chey aiin chey	PASS	Zwei Posten unter dasselbe Sollmaß stellen.
X07	BOTH	R-A	VORLAGENHAND	master head	Den vorigen Ansatz im fortgesetzten Arbeitsgang mitführen.	cheol cholor cheol	cheol cholor cheol	cheol cholor cheol	PASS	Den vorigen Ansatz im fortgesetzten Arbeitsgang mitführen.
X07	BOTH	R-B	Q-EINTRITTSHAND	prefer a registered q entry	Den vorigen Ansatz im fortgesetzten Arbeitsgang mitführen.	cheol cholor cheol	qol cholor qol	cheol cholor cheol	PASS	Den vorigen Ansatz im fortgesetzten Arbeitsgang mitführen.
X07	BOTH	R-C	S-FLUSSHAND	prefer a registered sh or s continuation	Den vorigen Ansatz im fortgesetzten Arbeitsgang mitführen.	cheol cholor cheol	sol cholor sol	cheol cholor cheol	PASS	Den vorigen Ansatz im fortgesetzten Arbeitsgang mitführen.
X07	BOTH	R-D	KURZHAND	prefer the shortest registered surface	Den vorigen Ansatz im fortgesetzten Arbeitsgang mitführen.	cheol cholor cheol	ol olor ol	cheol cholor cheol	PASS	Den vorigen Ansatz im fortgesetzten Arbeitsgang mitführen.
X08	BIOLOGICAL_CELL	R-A	VORLAGENHAND	master head	Sollmaß einstellen, aus der Quelle zum Ziel führen, bereit halten und schließen.	okaiin char al checthy oldy	okaiin char al checthy oldy	okaiin char al checthy oldy	PASS	Sollmaß einstellen, aus der Quelle zum Ziel führen, bereit halten und schließen.
X08	BIOLOGICAL_CELL	R-B	Q-EINTRITTSHAND	prefer a registered q entry	Sollmaß einstellen, aus der Quelle zum Ziel führen, bereit halten und schließen.	okaiin char al checthy oldy	qokaiin char al checthy oldy	okaiin char al checthy oldy	PASS	Sollmaß einstellen, aus der Quelle zum Ziel führen, bereit halten und schließen.
X08	BIOLOGICAL_CELL	R-C	S-FLUSSHAND	prefer a registered sh or s continuation	Sollmaß einstellen, aus der Quelle zum Ziel führen, bereit halten und schließen.	okaiin char al checthy oldy	okaiin sar sal shcthy oldy	okaiin char al checthy oldy	PASS	Sollmaß einstellen, aus der Quelle zum Ziel führen, bereit halten und schließen.
X08	BIOLOGICAL_CELL	R-D	KURZHAND	prefer the shortest registered surface	Sollmaß einstellen, aus der Quelle zum Ziel führen, bereit halten und schließen.	okaiin char al checthy oldy	okaiin dar al cthy oldy	okaiin char al checthy oldy	PASS	Sollmaß einstellen, aus der Quelle zum Ziel führen, bereit halten und schließen.
X09	BIOLOGICAL_CELL	R-A	VORLAGENHAND	master head	Umsetzen, danach den nächsten Posten ansetzen und weiterführen.	chdy otchey choky cheol	chdy otchey choky cheol	chdy otchey choky cheol	PASS	Umsetzen, danach den nächsten Posten ansetzen und weiterführen.
X09	BIOLOGICAL_CELL	R-B	Q-EINTRITTSHAND	prefer a registered q entry	Umsetzen, danach den nächsten Posten ansetzen und weiterführen.	chdy otchey choky cheol	chdy otchey qoky qol	chdy otchey choky cheol	PASS	Umsetzen, danach den nächsten Posten ansetzen und weiterführen.
X09	BIOLOGICAL_CELL	R-C	S-FLUSSHAND	prefer a registered sh or s continuation	Umsetzen, danach den nächsten Posten ansetzen und weiterführen.	chdy otchey choky cheol	chdy otchey choky sol	chdy otchey choky cheol	PASS	Umsetzen, danach den nächsten Posten ansetzen und weiterführen.
X09	BIOLOGICAL_CELL	R-D	KURZHAND	prefer the shortest registered surface	Umsetzen, danach den nächsten Posten ansetzen und weiterführen.	chdy otchey choky cheol	chdy otchey oky ol	chdy otchey choky cheol	PASS	Umsetzen, danach den nächsten Posten ansetzen und weiterführen.
X10	BIOLOGICAL_CELL	R-A	VORLAGENHAND	master head	Ziel und Sollmaß übernehmen, dann das Sollmaß einstellen.	al aiin okaiin	al aiin okaiin	al aiin okaiin	PASS	Ziel und Sollmaß übernehmen, dann das Sollmaß einstellen.
X10	BIOLOGICAL_CELL	R-B	Q-EINTRITTSHAND	prefer a registered q entry	Ziel und Sollmaß übernehmen, dann das Sollmaß einstellen.	al aiin okaiin	al aiin qokaiin	al aiin okaiin	PASS	Ziel und Sollmaß übernehmen, dann das Sollmaß einstellen.
X10	BIOLOGICAL_CELL	R-C	S-FLUSSHAND	prefer a registered sh or s continuation	Ziel und Sollmaß übernehmen, dann das Sollmaß einstellen.	al aiin okaiin	sal saiin okaiin	al aiin okaiin	PASS	Ziel und Sollmaß übernehmen, dann das Sollmaß einstellen.
X10	BIOLOGICAL_CELL	R-D	KURZHAND	prefer the shortest registered surface	Ziel und Sollmaß übernehmen, dann das Sollmaß einstellen.	al aiin okaiin	al aiin okaiin	al aiin okaiin	PASS	Ziel und Sollmaß übernehmen, dann das Sollmaß einstellen.
X11	BIOLOGICAL_CELL	R-A	VORLAGENHAND	master head	Den Posten ansetzen, bis zum Ergebnis führen und schließen.	choky cheey oldy	choky cheey oldy	choky cheey oldy	PASS	Den Posten ansetzen, bis zum Ergebnis führen und schließen.
X11	BIOLOGICAL_CELL	R-B	Q-EINTRITTSHAND	prefer a registered q entry	Den Posten ansetzen, bis zum Ergebnis führen und schließen.	choky cheey oldy	qoky cheey oldy	choky cheey oldy	PASS	Den Posten ansetzen, bis zum Ergebnis führen und schließen.
X11	BIOLOGICAL_CELL	R-C	S-FLUSSHAND	prefer a registered sh or s continuation	Den Posten ansetzen, bis zum Ergebnis führen und schließen.	choky cheey oldy	choky shey oldy	choky cheey oldy	PASS	Den Posten ansetzen, bis zum Ergebnis führen und schließen.
X11	BIOLOGICAL_CELL	R-D	KURZHAND	prefer the shortest registered surface	Den Posten ansetzen, bis zum Ergebnis führen und schließen.	choky cheey oldy	oky shey oldy	choky cheey oldy	PASS	Den Posten ansetzen, bis zum Ergebnis führen und schließen.
X12	BIOLOGICAL_CELL	R-A	VORLAGENHAND	master head	Sollmaß einstellen, am Ziel aus der Quelle ansetzen und nach Sollmaß weiterführen.	okaiin okal char cheol aiin	okaiin okal char cheol aiin	okaiin okal char cheol aiin	PASS	Sollmaß einstellen, am Ziel aus der Quelle ansetzen und nach Sollmaß weiterführen.
X12	BIOLOGICAL_CELL	R-B	Q-EINTRITTSHAND	prefer a registered q entry	Sollmaß einstellen, am Ziel aus der Quelle ansetzen und nach Sollmaß weiterführen.	okaiin okal char cheol aiin	qokaiin qokal char qol aiin	okaiin okal char cheol aiin	PASS	Sollmaß einstellen, am Ziel aus der Quelle ansetzen und nach Sollmaß weiterführen.
X12	BIOLOGICAL_CELL	R-C	S-FLUSSHAND	prefer a registered sh or s continuation	Sollmaß einstellen, am Ziel aus der Quelle ansetzen und nach Sollmaß weiterführen.	okaiin okal char cheol aiin	okaiin okal sar sol saiin	okaiin okal char cheol aiin	PASS	Sollmaß einstellen, am Ziel aus der Quelle ansetzen und nach Sollmaß weiterführen.
X12	BIOLOGICAL_CELL	R-D	KURZHAND	prefer the shortest registered surface	Sollmaß einstellen, am Ziel aus der Quelle ansetzen und nach Sollmaß weiterführen.	okaiin okal char cheol aiin	okaiin okal dar ol aiin	okaiin okal char cheol aiin	PASS	Sollmaß einstellen, am Ziel aus der Quelle ansetzen und nach Sollmaß weiterführen.
