statement_id	record_unit_id	page	visible_surface_sequence	semantic_atom_program	order_tags	current_reading_de
H5-S004	H5	f56r	okchy chokcheo kchal	OK+Y | OK+CHEO | KCH+AL	NONE	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Gib Auszugsflüssigkeit zu, führe den Ansatz durch Tuch und trenne den Auszug ab.
H5-S005	H5	f56r	sho chokchy kchoar sotodan	HO | OK+Y | CHEO+AR | OT+DAN	NONE	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Gib Bindestoff zum abgetrennten Pflanzenstoff und führe ihn bis zur gebundenen Stufe weiter.
H5-S006	H5	f56r	otchey keol daiin	OT+Y | E+OL | AIIN	NONE	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Bemiss eine örtliche Portion des zweiten Auszugs und gebrauche sie als dosiertes Mittel.
B1-S001	B1	f81v	qokedy	OK+E+CLOSE	NONE	Im gemeinsamen zweireihigen Figurenbecken: Setze kurz an und schließe
B1-S002	B1	f81v	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	OK+AIIN | AIR | OK+AL | AR | OL | AIN | OL+AIN | AL | OL | OL | LOCAL_WHOLE | OL+OR | OL | CKH+E+AL | AIIN | OK+EE+AL | AIIN | CKH+Y | CHD+CLOSE	OC03_FORWARD|OC07_FORWARD|OC08_FORWARD	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Sollmaß ein, setze den Posten dort an, gib die weiteren Portionen und den Zusatz zu, führe den Ansatz weiter, leite kurz zur Zielstelle durch, stelle das Sollmaß ein, halte dort länger, leite durch, setze um und schließe.
B1-S003	B1	f81v	qol sshkchdy	OL | SH+KCH+CHD+CLOSE	NONE	Im gemeinsamen zweireihigen Figurenbecken: Führe weiter, schwenke den Posten und schließe
B1-S004	B1	f81v	chedy ol shedy	CHD+Y | OL | SHED+E+CLOSE	OC05_FORWARD|OC06_FORWARD	Im gemeinsamen zweireihigen Figurenbecken: Setze um, führe weiter, lass absetzen und schließe
B1-S005	B1	f81v	qolchedy	OL+CHD+CLOSE	NONE	Im gemeinsamen zweireihigen Figurenbecken: Führe den Posten weiter und schließe
B1-S006	B1	f81v	qokain shckhy dl ral	OK+AIN | CKH+Y | LOCAL_WHOLE | AL	NONE	Im gemeinsamen zweireihigen Figurenbecken: Gib eine Portion und den Zusatz zu, leite durch, führe zur Zielstelle und übergib an den folgenden Umsetzschritt.
B1-S007	B1	f81v	qokchdy	OK+CHD+CLOSE	NONE	Im gemeinsamen zweireihigen Figurenbecken: Setze die abgekühlte Badmischung um und schließe
B1-S008	B1	f81v	chey ol cheky ol shedy	Y | OL | CHK+E+Y | OL | SHED+E+CLOSE	OC05_FORWARD	Im gemeinsamen zweireihigen Figurenbecken: Führe den aktuellen Posten weiter, wärme kurz, lass absetzen und schließe
B1-S009	B1	f81v	qokedy	OK+E+CLOSE	NONE	Im gemeinsamen zweireihigen Figurenbecken: Setze kurz an und schließe
B1-S010	B1	f81v	qokedy	OK+E+CLOSE	NONE	Im gemeinsamen zweireihigen Figurenbecken: Setze kurz an und schließe
B1-S011	B1	f81v	chckhy qoky	CKH+Y | OK+Y	NONE	Im gemeinsamen zweireihigen Figurenbecken: Leite durch und setze den Posten an
B1-S012	B1	f81v	lsho qokey lshedy	WASH | OK+E+Y | WASH+CLOSE	NONE	Im gemeinsamen zweireihigen Figurenbecken: Beginne mit dem durchgeleiteten Waschposten den Waschgang, setze kurz an, wasche und schließe
B1-S013	B1	f81v	lshedy	WASH+CLOSE	NONE	Im gemeinsamen zweireihigen Figurenbecken: Wasche und schließe
B1-S014	B1	f81v	chedy qolky lchedal qol otar	CHD+Y | OL | L+CHD+AL | OL | OT+AR	OC06_FORWARD	Im gemeinsamen zweireihigen Figurenbecken: Setze um, führe weiter, leite am Auslass ab und führe danach von dort weiter.
B1-S015	B1	f81v	ytey okchedy	Y+E+TY | OK+CHD+CLOSE	NONE	Im gemeinsamen zweireihigen Figurenbecken: Fülle das Gefäß mit der abgeleiteten Arbeitsflüssigkeit, setze den Inhalt um und schließe
B1-S016	B1	f81v	qokal okeey qol cheedy	OK+AL | OK+EE+Y | OL | SHED+E+CLOSE	OC05_FORWARD	Im gemeinsamen zweireihigen Figurenbecken: Setze dort länger an, führe weiter, lass absetzen und schließe
B1-S017	B1	f81v	sal teol dchdy	AL | E+OL | CHD+CLOSE	NONE	Im gemeinsamen zweireihigen Figurenbecken: Führe dorthin, führe kurz weiter, setze um und schließe.
B1-S018	B1	f81v	ly dsheol oiiin olkeedy	L+Y | SH+E+OL | IIN | SOLK+EE+CLOSE	NONE	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Gefäß bereit, lass den Posten kurz weiter ruhen, bringe ihn auf Sollstufe, sammle länger und schließe.
B1-S019	B1	f81v	tedy	SHED+E+CLOSE	NONE	Im gemeinsamen zweireihigen Figurenbecken: Lass absetzen und schließe
B1-S020	B1	f81v	cheky shckhedy	CHK+E+Y | CKHE+CLOSE	NONE	Im gemeinsamen zweireihigen Figurenbecken: Wärme kurz, seih und schließe
B1-S021	B1	f81v	chal	AL	NONE	Im gemeinsamen zweireihigen Figurenbecken: Führe den Posten dorthin
B2-S001	B2	f82r	dchedy	CHD+CLOSE	NONE	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Setze um und schließe.
B2-S002	B2	f82r	qolchedy	OL+CHD+CLOSE	NONE	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Führe weiter und schließe.
B2-S003	B2	f82r	qokain dy qokeedy	OK+AIN | Y | OK+EE+CLOSE	NONE	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Gib eine Portion zu, setze den Posten länger an und schließe.
B2-S004	B2	f82r	qokal lcheckhy lched qokeey lcheckhedy	OK+AL | L+CKH+Y | L+CHD | OK+EE+Y | L+CKHE+CLOSE	NONE	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Setze dort an, leite durch den Ausgang, führe ab, setze länger an, seih ab und schließe.
B2-S005	B2	f82r	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	OK+AL+Y | SOLK+AIIN | CKH+Y | OK+AIIN | OK+AIIN | CTH+OL | CHK+EE+Y | L+CLOSE	NONE	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Setze diesen Posten dort an, sammle bis zum Sollmaß, leite durch, stelle das Sollmaß ein, führe bereit weiter, wärme länger, ziehe ab und schließe.
B2-S006	B2	f82r	oteey qokal sheckhy qoky	OT+EE+Y | OK+AL | CKH+E+Y | OK+Y	NONE	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Nimm den langen Folgeposten, setze ihn dort an, leite ihn kurz durch und setze den Posten an.
B2-S007	B2	f82r	dshedy	SHED+E+CLOSE	NONE	Für die Charge des linken Mittelgeräts mit seinem Einzelknoten: Gib dem weitergeführten Überlaufposten Frischwasser zu und schließe.
B2-S008	B2	f82r	sotaiin qokar shedy	OT+AIIN | OK+AR | SHED+E+CLOSE	NONE	Für die Charge des linken Mittelgeräts mit seinem Einzelknoten: Stelle das Folgemaß ein, setze daraus an, lass absetzen und schließe.
B2-S009	B2	f82r	solshedy	OL+SHED+CLOSE	NONE	Für die Charge des linken Mittelgeräts mit seinem Einzelknoten: Lass weiter absetzen und schließe.
B2-S010	B2	f82r	qokeey qoky ls cheey	OK+EE+Y | OK+Y | L | CHEEY	NONE	Für die Charge des linken Mittelgeräts mit seinem Einzelknoten: Setze länger an, führe den Posten durch den Auslass und nimm den Klarlauf.
B2-S011	B2	f82r	okain char okain qokeedy	OK+AIN | AR | OK+AIN | OK+EE+CLOSE	NONE	Für die liegende Figur im kleinen Becken: Nimm aus dem gesetzten Ansatz eine Portion, gib eine weitere Portion zu, lasse sie länger einwirken und schließe den Schritt.
B2-S012	B2	f82r	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	L+Y | CHEEY | CTH+E+Y | OK+EE+Y | L+CHEEY | AIIN | Y | OK+EEE+CLOSE	OC01_REVERSE	Ziehe den Anwendungsanteil aus dem kleinen Liegebecken ab. Wechsle ohne behauptete Leitungsverbindung zum grünen Mehrpersonenbecken: Nimm dort den Klarlauf, halte ihn kurz bereit, setze ihn länger an, führe ihn nach Sollmaß ab, vollende den Posten und schließe.
B2-S013	B2	f82r	lchedy	L+CHD+CLOSE	NONE	Für den Ansatz des grünen Mehrpersonenbeckens: Führe ab und schließe.
B2-S014	B2	f82r	lar	L+AR	NONE	Für den Ansatz des grünen Mehrpersonenbeckens: Führe von dort ab.
B2-S015	B2	f82r	tshey qokeedy	CHEEY | OK+EE+CLOSE	NONE	Für die Rand- und Servicebadansatz des unteren Beckens: Halte den vorigen Ablauf geschlossen, gib den Klarlauf zu, setze länger an und schließe.
B2-S016	B2	f82r	cheal lchedar ches aiin oteey qokaiin okey pchedy	AL | L+CHD+AR | PARTITION | AIIN | OT+EE+Y | OK+AIIN | OK+E+Y | P+CHD+CLOSE	NONE	Für die Rand- und Servicebadansatz des unteren Beckens: Führe ihn dorthin und von dort ab, teile gleich, stelle das Sollmaß ein, nimm den langen Folgeposten, setze kurz an, führe ein und schließe.
B2-S017	B2	f82r	rsheal daldy	SH+E+AL | AL+CLOSE	NONE	Für die Rand- und Servicebadansatz des unteren Beckens: Lass den Posten kurz am Ziel ruhen, schließe die Nebenöffnung und beende den Schritt.
B2-S018	B2	f82r	qokeedy	OK+EE+CLOSE	NONE	Für die Rand- und Servicebadansatz des unteren Beckens: Setze länger an und schließe.
B2-S019	B2	f82r	rshedy	WASH+CLOSE	NONE	Für die Rand- und Servicebadansatz des unteren Beckens: Führe den Waschgang aus und schließe.
B2-S020	B2	f82r	qoteedy	OT+EE+CLOSE	NONE	Für die Rand- und Servicebadansatz des unteren Beckens: Nimm die lange Folge und schließe.
B2-S021	B2	f82r	qokeedy	OK+EE+CLOSE	NONE	Für die Rand- und Servicebadansatz des unteren Beckens: Setze länger an und schließe.
B2-S022	B2	f82r	lochedy	L+CHD+CLOSE	NONE	Für die Rand- und Servicebadansatz des unteren Beckens: Führe den Rest ab und schließe.
B3-S001	B3	f83r	olkeedy	SOLK+EE+CLOSE	NONE	Für die Charge der oberen offenen Fächerstation: Sammle länger und schließe.
B3-S002	B3	f83r	qotal chkeedy	OT+AL | CHK+EE+CLOSE	NONE	Für die Charge der oberen offenen Fächerstation: Führe danach dorthin, wärme länger und schließe.
B3-S003	B3	f83r	chey daiin chey lchedy	Y | AIIN | Y | L+CHD+CLOSE	OC01_FORWARD|OC01_REVERSE	Für die Charge der oberen offenen Fächerstation: Nimm den aktuellen Posten nach Sollmaß, führe ihn ab und schließe.
B3-S004	B3	f83r	qokaiin qotal dar	OK+AIIN | OT+AL | AR	NONE	Für die Charge der oberen offenen Fächerstation: Stelle das Sollmaß ein, führe danach dorthin und nimm daraus.
B3-S005	B3	f83r	schedy	CHD+CLOSE	NONE	Für die Charge des runden Randgefäßes: Setze die entnommene Sollmaßportion um und schließe.
B3-S006	B3	f83r	chedchy qokal olchedy	CHD+Y | OK+AL | OL+CHD+CLOSE	NONE	Für die Charge des runden Randgefäßes: Setze dorthin um, führe weiter und schließe.
B3-S007	B3	f83r	qokaiin chedy qokeedy	OK+AIIN | CHD+Y | OK+EE+CLOSE	NONE	Für die Charge des runden Randgefäßes: Stelle das Sollmaß ein, setze um, setze länger an und schließe.
B3-S008	B3	f83r	lchedy	L+CHD+CLOSE	NONE	Für die Charge des runden Randgefäßes: Führe ab und schließe.
B3-S009	B3	f83r	qoky	OK+Y	NONE	Für die Charge des runden Randgefäßes: Setze den Posten an.
B3-S010	B3	f83r	pchedal otedy	P+CHD+AL | OT+E+CLOSE	NONE	Für die Charge des unteren Korb-/Randgefäßes: Führe den angesetzten Posten am Einlass zu, nimm die kurze Folge und schließe.
B3-S011	B3	f83r	shecthedchy qoky chedy chary	CTH+CHD+Y | OK+Y | CHD+Y | AR+Y	NONE	Für die Charge des unteren Korb-/Randgefäßes: Setze den bereiten Posten um, setze ihn an, setze erneut um und nimm daraus den folgenden Posten.
B3-S012	B3	f83r	sor shedy	OR | SHED+E+CLOSE	NONE	Für die Charge des unteren Korb-/Randgefäßes: Lass den aufgestrichenen und abgekühlten Ansatz absetzen und schließe.
B3-S013	B3	f83r	qokaiin chkain shcthey qokedy	OK+AIIN | AIN | CTH+E+Y | OK+E+CLOSE	NONE	Für die Charge des unteren Korb-/Randgefäßes: Stelle das Sollmaß ein, nimm eine Portion, halte kurz bereit, setze kurz an und schließe.
B3-S014	B3	f83r	okair sheedy	OK+AIR | SHED+EE+CLOSE	NONE	Für die Charge des unteren Korb-/Randgefäßes: Lass Wasser ein, lass länger absetzen und schließe.
B3-S015	B3	f83r	lchedy	L+CHD+CLOSE	NONE	Für die Charge des unteren Korb-/Randgefäßes: Führe ab und schließe.
B3-S016	B3	f83r	lo qokchedy	L | OK+CHD+CLOSE	NONE	Führe die Charge des unteren Korbgefäßes ab. Beginne jenseits der Bildlücke einen eigenen Übergangsansatz, setze ihn um und schließe; die Lücke ist keine Leitung.
B3-S017	B3	f83r	qokeedy	OK+EE+CLOSE	NONE	Den örtlichen Übergangsansatz länger ansetzen und schließen.
B3-S018	B3	f83r	shedy	SHED+E+CLOSE	NONE	Den örtlichen Übergangsansatz kurz absetzen lassen und schließen.
B3-S019	B3	f83r	qokshedy	OK+SHED+CLOSE	NONE	Den örtlichen Übergangsansatz ansetzen, absetzen lassen und schließen.
B3-S020	B3	f83r	dal lchedy	AL | L+CHD+CLOSE	NONE	Den örtlichen Übergangsansatz zur im Exemplar bezeichneten Stelle führen, dort abführen und schließen.
B3-S021	B3	f83r	qokaiin shcthy dal sy saiin shedal shecthy chey tal shcthy dalchdy	OK+AIIN | CTH+Y | AL | Y | AIIN | SHED+AL | CTH+E+Y | Y | AL | CTH+Y | AL+CHD+CLOSE	OC01_FORWARD	Am örtlichen Übergangsansatz das Sollmaß einstellen, ihn am bezeichneten Platz bereithalten, dort absetzen lassen, kurz prüfen, erneut bereitstellen, umsetzen und schließen.
B3-S022	B3	f83r	qotchedy	OT+CHD+CLOSE	NONE	Danach den nächsten Übergangsansatz umsetzen und schließen.
B3-S023	B3	f83r	lchedy	L+CHD+CLOSE	NONE	Den Übergangsansatz abführen und schließen.
B3-S024	B3	f83r	tchedy	CHD+CLOSE	NONE	Den Übergangsansatz umsetzen und schließen.
B3-S025	B3	f83r	qokchdy	OK+CHD+CLOSE	NONE	Den nächsten Übergangsansatz ansetzen, umsetzen und schließen.
B3-S026	B3	f83r	cheedar chldaiin chedy qokain checthy chealror solkeedy	CHD+AR | SHED+AIIN | CHD+Y | OK+AIN | CTH+Y | AL+OR | SOLK+EE+CLOSE	NONE	Den vorbereiteter Badansatz von seinem gesetzten Ort umsetzen, bis zum Sollmaß absetzen lassen, erneut umsetzen, eine Portion zugeben und bereit halten. Dann ohne behauptete Leitung zum sichtbar gekoppelten behandelte Hauptpaar wechseln, den eingehenden Ansatz dort länger sammeln und schließen.
B3-S027	B3	f83r	qoteedy	OT+EE+CLOSE	NONE	Für den Ansatz des sichtbar gekoppelten behandelten behandelte Hauptpaars: Nimm die lange Folge und schließe.
B3-S028	B3	f83r	qokeey qokedy	OK+EE+Y | OK+E+CLOSE	NONE	Für den Ansatz des sichtbar gekoppelten behandelten behandelte Hauptpaars: Setze länger, dann kurz an und schließe.
B3-S029	B3	f83r	sol cheeety qokedy	OL | EEE+TY | OK+E+CLOSE	NONE	Für den Ansatz des sichtbar gekoppelten behandelten behandelte Hauptpaars: Führe weiter, nimm den ganzen Teilposten, setze kurz an und schließe.
B3-S030	B3	f83r	qoky saiin schedair otchedy	OK+Y | AIIN | AIR | OT+CHD+CLOSE	NONE	Für den Ansatz des sichtbar gekoppelten behandelten behandelte Hauptpaars: Setze den Posten nach Sollmaß an, leite Wasser weiter, führe die Folgeumsetzung aus und schließe.
B3-S031	B3	f83r	qokeedy	OK+EE+CLOSE	NONE	Für den Ansatz des sichtbar gekoppelten behandelten behandelte Hauptpaars: Setze länger an und schließe.
B3-S032	B3	f83r	chedain chedy qotedaiin otaiin otedy	CHD+AIN | CHD+Y | OT+E+AIIN | OT+AIIN | OT+E+CLOSE	NONE	Für den Ansatz des sichtbar gekoppelten behandelten behandelte Hauptpaars: Setze eine Portion um, stelle ein kurzes Folgemaß und danach das Folgemaß ein, führe die kurze Folge aus und schließe.
B3-S033	B3	f83r	ldy	L+CLOSE	NONE	Für den Ansatz des sichtbar gekoppelten behandelten behandelte Hauptpaars: Ziehe ab und schließe.
B3-S034	B3	f83r	soiiin checthy chety otaiin olsaly shedy	IIN | CTH+Y | PARTITION+TY | OT+AIIN | AL+Y | SHED+E+CLOSE	NONE	Für den Ansatz des sichtbar gekoppelten behandelten behandelte Hauptpaars: Bringe auf Sollstufe, halte bereit, trenne einen Teil ab, stelle das Folgemaß ein, führe zur unteren Zielstelle, lass absetzen und schließe.
B4-S001	B4	f83r	qokeedy	OK+EE+CLOSE	NONE	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze länger an und schließe
B4-S002	B4	f83r	qolchey qokeey qokedy	OL+Y | OK+EE+Y | OK+E+CLOSE	NONE	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Führe diesen Posten weiter, setze ihn länger und dann kurz an und schließe.
B4-S003	B4	f83r	chedy otal otchey qokeey qoky tol shedy	CHD+Y | OT+AL | OT+Y | OK+EE+Y | OK+Y | OL | SHED+E+CLOSE	OC05_FORWARD	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze um, führe danach dorthin, wähle den Folgeposten, setze länger an, führe weiter, lass absetzen und schließe
B4-S004	B4	f83r	qokylddy	OK+Y+LDDY	NONE	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Befestige den Posten und schließe
B4-S005	B4	f83r	dain chedy qokeedy	DAIN | CHD+Y | OK+EE+CLOSE	NONE	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Lege das Tuch ein, setze um, setze länger an und schließe
B4-S006	B4	f83r	shckhedy	CKHE+CLOSE	NONE	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Seih und schließe
B4-S007	B4	f83r	shckhedy	CKHE+CLOSE	NONE	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Seih und schließe
B4-S008	B4	f83r	saiin cheeky sheey qokedy	AIIN | CHK+EE+Y | SH+EE+Y | OK+E+CLOSE	NONE	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Stelle das Sollmaß ein, wärme länger, lass länger ruhen, setze kurz an und schließe.
B4-S009	B4	f83r	shedy	SHED+E+CLOSE	NONE	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Lass absetzen und schließe
B4-S010	B4	f83r	oldy	OL+CLOSE	NONE	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Führe weiter und schließe
B4-S011	B4	f83r	saiin cheky okeeol okain chdy sol lkedy	AIIN | CHK+E+Y | OK+EE+OL | OK+AIN | CHD+Y | OL | L+E+CLOSE	OC06_FORWARD	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Stelle das Sollmaß ein, wärme kurz, führe länger fort, gib eine Portion zu, setze um, führe weiter, wasche nach und schließe
B4-S012	B4	f83r	lchedy	L+CHD+CLOSE	NONE	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Führe ab und schließe
B4-S013	B4	f83r	qokol shedy	OK+OL | SHED+E+CLOSE	NONE	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze die Fortsetzung ein, lass absetzen und schließe
B4-S014	B4	f83r	or chey qockhey dairydy	OR | Y | OK+CKH+E+Y | AIR+Y+CLOSE	OC02_FORWARD	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze den Ansatz in einen kurzen Durchlauf, schließe den Wasserlauf und beende den Schritt.
B4-S015	B4	f83r	qokain shey kain chckhal solkey lchedy	OK+AIN | CHEEY | AIN | CKH+AL | SOLK+E+Y | L+CHD+CLOSE	NONE	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Gib eine Portion zu, nimm den Klarlauf, leite die Portion zur Zielstelle, sammle kurz, führe ab und schließe.
B4-S016	B4	f83r	qolkain dal skar shedy	OL+AIN | AL | SK+AR | SHED+E+CLOSE	OC07_FORWARD	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Gib eine weitere Portion dorthin, giesse sie von dort aus, lass absetzen und schließe.
B5-S001	B5	f83r	otchdy	OT+CHD+CLOSE	NONE	An der linken figurenlosen Dienststation: Führe die Folgeumsetzung aus und schließe
B5-S002	B5	f83r	qokchdy	OK+CHD+CLOSE	NONE	An der linken figurenlosen Dienststation: Setze um und schließe
B5-S003	B5	f83r	shedal dal cheol lol chdal aiin sol daiiin chedy	SHED+AL | AL | OL | L+OL | CHD+AL | AIIN | OL | IIN | CHD+Y	OC03_FORWARD	An der linken figurenlosen Dienststation: Lass dort absetzen, führe dorthin und weiter, führe von dort weiter, setze dort um, stelle das Sollmaß ein und setze weiter um.
B6-S001	B6	f83r	solkeey qekey raly ol daiin ol dain chey ldalor	SOLK+EE+Y | KCH+E+Y | AL+Y | OL | AIIN | OL | DAIN | Y | AL	NONE	An der rechten figurenlosen Dienststation: Sammle den rohen Posten länger, führe diesen Posten dorthin, stelle das Sollmaß ein, lege das Tuch ein und führe den Posten zum Endziel.
