surface	default_de	rival_1_de	rival_2_de	confidence_0_100_not_probability	confidence_label	lineage_sources	lineage_decision
chodal	trockenes Material I im Ansatz	trockener Drogenposten	Trocken-/Anfangsfeld I	40	C0_WHOLE_ANALOGY	GDT734|GDT788	FORM_SPECIFIC_WHOLE_ANALOGY_NO_COMPONENT_EXPORT
pchedal	trockenes Material I, abgemessen	abgeteilte Trockendrogenportion I	Trocken-/Mengenfeld I	42	C0_WHOLE_ANALOGY	GDT734|GDT788	FORM_SPECIFIC_WHOLE_ANALOGY_NO_COMPONENT_EXPORT
otedal	gekühltes Material I, abgemessen; Mittelstufe	abgekühlter Arzneiextrakt	Kälte-/Mittelstufenfeld I	38	C0_WHOLE_ANALOGY	GDT734|GDT788	FORM_SPECIFIC_WHOLE_ANALOGY_NO_COMPONENT_EXPORT
qokeedal	erhitztes Material I, abgemessen; Endstufe	eingekochte Arzneizubereitung	Wärme-/Endstufenfeld I	40	C0_WHOLE_ANALOGY	GDT734|GDT788	FORM_SPECIFIC_WHOLE_ANALOGY_NO_COMPONENT_EXPORT
sheodal	feuchtes Ansatzmaterial I, abgemessen	mazerierte Arzneizubereitung	Feuchte-/Mengenfeld I	38	C0_WHOLE_ANALOGY	GDT734|GDT788	FORM_SPECIFIC_WHOLE_ANALOGY_NO_COMPONENT_EXPORT
todal	gekühltes Material I, abgemessen	abgekühlte Zubereitung I	Kälte-/Wertfeld I	36	C0_WHOLE_ANALOGY	GDT734|GDT788	FORM_SPECIFIC_WHOLE_ANALOGY_NO_COMPONENT_EXPORT
cthodal	aufbereitetes Material I, abgemessen	fertige Drogenzubereitung	Ergebnis-/Wertfeld I	30	C0_WHOLE_ANALOGY	GDT734|GDT788	FORM_SPECIFIC_WHOLE_ANALOGY_NO_COMPONENT_EXPORT
keedal	erhitztes Material I, abgemessen; Endstufe	eingedickte Abkochung	Wärme-/Endfeld I	34	C0_WHOLE_ANALOGY	GDT734|GDT788	FORM_SPECIFIC_WHOLE_ANALOGY_NO_COMPONENT_EXPORT
lkedal	erhitzter Materialposten I	fertige Zubereitung I	Wärme-/Mengenfeld I	30	C0_WHOLE_ANALOGY	GDT734|GDT788	FORM_SPECIFIC_WHOLE_ANALOGY_NO_COMPONENT_EXPORT
okedal	erhitztes Ansatzmaterial I, abgemessen	eingekochter Arzneiansatz	Wärme-/Wertfeld I	32	C0_WHOLE_ANALOGY	GDT734|GDT788	FORM_SPECIFIC_WHOLE_ANALOGY_NO_COMPONENT_EXPORT
oteedal	gekühltes Material I, abgemessen; Endstufe	abgekühlte Fertigarznei	Kälte-/Endfeld I	34	C0_WHOLE_ANALOGY	GDT734|GDT788	FORM_SPECIFIC_WHOLE_ANALOGY_NO_COMPONENT_EXPORT
oteodal	gekühltes Ansatzmaterial I, abgemessen	kalter Arzneiextrakt	Kälte-/Ergebnisfeld I	32	C0_WHOLE_ANALOGY	GDT734|GDT788	FORM_SPECIFIC_WHOLE_ANALOGY_NO_COMPONENT_EXPORT
qokedal	erhitztes Ansatzmaterial I, abgemessen	gekochte Arzneimischung	Wärme-/Wertfeld I	34	C0_WHOLE_ANALOGY	GDT734|GDT788	FORM_SPECIFIC_WHOLE_ANALOGY_NO_COMPONENT_EXPORT
teodal	gekühltes Ansatzmaterial I, abgemessen	abgekühlter Arzneiextrakt	Kälte-/Ergebnisfeld I	32	C0_WHOLE_ANALOGY	GDT734|GDT788	FORM_SPECIFIC_WHOLE_ANALOGY_NO_COMPONENT_EXPORT
ydal	Materialposten I, Grundform, abgemessen	Drogenposten in Grundform	Material-/Formfeld I	34	C0_WHOLE_ANALOGY	GDT734|GDT788	FORM_SPECIFIC_WHOLE_ANALOGY_NO_COMPONENT_EXPORT
choldal	trockenes Drogenmaterial I, abgemessen	geröstete Pflanzendroge	Trocken-/Mengenfeld I	32	C0_BOUNDARY_BRIDGE_WHOLE	GDT788	BOUNDARY_MOBILE_WHOLE_C0
daldal	gekoppelter Materialposten I, abgemessen	zwei Materialmengen I	Mengen-/Wertdoppelmarke	28	C0_FORMAL_REPETITION_WHOLE	GDT788	FORMAL_REPETITION_WHOLE_C0
oidal	Material I, abgemessen	Materialansatz I	Mengen-/Wertfeld I	18	C0_RAW_READER_WARNING	GDT734|GDT788	RAW_READER_WARNING_ONLY
lkchdal	erhitztes Trockenmaterial I, abgemessen	getrockneter Drogenposten	Wärme-/Trockenfeld I	14	C0_RAW_READER_WARNING	GDT734|GDT788	RAW_READER_WARNING_ONLY
otydal	gekühltes Material I, abgemessen; Endstufe	kalte Fertigzubereitung	Kälte-/Endfeld I	14	C0_RAW_READER_WARNING	GDT734|GDT788	RAW_READER_WARNING_ONLY
