gdt513_local_id	source_event_id	physical_page	source_panel	register	locus	source_order	owner_de	surface	component_recipe	component_atom_count	portable_core_atoms	formal_or_local_atoms	legacy_structural_atoms	unresolved_atoms	component_trace_de	record_role	default_working_reading_de	running_support_tier	running_surface_event_count	running_surface_recipe_count	running_surface_recipes	running_recipe_event_count	running_recipe_surface_count	running_recipe_pages	local_leaveout_class	other_local_surface_pages	other_local_recipe_pages	gdt405_lock_contact	gdt405_locked_recipe	gdt405_lock_alignment	future_batch_recipe_policy	formula_hypothesis_signal	nomenclator_hypothesis_signal	record_hypothesis_signal	renderer_hypothesis_signal	mixed_model_assignment	meaning_status	portable_meaning_changed	structural_tag_promoted_to_word	guard
G513-L011	P912-E1759	f67r2	f67r2	CELESTIAL	f67r2.4	614	zwei lokale Himmelsraeder	sykos	S+Y+K+O+S_ADDR	5	S+Y+K	O+S_ADDR	NONE	NONE	WÄHLEN · POSTEN · GEBEN · [O:STEUERUNG=AUSFÜHRUNG] · [S_ADDR:LOKALSTRUKTUR=HIER]	ORDERED_INSTRUCTION_CARD	ANWEISUNG BEI zwei lokale Himmelsraeder: WÄHLEN · POSTEN · GEBEN · [O:STEUERUNG=AUSFÜHRUNG] · [S_ADDR:LOKALSTRUKTUR=HIER]	F_PAGE_PRIVATE_VISIBLE_COMPOSITION	0	0	NONE	0	0	NONE	PAGE_PRIVATE_LOCAL_COPY_ALLOWED	NONE	NONE	NO	NONE	NOT_IN_GDT405_LOCK	NEW_SURFACE_USE_VISIBLE_LOCKED_ATOMS	YES	YES	YES	NO	ORDERED_INSTRUCTION_CARD	COMPLETE_WORKING_COMPONENT_READING	NO	NO	WORKING_COMPONENT_AND_STRUCTURAL_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME
G513-L012	P912-E1760	f67r2	f67r2	CELESTIAL	f67r2.5	615	zwei lokale Himmelsraeder	ykeody	Y+K+E+O+DY	5	Y+K	E+O+DY	NONE	NONE	POSTEN · GEBEN · [E:STEUERUNG=GRAD I] · [O:STEUERUNG=AUSFÜHRUNG] · [DY:STEUERUNG=SCHLUSS]	ORDERED_INSTRUCTION_CARD	ANWEISUNG BEI zwei lokale Himmelsraeder: POSTEN · GEBEN · [E:STEUERUNG=GRAD I] · [O:STEUERUNG=AUSFÜHRUNG] · [DY:STEUERUNG=SCHLUSS]	A_EXACT_RUNNING_SURFACE_RECIPE	1	1	Y+K+E+O+DY	1	1	f89r	EXACT_LOCAL_SURFACE_OTHER_PAGE	f69v|f70v	f69v|f70v	NO	NONE	NOT_IN_GDT405_LOCK	NEW_SURFACE_USE_VISIBLE_LOCKED_ATOMS	YES	NO	YES	NO	ORDERED_INSTRUCTION_CARD	COMPLETE_WORKING_COMPONENT_READING	NO	NO	WORKING_COMPONENT_AND_STRUCTURAL_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME
G513-L013	P912-E1761	f67r2	f67r2	CELESTIAL	f67r2.5	616	zwei lokale Himmelsraeder	okchy	OK+Y	2	OK+Y	NONE	NONE	NONE	SETZEN · POSTEN	ORDERED_INSTRUCTION_CARD	ANWEISUNG BEI zwei lokale Himmelsraeder: SETZEN · POSTEN	A_EXACT_RUNNING_SURFACE_RECIPE	3	1	OK+Y	59	8	f10r|f13r|f17r|f18r|f1r|f55v|f56r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	LOCAL_RECIPE_SHAPE_OTHER_PAGE	NONE	f68r1|f69v|f70v	NO	NONE	NOT_IN_GDT405_LOCK	NEW_SURFACE_USE_VISIBLE_LOCKED_ATOMS	YES	NO	YES	NO	ORDERED_INSTRUCTION_CARD	COMPLETE_WORKING_COMPONENT_READING	NO	NO	WORKING_COMPONENT_AND_STRUCTURAL_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME
G513-L014	P912-E1762	f67r2	f67r2	CELESTIAL	f67r2.6	617	zwei lokale Himmelsraeder	dchetay	D_ADDR+CH+E+T+A_ADDR+Y	6	CH+T+Y	D_ADDR+E+A_ADDR	NONE	NONE	[D_ADDR:LOKALSTRUKTUR=HIER] · NEHMEN · [E:STEUERUNG=GRAD I] · EINSTELLEN · [A_ADDR:LOKALSTRUKTUR=HIER] · POSTEN	ORDERED_INSTRUCTION_CARD	ANWEISUNG BEI zwei lokale Himmelsraeder: [D_ADDR:LOKALSTRUKTUR=HIER] · NEHMEN · [E:STEUERUNG=GRAD I] · EINSTELLEN · [A_ADDR:LOKALSTRUKTUR=HIER] · POSTEN	F_PAGE_PRIVATE_VISIBLE_COMPOSITION	0	0	NONE	0	0	NONE	PAGE_PRIVATE_LOCAL_COPY_ALLOWED	NONE	NONE	NO	NONE	NOT_IN_GDT405_LOCK	NEW_SURFACE_USE_VISIBLE_LOCKED_ATOMS	YES	YES	YES	NO	ORDERED_INSTRUCTION_CARD	COMPLETE_WORKING_COMPONENT_READING	NO	NO	WORKING_COMPONENT_AND_STRUCTURAL_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME
G513-L015	P912-E1763	f67r2	f67r2	CELESTIAL	f67r2.7	618	zwei lokale Himmelsraeder	ykchy	Y+K+Y	3	Y+K+Y	NONE	NONE	NONE	POSTEN · GEBEN · POSTEN	ORDERED_INSTRUCTION_CARD	ANWEISUNG BEI zwei lokale Himmelsraeder: POSTEN · GEBEN · POSTEN	A_EXACT_RUNNING_SURFACE_RECIPE	3	1	Y+K+Y	4	2	f13r|f17r|f68r1	PAGE_PRIVATE_LOCAL_COPY_ALLOWED	NONE	NONE	NO	NONE	NOT_IN_GDT405_LOCK	NEW_SURFACE_USE_VISIBLE_LOCKED_ATOMS	YES	YES	YES	NO	ORDERED_INSTRUCTION_CARD	COMPLETE_WORKING_COMPONENT_READING	NO	NO	WORKING_COMPONENT_AND_STRUCTURAL_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME
G513-L016	P912-E1764	f67r2	f67r2	CELESTIAL	f67r2.7	619	zwei lokale Himmelsraeder	kchey	K+CH+E+Y	4	K+CH+Y	E	NONE	NONE	GEBEN · NEHMEN · [E:STEUERUNG=GRAD I] · POSTEN	ORDERED_INSTRUCTION_CARD	ANWEISUNG BEI zwei lokale Himmelsraeder: GEBEN · NEHMEN · [E:STEUERUNG=GRAD I] · POSTEN	A_EXACT_RUNNING_SURFACE_RECIPE	1	1	K+CH+E+Y	1	1	f56r	PAGE_PRIVATE_LOCAL_COPY_ALLOWED	NONE	NONE	NO	NONE	NOT_IN_GDT405_LOCK	NEW_SURFACE_USE_VISIBLE_LOCKED_ATOMS	YES	YES	YES	NO	ORDERED_INSTRUCTION_CARD	COMPLETE_WORKING_COMPONENT_READING	NO	NO	WORKING_COMPONENT_AND_STRUCTURAL_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME
G513-L017	P912-E1765	f67r2	f67r2	CELESTIAL	f67r2.7	620	zwei lokale Himmelsraeder	ykchys	Y+K+CH+Y+S	5	Y+K+CH+Y+S	NONE	NONE	NONE	POSTEN · GEBEN · NEHMEN · POSTEN · WÄHLEN	ORDERED_INSTRUCTION_CARD	ANWEISUNG BEI zwei lokale Himmelsraeder: POSTEN · GEBEN · NEHMEN · POSTEN · WÄHLEN	F_PAGE_PRIVATE_VISIBLE_COMPOSITION	0	0	NONE	0	0	NONE	PAGE_PRIVATE_LOCAL_COPY_ALLOWED	NONE	NONE	NO	NONE	NOT_IN_GDT405_LOCK	NEW_SURFACE_USE_VISIBLE_LOCKED_ATOMS	YES	YES	YES	NO	ORDERED_INSTRUCTION_CARD	COMPLETE_WORKING_COMPONENT_READING	NO	NO	WORKING_COMPONENT_AND_STRUCTURAL_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME
G513-L018	P912-E1766	f67r2	f67r2	CELESTIAL	f67r2.8	621	zwei lokale Himmelsraeder	chkchdar	CHK+CHD+AR	3	CHD+AR	CHK	CHK	NONE	[CHK:LOKALSTRUKTUR=BEDINGUNGSKLASSE] · BEARBEITEN · AUSGANG	ORDERED_INSTRUCTION_CARD	ANWEISUNG BEI zwei lokale Himmelsraeder: [CHK:LOKALSTRUKTUR=BEDINGUNGSKLASSE] · BEARBEITEN · AUSGANG	F_PAGE_PRIVATE_VISIBLE_COMPOSITION	0	0	NONE	0	0	NONE	PAGE_PRIVATE_LOCAL_COPY_ALLOWED	NONE	NONE	NO	NONE	NOT_IN_GDT405_LOCK	NEW_SURFACE_USE_VISIBLE_LOCKED_ATOMS	YES	YES	YES	NO	ORDERED_INSTRUCTION_CARD	COMPLETE_WORKING_COMPONENT_READING	NO	NO	WORKING_COMPONENT_AND_STRUCTURAL_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME
G513-L019	P912-E1767	f67r2	f67r2	CELESTIAL	f67r2.9	622	zwei lokale Himmelsraeder	ykar	Y+K+AR	3	Y+K+AR	NONE	NONE	NONE	POSTEN · GEBEN · AUSGANG	ORDERED_INSTRUCTION_CARD	ANWEISUNG BEI zwei lokale Himmelsraeder: POSTEN · GEBEN · AUSGANG	A_EXACT_RUNNING_SURFACE_RECIPE	3	1	Y+K+AR	3	1	f55v|f76r|f88r	EXACT_LOCAL_SURFACE_OTHER_PAGE	f69v	f69v	NO	NONE	NOT_IN_GDT405_LOCK	NEW_SURFACE_USE_VISIBLE_LOCKED_ATOMS	YES	NO	YES	NO	ORDERED_INSTRUCTION_CARD	COMPLETE_WORKING_COMPONENT_READING	NO	NO	WORKING_COMPONENT_AND_STRUCTURAL_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME
G513-L020	P912-E1768	f67r2	f67r2	CELESTIAL	f67r2.9	623	zwei lokale Himmelsraeder	ykaly	Y+K+AL+Y	4	Y+K+AL+Y	NONE	NONE	NONE	POSTEN · GEBEN · ZIELORT · POSTEN	ORDERED_INSTRUCTION_CARD	ANWEISUNG BEI zwei lokale Himmelsraeder: POSTEN · GEBEN · ZIELORT · POSTEN	A_EXACT_RUNNING_SURFACE_RECIPE	1	1	Y+K+AL+Y	1	1	f95v	PAGE_PRIVATE_LOCAL_COPY_ALLOWED	NONE	NONE	YES	Y+K+AL+Y	MATCHES_GDT405_LOCK	REPLAY_GDT405_LOCKED_RECIPE	YES	YES	YES	NO	ORDERED_INSTRUCTION_CARD	COMPLETE_WORKING_COMPONENT_READING	NO	NO	WORKING_COMPONENT_AND_STRUCTURAL_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME
G513-L021	P912-E1769	f67r2	f67r2	CELESTIAL	f67r2.10	624	zwei lokale Himmelsraeder	lkshy	L+K+SH+Y	4	L+K+SH+Y	NONE	NONE	NONE	VERBINDUNG · GEBEN · HALTEN · POSTEN	ORDERED_INSTRUCTION_CARD	ANWEISUNG BEI zwei lokale Himmelsraeder: VERBINDUNG · GEBEN · HALTEN · POSTEN	F_PAGE_PRIVATE_VISIBLE_COMPOSITION	0	0	NONE	0	0	NONE	PAGE_PRIVATE_LOCAL_COPY_ALLOWED	NONE	NONE	NO	NONE	NOT_IN_GDT405_LOCK	NEW_SURFACE_USE_VISIBLE_LOCKED_ATOMS	YES	YES	YES	NO	ORDERED_INSTRUCTION_CARD	COMPLETE_WORKING_COMPONENT_READING	NO	NO	WORKING_COMPONENT_AND_STRUCTURAL_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME
G513-L022	P912-E1770	f67r2	f67r2	CELESTIAL	f67r2.10	625	zwei lokale Himmelsraeder	kchy	K+Y	2	K+Y	NONE	NONE	NONE	GEBEN · POSTEN	ORDERED_INSTRUCTION_CARD	ANWEISUNG BEI zwei lokale Himmelsraeder: GEBEN · POSTEN	A_EXACT_RUNNING_SURFACE_RECIPE	4	1	K+Y	7	2	f11r|f13r|f1r|f76r|f81v|f89r	PAGE_PRIVATE_LOCAL_COPY_ALLOWED	NONE	NONE	YES	K+Y	MATCHES_GDT405_LOCK	REPLAY_GDT405_LOCKED_RECIPE	YES	YES	YES	NO	ORDERED_INSTRUCTION_CARD	COMPLETE_WORKING_COMPONENT_READING	NO	NO	WORKING_COMPONENT_AND_STRUCTURAL_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME
G513-L023	P912-E1771	f67r2	f67r2	CELESTIAL	f67r2.10	626	zwei lokale Himmelsraeder	okar	OK+AR	2	OK+AR	NONE	NONE	NONE	SETZEN · AUSGANG	ORDERED_INSTRUCTION_CARD	ANWEISUNG BEI zwei lokale Himmelsraeder: SETZEN · AUSGANG	A_EXACT_RUNNING_SURFACE_RECIPE	19	1	OK+AR	39	3	f55v|f56r|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f88v|f89r|f95v	EXACT_LOCAL_SURFACE_OTHER_PAGE	f69v	f69v	YES	OK+AR	MATCHES_GDT405_LOCK	REPLAY_GDT405_LOCKED_RECIPE	YES	NO	YES	NO	ORDERED_INSTRUCTION_CARD	COMPLETE_WORKING_COMPONENT_READING	NO	NO	WORKING_COMPONENT_AND_STRUCTURAL_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME
G513-L024	P912-E1772	f67r2	f67r2	CELESTIAL	f67r2.11	627	zwei lokale Himmelsraeder	chky	CHK+Y	2	Y	CHK	CHK	NONE	[CHK:LOKALSTRUKTUR=BEDINGUNGSKLASSE] · POSTEN	COORDINATE_OR_CATALOGUE_CARD	KOORDINATE/KATALOGEINTRAG BEI zwei lokale Himmelsraeder: [CHK:LOKALSTRUKTUR=BEDINGUNGSKLASSE] · POSTEN	C_RUNNING_SURFACE_DIFFERENT_LOCAL_PARSE	1	1	CH+K+Y	0	0	NONE	PAGE_PRIVATE_LOCAL_COPY_ALLOWED	NONE	NONE	NO	NONE	NOT_IN_GDT405_LOCK	NEW_SURFACE_USE_VISIBLE_LOCKED_ATOMS	YES	YES	YES	NO	COORDINATE_OR_CATALOGUE_CARD	COMPLETE_WORKING_COMPONENT_READING	NO	NO	WORKING_COMPONENT_AND_STRUCTURAL_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME
G513-L025	P912-E1773	f67r2	f67r2	CELESTIAL	f67r2.11	628	zwei lokale Himmelsraeder	chykchs	CH+Y+K+CH+S	5	CH+Y+K+CH+S	NONE	NONE	NONE	NEHMEN · POSTEN · GEBEN · NEHMEN · WÄHLEN	ORDERED_INSTRUCTION_CARD	ANWEISUNG BEI zwei lokale Himmelsraeder: NEHMEN · POSTEN · GEBEN · NEHMEN · WÄHLEN	F_PAGE_PRIVATE_VISIBLE_COMPOSITION	0	0	NONE	0	0	NONE	PAGE_PRIVATE_LOCAL_COPY_ALLOWED	NONE	NONE	NO	NONE	NOT_IN_GDT405_LOCK	NEW_SURFACE_USE_VISIBLE_LOCKED_ATOMS	YES	YES	YES	NO	ORDERED_INSTRUCTION_CARD	COMPLETE_WORKING_COMPONENT_READING	NO	NO	WORKING_COMPONENT_AND_STRUCTURAL_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME
G513-L026	P912-E1774	f67r2	f67r2	CELESTIAL	f67r2.11	629	zwei lokale Himmelsraeder	chy	Y	1	Y	NONE	NONE	NONE	POSTEN	COORDINATE_OR_CATALOGUE_CARD	KOORDINATE/KATALOGEINTRAG BEI zwei lokale Himmelsraeder: POSTEN	A_EXACT_RUNNING_SURFACE_RECIPE	21	1	Y	183	7	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	EXACT_LOCAL_SURFACE_OTHER_PAGE	f69v|f70v	f69v|f70v	YES	Y	MATCHES_GDT405_LOCK	REPLAY_GDT405_LOCKED_RECIPE	YES	NO	YES	NO	COORDINATE_OR_CATALOGUE_CARD	COMPLETE_WORKING_COMPONENT_READING	NO	NO	WORKING_COMPONENT_AND_STRUCTURAL_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME
G513-L027	P912-E1775	f67r2	f67r2	CELESTIAL	f67r2.12	630	zwei lokale Himmelsraeder	ykees	Y+K+EE+S	4	Y+K+S	EE	NONE	NONE	POSTEN · GEBEN · [EE:STEUERUNG=GRAD II] · WÄHLEN	ORDERED_INSTRUCTION_CARD	ANWEISUNG BEI zwei lokale Himmelsraeder: POSTEN · GEBEN · [EE:STEUERUNG=GRAD II] · WÄHLEN	F_PAGE_PRIVATE_VISIBLE_COMPOSITION	0	0	NONE	0	0	NONE	PAGE_PRIVATE_LOCAL_COPY_ALLOWED	NONE	NONE	NO	NONE	NOT_IN_GDT405_LOCK	NEW_SURFACE_USE_VISIBLE_LOCKED_ATOMS	YES	YES	YES	NO	ORDERED_INSTRUCTION_CARD	COMPLETE_WORKING_COMPONENT_READING	NO	NO	WORKING_COMPONENT_AND_STRUCTURAL_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME
G513-L028	P912-E1776	f67r2	f67r2	CELESTIAL	f67r2.12	631	zwei lokale Himmelsraeder	ykchos	Y+K+CH+O+S	5	Y+K+CH+S	O	NONE	NONE	POSTEN · GEBEN · NEHMEN · [O:STEUERUNG=AUSFÜHRUNG] · WÄHLEN	ORDERED_INSTRUCTION_CARD	ANWEISUNG BEI zwei lokale Himmelsraeder: POSTEN · GEBEN · NEHMEN · [O:STEUERUNG=AUSFÜHRUNG] · WÄHLEN	F_PAGE_PRIVATE_VISIBLE_COMPOSITION	0	0	NONE	0	0	NONE	PAGE_PRIVATE_LOCAL_COPY_ALLOWED	NONE	NONE	NO	NONE	NOT_IN_GDT405_LOCK	NEW_SURFACE_USE_VISIBLE_LOCKED_ATOMS	YES	YES	YES	NO	ORDERED_INSTRUCTION_CARD	COMPLETE_WORKING_COMPONENT_READING	NO	NO	WORKING_COMPONENT_AND_STRUCTURAL_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME
