locus	page	section	currier	source_lattice_paths	selected_source	literal_decoded	normalized_plaintext_or_record	confidence	alternative_analysis	uncertainty_reason
f100r.24	f100r	P	A	f100r.24|P01|f100r.24|P02|f100r.24|P03	saiichor sheor qockhody odeor yksheey cholsheody sai cheol saiin	<saiichor> <sheor> <qockhody> <odeor> <yksheey> <cholsheody> <sai> ein <saiin>	<saiichor> <sheor> <qockhody> <odeor> <yksheey> <cholsheody> <sai> ein <saiin>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.25	f100r	P	A	f100r.25|P01	sheor qkeeody chol daiin ctheol olcheol cheky cheol cheockhy okeol	<sheor> <qkeeody> si daz <ctheol> <olcheol> <cheky> ein <cheockhy> <okeol>	<sheor> <qkeeody> si daz <ctheol> <olcheol> <cheky> ein <cheockhy> <okeol>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.26	f100r	P	A	f100r.26|P01|f100r.26|P02	yaiin chekeey chol cholody chos olchor qokeol okeeol cheols al	<yaiin> <chekeey> si <cholody> <chos> <olchor> <qokeol> <okeeol> <cheols> ir	<yaiin> <chekeey> si <cholody> <chos> <olchor> <qokeol> <okeeol> <cheols> ir	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.27	f100r	P	A	f100r.27|P01|f100r.27|P02	chol cheol cho chckheody otolchey	si ein <cho> <chckheody> <otolchey>	si ein <cho> <chckheody> <otolchey>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.3	f100r	P	A	f100r.3|P01	otear	<otear>	<otear>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.4	f100r	P	A	f100r.4|P01|f100r.4|P02	chofary	<chofary>	<chofary>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.5	f100r	P	A	f100r.5|P01|f100r.5|P02|f100r.5|P03	sar char daiindy	<sar> <char> <daiindy>	<sar> <char> <daiindy>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.6	f100r	P	A	f100r.6|P01|f100r.6|P02|f100r.6|P03	oraro	<oraro>	<oraro>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.7	f100r	P	A	f100r.7|P01|f100r.7|P02	chalsain	<chalsain>	<chalsain>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.8	f100r	P	A	f100r.8|P01	soity	<soity>	<soity>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.9	f100r	P	A	f100r.9|P01	sosam	<sosam>	<sosam>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100v.1	f100v	P	A	f100v.1|P01	tolchd	<tolchd>	<tolchd>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100v.10	f100v	P	A	f100v.10|P01	okcheor	<okcheor>	<okcheor>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100v.11	f100v	P	A	f100v.11|P01|f100v.11|P02	ytchol	<ytchol>	<ytchol>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100v.12	f100v	P	A	f100v.12|P01	dykchal	<dykchal>	<dykchal>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100v.13	f100v	P	A	f100v.13|P01|f100v.13|P02|f100v.13|P03	chos cthoral	<chos> <cthoral>	<chos> <cthoral>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100v.14	f100v	P	A	f100v.14|P01|f100v.14|P02|f100v.14|P03	cthdeecthy sheocphy qoteody ckhoor ar chor oteey daiin qokomo	<cthdeecthy> <sheocphy> <qoteody> <ckhoor> mit di <oteey> daz <qokomo>	<cthdeecthy> <sheocphy> <qoteody> <ckhoor> mit di <oteey> daz <qokomo>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100v.15	f100v	P	A	f100v.15|P01|f100v.15|P02|f100v.15|P03	sor cheey dair ol cheol qoolkeey chol cheey qokeol chotols	<sor> dem <dair> in ein <qoolkeey> si dem <qokeol> <chotols>	<sor> dem <dair> in ein <qoolkeey> si dem <qokeol> <chotols>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100v.16	f100v	P	A	f100v.16|P01|f100v.16|P02|f100v.16|P03	ykeeol chol chey eeoseeos sheeo okeol ches okeor okeol dy	<ykeeol> si des <eeoseeos> <sheeo> <okeol> <ches> <okeor> <okeol> do	<ykeeol> si des <eeoseeos> <sheeo> <okeol> <ches> <okeor> <okeol> do	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100v.17	f100v	P	A	f100v.17|P01|f100v.17|P02|f100v.17|P03	chockhey cholkcheol qokeol okol chol chotor chso solcthy	<chockhey> <cholkcheol> <qokeol> <okol> si <chotor> <chso> <solcthy>	<chockhey> <cholkcheol> <qokeol> <okol> si <chotor> <chso> <solcthy>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100v.18	f100v	P	A	f100v.18|P01|f100v.18|P02|f100v.18|P03	tocheo sol cheo cheeor odaidy ckhod sh chod qokeol sal	<tocheo> <sol> <cheo> <cheeor> <odaidy> <ckhod> <sh> <chod> <qokeol> <sal>	<tocheo> <sol> <cheo> <cheeor> <odaidy> <ckhod> <sh> <chod> <qokeol> <sal>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100v.19	f100v	P	A	f100v.19|P01|f100v.19|P02	sain cheokeos chockhy chocthey kchody chockhhor chckhey dan	<sain> <cheokeos> <chockhy> <chocthey> <kchody> <chockhhor> <chckhey> <dan>	<sain> <cheokeos> <chockhy> <chocthey> <kchody> <chockhhor> <chckhey> <dan>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100v.2	f100v	P	A	f100v.2|P01	chols	<chols>	<chols>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100v.20	f100v	P	A	f100v.20|P01|f100v.20|P02|f100v.20|P03	ycheoky shokeesy qokeey chokeol saraloaly cheor ol chockhar	<ycheoky> <shokeesy> ist <chokeol> <saraloaly> <cheor> in <chockhar>	<ycheoky> <shokeesy> ist <chokeol> <saraloaly> <cheor> in <chockhar>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100v.21	f100v	P	A	f100v.21|P01	soral okor ol choy ly araroy okar cheeeal cheokeol orey	<soral> <okor> in <choy> <ly> <araroy> <okar> <cheeeal> <cheokeol> <orey>	<soral> <okor> in <choy> <ly> <araroy> <okar> <cheeeal> <cheokeol> <orey>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100v.22	f100v	P	A	f100v.22|P01|f100v.22|P02	daiin cheky chory	daz <cheky> <chory>	daz <cheky> <chory>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100v.3	f100v	P	A	f100v.3|P01	opchor	<opchor>	<opchor>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100v.4	f100v	P	A	f100v.4|P01|f100v.4|P02	solsy	<solsy>	<solsy>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100v.5	f100v	P	A	f100v.5|P01|f100v.5|P02	soleesos	<soleesos>	<soleesos>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100v.6	f100v	P	A	f100v.6|P01	ykchochdy	<ykchochdy>	<ykchochdy>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100v.7	f100v	P	A	f100v.7|P01	ykchdy	<ykchdy>	<ykchdy>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100v.8	f100v	P	A	f100v.8|P01	dchdy	<dchdy>	<dchdy>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100v.9	f100v	P	A	f100v.9|P01	dalsy	<dalsy>	<dalsy>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101r.1	f101r	P	A	f101r.1|P01|f101r.1|P02|f101r.1|P03	pcheol sheol ol shey qockhol shor yteol sheockhey qpol chear s aiin oleeey qkeey chopcheey checkhey cpheocthy ykchy cheey chekeey dal chey	<pcheol> <sheol> in d <qockhol> <shor> <yteol> <sheockhey> <qpol> <chear> ze den <oleeey> <qkeey> <chopcheey> <checkhey> <cpheocthy> <ykchy> dem <chekeey> man des	<pcheol> <sheol> in d <qockhol> <shor> <yteol> <sheockhey> <qpol> <chear> ze den <oleeey> <qkeey> <chopcheey> <checkhey> <cpheocthy> <ykchy> dem <chekeey> man des	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101r.10	f101r	P	A	f101r.10|P01|f101r.10|P02|f101r.10|P03	kor aithy ol chs sho olcheeol kalshey okeoly oiin aiioly	<kor> <aithy> in <chs> <sho> <olcheeol> <kalshey> <okeoly> <oiin> <aiioly>	<kor> <aithy> in <chs> <sho> <olcheeol> <kalshey> <okeoly> <oiin> <aiioly>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101r.2	f101r	P	A	f101r.2|P01|f101r.2|P02|f101r.2|P03	dol chokeey chkey cthey okal chol kol okeey r or ol okolol olchey qokchor okey qokeol kor shey teol or aiin chol daiin	<dol> <chokeey> <chkey> <cthey> <okal> si <kol> so <r> an in <okolol> <olchey> <qokchor> <okey> <qokeol> <kor> d <teol> an den si daz	<dol> <chokeey> <chkey> <cthey> <okal> si <kol> so <r> an in <okolol> <olchey> <qokchor> <okey> <qokeol> <kor> d <teol> an den si daz	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101r.3	f101r	P	A	f101r.3|P01|f101r.3|P02|f101r.3|P03	etolctheol okeor r sheol qotol sheo dol shey okeey ctheea yteeoldy kchdol sheody or ol sheor qotoiir otol sheey ssheo tchey ol dar am	<etolctheol> <okeor> <r> <sheol> <qotol> <sheo> <dol> d so <ctheea> <yteeoldy> <kchdol> <sheody> an in <sheor> <qotoiir> <otol> <sheey> <ssheo> <tchey> in vn <am>	<etolctheol> <okeor> <r> <sheol> <qotol> <sheo> <dol> d so <ctheea> <yteeoldy> <kchdol> <sheody> an in <sheor> <qotoiir> <otol> <sheey> <ssheo> <tchey> in vn <am>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101r.4	f101r	P	A	f101r.4|P01|f101r.4|P02|f101r.4|P03	ycheeo or sheeol daiin sheeol okeol ctheol shkeeo qockheol daiin shy csol okeeor ctody chkchol doteoda okeol daisin okeey okeey dairin	<ycheeo> an <sheeol> daz <sheeol> <okeol> <ctheol> <shkeeo> <qockheol> daz <shy> <csol> <okeeor> <ctody> <chkchol> <doteoda> <okeol> <daisin> so so <dairin>	<ycheeo> an <sheeol> daz <sheeol> <okeol> <ctheol> <shkeeo> <qockheol> daz <shy> <csol> <okeeor> <ctody> <chkchol> <doteoda> <okeol> <daisin> so so <dairin>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101r.5	f101r	P	A	f101r.5|P01|f101r.5|P02|f101r.5|P03	daiin ctheol cheol okor or aiin cheol cho keeo dchey okol okeol dor chol chy r aiin oteol oraiin olchey oteeod sheol okeol chosaiin sheom	daz <ctheol> ein <okor> an den ein <cho> <keeo> <dchey> <okol> <okeol> <dor> si dar <r> den <oteol> <oraiin> <olchey> <oteeod> <sheol> <okeol> <chosaiin> <sheom>	daz <ctheol> ein <okor> an den ein <cho> <keeo> <dchey> <okol> <okeol> <dor> si dar <r> den <oteol> <oraiin> <olchey> <oteeod> <sheol> <okeol> <chosaiin> <sheom>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101r.6	f101r	P	A	f101r.6|P01|f101r.6|P02|f101r.6|P03	okeeol sho shody sho shol okeeeol cheos sheokeey sheeor chchy chodaiin sheeckhey teeol scheol sar oeeor	<okeeol> <sho> <shody> <sho> vnd <okeeeol> <cheos> <sheokeey> <sheeor> <chchy> <chodaiin> <sheeckhey> <teeol> <scheol> <sar> <oeeor>	<okeeol> <sho> <shody> <sho> vnd <okeeeol> <cheos> <sheokeey> <sheeor> <chchy> <chodaiin> <sheeckhey> <teeol> <scheol> <sar> <oeeor>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101r.7	f101r	P	A	f101r.7|P01|f101r.7|P02|f101r.7|P03	cphoar oaiin ypcholy daiin otaiin otaiin yfolaiin fcheolain ypchey yphoo shotey odariin sheoor sheor ckheey ykhey qokchey cholp cheol dy	<cphoar> <oaiin> <ypcholy> daz sie sie <yfolaiin> <fcheolain> <ypchey> <yphoo> <shotey> <odariin> <sheoor> <sheor> <ckheey> <ykhey> <qokchey> <cholp> ein do	<cphoar> <oaiin> <ypcholy> daz sie sie <yfolaiin> <fcheolain> <ypchey> <yphoo> <shotey> <odariin> <sheoor> <sheor> <ckheey> <ykhey> <qokchey> <cholp> ein do	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101r.8	f101r	P	A	f101r.8|P01|f101r.8|P02|f101r.8|P03	olaiin oteol chor oteey chokchey kor daiin shok chol chol qoky daiin ol s al ydar daiin or ory okeey daiin shey daiin okol cheor	<olaiin> <oteol> di <oteey> <chokchey> <kor> daz <shok> si si <qoky> daz in ze ir <ydar> daz an <ory> so daz d daz <okol> <cheor>	<olaiin> <oteol> di <oteey> <chokchey> <kor> daz <shok> si si <qoky> daz in ze ir <ydar> daz an <ory> so daz d daz <okol> <cheor>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101r.9	f101r	P	A	f101r.9|P01|f101r.9|P02|f101r.9|P03	daiin okeol qokcheol ykeor dar ol otechy ykeor dor aiin chls cheol okol shey qodar soiin choko qokeol daiin odar okchol cheor chety	daz <okeol> <qokcheol> <ykeor> vn in <otechy> <ykeor> <dor> den <chls> ein <okol> d <qodar> <soiin> <choko> <qokeol> daz <odar> <okchol> <cheor> <chety>	daz <okeol> <qokcheol> <ykeor> vn in <otechy> <ykeor> <dor> den <chls> ein <okol> d <qodar> <soiin> <choko> <qokeol> daz <odar> <okchol> <cheor> <chety>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101v.1	f101v	P	A	f101v.1|P01|f101v.1|P02	sairaly	<sairaly>	<sairaly>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101v.10	f101v	P	A	f101v.10|P01	okol	<okol>	<okol>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101v.11	f101v	P	A	f101v.11|P01	arom	<arom>	<arom>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101v.12	f101v	P	A	f101v.12|P01|f101v.12|P02	oraram	<oraram>	<oraram>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101v.13	f101v	P	A	f101v.13|P01|f101v.13|P02|f101v.13|P03	oraeep	<oraeep>	<oraeep>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101v.14	f101v	P	A	f101v.14|P01|f101v.14|P02	dytoly	<dytoly>	<dytoly>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101v.15	f101v	P	A	f101v.15|P01	olkor	<olkor>	<olkor>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101v.16	f101v	P	A	f101v.16|P01	dolary	<dolary>	<dolary>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101v.17	f101v	P	A	f101v.17|P01	odor	<odor>	<odor>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101v.18	f101v	P	A	f101v.18|P01	olaran	<olaran>	<olaran>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101v.19	f101v	P	A	f101v.19|P01|f101v.19|P02|f101v.19|P03	tolchor cheopor or ody cphey r shee fol s oiin otsheey otchy kcho pcholy chor or choror sy dorar okoraiin orolodain	<tolchor> <cheopor> an <ody> <cphey> <r> <shee> <fol> ze <oiin> <otsheey> <otchy> <kcho> <pcholy> di an <choror> <sy> <dorar> <okoraiin> <orolodain>	<tolchor> <cheopor> an <ody> <cphey> <r> <shee> <fol> ze <oiin> <otsheey> <otchy> <kcho> <pcholy> di an <choror> <sy> <dorar> <okoraiin> <orolodain>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101v.2	f101v	P	A	f101v.2|P01|f101v.2|P02	otaldy	<otaldy>	<otaldy>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101v.20	f101v	P	A	f101v.20|P01|f101v.20|P02|f101v.20|P03	or aiin or o or odam chor s aiin okor cheeor sheeol qokol etol qoor cheey qykeod oeeo r choy s okeeody chodaiin cthy okody dar	an den an <o> an <odam> di ze den <okor> <cheeor> <sheeol> <qokol> <etol> <qoor> dem <qykeod> <oeeo> <r> <choy> ze <okeeody> <chodaiin> <cthy> <okody> vn	an den an <o> an <odam> di ze den <okor> <cheeor> <sheeol> <qokol> <etol> <qoor> dem <qykeod> <oeeo> <r> <choy> ze <okeeody> <chodaiin> <cthy> <okody> vn	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101v.21	f101v	P	A	f101v.21|P01|f101v.21|P02|f101v.21|P03	ycheor oeo dain cheokal ykhody cheeods oraiin qoeey cthey eocthy dain chedo dydy	<ycheor> <oeo> wir <cheokal> <ykhody> <cheeods> <oraiin> <qoeey> <cthey> <eocthy> wir <chedo> <dydy>	<ycheor> <oeo> wir <cheokal> <ykhody> <cheeods> <oraiin> <qoeey> <cthey> <eocthy> wir <chedo> <dydy>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101v.22	f101v	P	A	f101v.22|P01|f101v.22|P02|f101v.22|P03	kshar lol keeol otal or ol aiin okeod ykeey dain olcheol opcheol cthey qekeoldy qocthor sheody qockheey odaiin sho ytolaiir sodaiin dy	<kshar> <lol> <keeol> <otal> an in den <okeod> <ykeey> wir <olcheol> <opcheol> <cthey> <qekeoldy> <qocthor> <sheody> <qockheey> <odaiin> <sho> <ytolaiir> <sodaiin> do	<kshar> <lol> <keeol> <otal> an in den <okeod> <ykeey> wir <olcheol> <opcheol> <cthey> <qekeoldy> <qocthor> <sheody> <qockheey> <odaiin> <sho> <ytolaiir> <sodaiin> do	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101v.23	f101v	P	A	f101v.23|P01|f101v.23|P02|f101v.23|P03	oaiin ol olor daiin okeey qok ykeol daiin qockhy daiin olch dar qokeol dol oraiin oldaiin keeol rch qokeeeor sydy cheor okeey chol do dar	<oaiin> in <olor> daz so <qok> <ykeol> daz <qockhy> daz <olch> vn <qokeol> <dol> <oraiin> <oldaiin> <keeol> <rch> <qokeeeor> <sydy> <cheor> so si <do> vn	<oaiin> in <olor> daz so <qok> <ykeol> daz <qockhy> daz <olch> vn <qokeol> <dol> <oraiin> <oldaiin> <keeol> <rch> <qokeeeor> <sydy> <cheor> so si <do> vn	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101v.24	f101v	P	A	f101v.24|P01|f101v.24|P02|f101v.24|P03	teeal sheol qokeor qkhol olchor chokey chor ctheey das daiin cheeody cheey keo cheol daiiin deeor cheedy	<teeal> <sheol> <qokeor> <qkhol> <olchor> <chokey> di <ctheey> <das> daz <cheeody> dem <keo> ein <daiiin> <deeor> <cheedy>	<teeal> <sheol> <qokeor> <qkhol> <olchor> <chokey> di <ctheey> <das> daz <cheeody> dem <keo> ein <daiiin> <deeor> <cheedy>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101v.25	f101v	P	A	f101v.25|P01|f101v.25|P02|f101v.25|P03	daiin dair yteol chor qockhol daiin ckheey chey kchey dos iin okeey ckheo lcheody kcheol daiin eteeys ctheody ctheockhosho olchor	daz <dair> <yteol> di <qockhol> daz <ckheey> des <kchey> <dos> <iin> so <ckheo> <lcheody> <kcheol> daz <eteeys> <ctheody> <ctheockhosho> <olchor>	daz <dair> <yteol> di <qockhol> daz <ckheey> des <kchey> <dos> <iin> so <ckheo> <lcheody> <kcheol> daz <eteeys> <ctheody> <ctheockhosho> <olchor>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101v.26	f101v	P	A	f101v.26|P01|f101v.26|P02|f101v.26|P03	olaiin okeol cheo kol ches sheey qoor qokeody cheor okeo oiin cheey cthey ory ctheey qokeey shol ody cheol oralar shey qokar ary	<olaiin> <okeol> <cheo> <kol> <ches> <sheey> <qoor> <qokeody> <cheor> <okeo> <oiin> dem <cthey> <ory> <ctheey> ist vnd <ody> ein <oralar> d was <ary>	<olaiin> <okeol> <cheo> <kol> <ches> <sheey> <qoor> <qokeody> <cheor> <okeo> <oiin> dem <cthey> <ory> <ctheey> ist vnd <ody> ein <oralar> d was <ary>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101v.27	f101v	P	A	f101v.27|P01|f101v.27|P02|f101v.27|P03	sal chol choly okeey dal qol shckheol chol cthear keeol cheeo ol chs oraiin qokeeey soiin qodaiin cheol qokeey daiin cheodam	<sal> si <choly> so man <qol> <shckheol> si <cthear> <keeol> <cheeo> in <chs> <oraiin> <qokeeey> <soiin> <qodaiin> ein ist daz <cheodam>	<sal> si <choly> so man <qol> <shckheol> si <cthear> <keeol> <cheeo> in <chs> <oraiin> <qokeeey> <soiin> <qodaiin> ein ist daz <cheodam>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101v.28	f101v	P	A	f101v.28|P01|f101v.28|P02|f101v.28|P03	teol cheol etchey cheo r cheol cthol cholaiin chol qkar	<teol> ein <etchey> <cheo> <r> ein <cthol> <cholaiin> si <qkar>	<teol> ein <etchey> <cheo> <r> ein <cthol> <cholaiin> si <qkar>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101v.3	f101v	P	A	f101v.3|P01|f101v.3|P02|f101v.3|P03	otal	<otal>	<otal>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101v.4	f101v	P	A	f101v.4|P01|f101v.4|P02	yta	<yta>	<yta>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101v.5	f101v	P	A	f101v.5|P01	dokor	<dokor>	<dokor>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101v.6	f101v	P	A	f101v.6|P01	orar	<orar>	<orar>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101v.7	f101v	P	A	f101v.7|P01|f101v.7|P02	otarar	<otarar>	<otarar>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101v.8	f101v	P	A	f101v.8|P01|f101v.8|P02|f101v.8|P03	otala	<otala>	<otala>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101v.9	f101v	P	A	f101v.9|P01	soraly	<soraly>	<soraly>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f102r1.1	f102r1	P	A	f102r1.1|P01|f102r1.1|P02|f102r1.1|P03	daarod	<daarod>	<daarod>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f102r1.10	f102r1	P	A	f102r1.10|P01|f102r1.10|P02|f102r1.10|P03	ycheol sholdy chol chol ykeeol dol doleodaiin dal cthedy	<ycheol> <sholdy> si si <ykeeol> <dol> <doleodaiin> man <cthedy>	<ycheol> <sholdy> si si <ykeeol> <dol> <doleodaiin> man <cthedy>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
