dictionary_order	entry_id	entry_kind	surface_or_pattern	minimal_value_de	composition_status	concrete_noun_source
22	ROOT_SOLK	PRODUCTIVE_ROOT	SOLK	sammeln	PRODUCTIVE_ONLY_IN_LICENSED_CARDS	OWNER_OR_MASTER
23	ROOT_HO	PRODUCTIVE_ROOT	HO	Zutat	PRODUCTIVE_ONLY_IN_LICENSED_CARDS	OWNER_OR_MASTER
24	ROOT_CHEO	PRODUCTIVE_ROOT	CHEO	Auszug	PRODUCTIVE_ONLY_IN_LICENSED_CARDS	OWNER_OR_MASTER
25	ROOT_KCH	PRODUCTIVE_ROOT	KCH	bearbeiten	PRODUCTIVE_ONLY_IN_LICENSED_CARDS	OWNER_OR_MASTER
26	ROOT_TY	PRODUCTIVE_ROOT	TY	Teil	PRODUCTIVE_ONLY_IN_LICENSED_CARDS	OWNER_OR_MASTER
27	ROOT_SH	PRODUCTIVE_ROOT	SH	halten	PRODUCTIVE_ONLY_IN_LICENSED_CARDS	OWNER_OR_MASTER
28	ROOT_CHEEY	PRODUCTIVE_ROOT	CHEEY	Ergebnis	PRODUCTIVE_ONLY_IN_LICENSED_CARDS	OWNER_OR_MASTER
29	N01_CFH	LEARNED_WHOLE_OR_PATTERN	cfhy	auswringen	MEMORIZE_AS_REGISTERED_ENTRY	SHARED_DICTIONARY_OR_REGISTER_SPLIT
30	N02_CPH	LEARNED_WHOLE_OR_PATTERN	cphy|ocphy	nachseihen	MEMORIZE_AS_REGISTERED_ENTRY	SHARED_DICTIONARY_OR_REGISTER_SPLIT
31	N03_PARTITION	LEARNED_WHOLE_OR_PATTERN	ches|chety|chty	teilen	MEMORIZE_AS_REGISTERED_ENTRY	SHARED_DICTIONARY_OR_REGISTER_SPLIT
32	N04_HO	LEARNED_WHOLE_OR_PATTERN	cho|sho|tshol	Zutat	MEMORIZE_AS_REGISTERED_ENTRY	SHARED_DICTIONARY_OR_REGISTER_SPLIT
33	N05_DCHE	LEARNED_WHOLE_OR_PATTERN	dchey	Wurzelteil	MEMORIZE_AS_REGISTERED_ENTRY	SHARED_DICTIONARY_OR_REGISTER_SPLIT
34	N06_PREV	LEARNED_WHOLE_OR_PATTERN	dchol|schol	vorher	MEMORIZE_AS_REGISTERED_ENTRY	SHARED_DICTIONARY_OR_REGISTER_SPLIT
35	N07_WASH	LEARNED_WHOLE_OR_PATTERN	lshedy|lsho|rshedy	waschen	MEMORIZE_AS_REGISTERED_ENTRY	SHARED_DICTIONARY_OR_REGISTER_SPLIT
36	N08_LDDY	LEARNED_WHOLE_OR_PATTERN	qokylddy	befestigen	MEMORIZE_AS_REGISTERED_ENTRY	SHARED_DICTIONARY_OR_REGISTER_SPLIT
37	N09_SK	LEARNED_WHOLE_OR_PATTERN	skar	ausgießen	MEMORIZE_AS_REGISTERED_ENTRY	SHARED_DICTIONARY_OR_REGISTER_SPLIT
38	N10_DAN	LEARNED_WHOLE_OR_PATTERN	sotodan	anwenden	MEMORIZE_AS_REGISTERED_ENTRY	SHARED_DICTIONARY_OR_REGISTER_SPLIT
39	N11_DL	LEARNED_WHOLE_OR_PATTERN	dl	Zusatz	MEMORIZE_AS_REGISTERED_ENTRY	SHARED_DICTIONARY_OR_REGISTER_SPLIT
40	N12_TALAM	LEARNED_WHOLE_OR_PATTERN	talam	verwahren	MEMORIZE_AS_REGISTERED_ENTRY	SHARED_DICTIONARY_OR_REGISTER_SPLIT
41	S01_DAIN	LEARNED_WHOLE_OR_PATTERN	dain	Tuch|Portion	MEMORIZE_AS_REGISTERED_ENTRY	SHARED_DICTIONARY_OR_REGISTER_SPLIT
42	S02_ODY	LEARNED_WHOLE_OR_PATTERN	ody	kühlen|markieren	MEMORIZE_AS_REGISTERED_ENTRY	SHARED_DICTIONARY_OR_REGISTER_SPLIT
43	S03_OS	LEARNED_WHOLE_OR_PATTERN	os	Gefäß|Feld	MEMORIZE_AS_REGISTERED_ENTRY	SHARED_DICTIONARY_OR_REGISTER_SPLIT
