atom_multiset	left_recipe	right_recipe	same_full_transition_signature	same_clause_signature	same_state_signature	left_tier	right_tier
CARRIER_Q+O+OL	CARRIER_Q+O+OL	OL+CARRIER_Q+O	YES	YES	YES	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
CH+CH+E+K+Y	CH+CH+K+E+Y	CH+E+CH+K+Y	YES	YES	YES	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
CH+CH+E+T+Y	CH+CH+T+E+Y	CH+E+T+CH+Y	NO	NO	NO	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
CH+CH+P+Y	CH+CH+P+Y	CH+P+CH+Y	NO	NO	NO	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
CH+D_ADDR+E+K+SH+Y	D_ADDR+SH+E+CH+K+Y	SH+E+CH+K+D_ADDR+Y	YES	YES	YES	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
CH+D_ADDR+O+Y	CH+O+D_ADDR+Y	Y+CH+O+D_ADDR	YES	YES	YES	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
CH+E+K+O+Y	CH+E+O+K+Y	O+CH+K+E+Y	NO	NO	YES	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
CH+E+K+O+Y	CH+E+O+K+Y	O+E+CH+K+Y	NO	NO	YES	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
CH+E+K+O+Y	O+CH+K+E+Y	O+E+CH+K+Y	YES	YES	YES	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
CH+E+K+SH+Y	SH+CH+K+E+Y	SH+E+CH+K+Y	YES	YES	YES	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
CH+E+K+Y	CH+K+E+Y	K+CH+E+Y	NO	NO	NO	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
CH+E+K+Y+Y	CH+Y+K+E+Y	Y+K+CH+E+Y	NO	NO	NO	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
CH+E+L+O+Y	CH+E+O+L+Y	Y+CH+E+O+L	YES	YES	YES	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
CH+E+O+OL+T	O+CH+T+E+OL	O+CH+T+OL+E	YES	YES	YES	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
CH+E+O+R	CH+E+O+R	CH+O+E+R	NO	NO	YES	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
CH+E+O+Y	CH+E+O+Y	O+CH+E+Y	NO	NO	YES	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
CH+E+O+Y	CH+E+O+Y	Y+CH+E+O	YES	YES	YES	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
CH+E+O+Y	O+CH+E+Y	Y+CH+E+O	NO	NO	YES	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
CH+E+OK+Y	CH+OK+E+Y	OK+CH+E+Y	NO	NO	NO	T4_NARROW_APPENDIX	T0_EXACT_OBSERVED
CH+E+P+S+Y	S+CH+P+E+Y	S+E+P+CH+Y	NO	NO	NO	T4_NARROW_APPENDIX	T0_EXACT_OBSERVED
CH+E+P+Y	CH+E+P+Y	CH+P+E+Y	YES	YES	YES	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
CH+E+P+Y	CH+E+P+Y	P+CH+E+Y	NO	NO	NO	T0_EXACT_OBSERVED	T4_NARROW_APPENDIX
CH+E+P+Y	CH+P+E+Y	P+CH+E+Y	NO	NO	NO	T0_EXACT_OBSERVED	T4_NARROW_APPENDIX
CH+E+SH+T+Y	SH+CH+T+E+Y	SH+E+CH+T+Y	YES	YES	YES	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
CH+E+T+Y	CH+T+E+Y	T+CH+E+Y	NO	NO	NO	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
CH+EE+K+Y	CH+K+EE+Y	K+CH+EE+Y	NO	NO	NO	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
CH+EE+T+Y	CH+EE+T+Y	CH+T+EE+Y	YES	YES	YES	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
CH+K+O+Y	CH+K+O+Y	O+CH+K+Y	YES	YES	YES	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
CH+K+O+Y	CH+K+O+Y	Y+K+CH+O	NO	NO	NO	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
CH+K+O+Y	O+CH+K+Y	Y+K+CH+O	NO	NO	NO	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
CH+K+OR	CH+K+OR	K+CH+OR	NO	NO	NO	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
CH+K+OR+Y	K+OR+CH+Y	Y+K+CH+OR	NO	NO	NO	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
CH+K+Y	CH+K+Y	K+CH+Y	NO	NO	NO	T0_EXACT_OBSERVED	T2_FUTURE_STRONG
CH+K+Y	CH+K+Y	Y+CH+K	YES	YES	YES	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
CH+K+Y	K+CH+Y	Y+CH+K	NO	NO	NO	T2_FUTURE_STRONG	T0_EXACT_OBSERVED
CH+K+Y+Y	Y+CH+K+Y	Y+K+CH+Y	NO	NO	NO	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
CH+L	CH+L	L+CH	YES	YES	YES	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
CH+O+OK	CH+OK+O	OK+CH+O	NO	NO	NO	T4_NARROW_APPENDIX	T0_EXACT_OBSERVED
CH+O+OK+Y	CH+OK+O+Y	OK+CH+O+Y	NO	NO	NO	T4_NARROW_APPENDIX	T0_EXACT_OBSERVED
CH+O+OR+T	CH+T+O+OR	O+CH+T+OR	YES	YES	YES	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
CH+O+P	CH+O+P	CH+P+O	YES	YES	YES	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
CH+O+T	CH+T+O	T+CH+O	NO	NO	NO	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
CH+OK+OR	CH+OK+OR	OK+CH+OR	NO	NO	NO	T4_NARROW_APPENDIX	T0_EXACT_OBSERVED
CH+OK+Y	CH+OK+Y	OK+CH+Y	NO	NO	NO	T4_NARROW_APPENDIX	T0_EXACT_OBSERVED
CH+OL+OT	CH+OT+OL	OT+CH+OL	YES	YES	YES	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
CH+OR+P	CH+P+OR	P+CH+OR	NO	NO	NO	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
CH+OR+T	CH+T+OR	T+CH+OR	NO	NO	NO	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
CH+OT+Y	CH+OT+Y	OT+CH+Y	YES	YES	YES	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
CH+P+Y	CH+P+Y	P+CH+Y	NO	NO	NO	T0_EXACT_OBSERVED	T4_NARROW_APPENDIX
CH+P+Y	CH+P+Y	Y+P+CH	NO	NO	NO	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
CH+P+Y	P+CH+Y	Y+P+CH	YES	YES	YES	T4_NARROW_APPENDIX	T0_EXACT_OBSERVED
CHD+DY+OL+P	OL+P+CHD+DY	P+OL+CHD+DY	YES	YES	YES	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
CHD+K+OL+Y	K+OL+CHD+Y	OL+K+CHD+Y	YES	YES	YES	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
CHD+L	CHD+L	L+CHD	YES	YES	YES	T2_FUTURE_STRONG	T0_EXACT_OBSERVED
CHD+L+Y	CHD+Y+L	L+CHD+Y	YES	YES	YES	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
CHD+T+Y+Y	CHD+Y+T+Y	Y+T+CHD+Y	NO	NO	NO	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
D_ADDR+E+O+SH+Y	SH+E+O+D_ADDR+Y	Y+SH+E+O+D_ADDR	YES	YES	YES	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
D_ADDR+K+Y	D_ADDR+K+Y	K+D_ADDR+Y	YES	YES	YES	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
D_ADDR+L+O	L+O+D_ADDR	O+D_ADDR+L	YES	YES	YES	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
D_ADDR+O+OR	D_ADDR+O+OR	O+D_ADDR+OR	YES	YES	YES	T4_NARROW_APPENDIX	T0_EXACT_OBSERVED
D_ADDR+O+Y	D_ADDR+O+Y	O+D_ADDR+Y	YES	YES	YES	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
D_ADDR+SH+Y	D_ADDR+SH+Y	SH+D_ADDR+Y	YES	YES	YES	T4_NARROW_APPENDIX	T0_EXACT_OBSERVED
E+K+O+SH+Y	K+O+SH+E+Y	O+E+K+SH+Y	YES	YES	YES	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
E+K+O+Y	K+O+E+Y	Y+K+E+O	NO	NO	YES	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
E+K+SH+Y	K+E+SH+Y	K+SH+E+Y	YES	YES	YES	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
E+K+SH+Y	K+E+SH+Y	SH+E+K+Y	NO	NO	NO	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
E+K+SH+Y	K+E+SH+Y	SH+E+Y+K	NO	NO	NO	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
E+K+SH+Y	K+SH+E+Y	SH+E+K+Y	NO	NO	NO	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
E+K+SH+Y	K+SH+E+Y	SH+E+Y+K	NO	NO	NO	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
E+K+SH+Y	SH+E+K+Y	SH+E+Y+K	YES	YES	YES	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
E+K+Y	E+K+Y	K+E+Y	YES	YES	YES	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
E+L+SH	L+SH+E	SH+E+L	YES	YES	YES	T0_EXACT_OBSERVED	T4_NARROW_APPENDIX
E+O+OK+S	OK+E+O+S	OK+O+E+S	NO	NO	YES	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
E+O+OK+Y	OK+E+O+Y	OK+O+E+Y	NO	NO	YES	T0_EXACT_OBSERVED	T4_NARROW_APPENDIX
E+OK+SH+Y	OK+SH+E+Y	SH+E+OK+Y	NO	NO	NO	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
E+OL+S+SH	S+OL+SH+E	S+SH+E+OL	YES	YES	YES	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
E+OL+SH+Y	OL+SH+E+Y	SH+E+OL+Y	YES	YES	YES	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
E+P+SH+Y	P+SH+E+Y	SH+E+P+Y	NO	NO	NO	T4_NARROW_APPENDIX	T0_EXACT_OBSERVED
E+T+Y	E+T+Y	T+E+Y	YES	YES	YES	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
EEE+T+Y	EEE+T+Y	T+EEE+Y	YES	YES	YES	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
K+L+Y	L+K+Y	Y+K+L	YES	YES	YES	T0_EXACT_OBSERVED	T2_FUTURE_STRONG
K+OL+Y	K+OL+Y	OL+K+Y	YES	YES	YES	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
K+OL+Y	K+OL+Y	Y+K+OL	YES	YES	YES	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
K+OL+Y	OL+K+Y	Y+K+OL	YES	YES	YES	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
K+SH+Y	K+SH+Y	SH+K+Y	NO	NO	NO	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
K+Y	K+Y	Y+K	YES	YES	YES	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
L+OL	L+OL	OL+L	YES	YES	YES	T0_EXACT_OBSERVED	T4_NARROW_APPENDIX
L+OR	L+OR	OR+L	NO	NO	YES	T0_EXACT_OBSERVED	T4_NARROW_APPENDIX
L+S	L+S	S+L	YES	YES	YES	T4_NARROW_APPENDIX	T0_EXACT_OBSERVED
L+SH	L+SH	SH+L	YES	YES	YES	T0_EXACT_OBSERVED	T4_NARROW_APPENDIX
L+T+Y	L+T+Y	Y+T+L	YES	YES	YES	T4_NARROW_APPENDIX	T4_NARROW_APPENDIX
L+Y	L+Y	Y+L	NO	NO	YES	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
O+OK+Y	O+OK+Y	OK+O+Y	YES	YES	YES	T4_NARROW_APPENDIX	T0_EXACT_OBSERVED
O+OR	O+OR	OR+O	YES	YES	YES	T2_FUTURE_STRONG	T0_EXACT_OBSERVED
O+OR+SH	O+SH+OR	SH+O+OR	YES	YES	YES	T0_EXACT_OBSERVED	T4_NARROW_APPENDIX
O+SH+Y	O+SH+Y	SH+O+Y	YES	YES	YES	T4_NARROW_APPENDIX	T0_EXACT_OBSERVED
OK+SH	OK+SH	SH+OK	NO	NO	NO	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
OK+SH+Y	OK+SH+Y	SH+OK+Y	NO	NO	NO	T0_EXACT_OBSERVED	T2_FUTURE_STRONG
OL+P	OL+P	P+OL	YES	YES	YES	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
OL+SH+T	SH+T+OL	T+SH+OL	NO	NO	NO	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
OL+T+Y	OL+T+Y	Y+T+OL	YES	YES	YES	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
OL+Y	OL+Y	Y+OL	YES	YES	YES	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
OR+SH+Y	SH+OR+Y	Y+SH+OR	NO	NO	NO	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
OR+T+Y	T+OR+Y	Y+T+OR	NO	NO	NO	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
OR+Y	OR+Y	Y+OR	NO	NO	NO	T0_EXACT_OBSERVED	T2_FUTURE_STRONG
SH+Y+Y	SH+Y+Y	Y+SH+Y	YES	YES	YES	T4_NARROW_APPENDIX	T4_NARROW_APPENDIX
T+Y	T+Y	Y+T	YES	YES	YES	T0_EXACT_OBSERVED	T0_EXACT_OBSERVED
