component_recipe	intake_tier	atom_count	support_count	reachable_state_count	register_count	transition_cell_count	order_repaired_cell_count	distinct_outgoing_state_count	distinct_clause_count	state_signature_sha256	clause_signature_sha256	full_transition_signature_sha256
AIR+CHD+DY	T4_NARROW_APPENDIX	3	2	49	5	245	0	5	25	6d84e51f3fa2bfd0941a935970090f632edbbdae8a4bb23efdc4e223a2730a87	f8c8c1ee6e1f38302131c848a7dc3052338f6c53b2faf1274e2030d5531e2513	4f9073cf97ef1df408d4512a29a34b4e81e5152199bda0ed2da730aefb58d8ba
AIR+DY	T4_NARROW_APPENDIX	2	2	49	5	245	0	49	230	6e9465bd7e345c433e8d2d1de320cdb77e20e27139b5a304bc844e0c6a2891cb	786c93aaf522248dc54e2502c8a123e048e6fc748cfcc9dfb2bd21df8fc29e62	c1ea5632844cadbf461aded984395cee0a6396e9c3e5df07f2a1784e698201b3
AIR+K+AIN	T4_NARROW_APPENDIX	3	2	49	5	245	0	1	5	a143e8ea70234eb1b76f15ff69a31ccb7939290c82805d0462d7e82fa4419131	30d0ed3b29bcb6b75f51b0a72982f94adf3b8235c6cf4ebe5da7db7247ddf16c	dff7c946b78ee6595709d995125ef1404e144469d0e4eccdc11055ad04f7f19f
AIR+O	T4_NARROW_APPENDIX	2	2	49	5	245	0	49	230	6e9465bd7e345c433e8d2d1de320cdb77e20e27139b5a304bc844e0c6a2891cb	8bb28b03728134aa9d5fc9ad7e1057edf02048008858bb9ff4ad87ffca5a906a	273cf7fd658cf826e62f87f65be6baaaa911d46b9034eccdacb0dcf83054a246
AIR+OL	T2_FUTURE_STRONG	2	3	49	5	245	0	49	230	6e9465bd7e345c433e8d2d1de320cdb77e20e27139b5a304bc844e0c6a2891cb	d6013798f1eda5a6b2eecc107daeca4b4fddfa4b6138038540363369d538420c	3e36c834d02fa77f0d1ea4dfc019074c2deb93f24749fe55939dec827e6ca694
AIR+OL+Y	T4_NARROW_APPENDIX	3	2	49	5	245	245	10	50	e9def4f002058a388b0cf9ed6964fc9fdf39f30f0ffee0e976e574760e7350be	dee1fcdb98fcf7d873b4507e4fb3a787562f7d943156b8d040724e2496ba3e46	03ebc5a667cb71e916ff0e93c389aa651bf47a9e9b8cfc1f97e90ff8c4b81e7e
AIR+OR	T4_NARROW_APPENDIX	2	2	49	5	245	245	10	50	69deda7d351e2a884cddd51414d4727f8a289d2fa6796a2f2851c0d8b36a7a88	b3222a491f6ba3ad8fb2c213195e68fb0f4b0623a199cd59ecf26db69f705e20	3f78bdf51771e8e08252134469b67f2f0b737d5c43cf4996b22d6f08183ab72a
AIR+SH+E+DY	T4_NARROW_APPENDIX	4	2	49	5	245	0	5	25	539cd96cfccbcc30c6b1a77bd020cfdf5203cc3fa6016e376cd251dfeece0ff8	8f22b8787a4db49c30554a2f3879017bdee7367d7b42495ad46c968fa32211dd	83f83c1b7a0304c6203483139fd531686a3953009643f5406b779acfe4c71b4c
AIR+Y	T2_FUTURE_STRONG	2	3	49	5	245	245	10	50	e9def4f002058a388b0cf9ed6964fc9fdf39f30f0ffee0e976e574760e7350be	a04927d80e1cd7876a7c3259a8f8e79da4d7768e55163283fed9c3d2164dc0f2	446409d75f97e4ae58c4fd7b0da34808ee803ee4e2e11b6f9ec0baf55ce6978a
AIR+Y+DY	T0_EXACT_OBSERVED	3	1	49	5	245	245	10	50	e9def4f002058a388b0cf9ed6964fc9fdf39f30f0ffee0e976e574760e7350be	9c618de3a934cce41d77f25495c3244f631d149e4e2d062d7ba6bb86078aa345	0bc4f47498cdb577a4730c730860cea926890287b5ae158106e135e1d26af11b
AL	T0_EXACT_OBSERVED	1	75	49	5	245	0	49	230	6e9465bd7e345c433e8d2d1de320cdb77e20e27139b5a304bc844e0c6a2891cb	9bcfa88a4aafe39fdc2274fc1bfd5981bd71d7d558559cada0c8f7282bb7b7c1	13c0a82b38e63a26378a83e91bd546fa8c242b00f31f4d7b3be02c03d5a5178f
AL+AIIN	T0_EXACT_OBSERVED	2	6	49	5	245	245	10	50	b7db7ebf91c5c330edc58279f60b6a1109934d9063f3e5012b1f4abe10019816	ab70efd1fe6d6b3a43862e93fff6a6e39dd2fa35132005a133ce3ea4bc8a24cb	4d5a5026ae3f49aa121c5f347257b1bed3f05b06d4f69e369e9b584391c6a8a5
AL+AIIN+LOCAL_CHAR_I	T0_EXACT_OBSERVED	3	1	49	5	245	245	10	50	b7db7ebf91c5c330edc58279f60b6a1109934d9063f3e5012b1f4abe10019816	17a1570e887cd599ed3b59de5154a8ae96919cb0c4a7aafee33626ee7e6fb9a2	7a6832e8d333b67d984ae1f60a885d7c1aac4787a6662d9f6556afabdc32d030
AL+AIN	T1_FUTURE_HIGH	2	4	49	5	245	245	10	50	77d2e2599f1aa01b5c01284d78c1a5644657a684117cbd4616b5d86cdc64d6a0	e2926240dcc622087ee5952b3743527f1fd379f30014a4aa0bf9b4f5b6b7ed0a	861f518c40bac5a536d3668d66bb1644cc6742f3eea0aba7ac0d3d7191f9a7a4
AL+AL	T0_EXACT_OBSERVED	2	2	49	5	245	0	49	230	6e9465bd7e345c433e8d2d1de320cdb77e20e27139b5a304bc844e0c6a2891cb	a7ae8540f873e34511ca88eaac23379e0021c82af504cf63b50c1934021f3415	9749b92d29b44a22d348c878bb656195b54d2f3fcb5eb1720c05548c4dace65e
AL+AR	T4_NARROW_APPENDIX	2	2	49	5	245	0	49	230	6e9465bd7e345c433e8d2d1de320cdb77e20e27139b5a304bc844e0c6a2891cb	b3fdaefa7fe9f738a84486b43b4e412e3920821fb95bb0b3267b475493788fce	f463eb94deee67a30b6124e66bce879002f5c21a1a662a78aaaba3d28bd95699
AL+CH	T4_NARROW_APPENDIX	2	2	49	5	245	0	5	25	13dce202a2914b13c4c42cd1903b968f4531fbb8b6b936e11303d2f8288fc188	4b21f8dfc32e8538a82a59891135bb397ff4a3b5aca201fe4144e10e4ce75796	10020e0a91efc20eed82f40ee60bb78de0740a61c1f8e6158ae17050074d4d3e
AL+CH+Y	T4_NARROW_APPENDIX	3	2	49	5	245	0	1	5	ccb0fdbd3dc57fe564370973dd1aa7cf144e55842dcbd1ecde3e690309a99993	e1505d259d656041fe4bb6865dc6dda7c44283faa00603f05f93d5f71a1acfbe	c0dc9a4024b162f621baa945920fa7f74a9897b0425fd35ec6adf6c1413f03e7
AL+CHD	T0_EXACT_OBSERVED	2	1	49	5	245	0	5	25	6d84e51f3fa2bfd0941a935970090f632edbbdae8a4bb23efdc4e223a2730a87	307036f7c74276554951637b1a3de60e20ca8a025b4daf88553b340cecb77a08	ee2c718bba449028edd3fe7923375f1d950fa481b3fab7ce1824d5385880b6bf
AL+CHD+DY	T0_EXACT_OBSERVED	3	5	49	5	245	0	5	25	6d84e51f3fa2bfd0941a935970090f632edbbdae8a4bb23efdc4e223a2730a87	ec322876d0aadd2f7970777dd01e74a28316e893ee44de5b7e1dc64df9239ffb	2820adab73d2a2aaf1d257956844b111f59112ab9926f55514a44c4587b11731
AL+CHD+Y	T4_NARROW_APPENDIX	3	2	49	5	245	0	1	5	ab17118a547e57ee5dfc60b9d588ff0612d27ef1e7b32687f8772ce8c9a9862c	9c2b1a5ac8f33a1dabff019932fda5c24f91f9083825c4270b6c992d3dd55f96	8b90952f9a6b74d2103ae92291bbf1e4956ad8467229bd6b3a9e67ad72c57958
AL+DY	T0_EXACT_OBSERVED	2	4	49	5	245	0	49	230	6e9465bd7e345c433e8d2d1de320cdb77e20e27139b5a304bc844e0c6a2891cb	277259355412fd2926e6880fcd5697b521d9b7b7eb64566d5675fe6f6b0fe2a8	139f046489361c65c2e758b3bed432cf3a535e4aa42377105f95f61a7050a47c
AL+D_ADDR+AIIN	T0_EXACT_OBSERVED	3	1	49	5	245	245	10	50	b7db7ebf91c5c330edc58279f60b6a1109934d9063f3e5012b1f4abe10019816	475f24fef1a826b74a70c9e5ea5d759fdccc61bb6324c8312d1b96c44a1bbce0	547b9f854d6823551adc3e92773b1882fbd6b363c139d6118143e2e21c94007a
AL+D_ADDR+AIN	T4_NARROW_APPENDIX	3	2	49	5	245	245	10	50	77d2e2599f1aa01b5c01284d78c1a5644657a684117cbd4616b5d86cdc64d6a0	eece02a9ebac369de56a2334ffbd20aaeee16935e2c560494d417a29d1305e96	2720d296e331aac6c0cfc3e198cc827c3771f9b30cd08cceaffb3a57fbab0274
AL+D_ADDR+OR	T4_NARROW_APPENDIX	3	2	49	5	245	245	10	50	69deda7d351e2a884cddd51414d4727f8a289d2fa6796a2f2851c0d8b36a7a88	93f3ac11b17b9e0595741bf58230d1692b911ac817912002b67b8bd5a52a9178	9cd2938062d6ecc56d188db6c85a060bd0f105f43ad1a021fe408e2933a63fb4
AL+D_ADDR+Y	T0_EXACT_OBSERVED	3	2	49	5	245	245	10	50	e9def4f002058a388b0cf9ed6964fc9fdf39f30f0ffee0e976e574760e7350be	78521b9e4d7af1ea83b641ccb052682b55c2d9b27d1d504171551cc8c5bd830d	768fc1d940cc0169c8bf9b8847f68f3c78825e0487505a9e5806c4161c7a06c7
AL+K+AIIN	T4_NARROW_APPENDIX	3	2	49	5	245	0	1	5	573e8b1574ae7b3212099a780cdc2771bb329a4b06efca7099adfabe5a64861e	6e2b1292b79f4bf0bf58563a6c0a514bb77b1c0355fc1aebe1b3643c648cbe1d	4953d5d79b418109c1338aa571ce3c90b5879ee25846690f0968d42f117f03d4
AL+K+AIN	T0_EXACT_OBSERVED	3	1	49	5	245	0	1	5	a143e8ea70234eb1b76f15ff69a31ccb7939290c82805d0462d7e82fa4419131	d9156d7a1c1bb6c997512d756488953a77c7b6a1cf9bacd7c4d4fd03544dfc74	9ab4f8c4dbc3f652d29bbc03e2a15d5430b5f7c5a61973590bf8355cb75525b9
AL+K+Y	T4_NARROW_APPENDIX	3	2	49	5	245	0	1	5	36373ca91c2d8fd1a7778297a04fa98a92d92d48b0f132b0e4be6b1e47c6012d	05e7486a7243d8ba63c24573d435c2a567097c273dff9a78a83270b02cf238d1	b230dff3ed7c88a04dd3e7022e92e92f7797eb33a63fe5ce231d2bf4f609b005
AL+LOCAL_CHAR_F+SH+E+D_ADDR	T0_EXACT_OBSERVED	5	1	49	5	245	0	5	25	539cd96cfccbcc30c6b1a77bd020cfdf5203cc3fa6016e376cd251dfeece0ff8	63aa0b970cc36ba9ab971b01450f7a9a41a8817876694644a23b0f045480eda3	24b8097d2dcd66bff2ece7fa794f247b9649854a700a0ee42d3905ee55f3ed80
AL+O	T0_EXACT_OBSERVED	2	1	49	5	245	0	49	230	6e9465bd7e345c433e8d2d1de320cdb77e20e27139b5a304bc844e0c6a2891cb	9ba29708aa4821d0bc4f56d11c6cbf6e80d3a2bd3d396fea9ef0bdf4778b0fbb	ef2639068a7cfb165f8a4c7b6d332c98c74d642b3b1dfe50c17ab0ef7df0cb8e
AL+O+Y	T0_EXACT_OBSERVED	3	1	49	5	245	245	10	50	e9def4f002058a388b0cf9ed6964fc9fdf39f30f0ffee0e976e574760e7350be	f2069281e5a2e03f95a9d8bb11a19256bdc2fc1b46bef2b0204f90bfaf921453	3eecc310b1b753c1d6cf5330c593f9ab4fa4312a52036d8bfc97049731c8c13a
AL+OL	T0_EXACT_OBSERVED	2	1	49	5	245	0	49	230	6e9465bd7e345c433e8d2d1de320cdb77e20e27139b5a304bc844e0c6a2891cb	eb6475d2a8d13959c1a1956c9b77cfed0d64683ed1120b1fb5f43b1668266b43	c838e367662d3aa65e58eedd863fda46f7e9e0d2fcd83acd06174b9ed0ab476c
AL+OL+Y	T4_NARROW_APPENDIX	3	2	49	5	245	245	10	50	e9def4f002058a388b0cf9ed6964fc9fdf39f30f0ffee0e976e574760e7350be	34fcec4b19d5b18ee5c13275403abdb46ce12416d91f0a7438ef8b1dd853b7bd	0e914e6144d87510accb891db9060f67e1f4f56f5cf15ab21f3393bcfced3c8e
AL+OR	T0_EXACT_OBSERVED	2	3	49	5	245	245	10	50	69deda7d351e2a884cddd51414d4727f8a289d2fa6796a2f2851c0d8b36a7a88	41b4dee7feecc9de844063ef8746bcded0620c237fe522cc9695c97d844c7fc0	0bed4c6049ebc4499bce71e93a9465033a22aaa4b05867cb423c11f6cfabcdf6
AL+R+OR	T0_EXACT_OBSERVED	3	1	49	5	245	0	1	5	40d9d6f65f69e8c70a115bff3ea025ca7f93549f8fb4d0306e2fc2a03db53105	db5ff4d6bd4d8c0d17eb8a83683b50fec236c6ff25f927ad3a782ff9744c2f64	cb3f95f17845a65bbacb448a09a637296d2b7f0cfad76bca7edac55fee7b9bb2
AL+S	T0_EXACT_OBSERVED	2	1	49	5	245	0	5	25	54aaf4f3d16987baef9768d506ff82873939ab62ce214a015d5b52498ebbba7d	58c77a472f2374be72103de0194a8714487623d98f25781d67ecdc583f89d328	3e49c1a33512beb770fbb0ed70edc57214925fd99f93a3f611eff78bd7be729c
AL+S+Y	T0_EXACT_OBSERVED	3	1	49	5	245	0	1	5	d0c2fc14c184c015c2b16aba322a969e1b5335fbf55d403b004e61f0806a269a	89cb46bc6d98a3ea77dd69347358630ea96532a88fd5ffa0795efc2efd608460	6942385bd7418ec21027c5c9a8ebc65dbc6cef1c40efab9158bacfab0254e8cd
AL+SH	T4_NARROW_APPENDIX	2	2	49	5	245	0	5	25	539cd96cfccbcc30c6b1a77bd020cfdf5203cc3fa6016e376cd251dfeece0ff8	ccbee755a009eea7cf3edab0d96886efdc05c4580c8c1db4c04e6224367e3087	70e2f908e4f1a6a694de47db636b0902f103a9cb813be01be778d65241194f02
AL+SH+E+DY	T0_EXACT_OBSERVED	4	2	49	5	245	0	5	25	539cd96cfccbcc30c6b1a77bd020cfdf5203cc3fa6016e376cd251dfeece0ff8	a43f706459ee91de2ced54f11f4010e18e14c63e21a31e3e47ce99cda8dd0c01	12b4e7df5ea8e3a8fff42490863f1b5811296977ad45f3ef469bb66f0cc45cee
AL+SH+Y	T0_EXACT_OBSERVED	3	1	49	5	245	0	1	5	f5d97aaa811b351d4d7609ce2740f846b5ba6f85b1820c6ebee6198ef6abcd87	ff88e4888d7c128a25ede87dad1eff930396fa3c3451acaf3087db5d44aa12c1	26b7ee0d912c17ebebf619bed2c6e2faa1a91e2d019cba34d3efbf1fbe0f41ce
AL+T+E+D_ADDR+Y	T0_EXACT_OBSERVED	5	1	49	5	245	0	1	5	3bba28a27e8802255767cb6f2658822aa4a4263907fb66d07c6217fb70adef11	5ec17e2dca9cfe70aa35648924ab9d05e127c5149f5c0818877a2892cca8d338	7f0d4d6ca01b85c3eb9f15252644b73356d5d16838c4efc833212de7e5beeee3
AL+Y	T0_EXACT_OBSERVED	2	9	49	5	245	245	10	50	e9def4f002058a388b0cf9ed6964fc9fdf39f30f0ffee0e976e574760e7350be	8ce8b58a49d62091e50e0527661caac6daad4752d5f7ecef1eb50ef78f264cc8	cbaae74c0d90146671bad51fc1bb88651d21d8e427f20473f2a3068186bc8a6a
AM_ADDR	T0_EXACT_OBSERVED	1	9	49	5	245	0	49	201	6e9465bd7e345c433e8d2d1de320cdb77e20e27139b5a304bc844e0c6a2891cb	e1cacb854e9193315815236539a7f425f341ee4727da18de9c3f6170656cde98	b61e28f10031d52bee2d3d1dd7baa10fbaf4a6bcd7d276085cddf85b989d4047
AM_ADDR+Y	T0_EXACT_OBSERVED	2	1	49	5	245	0	10	50	e9def4f002058a388b0cf9ed6964fc9fdf39f30f0ffee0e976e574760e7350be	db407693e2af010fdbad73e80307323da0fa7cf995e21b21e63fa9cb4661de32	5aa73c5edff9bd4a90b9a7f52a9f63494116fce578674baf8d17a204af032b9d
AR	T0_EXACT_OBSERVED	1	39	49	5	245	0	49	230	6e9465bd7e345c433e8d2d1de320cdb77e20e27139b5a304bc844e0c6a2891cb	89d4f6b700193bc2d4074631c968c38885f2f1c3d6d78ff9d359214124119119	509796034cee66dc048d690b6574ad920a0fa76525383154bc4e53dda366f32f
AR+AIIN	T0_EXACT_OBSERVED	2	1	49	5	245	245	10	50	b7db7ebf91c5c330edc58279f60b6a1109934d9063f3e5012b1f4abe10019816	f5c3b78816f93178a71a88214e8f0ee607d9992c3a42dab5d8205008af265403	4735c376a6a01905a907f4d93e0c625532c4105d73a039288c385e33a6cc6e43
AR+AIN	T2_FUTURE_STRONG	2	3	49	5	245	245	10	50	77d2e2599f1aa01b5c01284d78c1a5644657a684117cbd4616b5d86cdc64d6a0	92cb8023c341f2a4737b8cf638a160a1467d927a54d07fab4aa4e348d297dd5c	c1247533996b01369bd38668a418c93903e645e8e0243293fcddb159f734cb88
AR+AL	T4_NARROW_APPENDIX	2	2	49	5	245	0	49	230	6e9465bd7e345c433e8d2d1de320cdb77e20e27139b5a304bc844e0c6a2891cb	6a3b032a1b70c14ad4de3ded321d842e4630b96f01fe8d2cbc0342a20fb9062b	6fad2e06bafb99df2114e9da686d772628649a2929a338577cff37f5d22cccba
AR+CH+EE+OR	T4_NARROW_APPENDIX	4	2	49	5	245	0	1	5	8bfc98c988dd74d23342052b9aaf131e9e1cf58ef286ae2c7b406f2b74d16bfb	16950d3dadd49f2de48e3142df268699eda9bb2807b2a6135361cb6d0febe9e5	003d3d8f9a571c6e37f8340e22ce266513770fd50f65eef3950c36039f1ddbd8
AR+CH+EE+Y	T0_EXACT_OBSERVED	4	2	49	5	245	0	1	5	ccb0fdbd3dc57fe564370973dd1aa7cf144e55842dcbd1ecde3e690309a99993	b62eaccbdc6ae87fbb2c33d62c041cdcc2de992aee94530ee5e652b0679eecfa	de0cd51c974adc9df189bf802b4200b9102656a9b4dd43a2281a623cec766506
AR+CH+Y+T+AIIN	T0_EXACT_OBSERVED	5	1	49	5	245	0	1	5	2df417ace50d3b2c11e97e89bead9023422345b310dc06f894f7d4c7597e0496	07fe2be91890fbbd6e55c3294d6f1f901ee62e10fb0e3e5b39a3cc1aba3f73e6	191520bc705850bda93adf952e511d20660c2f2c0b960ac28af2dba211c7eec8
AR+CHD	T4_NARROW_APPENDIX	2	2	49	5	245	0	5	25	6d84e51f3fa2bfd0941a935970090f632edbbdae8a4bb23efdc4e223a2730a87	6309983ec0e960c70fc03a1f9554f223811f1f490b8d259091aa659ccef06703	c54978fd19d0fe8126fd8aecebf5e848b4a5d6caab71d06ab26b26d7a39e1730
AR+CHD+DY	T4_NARROW_APPENDIX	3	2	49	5	245	0	5	25	6d84e51f3fa2bfd0941a935970090f632edbbdae8a4bb23efdc4e223a2730a87	7c97b6af938c7a41b30d6289573d32b00a908ce9fe092e9a9980701f62e51757	01037a2e61bb9a7b24bba8d0d11ab92c136dada813e8053fc462f40b3c4af5a9
AR+DY	T4_NARROW_APPENDIX	2	2	49	5	245	0	49	230	6e9465bd7e345c433e8d2d1de320cdb77e20e27139b5a304bc844e0c6a2891cb	cd0c42f1bde79af0bc0eb40dae55fb99d1c6ff3c6d3e9db327cf9e24214d9cef	ddc08892bab342f17edb86f61e95d9bfd3afcb627456046b365dd6d52ef6f97d
AR+K+AIN	T4_NARROW_APPENDIX	3	2	49	5	245	0	1	5	a143e8ea70234eb1b76f15ff69a31ccb7939290c82805d0462d7e82fa4419131	5cf32c7e0acc5ad8b5c201cb63ce8133b06c826263720f8105ee60d2a820fbe3	5a6c072d1f442169064f0fd19c5843dfe6ac2bb49f3eb3d681baaaa653529db3
AR+O	T4_NARROW_APPENDIX	2	2	49	5	245	0	49	230	6e9465bd7e345c433e8d2d1de320cdb77e20e27139b5a304bc844e0c6a2891cb	c78be896711aee148c859b581a32a2d55f6778d5aeb895bba654f50ed61ab7aa	9cad27969a8ec1335132098f5f9033f088607579ef525271ec88b25702d73a7b
AR+OL	T0_EXACT_OBSERVED	2	4	49	5	245	0	49	230	6e9465bd7e345c433e8d2d1de320cdb77e20e27139b5a304bc844e0c6a2891cb	7cfbcf332ef76088c86eba152e98d50cb1ace8ad090f8d038154c7637dd7903a	a7366c137ad2d7c7f0334eea740affd3bce227c41fe9eefceaa52d2f41f5c0e4
AR+OL+Y	T0_EXACT_OBSERVED	3	1	49	5	245	245	10	50	e9def4f002058a388b0cf9ed6964fc9fdf39f30f0ffee0e976e574760e7350be	cb297e01b92546ed2591eefce0523e82a26f7e3d5b60c35691f28fdcbc49c598	3076df878e3c037ae191d3af20c66e6dde6ae8adf360c1cb2cc8aa26392d7157
AR+OR	T1_FUTURE_HIGH	2	4	49	5	245	245	10	50	69deda7d351e2a884cddd51414d4727f8a289d2fa6796a2f2851c0d8b36a7a88	1980dfaaca335940b706681009180ee7a99b0a68eb018a7a7d2da217fcb91aff	325ed12cef2a49c71f861ec25dee24ebedc4a9fdfc7e5f69bcde270078f1ade6
AR+S+A_ADDR	T0_EXACT_OBSERVED	3	1	49	5	245	0	5	25	54aaf4f3d16987baef9768d506ff82873939ab62ce214a015d5b52498ebbba7d	dcad75b86b69fdfc1a4bd77195ef9b5813d5fde46b032e146e9b043c37d4243e	b7af88be6176ab9530cc2208b055f353e50f9e08d7040a5cf0862811a93b595f
AR+SH+E+DY	T4_NARROW_APPENDIX	4	2	49	5	245	0	5	25	539cd96cfccbcc30c6b1a77bd020cfdf5203cc3fa6016e376cd251dfeece0ff8	9927f15a6ce1e32e018989c26e8153f1ea0d32b21ff3191b52fee177213a97c1	eba9f709d6107d524ef2d9bb09f397599c5d28446a75bf7d05d2f3a17cff09c0
AR+Y	T0_EXACT_OBSERVED	2	1	49	5	245	245	10	50	e9def4f002058a388b0cf9ed6964fc9fdf39f30f0ffee0e976e574760e7350be	e599f5b1558d81068eb029cb9a7d74936d97b68812f923216e1e4cd6ff5b6047	cedde4dca5fdd47cf78f86dbcd45a1dc4ee74057e8449d934bb7ab3ddcb10267
A_ADDR	T0_EXACT_OBSERVED	1	1	49	5	245	0	49	201	6e9465bd7e345c433e8d2d1de320cdb77e20e27139b5a304bc844e0c6a2891cb	e1cacb854e9193315815236539a7f425f341ee4727da18de9c3f6170656cde98	b61e28f10031d52bee2d3d1dd7baa10fbaf4a6bcd7d276085cddf85b989d4047
