revision_id	unit_scope	prior_v69_default	v71_image_owner	revision_action	historical_basis	strongest_rival	confidence	mapped_unit_count
A67_SEVEN	f67r2 loci 15/22/28/31/34/37/47	Seven named planetary rows in a 7x12 matrix.	At most seven spaced local anchors/emblem slots survive as a formal inventory.	KEEP_SEVEN_LOCATION_CANDIDATE; WITHDRAW_PLANET_NAMES_AND_CROSS_PRODUCT	A sevenfold astrological series is historical context, not an image identification.	Ordinary ring labels with no coherent sevenfold owner.	0.52	7
A67_OUTER12	f67r2 loci 52-63	Twelve named auxiliary houses.	Each locus owns only one outer radial/emblem slot of the right rosette wheel.	KEEP_OUTER_LOCAL_SLOT; WITHDRAW_HOUSE_LABELS	Nested rings are historically plausible; house meanings require an external legend.	Outer circumferential text divided by available space.	0.62	12
A67_OUTER_BAND	f67r2 loci 64-71	Eight semantic conditions in a lookup algorithm.	The red outer circumferential band of the right wheel is the inherited owner.	KEEP_BAND_PLACEMENT; WITHDRAW_CONDITION_MEANINGS	Rubric rings can be legends, instructions, or labels; their syntax is not visible.	Independent page rubric rather than wheel legend.	0.60	8
A67_PAGE	f67r2 loci 72-74	Long lookup and medical instruction blocks.	Only the paired celestial-wheel page can own these prose blocks.	WITHDRAW_PROSE_CONTENT; KEEP_PAGE_OWNER	Period diagrams commonly coexist with explanatory prose, but the image cannot supply its wording.	A continuation unrelated to either wheel.	0.79	3
A68_HEADER	f68r1 loci 1-7	A single 28-house catalogue header and instructions.	The multipanel star atlas, not one universal 28-item route, owns the prose heads.	WITHDRAW_SINGLE_CATALOGUE_AND_ROUTE; KEEP_MULTIPANEL_PAGE_OWNER	Star catalogues and lunar-station diagrams are period-plausible, but no inter-panel route is drawn.	Independent captions for the two open fields.	0.70	7
A68_CENTER	f68r1 locus 8	One central lunar catalogue owner.	The label cannot be assigned among five face medallions from the frozen crosswalk.	WITHDRAW_LUNAR_NAME; MARK_CENTRE_OWNER_UNRESOLVED	Face medallions can mark celestial owners, winds, or mnemonic centres without fixing identity.	The centre of the right circular field specifically.	0.38	1
A68_STARS	f68r1 loci 9-36	Twenty-eight named lunar houses with imported operations.	Each locus owns only its adjacent drawn star station or compact star cluster.	KEEP_SPATIAL_ADDRESS; WITHDRAW_NAMES_OPERATIONS_AND_SEQUENCE	Local star labels are a normal catalogue device; route, start, and meaning remain external.	Sector address rather than individual star station.	0.84	28
A68_RIGHT_CENTER	f68r1 locus 37	A legend proving a complete 28-house lunar circle.	The central face and right circular star field jointly own the local central legend.	LOCALIZE_LEGEND; WITHDRAW_NUMBER_NAME_AND_DIRECTION	A centre-plus-surrounding-stars catalogue is visually plausible only for the right panel.	Page-wide legend covering all three panels.	0.67	1
A69_PAGE	f69v loci 1-3	One ordered 28-rule schedule header.	The three separate rosettes and far-right prose block provide only a page owner.	WITHDRAW_ONE_SCHEDULE; KEEP_THREE_DEVICE_PAGE_OWNER	Multiple independent circular devices can coexist on one foldout without a crosswalk.	One shared rubric applying to all three rosettes.	0.75	3
A69_LEFT_SLOTS	f69v loci 4-31	Twenty-eight ordered rules with medical or workshop content.	Each locus owns one local club-ended radial place in the left rosette only.	KEEP_LOCAL_28_PLACE_INVENTORY; WITHDRAW_RULE_MEANING_START_AND_DIRECTION	A 28-place lunar wheel is historically possible, but only the visible local carrier survives.	Circumferential label fragments not individually attached to spokes.	0.73	28
