master_card_id	master_form	records	event_count	old_composite_default_de	atomic_whole_card_default_de	syntactic_type	teaching_rule
MC057	otchedy	B3	2	danach · übertragen; schließen	Folgetransfer; Schluss	LEARNED_TRANSFER_OR_ADDRESS	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC058	sheckhal	B1	1	Passage · kurz · Ziel	Kurze Zielpassage	LEARNED_PROCESS_OR_PATH	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC061	sshkchdy	B1	1	Haltetransfer; Schluss	Haltetransfer; Schluss	LEARNED_PROCESS_OR_STATE	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC063	oteey	B2	2	danach · länger · Posten	Langfolge	LEARNED_PROCESS_OR_STATE	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC064	chedchy	B3	1	übertragen · Posten	Postentransfer	LEARNED_TRANSFER_OR_ADDRESS	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC065	ls	B2	1	abführen	Auslass	LEARNED_TRANSFER_OR_ADDRESS	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC066	lcheey	B2	1	abführen · Klarlauf	Klarabzug	LEARNED_PROCESS_OR_PATH	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC067	otchdy	B5	1	danach · übertragen; schließen	Nachtransfer; Schluss	LEARNED_TRANSFER_OR_ADDRESS	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC070	pchedy	B2	1	zuführen · übertragen; schließen	Zuführung; Schluss	LEARNED_TRANSFER_OR_ADDRESS	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC076	dsheol	B1	1	halten · kurz · weiter	Kurzhalt	LEARNED_PROCESS_OR_STATE	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC078	olsaly	B3	1	Ziel · Posten	Zwischenziel	LEARNED_TRANSFER_OR_ADDRESS	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC079	daldy	B2	1	Ziel; schließen	Zielschluss	LEARNED_TRANSFER_OR_ADDRESS	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC081	okair	B3	1	einsetzen · Lauf	Laufeinsatz	LEARNED_TRANSFER_OR_ADDRESS	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC084	rshedy	B2	1	waschen; schließen	Waschschluss	LEARNED_PROCESS_OR_PATH	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC089	skar	B4	1	ausgießen · Quelle	Quellausguss	LEARNED_TRANSFER_OR_ADDRESS	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC091	dairydy	B4	1	Lauf · Posten; schließen	Laufschluss	LEARNED_TRANSFER_OR_ADDRESS	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC092	lol	B5	1	abführen · weiter	Weiterabzug	LEARNED_TRANSFER_OR_ADDRESS	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC094	cheeety	B3	1	vollständig · Teil	Vollteil	LEARNED_PROCESS_OR_STATE	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC095	sheey	B4	1	halten · länger · Posten	Langhalt	LEARNED_PROCESS_OR_STATE	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC096	qokeedal	B1	1	einsetzen · länger · Ziel	Langer Zieleinsatz	LEARNED_PROCESS_OR_STATE	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC101	ldalor	B6	1	Ziel	Endziel	LEARNED_TRANSFER_OR_ADDRESS	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC102	rsheal	B2	1	halten · kurz · Ziel	Kurzhalt am Ziel	LEARNED_PROCESS_OR_STATE	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC106	teol	B1	1	kurz · weiter	Kurzfortsetzung	LEARNED_PROCESS_OR_STATE	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC109	ytey	B1	1	Posten · kurz · Teil	Kurzteil	LEARNED_PROCESS_OR_STATE	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC110	chkeedy	B3	1	wärmen · länger; schließen	Langwärmen; Schluss	LEARNED_PROCESS_OR_STATE	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC112	octheol	B2	1	bereitstellen · weiter	Fortsetzung vorbereiten	LEARNED_PROCESS_OR_STATE	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC116	schedair	B3	1	Lauf	Weiterlauf	LEARNED_TRANSFER_OR_ADDRESS	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC118	ly	B1	1	abführen · Posten	Abführposten	LEARNED_TRANSFER_OR_ADDRESS	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC121	otar	B1	1	danach · Quelle	Folgequelle	LEARNED_TRANSFER_OR_ADDRESS	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC124	lkedy	B4	1	abführen · kurz; schließen	Kurzabzug; Schluss	LEARNED_PROCESS_OR_STATE	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC126	pchedal	B3	1	zuführen · übertragen · Ziel	Zielzuführung	LEARNED_TRANSFER_OR_ADDRESS	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC127	lched	B2	1	abführen · übertragen	Abführung	LEARNED_TRANSFER_OR_ADDRESS	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC130	lsho	B1	1	waschen	Waschgang	LEARNED_PROCESS_OR_PATH	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC132	sheckhy	B2	1	Passage · kurz · Posten	Kurzpassage	LEARNED_PROCESS_OR_PATH	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC133	lcheckhedy	B2	1	abführen · trennen; schließen	Trennabzug; Schluss	LEARNED_PROCESS_OR_PATH	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC134	qolky	B1	1	weiter	Weitergang	LEARNED_ORDER_OR_LINK	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC135	otedy	B3	2	danach · kurz; schließen	Kurzfolge; Schluss	LEARNED_PROCESS_OR_STATE	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC137	shecthy	B3	1	bereitstellen · kurz · Posten	Kurzvorbereitung	LEARNED_PROCESS_OR_STATE	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC138	dshedy	B2	1	absetzen · kurz; schließen	Kurzabsetzen; Schluss	LEARNED_PROCESS_OR_STATE	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC139	dchdy	B1	1	übertragen; schließen	Transfer; Schluss	LEARNED_TRANSFER_OR_ADDRESS	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC140	qokeeedy	B2	1	einsetzen · vollständig; schließen	Volleinsatz; Schluss	LEARNED_PROCESS_OR_STATE	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC141	tshey	B2	1	Klarlauf	Klarlauf	LEARNED_PROCESS_OR_PATH	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC144	chldaiin	B3	1	absetzen · Sollmaß	Sollabsetzung	LEARNED_PROCESS_OR_STATE	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC145	chedain	B3	1	übertragen · Anteil	Anteilstransfer	LEARNED_TRANSFER_OR_ADDRESS	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC146	chealror	B3	1	Ziel · Bereitung	Zielbereitung	LEARNED_OBJECT	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC149	solshedy	B2	1	weiter · absetzen; schließen	Folgeabsetzen; Schluss	LEARNED_PROCESS_OR_STATE	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC150	okeeol	B4	1	einsetzen · länger · weiter	Langfortsetzung	LEARNED_PROCESS_OR_STATE	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC151	qokshedy	B3	1	einsetzen · absetzen; schließen	Einsatzabsetzen; Schluss	LEARNED_PROCESS_OR_STATE	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC152	ches	B2	1	teilen	Teilen	LEARNED_LOCAL_ACTION	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC162	qolchey	B4	1	weiter · Posten	Weiterposten	LEARNED_ORDER_OR_LINK	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC164	qokylddy	B4	1	einsetzen · Posten · festbinden	Festsetzen; Schluss	LEARNED_APPLICATION_ACTION	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC165	qockhey	B4	1	Kurzpassage	Kurzdurchgang	LEARNED_PROCESS_OR_PATH	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC166	chkeey	B2	1	wärmen · länger · Posten	Langwärmen	LEARNED_PROCESS_OR_STATE	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC167	lochedy	B2	1	abführen · übertragen; schließen	Abführung; Schluss	LEARNED_TRANSFER_OR_ADDRESS	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC168	lcheckhy	B2	1	abführen · Passage · Posten	Abführpassage	LEARNED_PROCESS_OR_PATH	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
MC172	daiiin	B5	1	Arbeitsstufe	Endstufe	LEARNED_QUANTITY_OR_STAGE	MEMORIZE_AS_ONE_BIO_CARD__DO_NOT_DECOMPOSE
