local_witness_id	target_matrix_cell_id	target_frame	target_action_root	target_action_recipe	target_register	observed_matrix_cell_id	observed_action_root	observed_action_recipe	observed_event_count	observed_clause_form_count	observed_pages	observed_event_ids	observed_selected_phrase_de	all_observed_clause_forms_de	exact_same_frame_and_register
G499-L0068	G498-M042	@ACTION	P	P	HERBAL	G498-M022	S	S	9	2	f11r|f13r|f55v|f56r|f95v	G407-E0352|G407-E0360|G407-E0384|G407-E0386|G407-E0430|G407-E0768|G407-E0875|G407-E4436|G407-E4563	Wähle den Pflanzenposten [wie zuvor].	Wähle den Arbeitswert [wie zuvor]. || Wähle den Pflanzenposten [wie zuvor].	YES
G499-L0069	G498-M042	@ACTION	P	P	HERBAL	G498-M032	T	T	1	1	f56r	G407-E0858	Stelle den Pflanzenposten [wie zuvor] ein.	Stelle den Pflanzenposten [wie zuvor] ein.	YES
G499-L0070	G498-M042	@ACTION	P	P	HERBAL	G498-M037	R	R	3	2	f24v|f56r	G407-E0644|G407-E0860|G407-E0886	Markiere den Pflanzenposten [wie zuvor].	Markiere den Pflanzenposten [wie zuvor]. || Markiere die Arbeitseinheit [wie zuvor].	YES
G499-L0071	G498-M043	@ACTION	P	P	BIOLOGICAL	G498-M003	OK	OK	1	1	f75r	G407-E1456	Setze den Stationsposten [wie zuvor] im Stationsgang an.	Setze den Stationsposten [wie zuvor] im Stationsgang an.	YES
G499-L0072	G498-M043	@ACTION	P	P	BIOLOGICAL	G498-M008	CH	CH	1	1	f75r	G407-E1811	Entnimm den Stationswert [wie zuvor].	Entnimm den Stationswert [wie zuvor].	YES
G499-L0073	G498-M043	@ACTION	P	P	BIOLOGICAL	G498-M013	SH	SH	1	1	f77r	G407-E2652	Halte den Stationswert [wie zuvor].	Halte den Stationswert [wie zuvor].	YES
G499-L0074	G498-M043	@ACTION	P	P	BIOLOGICAL	G498-M023	S	S	12	4	f75r|f76r|f77r|f81v|f82r|f83r	G407-E1731|G407-E1945|G407-E2659|G407-E2666|G407-E2691|G407-E2982|G407-E3299|G407-E3321|G407-E3544|G407-E3571|G407-E3702|G407-E3716	Wähle den Stationsposten [wie zuvor].	Wähle den Stationsanteil [wie zuvor]. || Wähle den Stationsposten [wie zuvor]. || Wähle den Stationswert [wie zuvor]. || Wähle die Stationseinheit [wie zuvor].	YES
G499-L0075	G498-M043	@ACTION	P	P	BIOLOGICAL	G498-M028	CHD	CHD	2	2	f77r|f83r	G407-E2428|G407-E3624	Bearbeite den Stationswert [wie zuvor].	Bearbeite den Stationsanteil [wie zuvor]. || Bearbeite den Stationswert [wie zuvor].	YES
G499-L0076	G498-M043	@ACTION	P	P	BIOLOGICAL	G498-M038	R	R	12	2	f75r|f76r|f77r|f81v|f82r|f83r	G407-E1463|G407-E1527|G407-E1912|G407-E2127|G407-E2152|G407-E2513|G407-E2656|G407-E3063|G407-E3237|G407-E3273|G407-E3296|G407-E3532	Markiere den Stationsposten [wie zuvor].	Markiere den Stationsposten [wie zuvor]. || Markiere.	YES
G499-L0077	G498-M044	@ACTION	P	P	CELESTIAL	G498-M024	S	S	3	3	f67r2|f72r	G407-E0903|G407-E1243|G407-E1325	Wähle.	Wähle den Positionsposten [wie zuvor]. || Wähle die Positionseinheit [wie zuvor]. || Wähle.	YES
G499-L0078	G498-M044	@ACTION	P	P	CELESTIAL	G498-M039	R	R	2	2	f67r2|f72r	G407-E0938|G407-E1249	Markiere den Positionsposten [wie zuvor].	Markiere den Positionsposten [wie zuvor]. || Markiere die Positionseinheit [wie zuvor].	YES
G499-L0079	G498-M045	@ACTION	P	P	PHARMA	G498-M025	S	S	13	4	f88r|f88v|f89r	G407-E3812|G407-E3860|G407-E3862|G407-E3887|G407-E3903|G407-E3959|G407-E4090|G407-E4099|G407-E4147|G407-E4269|G407-E4289|G407-E4340|G407-E4378	Wähle den Drogenposten [wie zuvor].	Wähle den Drogenanteil [wie zuvor]. || Wähle den Drogenposten [wie zuvor]. || Wähle den Mengenwert [wie zuvor]. || Wähle die Ansatzeinheit [wie zuvor].	YES
G499-L0080	G498-M045	@ACTION	P	P	PHARMA	G498-M040	R	R	3	2	f88v|f89r	G407-E4030|G407-E4172|G407-E4386	Markiere den Drogenposten [wie zuvor].	Markiere den Drogenposten [wie zuvor]. || Markiere den Mengenwert [wie zuvor].	YES
G499-L0081	G498-M051	@ACTION+AIIN	CH	CH+AIIN	SOURCE_SECTION_T	G498-M046	OK	OK+AIIN	1	1	f1r	G407-E0037	Trage den Kennwert ein.	Trage den Kennwert ein.	YES
G499-L0082	G498-M051	@ACTION+AIIN	CH	CH+AIIN	SOURCE_SECTION_T	G498-M056	SH	SH+AIIN	1	1	f1r	G407-E0161	Halte den Kennwert fest.	Halte den Kennwert fest.	YES
G499-L0083	G498-M051	@ACTION+AIIN	CH	CH+AIIN	SOURCE_SECTION_T	G498-M061	K	K+AIIN	2	1	f1r	G407-E0176|G407-E0182	Ordne den Kennwert zu.	Ordne den Kennwert zu.	YES
G499-L0084	G498-M053	@ACTION+AIIN	CH	CH+AIIN	BIOLOGICAL	G498-M048	OK	OK+AIIN	44	1	f75r|f76r|f77r|f81v|f82r|f83r	G407-E1823|G407-E1954|G407-E2080|G407-E2093|G407-E2129|G407-E2133|G407-E2277|G407-E2332|G407-E2387|G407-E2413|G407-E2443|G407-E2451|G407-E2460|G407-E2521|G407-E2545|G407-E2551|G407-E2566|G407-E2596|G407-E2600|G407-E2601|G407-E2605|G407-E2609|G407-E2630|G407-E2646|G407-E2685|G407-E2936|G407-E2956|G407-E2966|G407-E2976|G407-E3198|G407-E3199|G407-E3244|G407-E3248|G407-E3280|G407-E3287|G407-E3348|G407-E3351|G407-E3393|G407-E3410|G407-E3464|G407-E3480|G407-E3506|G407-E3551|G407-E3584	Setze den Stationswert im Stationsgang an.	Setze den Stationswert im Stationsgang an.	YES
G499-L0085	G498-M053	@ACTION+AIIN	CH	CH+AIIN	BIOLOGICAL	G498-M063	K	K+AIIN	3	1	f81r|f81v	G407-E2911|G407-E2961|G407-E3006	Führe den Stationswert zu.	Führe den Stationswert zu.	YES
G499-L0086	G498-M053	@ACTION+AIIN	CH	CH+AIIN	BIOLOGICAL	G498-M068	S	S+AIIN	13	1	f75r|f76r|f77r|f81v|f83r	G407-E1556|G407-E1944|G407-E2305|G407-E2315|G407-E2355|G407-E2470|G407-E2561|G407-E2947|G407-E3588|G407-E3639|G407-E3691|G407-E3706|G407-E3725	Wähle den Stationswert.	Wähle den Stationswert.	YES
G499-L0087	G498-M053	@ACTION+AIIN	CH	CH+AIIN	BIOLOGICAL	G498-M073	CHD	CHD+AIIN	5	1	f77r|f83r	G407-E2424|G407-E2502|G407-E2516|G407-E2610|G407-E3751	Bearbeite den Stationswert.	Bearbeite den Stationswert.	YES
G499-L0088	G498-M053	@ACTION+AIIN	CH	CH+AIIN	BIOLOGICAL	G498-M078	T	T+AIIN	2	1	f81r|f82r	G407-E2893|G407-E3440	Stelle den Stationswert ein.	Stelle den Stationswert ein.	YES
G499-L0089	G498-M053	@ACTION+AIIN	CH	CH+AIIN	BIOLOGICAL	G498-M083	R	R+AIIN	7	1	f76r|f77r|f82r	G407-E2340|G407-E2603|G407-E2676|G407-E2694|G407-E3370|G407-E3374|G407-E3423	Markiere den Stationswert.	Markiere den Stationswert.	YES
G499-L0090	G498-M054	@ACTION+AIIN	CH	CH+AIIN	CELESTIAL	G498-M049	OK	OK+AIIN	7	1	f71v|f72r	G407-E1132|G407-E1178|G407-E1193|G407-E1194|G407-E1231|G407-E1289|G407-E1298	Setze den Positionswert.	Setze den Positionswert.	YES
G499-L0091	G498-M054	@ACTION+AIIN	CH	CH+AIIN	CELESTIAL	G498-M064	K	K+AIIN	1	1	f71v	G407-E1106	Ordne den Positionswert zu.	Ordne den Positionswert zu.	YES
