source_ordinal	source_id	main_visible_event	page	record	statement_id	exact_card_id	surface	component_recipe	reading_de	render_count	layout_license
56	S056	E056	f55v	H4	H4-S001	PROC038	qokaiin	OK+AIIN	ANSETZEN · SOLLMASS	1	NORMAL_ONCE
57	S057	E057	f55v	H4	H4-S001	PROC009	chaiin	AIIN	SOLLMASS	1	NORMAL_ONCE
58	S058	E058	f55v	H4	H4-S001	PROC039	ykain	Y+K+AIN	DIES · ZUGEBEN · PORTION	1	NORMAL_ONCE
59	S059	E059	f55v	H4	H4-S001	PROC040	ykan	Y+K+AN	DIES · ZUGEBEN · NACHGABE	1	NORMAL_ONCE
60	S060	E060	f55v	H4	H4-S001	PROC041	ody	O+DY	ARBEITSGANG · SCHLUSS	1	NORMAL_ONCE
61	S061	E061	f55v	H4	H4-S002	PROC009	daiin	AIIN	SOLLMASS	1	NORMAL_ONCE
62	S062	E062	f55v	H4	H4-S002	PROC042	chedy	CHD+Y	UMSETZEN · DIES	1	NORMAL_ONCE
63	S063	E063	f55v	H4	H4-S002	PROC043	talam	TALAM	VERWAHREN	1	NORMAL_ONCE
64	S064	E064	f55v	H4	H4-S003	PROC044	ykaiin	Y+K+AIIN	DIES · ZUGEBEN · SOLLMASS	1	NORMAL_ONCE
65	S065	E065	f55v	H4	H4-S003	PROC045	cheoar	CH+E+O+AR	ENTNEHMEN · KURZ · ARBEITSGANG · QUELLE	1	NORMAL_ONCE
66	S066	E066	f55v	H4	H4-S003	PROC046	cheeky	CHK+EE+Y	WAERMEN · LANG · DIES	1	NORMAL_ONCE
67	S067	E067	f55v	H4	H4-S003	PROC047	oldy	OL+DY	WEITER · SCHLUSS	1	NORMAL_ONCE
68	S068	E068	f55v	H4	H4-S004	PROC009	aiin	AIIN	SOLLMASS	1	NORMAL_ONCE
69	S069	E069	f55v	H4	H4-S004	PROC048	okal	OK+AL	ANSETZEN · ZIELSTELLE	1	NORMAL_ONCE
70	S070	E070	f55v	H4	H4-S004	PROC049	oltchy	OL+T+Y	WEITER · ANWENDEN · DIES	1	NORMAL_ONCE
71	S071	E071	f55v	H4	H4-S004	PROC016	or	OR	ANSATZ	1	NORMAL_ONCE
72	S072	E072	f55v	H4	H4-S004	PROC019	y	Y	DIES	1	NORMAL_ONCE
73	S073	E073	f55v	H4	H4-S004	PROC050	orain	OR+AIN	ANSATZ · PORTION	1	NORMAL_ONCE
74	S074	E074	f56r	H5	H5-S001	PROC051	chochor	HO+CH+OR	ZUTAT · ENTNEHMEN · ANSATZ	1	NORMAL_ONCE
75	S075	E075	f56r	H5	H5-S001	PROC052	cho	HO	ZUTAT	1	NORMAL_ONCE
76	S076	E076	f56r	H5	H5-S001	PROC053	chodaly	HO+AL+Y	ZUTAT · ZIELSTELLE · DIES	1	NORMAL_ONCE
77	S077	E077	f56r	H5	H5-S001	PROC009	daiin	AIIN	SOLLMASS	1	NORMAL_ONCE
78	S078	E078	f56r	H5	H5-S001	PROC052	sho	HO	ZUTAT	1	NORMAL_ONCE
79	S079	E079	f56r	H5	H5-S001	PROC054	kchol	K+OL	ZUGEBEN · WEITER	1	NORMAL_ONCE
80	S080	E080	f56r	H5	H5-S001	PROC020	otchor	OT+CH+OR	DANACH · ENTNEHMEN · ANSATZ	1	NORMAL_ONCE
81	S081	E081	f56r	H5	H5-S001	PROC008	choky	OK+Y	ANSETZEN · DIES	1	NORMAL_ONCE
82	S082	E082	f56r	H5	H5-S001	PROC055	dal	AL	ZIELSTELLE	1	NORMAL_ONCE
83	S083	E083	f56r	H5	H5-S002	PROC034	schol	RESUME_CARD	WIEDERAUFNEHMEN	1	NORMAL_ONCE
84	S084	E084	f56r	H5	H5-S002	PROC056	choy	HO+Y	ZUTAT · DIES	1	NORMAL_ONCE
85	S085	E085	f56r	H5	H5-S002	PROC008	choky	OK+Y	ANSETZEN · DIES	1	NORMAL_ONCE
86	S086	E086	f56r	H5	H5-S002	PROC057	cheeckhody	CH+EE+CKH+O+DY	ENTNEHMEN · LANG · DURCHLASS · ARBEITSGANG · SCHLUSS	1	NORMAL_ONCE
87	S087	E087	f56r	H5	H5-S003	PROC058	sh	SH	HALTEN	1	NORMAL_ONCE
88	S088	E088	f56r	H5	H5-S003	PROC052	cho	HO	ZUTAT	1	NORMAL_ONCE
89	S089	E089	f56r	H5	H5-S003	PROC059	kchey	K+E+Y	ZUGEBEN · KURZ · DIES	1	NORMAL_ONCE
90	S090	E090	f56r	H5	H5-S003	PROC060	qokokchy	OK+OK+Y	ANSETZEN · ANSETZEN · DIES	1	NORMAL_ONCE
91	S091	E091	f56r	H5	H5-S004	PROC011	okchy	OK+Y	ANSETZEN · DIES	1	NORMAL_ONCE
92	S092	E092	f56r	H5	H5-S004	PROC061	chokcheo	OK+CH+E+O	ANSETZEN · ENTNEHMEN · KURZ · ARBEITSGANG	1	NORMAL_ONCE
93	S093	E093	f56r	H5	H5-S004	PROC062	kchal	K+AL	ZUGEBEN · ZIELSTELLE	1	NORMAL_ONCE
94	S094	E094	f56r	H5	H5-S005	PROC052	sho	HO	ZUTAT	1	NORMAL_ONCE
95	S095	E095	f56r	H5	H5-S005	PROC011	chokchy	OK+Y	ANSETZEN · DIES	1	NORMAL_ONCE
96	S096	E096	f56r	H5	H5-S005	PROC063	kchoar	K+HO+AR	ZUGEBEN · ZUTAT · QUELLE	1	NORMAL_ONCE
97	S097	E097	f56r	H5	H5-S005	PROC064	sotodan	OT+O+AIN	DANACH · ARBEITSGANG · PORTION	1	NORMAL_ONCE
98	S098	E098	f56r	H5	H5-S006	PROC065	otchey	OT+Y	DANACH · DIES	1	NORMAL_ONCE
99	S099	E099	f56r	H5	H5-S006	PROC066	keol	K+E+OL	ZUGEBEN · KURZ · WEITER	1	NORMAL_ONCE
100	S100	E100	f56r	H5	H5-S006	PROC009	daiin	AIIN	SOLLMASS	1	NORMAL_ONCE
101	S101	E101	f81v	B1	B1-S001	PROC067	qokedy	OK+E+DY	ANSETZEN · KURZ · SCHLUSS	1	NORMAL_ONCE
102	S102	E102	f81v	B1	B1-S002	PROC038	okaiin	OK+AIIN	ANSETZEN · SOLLMASS	1	NORMAL_ONCE
103	S103	E103	f81v	B1	B1-S002	PROC068	kair	K+AIR	ZUGEBEN · WASSER	1	NORMAL_ONCE
104	S104	E104	f81v	B1	B1-S002	PROC048	okal	OK+AL	ANSETZEN · ZIELSTELLE	1	NORMAL_ONCE
105	S105	E105	f81v	B1	B1-S002	PROC003	sar	AR	QUELLE	1	NORMAL_ONCE
106	S106	E106	f81v	B1	B1-S002	PROC013	ol	OL	WEITER	1	NORMAL_ONCE
107	S107	E107	f81v	B1	B1-S002	PROC069	kain	K+AIN	ZUGEBEN · PORTION	1	NORMAL_ONCE
108	S108	E108	f81v	B1	B1-S002	PROC070	olkain	OL+K+AIN	WEITER · ZUGEBEN · PORTION	1	NORMAL_ONCE
109	S109	E109	f81v	B1	B1-S002	PROC055	al	AL	ZIELSTELLE	1	NORMAL_ONCE
110	S110	E110	f81v	B1	B1-S002	PROC013	ol	OL	WEITER	1	NORMAL_ONCE
111	S111	E111	f81v	B1	B1-S002	PROC071	rol	R+OL	KUEHLEN · WEITER	1	NORMAL_ONCE
112	S112	E112	f81v	B1	B1-S002	PROC072	dl	L	LEITEN	1	NORMAL_ONCE
113	S113	E113	f81v	B1	B1-S002	PROC022	olor	OL+OR	WEITER · ANSATZ	1	NORMAL_ONCE
114	S114	E114	f81v	B1	B1-S002	PROC013	ol	OL	WEITER	1	NORMAL_ONCE
115	S115	E115	f81v	B1	B1-S002	PROC073	sheckhal	SH+E+CKH+AL	HALTEN · KURZ · DURCHLASS · ZIELSTELLE	1	NORMAL_ONCE
116	S116	E116	f81v	B1	B1-S002	PROC009	daiin	AIIN	SOLLMASS	1	NORMAL_ONCE
117	S117	E117	f81v	B1	B1-S002	PROC074	qokeedal	OK+EE+AL	ANSETZEN · LANG · ZIELSTELLE	1	NORMAL_ONCE
118	S118	E118	f81v	B1	B1-S002	PROC009	daiin	AIIN	SOLLMASS	1	NORMAL_ONCE
119	S119	E119	f81v	B1	B1-S002	PROC075	chckhy	CKH+Y	DURCHLASS · DIES	1	NORMAL_ONCE
120	S120	E120	f81v	B1	B1-S002	PROC076	schedy	CHD+DY	UMSETZEN · SCHLUSS	1	NORMAL_ONCE
121	S121	E121	f81v	B1	B1-S003	PROC013	qol	OL	WEITER	1	NORMAL_ONCE
122	S122	E122	f81v	B1	B1-S003	PROC077	sshkchdy	SH+K+CHD+DY	HALTEN · ZUGEBEN · UMSETZEN · SCHLUSS	1	NORMAL_ONCE
123	S123	E123	f81v	B1	B1-S004	PROC042	chedy	CHD+Y	UMSETZEN · DIES	1	NORMAL_ONCE
124	S124	E124	f81v	B1	B1-S004	PROC013	ol	OL	WEITER	1	NORMAL_ONCE
125	S125	E125	f81v	B1	B1-S004	PROC078	shedy	SHED+DY	ABSETZEN · SCHLUSS	1	NORMAL_ONCE
126	S126	E126	f81v	B1	B1-S005	PROC079	qolchedy	OL+CHD+DY	WEITER · UMSETZEN · SCHLUSS	1	NORMAL_ONCE
127	S127	E127	f81v	B1	B1-S006	PROC080	qokain	OK+AIN	ANSETZEN · PORTION	1	NORMAL_ONCE
128	S128	E128	f81v	B1	B1-S006	PROC075	shckhy	CKH+Y	DURCHLASS · DIES	1	NORMAL_ONCE
129	S129	E129	f81v	B1	B1-S006	PROC072	dl	L	LEITEN	1	NORMAL_ONCE
130	S130	E130	f81v	B1	B1-S006	PROC081	ral	R+AL	KUEHLEN · ZIELSTELLE	1	NORMAL_ONCE
131	S131	E131	f81v	B1	B1-S007	PROC082	qokchdy	OK+CHD+DY	ANSETZEN · UMSETZEN · SCHLUSS	1	NORMAL_ONCE
132	S132	E132	f81v	B1	B1-S008	PROC019	chey	Y	DIES	1	NORMAL_ONCE
133	S133	E133	f81v	B1	B1-S008	PROC013	ol	OL	WEITER	1	NORMAL_ONCE
134	S134	E134	f81v	B1	B1-S008	PROC083	cheky	CHK+E+Y	WAERMEN · KURZ · DIES	1	NORMAL_ONCE
135	S135	E135	f81v	B1	B1-S008	PROC013	ol	OL	WEITER	1	NORMAL_ONCE
136	S136	E136	f81v	B1	B1-S008	PROC078	shedy	SHED+DY	ABSETZEN · SCHLUSS	1	NORMAL_ONCE
137	S137	E137	f81v	B1	B1-S009	PROC067	qokedy	OK+E+DY	ANSETZEN · KURZ · SCHLUSS	1	NORMAL_ONCE
138	S138	E138	f81v	B1	B1-S010	PROC067	qokedy	OK+E+DY	ANSETZEN · KURZ · SCHLUSS	1	NORMAL_ONCE
139	S139	E139	f81v	B1	B1-S011	PROC075	chckhy	CKH+Y	DURCHLASS · DIES	1	NORMAL_ONCE
140	S140	E140	f81v	B1	B1-S011	PROC008	qoky	OK+Y	ANSETZEN · DIES	1	NORMAL_ONCE
141	S141	E141	f81v	B1	B1-S012	PROC084	lsho	LSH+O	WASCHEN · ARBEITSGANG	1	NORMAL_ONCE
142	S142	E142	f81v	B1	B1-S012	PROC085	qokey	OK+E+Y	ANSETZEN · KURZ · DIES	1	NORMAL_ONCE
143	S143	E143	f81v	B1	B1-S012	PROC086	lshedy	LSH+E+DY	WASCHEN · KURZ · SCHLUSS	1	NORMAL_ONCE
144	S144	E144	f81v	B1	B1-S013	PROC086	lshedy	LSH+E+DY	WASCHEN · KURZ · SCHLUSS	1	NORMAL_ONCE
145	S145	E145	f81v	B1	B1-S014	PROC042	chedy	CHD+Y	UMSETZEN · DIES	1	NORMAL_ONCE
146	S146	E146	f81v	B1	B1-S014	PROC087	qolky	SOLK+Y	SAMMELSTELLE · DIES	1	NORMAL_ONCE
147	S147	E147	f81v	B1	B1-S014	PROC088	lchedal	L+CHD+AL	LEITEN · UMSETZEN · ZIELSTELLE	1	NORMAL_ONCE
148	S148	E148	f81v	B1	B1-S014	PROC013	qol	OL	WEITER	1	NORMAL_ONCE
149	S149	E149	f81v	B1	B1-S014	PROC089	otar	OT+AR	DANACH · QUELLE	1	NORMAL_ONCE
150	S150	E150	f81v	B1	B1-S015	PROC090	ytey	T+E+Y	ANWENDEN · KURZ · DIES	1	NORMAL_ONCE
151	S151	E151	f81v	B1	B1-S015	PROC091	okchedy	OK+CHD+DY	ANSETZEN · UMSETZEN · SCHLUSS	1	NORMAL_ONCE
152	S152	E152	f81v	B1	B1-S016	PROC048	qokal	OK+AL	ANSETZEN · ZIELSTELLE	1	NORMAL_ONCE
153	S153	E153	f81v	B1	B1-S016	PROC092	okeey	OK+EE+Y	ANSETZEN · LANG · DIES	1	NORMAL_ONCE
154	S154	E154	f81v	B1	B1-S016	PROC013	qol	OL	WEITER	1	NORMAL_ONCE
155	S155	E155	f81v	B1	B1-S016	PROC078	cheedy	SHED+DY	ABSETZEN · SCHLUSS	1	NORMAL_ONCE
156	S156	E156	f81v	B1	B1-S017	PROC055	sal	AL	ZIELSTELLE	1	NORMAL_ONCE
157	S157	E157	f81v	B1	B1-S017	PROC093	teol	E+OL	KURZ · WEITER	1	NORMAL_ONCE
158	S158	E158	f81v	B1	B1-S017	PROC094	dchdy	CHD+DY	UMSETZEN · SCHLUSS	1	NORMAL_ONCE
159	S159	E159	f81v	B1	B1-S018	PROC095	ly	L+Y	LEITEN · DIES	1	NORMAL_ONCE
160	S160	E160	f81v	B1	B1-S018	PROC096	dsheol	SH+E+OL	HALTEN · KURZ · WEITER	1	NORMAL_ONCE
161	S161	E161	f81v	B1	B1-S018	PROC097	oiiin	O+IIN	ARBEITSGANG · ARBEITSSTUFE	1	NORMAL_ONCE
162	S162	E162	f81v	B1	B1-S018	PROC098	olkeedy	SOLK+EE+DY	SAMMELSTELLE · LANG · SCHLUSS	1	NORMAL_ONCE
163	S163	E163	f81v	B1	B1-S019	PROC078	tedy	SHED+DY	ABSETZEN · SCHLUSS	1	NORMAL_ONCE
164	S164	E164	f81v	B1	B1-S020	PROC083	cheky	CHK+E+Y	WAERMEN · KURZ · DIES	1	NORMAL_ONCE
165	S165	E165	f81v	B1	B1-S020	PROC099	shckhedy	SH+CKH+E+DY	HALTEN · DURCHLASS · KURZ · SCHLUSS	1	NORMAL_ONCE
166	S166	E166	f81v	B1	B1-S021	PROC055	chal	AL	ZIELSTELLE	1	NORMAL_ONCE
167	S167	E167	f82r	B2	B2-S001	PROC076	dchedy	CHD+DY	UMSETZEN · SCHLUSS	1	NORMAL_ONCE
168	S168	E168	f82r	B2	B2-S002	PROC079	qolchedy	OL+CHD+DY	WEITER · UMSETZEN · SCHLUSS	1	NORMAL_ONCE
169	S169	E169	f82r	B2	B2-S003	PROC080	qokain	OK+AIN	ANSETZEN · PORTION	1	NORMAL_ONCE
170	S170	E170	f82r	B2	B2-S003	PROC019	dy	Y	DIES	1	NORMAL_ONCE
171	S171	E171	f82r	B2	B2-S003	PROC100	qokeedy	OK+EE+DY	ANSETZEN · LANG · SCHLUSS	1	NORMAL_ONCE
172	S172	E172	f82r	B2	B2-S004	PROC048	qokal	OK+AL	ANSETZEN · ZIELSTELLE	1	NORMAL_ONCE
173	S173	E173	f82r	B2	B2-S004	PROC101	lcheckhy	L+CKH+Y	LEITEN · DURCHLASS · DIES	1	NORMAL_ONCE
174	S174	E174	f82r	B2	B2-S004	PROC102	lched	L+CHD	LEITEN · UMSETZEN	1	NORMAL_ONCE
175	S175	E175	f82r	B2	B2-S004	PROC092	qokeey	OK+EE+Y	ANSETZEN · LANG · DIES	1	NORMAL_ONCE
176	S176	E176	f82r	B2	B2-S004	PROC103	lcheckhedy	L+CKH+E+DY	LEITEN · DURCHLASS · KURZ · SCHLUSS	1	NORMAL_ONCE
177	S177	E177	f82r	B2	B2-S005	PROC104	qokaly	OK+AL+Y	ANSETZEN · ZIELSTELLE · DIES	1	NORMAL_ONCE
178	S178	E178	f82r	B2	B2-S005	PROC105	solkaiin	SOLK+AIIN	SAMMELSTELLE · SOLLMASS	1	NORMAL_ONCE
179	S179	E179	f82r	B2	B2-S005	PROC075	chckhy	CKH+Y	DURCHLASS · DIES	1	NORMAL_ONCE
180	S180	E181	f82r	B2	B2-S005	PROC038	qokaiin	OK+AIIN	ANSETZEN · SOLLMASS	2	E180_EDGE_COPY_BEFORE_E181
181	S181	E182	f82r	B2	B2-S005	PROC106	octheol	O+CTH+E+OL	ARBEITSGANG · BEREITEN · KURZ · WEITER	1	NORMAL_ONCE
182	S182	E183	f82r	B2	B2-S005	PROC107	chkeey	CHK+EE+Y	WAERMEN · LANG · DIES	1	NORMAL_ONCE
183	S183	E184	f82r	B2	B2-S005	PROC108	ldy	L+DY	LEITEN · SCHLUSS	1	NORMAL_ONCE
184	S184	E185	f82r	B2	B2-S006	PROC109	oteey	OT+EE+Y	DANACH · LANG · DIES	1	NORMAL_ONCE
185	S185	E186	f82r	B2	B2-S006	PROC048	qokal	OK+AL	ANSETZEN · ZIELSTELLE	1	NORMAL_ONCE
186	S186	E187	f82r	B2	B2-S006	PROC110	sheckhy	SH+E+CKH+Y	HALTEN · KURZ · DURCHLASS · DIES	1	NORMAL_ONCE
187	S187	E188	f82r	B2	B2-S006	PROC008	qoky	OK+Y	ANSETZEN · DIES	1	NORMAL_ONCE
188	S188	E189	f82r	B2	B2-S007	PROC111	dshedy	SH+E+DY	HALTEN · KURZ · SCHLUSS	1	NORMAL_ONCE
189	S189	E190	f82r	B2	B2-S008	PROC112	sotaiin	OT+AIIN	DANACH · SOLLMASS	1	NORMAL_ONCE
190	S190	E191	f82r	B2	B2-S008	PROC113	qokar	OK+AR	ANSETZEN · QUELLE	1	NORMAL_ONCE
191	S191	E192	f82r	B2	B2-S008	PROC078	shedy	SHED+DY	ABSETZEN · SCHLUSS	1	NORMAL_ONCE
192	S192	E193	f82r	B2	B2-S009	PROC114	solshedy	OL+SH+E+DY	WEITER · HALTEN · KURZ · SCHLUSS	1	NORMAL_ONCE
193	S193	E194	f82r	B2	B2-S010	PROC092	qokeey	OK+EE+Y	ANSETZEN · LANG · DIES	1	NORMAL_ONCE
194	S194	E195	f82r	B2	B2-S010	PROC008	qoky	OK+Y	ANSETZEN · DIES	1	NORMAL_ONCE
195	S195	E196	f82r	B2	B2-S010	PROC115	ls	OL	WEITER	1	NORMAL_ONCE
196	S196	E197	f82r	B2	B2-S010	PROC031	cheey	SH+EE+Y	HALTEN · LANG · DIES	1	NORMAL_ONCE
197	S197	E198	f82r	B2	B2-S011	PROC080	okain	OK+AIN	ANSETZEN · PORTION	1	NORMAL_ONCE
198	S198	E199	f82r	B2	B2-S011	PROC003	char	AR	QUELLE	1	NORMAL_ONCE
199	S199	E200	f82r	B2	B2-S011	PROC080	okain	OK+AIN	ANSETZEN · PORTION	1	NORMAL_ONCE
200	S200	E201	f82r	B2	B2-S011	PROC100	qokeedy	OK+EE+DY	ANSETZEN · LANG · SCHLUSS	1	NORMAL_ONCE
201	S201	E202	f82r	B2	B2-S012	PROC116	lchy	L+CH+Y	LEITEN · ENTNEHMEN · DIES	1	NORMAL_ONCE
202	S202	E203	f82r	B2	B2-S012	PROC031	cheey	SH+EE+Y	HALTEN · LANG · DIES	1	NORMAL_ONCE
203	S203	E204	f82r	B2	B2-S012	PROC117	qcthey	CTH+E+Y	BEREITEN · KURZ · DIES	1	NORMAL_ONCE
204	S204	E205	f82r	B2	B2-S012	PROC092	qokeey	OK+EE+Y	ANSETZEN · LANG · DIES	1	NORMAL_ONCE
205	S205	E206	f82r	B2	B2-S012	PROC118	lcheey	L+EE+Y	LEITEN · LANG · DIES	1	NORMAL_ONCE
206	S206	E207	f82r	B2	B2-S012	PROC009	daiin	AIIN	SOLLMASS	1	NORMAL_ONCE
207	S207	E208	f82r	B2	B2-S012	PROC019	chey	Y	DIES	1	NORMAL_ONCE
208	S208	E209	f82r	B2	B2-S012	PROC119	qokeeedy	OK+EEE+DY	ANSETZEN · VOLL · SCHLUSS	1	NORMAL_ONCE
209	S209	E210	f82r	B2	B2-S013	PROC120	lchedy	L+CHD+DY	LEITEN · UMSETZEN · SCHLUSS	1	NORMAL_ONCE
210	S210	E211	f82r	B2	B2-S014	PROC121	lar	L+AR	LEITEN · QUELLE	1	NORMAL_ONCE
211	S211	E212	f82r	B2	B2-S015	PROC122	tshey	SH+E+Y	HALTEN · KURZ · DIES	1	NORMAL_ONCE
212	S212	E213	f82r	B2	B2-S015	PROC100	qokeedy	OK+EE+DY	ANSETZEN · LANG · SCHLUSS	1	NORMAL_ONCE
213	S213	E214	f82r	B2	B2-S016	PROC055	cheal	AL	ZIELSTELLE	1	NORMAL_ONCE
214	S214	E215	f82r	B2	B2-S016	PROC123	lchedar	L+CHD+AR	LEITEN · UMSETZEN · QUELLE	1	NORMAL_ONCE
215	S215	E216	f82r	B2	B2-S016	PROC124	ches	CH+E+S	ENTNEHMEN · KURZ · TEIL	1	NORMAL_ONCE
