statement_id	page	record	logical_source_cards	visible_cards	source_recipe_sequence	rendered_recipe_sequence	pass762_forward_sequence	layout_action	open_statement
H4-S004	f55v	H4	6	6	AIIN | OK+AL | OL+T+Y | OR | Y | OR+AIN	AIIN | OK+AL | OL+T+Y | OR | Y | OR+AIN	AIIN | OK+AL | OL+T+Y | OR | Y | OR+AIN	NONE	YES
H5-S001	f56r	H5	9	9	HO+CH+OR | HO | HO+AL+Y | AIIN | HO | K+OL | OT+CH+OR | OK+Y | AL	HO+CH+OR | HO | HO+AL+Y | AIIN | HO | K+OL | OT+CH+OR | OK+Y | AL	HO+CH+OR | HO | HO+AL+Y | AIIN | HO | K+OL | OT+CH+OR | OK+Y | AL	NONE	YES
H5-S002	f56r	H5	4	4	RESUME_CARD | HO+Y | OK+Y | CH+EE+CKH+O+DY	RESUME_CARD | HO+Y | OK+Y | CH+EE+CKH+O+DY	RESUME_CARD | HO+Y | OK+Y | CH+EE+CKH+O+DY	NONE	NO
H5-S003	f56r	H5	4	4	SH | HO | K+E+Y | OK+OK+Y	SH | HO | K+E+Y | OK+OK+Y	SH | HO | K+E+Y | OK+OK+Y	NONE	YES
H5-S004	f56r	H5	3	3	OK+Y | OK+CH+E+O | K+AL	OK+Y | OK+CH+E+O | K+AL	OK+Y | OK+CH+E+O | K+AL	NONE	YES
H5-S005	f56r	H5	4	4	HO | OK+Y | K+HO+AR | OT+O+AIN	HO | OK+Y | K+HO+AR | OT+O+AIN	HO | OK+Y | K+HO+AR | OT+O+AIN	NONE	YES
H5-S006	f56r	H5	3	3	OT+Y | K+E+OL | AIIN	OT+Y | K+E+OL | AIIN	OT+Y | K+E+OL | AIIN	NONE	YES
B1-S001	f81v	B1	1	1	OK+E+DY	OK+E+DY	OK+E+DY	NONE	NO
B1-S002	f81v	B1	19	19	OK+AIIN | K+AIR | OK+AL | AR | OL | K+AIN | OL+K+AIN | AL | OL | R+OL | L | OL+OR | OL | SH+E+CKH+AL | AIIN | OK+EE+AL | AIIN | CKH+Y | CHD+DY	OK+AIIN | K+AIR | OK+AL | AR | OL | K+AIN | OL+K+AIN | AL | OL | R+OL | L | OL+OR | OL | SH+E+CKH+AL | AIIN | OK+EE+AL | AIIN | CKH+Y | CHD+DY	OK+AIIN | K+AIR | OK+AL | AR | OL | K+AIN | OL+K+AIN | AL | OL | R+OL | L | OL+OR | OL | SH+E+CKH+AL | AIIN | OK+EE+AL | AIIN | CKH+Y | CHD+DY	NONE	NO
B1-S003	f81v	B1	2	2	OL | SH+K+CHD+DY	OL | SH+K+CHD+DY	OL | SH+K+CHD+DY	NONE	NO
B1-S004	f81v	B1	3	3	CHD+Y | OL | SHED+DY	CHD+Y | OL | SHED+DY	CHD+Y | OL | SHED+DY	NONE	NO
B1-S005	f81v	B1	1	1	OL+CHD+DY	OL+CHD+DY	OL+CHD+DY	NONE	NO
B1-S006	f81v	B1	4	4	OK+AIN | CKH+Y | L | R+AL	OK+AIN | CKH+Y | L | R+AL	OK+AIN | CKH+Y | L | R+AL	NONE	YES
B1-S007	f81v	B1	1	1	OK+CHD+DY	OK+CHD+DY	OK+CHD+DY	NONE	NO
B1-S008	f81v	B1	5	5	Y | OL | CHK+E+Y | OL | SHED+DY	Y | OL | CHK+E+Y | OL | SHED+DY	Y | OL | CHK+E+Y | OL | SHED+DY	NONE	NO
B1-S009	f81v	B1	1	1	OK+E+DY	OK+E+DY	OK+E+DY	NONE	NO
B1-S010	f81v	B1	1	1	OK+E+DY	OK+E+DY	OK+E+DY	NONE	NO
B1-S011	f81v	B1	2	2	CKH+Y | OK+Y	CKH+Y | OK+Y	CKH+Y | OK+Y	NONE	YES
B1-S012	f81v	B1	3	3	LSH+O | OK+E+Y | LSH+E+DY	LSH+O | OK+E+Y | LSH+E+DY	LSH+O | OK+E+Y | LSH+E+DY	NONE	NO
B1-S013	f81v	B1	1	1	LSH+E+DY	LSH+E+DY	LSH+E+DY	NONE	NO
B1-S014	f81v	B1	5	5	CHD+Y | SOLK+Y | L+CHD+AL | OL | OT+AR	CHD+Y | SOLK+Y | L+CHD+AL | OL | OT+AR	CHD+Y | SOLK+Y | L+CHD+AL | OL | OT+AR	NONE	YES
B1-S015	f81v	B1	2	2	T+E+Y | OK+CHD+DY	T+E+Y | OK+CHD+DY	T+E+Y | OK+CHD+DY	NONE	NO
B1-S016	f81v	B1	4	4	OK+AL | OK+EE+Y | OL | SHED+DY	OK+AL | OK+EE+Y | OL | SHED+DY	OK+AL | OK+EE+Y | OL | SHED+DY	NONE	NO
B1-S017	f81v	B1	3	3	AL | E+OL | CHD+DY	AL | E+OL | CHD+DY	AL | E+OL | CHD+DY	NONE	NO
B1-S018	f81v	B1	4	4	L+Y | SH+E+OL | O+IIN | SOLK+EE+DY	L+Y | SH+E+OL | O+IIN | SOLK+EE+DY	L+Y | SH+E+OL | O+IIN | SOLK+EE+DY	NONE	NO
B1-S019	f81v	B1	1	1	SHED+DY	SHED+DY	SHED+DY	NONE	NO
B1-S020	f81v	B1	2	2	CHK+E+Y | SH+CKH+E+DY	CHK+E+Y | SH+CKH+E+DY	CHK+E+Y | SH+CKH+E+DY	NONE	NO
B1-S021	f81v	B1	1	1	AL	AL	AL	NONE	YES
B2-S001	f82r	B2	1	1	CHD+DY	CHD+DY	CHD+DY	NONE	NO
B2-S002	f82r	B2	1	1	OL+CHD+DY	OL+CHD+DY	OL+CHD+DY	NONE	NO
B2-S003	f82r	B2	3	3	OK+AIN | Y | OK+EE+DY	OK+AIN | Y | OK+EE+DY	OK+AIN | Y | OK+EE+DY	NONE	NO
B2-S004	f82r	B2	5	5	OK+AL | L+CKH+Y | L+CHD | OK+EE+Y | L+CKH+E+DY	OK+AL | L+CKH+Y | L+CHD | OK+EE+Y | L+CKH+E+DY	OK+AL | L+CKH+Y | L+CHD | OK+EE+Y | L+CKH+E+DY	NONE	NO
B2-S005	f82r	B2	7	8	OK+AL+Y | SOLK+AIIN | CKH+Y | OK+AIIN | O+CTH+E+OL | CHK+EE+Y | L+DY	OK+AL+Y | SOLK+AIIN | CKH+Y | OK+AIIN | OK+AIIN | O+CTH+E+OL | CHK+EE+Y | L+DY	OK+AL+Y | SOLK+AIIN | CKH+Y | OK+AIIN | OK+AIIN | O+CTH+E+OL | CHK+EE+Y | L+DY	INSERT_E180_EDGE_COPY	NO
B2-S006	f82r	B2	4	4	OT+EE+Y | OK+AL | SH+E+CKH+Y | OK+Y	OT+EE+Y | OK+AL | SH+E+CKH+Y | OK+Y	OT+EE+Y | OK+AL | SH+E+CKH+Y | OK+Y	NONE	YES
B2-S007	f82r	B2	1	1	SH+E+DY	SH+E+DY	SH+E+DY	NONE	NO
B2-S008	f82r	B2	3	3	OT+AIIN | OK+AR | SHED+DY	OT+AIIN | OK+AR | SHED+DY	OT+AIIN | OK+AR | SHED+DY	NONE	NO
B2-S009	f82r	B2	1	1	OL+SH+E+DY	OL+SH+E+DY	OL+SH+E+DY	NONE	NO
B2-S010	f82r	B2	4	4	OK+EE+Y | OK+Y | OL | SH+EE+Y	OK+EE+Y | OK+Y | OL | SH+EE+Y	OK+EE+Y | OK+Y | OL | SH+EE+Y	NONE	YES
B2-S011	f82r	B2	4	4	OK+AIN | AR | OK+AIN | OK+EE+DY	OK+AIN | AR | OK+AIN | OK+EE+DY	OK+AIN | AR | OK+AIN | OK+EE+DY	NONE	NO
B2-S012	f82r	B2	8	8	L+CH+Y | SH+EE+Y | CTH+E+Y | OK+EE+Y | L+EE+Y | AIIN | Y | OK+EEE+DY	L+CH+Y | SH+EE+Y | CTH+E+Y | OK+EE+Y | L+EE+Y | AIIN | Y | OK+EEE+DY	L+CH+Y | SH+EE+Y | CTH+E+Y | OK+EE+Y | L+EE+Y | AIIN | Y | OK+EEE+DY	NONE	NO
B2-S013	f82r	B2	1	1	L+CHD+DY	L+CHD+DY	L+CHD+DY	NONE	NO
B2-S014	f82r	B2	1	1	L+AR	L+AR	L+AR	NONE	YES
B2-S015	f82r	B2	2	2	SH+E+Y | OK+EE+DY	SH+E+Y | OK+EE+DY	SH+E+Y | OK+EE+DY	NONE	NO
B2-S016	f82r	B2	8	8	AL | L+CHD+AR | CH+E+S | AIIN | OT+EE+Y | OK+AIIN | OK+E+Y | P+CHD+DY	AL | L+CHD+AR | CH+E+S | AIIN | OT+EE+Y | OK+AIIN | OK+E+Y | P+CHD+DY	AL | L+CHD+AR | CH+E+S | AIIN | OT+EE+Y | OK+AIIN | OK+E+Y | P+CHD+DY	NONE	NO
B2-S017	f82r	B2	2	2	R+SH+E+AL | AL+DY	R+SH+E+AL | AL+DY	R+SH+E+AL | AL+DY	NONE	NO
B2-S018	f82r	B2	1	1	OK+EE+DY	OK+EE+DY	OK+EE+DY	NONE	NO
B2-S019	f82r	B2	1	1	R+SHED+DY	R+SHED+DY	R+SHED+DY	NONE	NO
B2-S020	f82r	B2	1	1	OT+EE+DY	OT+EE+DY	OT+EE+DY	NONE	NO
B2-S021	f82r	B2	1	1	OK+EE+DY	OK+EE+DY	OK+EE+DY	NONE	NO
B2-S022	f82r	B2	1	1	L+O+CHD+DY	L+O+CHD+DY	L+O+CHD+DY	NONE	NO
B3-S001	f83r	B3	1	1	SOLK+EE+DY	SOLK+EE+DY	SOLK+EE+DY	NONE	NO
B3-S002	f83r	B3	2	2	OT+AL | CHK+EE+DY	OT+AL | CHK+EE+DY	OT+AL | CHK+EE+DY	NONE	NO
B3-S003	f83r	B3	4	4	Y | AIIN | Y | L+CHD+DY	Y | AIIN | Y | L+CHD+DY	Y | AIIN | Y | L+CHD+DY	NONE	NO
B3-S004	f83r	B3	3	3	OK+AIIN | OT+AL | AR	OK+AIIN | OT+AL | AR	OK+AIIN | OT+AL | AR	NONE	YES
B3-S005	f83r	B3	1	1	CHD+DY	CHD+DY	CHD+DY	NONE	NO
B3-S006	f83r	B3	3	3	CHD+Y | OK+AL | OL+CHD+DY	CHD+Y | OK+AL | OL+CHD+DY	CHD+Y | OK+AL | OL+CHD+DY	NONE	NO
B3-S007	f83r	B3	3	3	OK+AIIN | CHD+Y | OK+EE+DY	OK+AIIN | CHD+Y | OK+EE+DY	OK+AIIN | CHD+Y | OK+EE+DY	NONE	NO
B3-S008	f83r	B3	1	1	L+CHD+DY	L+CHD+DY	L+CHD+DY	NONE	NO
B3-S009	f83r	B3	1	1	OK+Y	OK+Y	OK+Y	NONE	YES
B3-S010	f83r	B3	2	2	P+CHD+AL | OT+E+DY	P+CHD+AL | OT+E+DY	P+CHD+AL | OT+E+DY	NONE	NO
B3-S011	f83r	B3	4	4	SH+E+CTH+CHD+Y | OK+Y | CHD+Y | AR+Y	SH+E+CTH+CHD+Y | OK+Y | CHD+Y | AR+Y	SH+E+CTH+CHD+Y | OK+Y | CHD+Y | AR+Y	NONE	YES
B3-S012	f83r	B3	2	2	OR | SHED+DY	OR | SHED+DY	OR | SHED+DY	NONE	NO
B3-S013	f83r	B3	4	4	OK+AIIN | K+AIN | CTH+E+Y | OK+E+DY	OK+AIIN | K+AIN | CTH+E+Y | OK+E+DY	OK+AIIN | K+AIN | CTH+E+Y | OK+E+DY	NONE	NO
B3-S014	f83r	B3	2	2	OK+AIR | SH+EE+DY	OK+AIR | SH+EE+DY	OK+AIR | SH+EE+DY	NONE	NO
B3-S015	f83r	B3	1	1	L+CHD+DY	L+CHD+DY	L+CHD+DY	NONE	NO
B3-S016	f83r	B3	2	2	L+O | OK+CHD+DY	L+O | OK+CHD+DY	L+O | OK+CHD+DY	NONE	NO
B3-S017	f83r	B3	1	1	OK+EE+DY	OK+EE+DY	OK+EE+DY	NONE	NO
B3-S018	f83r	B3	1	1	SHED+DY	SHED+DY	SHED+DY	NONE	NO
B3-S019	f83r	B3	1	1	OK+SH+E+DY	OK+SH+E+DY	OK+SH+E+DY	NONE	NO
B3-S020	f83r	B3	2	2	AL | L+CHD+DY	AL | L+CHD+DY	AL | L+CHD+DY	NONE	NO
B3-S021	f83r	B3	11	11	OK+AIIN | CTH+Y | AL | Y | AIIN | SHED+AL | SH+E+CTH+Y | Y | AL | CTH+Y | AL+CHD+DY	OK+AIIN | CTH+Y | AL | Y | AIIN | SHED+AL | SH+E+CTH+Y | Y | AL | CTH+Y | AL+CHD+DY	OK+AIIN | CTH+Y | AL | Y | AIIN | SHED+AL | SH+E+CTH+Y | Y | AL | CTH+Y | AL+CHD+DY	NONE	NO
B3-S022	f83r	B3	1	1	OT+CHD+DY	OT+CHD+DY	OT+CHD+DY	NONE	NO
B3-S023	f83r	B3	1	1	L+CHD+DY	L+CHD+DY	L+CHD+DY	NONE	NO
B3-S024	f83r	B3	1	1	CHD+DY	CHD+DY	CHD+DY	NONE	NO
B3-S025	f83r	B3	1	1	OK+CHD+DY	OK+CHD+DY	OK+CHD+DY	NONE	NO
B3-S026	f83r	B3	7	7	EE+AR | L+AIIN | CHD+Y | OK+AIN | CTH+Y | AL+R+OR | SOLK+EE+DY	EE+AR | L+AIIN | CHD+Y | OK+AIN | CTH+Y | AL+R+OR | SOLK+EE+DY	EE+AR | L+AIIN | CHD+Y | OK+AIN | CTH+Y | AL+R+OR | SOLK+EE+DY	NONE	NO
B3-S027	f83r	B3	1	1	OT+EE+DY	OT+EE+DY	OT+EE+DY	NONE	NO
B3-S028	f83r	B3	2	2	OK+EE+Y | OK+E+DY	OK+EE+Y | OK+E+DY	OK+EE+Y | OK+E+DY	NONE	NO
B3-S029	f83r	B3	3	3	OL | EEE+T+Y | OK+E+DY	OL | EEE+T+Y | OK+E+DY	OL | EEE+T+Y | OK+E+DY	NONE	NO
B3-S030	f83r	B3	4	4	OK+Y | AIIN | CHD+AIR | OT+CHD+DY	OK+Y | AIIN | CHD+AIR | OT+CHD+DY	OK+Y | AIIN | CHD+AIR | OT+CHD+DY	NONE	NO
B3-S031	f83r	B3	1	1	OK+EE+DY	OK+EE+DY	OK+EE+DY	NONE	NO
B3-S032	f83r	B3	5	5	CHD+AIN | CHD+Y | OT+E+AIIN | OT+AIIN | OT+E+DY	CHD+AIN | CHD+Y | OT+E+AIIN | OT+AIIN | OT+E+DY	CHD+AIN | CHD+Y | OT+E+AIIN | OT+AIIN | OT+E+DY	NONE	NO
B3-S033	f83r	B3	1	1	L+DY	L+DY	L+DY	NONE	NO
B3-S034	f83r	B3	6	6	O+IIN | CTH+Y | T+Y | OT+AIIN | OL+AL+Y | SHED+DY	O+IIN | CTH+Y | T+Y | OT+AIIN | OL+AL+Y | SHED+DY	O+IIN | CTH+Y | T+Y | OT+AIIN | OL+AL+Y | SHED+DY	NONE	NO
B4-S001	f83r	B4	1	1	OK+EE+DY	OK+EE+DY	OK+EE+DY	NONE	NO
B4-S002	f83r	B4	3	3	OL+Y | OK+EE+Y | OK+E+DY	OL+Y | OK+EE+Y | OK+E+DY	OL+Y | OK+EE+Y | OK+E+DY	NONE	NO
B4-S003	f83r	B4	7	7	CHD+Y | OT+AL | OT+Y | OK+EE+Y | OK+Y | OL | SHED+DY	CHD+Y | OT+AL | OT+Y | OK+EE+Y | OK+Y | OL | SHED+DY	CHD+Y | OT+AL | OT+Y | OK+EE+Y | OK+Y | OL | SHED+DY	NONE	NO
B4-S004	f83r	B4	1	1	OK+Y+LD+DY	OK+Y+LD+DY	OK+Y+LD+DY	NONE	NO
B4-S005	f83r	B4	3	3	AIN | CHD+Y | OK+EE+DY	AIN | CHD+Y | OK+EE+DY	AIN | CHD+Y | OK+EE+DY	NONE	NO
B4-S006	f83r	B4	1	1	SH+CKH+E+DY	SH+CKH+E+DY	SH+CKH+E+DY	NONE	NO
B4-S007	f83r	B4	1	1	SH+CKH+E+DY	SH+CKH+E+DY	SH+CKH+E+DY	NONE	NO
B4-S008	f83r	B4	4	4	AIIN | CHK+EE+Y | SH+EE+Y | OK+E+DY	AIIN | CHK+EE+Y | SH+EE+Y | OK+E+DY	AIIN | CHK+EE+Y | SH+EE+Y | OK+E+DY	NONE	NO
B4-S009	f83r	B4	1	1	SHED+DY	SHED+DY	SHED+DY	NONE	NO
B4-S010	f83r	B4	1	1	OL+DY	OL+DY	OL+DY	NONE	NO
B4-S011	f83r	B4	7	7	AIIN | CHK+E+Y | OK+EE+OL | OK+AIN | CHD+Y | OL | L+K+E+DY	AIIN | CHK+E+Y | OK+EE+OL | OK+AIN | CHD+Y | OL | L+K+E+DY	AIIN | CHK+E+Y | OK+EE+OL | OK+AIN | CHD+Y | OL | L+K+E+DY	NONE	NO
B4-S012	f83r	B4	1	1	L+CHD+DY	L+CHD+DY	L+CHD+DY	NONE	NO
B4-S013	f83r	B4	2	2	OK+OL | SHED+DY	OK+OL | SHED+DY	OK+OL | SHED+DY	NONE	NO
B4-S014	f83r	B4	4	4	OR | Y | O+CKH+E+Y | AIR+Y+DY	OR | Y | O+CKH+E+Y | AIR+Y+DY	OR | Y | O+CKH+E+Y | AIR+Y+DY	NONE	NO
B4-S015	f83r	B4	6	6	OK+AIN | SH+EE+Y | K+AIN | CH+CKH+AL | SOLK+E+Y | L+CHD+DY	OK+AIN | SH+EE+Y | K+AIN | CH+CKH+AL | SOLK+E+Y | L+CHD+DY	OK+AIN | SH+EE+Y | K+AIN | CH+CKH+AL | SOLK+E+Y | L+CHD+DY	NONE	NO
B4-S016	f83r	B4	4	4	OL+K+AIN | AL | K+AR | SHED+DY	OL+K+AIN | AL | K+AR | SHED+DY	OL+K+AIN | AL | K+AR | SHED+DY	NONE	NO
B5-S001	f83r	B5	1	1	OT+CHD+DY	OT+CHD+DY	OT+CHD+DY	NONE	NO
B5-S002	f83r	B5	1	1	OK+CHD+DY	OK+CHD+DY	OK+CHD+DY	NONE	NO
B5-S003	f83r	B5	9	9	SHED+AL | AL | OL | L+OL | CHD+AL | AIIN | OL | DA+IIN | CHD+Y	SHED+AL | AL | OL | L+OL | CHD+AL | AIIN | OL | DA+IIN | CHD+Y	SHED+AL | AL | OL | L+OL | CHD+AL | AIIN | OL | DA+IIN | CHD+Y	NONE	YES
B6-S001	f83r	B6	9	9	SOLK+EE+Y | E+K+E+Y | R+AL+Y | OL | AIIN | OL | AIN | Y | L+AL+OR	SOLK+EE+Y | E+K+E+Y | R+AL+Y | OL | AIIN | OL | AIN | Y | L+AL+OR	SOLK+EE+Y | E+K+E+Y | R+AL+Y | OL | AIIN | OL | AIN | Y | L+AL+OR	NONE	YES
