rule_no	body_surface	register	field_position	previous_wrapper	predicted_wrapper	selection_layer	support_events	observed_wrapper_counts
237	ol	OTHER_B	MIDDLE	che	NONE	PREVIOUS_WRAPPER_RESOLVES	3	NONE:3
238	ol	OTHER_B	MIDDLE	d	NONE	EXPANDED_KEY_MAJORITY	2	NONE:1|che:1
239	ol	OTHER_B	MIDDLE	q	t	PREVIOUS_WRAPPER_RESOLVES	1	t:1
240	ol	OTHER_B	MIDDLE	s	NONE	PREVIOUS_WRAPPER_RESOLVES	1	NONE:1
241	ol	OTHER_B	ONLY	s	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
242	olchedy	OTHER_B	LAST	q	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
243	olchedy	OTHER_B	ONLY	d	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
244	olchedy	OTHER_B	ONLY	sh	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
249	olkain	OTHER_B	FIRST	NONE	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
250	olkain	OTHER_B	MIDDLE	NONE	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
251	olkeedy	OTHER_B	LAST	NONE	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
252	olkeedy	OTHER_B	ONLY	START	NONE	EXPANDED_KEY_MAJORITY	2	NONE:1|s:1
256	olor	HERBAL_A	MIDDLE	ch	ch	UNIQUE_BODY_REGISTER_POSITION	1	ch:1
257	olor	OTHER_B	FIRST	START	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
261	or	HERBAL_A	MIDDLE	NONE	ch	EXPANDED_KEY_MAJORITY	2	ch:1|sh:1
262	or	HERBAL_A	MIDDLE	q	ch	PREVIOUS_WRAPPER_RESOLVES	1	ch:1
263	or	HERBAL_A	MIDDLE	sh	ch	PREVIOUS_WRAPPER_RESOLVES	1	ch:1
264	or	HERBAL_B	MIDDLE	NONE	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
265	or	OTHER_B	FIRST	START	NONE	EXPANDED_KEY_MAJORITY	2	NONE:1|s:1
268	otaiin	OTHER_B	FIRST	d	s	UNIQUE_BODY_REGISTER_POSITION	1	s:1
269	otaiin	OTHER_B	MIDDLE	che	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
270	otaiin	OTHER_B	MIDDLE	q	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
271	otal	OTHER_B	FIRST	NONE	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
272	otal	OTHER_B	LAST	che	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
273	otal	OTHER_B	MIDDLE	q	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
276	otchedy	OTHER_B	LAST	s	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
277	otchedy	OTHER_B	ONLY	d	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
281	otchor	HERBAL_A	FIRST	START	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
282	otchor	HERBAL_A	MIDDLE	NONE	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
309	ty	HERBAL_A	MIDDLE	ch	ch	UNIQUE_BODY_REGISTER_POSITION	1	ch:1
310	ty	OTHER_B	MIDDLE	che	che	UNIQUE_BODY_REGISTER_POSITION	1	che:1
311	y	HERBAL_A	LAST	NONE	d	PREVIOUS_WRAPPER_RESOLVES	1	d:1
312	y	HERBAL_A	LAST	t	sh	PREVIOUS_WRAPPER_RESOLVES	1	sh:1
313	y	HERBAL_A	MIDDLE	NONE	d	PREVIOUS_WRAPPER_RESOLVES	2	d:2
314	y	HERBAL_A	MIDDLE	ch	ch	PREVIOUS_WRAPPER_RESOLVES	1	ch:1
315	y	HERBAL_A	MIDDLE	d	ch	PREVIOUS_WRAPPER_RESOLVES	2	ch:2
316	y	HERBAL_A	MIDDLE	q	d	PREVIOUS_WRAPPER_RESOLVES	1	d:1
317	y	HERBAL_B	MIDDLE	NONE	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
318	y	OTHER_B	FIRST	ch	che	UNIQUE_BODY_REGISTER_POSITION	1	che:1
319	y	OTHER_B	FIRST	q	che	UNIQUE_BODY_REGISTER_POSITION	1	che:1
320	y	OTHER_B	LAST	d	s	UNIQUE_BODY_REGISTER_POSITION	1	s:1
321	y	OTHER_B	MIDDLE	NONE	che	PREVIOUS_WRAPPER_RESOLVES	1	che:1
322	y	OTHER_B	MIDDLE	d	che	PREVIOUS_WRAPPER_RESOLVES	3	che:3
323	y	OTHER_B	MIDDLE	q	d	PREVIOUS_WRAPPER_RESOLVES	1	d:1
324	y	OTHER_B	MIDDLE	sh	che	PREVIOUS_WRAPPER_RESOLVES	1	che:1
