turn	record_unit_id	statement_id	microcycle	event_ids	owner_sequence	incoming_material_de	master_dictation_de	apprentice_surface_answer	apprentice_atomic_backreading	apprentice_slot_backreading	explicit_material_markers	outgoing_material_de	apprentice_explanation_de	identity_value_slot_thread_match
11	B2	B2-S003	2	E170|E171	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	Klarauszug	Arbeite bei B2_UPPER_PAIRED_BASINS_AND_CYLINDER am klarauszug: Diesposten, dann langkontakt. Schreibe den Mikrogang in deiner Hand.	y qokeedy	Diesposten → Langkontakt	S1_BEZUG_FOLGE → S4_DAUER_ZUSTAND	NONE__THREAD_INHERITED	Klarauszug	Ich habe 2 Karten geschrieben. Sie bedeuten Diesposten, dann langkontakt; der Stofffaden endet hier als klarauszug.	YES
12	B2	B2-S004	1	E172	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	Klarauszug	Arbeite bei B2_UPPER_PAIRED_BASINS_AND_CYLINDER am klarauszug: Zieleinsatz. Schreibe den Mikrogang in deiner Hand.	qokal	Zieleinsatz	S5_ZIEL_ANWENDUNG	NONE__THREAD_INHERITED	Klarauszug	Ich habe 1 Karten geschrieben. Sie bedeuten Zieleinsatz; der Stofffaden endet hier als klarauszug.	YES
13	B2	B2-S004	2	E173|E174|E175	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	Klarauszug	Arbeite bei B2_UPPER_PAIRED_BASINS_AND_CYLINDER am klarauszug: Abführpassage, dann abführung, dann langkontakt. Schreibe den Mikrogang in deiner Hand.	lcheckhy lched qokeey	Abführpassage → Abführung → Langkontakt	S3_PROZESS_TRANSFER → S3_PROZESS_TRANSFER → S4_DAUER_ZUSTAND	NONE__THREAD_INHERITED	Klarauszug	Ich habe 3 Karten geschrieben. Sie bedeuten Abführpassage, dann abführung, dann langkontakt; der Stofffaden endet hier als klarauszug.	YES
14	B2	B2-S004	3	E176	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	Klarauszug	Arbeite bei B2_UPPER_PAIRED_BASINS_AND_CYLINDER am klarauszug: Trennabzug. Schreibe den Mikrogang in deiner Hand.	lcheckhedy	Trennabzug	S3_PROZESS_TRANSFER	NONE__THREAD_INHERITED	Klarauszug	Ich habe 1 Karten geschrieben. Sie bedeuten Trennabzug; der Stofffaden endet hier als klarauszug.	YES
15	B2	B2-S005	1	E177	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	Klarauszug	Arbeite bei B2_UPPER_PAIRED_BASINS_AND_CYLINDER am klarauszug: Zieleinsatz. Schreibe den Mikrogang in deiner Hand.	qokaly	Zieleinsatz	S5_ZIEL_ANWENDUNG	NONE__THREAD_INHERITED	Klarauszug	Ich habe 1 Karten geschrieben. Sie bedeuten Zieleinsatz; der Stofffaden endet hier als klarauszug.	YES
16	B2	B2-S005	2	E178|E179	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	Klarauszug	Arbeite bei B2_UPPER_PAIRED_BASINS_AND_CYLINDER am klarauszug: Sollsammlung, dann durchleiten. Schreibe den Mikrogang in deiner Hand.	solkaiin chckhy	Sollsammlung → durchleiten	S3_PROZESS_TRANSFER → S3_PROZESS_TRANSFER	NONE__THREAD_INHERITED	Klarauszug	Ich habe 2 Karten geschrieben. Sie bedeuten Sollsammlung, dann durchleiten; der Stofffaden endet hier als klarauszug.	YES
17	B2	B2-S005	3	E180|E181	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	Klarauszug	Arbeite bei B2_UPPER_PAIRED_BASINS_AND_CYLINDER am klarauszug: Sollstellung, dann sollstellung. Schreibe den Mikrogang in deiner Hand.	qokaiin qokaiin	Sollstellung → Sollstellung	S2_MATERIAL_MASS → S2_MATERIAL_MASS	NONE__THREAD_INHERITED	Klarauszug	Ich habe 2 Karten geschrieben. Sie bedeuten Sollstellung, dann sollstellung; der Stofffaden endet hier als klarauszug.	YES
18	B2	B2-S005	4	E182|E183	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	Klarauszug	Arbeite bei B2_UPPER_PAIRED_BASINS_AND_CYLINDER am klarauszug: Folgevorbereitung, dann langwärmen. Schreibe den Mikrogang in deiner Hand.	octheol chkeey	Folgevorbereitung → Langwärmen	S1_BEZUG_FOLGE → S4_DAUER_ZUSTAND	NONE__THREAD_INHERITED	Klarauszug	Ich habe 2 Karten geschrieben. Sie bedeuten Folgevorbereitung, dann langwärmen; der Stofffaden endet hier als klarauszug.	YES
19	B2	B2-S005	5	E184	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	Klarauszug	Arbeite bei B2_UPPER_PAIRED_BASINS_AND_CYLINDER am klarauszug: abziehen. Schreibe den Mikrogang in deiner Hand.	ldy	abziehen	S3_PROZESS_TRANSFER	NONE__THREAD_INHERITED	Klarauszug	Ich habe 1 Karten geschrieben. Sie bedeuten abziehen; der Stofffaden endet hier als klarauszug.	YES
20	B2	B2-S006	1	E185|E186	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	Klarauszug	Arbeite bei B2_UPPER_PAIRED_BASINS_AND_CYLINDER am klarauszug: Langfolge, dann zieleinsatz. Schreibe den Mikrogang in deiner Hand.	oteey qokal	Langfolge → Zieleinsatz	S1_BEZUG_FOLGE → S5_ZIEL_ANWENDUNG	NONE__THREAD_INHERITED	Klarauszug	Ich habe 2 Karten geschrieben. Sie bedeuten Langfolge, dann zieleinsatz; der Stofffaden endet hier als klarauszug.	YES
21	B2	B2-S006	2	E187|E188	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	Klarauszug	Arbeite bei B2_UPPER_PAIRED_BASINS_AND_CYLINDER am klarauszug: Kurzpassage, dann einsetzen. Schreibe den Mikrogang in deiner Hand.	sheckhy qoky	Kurzpassage → Einsetzen	S3_PROZESS_TRANSFER → S5_ZIEL_ANWENDUNG	NONE__THREAD_INHERITED	Klarauszug	Ich habe 2 Karten geschrieben. Sie bedeuten Kurzpassage, dann einsetzen; der Stofffaden endet hier als klarauszug.	YES
22	B2	B2-S007	1	E189	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	Klarauszug	Arbeite bei B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE am klarauszug: Vorabsetzschluss. Schreibe den Mikrogang in deiner Hand.	dshedy	Vorabsetzschluss	S3_PROZESS_TRANSFER	NONE__THREAD_INHERITED	Klarauszug	Ich habe 1 Karten geschrieben. Sie bedeuten Vorabsetzschluss; der Stofffaden endet hier als klarauszug.	YES
23	B2	B2-S008	1	E190|E191	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	Bemessene Portion	Arbeite bei B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE am bemessene portion: Folgemaß, dann quelleinsatz. Schreibe den Mikrogang in deiner Hand.	otaiin qokar	Folgemaß → Quelleinsatz	S2_MATERIAL_MASS → S5_ZIEL_ANWENDUNG	Bemessene Portion	Bemessene Portion	Ich habe 2 Karten geschrieben. Sie bedeuten Folgemaß, dann quelleinsatz; der Stofffaden endet hier als bemessene portion.	YES
24	B2	B2-S008	2	E192	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	Bemessene Portion	Arbeite bei B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE am bemessene portion: Kurzabsetzung. Schreibe den Mikrogang in deiner Hand.	tedy	Kurzabsetzung	S3_PROZESS_TRANSFER	NONE__THREAD_INHERITED	Bemessene Portion	Ich habe 1 Karten geschrieben. Sie bedeuten Kurzabsetzung; der Stofffaden endet hier als bemessene portion.	YES
25	B2	B2-S009	1	E193	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	Bemessene Portion	Arbeite bei B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE am bemessene portion: Folgeabsetzen. Schreibe den Mikrogang in deiner Hand.	solshedy	Folgeabsetzen	S3_PROZESS_TRANSFER	NONE__THREAD_INHERITED	Bemessene Portion	Ich habe 1 Karten geschrieben. Sie bedeuten Folgeabsetzen; der Stofffaden endet hier als bemessene portion.	YES
26	B2	B2-S010	1	E194|E195	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	Bemessene Portion	Arbeite bei B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE am bemessene portion: Langkontakt, dann einsetzen. Schreibe den Mikrogang in deiner Hand.	qokeey qoky	Langkontakt → Einsetzen	S4_DAUER_ZUSTAND → S5_ZIEL_ANWENDUNG	NONE__THREAD_INHERITED	Bemessene Portion	Ich habe 2 Karten geschrieben. Sie bedeuten Langkontakt, dann einsetzen; der Stofffaden endet hier als bemessene portion.	YES
27	B2	B2-S010	2	E196|E197	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	Bemessene Portion	Arbeite bei B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE am bemessene portion: Auslass, dann klarauszug. Schreibe den Mikrogang in deiner Hand.	ls shey	Auslass → Klarauszug	S3_PROZESS_TRANSFER → S3_PROZESS_TRANSFER	Klarauszug	Klarauszug	Ich habe 2 Karten geschrieben. Sie bedeuten Auslass, dann klarauszug; der Stofffaden endet hier als klarauszug.	YES
28	B2	B2-S011	1	E198	B2_MIDDLE_RIGHT_AMBIGUOUS_STATION	Klarauszug	Arbeite bei B2_MIDDLE_RIGHT_AMBIGUOUS_STATION am klarauszug: Zugabe. Schreibe den Mikrogang in deiner Hand.	qokain	Zugabe	S2_MATERIAL_MASS	NONE__THREAD_INHERITED	Klarauszug	Ich habe 1 Karten geschrieben. Sie bedeuten Zugabe; der Stofffaden endet hier als klarauszug.	YES
29	B2	B2-S011	2	E199|E200|E201	B2_MIDDLE_RIGHT_AMBIGUOUS_STATION	Klarauszug	Arbeite bei B2_MIDDLE_RIGHT_AMBIGUOUS_STATION am klarauszug: Quelle, dann zugabe, dann langkontakt. Schreibe den Mikrogang in deiner Hand.	dar qokain qokeedy	Quelle → Zugabe → Langkontakt	S1_BEZUG_FOLGE → S2_MATERIAL_MASS → S4_DAUER_ZUSTAND	NONE__THREAD_INHERITED	Klarauszug	Ich habe 3 Karten geschrieben. Sie bedeuten Quelle, dann zugabe, dann langkontakt; der Stofffaden endet hier als klarauszug.	YES
30	B2	B2-S012	1	E202|E203|E204|E205	B2_MIDDLE_RIGHT_AMBIGUOUS_STATION|B2_LOWER_GREEN_MULTI_FIGURE_POOL	Klarauszug	Arbeite bei B2_MIDDLE_RIGHT_AMBIGUOUS_STATION und dann B2_LOWER_GREEN_MULTI_FIGURE_POOL am klarauszug: Abführgut, dann klarauszug, dann kurzvorbereitung, dann langkontakt. Schreibe den Mikrogang in deiner Hand.	lchy shey qcthey qokeey	Abführgut → Klarauszug → Kurzvorbereitung → Langkontakt	S3_PROZESS_TRANSFER → S3_PROZESS_TRANSFER → S4_DAUER_ZUSTAND → S4_DAUER_ZUSTAND	Klarauszug	Klarauszug	Ich habe 4 Karten geschrieben. Sie bedeuten Abführgut, dann klarauszug, dann kurzvorbereitung, dann langkontakt; der Stofffaden endet hier als klarauszug.	YES
31	B2	B2-S012	2	E206	B2_LOWER_GREEN_MULTI_FIGURE_POOL	Klarauszug	Arbeite bei B2_LOWER_GREEN_MULTI_FIGURE_POOL am klarauszug: Klarabzug. Schreibe den Mikrogang in deiner Hand.	lcheey	Klarabzug	S3_PROZESS_TRANSFER	Klarauszug	Klarauszug	Ich habe 1 Karten geschrieben. Sie bedeuten Klarabzug; der Stofffaden endet hier als klarauszug.	YES
32	B2	B2-S012	3	E207	B2_LOWER_GREEN_MULTI_FIGURE_POOL	Bemessene Portion	Arbeite bei B2_LOWER_GREEN_MULTI_FIGURE_POOL am bemessene portion: Sollmaß. Schreibe den Mikrogang in deiner Hand.	aiin	Sollmaß	S2_MATERIAL_MASS	Bemessene Portion	Bemessene Portion	Ich habe 1 Karten geschrieben. Sie bedeuten Sollmaß; der Stofffaden endet hier als bemessene portion.	YES
33	B2	B2-S012	4	E208|E209	B2_LOWER_GREEN_MULTI_FIGURE_POOL	Bemessene Portion	Arbeite bei B2_LOWER_GREEN_MULTI_FIGURE_POOL am bemessene portion: Diesposten, dann volleinsatz. Schreibe den Mikrogang in deiner Hand.	y qokeeedy	Diesposten → Volleinsatz	S1_BEZUG_FOLGE → S5_ZIEL_ANWENDUNG	Anwendungsposten	Anwendungsposten	Ich habe 2 Karten geschrieben. Sie bedeuten Diesposten, dann volleinsatz; der Stofffaden endet hier als anwendungsposten.	YES
34	B2	B2-S013	1	E210	B2_LOWER_GREEN_MULTI_FIGURE_POOL	Anwendungsposten	Arbeite bei B2_LOWER_GREEN_MULTI_FIGURE_POOL am anwendungsposten: abführen. Schreibe den Mikrogang in deiner Hand.	lchedy	abführen	S3_PROZESS_TRANSFER	NONE__THREAD_INHERITED	Anwendungsposten	Ich habe 1 Karten geschrieben. Sie bedeuten abführen; der Stofffaden endet hier als anwendungsposten.	YES
35	B2	B2-S014	1	E211	B2_LOWER_GREEN_MULTI_FIGURE_POOL	Anwendungsposten	Arbeite bei B2_LOWER_GREEN_MULTI_FIGURE_POOL am anwendungsposten: Quellabzug. Schreibe den Mikrogang in deiner Hand.	lar	Quellabzug	S3_PROZESS_TRANSFER	NONE__THREAD_INHERITED	Anwendungsposten	Ich habe 1 Karten geschrieben. Sie bedeuten Quellabzug; der Stofffaden endet hier als anwendungsposten.	YES
36	B2	B2-S015	1	E212|E213	B2_LOWER_POOL_EDGE_STATIONS	Klarauszug	Arbeite bei B2_LOWER_POOL_EDGE_STATIONS am klarauszug: Folgeklarlauf, dann langkontakt. Schreibe den Mikrogang in deiner Hand.	tshey qokeedy	Folgeklarlauf → Langkontakt	S1_BEZUG_FOLGE → S4_DAUER_ZUSTAND	Klarauszug	Klarauszug	Ich habe 2 Karten geschrieben. Sie bedeuten Folgeklarlauf, dann langkontakt; der Stofffaden endet hier als klarauszug.	YES
37	B2	B2-S016	1	E214	B2_LOWER_POOL_EDGE_STATIONS	Klarauszug	Arbeite bei B2_LOWER_POOL_EDGE_STATIONS am klarauszug: Stelle. Schreibe den Mikrogang in deiner Hand.	al	Stelle	S5_ZIEL_ANWENDUNG	NONE__THREAD_INHERITED	Klarauszug	Ich habe 1 Karten geschrieben. Sie bedeuten Stelle; der Stofffaden endet hier als klarauszug.	YES
38	B2	B2-S016	2	E215	B2_LOWER_POOL_EDGE_STATIONS	Klarauszug	Arbeite bei B2_LOWER_POOL_EDGE_STATIONS am klarauszug: Quellabführung. Schreibe den Mikrogang in deiner Hand.	lchedar	Quellabführung	S3_PROZESS_TRANSFER	NONE__THREAD_INHERITED	Klarauszug	Ich habe 1 Karten geschrieben. Sie bedeuten Quellabführung; der Stofffaden endet hier als klarauszug.	YES
39	B2	B2-S016	3	E216|E217	B2_LOWER_POOL_EDGE_STATIONS	Klarauszug	Arbeite bei B2_LOWER_POOL_EDGE_STATIONS am klarauszug: teilen, dann sollmaß. Schreibe den Mikrogang in deiner Hand.	ches aiin	teilen → Sollmaß	S2_MATERIAL_MASS → S2_MATERIAL_MASS	Bemessene Portion	Bemessene Portion	Ich habe 2 Karten geschrieben. Sie bedeuten teilen, dann sollmaß; der Stofffaden endet hier als bemessene portion.	YES
40	B2	B2-S016	4	E218|E219|E220	B2_LOWER_POOL_EDGE_STATIONS	Bemessene Portion	Arbeite bei B2_LOWER_POOL_EDGE_STATIONS am bemessene portion: Langfolge, dann sollstellung, dann kurzkontakt. Schreibe den Mikrogang in deiner Hand.	oteey qokaiin qokey	Langfolge → Sollstellung → Kurzkontakt	S1_BEZUG_FOLGE → S2_MATERIAL_MASS → S4_DAUER_ZUSTAND	NONE__THREAD_INHERITED	Bemessene Portion	Ich habe 3 Karten geschrieben. Sie bedeuten Langfolge, dann sollstellung, dann kurzkontakt; der Stofffaden endet hier als bemessene portion.	YES
41	B2	B2-S016	5	E221	B2_LOWER_POOL_EDGE_STATIONS	Bemessene Portion	Arbeite bei B2_LOWER_POOL_EDGE_STATIONS am bemessene portion: Zuführung. Schreibe den Mikrogang in deiner Hand.	pchedy	Zuführung	S3_PROZESS_TRANSFER	NONE__THREAD_INHERITED	Bemessene Portion	Ich habe 1 Karten geschrieben. Sie bedeuten Zuführung; der Stofffaden endet hier als bemessene portion.	YES
42	B2	B2-S017	1	E222|E223	B2_LOWER_POOL_EDGE_STATIONS	Bemessene Portion	Arbeite bei B2_LOWER_POOL_EDGE_STATIONS am bemessene portion: Zielkurzhalt, dann zielschluss. Schreibe den Mikrogang in deiner Hand.	rsheal daldy	Zielkurzhalt → Zielschluss	S4_DAUER_ZUSTAND → S5_ZIEL_ANWENDUNG	NONE__THREAD_INHERITED	Bemessene Portion	Ich habe 2 Karten geschrieben. Sie bedeuten Zielkurzhalt, dann zielschluss; der Stofffaden endet hier als bemessene portion.	YES
43	B2	B2-S018	1	E224	B2_LOWER_POOL_EDGE_STATIONS	Bemessene Portion	Arbeite bei B2_LOWER_POOL_EDGE_STATIONS am bemessene portion: Langkontakt. Schreibe den Mikrogang in deiner Hand.	qokeedy	Langkontakt	S4_DAUER_ZUSTAND	NONE__THREAD_INHERITED	Bemessene Portion	Ich habe 1 Karten geschrieben. Sie bedeuten Langkontakt; der Stofffaden endet hier als bemessene portion.	YES
44	B2	B2-S019	1	E225	B2_LOWER_POOL_EDGE_STATIONS	Bemessene Portion	Arbeite bei B2_LOWER_POOL_EDGE_STATIONS am bemessene portion: Absetzschluss. Schreibe den Mikrogang in deiner Hand.	rshedy	Absetzschluss	S3_PROZESS_TRANSFER	NONE__THREAD_INHERITED	Bemessene Portion	Ich habe 1 Karten geschrieben. Sie bedeuten Absetzschluss; der Stofffaden endet hier als bemessene portion.	YES
45	B2	B2-S020	1	E226	B2_LOWER_POOL_EDGE_STATIONS	Bemessene Portion	Arbeite bei B2_LOWER_POOL_EDGE_STATIONS am bemessene portion: Langfolgestufe. Schreibe den Mikrogang in deiner Hand.	qoteedy	Langfolgestufe	S1_BEZUG_FOLGE	NONE__THREAD_INHERITED	Bemessene Portion	Ich habe 1 Karten geschrieben. Sie bedeuten Langfolgestufe; der Stofffaden endet hier als bemessene portion.	YES
46	B2	B2-S021	1	E227	B2_LOWER_POOL_EDGE_STATIONS	Bemessene Portion	Arbeite bei B2_LOWER_POOL_EDGE_STATIONS am bemessene portion: Langkontakt. Schreibe den Mikrogang in deiner Hand.	qokeedy	Langkontakt	S4_DAUER_ZUSTAND	NONE__THREAD_INHERITED	Bemessene Portion	Ich habe 1 Karten geschrieben. Sie bedeuten Langkontakt; der Stofffaden endet hier als bemessene portion.	YES
47	B2	B2-S022	1	E228	B2_LOWER_POOL_EDGE_STATIONS	Bemessene Portion	Arbeite bei B2_LOWER_POOL_EDGE_STATIONS am bemessene portion: Abführung. Schreibe den Mikrogang in deiner Hand.	lochedy	Abführung	S3_PROZESS_TRANSFER	NONE__THREAD_INHERITED	Bemessene Portion	Ich habe 1 Karten geschrieben. Sie bedeuten Abführung; der Stofffaden endet hier als bemessene portion.	YES
