statement_id	record_unit_id	page	event_count	distinct_visible_sequences	visibly_variable	atomic_meaning_sequence_de	visible_sequences
H4-S002	H4	f55v	3	4	YES	Sollmaß | überführen | Verwahrort	aiin chdy talam || chaiin chdy talam || daiin chdy talam || saiin chdy talam
H4-S003	H4	f55v	4	1	NO	Sollportion | Quellauszug | länger bearbeiten | fertig	ykaiin cheoar cheeky oldy
H4-S004	H4	f55v	6	5	YES	Sollmaß | dorthin einsetzen | Folgebereitung | Ansatz | dies | Bereitungsanteil	aiin okal oltchy or y orain || aiin qokal oltchy or y orain || chaiin okal oltchy chor chey orain || daiin okal oltchy or dy orain || saiin okal oltchy sor sy orain
H5-S001	H5	f56r	9	5	YES	Zugabeansatz | weitere Zutat | Zielzugabe | Sollmaß | weitere Zutat | Weiterverarbeitung | Folgeansatz | einsetzen | dorthin	chochor cho chodaly daiin cho kchol otchor oky dal || chochor sho chodaly aiin sho kchol otchor oky al || chochor sho chodaly aiin sho kchol qotchor qoky al || chochor sho chodaly chaiin sho kchol otchor choky chal || chochor sho chodaly saiin sho kchol otchor oky sal
H5-S002	H5	f56r	4	4	YES	vom vorigen | Zugabeposten | einsetzen | Langpassage; Schluss	dchol choy oky cheeckhody || schol choy choky cheeckhody || schol choy oky cheeckhody || schol choy qoky cheeckhody
H5-S003	H5	f56r	4	2	YES	Halten | weitere Zutat | Kurzbearbeitung | erneut einsetzen	sh cho kchey qokokchy || sh sho kchey qokokchy
H5-S004	H5	f56r	3	3	YES	weiterbearbeiten | Auszug einsetzen | Zielbearbeitung	chokchy chokcheo kchal || okchy chokcheo kchal || qokchy chokcheo kchal
H5-S005	H5	f56r	4	4	YES	weitere Zutat | weiterbearbeiten | Quellauszug | Folgeanwendung	cho okchy kchoar sotodan || sho chokchy kchoar sotodan || sho okchy kchoar sotodan || sho qokchy kchoar sotodan
H5-S006	H5	f56r	3	4	YES	das nächste | Kurzfortsetzung | Sollmaß	otchey keol aiin || otchey keol chaiin || otchey keol daiin || otchey keol saiin
B1-S001	B1	f81v	1	1	NO	kurz einwirken; Schluss	qokedy
B1-S002	B1	f81v	19	5	YES	bemessen | Beckenlauf | dorthin einsetzen | davon | weiter | Anteil | weiterer Anteil | dorthin | weiter | Anschluss | Zusatz | derselbe Ansatz | weiter | Kurze Zielpassage | Sollmaß | Langer Zieleinsatz | Sollmaß | durchleiten | überführen; Schluss	okaiin kair okal char cheol chkain olkain chal cheol rol dl cholor cheol sheckhal chaiin qokeedal chaiin shckhy schedy || okaiin kair okal char ol kain olkain al ol rol dl olor ol sheckhal aiin qokeedal aiin shckhy schedy || okaiin kair okal dar tol kain olkain dal tol rol dl olor tol sheckhal daiin qokeedal daiin chckhy dchedy || okaiin kair okal sar sol kain olkain sal sol rol dl olor sol sheckhal saiin qokeedal saiin shckhy schedy || qokaiin kair qokal char qol kain qolkain al qol rol dl olor qol sheckhal aiin qokeedal aiin shckhy schedy
B1-S003	B1	f81v	2	5	YES	weiter | Haltetransfer; Schluss	cheol sshkchdy || ol sshkchdy || qol sshkchdy || sol sshkchdy || tol sshkchdy
B1-S004	B1	f81v	3	5	YES	überführen | weiter | kurz absetzen; Schluss	chdy cheol cheedy || chdy ol cheedy || chdy qol cheedy || chdy sol shedy || chdy tol tedy
B1-S005	B1	f81v	1	2	YES	weiterführen; Schluss	olchedy || qolchedy
B1-S006	B1	f81v	4	3	YES	Anteil zugeben | durchleiten | Zusatz | Zielmarke	okain chckhy dl ral || okain shckhy dl ral || qokain shckhy dl ral
B1-S007	B1	f81v	1	1	NO	einführen; Schluss	qokchdy
B1-S008	B1	f81v	5	5	YES	dies | weiter | kurz wärmen | weiter | kurz absetzen; Schluss	chey cheol cheky cheol cheedy || dy tol cheky tol tedy || sy sol cheky sol shedy || y ol cheky ol cheedy || y qol cheky qol cheedy
B1-S009	B1	f81v	1	1	NO	kurz einwirken; Schluss	qokedy
B1-S010	B1	f81v	1	1	NO	kurz einwirken; Schluss	qokedy
B1-S011	B1	f81v	2	4	YES	durchleiten | einsetzen	chckhy oky || shckhy choky || shckhy oky || shckhy qoky
B1-S012	B1	f81v	3	2	YES	Waschgang | kurz einwirken | Waschgang; Schluss	lsho okey lshedy || lsho qokey lshedy
B1-S013	B1	f81v	1	1	NO	Waschgang; Schluss	lshedy
B1-S014	B1	f81v	5	5	YES	überführen | Weitergang | Zielabführung | weiter | Folgequelle	chdy qolky lchedal cheol otar || chdy qolky lchedal ol otar || chdy qolky lchedal qol otar || chdy qolky lchedal sol otar || chdy qolky lchedal tol otar
B1-S015	B1	f81v	2	2	YES	Kurzteil | einführen; Schluss	ytey okchedy || ytey qokchedy
B1-S016	B1	f81v	4	5	YES	dorthin einsetzen | lange einwirken | weiter | kurz absetzen; Schluss	okal okeey cheol cheedy || okal okeey ol cheedy || okal okeey sol shedy || okal okeey tol tedy || qokal qokeey qol cheedy
B1-S017	B1	f81v	3	4	YES	dorthin | Kurzfortsetzung | Transfer; Schluss	al teol dchdy || chal teol dchdy || dal teol dchdy || sal teol dchdy
B1-S018	B1	f81v	4	2	YES	Abführposten | Kurzhalt | Arbeitsstufe | lange sammeln; Schluss	ly dsheol oiiin olkeedy || ly dsheol soiiin solkeedy
B1-S019	B1	f81v	1	3	YES	kurz absetzen; Schluss	cheedy || shedy || tedy
B1-S020	B1	f81v	2	1	NO	kurz wärmen | seihen; Schluss	cheky shckhedy
B1-S021	B1	f81v	1	4	YES	dorthin	al || chal || dal || sal
B2-S001	B2	f82r	1	2	YES	überführen; Schluss	dchedy || schedy
B2-S002	B2	f82r	1	2	YES	weiterführen; Schluss	olchedy || qolchedy
B2-S003	B2	f82r	3	5	YES	Anteil zugeben | dies | lange einwirken; Schluss	okain chey qokeedy || okain dy qokeedy || okain sy qokeedy || okain y qokeedy || qokain y qokeedy
B2-S004	B2	f82r	5	2	YES	dorthin einsetzen | Abführpassage | Abführung | lange einwirken | Trennabzug; Schluss	okal lcheckhy lched okeey lcheckhedy || qokal lcheckhy lched qokeey lcheckhedy
B2-S005	B2	f82r	8	3	YES	Zieleinsatz | Sollsammlung | durchleiten | bemessen | bemessen | Fortsetzung vorbereiten | Langwärmen | abziehen; Schluss	qokaly solkaiin chckhy okaiin okaiin octheol chkeey ldy || qokaly solkaiin shckhy okaiin okaiin octheol chkeey ldy || qokaly solkaiin shckhy qokaiin qokaiin octheol chkeey ldy
B2-S006	B2	f82r	4	3	YES	Langfolge | dorthin einsetzen | Kurzpassage | einsetzen	oteey okal sheckhy choky || oteey okal sheckhy oky || oteey qokal sheckhy qoky
B2-S007	B2	f82r	1	1	NO	Kurzabsetzen; Schluss	dshedy
B2-S008	B2	f82r	3	3	YES	Folgemaß | Quelleinsatz | kurz absetzen; Schluss	otaiin qokar cheedy || otaiin qokar tedy || sotaiin qokar shedy
B2-S009	B2	f82r	1	1	NO	Folgeabsetzen; Schluss	solshedy
B2-S010	B2	f82r	4	4	YES	lange einwirken | einsetzen | Auslass | Klarauszug	okeey choky ls cheey || okeey oky ls cheey || okeey oky ls shey || qokeey qoky ls cheey
B2-S011	B2	f82r	4	4	YES	Anteil zugeben | davon | Anteil zugeben | lange einwirken; Schluss	okain char okain qokeedy || okain dar okain qokeedy || okain sar okain qokeedy || qokain char qokain qokeedy
B2-S012	B2	f82r	8	5	YES	Abführgut | Klarauszug | kurz vorbereiten | lange einwirken | Klarabzug | Sollmaß | dies | Volleinsatz; Schluss	lchy cheey qcthey okeey lcheey aiin y qokeeedy || lchy cheey qcthey okeey lcheey chaiin chey qokeeedy || lchy cheey qcthey okeey lcheey daiin dy qokeeedy || lchy cheey qcthey qokeey lcheey aiin y qokeeedy || lchy shey shcthey okeey lcheey saiin sy qokeeedy
B2-S013	B2	f82r	1	1	NO	abführen; Schluss	lchedy
B2-S014	B2	f82r	1	1	NO	Quellabzug	lar
B2-S015	B2	f82r	2	1	NO	Klarlauf | lange einwirken; Schluss	tshey qokeedy
B2-S016	B2	f82r	8	5	YES	dorthin | Quellabführung | Teilen | Sollmaß | Langfolge | bemessen | kurz einwirken | Zuführung; Schluss	al lchedar ches aiin oteey okaiin okey pchedy || al lchedar ches aiin oteey qokaiin qokey pchedy || chal lchedar ches chaiin oteey okaiin okey pchedy || dal lchedar ches daiin oteey okaiin okey pchedy || sal lchedar ches saiin oteey okaiin okey pchedy
B2-S017	B2	f82r	2	1	NO	Kurzhalt am Ziel | Zielschluss	rsheal daldy
B2-S018	B2	f82r	1	1	NO	lange einwirken; Schluss	qokeedy
B2-S019	B2	f82r	1	1	NO	Waschschluss	rshedy
B2-S020	B2	f82r	1	1	NO	lange Folgestufe; Schluss	qoteedy
B2-S021	B2	f82r	1	1	NO	lange einwirken; Schluss	qokeedy
B2-S022	B2	f82r	1	1	NO	Abführung; Schluss	lochedy
B3-S001	B3	f83r	1	2	YES	lange sammeln; Schluss	olkeedy || solkeedy
B3-S002	B3	f83r	2	2	YES	danach dorthin | Langwärmen; Schluss	otal chkeedy || qotal chkeedy
B3-S003	B3	f83r	4	4	YES	dies | Sollmaß | dies | abführen; Schluss	chey chaiin chey lchedy || dy daiin dy lchedy || sy saiin sy lchedy || y aiin y lchedy
B3-S004	B3	f83r	3	4	YES	bemessen | danach dorthin | davon	okaiin otal char || okaiin otal dar || okaiin otal sar || qokaiin qotal char
B3-S005	B3	f83r	1	2	YES	überführen; Schluss	dchedy || schedy
B3-S006	B3	f83r	3	2	YES	Postentransfer | dorthin einsetzen | weiterführen; Schluss	chedchy okal olchedy || chedchy qokal qolchedy
B3-S007	B3	f83r	3	2	YES	bemessen | überführen | lange einwirken; Schluss	okaiin chdy qokeedy || qokaiin chdy qokeedy
B3-S008	B3	f83r	1	1	NO	abführen; Schluss	lchedy
B3-S009	B3	f83r	1	3	YES	einsetzen	choky || oky || qoky
B3-S010	B3	f83r	2	1	NO	Zielzuführung | Kurzfolge; Schluss	pchedal otedy
B3-S011	B3	f83r	4	3	YES	Vorbereitungstransfer | einsetzen | überführen | Quellposten	shecthedchy choky chdy chary || shecthedchy oky chdy chary || shecthedchy qoky chdy chary
B3-S012	B3	f83r	2	4	YES	Ansatz | kurz absetzen; Schluss	chor cheedy || or cheedy || or tedy || sor shedy
B3-S013	B3	f83r	4	4	YES	bemessen | Anteil | kurz vorbereiten | kurz einwirken; Schluss	okaiin chkain qcthey qokedy || okaiin kain qcthey qokedy || okaiin kain shcthey qokedy || qokaiin kain qcthey qokedy
B3-S014	B3	f83r	2	1	NO	Laufeinsatz | Langabsetzen; Schluss	okair sheedy
B3-S015	B3	f83r	1	1	NO	abführen; Schluss	lchedy
B3-S016	B3	f83r	2	2	YES	Abzug | einführen; Schluss	lo okchedy || lo qokchedy
B3-S017	B3	f83r	1	1	NO	lange einwirken; Schluss	qokeedy
B3-S018	B3	f83r	1	3	YES	kurz absetzen; Schluss	cheedy || shedy || tedy
B3-S019	B3	f83r	1	1	NO	Einsatzabsetzen; Schluss	qokshedy
B3-S020	B3	f83r	2	4	YES	dorthin | abführen; Schluss	al lchedy || chal lchedy || dal lchedy || sal lchedy
B3-S021	B3	f83r	11	5	YES	bemessen | bereit | dorthin | dies | Sollmaß | am Ziel absetzen | Kurzvorbereitung | dies | dorthin | bereit | Zieltransfer; Schluss	okaiin checthy chal chey chaiin shedal shecthy chey chal checthy dalchdy || okaiin cthy al y aiin shedal shecthy y al cthy dalchdy || okaiin cthy dal dy daiin shedal shecthy dy dal cthy dalchdy || okaiin shcthy sal sy saiin shedal shecthy sy sal shcthy dalchdy || qokaiin cthy al y aiin shedal shecthy y al cthy dalchdy
B3-S022	B3	f83r	1	1	NO	Folgetransfer; Schluss	qotchedy
B3-S023	B3	f83r	1	1	NO	abführen; Schluss	lchedy
B3-S024	B3	f83r	1	2	YES	überführen; Schluss	dchedy || schedy
B3-S025	B3	f83r	1	1	NO	einführen; Schluss	qokchdy
B3-S026	B3	f83r	7	4	YES	Quelltransfer | Sollabsetzung | überführen | Anteil zugeben | bereit | Zielbereitung | lange sammeln; Schluss	cheedar chldaiin chdy okain checthy chealror olkeedy || cheedar chldaiin chdy okain cthy chealror olkeedy || cheedar chldaiin chdy okain shcthy chealror solkeedy || cheedar chldaiin chdy qokain cthy chealror olkeedy
B3-S027	B3	f83r	1	1	NO	lange Folgestufe; Schluss	qoteedy
B3-S028	B3	f83r	2	2	YES	lange einwirken | kurz einwirken; Schluss	okeey qokedy || qokeey qokedy
B3-S029	B3	f83r	3	5	YES	weiter | Vollteil | kurz einwirken; Schluss	cheol cheeety qokedy || ol cheeety qokedy || qol cheeety qokedy || sol cheeety qokedy || tol cheeety qokedy
B3-S030	B3	f83r	4	5	YES	einsetzen | Sollmaß | Weiterlauf | Folgetransfer; Schluss	choky chaiin schedair otchedy || oky aiin schedair otchedy || oky daiin schedair otchedy || oky saiin schedair otchedy || qoky aiin schedair otchedy
B3-S031	B3	f83r	1	1	NO	lange einwirken; Schluss	qokeedy
B3-S032	B3	f83r	5	2	YES	Anteilstransfer | überführen | Kurzsoll | Folgemaß | Kurzfolge; Schluss	chedain chdy qotedaiin otaiin otedy || chedain chdy qotedaiin sotaiin otedy
B3-S033	B3	f83r	1	1	NO	abziehen; Schluss	ldy
B3-S034	B3	f83r	6	4	YES	Arbeitsstufe | bereit | Anteil | Folgemaß | Zwischenziel | kurz absetzen; Schluss	oiiin checthy chety otaiin olsaly cheedy || oiiin cthy chety otaiin olsaly cheedy || oiiin cthy chety otaiin olsaly tedy || soiiin shcthy chety sotaiin olsaly shedy
B4-S001	B4	f83r	1	1	NO	lange einwirken; Schluss	qokeedy
B4-S002	B4	f83r	3	2	YES	Weiterposten | lange einwirken | kurz einwirken; Schluss	qolchey okeey qokedy || qolchey qokeey qokedy
B4-S003	B4	f83r	7	5	YES	überführen | danach dorthin | das nächste | lange einwirken | einsetzen | weiter | kurz absetzen; Schluss	chdy otal otchey okeey choky cheol cheedy || chdy otal otchey okeey oky ol cheedy || chdy otal otchey okeey oky sol shedy || chdy otal otchey okeey oky tol tedy || chdy qotal otchey qokeey qoky qol cheedy
B4-S004	B4	f83r	1	1	NO	Festsetzen; Schluss	qokylddy
B4-S005	B4	f83r	3	1	NO	Einlage | überführen | lange einwirken; Schluss	dain chdy qokeedy
B4-S006	B4	f83r	1	1	NO	seihen; Schluss	shckhedy
B4-S007	B4	f83r	1	1	NO	seihen; Schluss	shckhedy
B4-S008	B4	f83r	4	4	YES	Sollmaß | länger bearbeiten | Langhalt | kurz einwirken; Schluss	aiin cheeky sheey qokedy || chaiin cheeky sheey qokedy || daiin cheeky sheey qokedy || saiin cheeky sheey qokedy
B4-S009	B4	f83r	1	3	YES	kurz absetzen; Schluss	cheedy || shedy || tedy
B4-S010	B4	f83r	1	1	NO	fertig	oldy
B4-S011	B4	f83r	7	5	YES	Sollmaß | kurz wärmen | Langfortsetzung | Anteil zugeben | überführen | weiter | Kurzabzug; Schluss	aiin cheky okeeol okain chdy ol lkedy || aiin cheky okeeol qokain chdy qol lkedy || chaiin cheky okeeol okain chdy cheol lkedy || daiin cheky okeeol okain chdy tol lkedy || saiin cheky okeeol okain chdy sol lkedy
B4-S012	B4	f83r	1	1	NO	abführen; Schluss	lchedy
B4-S013	B4	f83r	2	3	YES	Weiter einsetzen | kurz absetzen; Schluss	qokol cheedy || qokol shedy || qokol tedy
B4-S014	B4	f83r	4	4	YES	Ansatz | dies | Kurzdurchgang | Laufschluss	chor chey qockhey dairydy || or dy qockhey dairydy || or y qockhey dairydy || sor sy qockhey dairydy
B4-S015	B4	f83r	6	4	YES	Anteil zugeben | Klarauszug | Anteil | Zielpassage | Kurzsammlung | abführen; Schluss	okain cheey chkain chckhal solkey lchedy || okain cheey kain chckhal solkey lchedy || okain shey kain chckhal solkey lchedy || qokain cheey kain chckhal solkey lchedy
B4-S016	B4	f83r	4	5	YES	weiterer Anteil | dorthin | Quellausguss | kurz absetzen; Schluss	olkain al skar cheedy || olkain chal skar cheedy || olkain dal skar tedy || olkain sal skar shedy || qolkain al skar cheedy
B5-S001	B5	f83r	1	1	NO	Nachtransfer; Schluss	otchdy
B5-S002	B5	f83r	1	1	NO	einführen; Schluss	qokchdy
B5-S003	B5	f83r	9	5	YES	am Ziel absetzen | dorthin | weiter | Weiterabzug | Zieltransfer | Sollmaß | weiter | Endstufe | überführen	shedal al ol lol chdal aiin ol daiiin chdy || shedal al qol lol chdal aiin qol daiiin chdy || shedal chal cheol lol chdal chaiin cheol daiiin chdy || shedal dal tol lol chdal daiin tol daiiin chdy || shedal sal sol lol chdal saiin sol daiiin chdy
B6-S001	B6	f83r	9	5	YES	Langsammlung | Kurzbearbeitung | Endposten | weiter | Sollmaß | weiter | Einlage | dies | Endziel	solkeey qekey raly cheol chaiin cheol dain chey ldalor || solkeey qekey raly ol aiin ol dain y ldalor || solkeey qekey raly qol aiin qol dain y ldalor || solkeey qekey raly sol saiin sol dain sy ldalor || solkeey qekey raly tol daiin tol dain dy ldalor
