action_case_id	path_class	best_endpoint_ranks	explicit_terminal_rank	strict_decision	exploratory_decision	first_blocker_rank	first_blocker_class	practical_reading_de	decision_reason_de	portable_default
A019	NO_COHERENT_PRODUCT_PATH	NONE	NONE	STOP	STOP_NO_PATH	1	MATERIAL_AND_TEMPERATURE_RESET	Drei Dosen Trockenansatz abmessen; danach wechselnde Holz-, Drogen- und Ansatzwerte.	Der erste Wert ist bereits ein heißer Holzanteil; im Fenster entsteht kein terminales Produkt mit stabilem Material.	NO
A021	NO_COHERENT_PRODUCT_PATH	NONE	NONE	STOP	STOP_NO_PATH	NONE	WINDOW_END_WITHOUT_TERMINAL	Pulverzubereitung nehmen; danach kalter Drogenanteil, Rohstoff und Wurzelmaß.	Das Fenster endet nach mehreren Materialangaben ohne Abschlusswert.	NO
A024	LOCALLY_READABLE_PRODUCT_ENDPOINT	1|2|3|4	4	HOLD	HOLD_COHERENT_ENDPOINT	5	NEW_QUANTITY_AND_MATERIAL_BLOCK	Zwei Dosen Trockengut abmessen; möglicher Attributblock endet in fertiger abgekühlter Zubereitung.	Der vierte Wert ist ein plausibles Produktende; die neue Portion auf Rang fünf sperrt das attraktivere spätere Trockenprodukt.	NO
A027	RESET_OR_BREAK_BEFORE_ATTRACTION	NONE	8	STOP	STOP_RESET	2	MATERIAL_RESET	Erhitzen, trocknen und ansetzen; fertiges Holz erscheint erst nach mehreren Materialwechseln.	Samen wechselt früh zu Kraut; das fertige Holz auf Rang acht kann den gebrochenen Pfad nicht reparieren.	NO
A028	RESET_OR_BREAK_BEFORE_ATTRACTION	NONE	8	STOP	STOP_RESET	7	THERMAL_AND_DEGREE_RESET	Zweiten Ansatz nehmen; fertig getrocknetes Holz folgt erst nach mehrfachen Zustandsresets.	Kälte und Grad II auf Rang sieben folgen bereits mehreren Material- und Zustandswechseln.	NO
A029	RESET_OR_BREAK_BEFORE_ATTRACTION	NONE	3	STOP	PRESERVE_SHORTER_HOLD	3	NEW_OPERATION_COMPLETION	Leicht erhitzen; danach heiße Ansatzsubstanz, dann fertige Mittelstufen-Trockenportion.	Der kurze Hitze-Hold bleibt; der Abschlusswert fügt Abmessen, Trocknen, Mittelstufe und Fertigstellung neu hinzu.	NO
A032	EARLIER_COMPLETION_BLOCKS_LONGER	1	1	STOP	STOP_EARLY_CONFLICT	1	OPERATION_CONFLICT	Portion mitteltrocknen; unmittelbar folgt ein heißer abgeschlossener Auszug.	Erhitzen, Abziehen und Abschließen stehen nicht in der Handlung; der erste Abschlusswert blockiert spätere Attraktionen.	NO
A036	EARLIER_COMPLETION_BLOCKS_LONGER	1	1	STOP	STOP_EARLY_CONFLICT	1	MATERIAL_AND_OPERATION_CONFLICT	Portion mitteltrocknen; unmittelbar folgt vollständig erhitzter und abgezogener Auszug.	Portion und Trocknung werden durch erhitzten abgezogenen Auszug ersetzt.	NO
A038	NO_COHERENT_PRODUCT_PATH	NONE	NONE	STOP	STOP_NO_PATH	2	STATE_WITHOUT_MATERIAL_HEAD	Trockenen Drogenanteil nehmen; danach trocken und vollständig erhitzt III.	Der zweite Wert ist nur ein vollständiger Heizstatus ohne geschriebenen Materialkopf und ohne Erhitzungshandlung.	NO
A041	LOCALLY_READABLE_PRODUCT_ENDPOINT	1|2	2	STOP	HOLD_COHERENT_ENDPOINT	2	DEGREE_AND_OPERATION_CONFLICT	Getrocknete Droge nehmen; danach fertige abgemessene Mittelstufen-Trockenportion.	Der Produktblock ist lesbar, aber Gradende zu Mittelstufe sowie Abmessen und Fertigstellen bleiben ungeschrieben; explorativer Hold ohne Kante.	NO
A043	LOCALLY_READABLE_PRODUCT_ENDPOINT	1	1	HOLD	HOLD_COHERENT_ENDPOINT	2	DEGREE_RESET_AFTER_TERMINAL	Warme Trockenmischung bereiten; mögliches unmittelbares fertiges Trockenprodukt.	Das unmittelbare Produkt ist praktisch kohärent; der folgende heiße Endgrad beendet die Fortsetzung.	NO
A045	NO_COHERENT_PRODUCT_PATH	NONE	NONE	STOP	STOP_NO_PATH	3	MATERIAL_RESET	Einweichen, erhitzen und abschließen; rechts stehen nur Holzwerte und Drogenportion.	Kein geschriebener Abschlusswert; Holz wechselt zur Drogenportion.	NO
A047	RESET_OR_BREAK_BEFORE_ATTRACTION	NONE	5	STOP	STOP_RESET	1	STATE_REVERSAL	Fertiges Trockenpulver nehmen; abgeschlossenes Kompositum erscheint erst nach Feuchte-, Kälte- und Holzwechseln.	Der erste Wert kehrt fertig trocken sofort zu feucht um; der spätere Abschlusswert hat keinen stabilen Patienten.	NO
A048	LOCALLY_READABLE_PRODUCT_ENDPOINT	1|2	2	STOP	HIGH_HOLD_NEW_FOCUS	2	UNLICENSED_DRYING_AND_CLOSURE	Endportion hinzugeben; danach heiß, Grad III; mögliches terminales Produkt: abgeschlossenes, bis zur Mittelstufe getrocknetes Arzneikompositum.	Die Folge ist praktisch konkret und endet sauber; Hinzugeben allein erklärt Trocknung, Abschluss und Materialidentität noch nicht.	NO
A049	NO_COHERENT_PRODUCT_PATH	NONE	NONE	STOP	STOP_NO_PATH	NONE	WINDOW_END_WITHOUT_TERMINAL	Drogenstoff zugeben; danach kaltes Holz III und mittlere Feuchte.	Das Fenster endet ohne Abschlusswert und wechselt Droge zu Holz.	NO
A053	RESET_OR_BREAK_BEFORE_ATTRACTION	NONE	NONE	STOP	STOP_RESET	1	DEGREE_AND_TEMPERATURE_RESET	Bis zur Endstufe trocknen; danach heißer Mittelansatz und vollständig eingeweichtes Holz.	Endstufe springt sofort zu heißer Mittelstufe; danach wechseln Operation und Material.	NO
A055	NO_COHERENT_PRODUCT_PATH	NONE	NONE	STOP	STOP_NO_PATH	1	OPERATION_RESET	Dosis vollständig trocknen und schließen; rechts stehen Heizansatz, Wurzel und Blüte.	Der erste Wert eröffnet eine mittlere Heizstufe; kein passendes geschlossenes Trockenprodukt folgt.	NO
A059	NO_COHERENT_PRODUCT_PATH	NONE	NONE	STOP	STOP_NO_PATH	2	TEMPERATURE_AND_MATERIAL_CONFLICT	Bis zur Mitte trocknen und auf Kühlstufe II bringen; kein fertiges Produkt geschrieben.	Der spätere heiße Holzanteil widerspricht Kühlung; das Fenster enthält keinen Terminalwert.	NO
A063	RESET_OR_BREAK_BEFORE_ATTRACTION	NONE	6	STOP	STOP_RESET	3	EARLIER_COMPLETE_STATE_AND_MATERIAL_RESET	Drogenstoff zugeben; fertig aufbereitetes Holz folgt erst nach mehreren Empfänger- und Zustandsblöcken.	Ein vollständiger Zustand und neuer Grundansatz stehen vor dem fertigen Holz; kein ungebrochener Produktpfad.	NO
A064	RESET_OR_BREAK_BEFORE_ATTRACTION	NONE	NONE	STOP	STOP_RESET	5	STATE_REVERSAL	Holzdrogenanteil abmessen; danach wechselnde trockene, heiße und feuchte Ansatzwerte.	Feuchtes Gradende folgt auf trockene und heiße Endwerte; kein terminales Produkt.	NO
A065	RESET_OR_BREAK_BEFORE_ATTRACTION	NONE	NONE	STOP	STOP_RESET	1	TEMPERATURE_RESET	Abkühlen, mitteltrocknen und ansetzen; rechts beginnt sofort ein heißer II-Wert.	Der erste Wert widerspricht der Abkühlung; spätere Mengen und Materialien bilden keinen Abschluss.	NO
A067	EARLIER_COMPLETION_BLOCKS_LONGER	2	2	STOP	STOP_EARLY_CONFLICT	1	STATE_REVERSAL	Getrocknetes Pulver nehmen; danach abgeschlossenes feuchtes Anfangsmazerat.	Feucht kehrt den trockenen Zustand sofort um; der Abschlusswert gehört bereits zu einem neuen Mazerat.	NO
A070	RESET_OR_BREAK_BEFORE_ATTRACTION	NONE	NONE	STOP	PRESERVE_SHORTER_HOLD	3	STATE_RESTART	Maß nehmen und erhitzen; heiß-trockener Anfang bleibt ein nichtterminaler Zustandsblock.	Der kurze Hitze-Hold bleibt; die Trockenwiederholung und folgende Kälteumkehr sperren jede Verlängerung.	NO
A071	NO_COHERENT_PRODUCT_PATH	NONE	NONE	STOP	STOP_NO_PATH	NONE	WINDOW_END_WITHOUT_TERMINAL	Getrocknetes Pulver nehmen; danach kalter Rohstoff I und Grundansatz.	Das Fenster endet ohne Abschluss und ohne stabilen Materialkopf.	NO
A072	NO_COHERENT_PRODUCT_PATH	NONE	NONE	STOP	STOP_NO_PATH	NONE	WINDOW_END_WITHOUT_TERMINAL	Drogenstoff abkühlen; rechts stehen zweimal Maße kalten Ansatzes.	Kälte ist kompatibel, aber es wird nur Menge und Ansatz geschrieben, kein fertiges Produkt.	NO
A073	LOCALLY_READABLE_PRODUCT_ENDPOINT	1|2	2	HOLD	HOLD_COHERENT_ENDPOINT	3	MATERIAL_AND_DEGREE_RESET	Auf Stufe II erhitzen; mögliche fertige heiß-trockene Zubereitung, aber Grad und Patient offen.	Das Produkt ist konkret und heiß; Rang eins konkurriert mit Stufe II, Rang drei wechselt zu trockenem Kompositum am Gradanfang.	NO
A074	EARLIER_COMPLETION_BLOCKS_LONGER	2	2	STOP	STOP_EARLY_CONFLICT	1	STATE_AND_DEGREE_CONFLICT	Samenpulver mitteltrocknen; danach vollständig eingeweichtes Gut der Schlussstufe.	Heißer Gradanfang steht vor dem Abschluss; Einweichen und Schlussstufe widersprechen Trocknung und Mittelstufe.	NO
A075	NO_COHERENT_PRODUCT_PATH	NONE	NONE	STOP	STOP_NO_PATH	1	TEMPERATURE_RESET	Bis zur Endstufe abkühlen; rechts bleiben heiße Drogen- und Holzanteile.	Der erste Wert ist heiß und wechselt später das Material; kein terminales Produkt.	NO
A077	LOCALLY_READABLE_PRODUCT_ENDPOINT	1|2	2	ADMIT_EXISTING_C019	REPLAY_C019	3	NEW_MATERIAL_AND_OPERATION_AFTER_TERMINAL	Drogenportion auf III erhitzen; vollständig bis zur letzten Heizstufe geführte Zubereitung.	Materialträger, Erhitzung, Abschluss und Stufe bilden C019; die folgende Blütentrocknung beginnt einen anderen Pfad.	NO
A079	NO_COHERENT_PRODUCT_PATH	NONE	NONE	STOP	STOP_NO_PATH	1	MATERIAL_RESET	Portion mitteltrocknen; danach heißer Absud Grad III.	Der erste Wert wechselt zu heißem Absud und erklärt weder Portion noch Mittelstufe.	NO
A082	NO_COHERENT_PRODUCT_PATH	NONE	NONE	STOP	STOP_NO_PATH	NONE	WINDOW_END_WITHOUT_TERMINAL	Drogenstoff aus Arzneikompositum zugeben; danach heißer Ansatzstoff und trockener Drogenstoff.	Die konkrete Argumentkette bleibt als früherer Hold erhalten, schreibt aber kein verwandeltes Endprodukt.	NO
A083	COHERENT_NONFINISHED_RESULT_STATE	1|2|3	NONE	STOP	PRESERVE_C020_NONTERMINAL	4	NEW_CHARGE_AFTER_STATE_BUNDLE	Portion mitteltrocknen; Drogenstoff, trocken, Gradmitte bilden C020, aber keinen expliziten Terminalwert.	Der kohärente Zustandsblock C020 bleibt; die neue Charge auf Rang vier beendet ihn und ist kein Fertigprodukt.	NO
