series	stem	tail	e_length	surface	occurrences	it2a_occurrences	rf1b_occurrences	pages	triple_stable_occurrences	working_default
SH_ODY	sh	ody	3	sheeeody	0	0	0	0	0	PRODUCTIVE_E_LENGTH__BOUND_OR_GRADE_EXPANSION__DIRECTION_OPEN
SH_ODY	sh	ody	4	sheeeeody	0	0	0	0	0	PRODUCTIVE_E_LENGTH__BOUND_OR_GRADE_EXPANSION__DIRECTION_OPEN
K_DY	k	dy	0	kdy	0	0	0	0	0	PRODUCTIVE_E_LENGTH__BOUND_OR_GRADE_EXPANSION__DIRECTION_OPEN
K_DY	k	dy	1	kedy	42	38	22	28	16	PRODUCTIVE_E_LENGTH__BOUND_OR_GRADE_EXPANSION__DIRECTION_OPEN
K_DY	k	dy	2	keedy	59	50	28	31	22	PRODUCTIVE_E_LENGTH__BOUND_OR_GRADE_EXPANSION__DIRECTION_OPEN
K_DY	k	dy	3	keeedy	6	3	1	5	0	PRODUCTIVE_E_LENGTH__BOUND_OR_GRADE_EXPANSION__DIRECTION_OPEN
K_DY	k	dy	4	keeeedy	0	0	0	0	0	PRODUCTIVE_E_LENGTH__BOUND_OR_GRADE_EXPANSION__DIRECTION_OPEN
K_ODY	k	ody	0	kody	6	6	7	6	5	PRODUCTIVE_E_LENGTH__BOUND_OR_GRADE_EXPANSION__DIRECTION_OPEN
K_ODY	k	ody	1	keody	18	18	14	16	13	PRODUCTIVE_E_LENGTH__BOUND_OR_GRADE_EXPANSION__DIRECTION_OPEN
K_ODY	k	ody	2	keeody	8	5	4	8	2	PRODUCTIVE_E_LENGTH__BOUND_OR_GRADE_EXPANSION__DIRECTION_OPEN
K_ODY	k	ody	3	keeeody	1	1	0	1	0	PRODUCTIVE_E_LENGTH__BOUND_OR_GRADE_EXPANSION__DIRECTION_OPEN
K_ODY	k	ody	4	keeeeody	0	0	0	0	0	PRODUCTIVE_E_LENGTH__BOUND_OR_GRADE_EXPANSION__DIRECTION_OPEN
T_DY	t	dy	0	tdy	0	0	0	0	0	PRODUCTIVE_E_LENGTH__BOUND_OR_GRADE_EXPANSION__DIRECTION_OPEN
T_DY	t	dy	1	tedy	31	34	18	26	16	PRODUCTIVE_E_LENGTH__BOUND_OR_GRADE_EXPANSION__DIRECTION_OPEN
T_DY	t	dy	2	teedy	13	12	10	11	7	PRODUCTIVE_E_LENGTH__BOUND_OR_GRADE_EXPANSION__DIRECTION_OPEN
T_DY	t	dy	3	teeedy	4	4	2	4	2	PRODUCTIVE_E_LENGTH__BOUND_OR_GRADE_EXPANSION__DIRECTION_OPEN
T_DY	t	dy	4	teeeedy	0	0	0	0	0	PRODUCTIVE_E_LENGTH__BOUND_OR_GRADE_EXPANSION__DIRECTION_OPEN
T_ODY	t	ody	0	tody	9	7	5	9	4	PRODUCTIVE_E_LENGTH__BOUND_OR_GRADE_EXPANSION__DIRECTION_OPEN
T_ODY	t	ody	1	teody	7	6	8	6	6	PRODUCTIVE_E_LENGTH__BOUND_OR_GRADE_EXPANSION__DIRECTION_OPEN
T_ODY	t	ody	2	teeody	4	3	3	4	3	PRODUCTIVE_E_LENGTH__BOUND_OR_GRADE_EXPANSION__DIRECTION_OPEN
T_ODY	t	ody	3	teeeody	0	0	0	0	0	PRODUCTIVE_E_LENGTH__BOUND_OR_GRADE_EXPANSION__DIRECTION_OPEN
T_ODY	t	ody	4	teeeeody	0	0	0	0	0	PRODUCTIVE_E_LENGTH__BOUND_OR_GRADE_EXPANSION__DIRECTION_OPEN
OK_DY	ok	dy	0	okdy	1	1	1	1	1	PRODUCTIVE_E_LENGTH__BOUND_OR_GRADE_EXPANSION__DIRECTION_OPEN
OK_DY	ok	dy	1	okedy	87	90	52	42	47	PRODUCTIVE_E_LENGTH__BOUND_OR_GRADE_EXPANSION__DIRECTION_OPEN
OK_DY	ok	dy	2	okeedy	94	93	54	46	49	PRODUCTIVE_E_LENGTH__BOUND_OR_GRADE_EXPANSION__DIRECTION_OPEN
OK_DY	ok	dy	3	okeeedy	7	9	6	6	4	PRODUCTIVE_E_LENGTH__BOUND_OR_GRADE_EXPANSION__DIRECTION_OPEN
OK_DY	ok	dy	4	okeeeedy	0	0	0	0	0	PRODUCTIVE_E_LENGTH__BOUND_OR_GRADE_EXPANSION__DIRECTION_OPEN
OK_ODY	ok	ody	0	okody	4	7	6	4	3	PRODUCTIVE_E_LENGTH__BOUND_OR_GRADE_EXPANSION__DIRECTION_OPEN
OK_ODY	ok	ody	1	okeody	21	20	13	17	12	PRODUCTIVE_E_LENGTH__BOUND_OR_GRADE_EXPANSION__DIRECTION_OPEN
OK_ODY	ok	ody	2	okeeody	7	8	6	7	6	PRODUCTIVE_E_LENGTH__BOUND_OR_GRADE_EXPANSION__DIRECTION_OPEN
OK_ODY	ok	ody	3	okeeeody	1	1	1	1	1	PRODUCTIVE_E_LENGTH__BOUND_OR_GRADE_EXPANSION__DIRECTION_OPEN
OK_ODY	ok	ody	4	okeeeeody	0	0	0	0	0	PRODUCTIVE_E_LENGTH__BOUND_OR_GRADE_EXPANSION__DIRECTION_OPEN
OT_DY	ot	dy	0	otdy	1	1	2	1	1	PRODUCTIVE_E_LENGTH__BOUND_OR_GRADE_EXPANSION__DIRECTION_OPEN
OT_DY	ot	dy	1	otedy	131	131	78	49	75	PRODUCTIVE_E_LENGTH__BOUND_OR_GRADE_EXPANSION__DIRECTION_OPEN
OT_DY	ot	dy	2	oteedy	88	89	73	36	66	PRODUCTIVE_E_LENGTH__BOUND_OR_GRADE_EXPANSION__DIRECTION_OPEN
OT_DY	ot	dy	3	oteeedy	2	3	2	2	2	PRODUCTIVE_E_LENGTH__BOUND_OR_GRADE_EXPANSION__DIRECTION_OPEN
OT_DY	ot	dy	4	oteeeedy	0	0	0	0	0	PRODUCTIVE_E_LENGTH__BOUND_OR_GRADE_EXPANSION__DIRECTION_OPEN
OT_ODY	ot	ody	0	otody	14	10	8	13	8	PRODUCTIVE_E_LENGTH__BOUND_OR_GRADE_EXPANSION__DIRECTION_OPEN
OT_ODY	ot	ody	1	oteody	20	19	15	17	15	PRODUCTIVE_E_LENGTH__BOUND_OR_GRADE_EXPANSION__DIRECTION_OPEN
OT_ODY	ot	ody	2	oteeody	7	7	5	6	5	PRODUCTIVE_E_LENGTH__BOUND_OR_GRADE_EXPANSION__DIRECTION_OPEN
OT_ODY	ot	ody	3	oteeeody	0	0	0	0	0	PRODUCTIVE_E_LENGTH__BOUND_OR_GRADE_EXPANSION__DIRECTION_OPEN
OT_ODY	ot	ody	4	oteeeeody	0	0	0	0	0	PRODUCTIVE_E_LENGTH__BOUND_OR_GRADE_EXPANSION__DIRECTION_OPEN
