cell_id	surface	wrapper	thermal_symbol	thermal_default	moisture_symbol	moisture_default	e_bit	e_default	d_bit	d_default	occurrences	pages	it2a_occurrences	rf1b_occurrences	triple_reading_stable_occurrences	triple_reading_stable_pages	working_default_de
G624-C017	okchy	o	k	HOT	ch	DRY	0	UNMARKED_OR_PREDICATIVE	0	BASIC_QUALITY_FORM	22	20	28	26	20	20	im o-Rahmen: heiß-trocken (unmarkiert/prädikativ)
G624-C018	okchdy	o	k	HOT	ch	DRY	0	UNMARKED_OR_PREDICATIVE	1	GRAMMATICAL_DY_BINDING_OR_STATE_CLOSURE	16	14	16	10	10	10	im o-Rahmen: heiß-trockene Zustands-/Bindungsform
G624-C019	okchey	o	k	HOT	ch	DRY	1	FORWARD_BOUND_OR_ATTRIBUTIVE__DEGREE_RIVAL	0	BASIC_QUALITY_FORM	29	26	28	26	26	23	im o-Rahmen: heiß-trocken (vorwärts gebunden/attributiv)
G624-C020	okchedy	o	k	HOT	ch	DRY	1	FORWARD_BOUND_OR_ATTRIBUTIVE__DEGREE_RIVAL	1	GRAMMATICAL_DY_BINDING_OR_STATE_CLOSURE	23	16	21	13	13	10	im o-Rahmen: heiß-trockene Zustands-/Bindungsform; vorwärts gebunden/attributiv
G624-C021	okshy	o	k	HOT	sh	MOIST	0	UNMARKED_OR_PREDICATIVE	0	BASIC_QUALITY_FORM	10	9	10	10	9	9	im o-Rahmen: heiß-feucht (unmarkiert/prädikativ)
G624-C022	okshdy	o	k	HOT	sh	MOIST	0	UNMARKED_OR_PREDICATIVE	1	GRAMMATICAL_DY_BINDING_OR_STATE_CLOSURE	1	1	1	1	1	1	im o-Rahmen: heiß-feuchte Zustands-/Bindungsform
G624-C023	okshey	o	k	HOT	sh	MOIST	1	FORWARD_BOUND_OR_ATTRIBUTIVE__DEGREE_RIVAL	0	BASIC_QUALITY_FORM	9	8	9	7	5	5	im o-Rahmen: heiß-feucht (vorwärts gebunden/attributiv)
G624-C024	okshedy	o	k	HOT	sh	MOIST	1	FORWARD_BOUND_OR_ATTRIBUTIVE__DEGREE_RIVAL	1	GRAMMATICAL_DY_BINDING_OR_STATE_CLOSURE	4	4	3	1	1	1	im o-Rahmen: heiß-feuchte Zustands-/Bindungsform; vorwärts gebunden/attributiv
G624-C025	otchy	o	t	COLD	ch	DRY	0	UNMARKED_OR_PREDICATIVE	0	BASIC_QUALITY_FORM	40	32	40	40	36	29	im o-Rahmen: kalt-trocken (unmarkiert/prädikativ)
G624-C026	otchdy	o	t	COLD	ch	DRY	0	UNMARKED_OR_PREDICATIVE	1	GRAMMATICAL_DY_BINDING_OR_STATE_CLOSURE	24	21	25	13	10	10	im o-Rahmen: kalt-trockene Zustands-/Bindungsform
G624-C027	otchey	o	t	COLD	ch	DRY	1	FORWARD_BOUND_OR_ATTRIBUTIVE__DEGREE_RIVAL	0	BASIC_QUALITY_FORM	26	21	25	24	23	20	im o-Rahmen: kalt-trocken (vorwärts gebunden/attributiv)
G624-C028	otchedy	o	t	COLD	ch	DRY	1	FORWARD_BOUND_OR_ATTRIBUTIVE__DEGREE_RIVAL	1	GRAMMATICAL_DY_BINDING_OR_STATE_CLOSURE	34	21	33	19	18	14	im o-Rahmen: kalt-trockene Zustands-/Bindungsform; vorwärts gebunden/attributiv
G624-C029	otshy	o	t	COLD	sh	MOIST	0	UNMARKED_OR_PREDICATIVE	0	BASIC_QUALITY_FORM	4	4	4	4	4	4	im o-Rahmen: kalt-feucht (unmarkiert/prädikativ)
G624-C030	otshdy	o	t	COLD	sh	MOIST	0	UNMARKED_OR_PREDICATIVE	1	GRAMMATICAL_DY_BINDING_OR_STATE_CLOSURE	3	3	3	2	2	2	im o-Rahmen: kalt-feuchte Zustands-/Bindungsform
G624-C031	otshey	o	t	COLD	sh	MOIST	1	FORWARD_BOUND_OR_ATTRIBUTIVE__DEGREE_RIVAL	0	BASIC_QUALITY_FORM	7	6	7	6	6	5	im o-Rahmen: kalt-feucht (vorwärts gebunden/attributiv)
G624-C032	otshedy	o	t	COLD	sh	MOIST	1	FORWARD_BOUND_OR_ATTRIBUTIVE__DEGREE_RIVAL	1	GRAMMATICAL_DY_BINDING_OR_STATE_CLOSURE	7	7	10	4	4	4	im o-Rahmen: kalt-feuchte Zustands-/Bindungsform; vorwärts gebunden/attributiv
G624-C033	qokchy	qo	k	HOT	ch	DRY	0	UNMARKED_OR_PREDICATIVE	0	BASIC_QUALITY_FORM	64	50	66	62	58	44	im qo-Qualitätsrahmen: heiß-trocken (unmarkiert/prädikativ)
G624-C034	qokchdy	qo	k	HOT	ch	DRY	0	UNMARKED_OR_PREDICATIVE	1	GRAMMATICAL_DY_BINDING_OR_STATE_CLOSURE	49	33	54	29	29	21	im qo-Qualitätsrahmen: heiß-trockene Zustands-/Bindungsform
G624-C035	qokchey	qo	k	HOT	ch	DRY	1	FORWARD_BOUND_OR_ATTRIBUTIVE__DEGREE_RIVAL	0	BASIC_QUALITY_FORM	25	16	28	25	24	16	im qo-Qualitätsrahmen: heiß-trocken (vorwärts gebunden/attributiv)
G624-C036	qokchedy	qo	k	HOT	ch	DRY	1	FORWARD_BOUND_OR_ATTRIBUTIVE__DEGREE_RIVAL	1	GRAMMATICAL_DY_BINDING_OR_STATE_CLOSURE	39	21	38	28	27	14	im qo-Qualitätsrahmen: heiß-trockene Zustands-/Bindungsform; vorwärts gebunden/attributiv
G624-C037	qokshy	qo	k	HOT	sh	MOIST	0	UNMARKED_OR_PREDICATIVE	0	BASIC_QUALITY_FORM	9	9	10	7	7	7	im qo-Qualitätsrahmen: heiß-feucht (unmarkiert/prädikativ)
G624-C038	qokshdy	qo	k	HOT	sh	MOIST	0	UNMARKED_OR_PREDICATIVE	1	GRAMMATICAL_DY_BINDING_OR_STATE_CLOSURE	4	4	4	2	2	2	im qo-Qualitätsrahmen: heiß-feuchte Zustands-/Bindungsform
G624-C039	qokshey	qo	k	HOT	sh	MOIST	1	FORWARD_BOUND_OR_ATTRIBUTIVE__DEGREE_RIVAL	0	BASIC_QUALITY_FORM	8	7	8	7	5	5	im qo-Qualitätsrahmen: heiß-feucht (vorwärts gebunden/attributiv)
G624-C040	qokshedy	qo	k	HOT	sh	MOIST	1	FORWARD_BOUND_OR_ATTRIBUTIVE__DEGREE_RIVAL	1	GRAMMATICAL_DY_BINDING_OR_STATE_CLOSURE	10	8	10	7	7	6	im qo-Qualitätsrahmen: heiß-feuchte Zustands-/Bindungsform; vorwärts gebunden/attributiv
G624-C041	qotchy	qo	t	COLD	ch	DRY	0	UNMARKED_OR_PREDICATIVE	0	BASIC_QUALITY_FORM	61	47	63	59	55	44	im qo-Qualitätsrahmen: kalt-trocken (unmarkiert/prädikativ)
G624-C042	qotchdy	qo	t	COLD	ch	DRY	0	UNMARKED_OR_PREDICATIVE	1	GRAMMATICAL_DY_BINDING_OR_STATE_CLOSURE	21	17	22	19	19	16	im qo-Qualitätsrahmen: kalt-trockene Zustands-/Bindungsform
G624-C043	qotchey	qo	t	COLD	ch	DRY	1	FORWARD_BOUND_OR_ATTRIBUTIVE__DEGREE_RIVAL	0	BASIC_QUALITY_FORM	18	15	19	18	18	15	im qo-Qualitätsrahmen: kalt-trocken (vorwärts gebunden/attributiv)
G624-C044	qotchedy	qo	t	COLD	ch	DRY	1	FORWARD_BOUND_OR_ATTRIBUTIVE__DEGREE_RIVAL	1	GRAMMATICAL_DY_BINDING_OR_STATE_CLOSURE	24	13	23	17	17	9	im qo-Qualitätsrahmen: kalt-trockene Zustands-/Bindungsform; vorwärts gebunden/attributiv
G624-C045	qotshy	qo	t	COLD	sh	MOIST	0	UNMARKED_OR_PREDICATIVE	0	BASIC_QUALITY_FORM	5	5	5	4	4	4	im qo-Qualitätsrahmen: kalt-feucht (unmarkiert/prädikativ)
G624-C046	qotshdy	qo	t	COLD	sh	MOIST	0	UNMARKED_OR_PREDICATIVE	1	GRAMMATICAL_DY_BINDING_OR_STATE_CLOSURE	3	3	3	3	3	3	im qo-Qualitätsrahmen: kalt-feuchte Zustands-/Bindungsform
G624-C047	qotshey	qo	t	COLD	sh	MOIST	1	FORWARD_BOUND_OR_ATTRIBUTIVE__DEGREE_RIVAL	0	BASIC_QUALITY_FORM	2	2	3	5	2	2	im qo-Qualitätsrahmen: kalt-feucht (vorwärts gebunden/attributiv)
G624-C048	qotshedy	qo	t	COLD	sh	MOIST	1	FORWARD_BOUND_OR_ATTRIBUTIVE__DEGREE_RIVAL	1	GRAMMATICAL_DY_BINDING_OR_STATE_CLOSURE	3	3	3	2	2	2	im qo-Qualitätsrahmen: kalt-feuchte Zustands-/Bindungsform; vorwärts gebunden/attributiv
