surface	composition	working_reading_de	thermal_atom	moisture_atom	e_atom	d_atom	wrapper_atom	occurrences	triple_stable_occurrences	status
okchy	o+k+ch+e0+d0+y	im o-Rahmen: heiß-trocken (unmarkiert/prädikativ)	k=hot	ch=dry	unmarkiert/prädikativ	Grundform	o-Scope	22	20	COMPLETE_COMPOSITIONAL_DEFAULT__E_ATTRIBUTIVE_D_BINDING_WORKING_READER
okchdy	o+k+ch+e0+d1+y	im o-Rahmen: heiß-trockene Zustands-/Bindungsform	k=hot	ch=dry	unmarkiert/prädikativ	grammatische DY-Bindung/Zustandsabschluss	o-Scope	16	10	COMPLETE_COMPOSITIONAL_DEFAULT__E_ATTRIBUTIVE_D_BINDING_WORKING_READER
okchey	o+k+ch+e1+d0+y	im o-Rahmen: heiß-trocken (vorwärts gebunden/attributiv)	k=hot	ch=dry	vorwärts gebunden/attributiv; Grad-Rivale offen	Grundform	o-Scope	29	26	COMPLETE_COMPOSITIONAL_DEFAULT__E_ATTRIBUTIVE_D_BINDING_WORKING_READER
okchedy	o+k+ch+e1+d1+y	im o-Rahmen: heiß-trockene Zustands-/Bindungsform; vorwärts gebunden/attributiv	k=hot	ch=dry	vorwärts gebunden/attributiv; Grad-Rivale offen	grammatische DY-Bindung/Zustandsabschluss	o-Scope	23	13	COMPLETE_COMPOSITIONAL_DEFAULT__E_ATTRIBUTIVE_D_BINDING_WORKING_READER
okshy	o+k+sh+e0+d0+y	im o-Rahmen: heiß-feucht (unmarkiert/prädikativ)	k=hot	sh=moist	unmarkiert/prädikativ	Grundform	o-Scope	10	9	COMPLETE_COMPOSITIONAL_DEFAULT__E_ATTRIBUTIVE_D_BINDING_WORKING_READER
okshdy	o+k+sh+e0+d1+y	im o-Rahmen: heiß-feuchte Zustands-/Bindungsform	k=hot	sh=moist	unmarkiert/prädikativ	grammatische DY-Bindung/Zustandsabschluss	o-Scope	1	1	COMPLETE_COMPOSITIONAL_DEFAULT__E_ATTRIBUTIVE_D_BINDING_WORKING_READER
okshey	o+k+sh+e1+d0+y	im o-Rahmen: heiß-feucht (vorwärts gebunden/attributiv)	k=hot	sh=moist	vorwärts gebunden/attributiv; Grad-Rivale offen	Grundform	o-Scope	9	5	COMPLETE_COMPOSITIONAL_DEFAULT__E_ATTRIBUTIVE_D_BINDING_WORKING_READER
okshedy	o+k+sh+e1+d1+y	im o-Rahmen: heiß-feuchte Zustands-/Bindungsform; vorwärts gebunden/attributiv	k=hot	sh=moist	vorwärts gebunden/attributiv; Grad-Rivale offen	grammatische DY-Bindung/Zustandsabschluss	o-Scope	4	1	COMPLETE_COMPOSITIONAL_DEFAULT__E_ATTRIBUTIVE_D_BINDING_WORKING_READER
otchy	o+t+ch+e0+d0+y	im o-Rahmen: kalt-trocken (unmarkiert/prädikativ)	t=cold	ch=dry	unmarkiert/prädikativ	Grundform	o-Scope	40	36	COMPLETE_COMPOSITIONAL_DEFAULT__E_ATTRIBUTIVE_D_BINDING_WORKING_READER
otchdy	o+t+ch+e0+d1+y	im o-Rahmen: kalt-trockene Zustands-/Bindungsform	t=cold	ch=dry	unmarkiert/prädikativ	grammatische DY-Bindung/Zustandsabschluss	o-Scope	24	10	COMPLETE_COMPOSITIONAL_DEFAULT__E_ATTRIBUTIVE_D_BINDING_WORKING_READER
otchey	o+t+ch+e1+d0+y	im o-Rahmen: kalt-trocken (vorwärts gebunden/attributiv)	t=cold	ch=dry	vorwärts gebunden/attributiv; Grad-Rivale offen	Grundform	o-Scope	26	23	COMPLETE_COMPOSITIONAL_DEFAULT__E_ATTRIBUTIVE_D_BINDING_WORKING_READER
otchedy	o+t+ch+e1+d1+y	im o-Rahmen: kalt-trockene Zustands-/Bindungsform; vorwärts gebunden/attributiv	t=cold	ch=dry	vorwärts gebunden/attributiv; Grad-Rivale offen	grammatische DY-Bindung/Zustandsabschluss	o-Scope	34	18	COMPLETE_COMPOSITIONAL_DEFAULT__E_ATTRIBUTIVE_D_BINDING_WORKING_READER
otshy	o+t+sh+e0+d0+y	im o-Rahmen: kalt-feucht (unmarkiert/prädikativ)	t=cold	sh=moist	unmarkiert/prädikativ	Grundform	o-Scope	4	4	COMPLETE_COMPOSITIONAL_DEFAULT__E_ATTRIBUTIVE_D_BINDING_WORKING_READER
otshdy	o+t+sh+e0+d1+y	im o-Rahmen: kalt-feuchte Zustands-/Bindungsform	t=cold	sh=moist	unmarkiert/prädikativ	grammatische DY-Bindung/Zustandsabschluss	o-Scope	3	2	COMPLETE_COMPOSITIONAL_DEFAULT__E_ATTRIBUTIVE_D_BINDING_WORKING_READER
otshey	o+t+sh+e1+d0+y	im o-Rahmen: kalt-feucht (vorwärts gebunden/attributiv)	t=cold	sh=moist	vorwärts gebunden/attributiv; Grad-Rivale offen	Grundform	o-Scope	7	6	COMPLETE_COMPOSITIONAL_DEFAULT__E_ATTRIBUTIVE_D_BINDING_WORKING_READER
otshedy	o+t+sh+e1+d1+y	im o-Rahmen: kalt-feuchte Zustands-/Bindungsform; vorwärts gebunden/attributiv	t=cold	sh=moist	vorwärts gebunden/attributiv; Grad-Rivale offen	grammatische DY-Bindung/Zustandsabschluss	o-Scope	7	4	COMPLETE_COMPOSITIONAL_DEFAULT__E_ATTRIBUTIVE_D_BINDING_WORKING_READER
qokchy	qo+k+ch+e0+d0+y	im qo-Qualitätsrahmen: heiß-trocken (unmarkiert/prädikativ)	k=hot	ch=dry	unmarkiert/prädikativ	Grundform	qo-Qualitätsfeld	64	58	COMPLETE_COMPOSITIONAL_DEFAULT__E_ATTRIBUTIVE_D_BINDING_WORKING_READER
qokchdy	qo+k+ch+e0+d1+y	im qo-Qualitätsrahmen: heiß-trockene Zustands-/Bindungsform	k=hot	ch=dry	unmarkiert/prädikativ	grammatische DY-Bindung/Zustandsabschluss	qo-Qualitätsfeld	49	29	COMPLETE_COMPOSITIONAL_DEFAULT__E_ATTRIBUTIVE_D_BINDING_WORKING_READER
qokchey	qo+k+ch+e1+d0+y	im qo-Qualitätsrahmen: heiß-trocken (vorwärts gebunden/attributiv)	k=hot	ch=dry	vorwärts gebunden/attributiv; Grad-Rivale offen	Grundform	qo-Qualitätsfeld	25	24	COMPLETE_COMPOSITIONAL_DEFAULT__E_ATTRIBUTIVE_D_BINDING_WORKING_READER
qokchedy	qo+k+ch+e1+d1+y	im qo-Qualitätsrahmen: heiß-trockene Zustands-/Bindungsform; vorwärts gebunden/attributiv	k=hot	ch=dry	vorwärts gebunden/attributiv; Grad-Rivale offen	grammatische DY-Bindung/Zustandsabschluss	qo-Qualitätsfeld	39	27	COMPLETE_COMPOSITIONAL_DEFAULT__E_ATTRIBUTIVE_D_BINDING_WORKING_READER
qokshy	qo+k+sh+e0+d0+y	im qo-Qualitätsrahmen: heiß-feucht (unmarkiert/prädikativ)	k=hot	sh=moist	unmarkiert/prädikativ	Grundform	qo-Qualitätsfeld	9	7	COMPLETE_COMPOSITIONAL_DEFAULT__E_ATTRIBUTIVE_D_BINDING_WORKING_READER
qokshdy	qo+k+sh+e0+d1+y	im qo-Qualitätsrahmen: heiß-feuchte Zustands-/Bindungsform	k=hot	sh=moist	unmarkiert/prädikativ	grammatische DY-Bindung/Zustandsabschluss	qo-Qualitätsfeld	4	2	COMPLETE_COMPOSITIONAL_DEFAULT__E_ATTRIBUTIVE_D_BINDING_WORKING_READER
qokshey	qo+k+sh+e1+d0+y	im qo-Qualitätsrahmen: heiß-feucht (vorwärts gebunden/attributiv)	k=hot	sh=moist	vorwärts gebunden/attributiv; Grad-Rivale offen	Grundform	qo-Qualitätsfeld	8	5	COMPLETE_COMPOSITIONAL_DEFAULT__E_ATTRIBUTIVE_D_BINDING_WORKING_READER
qokshedy	qo+k+sh+e1+d1+y	im qo-Qualitätsrahmen: heiß-feuchte Zustands-/Bindungsform; vorwärts gebunden/attributiv	k=hot	sh=moist	vorwärts gebunden/attributiv; Grad-Rivale offen	grammatische DY-Bindung/Zustandsabschluss	qo-Qualitätsfeld	10	7	COMPLETE_COMPOSITIONAL_DEFAULT__E_ATTRIBUTIVE_D_BINDING_WORKING_READER
qotchy	qo+t+ch+e0+d0+y	im qo-Qualitätsrahmen: kalt-trocken (unmarkiert/prädikativ)	t=cold	ch=dry	unmarkiert/prädikativ	Grundform	qo-Qualitätsfeld	61	55	COMPLETE_COMPOSITIONAL_DEFAULT__E_ATTRIBUTIVE_D_BINDING_WORKING_READER
qotchdy	qo+t+ch+e0+d1+y	im qo-Qualitätsrahmen: kalt-trockene Zustands-/Bindungsform	t=cold	ch=dry	unmarkiert/prädikativ	grammatische DY-Bindung/Zustandsabschluss	qo-Qualitätsfeld	21	19	COMPLETE_COMPOSITIONAL_DEFAULT__E_ATTRIBUTIVE_D_BINDING_WORKING_READER
qotchey	qo+t+ch+e1+d0+y	im qo-Qualitätsrahmen: kalt-trocken (vorwärts gebunden/attributiv)	t=cold	ch=dry	vorwärts gebunden/attributiv; Grad-Rivale offen	Grundform	qo-Qualitätsfeld	18	18	COMPLETE_COMPOSITIONAL_DEFAULT__E_ATTRIBUTIVE_D_BINDING_WORKING_READER
qotchedy	qo+t+ch+e1+d1+y	im qo-Qualitätsrahmen: kalt-trockene Zustands-/Bindungsform; vorwärts gebunden/attributiv	t=cold	ch=dry	vorwärts gebunden/attributiv; Grad-Rivale offen	grammatische DY-Bindung/Zustandsabschluss	qo-Qualitätsfeld	24	17	COMPLETE_COMPOSITIONAL_DEFAULT__E_ATTRIBUTIVE_D_BINDING_WORKING_READER
qotshy	qo+t+sh+e0+d0+y	im qo-Qualitätsrahmen: kalt-feucht (unmarkiert/prädikativ)	t=cold	sh=moist	unmarkiert/prädikativ	Grundform	qo-Qualitätsfeld	5	4	COMPLETE_COMPOSITIONAL_DEFAULT__E_ATTRIBUTIVE_D_BINDING_WORKING_READER
qotshdy	qo+t+sh+e0+d1+y	im qo-Qualitätsrahmen: kalt-feuchte Zustands-/Bindungsform	t=cold	sh=moist	unmarkiert/prädikativ	grammatische DY-Bindung/Zustandsabschluss	qo-Qualitätsfeld	3	3	COMPLETE_COMPOSITIONAL_DEFAULT__E_ATTRIBUTIVE_D_BINDING_WORKING_READER
qotshey	qo+t+sh+e1+d0+y	im qo-Qualitätsrahmen: kalt-feucht (vorwärts gebunden/attributiv)	t=cold	sh=moist	vorwärts gebunden/attributiv; Grad-Rivale offen	Grundform	qo-Qualitätsfeld	2	2	COMPLETE_COMPOSITIONAL_DEFAULT__E_ATTRIBUTIVE_D_BINDING_WORKING_READER
qotshedy	qo+t+sh+e1+d1+y	im qo-Qualitätsrahmen: kalt-feuchte Zustands-/Bindungsform; vorwärts gebunden/attributiv	t=cold	sh=moist	vorwärts gebunden/attributiv; Grad-Rivale offen	grammatische DY-Bindung/Zustandsabschluss	qo-Qualitätsfeld	3	2	COMPLETE_COMPOSITIONAL_DEFAULT__E_ATTRIBUTIVE_D_BINDING_WORKING_READER
