surface	page	locus	zl3b_line	it2a_line	rf1b_line	reader_support	new_meaning_de	decision
kchdy	f34v	f34v.9	lsheody cphy qokeey keedy kchdy chedy qokedy chdy kal shs oldaiin	lsheody cphy qokeey keedy kchdy chedy qokedy chdy kal shs oldaiin	lsheody cphy qokeey keedy kch y che y qoke y ch y kal shs oldaiin	READER_VARIANT	heiß und trocken am Anfang des Grades, abgeschlossen	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
kchdy	f39v	f39v.2	sor shy kar chol qoty kchdy olky dar chdy ykar olkedaiin ody dy	sor shy kor chol qoty kchdy olky dor chdy ykar olkedaiin ody dy	sor shy kar chol qoty kch y olky dar chdy ykar olke aiin ody dy	READER_VARIANT	heiß und trocken am Anfang des Grades, abgeschlossen	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
kchdy	f41r	f41r.5	qotchy sal yteedy kchdy dchedy keedy dchedy dalain	qotchy sal yteedy kchdy dchedy tchdy dchedy dalain	qotchy sal yteedy kch y che y tchdy dche y dalain	READER_VARIANT	heiß und trocken am Anfang des Grades, abgeschlossen	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
kchdy	f50v	f50v.11	lchey kar ykchy kchdy	lchey kar ykchy kchdy	lchey kar ykchy kch y	READER_VARIANT	heiß und trocken am Anfang des Grades, abgeschlossen	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
kchdy	f50v	f50v.9	ytsheod ain sheshy echedy kchdy otaiin okaiin oky	ytsheod ain sheshy echedy kchdy otaiin otaiin oky	ytsheod ain sheshy eche y kch y otaiin okaiin oky	READER_VARIANT	heiß und trocken am Anfang des Grades, abgeschlossen	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
kchdy	f86v3	f86v3.19	dchey otain olkechy qokam chol kchdy chol tchdy dar aiindy	dchey otain olkechy qokam chol kchdy chol tchdy dar aiin dy	dche otain olkechy qokam chol kch y chol tch y dar aiin y	READER_VARIANT	heiß und trocken am Anfang des Grades, abgeschlossen	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
kchdy	f94r	f94r.4	shor olkeedy ol kchdy cheedy kalchdy chedaiin or chol kar am	shor olkeedy olkchdy cheedy kalchdy ched aiin or chol kar am	shor olkee y ol kchdy chee y kalchdy che aiin or chol kar am	READER_VARIANT	heiß und trocken am Anfang des Grades, abgeschlossen	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
kchedy	f104r	f104r.22	tshedar chllo rl shed kchedy chokor cheedy opchar cheor chckhey taiin dam	tshedar chllo rl shed kchedy chokor cheedy opchar cheor chckhey taiin dam	tshedar chllo rl shed kche y chokor cheed opchar cheor chckhey taiin am	READER_VARIANT	heiß und trocken in der Mitte des Grades, abgeschlossen	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
kchedy	f104v	f104v.32	pchedy kchedy cheocphey or ain cheeos aiiiro lcheedy lcheedy qosaiin cfheo ar als am	pchedy kchedy cheocphy orain cheeos aiiinro lcheedy lcheedy qosaiin cfheo arals am	fchedykchedy cheocphey or ain cheeos aiiiro l cheedy l cheedy qosaiin cfheo ar als am	READER_VARIANT	heiß und trocken in der Mitte des Grades, abgeschlossen	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
kchedy	f106v	f106v.35	shody shockhy qokeey qokcho l kchedy shdy kchedy chedy qockhey okaiin al	shody shockhy qokeey qokchol kchedy shdy kchedy chedy qockhey okaiin al	shody shockhy qokeey qokchol kched shdy kchedy chedy qockhey okaiin al	READER_VARIANT	heiß und trocken in der Mitte des Grades, abgeschlossen	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
kchedy	f106v	f106v.6	daiin shody kchedy sheody olkaiin shkar chody talshdy qokain kararo	daiin shody kchedy sheody olkaiin shkar chody talshdy qokain kararo	daiin shody kche y sheody olkaiin shtar chod talshdy qokain kararo	READER_VARIANT	heiß und trocken in der Mitte des Grades, abgeschlossen	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
kchedy	f107v	f107v.21	taiin ol kaiin chol kchedy qokol ain air kaiin okal otar otalal	taiin ol kaiin chol kchedy qokol ain air kaiin okal otar otal al	taiin ol kaiin chol kche y qokol ain air kaiin okal otar otalal	READER_VARIANT	heiß und trocken in der Mitte des Grades, abgeschlossen	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
kchedy	f113r	f113r.14	ycheo lkchey l chol oiiin qoksheoy qokcheody lcheo l kchedy chokchy okchdar al	ycheo lkcheo lchol oiiin qoksheoy qokcheody lcheo l kchedy chokchy okchdar al	ycheo ltche lchol oiiin qokeoy qokcheo dy lcheo l kche y chokchy okchdar al	READER_VARIANT	heiß und trocken in der Mitte des Grades, abgeschlossen	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
kchedy	f114r	f114r.22	tchedair shodaiin dair kchedy qopchdy chdy pdaiin qokair olchdy rodeedy qedy	tchedair shodaiin dair kchedy qopeedy chdypdaiin qokairolchdy rodeedy qcphhedy	tchedair shodaiin dair kched qopchdy chdypdaiin qokair olchdy rodeedy qedy	READER_VARIANT	heiß und trocken in der Mitte des Grades, abgeschlossen	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
kchedy	f33r	f33r.6	yteey shody kchedy dy chekar okaiin okaiin daiin okal	yteey shody tchedydy chekar okaiin okaiin daiin okal	yteey shody kche ydy chekar okaiin okaiin aiin okal	READER_VARIANT	heiß und trocken in der Mitte des Grades, abgeschlossen	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
kchedy	f40v	f40v.14	saiin o lchey kchedy okar qokchdy dy qokees am chdy	saiin o lchey kchedy okar qokchdy dy qokees am chdy	s aiin o lchey kche y kar qokch y y qokees am ch y	READER_VARIANT	heiß und trocken in der Mitte des Grades, abgeschlossen	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
kchedy	f50r	f50r.6	ykain shear ol kchedy okal qotor cheeor olkeedy daiin qoky	ykain ssear olkchedy okal qotor cheeor olkady daiin qoky	ykain sheor olkche y okal qotor cheeor olkeedy daiin qoky	READER_VARIANT	heiß und trocken in der Mitte des Grades, abgeschlossen	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
kchedy	f50r	f50r.9	ytchdy kchedy ykeey kaiin qokain ald alosam	ytchdy kchedy ykeey kaiin qokain aldalosam	ytch y kche y ykeey kaiin qokain ald alosam	READER_VARIANT	heiß und trocken in der Mitte des Grades, abgeschlossen	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
kchedy	f77v	f77v.39	dcheol kchedy soey qokal qokal shedy sholdy qotal dar	dcheol kchedy sockhey qokal qokal shedy sholdy qokal dar	dcheol kche y soey qokal qokal shedy sholdy qokal dar	READER_VARIANT	heiß und trocken in der Mitte des Grades, abgeschlossen	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
kchedy	f86v6	f86v6.32	qokeey qoeear chsey oky qokar or chey qotar ol kchedy qokaiin am	qokeey qoeear chsey oky qokar orchey qotar olkchedy qokaiin am	qokeey qoeear chsey oky qokar or chey qotar ol kchedy qokaiin am	READER_VARIANT	heiß und trocken in der Mitte des Grades, abgeschlossen	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
kcheedy	f107r	f107r.20	tcheol kcheedy	tcheol kcheedy	tcheol tcheedy	READER_VARIANT	heiß und trocken am Ende des Grades, abgeschlossen	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
kshy	f11r	f11r.2	socthody qodor y kshy daiin ytchy ytchoky kchol daiin	socthody qodor y kshy daiin ytchy ytchoky kchol daiin	socthody qodory tshy daiin ytchy ytchaky kchol daiin	READER_VARIANT	heiß und feucht am Anfang des Grades	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
kshy	f14v	f14v.7	oy kshy cho ty dydy odyd otchy o kchy dshy dardy	oykshy choty dydy odyd otchy okchy dshy dardy	oyky choty dydy odyd otchy o kchy dshy dardy	READER_VARIANT	heiß und feucht am Anfang des Grades	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
kshy	f21r	f21r.8	fcho kshy otor sheol ocphal opsheas cthodaiin oty	fchokshy otor cheol ocphal opcheas cthodaiin oty	fchokshy otor sheol ocphal opsheas cthodaiin oty	READER_VARIANT	heiß und feucht am Anfang des Grades	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
kshey	f75r	f75r.23	pchey kshey qokeey qokal sshey qol chedyqokam	pchey kshey qokeey qokal sshey qol chedy qokam	pcheykshey qokeey qokal sshey qol chedy qokam	READER_VARIANT	heiß und feucht in der Mitte des Grades	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
kshdy	f43r	f43r.7	pshesy otey kshdy opchdy kedar okedy chdy shoy dyty dy pchdy kedy dam	pshesy otey kshdy opchdy kedar okedy chdy shocphhy dytydy pchdy kedy dam	pshesy oteyksh y opch y ke ar okedy chdy shoy yty y pch y ke y am	READER_VARIANT	heiß und feucht am Anfang des Grades, abgeschlossen	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
kshdy	f55r	f55r.7	tchedar cheol kedy chody kshdy qotchdy qokchdy olkardam	tchedor cheolkedy chody kshdy qotchdy qokchdy olkardam	tched r cheolkedy chody ksh y qotchdy q kch y olkar am	READER_VARIANT	heiß und feucht am Anfang des Grades, abgeschlossen	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
kshdy	f86v5	f86v5.7	pdaiin qoteedy opchey qopor otol kshdy qopcheey shdar fchcfhy	pdaiin qoteedy opchey qopor otol kshdy qopcheey shdar fchcfhy	pdaiin qoteedy opchey qopor otol kshd qopcheey shdar fchcfhy	READER_VARIANT	heiß und feucht am Anfang des Grades, abgeschlossen	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
kshedy	f106v	f106v.11	tchdys arshedy oteeody kshedy qotchdy qotar shedy qotedy opchy kaiin sham	tchdys ar chedo oteeody kshedy qotchdy qotar shedy qotedy opchy kaiin sham	tchdys ar she oteeo y kshe y qotchdy qotar she y qotedy opchy aiin sham	READER_VARIANT	heiß und feucht in der Mitte des Grades, abgeschlossen	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
kshedy	f85r1	f85r1.20	pcheo y kshedy qocphdy qofol shdaldy dairar cheeteey otchedy qokchdy dy	pcheoy kshedy qocphdy qofol shdaldy dairar cheeteey otchedy qokchdy dy	pcheoykshe y qocph y qofol shdaldy dairar cheeteey otche y qokch y y	READER_VARIANT	heiß und feucht in der Mitte des Grades, abgeschlossen	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
kshedy	f95r2	f95r2.1	kshedy or chdy dalfchy qodaiin chckhyfchy daraiin dalal	kshedy or chdy dalfchy qodaiin chckhyfchy daraiin dalal	kshe y or ch y dalfchy qo daiin chckhyfchy araiin dalal	READER_VARIANT	heiß und feucht in der Mitte des Grades, abgeschlossen	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
kshedy	f95v1	f95v1.11	pshedar shedy kshedy qotches or aiin shekaiin otain tshes qokain	pshedar shedy kshedy qotches or aiin shekain otain tshes qokain	pedar edy kshe y qotches or aiin shekaiin oteiin kshes qokain	READER_VARIANT	heiß und feucht in der Mitte des Grades, abgeschlossen	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
tchy	f10r	f10r.3	qotor o tchy daiin chocthy qotchy chol or yty dy dy	qotor otchy daiin chocthy qotchy chol or yty dy dy	qotor otchy daiin chocthy qotchy chol or yty dy dy	READER_VARIANT	kalt und trocken am Anfang des Grades	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
tchy	f115v	f115v.41	dcheodl sheo kolchey fchedol shedy qotoee tchy choy qopchyr	dcheodl sheo kolchey fchedol shedy qotoeetchy choiphy qopchyr	dcheodl sheo kolchey fchedol shedy qotoee tchy chocphy qopchyr	READER_VARIANT	kalt und trocken am Anfang des Grades	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
tchy	f19r	f19r.9	qotchor dy dor y tchy kchy shdaiin	qotchor dy dor y tchykchy shdaiin	qotchor dy dor y tchykchy shdaiin	READER_VARIANT	kalt und trocken am Anfang des Grades	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
tchy	f28v	f28v.2	ykcholy qoty chy dy qokchol chor tchy qokchody cheor o	ykcholy qoty chy dy qokchol chor tchy qokchody cheor o	ykchol qoty chydy qokchol chor tch qokchody cheor o	READER_VARIANT	kalt und trocken am Anfang des Grades	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
tchy	f32v	f32v.2	daiin odar chy daiin chey tchy l dy dain teor	daiin odar chy daiin chey tcho ldy dain teor	daiin odar chy daiin chey tch ldy dain teor	READER_VARIANT	kalt und trocken am Anfang des Grades	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
tchy	f35r	f35r.2	qokeeaiin chokaiin qo tchy daiin	qokeeaiin chokaiin qotchy daiin	qokeeaiin chokaiin qotchy daiin	READER_VARIANT	kalt und trocken am Anfang des Grades	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
tchy	f37r	f37r.2	ykoiin cthor okaiin qo tchy ytody qokaiin sho ytaiin	ykoiin cthor okaiin qotchy ytody qokaiin sho ytaiin	ykoiin cthor okaiin qotchy ytody qokaiin sho ytaiin	READER_VARIANT	kalt und trocken am Anfang des Grades	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
tchy	f40v	f40v.9	tchy pchody pchdy kor ol	tchy pchody pchdy kor ol	tchypcho y pch y kar ol	READER_VARIANT	kalt und trocken am Anfang des Grades	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
tchy	f44v	f44v.4	yokalod shaiin shor shorody shky sho y tchy opchod opy	yokalod shaiin shor shorody shky sho ytchy opchod opy	yokalod shaiin shor shorody shky sho y tchy opchod opy	READER_VARIANT	kalt und trocken am Anfang des Grades	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
tchy	f47v	f47v.10	chotcho ltchey o tcho tchy dy chol chody dar	chotcho ltchey o tcho tchy dy chol chody dar	chotcho ltchey o tchotchy dy chol chody dar	READER_VARIANT	kalt und trocken am Anfang des Grades	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
tchy	f5r	f5r.5	tchy shody qoaiin cholols sho qotcheo daiin shodaiin	tshy shody qoaiin cholols sho qotcheo daiin shodaiin	tchy shody qoaiin cholols sho qotcheo d iin shodaiin	READER_VARIANT	kalt und trocken am Anfang des Grades	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
tchy	f9r	f9r.7	or chol chy tchy tchol ytor qotol chyky chodar aiin	or chol chytchy tchol ytor qotol chyky chodar aiin	or chol chytchy tchol ytor qotol chyky chodar aiin	READER_VARIANT	kalt und trocken am Anfang des Grades	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
tchey	f113r	f113r.40	tarar cheey cheokeol chcheey cthes aiin ctheey ctharad shee qo tchey taram	tarar cheey cheokeol chcheey cthes aiin ctheey ctharad shee qotchey taram	tarar cheey cheokeol chcheey cthes aiin ctheey ctharaj shee qo tchey taram	READER_VARIANT	kalt und trocken in der Mitte des Grades	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
tchey	f35v	f35v.2	qotchy o tchey kchor yty	qotchy otchey kchor yty	qotchy otchey kchor yty	READER_VARIANT	kalt und trocken in der Mitte des Grades	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
tchdy	f112v	f112v.45	ycheey chokeey okasal tchdy oteol chcthy alaiin char al kamdam	ycheey chokeey okar al tchedy oteol chcthy alaiin char al kamdam	ycheey chokeey okar al tche y oteol chcthy alaiin char al kam am	READER_VARIANT	kalt und trocken am Anfang des Grades, abgeschlossen	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
tchdy	f113v	f113v.15	ar ar okeey oeky otcheedaiin ol tchdy pcheol kcheor aiin cheey qokaram	ar ar okeey oeky otcheedaiin ol tchdy pcheol kcheor raiin cheey qokaram	arar okeey oeky tcheedaiin ol tch y pcheol kcheor aiin cheey qokaram	READER_VARIANT	kalt und trocken am Anfang des Grades, abgeschlossen	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
tchdy	f86v3	f86v3.19	dchey otain olkechy qokam chol kchdy chol tchdy dar aiindy	dchey otain olkechy qokam chol kchdy chol tchdy dar aiin dy	dche otain olkechy qokam chol kch y chol tch y dar aiin y	READER_VARIANT	kalt und trocken am Anfang des Grades, abgeschlossen	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
tchdy	f86v3	f86v3.21	dshedy kshey tchdy shdy ralkchedy ytchol qoty okshy tam	dshedy kshey tchdy shdy ralkchedy ytchol qoty okshy tam	dshedy kshey tch y sh y ralkchedy ytchol qoty okshy tam	READER_VARIANT	kalt und trocken am Anfang des Grades, abgeschlossen	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
tchedy	f26v	f26v.8	tchedy okeeos cheeos ysaiin okcheey keody s aiin cheeos qokes ory	teeedy okeeos cheeos ysaiin okcheey keody saiin cheeos qokes ory	tchedy okeeos cheeos ysaiin okcheey keody s aiin cheeos qokes ory	READER_VARIANT	kalt und trocken in der Mitte des Grades, abgeschlossen	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
tchedy	f39r	f39r.4	tchedy chdy olaiin chedy shckhdchy chol or ordy chees aly okalcheg	tohedy chdy olaiin chedy shckhdchy chol or ordy chees aly okalcheg	tche y chdy olaiin che y shckhdchy chol or ordy chees aly okalcheg	READER_VARIANT	kalt und trocken in der Mitte des Grades, abgeschlossen	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
tchedy	f40v	f40v.10	tchkaiin tchedy qokaiin oraiin	tchkaiin tchedy qokaiin oraiin	tchkaiin tche y qokaiin oraiin	READER_VARIANT	kalt und trocken in der Mitte des Grades, abgeschlossen	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
tchedy	f76v	f76v.10	cphdor shedal qopchdy dshedy shedy tchedy lsheetal shecphy daiin dy	cphdor shedal qopchdy dshedy shedy tchedy lsheetal shecphy daiin dy	cphdor shedal qopchdy dshedy shedy tche y lsheetal shecfhy daiin dy	READER_VARIANT	kalt und trocken in der Mitte des Grades, abgeschlossen	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
tchedy	f79v	f79v.34	ykeeey qokeey lshey qoky tchedy orsheedy otain sheor oly	ykeeey qokeey lshey qoky tchedy orsheedy otain sheor oly	ykeeey qokeey lshey qokytchedy orshee y otain sheor oly	READER_VARIANT	kalt und trocken in der Mitte des Grades, abgeschlossen	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
tchedy	f82v	f82v.13	tchedy qocthes qokar chckhy qokain cholkaiin chckhdy qokoldy	tchedy qocthes qokar chckhy qokain cholkaiin chckhdy qokoldy	tche y qocthes qokar chckhy qokain cholkaiin chckhdy qokoldy	READER_VARIANT	kalt und trocken in der Mitte des Grades, abgeschlossen	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
tchedy	f86v3	f86v3.31	tchedy chy tchey otchedy qokal oeedy lkam	tchedy chy tchey otchedy qokal oeedy lkam	tche y chy tchey otchedy qokal oee y lkam	READER_VARIANT	kalt und trocken in der Mitte des Grades, abgeschlossen	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
tchedy	f86v6	f86v6.24	chey keody choty dal ody qokeedy pchedy ytshy tody dal tchedy qokar oly	chey keody choty dal ody qokeedy pchedy ytshy tody dal tchedy qokar oly	chey keody choty dal ody qokeedy pchedy ytsh tody dal tche y qokar oly	READER_VARIANT	kalt und trocken in der Mitte des Grades, abgeschlossen	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
tchedy	f95v1	f95v1.4	tchedy qokal oty shekshey otaldy okshey ytshedy okarar yty chdy	tchedy qokal oty shekshey otaldy okshey ytshedy akarar yty chdy	tche y qokal oty shekey otaldy okshey ytshe y okarar yty ch y	READER_VARIANT	kalt und trocken in der Mitte des Grades, abgeschlossen	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
tshy	f86v6	f86v6.22	lshechy tshy qokeedy kain ytaiin chees tairoar qotar tay d amom	lshechy tshy qokeedy kain ytaiin chees tairoor qotar taikhy damom	lshechy ty qokeedy kain ytaiin chees tairoor qotar tay damom	READER_VARIANT	kalt und feucht am Anfang des Grades	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
tshey	f103r	f103r.42	tshey sheol cheolshy chalal	tshey sheol cheolshy chalal	tey eol cheolshy chalal	READER_VARIANT	kalt und feucht in der Mitte des Grades	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
tshey	f20r	f20r.11	dchod qoteeody ytchy qo tshey dchaiin chol ody	dchod qoteeody ytchy qotshey dchaiin cholody	dchod qoteeody ytchy qotshey dchaiin cholody	READER_VARIANT	kalt und feucht in der Mitte des Grades	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
tshdy	f103r	f103r.13	podar sheor qotedy okeey qokar checkhy qokain chedy pchdy tshdy dal kasol	podar sheor qotedy okeey qokar checkhy qokain chedy pchdy tshdy dal kasol	pojar sheor qotedy okeey qokar checkhy qokain chedy pchdy tsh y dalkarol	READER_VARIANT	kalt und feucht am Anfang des Grades, abgeschlossen	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
tshdy	f86v6	f86v6.40	daiin ar qotal tshdy otar shcthdy qokol chotal kar ol kar alky	daiin ar qotal kshdy otar shcthdy qokol chotal kar olkar alky	daiin ar qotal tsh y otar shcthdy qokol chotal kar olkar alky	READER_VARIANT	kalt und feucht am Anfang des Grades, abgeschlossen	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
tshedy	f107v	f107v.11	tshedy okal shedy qokchey chky qokeey qotaiin otol qoteedy qopchcfhy	tshedy okal shedy qokchey chky qokeey qotaiin otol qoteedy qopchcfhy	tshed okal she y qokchey chky qokeey qotaiin otol qoteedy qopchcfhy	READER_VARIANT	kalt und feucht in der Mitte des Grades, abgeschlossen	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
tshedy	f115v	f115v.21	tshedy sheolkeedy lkeeshdy cheeo lor eees aiin okchedy qopcheddy lky	tshedy sheolkeedy lkeeshdy cheeo lor eees aiin okchedy qopcheddy lky	tshed sheolkeedy lkeedy cheeo lor eees aiin okchedy qopcheddy lky	READER_VARIANT	kalt und feucht in der Mitte des Grades, abgeschlossen	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
tshedy	f79r	f79r.23	das shear qotaiin ol lkain otchedy or olkl o tshedy otory	dar shear qotaiin ol lkain otchedy or olkl otshedy otory	dar shear qotaiin ol lkain otched or olkl o tshedy otory	READER_VARIANT	kalt und feucht in der Mitte des Grades, abgeschlossen	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
tshedy	f86v6	f86v6.28	qokaiin qokar okar qotar lor qokchdy dar shey d y tshedy qotol dytshy dy	qokaiin qokar okar qotar lor qokchdy dar shey dytshedy qotol dytshy dy	qokaiin qokar okar qotar lor qokchdy dar shey dy tshe y qotol dytshy dy	READER_VARIANT	kalt und feucht in der Mitte des Grades, abgeschlossen	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
tshedy	f94v	f94v.1	tshedy chedar char qokchedy okal dar opchackhy oteedan	tshedy chedar char qokchedy okal dar opchaikhy oteedan	tshe y che ar char qokche y okal ar opchay otee an	READER_VARIANT	kalt und feucht in der Mitte des Grades, abgeschlossen	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
okchy	f16r	f16r.11	sokchy qokol choty okchy cthy chy kchy	sokchy qokol chotyokchy cthy chy kchy	sokchy qokol choty okchy cthy chy kchy	READER_VARIANT	heiß-trockener Ansatz am Anfang des Grades	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
okchy	f85r1	f85r1.5	tchedy kchedy qodaiin olkeedy oraiin olshedy okchy kedy tedy tdam	tchedy kchedy qodaiin olkeedy oraiin olshedy okchy kedy tedy tdam	tchedy kchedy qodaiin olkeedy oraiin olshedy kchy kedy te y tdam	READER_VARIANT	heiß-trockener Ansatz am Anfang des Grades	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
