event_id	page	record	statement_id	surface	component_parse	atomic_card_value_de	local_action_expansion_de	revised_event_reading_de	corrected_full_compact_instruction_de	complete_meaning
E011	f10r	H1	H1-S002	qokchy	OK+Y	den aktuellen Posten in Einsatz bringen	einsetzen	Pflanzenstoff in den Ansatz geben	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: gib dies in den Ansatz → abnehmen. Angaben: fort | bereit · dies.	YES
E012	f10r	H1	H1-S002	qotchol	OT+CH+OL	danach fortsetzen den laufenden Posten abziehen	abnehmen	abnehmen	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: gib dies in den Ansatz → abnehmen. Angaben: fort | bereit · dies.	YES
E013	f10r	H1	H1-S002	chol	OL	fortsetzen	NON_ACTION_CONTRIBUTION	fortsetzen	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: gib dies in den Ansatz → abnehmen. Angaben: fort | bereit · dies.	YES
E014	f10r	H1	H1-S002	cthy	CTH+Y	bereit · dieser Posten	NON_ACTION_CONTRIBUTION	bereit · dieser Posten	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: gib dies in den Ansatz → abnehmen. Angaben: fort | bereit · dies.	YES
E015	f10r	H2	H2-S001	ycheor	Y+CH+E+OR	diesen Posten kurz abziehen	abziehen	abziehen	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: abziehen. Angaben: bereit · dies | Ansatz | bereit · Maß | Gang · bereit · fort · dies | dies | dies | Maß | dies.	YES
E016	f10r	H2	H2-S001	cthy	CTH+Y	bereit · dieser Posten	NON_ACTION_CONTRIBUTION	bereit · dieser Posten	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: abziehen. Angaben: bereit · dies | Ansatz | bereit · Maß | Gang · bereit · fort · dies | dies | dies | Maß | dies.	YES
E017	f10r	H2	H2-S001	chor	OR	Ansatz	NON_ACTION_CONTRIBUTION	Ansatz	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: abziehen. Angaben: bereit · dies | Ansatz | bereit · Maß | Gang · bereit · fort · dies | dies | dies | Maß | dies.	YES
E018	f10r	H2	H2-S001	cthaiin	CTH+AIIN	bereit · vorgeschriebenes Maß	NON_ACTION_CONTRIBUTION	bereit · vorgeschriebenes Maß	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: abziehen. Angaben: bereit · dies | Ansatz | bereit · Maß | Gang · bereit · fort · dies | dies | dies | Maß | dies.	YES
E019	f10r	H2	H2-S001	qoctholy	O+CTH+OL+Y	Arbeitsgang · bereit · fortsetzen · dieser Posten	NON_ACTION_CONTRIBUTION	Arbeitsgang · bereit · fortsetzen · dieser Posten	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: abziehen. Angaben: bereit · dies | Ansatz | bereit · Maß | Gang · bereit · fort · dies | dies | dies | Maß | dies.	YES
E020	f10r	H2	H2-S001	dy	Y	dieser Posten	NON_ACTION_CONTRIBUTION	dieser Posten	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: abziehen. Angaben: bereit · dies | Ansatz | bereit · Maß | Gang · bereit · fort · dies | dies | dies | Maß | dies.	YES
E021	f10r	H2	H2-S001	chy	Y	dieser Posten	NON_ACTION_CONTRIBUTION	dieser Posten	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: abziehen. Angaben: bereit · dies | Ansatz | bereit · Maß | Gang · bereit · fort · dies | dies | dies | Maß | dies.	YES
E022	f10r	H2	H2-S001	taiin	AIIN	vorgeschriebenes Maß	NON_ACTION_CONTRIBUTION	vorgeschriebenes Maß	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: abziehen. Angaben: bereit · dies | Ansatz | bereit · Maß | Gang · bereit · fort · dies | dies | dies | Maß | dies.	YES
E023	f10r	H2	H2-S001	shy	Y	dieser Posten	NON_ACTION_CONTRIBUTION	dieser Posten	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: abziehen. Angaben: bereit · dies | Ansatz | bereit · Maß | Gang · bereit · fort · dies | dies | dies | Maß | dies.	YES
E024	f10r	H2	H2-S002	qotchor	OT+CH+OR	danach den Ansatz abziehen	abziehen	abziehen	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: abziehen. Angaben: Ansatz | danach · fort | fort | fort · Ansatz | fort | Maß | davon.	YES
E025	f10r	H2	H2-S002	chor	OR	Ansatz	NON_ACTION_CONTRIBUTION	Ansatz	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: abziehen. Angaben: Ansatz | danach · fort | fort | fort · Ansatz | fort | Maß | davon.	YES
E026	f10r	H2	H2-S002	otol	OT+OL	danach · fortsetzen	NON_ACTION_CONTRIBUTION	danach · fortsetzen	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: abziehen. Angaben: Ansatz | danach · fort | fort | fort · Ansatz | fort | Maß | davon.	YES
E027	f10r	H2	H2-S002	chol	OL	fortsetzen	NON_ACTION_CONTRIBUTION	fortsetzen	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: abziehen. Angaben: Ansatz | danach · fort | fort | fort · Ansatz | fort | Maß | davon.	YES
E028	f10r	H2	H2-S002	cholor	OL+OR	fortsetzen · Ansatz	NON_ACTION_CONTRIBUTION	fortsetzen · Ansatz	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: abziehen. Angaben: Ansatz | danach · fort | fort | fort · Ansatz | fort | Maß | davon.	YES
E029	f10r	H2	H2-S002	chol	OL	fortsetzen	NON_ACTION_CONTRIBUTION	fortsetzen	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: abziehen. Angaben: Ansatz | danach · fort | fort | fort · Ansatz | fort | Maß | davon.	YES
E030	f10r	H2	H2-S002	daiin	AIIN	vorgeschriebenes Maß	NON_ACTION_CONTRIBUTION	vorgeschriebenes Maß	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: abziehen. Angaben: Ansatz | danach · fort | fort | fort · Ansatz | fort | Maß | davon.	YES
E031	f10r	H2	H2-S002	dar	AR	von dort	NON_ACTION_CONTRIBUTION	von dort	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: abziehen. Angaben: Ansatz | danach · fort | fort | fort · Ansatz | fort | Maß | davon.	YES
E032	f10r	H2	H2-S003	oykchor	O+Y+K+OR	diesen Posten zuführen	zugeben	zugeben	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: zugeben → zugeben → abziehen. Angaben: Ansatz | Ansatz | dies | dies.	YES
E033	f10r	H2	H2-S003	shor	OR	Ansatz	NON_ACTION_CONTRIBUTION	Ansatz	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: zugeben → zugeben → abziehen. Angaben: Ansatz | Ansatz | dies | dies.	YES
E034	f10r	H2	H2-S003	chor	OR	Ansatz	NON_ACTION_CONTRIBUTION	Ansatz	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: zugeben → zugeben → abziehen. Angaben: Ansatz | Ansatz | dies | dies.	YES
E035	f10r	H2	H2-S003	chy	Y	dieser Posten	NON_ACTION_CONTRIBUTION	dieser Posten	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: zugeben → zugeben → abziehen. Angaben: Ansatz | Ansatz | dies | dies.	YES
E036	f10r	H2	H2-S003	kaiiin	K+IIN	den laufenden Posten zuführen bis Sollstufe	zugeben	zugeben	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: zugeben → zugeben → abziehen. Angaben: Ansatz | Ansatz | dies | dies.	YES
E037	f10r	H2	H2-S003	dy	Y	dieser Posten	NON_ACTION_CONTRIBUTION	dieser Posten	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: zugeben → zugeben → abziehen. Angaben: Ansatz | Ansatz | dies | dies.	YES
E038	f10r	H2	H2-S003	chodaiin	CH+O+AIIN	den Arbeitsgang nach vorgeschriebenes Maß abziehen	abziehen	abziehen	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: zugeben → zugeben → abziehen. Angaben: Ansatz | Ansatz | dies | dies.	YES
E039	f11r	H3	H3-S001	tshol	T+SH+OL	fortsetzen den laufenden Posten eintragen und halten	eintragen + halten	eintragen + halten	Bildbesitzer: abgebildete dicht blau blühende Kronenpflanze. Folge: eintragen + halten → an Ort halten → auswringen → ziehen lassen → hineingeben → ziehen lassen → abschließend eintragen + abziehen.	YES
E040	f11r	H3	H3-S001	schoal	SH+O+AL	den Arbeitsgang an bezeichnete Stelle halten	an Ort halten	an Ort halten	Bildbesitzer: abgebildete dicht blau blühende Kronenpflanze. Folge: eintragen + halten → an Ort halten → auswringen → ziehen lassen → hineingeben → ziehen lassen → abschließend eintragen + abziehen.	YES
E041	f11r	H3	H3-S001	cfhy	CFH+Y	diesen Posten auswringen	auswringen	auswringen	Bildbesitzer: abgebildete dicht blau blühende Kronenpflanze. Folge: eintragen + halten → an Ort halten → auswringen → ziehen lassen → hineingeben → ziehen lassen → abschließend eintragen + abziehen.	YES
E042	f11r	H3	H3-S001	shfydaiin	SH+Y+AIIN	diesen Posten nach vorgeschriebenes Maß halten	halten	ziehen lassen	Bildbesitzer: abgebildete dicht blau blühende Kronenpflanze. Folge: eintragen + halten → an Ort halten → auswringen → ziehen lassen → hineingeben → ziehen lassen → abschließend eintragen + abziehen.	YES
E043	f11r	H3	H3-S001	cphy	P+Y	diesen Posten hineingeben	hineingeben	hineingeben	Bildbesitzer: abgebildete dicht blau blühende Kronenpflanze. Folge: eintragen + halten → an Ort halten → auswringen → ziehen lassen → hineingeben → ziehen lassen → abschließend eintragen + abziehen.	YES
E044	f11r	H3	H3-S001	shey	SH+EE+Y	diesen Posten länger halten	halten	ziehen lassen	Bildbesitzer: abgebildete dicht blau blühende Kronenpflanze. Folge: eintragen + halten → an Ort halten → auswringen → ziehen lassen → hineingeben → ziehen lassen → abschließend eintragen + abziehen.	YES
E045	f11r	H3	H3-S001	tchody	T+CH+O+DY	den Arbeitsgang eintragen und abziehen; Schritt schließen	abschließend eintragen + abziehen	abschließend eintragen + abziehen	Bildbesitzer: abgebildete dicht blau blühende Kronenpflanze. Folge: eintragen + halten → an Ort halten → auswringen → ziehen lassen → hineingeben → ziehen lassen → abschließend eintragen + abziehen.	YES
E046	f11r	H3	H3-S002	shoyty	SH+O+Y+T+Y	diesen Posten halten und eintragen	halten + eintragen	halten + eintragen	Bildbesitzer: abgebildete dicht blau blühende Kronenpflanze. Folge: halten + eintragen.	YES
E047	f11r	H3	H3-S003	dchol	OL	fortsetzen	NON_ACTION_CONTRIBUTION	fortsetzen	Bildbesitzer: abgebildete dicht blau blühende Kronenpflanze. Folge: zugeben. Angaben: fort | dies | dies | Maß.	YES
E048	f11r	H3	H3-S003	chy	Y	dieser Posten	NON_ACTION_CONTRIBUTION	dieser Posten	Bildbesitzer: abgebildete dicht blau blühende Kronenpflanze. Folge: zugeben. Angaben: fort | dies | dies | Maß.	YES
E049	f11r	H3	H3-S003	kchy	K+Y	diesen Posten zuführen	zugeben	zugeben	Bildbesitzer: abgebildete dicht blau blühende Kronenpflanze. Folge: zugeben. Angaben: fort | dies | dies | Maß.	YES
E050	f11r	H3	H3-S003	dy	Y	dieser Posten	NON_ACTION_CONTRIBUTION	dieser Posten	Bildbesitzer: abgebildete dicht blau blühende Kronenpflanze. Folge: zugeben. Angaben: fort | dies | dies | Maß.	YES
E051	f11r	H3	H3-S003	daiin	AIIN	vorgeschriebenes Maß	NON_ACTION_CONTRIBUTION	vorgeschriebenes Maß	Bildbesitzer: abgebildete dicht blau blühende Kronenpflanze. Folge: zugeben. Angaben: fort | dies | dies | Maß.	YES
E052	f11r	H3	H3-S004	qotchy	OT+Y	danach · dieser Posten	NON_ACTION_CONTRIBUTION	danach · dieser Posten	Bildbesitzer: abgebildete dicht blau blühende Kronenpflanze. Folge: weiter beschicken. Angaben: danach · dies | bereit · dies | dies.	YES
E053	f11r	H3	H3-S004	okchol	OK+OL	fortsetzen den laufenden Posten ansetzen	einsetzen	weiter beschicken	Bildbesitzer: abgebildete dicht blau blühende Kronenpflanze. Folge: weiter beschicken. Angaben: danach · dies | bereit · dies | dies.	YES
E054	f11r	H3	H3-S004	cthy	CTH+Y	bereit · dieser Posten	NON_ACTION_CONTRIBUTION	bereit · dieser Posten	Bildbesitzer: abgebildete dicht blau blühende Kronenpflanze. Folge: weiter beschicken. Angaben: danach · dies | bereit · dies | dies.	YES
E055	f11r	H3	H3-S004	dy	Y	dieser Posten	NON_ACTION_CONTRIBUTION	dieser Posten	Bildbesitzer: abgebildete dicht blau blühende Kronenpflanze. Folge: weiter beschicken. Angaben: danach · dies | bereit · dies | dies.	YES
E056	f55v	H4	H4-S001	qokaiin	OK+AIIN	nach vorgeschriebenem Maß in Einsatz bringen	einsetzen	bis zum Sollmaß beschicken	Bildbesitzer: abgebildete breitblättrige rispige Pflanze. Folge: setze nach Maß an → dosiert zugeben → zugeben. Angaben: Maß | Gang; Schritt schließen.	YES
E057	f55v	H4	H4-S001	chaiin	AIIN	vorgeschriebenes Maß	NON_ACTION_CONTRIBUTION	vorgeschriebenes Maß	Bildbesitzer: abgebildete breitblättrige rispige Pflanze. Folge: setze nach Maß an → dosiert zugeben → zugeben. Angaben: Maß | Gang; Schritt schließen.	YES
E058	f55v	H4	H4-S001	ykain	Y+K+AIN	diesen Posten nach Portion zuführen	dosiert zugeben	dosiert zugeben	Bildbesitzer: abgebildete breitblättrige rispige Pflanze. Folge: setze nach Maß an → dosiert zugeben → zugeben. Angaben: Maß | Gang; Schritt schließen.	YES
E059	f55v	H4	H4-S001	ykan	Y+K+AIN	diesen Posten nach Portion zuführen	zugeben	zugeben	Bildbesitzer: abgebildete breitblättrige rispige Pflanze. Folge: setze nach Maß an → dosiert zugeben → zugeben. Angaben: Maß | Gang; Schritt schließen.	YES
E060	f55v	H4	H4-S001	ody	O+DY	Arbeitsgang; Schritt schließen	NON_ACTION_CONTRIBUTION	Arbeitsgang; Schritt schließen	Bildbesitzer: abgebildete breitblättrige rispige Pflanze. Folge: setze nach Maß an → dosiert zugeben → zugeben. Angaben: Maß | Gang; Schritt schließen.	YES
E061	f55v	H4	H4-S002	daiin	AIIN	vorgeschriebenes Maß	NON_ACTION_CONTRIBUTION	vorgeschriebenes Maß	Bildbesitzer: abgebildete breitblättrige rispige Pflanze. Folge: abmessen und umsetzen → verwahren. Angaben: Maß.	YES
E062	f55v	H4	H4-S002	chedy	CHD+Y	den aktuellen Posten umsetzen	abmessen und umsetzen	abmessen und umsetzen	Bildbesitzer: abgebildete breitblättrige rispige Pflanze. Folge: abmessen und umsetzen → verwahren. Angaben: Maß.	YES
E063	f55v	H4	H4-S002	talam	TALAM	den laufenden Posten verwahren	verwahren	verwahren	Bildbesitzer: abgebildete breitblättrige rispige Pflanze. Folge: abmessen und umsetzen → verwahren. Angaben: Maß.	YES
E064	f55v	H4	H4-S003	ykaiin	Y+K+AIIN	diesen Posten nach vorgeschriebenes Maß zuführen	dosiert zugeben	dosiert zugeben	Bildbesitzer: abgebildete breitblättrige rispige Pflanze. Folge: dosiert zugeben → entnehmen → temperieren. Angaben: fort; Schritt schließen.	YES
E065	f55v	H4	H4-S003	cheoar	CH+E+O+AR	den Arbeitsgang von dort kurz abziehen	entnehmen	entnehmen	Bildbesitzer: abgebildete breitblättrige rispige Pflanze. Folge: dosiert zugeben → entnehmen → temperieren. Angaben: fort; Schritt schließen.	YES
E066	f55v	H4	H4-S003	cheeky	CHK+EE+Y	den aktuellen Posten länger wärmen	temperieren	temperieren	Bildbesitzer: abgebildete breitblättrige rispige Pflanze. Folge: dosiert zugeben → entnehmen → temperieren. Angaben: fort; Schritt schließen.	YES
E067	f55v	H4	H4-S003	oldy	OL+DY	fortsetzen; Schritt schließen	NON_ACTION_CONTRIBUTION	fortsetzen; Schritt schließen	Bildbesitzer: abgebildete breitblättrige rispige Pflanze. Folge: dosiert zugeben → entnehmen → temperieren. Angaben: fort; Schritt schließen.	YES
E068	f55v	H4	H4-S004	aiin	AIIN	vorgeschriebenes Maß	NON_ACTION_CONTRIBUTION	vorgeschriebenes Maß	Bildbesitzer: abgebildete breitblättrige rispige Pflanze. Folge: anlegen → eintragen. Angaben: Maß | Ansatz | dies | Ansatz · Portion.	YES
E069	f55v	H4	H4-S004	okal	OK+AL	den laufenden Posten an bezeichnete Stelle ansetzen	anlegen	anlegen	Bildbesitzer: abgebildete breitblättrige rispige Pflanze. Folge: anlegen → eintragen. Angaben: Maß | Ansatz | dies | Ansatz · Portion.	YES
E070	f55v	H4	H4-S004	oltchy	OL+T+Y	fortsetzen diesen Posten eintragen	eintragen	eintragen	Bildbesitzer: abgebildete breitblättrige rispige Pflanze. Folge: anlegen → eintragen. Angaben: Maß | Ansatz | dies | Ansatz · Portion.	YES
E071	f55v	H4	H4-S004	or	OR	Ansatz	NON_ACTION_CONTRIBUTION	Ansatz	Bildbesitzer: abgebildete breitblättrige rispige Pflanze. Folge: anlegen → eintragen. Angaben: Maß | Ansatz | dies | Ansatz · Portion.	YES
E072	f55v	H4	H4-S004	y	Y	dieser Posten	NON_ACTION_CONTRIBUTION	dieser Posten	Bildbesitzer: abgebildete breitblättrige rispige Pflanze. Folge: anlegen → eintragen. Angaben: Maß | Ansatz | dies | Ansatz · Portion.	YES
E073	f55v	H4	H4-S004	orain	OR+AIN	Ansatz · Portion	NON_ACTION_CONTRIBUTION	Ansatz · Portion	Bildbesitzer: abgebildete breitblättrige rispige Pflanze. Folge: anlegen → eintragen. Angaben: Maß | Ansatz | dies | Ansatz · Portion.	YES
E074	f56r	H5	H5-S001	chochor	HO+CH+OR	den Gabe und Ansatz abziehen	abziehen	abziehen	Bildbesitzer: abgebildete mehrköpfige stachelige Pflanze. Folge: abziehen → zuführen → abziehen → gib dies in den Ansatz. Angaben: Gabe | Gabe · Ziel · dies | Maß | Gabe | Ziel.	YES
E075	f56r	H5	H5-S001	cho	HO	Gabe	NON_ACTION_CONTRIBUTION	Gabe	Bildbesitzer: abgebildete mehrköpfige stachelige Pflanze. Folge: abziehen → zuführen → abziehen → gib dies in den Ansatz. Angaben: Gabe | Gabe · Ziel · dies | Maß | Gabe | Ziel.	YES
E076	f56r	H5	H5-S001	chodaly	HO+AL+Y	Gabe · bezeichnete Stelle · dieser Posten	NON_ACTION_CONTRIBUTION	Gabe · bezeichnete Stelle · dieser Posten	Bildbesitzer: abgebildete mehrköpfige stachelige Pflanze. Folge: abziehen → zuführen → abziehen → gib dies in den Ansatz. Angaben: Gabe | Gabe · Ziel · dies | Maß | Gabe | Ziel.	YES
E077	f56r	H5	H5-S001	daiin	AIIN	vorgeschriebenes Maß	NON_ACTION_CONTRIBUTION	vorgeschriebenes Maß	Bildbesitzer: abgebildete mehrköpfige stachelige Pflanze. Folge: abziehen → zuführen → abziehen → gib dies in den Ansatz. Angaben: Gabe | Gabe · Ziel · dies | Maß | Gabe | Ziel.	YES
E078	f56r	H5	H5-S001	sho	HO	Gabe	NON_ACTION_CONTRIBUTION	Gabe	Bildbesitzer: abgebildete mehrköpfige stachelige Pflanze. Folge: abziehen → zuführen → abziehen → gib dies in den Ansatz. Angaben: Gabe | Gabe · Ziel · dies | Maß | Gabe | Ziel.	YES
E079	f56r	H5	H5-S001	kchol	K+OL	fortsetzen den laufenden Posten zuführen	zuführen	zuführen	Bildbesitzer: abgebildete mehrköpfige stachelige Pflanze. Folge: abziehen → zuführen → abziehen → gib dies in den Ansatz. Angaben: Gabe | Gabe · Ziel · dies | Maß | Gabe | Ziel.	YES
E080	f56r	H5	H5-S001	otchor	OT+CH+OR	danach den Ansatz abziehen	abziehen	abziehen	Bildbesitzer: abgebildete mehrköpfige stachelige Pflanze. Folge: abziehen → zuführen → abziehen → gib dies in den Ansatz. Angaben: Gabe | Gabe · Ziel · dies | Maß | Gabe | Ziel.	YES
E081	f56r	H5	H5-S001	choky	OK+Y	den aktuellen Posten in Einsatz bringen	einsetzen	Pflanzenstoff in den Ansatz geben	Bildbesitzer: abgebildete mehrköpfige stachelige Pflanze. Folge: abziehen → zuführen → abziehen → gib dies in den Ansatz. Angaben: Gabe | Gabe · Ziel · dies | Maß | Gabe | Ziel.	YES
E082	f56r	H5	H5-S001	dal	AL	bezeichnete Stelle	NON_ACTION_CONTRIBUTION	bezeichnete Stelle	Bildbesitzer: abgebildete mehrköpfige stachelige Pflanze. Folge: abziehen → zuführen → abziehen → gib dies in den Ansatz. Angaben: Gabe | Gabe · Ziel · dies | Maß | Gabe | Ziel.	YES
E083	f56r	H5	H5-S002	schol	OL	fortsetzen	NON_ACTION_CONTRIBUTION	fortsetzen	Bildbesitzer: abgebildete mehrköpfige stachelige Pflanze. Folge: anlegen → ablaufen lassen. Angaben: fort | Gabe · dies.	YES
E084	f56r	H5	H5-S002	choy	HO+Y	Gabe · dieser Posten	NON_ACTION_CONTRIBUTION	Gabe · dieser Posten	Bildbesitzer: abgebildete mehrköpfige stachelige Pflanze. Folge: anlegen → ablaufen lassen. Angaben: fort | Gabe · dies.	YES
E085	f56r	H5	H5-S002	choky	OK+Y	den aktuellen Posten in Einsatz bringen	anlegen	anlegen	Bildbesitzer: abgebildete mehrköpfige stachelige Pflanze. Folge: anlegen → ablaufen lassen. Angaben: fort | Gabe · dies.	YES
E086	f56r	H5	H5-S002	cheeckhody	CH+EE+CKH+O+DY	den Arbeitsgang durch Durchlass länger abziehen; Schritt schließen	ablaufen lassen	ablaufen lassen	Bildbesitzer: abgebildete mehrköpfige stachelige Pflanze. Folge: anlegen → ablaufen lassen. Angaben: fort | Gabe · dies.	YES
E087	f56r	H5	H5-S003	sh	SH	den laufenden Posten halten	halten	ziehen lassen	Bildbesitzer: abgebildete mehrköpfige stachelige Pflanze. Folge: ziehen lassen → zugeben → einsetzen + einsetzen. Angaben: Gabe.	YES
E088	f56r	H5	H5-S003	cho	HO	Gabe	NON_ACTION_CONTRIBUTION	Gabe	Bildbesitzer: abgebildete mehrköpfige stachelige Pflanze. Folge: ziehen lassen → zugeben → einsetzen + einsetzen. Angaben: Gabe.	YES
E089	f56r	H5	H5-S003	kchey	K+E+Y	diesen Posten kurz zuführen	zugeben	zugeben	Bildbesitzer: abgebildete mehrköpfige stachelige Pflanze. Folge: ziehen lassen → zugeben → einsetzen + einsetzen. Angaben: Gabe.	YES
E090	f56r	H5	H5-S003	qokokchy	OK+OK+Y	diesen Posten ansetzen und ansetzen	einsetzen + einsetzen	einsetzen + einsetzen	Bildbesitzer: abgebildete mehrköpfige stachelige Pflanze. Folge: ziehen lassen → zugeben → einsetzen + einsetzen. Angaben: Gabe.	YES
E091	f56r	H5	H5-S004	okchy	OK+Y	den aktuellen Posten in Einsatz bringen	einsetzen	Pflanzenstoff in den Ansatz geben	Bildbesitzer: abgebildete mehrköpfige stachelige Pflanze. Folge: gib dies in den Ansatz → ansetzen + abziehen → zuführen.	YES
E092	f56r	H5	H5-S004	chokcheo	OK+CH+E+O	den Arbeitsgang kurz ansetzen und abziehen	ansetzen + abziehen	ansetzen + abziehen	Bildbesitzer: abgebildete mehrköpfige stachelige Pflanze. Folge: gib dies in den Ansatz → ansetzen + abziehen → zuführen.	YES
E093	f56r	H5	H5-S004	kchal	K+AL	den laufenden Posten an bezeichnete Stelle zuführen	zuführen	zuführen	Bildbesitzer: abgebildete mehrköpfige stachelige Pflanze. Folge: gib dies in den Ansatz → ansetzen + abziehen → zuführen.	YES
E094	f56r	H5	H5-S005	sho	HO	Gabe	NON_ACTION_CONTRIBUTION	Gabe	Bildbesitzer: abgebildete mehrköpfige stachelige Pflanze. Folge: ansetzen → zugeben. Angaben: Gabe | danach · Gang · Portion.	YES
