statement_id	page	record	silent_owner_de	owner_object_class	supplied_work_object_de	supplied_portion_de	macro_id	phase_signature	owner_specialized_macro_de	full_action_sequence_de	owner_specialized_complete_reading_de	all_actions_visible
H4-S002	f55v	H4	abgebildete breitblättrige rispige Pflanze	PLANT_MATERIAL	den Pflanzenstoff oder Ansatz	eine abgemessene Portion des Pflanzenstoffs	NONE	MEASURE_CHARGE>SETTLE	ONE_OFF_SEQUENCE	abmessen und umsetzen → verwahren	Bei der abgebildeten breitblättrigen Pflanze: abmessen und umsetzen; dann verwahren. Angaben: vorgeschriebenes Maß.	YES
H4-S003	f55v	H4	abgebildete breitblättrige rispige Pflanze	PLANT_MATERIAL	den Pflanzenstoff oder Ansatz	eine abgemessene Portion des Pflanzenstoffs	NONE	MEASURE_CHARGE>MATERIAL_PREP>THERMAL>CLOSE	ONE_OFF_SEQUENCE	dosiert zugeben → entnehmen → temperieren	Bei der abgebildeten breitblättrigen Pflanze: dosiert zugeben; dann entnehmen; dann temperieren. Angaben: fortsetzen; Schritt schließen.	YES
H4-S004	f55v	H4	abgebildete breitblättrige rispige Pflanze	PLANT_MATERIAL	den Pflanzenstoff oder Ansatz	eine abgemessene Portion des Pflanzenstoffs	NONE	APPLY>MATERIAL_PREP	ONE_OFF_SEQUENCE	anlegen → eintragen	Bei der abgebildeten breitblättrigen Pflanze: anlegen; dann eintragen. Angaben: vorgeschriebenes Maß | Ansatz | dieser Posten | Ansatz · Portion.	YES
H5-S001	f56r	H5	abgebildete mehrköpfige stachelige Pflanze	PLANT_MATERIAL	den Pflanzenstoff oder Ansatz	eine abgemessene Portion des Pflanzenstoffs	NONE	MATERIAL_PREP>ROUTE>MATERIAL_PREP>SPECIALIST	ONE_OFF_SEQUENCE	abziehen → zuführen → abziehen → Pflanzenstoff in den Ansatz geben	Bei der abgebildeten mehrköpfigen Pflanze: abziehen; dann zuführen; dann abziehen; dann Pflanzenstoff in den Ansatz geben. Angaben: Gabe | Gabe · bezeichnete Stelle · dieser Posten | vorgeschriebenes Maß | Gabe | bezeichnete Stelle.	YES
H5-S002	f56r	H5	abgebildete mehrköpfige stachelige Pflanze	PLANT_MATERIAL	den Pflanzenstoff oder Ansatz	eine abgemessene Portion des Pflanzenstoffs	NONE	APPLY>ROUTE>CLOSE	ONE_OFF_SEQUENCE	anlegen → ablaufen lassen	Bei der abgebildeten mehrköpfigen Pflanze: anlegen; dann ablaufen lassen. Angaben: fortsetzen | Gabe · dieser Posten.	YES
H5-S003	f56r	H5	abgebildete mehrköpfige stachelige Pflanze	PLANT_MATERIAL	den Pflanzenstoff oder Ansatz	eine abgemessene Portion des Pflanzenstoffs	NONE	HOLD>MEASURE_CHARGE	ONE_OFF_SEQUENCE	ziehen lassen → zugeben → einsetzen + einsetzen	Bei der abgebildeten mehrköpfigen Pflanze: ziehen lassen; dann zugeben; dann einsetzen + einsetzen. Angaben: Gabe.	YES
H5-S004	f56r	H5	abgebildete mehrköpfige stachelige Pflanze	PLANT_MATERIAL	den Pflanzenstoff oder Ansatz	eine abgemessene Portion des Pflanzenstoffs	NONE	SPECIALIST>MATERIAL_PREP>ROUTE	ONE_OFF_SEQUENCE	Pflanzenstoff in den Ansatz geben → ansetzen + abziehen → zuführen	Bei der abgebildeten mehrköpfigen Pflanze: Pflanzenstoff in den Ansatz geben; dann ansetzen + abziehen; dann zuführen.	YES
H5-S005	f56r	H5	abgebildete mehrköpfige stachelige Pflanze	PLANT_MATERIAL	den Pflanzenstoff oder Ansatz	eine abgemessene Portion des Pflanzenstoffs	NONE	SPECIALIST>MEASURE_CHARGE	ONE_OFF_SEQUENCE	ansetzen → zugeben	Bei der abgebildeten mehrköpfigen Pflanze: ansetzen; dann zugeben. Angaben: Gabe | danach · Arbeitsgang · Portion.	YES
H5-S006	f56r	H5	abgebildete mehrköpfige stachelige Pflanze	PLANT_MATERIAL	den Pflanzenstoff oder Ansatz	eine abgemessene Portion des Pflanzenstoffs	WM04	MEASURE_CHARGE	Fülle eine abgemessene Portion des Pflanzenstoffs ein.	zugeben	Fülle eine abgemessene Portion des Pflanzenstoffs ein. Vollfolge: zugeben.	YES
B1-S001	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	BASIN_LIQUID	die Bad- oder Beckenflüssigkeit	eine abgemessene Portion der Beckenflüssigkeit	WM02	HOLD>CLOSE	Lass die Bad- oder Beckenflüssigkeit einwirken oder stehen; schließe danach den Schritt.	einwirken lassen	Lass die Bad- oder Beckenflüssigkeit einwirken oder stehen; schließe danach den Schritt. Vollfolge: einwirken lassen.	YES
B1-S002	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	BASIN_LIQUID	die Bad- oder Beckenflüssigkeit	eine abgemessene Portion der Beckenflüssigkeit	NONE	MEASURE_CHARGE>ROUTE>APPLY>MEASURE_CHARGE>THERMAL>ROUTE>HOLD>APPLY>ROUTE>CLOSE	ONE_OFF_SEQUENCE	bis zum Sollmaß beschicken → einspeisen → anlegen → dosiert zugeben → dosiert zugeben → abkühlen lassen → führen → zurückhalten → anlegen → durchleiten	Bei dem gemeinsamen Becken: bis zum Sollmaß beschicken; dann einspeisen; dann anlegen; dann dosiert zugeben; dann dosiert zugeben; dann abkühlen lassen; dann führen; dann zurückhalten; dann anlegen; dann durchleiten. Angaben: von dort | fortsetzen | bezeichnete Stelle | fortsetzen | fortsetzen · Ansatz | fortsetzen | vorgeschriebenes Maß | vorgeschriebenes Maß | Durchlass · dieser Posten.	YES
B1-S003	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	BASIN_LIQUID	die Bad- oder Beckenflüssigkeit	eine abgemessene Portion der Beckenflüssigkeit	NONE	HOLD>MEASURE_CHARGE>ROUTE>CLOSE	ONE_OFF_SEQUENCE	halten + zugeben + überführen	Bei dem gemeinsamen Becken: halten + zugeben + überführen. Angaben: fortsetzen.	YES
B1-S004	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	BASIN_LIQUID	die Bad- oder Beckenflüssigkeit	eine abgemessene Portion der Beckenflüssigkeit	WM14	ROUTE>SETTLE>CLOSE	Führe die Bad- oder Beckenflüssigkeit weiter, fange sie oder ihn auf, lass absetzen und schließe den Schritt.	umschöpfen → absetzen lassen	Führe die Bad- oder Beckenflüssigkeit weiter, fange sie oder ihn auf, lass absetzen und schließe den Schritt. Vollfolge: umschöpfen → absetzen lassen.	YES
B1-S005	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	BASIN_LIQUID	die Bad- oder Beckenflüssigkeit	eine abgemessene Portion der Beckenflüssigkeit	WM01	ROUTE>CLOSE	Führe die Bad- oder Beckenflüssigkeit zur nächsten sichtbaren Station und schließe dort den Schritt.	in die nächste Station weitergeben	Führe die Bad- oder Beckenflüssigkeit zur nächsten sichtbaren Station und schließe dort den Schritt. Vollfolge: in die nächste Station weitergeben.	YES
B1-S006	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	BASIN_LIQUID	die Bad- oder Beckenflüssigkeit	eine abgemessene Portion der Beckenflüssigkeit	NONE	MEASURE_CHARGE>ROUTE>THERMAL	ONE_OFF_SEQUENCE	eine abgemessene Portion der Beckenflüssigkeit einfüllen → durchleiten → abkühlen lassen	Bei dem gemeinsamen Becken: eine abgemessene Portion der Beckenflüssigkeit einfüllen; dann durchleiten; dann abkühlen lassen. Angaben: Durchlass · dieser Posten.	YES
B1-S007	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	BASIN_LIQUID	die Bad- oder Beckenflüssigkeit	eine abgemessene Portion der Beckenflüssigkeit	WM06	MEASURE_CHARGE>ROUTE>CLOSE	Fülle eine abgemessene Portion der Beckenflüssigkeit ein, führe sie weiter und schließe den Schritt.	einsetzen + überführen	Fülle eine abgemessene Portion der Beckenflüssigkeit ein, führe sie weiter und schließe den Schritt. Vollfolge: einsetzen + überführen.	YES
B1-S008	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	BASIN_LIQUID	die Bad- oder Beckenflüssigkeit	eine abgemessene Portion der Beckenflüssigkeit	WM09	HOLD>SETTLE>CLOSE	Lass die Bad- oder Beckenflüssigkeit einwirken, dann absetzen, und schließe den Schritt.	warm halten → absetzen lassen	Lass die Bad- oder Beckenflüssigkeit einwirken, dann absetzen, und schließe den Schritt. Vollfolge: warm halten → absetzen lassen.	YES
B1-S009	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	BASIN_LIQUID	die Bad- oder Beckenflüssigkeit	eine abgemessene Portion der Beckenflüssigkeit	WM02	HOLD>CLOSE	Lass die Bad- oder Beckenflüssigkeit einwirken oder stehen; schließe danach den Schritt.	einwirken lassen	Lass die Bad- oder Beckenflüssigkeit einwirken oder stehen; schließe danach den Schritt. Vollfolge: einwirken lassen.	YES
B1-S010	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	BASIN_LIQUID	die Bad- oder Beckenflüssigkeit	eine abgemessene Portion der Beckenflüssigkeit	WM02	HOLD>CLOSE	Lass die Bad- oder Beckenflüssigkeit einwirken oder stehen; schließe danach den Schritt.	einwirken lassen	Lass die Bad- oder Beckenflüssigkeit einwirken oder stehen; schließe danach den Schritt. Vollfolge: einwirken lassen.	YES
B1-S011	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	BASIN_LIQUID	die Bad- oder Beckenflüssigkeit	eine abgemessene Portion der Beckenflüssigkeit	WM12	ROUTE	Führe die Bad- oder Beckenflüssigkeit zur nächsten sichtbaren Station.	einleiten	Führe die Bad- oder Beckenflüssigkeit zur nächsten sichtbaren Station. Vollfolge: einleiten.	YES
B1-S012	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	BASIN_LIQUID	die Bad- oder Beckenflüssigkeit	eine abgemessene Portion der Beckenflüssigkeit	NONE	WASH>HOLD>WASH>CLOSE	ONE_OFF_SEQUENCE	waschen → wirken lassen → durchwaschen	Bei dem gemeinsamen Becken: waschen; dann wirken lassen; dann durchwaschen.	YES
B1-S013	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	BASIN_LIQUID	die Bad- oder Beckenflüssigkeit	eine abgemessene Portion der Beckenflüssigkeit	NONE	WASH>CLOSE	ONE_OFF_SEQUENCE	durchwaschen	Bei dem gemeinsamen Becken: durchwaschen.	YES
B1-S014	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	BASIN_LIQUID	die Bad- oder Beckenflüssigkeit	eine abgemessene Portion der Beckenflüssigkeit	NONE	ROUTE>SETTLE>ROUTE	ONE_OFF_SEQUENCE	umschöpfen → auffangen → hinleiten + umfüllen	Bei dem gemeinsamen Becken: umschöpfen; dann auffangen; dann hinleiten + umfüllen. Angaben: fortsetzen | danach · von dort.	YES
B1-S015	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	BASIN_LIQUID	die Bad- oder Beckenflüssigkeit	eine abgemessene Portion der Beckenflüssigkeit	WM13	ROUTE>MEASURE_CHARGE>ROUTE>CLOSE	Übernimm die Bad- oder Beckenflüssigkeit, gib eine abgemessene Portion der Beckenflüssigkeit zu, führe weiter und schließe den Schritt.	übertragen → einsetzen + überführen	Übernimm die Bad- oder Beckenflüssigkeit, gib eine abgemessene Portion der Beckenflüssigkeit zu, führe weiter und schließe den Schritt. Vollfolge: übertragen → einsetzen + überführen.	YES
B1-S016	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	BASIN_LIQUID	die Bad- oder Beckenflüssigkeit	eine abgemessene Portion der Beckenflüssigkeit	NONE	APPLY>HOLD>SETTLE>CLOSE	ONE_OFF_SEQUENCE	anlegen → wirken lassen → absetzen lassen	Bei dem gemeinsamen Becken: anlegen; dann wirken lassen; dann absetzen lassen. Angaben: fortsetzen.	YES
B1-S017	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	BASIN_LIQUID	die Bad- oder Beckenflüssigkeit	eine abgemessene Portion der Beckenflüssigkeit	WM01	ROUTE>CLOSE	Führe die Bad- oder Beckenflüssigkeit zur nächsten sichtbaren Station und schließe dort den Schritt.	umfüllen	Führe die Bad- oder Beckenflüssigkeit zur nächsten sichtbaren Station und schließe dort den Schritt. Vollfolge: umfüllen.	YES
B1-S018	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	BASIN_LIQUID	die Bad- oder Beckenflüssigkeit	eine abgemessene Portion der Beckenflüssigkeit	NONE	ROUTE>HOLD>SETTLE>HOLD>CLOSE	ONE_OFF_SEQUENCE	führen → stehen lassen → auffangen und stehen lassen	Bei dem gemeinsamen Becken: führen; dann stehen lassen; dann auffangen und stehen lassen. Angaben: Arbeitsgang · Sollstufe.	YES
B1-S019	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	BASIN_LIQUID	die Bad- oder Beckenflüssigkeit	eine abgemessene Portion der Beckenflüssigkeit	WM03	SETTLE>CLOSE	Lass die Bad- oder Beckenflüssigkeit ruhen und sich absetzen; schließe danach den Schritt.	absetzen lassen	Lass die Bad- oder Beckenflüssigkeit ruhen und sich absetzen; schließe danach den Schritt. Vollfolge: absetzen lassen.	YES
B1-S020	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	BASIN_LIQUID	die Bad- oder Beckenflüssigkeit	eine abgemessene Portion der Beckenflüssigkeit	WM02	HOLD>CLOSE	Lass die Bad- oder Beckenflüssigkeit einwirken oder stehen; schließe danach den Schritt.	warm halten → zurückhalten	Lass die Bad- oder Beckenflüssigkeit einwirken oder stehen; schließe danach den Schritt. Vollfolge: warm halten → zurückhalten.	YES
B1-S021	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	BASIN_LIQUID	die Bad- oder Beckenflüssigkeit	eine abgemessene Portion der Beckenflüssigkeit	NONE	STATE_ONLY	ONE_OFF_SEQUENCE	NO_EXPLICIT_ACTION_CARD	Bei dem gemeinsamen Becken: die gelernte Zustands- und Adressfolge setzen. Angaben: bezeichnete Stelle.	YES
B2-S001	f82r	B2	oberes Beckenpaar mit Zylinder	BASIN_LIQUID	die Bad- oder Beckenflüssigkeit	eine abgemessene Portion der Beckenflüssigkeit	WM01	ROUTE>CLOSE	Führe die Bad- oder Beckenflüssigkeit zur nächsten sichtbaren Station und schließe dort den Schritt.	in die nächste Station weitergeben	Führe die Bad- oder Beckenflüssigkeit zur nächsten sichtbaren Station und schließe dort den Schritt. Vollfolge: in die nächste Station weitergeben.	YES
B2-S002	f82r	B2	oberes Beckenpaar mit Zylinder	BASIN_LIQUID	die Bad- oder Beckenflüssigkeit	eine abgemessene Portion der Beckenflüssigkeit	WM01	ROUTE>CLOSE	Führe die Bad- oder Beckenflüssigkeit zur nächsten sichtbaren Station und schließe dort den Schritt.	in die nächste Station weitergeben	Führe die Bad- oder Beckenflüssigkeit zur nächsten sichtbaren Station und schließe dort den Schritt. Vollfolge: in die nächste Station weitergeben.	YES
B2-S003	f82r	B2	oberes Beckenpaar mit Zylinder	BASIN_LIQUID	die Bad- oder Beckenflüssigkeit	eine abgemessene Portion der Beckenflüssigkeit	WM05	MEASURE_CHARGE>HOLD>CLOSE	Fülle eine abgemessene Portion der Beckenflüssigkeit ein, lass sie einwirken und schließe den Schritt.	eine abgemessene Portion der Beckenflüssigkeit einfüllen → einwirken lassen	Fülle eine abgemessene Portion der Beckenflüssigkeit ein, lass sie einwirken und schließe den Schritt. Vollfolge: eine abgemessene Portion der Beckenflüssigkeit einfüllen → einwirken lassen.	YES
B2-S004	f82r	B2	oberes Beckenpaar mit Zylinder	BASIN_LIQUID	die Bad- oder Beckenflüssigkeit	eine abgemessene Portion der Beckenflüssigkeit	NONE	APPLY>ROUTE>SPECIALIST>HOLD>ROUTE>CLOSE	ONE_OFF_SEQUENCE	anlegen → durchleiten → führen + umsetzen → wirken lassen → durchleiten	Bei dem oberen Beckenpaar: anlegen; dann durchleiten; dann führen + umsetzen; dann wirken lassen; dann durchleiten.	YES
B2-S005	f82r	B2	oberes Beckenpaar mit Zylinder	BASIN_LIQUID	die Bad- oder Beckenflüssigkeit	eine abgemessene Portion der Beckenflüssigkeit	NONE	APPLY>SETTLE>ROUTE>HOLD>ROUTE>CLOSE	ONE_OFF_SEQUENCE	anlegen → bis zum Maß auffangen → einleiten → einleiten → warm halten → abführen	Bei dem oberen Beckenpaar: anlegen; dann bis zum Maß auffangen; dann einleiten; dann einleiten; dann warm halten; dann abführen. Angaben: Durchlass · dieser Posten | Arbeitsgang · bereit · kurz · fortsetzen.	YES
B2-S006	f82r	B2	oberes Beckenpaar mit Zylinder	BASIN_LIQUID	die Bad- oder Beckenflüssigkeit	eine abgemessene Portion der Beckenflüssigkeit	NONE	APPLY>HOLD>MEASURE_CHARGE	ONE_OFF_SEQUENCE	anlegen → zurückhalten → die Bad- oder Beckenflüssigkeit einsetzen	Bei dem oberen Beckenpaar: anlegen; dann zurückhalten; dann die Bad- oder Beckenflüssigkeit einsetzen. Angaben: danach · länger · dieser Posten.	YES
B2-S007	f82r	B2	mittleres linkes Handgerät mit Inline-Knoten	HAND_DEVICE_LIQUID	die Arbeitsflüssigkeit im Handgerät	eine abgemessene Portion der Arbeitsflüssigkeit	WM03	SETTLE>CLOSE	Lass die Arbeitsflüssigkeit im Handgerät ruhen und sich absetzen; schließe danach den Schritt.	ruhen lassen	Lass die Arbeitsflüssigkeit im Handgerät ruhen und sich absetzen; schließe danach den Schritt. Vollfolge: ruhen lassen.	YES
B2-S008	f82r	B2	mittleres linkes Handgerät mit Inline-Knoten	HAND_DEVICE_LIQUID	die Arbeitsflüssigkeit im Handgerät	eine abgemessene Portion der Arbeitsflüssigkeit	WM08	MEASURE_CHARGE>SETTLE>CLOSE	Beschicke mit eine abgemessene Portion der Arbeitsflüssigkeit, lass den Inhalt absetzen und schließe den Schritt.	aus der bezeichneten Quelle beschicken → absetzen lassen	Beschicke mit eine abgemessene Portion der Arbeitsflüssigkeit, lass den Inhalt absetzen und schließe den Schritt. Vollfolge: aus der bezeichneten Quelle beschicken → absetzen lassen.	YES
B2-S009	f82r	B2	mittleres linkes Handgerät mit Inline-Knoten	HAND_DEVICE_LIQUID	die Arbeitsflüssigkeit im Handgerät	eine abgemessene Portion der Arbeitsflüssigkeit	WM03	SETTLE>CLOSE	Lass die Arbeitsflüssigkeit im Handgerät ruhen und sich absetzen; schließe danach den Schritt.	ruhen lassen	Lass die Arbeitsflüssigkeit im Handgerät ruhen und sich absetzen; schließe danach den Schritt. Vollfolge: ruhen lassen.	YES
B2-S010	f82r	B2	mittleres linkes Handgerät mit Inline-Knoten	HAND_DEVICE_LIQUID	die Arbeitsflüssigkeit im Handgerät	eine abgemessene Portion der Arbeitsflüssigkeit	NONE	HOLD>MEASURE_CHARGE>HOLD	ONE_OFF_SEQUENCE	wirken lassen → die Arbeitsflüssigkeit im Handgerät einsetzen → stehen lassen	Bei dem mittleren Handgerät: wirken lassen; dann die Arbeitsflüssigkeit im Handgerät einsetzen; dann stehen lassen. Angaben: weiter.	YES
B2-S011	f82r	B2	mittlere rechte unklare Station	UNCLEAR_WORK_PORTION	die Arbeitsportion an dieser Station	eine abgemessene Arbeitsportion	WM05	MEASURE_CHARGE>HOLD>CLOSE	Fülle eine abgemessene Arbeitsportion ein, lass sie einwirken und schließe den Schritt.	eine abgemessene Arbeitsportion einfüllen → eine abgemessene Arbeitsportion einfüllen → einwirken lassen	Fülle eine abgemessene Arbeitsportion ein, lass sie einwirken und schließe den Schritt. Vollfolge: eine abgemessene Arbeitsportion einfüllen → eine abgemessene Arbeitsportion einfüllen → einwirken lassen.	YES
B2-S012	f82r	B2	mittlere rechte unklare Station	UNCLEAR_WORK_PORTION	die Arbeitsportion an dieser Station	eine abgemessene Arbeitsportion	NONE	ROUTE>MATERIAL_PREP>HOLD>ROUTE>MEASURE_CHARGE>CLOSE	ONE_OFF_SEQUENCE	führen + abnehmen → stehen lassen → wirken lassen → führen → vollständig beschicken und abschließen	Bei der mittleren rechten Station: führen + abnehmen; dann stehen lassen; dann wirken lassen; dann führen; dann vollständig beschicken und abschließen. Angaben: bereit · kurz · dieser Posten | vorgeschriebenes Maß | dieser Posten.	YES
B2-S013	f82r	B2	unteres grünes Mehrfigurenbecken	BASIN_LIQUID	die Bad- oder Beckenflüssigkeit	eine abgemessene Portion der Beckenflüssigkeit	WM01	ROUTE>CLOSE	Führe die Bad- oder Beckenflüssigkeit zur nächsten sichtbaren Station und schließe dort den Schritt.	abführen + überführen	Führe die Bad- oder Beckenflüssigkeit zur nächsten sichtbaren Station und schließe dort den Schritt. Vollfolge: abführen + überführen.	YES
B2-S014	f82r	B2	unteres grünes Mehrfigurenbecken	BASIN_LIQUID	die Bad- oder Beckenflüssigkeit	eine abgemessene Portion der Beckenflüssigkeit	WM12	ROUTE	Führe die Bad- oder Beckenflüssigkeit zur nächsten sichtbaren Station.	ableiten	Führe die Bad- oder Beckenflüssigkeit zur nächsten sichtbaren Station. Vollfolge: ableiten.	YES
B2-S015	f82r	B2	kleine Randstationen des unteren Beckens	TECHNICAL_STATION_LIQUID	die Flüssigkeit dieser Station	eine abgemessene Portion der Stationsflüssigkeit	WM02	HOLD>CLOSE	Lass die Flüssigkeit dieser Station einwirken oder stehen; schließe danach den Schritt.	stehen lassen → einwirken lassen	Lass die Flüssigkeit dieser Station einwirken oder stehen; schließe danach den Schritt. Vollfolge: stehen lassen → einwirken lassen.	YES
B2-S016	f82r	B2	kleine Randstationen des unteren Beckens	TECHNICAL_STATION_LIQUID	die Flüssigkeit dieser Station	eine abgemessene Portion der Stationsflüssigkeit	NONE	ROUTE>MATERIAL_PREP>MEASURE_CHARGE>HOLD>MEASURE_CHARGE>ROUTE>CLOSE	ONE_OFF_SEQUENCE	ableiten + umfüllen → abnehmen + abteilen → bis zum Sollmaß beschicken → wirken lassen → einfüllen + überführen	Bei den kleinen Randstationen: ableiten + umfüllen; dann abnehmen + abteilen; dann bis zum Sollmaß beschicken; dann wirken lassen; dann einfüllen + überführen. Angaben: bezeichnete Stelle | vorgeschriebenes Maß | danach · länger · dieser Posten.	YES
B2-S017	f82r	B2	kleine Randstationen des unteren Beckens	TECHNICAL_STATION_LIQUID	die Flüssigkeit dieser Station	eine abgemessene Portion der Stationsflüssigkeit	WM15	THERMAL>SETTLE>CLOSE	Temperiere die Flüssigkeit dieser Station, lass ruhen oder absetzen und schließe den Schritt.	abkühlen lassen + ruhen lassen	Temperiere die Flüssigkeit dieser Station, lass ruhen oder absetzen und schließe den Schritt. Vollfolge: abkühlen lassen + ruhen lassen.	YES
B2-S018	f82r	B2	kleine Randstationen des unteren Beckens	TECHNICAL_STATION_LIQUID	die Flüssigkeit dieser Station	eine abgemessene Portion der Stationsflüssigkeit	WM02	HOLD>CLOSE	Lass die Flüssigkeit dieser Station einwirken oder stehen; schließe danach den Schritt.	einwirken lassen	Lass die Flüssigkeit dieser Station einwirken oder stehen; schließe danach den Schritt. Vollfolge: einwirken lassen.	YES
