statement_id	page	record	motif_id	motif_role	start_position	end_position	statement_events	position_class	left_card	left_surface	left_reading_de	motif_cards	motif_surface	motif_reading_de	right_card	right_surface	right_reading_de	attachment_signature
B3-S003	f83r	B3	M01_ITEM_MEASURE_FRAME	MOBILE_MEASURE_FRAME	1	3	4	ENTRY	BOF	BOF	AUSSAGEANFANG	PROC019|PROC009|PROC019	chey daiin chey	LAUFENDER POSTEN IM SOLLMASS-RAHMEN	PROC120	lchedy	WEITERLEITEN · UMSETZEN; SCHLUSS	BOF>M01_ITEM_MEASURE_FRAME>PROC120
B3-S007	f83r	B3	M07_TRANSFER_LONG_CLOSE	CLOSING_TAIL	2	3	3	CLOSE	PROC038	qokaiin	ANSETZEN · SOLLMASS	PROC042|PROC100	chedy qokeedy	POSTEN UMSETZEN UND LANG ANSETZEN; SCHLUSS	EOF	EOF	AUSSAGEENDE	PROC038>M07_TRANSFER_LONG_CLOSE>EOF
B3-S021	f83r	B3	M01_ITEM_MEASURE_FRAME	MOBILE_MEASURE_FRAME	4	5	11	MEDIAL	PROC055	dal	ZIELSTELLE	PROC019|PROC009	sy saiin	LAUFENDER POSTEN IM SOLLMASS-RAHMEN	PROC142	shedal	ABSETZEN · ZIELSTELLE	PROC055>M01_ITEM_MEASURE_FRAME>PROC142
B3-S028	f83r	B3	M09_LONG_SET_BRANCH	MOBILE_BRANCH_CAPSULE	1	2	2	WHOLE_STATEMENT	BOF	BOF	AUSSAGEANFANG	PROC092|PROC067	qokeey qokedy	NACH LANGEM ANSETZEN WEITERSETZEN ODER KURZ SCHLIESSEN	EOF	EOF	AUSSAGEENDE	BOF>M09_LONG_SET_BRANCH>EOF
B3-S030	f83r	B3	M02_SET_ITEM_MEASURE	OPEN_MEASURE_SETUP	1	2	4	ENTRY	BOF	BOF	AUSSAGEANFANG	PROC008|PROC009	qoky saiin	POSTEN ANSETZEN, DANN SOLLMASS	PROC150	schedair	UMSETZEN · FLUESSIGKEITSLAUF	BOF>M02_SET_ITEM_MEASURE>PROC150
B4-S002	f83r	B4	M09_LONG_SET_BRANCH	MOBILE_BRANCH_CAPSULE	2	3	3	CLOSE	PROC154	qolchey	FORTSETZEN · ARBEITSPOSTEN	PROC092|PROC067	qokeey qokedy	NACH LANGEM ANSETZEN WEITERSETZEN ODER KURZ SCHLIESSEN	EOF	EOF	AUSSAGEENDE	PROC154>M09_LONG_SET_BRANCH>EOF
B4-S003	f83r	B4	M09_LONG_SET_BRANCH	MOBILE_BRANCH_CAPSULE	4	5	7	MEDIAL	PROC065	otchey	DANACH · ARBEITSPOSTEN	PROC092|PROC008	qokeey qoky	NACH LANGEM ANSETZEN WEITERSETZEN ODER KURZ SCHLIESSEN	PROC013	tol	FORTSETZEN	PROC065>M09_LONG_SET_BRANCH>PROC013
B4-S003	f83r	B4	M04_CONTINUE_CLOSE	CLOSING_TAIL	6	7	7	CLOSE	PROC008	qoky	ANSETZEN · ARBEITSPOSTEN	PROC013|PROC078	tol shedy	FORTSETZEN, ABSETZEN UND SCHLIESSEN	EOF	EOF	AUSSAGEENDE	PROC008>M04_CONTINUE_CLOSE>EOF
B4-S005	f83r	B4	M07_TRANSFER_LONG_CLOSE	CLOSING_TAIL	2	3	3	CLOSE	PROC156	dain	PORTION	PROC042|PROC100	chedy qokeedy	POSTEN UMSETZEN UND LANG ANSETZEN; SCHLUSS	EOF	EOF	AUSSAGEENDE	PROC156>M07_TRANSFER_LONG_CLOSE>EOF
B4-S011	f83r	B4	M06_FEED_CONTINUATION	CONTINUATION_FEEDER	5	6	7	MEDIAL	PROC080	okain	ANSETZEN · PORTION	PROC042|PROC013	chdy sol	VORLAUF, ZIEL ODER UMSETZUNG IN DIE FORTSETZUNG FUEHREN	PROC159	lkedy	WEITERLEITEN · ZUDOSIEREN · KURZ; SCHLUSS	PROC080>M06_FEED_CONTINUATION>PROC159
B4-S014	f83r	B4	M03_PREPARATION_ITEM	OPEN_PREPARATION_BINDER	1	2	4	ENTRY	BOF	BOF	AUSSAGEANFANG	PROC016|PROC019	or chey	ANSATZ AUF DEN LAUFENDEN POSTEN BEZIEHEN	PROC161	qockhey	ARBEITSGANG · DURCHLASSKANAL · KURZ · ARBEITSPOSTEN	BOF>M03_PREPARATION_ITEM>PROC161
B4-S016	f83r	B4	M08_PORTION_TARGET	OPEN_TARGET_BINDER	1	2	4	ENTRY	BOF	BOF	AUSSAGEANFANG	PROC070|PROC055	qolkain dal	PORTION ZUDOSIEREN UND AN DIE ZIELSTELLE GEBEN	PROC165	skar	ZUDOSIEREN · VORRAT	BOF>M08_PORTION_TARGET>PROC165
B5-S003	f83r	B5	M06_FEED_CONTINUATION	CONTINUATION_FEEDER	2	3	9	MEDIAL	PROC142	shedal	ABSETZEN · ZIELSTELLE	PROC055|PROC013	dal cheol	VORLAUF, ZIEL ODER UMSETZUNG IN DIE FORTSETZUNG FUEHREN	PROC167	lol	WEITERLEITEN · FORTSETZEN	PROC142>M06_FEED_CONTINUATION>PROC167
B5-S003	f83r	B5	M05_MEASURE_CONTINUATION	MEDIAL_BRIDGE	6	7	9	MEDIAL	PROC168	chdal	UMSETZEN · ZIELSTELLE	PROC009|PROC013	aiin sol	SOLLMASS UND FORTSETZUNG DIREKT KOPPELN	PROC169	daiiin	ZWEITMARKER · ARBEITSSTUFE	PROC168>M05_MEASURE_CONTINUATION>PROC169
B6-S001	f83r	B6	M05_MEASURE_CONTINUATION	MEDIAL_BRIDGE	4	5	9	MEDIAL	PROC172	raly	KUEHLEN · ZIELSTELLE · ARBEITSPOSTEN	PROC013|PROC009	ol daiin	SOLLMASS UND FORTSETZUNG DIREKT KOPPELN	PROC013	ol	FORTSETZEN	PROC172>M05_MEASURE_CONTINUATION>PROC013
