statement_id	record_unit_id	page	loci	event_count	surface_sequence	architecture_sequence	card_reading_sequence_de	fluent_workshop_sentence_de	lesson_level	promoted_carrier_cards	promoted_carrier_rule_ids
H4-S002	H4	f55v	f55v.5	3	daiin chedy talam	P P P	Sollmaß -> umsetzen -> am Ziel verwahren	Setze den Posten nach Sollmass um und verwahre ihn am Ziel.	L1_FULLY_COMPOSED	talam	C08_T_AM_STORE
H4-S003	H4	f55v	f55v.11	4	ykaiin cheoar cheeky oldy	P P P P	Postenmaß -> Auszug entnehmen -> länger wärmen -> fortsetzen; Schluss	Nimm den Auszug aus dem verwahrten Ansatz nach Postenmaß, wärme ihn länger und schließe die Fortsetzung	L1_FULLY_COMPOSED	NONE	NONE
H4-S004	H4	f55v	f55v.11	6	aiin okal oltchy or y orain	P P P P P P	Sollmaß -> dort ansetzen -> bereit weiterfuehren -> Ansatz -> dieser Posten -> Ansatzportion	Stelle das Sollmass ein, setze dort an, fuehre den bereiten Ansatz weiter und nimm davon eine Portion.	L1_FULLY_COMPOSED	NONE	NONE
H5-S001	H5	f56r	f56r.5|f56r.7	9	chochor cho chodaly daiin sho kchol otchor choky dal	P P P P P P P P P	Zutatenansatz -> Zutat -> Zutat dorthin -> Sollmaß -> Zutat -> weiter bearbeiten -> Folgeansatz -> Posten ansetzen -> dorthin	Bereite einen Zutatenansatz, gib die Zutat dorthin nach Sollmass, bearbeite die naechste Zutat weiter, beginne den Folgeansatz und setze den Posten dort an.	L1_FULLY_COMPOSED	NONE	NONE
H5-S002	H5	f56r	f56r.8	4	schol choy choky cheeckhody	W P P W	Voriges -> diese Zutat -> Posten ansetzen -> auftragen	Nimm vom Vorposten diese Zutat, setze sie an und trage sie auf.	L2_CODEBOOK	NONE	NONE
H5-S003	H5	f56r	f56r.12	4	sh cho kchey qokokchy	W P P P	Staengel -> Zutat -> diesen Posten kurz bearbeiten -> erneut ansetzen	Nimm den Staengel als Zutat, bearbeite diesen Posten kurz und setze ihn erneut an.	L2_CODEBOOK	NONE	NONE
H5-S004	H5	f56r	f56r.13	3	okchy chokcheo kchal	P P P	Posten ansetzen -> Auszug zugeben -> an der Zielstelle bearbeiten	Setze den Posten an, gib den Auszug zu und bearbeite ihn an der Zielstelle.	L1_FULLY_COMPOSED	NONE	NONE
H5-S005	H5	f56r	f56r.18	4	sho chokchy kchoar sotodan	P P P P	Zutat -> Posten ansetzen -> Auszug daraus -> danach anwenden	Setze den Ansatz als Zutat an, nimm den Auszug daraus und wende ihn danach an.	L1_FULLY_COMPOSED	sotodan	C01_LOCAL_FRAME|C06_DAN_APPLY
H5-S006	H5	f56r	f56r.19	3	otchey keol daiin	P P P	Folgeposten -> kurz weiterfuehren -> Sollmaß	Nimm den Folgeposten, fuehre ihn kurz weiter und stelle das Sollmass ein.	L1_FULLY_COMPOSED	NONE	NONE
B1-S001	B1	f81v	f81v.2	1	qokedy	P	kurz ansetzen; Schluss	Setze kurz an und schließe	L1_FULLY_COMPOSED	NONE	NONE
B1-S002	B1	f81v	f81v.2|f81v.7	19	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	P P P P P P P P P P W P P P P P P P P	auf Sollmaß einstellen -> Beckenwasser -> dort ansetzen -> daraus -> fortsetzen -> eine Portion -> weitere Portion -> dorthin -> fortsetzen -> weiterfuehren -> Zusatz -> Fortsetzungsansatz -> fortsetzen -> kurz zur Zielstelle durchleiten -> Sollmaß -> dort länger halten -> Sollmaß -> durchleiten -> umsetzen; Schluss	Stelle das Sollmass ein, setze den Posten dort an, gib die weiteren Portionen und den Zusatz zu, fuehre den Ansatz weiter, leite kurz zur Zielstelle durch, stelle das Sollmass ein, halte dort laenger, leite durch, setze um und schliesse.	L2_CODEBOOK	rol	C01_LOCAL_FRAME
B1-S003	B1	f81v	f81v.7|f81v.17	2	qol sshkchdy	P W	fortsetzen -> schwenken	Führe weiter, schwenke den Posten und schließe	L2_CODEBOOK	NONE	NONE
B1-S004	B1	f81v	f81v.17	3	chedy ol shedy	P P P	umsetzen -> fortsetzen -> absetzen; Schluss	Setze um, führe weiter, lass absetzen und schließe	L1_FULLY_COMPOSED	NONE	NONE
B1-S005	B1	f81v	f81v.17	1	qolchedy	P	fortsetzen; Schluss	Führe den Posten weiter und schließe	L1_FULLY_COMPOSED	NONE	NONE
B1-S006	B1	f81v	f81v.17	4	qokain shckhy dl ral	P P W P	eine Portion zugeben -> durchleiten -> Zusatz -> zur Zielstelle	Gib eine Portion und den Zusatz zu, leite durch, fuehre zur Zielstelle und uebergib an den folgenden Umsetzschritt.	L2_CODEBOOK	ral	C01_LOCAL_FRAME
B1-S007	B1	f81v	f81v.18	1	qokchdy	P	umsetzen; Schluss	Setze die abgekühlte Badmischung um und schließe	L1_FULLY_COMPOSED	NONE	NONE
B1-S008	B1	f81v	f81v.18	5	chey ol cheky ol shedy	P P P P P	dieser Posten -> fortsetzen -> kurz wärmen -> fortsetzen -> absetzen; Schluss	Führe den aktuellen Posten weiter, wärme kurz, lass absetzen und schließe	L1_FULLY_COMPOSED	NONE	NONE
B1-S009	B1	f81v	f81v.18	1	qokedy	P	kurz ansetzen; Schluss	Setze kurz an und schließe	L1_FULLY_COMPOSED	NONE	NONE
B1-S010	B1	f81v	f81v.18	1	qokedy	P	kurz ansetzen; Schluss	Setze kurz an und schließe	L1_FULLY_COMPOSED	NONE	NONE
B1-S011	B1	f81v	f81v.18	2	chckhy qoky	P P	durchleiten -> Posten ansetzen	Leite durch und setze den Posten an	L1_FULLY_COMPOSED	NONE	NONE
B1-S012	B1	f81v	f81v.21	3	lsho qokey lshedy	P P P	Waschgang -> kurz ansetzen -> waschen; Schluss	Beginne mit dem durchgeleiteten Waschposten den Waschgang, setze kurz an, wasche und schließe	L1_FULLY_COMPOSED	NONE	NONE
B1-S013	B1	f81v	f81v.21	1	lshedy	P	waschen; Schluss	Wasche und schließe	L1_FULLY_COMPOSED	NONE	NONE
B1-S014	B1	f81v	f81v.21	5	chedy qolky lchedal qol otar	P P P P P	umsetzen -> weiterfuehren -> Auslass -> fortsetzen -> danach von dort	Setze um, fuehre weiter, leite am Auslass ab und fuehre danach von dort weiter.	L1_FULLY_COMPOSED	qolky	C05_KY_PATH
B1-S015	B1	f81v	f81v.24	2	ytey okchedy	W P	fuellen -> umsetzen; Schluss	Fülle das Gefäß mit der abgeleiteten Arbeitsflüssigkeit, setze den Inhalt um und schließe	L2_CODEBOOK	NONE	NONE
B1-S016	B1	f81v	f81v.24	4	qokal okeey qol cheedy	P P P P	dort ansetzen -> länger ansetzen -> fortsetzen -> absetzen; Schluss	Setze dort länger an, führe weiter, lass absetzen und schließe	L1_FULLY_COMPOSED	NONE	NONE
B1-S017	B1	f81v	f81v.24	3	sal teol dchdy	P P P	dorthin -> kurz weiterfuehren -> umsetzen; Schluss	Fuehre dorthin, fuehre kurz weiter, setze um und schliesse.	L1_FULLY_COMPOSED	NONE	NONE
B1-S018	B1	f81v	f81v.24|f81v.27	4	ly dsheol oiiin olkeedy	W P P P	Gefaess -> kurz weiter ruhen lassen -> Sollstufe -> länger sammeln; Schluss	Stelle das Gefaess bereit, lass den Posten kurz weiter ruhen, bringe ihn auf Sollstufe, sammle laenger und schliesse.	L2_CODEBOOK	NONE	NONE
B1-S019	B1	f81v	f81v.27	1	tedy	P	absetzen; Schluss	Lass absetzen und schließe	L1_FULLY_COMPOSED	NONE	NONE
B1-S020	B1	f81v	f81v.27	2	cheky shckhedy	P P	kurz wärmen -> seihen; Schluss	Wärme kurz, seih und schließe	L1_FULLY_COMPOSED	NONE	NONE
B1-S021	B1	f81v	f81v.27	1	chal	P	dorthin	Führe den Posten dorthin	L1_FULLY_COMPOSED	NONE	NONE
B2-S001	B2	f82r	f82r.2	1	dchedy	P	umsetzen; Schluss	Setze um und schließe	L1_FULLY_COMPOSED	NONE	NONE
B2-S002	B2	f82r	f82r.2	1	qolchedy	P	fortsetzen; Schluss	Führe weiter und schließe	L1_FULLY_COMPOSED	NONE	NONE
B2-S003	B2	f82r	f82r.2	3	qokain dy qokeedy	P P P	eine Portion zugeben -> dieser Posten -> länger ansetzen; Schluss	Gib eine Portion zu, setze den Posten länger an und schließe	L1_FULLY_COMPOSED	NONE	NONE
B2-S004	B2	f82r	f82r.2|f82r.3	5	qokal lcheckhy lched qokeey lcheckhedy	P P P P P	dort ansetzen -> Ausgangsdurchlass -> abführen -> länger ansetzen -> abseihen; Schluss	Setze dort an, leite durch den Ausgang, führe ab, setze länger an, seih ab und schließe	L1_FULLY_COMPOSED	NONE	NONE
B2-S005	B2	f82r	f82r.3|f82r.4	8	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	P P P P P P P P	dies dort ansetzen -> bis Sollmass sammeln -> durchleiten -> auf Sollmaß einstellen -> auf Sollmaß einstellen -> bereit weiterfuehren -> länger wärmen -> abziehen; Ende	Setze diesen Posten dort an, sammle bis zum Sollmass, leite durch, stelle das Sollmass ein, fuehre bereit weiter, waerme laenger, ziehe ab und schliesse.	L1_FULLY_COMPOSED	ldy	C02_TERMINAL_D_FRAME
B2-S006	B2	f82r	f82r.4	4	oteey qokal sheckhy qoky	P P P P	langer Folgeposten -> dort ansetzen -> kurz durchleiten -> Posten ansetzen	Nimm den langen Folgeposten, setze ihn dort an, leite ihn kurz durch und setze den Posten an.	L1_FULLY_COMPOSED	NONE	NONE
B2-S007	B2	f82r	f82r.7	1	dshedy	W	Frischwasser	Gib dem weitergeführten Überlaufposten Frischwasser zu und schließe	L2_CODEBOOK	NONE	NONE
B2-S008	B2	f82r	f82r.7	3	sotaiin qokar shedy	P P P	Folgemaß -> daraus ansetzen -> absetzen; Schluss	Stelle das Folgemaß ein, setze daraus an, lass absetzen und schließe	L1_FULLY_COMPOSED	NONE	NONE
B2-S009	B2	f82r	f82r.7	1	solshedy	P	weiter absetzen; Schluss	Lass weiter absetzen und schließe	L1_FULLY_COMPOSED	NONE	NONE
B2-S010	B2	f82r	f82r.7	4	qokeey qoky ls cheey	P P P W	länger ansetzen -> Posten ansetzen -> Auslass -> Klarlauf	Setze laenger an, fuehre den Posten durch den Auslass und nimm den Klarlauf.	L2_CODEBOOK	ls	C04_S_PORT
B2-S011	B2	f82r	f82r.19	4	okain char okain qokeedy	P P P P	eine Portion zugeben -> daraus -> eine Portion zugeben -> länger ansetzen; Schluss	Gib der Klarflüssigkeit eine Portion zu, nimm daraus eine weitere Portion, setze länger an und schließe	L1_FULLY_COMPOSED	NONE	NONE
B2-S012	B2	f82r	f82r.19|f82r.23	8	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	P W P P P P P P	abziehen -> Klarlauf -> kurz bereithalten -> länger ansetzen -> Klarlauf abfuehren -> Sollmaß -> dieser Posten -> vollständig ansetzen; Schluss	Ziehe den Posten ab, nimm den Klarlauf, halte ihn kurz bereit, setze ihn laenger an, fuehre den Klarlauf ab, stelle das Sollmass ein, fuehre den Posten vollstaendig aus und schliesse.	L2_CODEBOOK	NONE	NONE
B2-S013	B2	f82r	f82r.23	1	lchedy	P	abführen; Schluss	Führe ab und schließe	L1_FULLY_COMPOSED	NONE	NONE
B2-S014	B2	f82r	f82r.23	1	lar	P	von dort abfuehren	Fuehre von dort ab.	L1_FULLY_COMPOSED	NONE	NONE
B2-S015	B2	f82r	f82r.26	2	tshey qokeedy	P P	Klarlauf -> länger ansetzen; Schluss	Halte den vorigen Ablauf geschlossen, gib den Klarlauf zu, setze laenger an und schliesse.	L1_FULLY_COMPOSED	tshey	C01_LOCAL_FRAME
B2-S016	B2	f82r	f82r.26|f82r.27	8	cheal lchedar ches aiin oteey qokaiin okey pchedy	P P W P P P P P	dorthin -> von dort abführen -> teilen -> Sollmaß -> langer Folgeposten -> auf Sollmaß einstellen -> kurz ansetzen -> einführen; Schluss	Führe ihn dorthin und von dort ab, teile gleich, stelle das Sollmaß ein, nimm den langen Folgeposten, setze kurz an, führe ein und schließe	L2_CODEBOOK	NONE	NONE
B2-S017	B2	f82r	f82r.27	2	rsheal daldy	P P	kurz am Ziel ruhen -> Nebenoeffnung; Schluss	Lass den Posten kurz am Ziel ruhen, schliesse die Nebenöffnung und beende den Schritt.	L1_FULLY_COMPOSED	rsheal|daldy	C01_LOCAL_FRAME|C02_TERMINAL_D_FRAME
B2-S018	B2	f82r	f82r.27	1	qokeedy	P	länger ansetzen; Schluss	Setze länger an und schließe	L1_FULLY_COMPOSED	NONE	NONE
B2-S019	B2	f82r	f82r.27	1	rshedy	W	Waschgang	Führe den Waschgang aus und schließe.	L2_CODEBOOK	NONE	NONE
B2-S020	B2	f82r	f82r.27	1	qoteedy	P	lange Folge; Schluss	Nimm die lange Folge und schließe	L1_FULLY_COMPOSED	NONE	NONE
B2-S021	B2	f82r	f82r.27	1	qokeedy	P	länger ansetzen; Schluss	Setze länger an und schließe	L1_FULLY_COMPOSED	NONE	NONE
B2-S022	B2	f82r	f82r.27	1	lochedy	P	Rest abfuehren; Schluss	Führe den Rest ab und schließe	L1_FULLY_COMPOSED	lochedy	C03_O_RESIDUAL_BRANCH|C02_TERMINAL_D_FRAME
B3-S001	B3	f83r	f83r.3	1	olkeedy	P	länger sammeln; Schluss	Sammle länger und schließe	L1_FULLY_COMPOSED	NONE	NONE
B3-S002	B3	f83r	f83r.3	2	qotal chkeedy	P P	danach dorthin -> länger wärmen; Schluss	Führe danach dorthin, wärme länger und schließe	L1_FULLY_COMPOSED	NONE	NONE
B3-S003	B3	f83r	f83r.3	4	chey daiin chey lchedy	P P P P	dieser Posten -> Sollmaß -> dieser Posten -> abführen; Schluss	Nimm den aktuellen Posten nach Sollmaß, führe ihn ab und schließe	L1_FULLY_COMPOSED	NONE	NONE
B3-S004	B3	f83r	f83r.3	3	qokaiin qotal dar	P P P	auf Sollmaß einstellen -> danach dorthin -> daraus	Stelle das Sollmaß ein, führe danach dorthin und nimm daraus	L1_FULLY_COMPOSED	NONE	NONE
B3-S005	B3	f83r	f83r.6	1	schedy	P	umsetzen; Schluss	Setze die entnommene Sollmaßportion um und schließe	L1_FULLY_COMPOSED	NONE	NONE
B3-S006	B3	f83r	f83r.6	3	chedchy qokal olchedy	P P P	umsetzen -> dort ansetzen -> fortsetzen; Schluss	Setze dorthin um, führe weiter und schließe	L1_FULLY_COMPOSED	NONE	NONE
B3-S007	B3	f83r	f83r.6	3	qokaiin chedy qokeedy	P P P	auf Sollmaß einstellen -> umsetzen -> länger ansetzen; Schluss	Stelle das Sollmaß ein, setze um, setze länger an und schließe	L1_FULLY_COMPOSED	NONE	NONE
B3-S008	B3	f83r	f83r.6	1	lchedy	P	abführen; Schluss	Führe ab und schließe	L1_FULLY_COMPOSED	NONE	NONE
B3-S009	B3	f83r	f83r.6	1	qoky	P	Posten ansetzen	Setze den Posten an	L1_FULLY_COMPOSED	NONE	NONE
B3-S010	B3	f83r	f83r.8	2	pchedal otedy	P P	Einlass -> kurze Folge; Schluss	Führe den angesetzten Posten am Einlass zu, nimm die kurze Folge und schließe	L1_FULLY_COMPOSED	NONE	NONE
B3-S011	B3	f83r	f83r.8	4	shecthedchy qoky chedy chary	P P P P	bereiten Posten umsetzen -> Posten ansetzen -> umsetzen -> daraus	Setze den bereiten Posten um, setze ihn an, setze erneut um und nimm daraus den folgenden Posten.	L1_FULLY_COMPOSED	NONE	NONE
B3-S012	B3	f83r	f83r.11	2	sor shedy	P P	Ansatz -> absetzen; Schluss	Lass den aufgestrichenen und abgekühlten Ansatz absetzen und schließe	L1_FULLY_COMPOSED	NONE	NONE
B3-S013	B3	f83r	f83r.11	4	qokaiin chkain shcthey qokedy	P P P P	auf Sollmaß einstellen -> eine Portion -> kurz bereithalten -> kurz ansetzen; Schluss	Stelle das Sollmaß ein, nimm eine Portion, halte kurz bereit, setze kurz an und schließe	L1_FULLY_COMPOSED	NONE	NONE
B3-S014	B3	f83r	f83r.11	2	okair sheedy	P P	Wasser einlassen -> länger absetzen; Schluss	Lass Wasser ein, lass länger absetzen und schließe	L1_FULLY_COMPOSED	NONE	NONE
B3-S015	B3	f83r	f83r.11	1	lchedy	P	abführen; Schluss	Führe ab und schließe	L1_FULLY_COMPOSED	NONE	NONE
B3-S016	B3	f83r	f83r.11|f83r.14	2	lo qokchedy	P P	abfuehren -> umsetzen; Schluss	Fuehre ab, setze den Posten um und schliesse.	L1_FULLY_COMPOSED	lo	C03_O_RESIDUAL_BRANCH
B3-S017	B3	f83r	f83r.14	1	qokeedy	P	länger ansetzen; Schluss	Setze länger an und schließe	L1_FULLY_COMPOSED	NONE	NONE
B3-S018	B3	f83r	f83r.14	1	shedy	P	absetzen; Schluss	Lass absetzen und schließe	L1_FULLY_COMPOSED	NONE	NONE
B3-S019	B3	f83r	f83r.14	1	qokshedy	P	absetzen; Schluss	Lass absetzen und schließe	L1_FULLY_COMPOSED	NONE	NONE
B3-S020	B3	f83r	f83r.14	2	dal lchedy	P P	dorthin -> abführen; Schluss	Führe dorthin, führe ab und schließe	L1_FULLY_COMPOSED	NONE	NONE
B3-S021	B3	f83r	f83r.14|f83r.15	11	qokaiin shcthy dal sy saiin shedal shecthy chey tal shcthy dalchdy	P P P P P P P P P P P	auf Sollmaß einstellen -> bereit -> dorthin -> dieser Posten -> Sollmaß -> dort absetzen -> kurz bereit halten -> dieser Posten -> dorthin -> bereit -> dorthin umsetzen; Schluss	Stelle das Sollmass ein, halte bereit, fuehre dorthin, lass dort absetzen, halte den Posten kurz bereit, fuehre ihn erneut dorthin, setze um und schliesse.	L1_FULLY_COMPOSED	NONE	NONE
B3-S022	B3	f83r	f83r.15	1	qotchedy	P	Folgeumsetzung; Schluss	Führe die Folgeumsetzung aus und schließe	L1_FULLY_COMPOSED	NONE	NONE
B3-S023	B3	f83r	f83r.15	1	lchedy	P	abführen; Schluss	Führe ab und schließe	L1_FULLY_COMPOSED	NONE	NONE
B3-S024	B3	f83r	f83r.16	1	tchedy	P	umsetzen; Schluss	Setze um und schließe	L1_FULLY_COMPOSED	NONE	NONE
B3-S025	B3	f83r	f83r.16	1	qokchdy	P	umsetzen; Schluss	Setze um und schließe	L1_FULLY_COMPOSED	NONE	NONE
B3-S026	B3	f83r	f83r.16|f83r.20	7	cheedar chldaiin chedy qokain checthy chealror solkeedy	P P P P P P P	von dort umsetzen -> Absetzmaß -> umsetzen -> eine Portion zugeben -> bereit -> Ansatz von dort zur Zielstelle -> länger sammeln; Schluss	Setze von dort um, warte bis zum Absetzmass, setze erneut um, gib eine Portion zu, halte bereit, fuehre den Ansatz von dort zur Zielstelle, sammle laenger und schliesse.	L1_FULLY_COMPOSED	chealror	C01_LOCAL_FRAME
B3-S027	B3	f83r	f83r.20	1	qoteedy	P	lange Folge; Schluss	Nimm die lange Folge und schließe	L1_FULLY_COMPOSED	NONE	NONE
B3-S028	B3	f83r	f83r.20	2	qokeey qokedy	P P	länger ansetzen -> kurz ansetzen; Schluss	Setze länger, dann kurz an und schließe	L1_FULLY_COMPOSED	NONE	NONE
B3-S029	B3	f83r	f83r.20	3	sol cheeety qokedy	P P P	fortsetzen -> ganzen Teilposten -> kurz ansetzen; Schluss	Fuehre weiter, nimm den ganzen Teilposten, setze kurz an und schliesse.	L1_FULLY_COMPOSED	cheeety	NONE
B3-S030	B3	f83r	f83r.20|f83r.22	4	qoky saiin schedair otchedy	P P P P	Posten ansetzen -> Sollmaß -> Wasser weiterleiten -> Folgeumsetzung; Schluss	Setze den Posten nach Sollmaß an, leite Wasser weiter, führe die Folgeumsetzung aus und schließe	L1_FULLY_COMPOSED	NONE	NONE
B3-S031	B3	f83r	f83r.22	1	qokeedy	P	länger ansetzen; Schluss	Setze länger an und schließe	L1_FULLY_COMPOSED	NONE	NONE
B3-S032	B3	f83r	f83r.22	5	chedain chedy qotedaiin otaiin otedy	P P P P P	Portion umsetzen -> umsetzen -> kurzes Folgemass -> Folgemaß -> kurze Folge; Schluss	Setze eine Portion um, stelle ein kurzes Folgemass und danach das Folgemass ein, fuehre die kurze Folge aus und schliesse.	L1_FULLY_COMPOSED	NONE	NONE
B3-S033	B3	f83r	f83r.22	1	ldy	P	abziehen; Ende	Ziehe ab und schließe	L1_FULLY_COMPOSED	ldy	C02_TERMINAL_D_FRAME
B3-S034	B3	f83r	f83r.24	6	soiiin checthy chety otaiin olsaly shedy	P P P P P P	Sollstufe -> bereit -> Teil abtrennen -> Folgemaß -> untere Zielstelle -> absetzen; Schluss	Bringe auf Sollstufe, halte bereit, trenne einen Teil ab, stelle das Folgemass ein, fuehre zur unteren Zielstelle, lass absetzen und schliesse.	L1_FULLY_COMPOSED	NONE	NONE
B4-S001	B4	f83r	f83r.25	1	qokeedy	P	länger ansetzen; Schluss	Setze länger an und schließe	L1_FULLY_COMPOSED	NONE	NONE
B4-S002	B4	f83r	f83r.25	3	qolchey qokeey qokedy	P P P	diesen Posten weiterfuehren -> länger ansetzen -> kurz ansetzen; Schluss	Fuehre diesen Posten weiter, setze ihn laenger und dann kurz an und schliesse.	L1_FULLY_COMPOSED	NONE	NONE
B4-S003	B4	f83r	f83r.25|f83r.26	7	chedy otal otchey qokeey qoky tol shedy	P P P P P P P	umsetzen -> danach dorthin -> Folgeposten -> länger ansetzen -> Posten ansetzen -> fortsetzen -> absetzen; Schluss	Setze um, führe danach dorthin, wähle den Folgeposten, setze länger an, führe weiter, lass absetzen und schließe	L1_FULLY_COMPOSED	NONE	NONE
B4-S004	B4	f83r	f83r.26	1	qokylddy	W	befestigen	Befestige den Posten und schließe	L2_CODEBOOK	NONE	NONE
B4-S005	B4	f83r	f83r.27	3	dain chedy qokeedy	W P P	Tuch -> umsetzen -> länger ansetzen; Schluss	Lege das Tuch ein, setze um, setze länger an und schließe	L2_CODEBOOK	NONE	NONE
B4-S006	B4	f83r	f83r.27	1	shckhedy	P	seihen; Schluss	Seih und schließe	L1_FULLY_COMPOSED	NONE	NONE
B4-S007	B4	f83r	f83r.27	1	shckhedy	P	seihen; Schluss	Seih und schließe	L1_FULLY_COMPOSED	NONE	NONE
B4-S008	B4	f83r	f83r.28	4	saiin cheeky sheey qokedy	P P P P	Sollmaß -> länger wärmen -> laenger ruhen -> kurz ansetzen; Schluss	Stelle das Sollmass ein, waerme laenger, lass laenger ruhen, setze kurz an und schliesse.	L1_FULLY_COMPOSED	sheey	NONE
B4-S009	B4	f83r	f83r.28	1	shedy	P	absetzen; Schluss	Lass absetzen und schließe	L1_FULLY_COMPOSED	NONE	NONE
B4-S010	B4	f83r	f83r.28	1	oldy	P	fortsetzen; Schluss	Führe weiter und schließe	L1_FULLY_COMPOSED	NONE	NONE
B4-S011	B4	f83r	f83r.35|f83r.37	7	saiin cheky okeeol okain chdy sol lkedy	P P P P P P W	Sollmaß -> kurz wärmen -> länger fortführen -> eine Portion zugeben -> umsetzen -> fortsetzen -> nachwaschen	Stelle das Sollmaß ein, wärme kurz, führe länger fort, gib eine Portion zu, setze um, führe weiter, wasche nach und schließe	L2_CODEBOOK	NONE	NONE
B4-S012	B4	f83r	f83r.37	1	lchedy	P	abführen; Schluss	Führe ab und schließe	L1_FULLY_COMPOSED	NONE	NONE
B4-S013	B4	f83r	f83r.37	2	qokol shedy	P P	Fortsetzung einsetzen -> absetzen; Schluss	Setze die Fortsetzung ein, lass absetzen und schließe	L1_FULLY_COMPOSED	NONE	NONE
B4-S014	B4	f83r	f83r.38	4	or chey qockhey dairydy	P P P P	Ansatz -> dieser Posten -> kurzen Durchlauf ansetzen -> Wasserlauf schliessen; Schluss	Setze den Ansatz in einen kurzen Durchlauf, schliesse den Wasserlauf und beende den Schritt.	L1_FULLY_COMPOSED	dairydy	C02_TERMINAL_D_FRAME
B4-S015	B4	f83r	f83r.39|f83r.41	6	qokain shey kain chckhal solkey lchedy	P W P P P P	eine Portion zugeben -> Klarlauf -> eine Portion -> zur Zielstelle durchleiten -> kurz sammeln -> abführen; Schluss	Gib eine Portion zu, nimm den Klarlauf, leite die Portion zur Zielstelle, sammle kurz, fuehre ab und schliesse.	L2_CODEBOOK	NONE	NONE
