page	locus	line_mode	v61_reader_mode	token_count	action_positions	v60_verb_occurrences	v61_verb_occurrences	v60_exact_span_verbs	v60_one_candidate_without_span	v60_multiple_candidates_without_span	v60_zero_candidate_verbs	v60_extra_lemmas	v61_extra_lemmas	v61_changed	v61_status
f75r	f75r.3	MIXED_RECORD	HYBRID_ARBEIT_UND_ZUSTAND	9	2	6	4	0	4	0	2	bringen|trocknen	NONE	1	ALL_VERBS_EXACT_ACTION_ORDINAL
f76v	f76v.10	MIXED_RECORD	HYBRID_ARBEIT_UND_ZUSTAND	10	3	3	3	3	0	0	0	NONE	NONE	0	ALL_VERBS_EXACT_ACTION_ORDINAL
f77r	f77r.38	ACTION_SEQUENCE	ARBEITSGANG	9	3	3	3	3	0	0	0	NONE	NONE	0	ALL_VERBS_EXACT_ACTION_ORDINAL
f77v	f77v.7	ACTION_SEQUENCE	ARBEITSGANG	11	4	4	4	4	0	0	0	NONE	NONE	0	ALL_VERBS_EXACT_ACTION_ORDINAL
f7r	f7r.2	MIXED_RECORD	HYBRID_ARBEIT_UND_ZUSTAND	9	2	4	4	4	0	0	0	NONE	NONE	0	ALL_VERBS_EXACT_ACTION_ORDINAL
f80r	f80r.17	ACTION_SEQUENCE	ARBEITSGANG	13	5	12	12	0	3	9	0	NONE	NONE	1	ALL_VERBS_EXACT_ACTION_ORDINAL
f80v	f80v.27	NOMINAL_REGISTER	ZUSTANDSLISTE	10	0	0	0	0	0	0	0	NONE	NONE	1	ALL_VERBS_EXACT_ACTION_ORDINAL
f80v	f80v.35	ACTION_SEQUENCE	ARBEITSGANG	12	2	2	2	2	0	0	0	NONE	NONE	0	ALL_VERBS_EXACT_ACTION_ORDINAL
f83v	f83v.12	MIXED_RECORD	HYBRID_ARBEIT_UND_ZUSTAND	11	1	1	1	1	0	0	0	NONE	NONE	0	ALL_VERBS_EXACT_ACTION_ORDINAL
f85r2	f85r2.5	NOMINAL_REGISTER	ZUSTANDSLISTE	3	0	0	0	0	0	0	0	NONE	NONE	1	ALL_VERBS_EXACT_ACTION_ORDINAL
f86v3	f86v3.13	MIXED_RECORD	HYBRID_ARBEIT_UND_ZUSTAND	11	2	4	4	4	0	0	0	NONE	NONE	0	ALL_VERBS_EXACT_ACTION_ORDINAL
f86v3	f86v3.18	MIXED_RECORD	HYBRID_ARBEIT_UND_ZUSTAND	7	1	1	1	1	0	0	0	NONE	NONE	0	ALL_VERBS_EXACT_ACTION_ORDINAL
f86v3	f86v3.19	ACTION_SEQUENCE	ARBEITSGANG	10	3	6	6	6	0	0	0	NONE	NONE	0	ALL_VERBS_EXACT_ACTION_ORDINAL
f86v5	f86v5.2	ACTION_SEQUENCE	ARBEITSGANG	12	2	2	2	2	0	0	0	NONE	NONE	0	ALL_VERBS_EXACT_ACTION_ORDINAL
f86v5	f86v5.24	MIXED_RECORD	HYBRID_ARBEIT_UND_ZUSTAND	9	1	1	1	1	0	0	0	NONE	NONE	0	ALL_VERBS_EXACT_ACTION_ORDINAL
f86v5	f86v5.4	MIXED_RECORD	HYBRID_ARBEIT_UND_ZUSTAND	11	1	1	1	1	0	0	0	NONE	NONE	0	ALL_VERBS_EXACT_ACTION_ORDINAL
f86v6	f86v6.25	ACTION_SEQUENCE	ARBEITSGANG	10	3	3	3	3	0	0	0	NONE	NONE	0	ALL_VERBS_EXACT_ACTION_ORDINAL
f86v6	f86v6.31	MIXED_RECORD	HYBRID_ARBEIT_UND_ZUSTAND	11	1	2	2	2	0	0	0	NONE	NONE	0	ALL_VERBS_EXACT_ACTION_ORDINAL
f86v6	f86v6.4	QUANTITY_LABEL	MENGEN_UND_ZUSTANDSLISTE	13	0	0	0	0	0	0	0	NONE	NONE	0	ALL_VERBS_EXACT_ACTION_ORDINAL
f86v6	f86v6.5	NOMINAL_REGISTER	ZUSTANDSLISTE	12	0	0	0	0	0	0	0	NONE	NONE	1	ALL_VERBS_EXACT_ACTION_ORDINAL
f88r	f88r.19	ACTION_SEQUENCE	ARBEITSGANG	8	4	4	4	4	0	0	0	NONE	NONE	0	ALL_VERBS_EXACT_ACTION_ORDINAL
f8r	f8r.15	MIXED_RECORD	HYBRID_ARBEIT_UND_ZUSTAND	10	1	1	1	1	0	0	0	NONE	NONE	0	ALL_VERBS_EXACT_ACTION_ORDINAL
f95v1	f95v1.7	NOMINAL_REGISTER	ZUSTANDSLISTE	11	0	0	0	0	0	0	0	NONE	NONE	0	ALL_VERBS_EXACT_ACTION_ORDINAL
