page	locus	occurrence_index	char_start	char_end	matched_text	canonical_lemma	candidate_action_ordinals	candidate_action_surfaces	provenance_status
f115r	f115r.23	1	45	53	trocknen	trocknen	1	dchey	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f115r	f115r.23	2	94	102	bereiten	bereiten	3	qokeod	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f115r	f115r.23	3	107	118	abschließen	abschließen	3	qokeod	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f115r	f115r.23	4	144	151	erhitze	erhitzen	5	qokcho	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f115r	f115r.23	5	153	160	trockne	trocknen	5	qokcho	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f115r	f115r.23	6	165	173	setze an	ansetzen	5	qokcho	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f116r	f116r.12	1	15	21	nehmen	nehmen	1	qoin	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f116r	f116r.12	2	311	319	trocknen	trocknen	9	olchdy	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f23r	f23r.6	1	91	99	erhitzen	erhitzen	5	yky	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f23r	f23r.6	2	272	282	herstellen	herstellen	11	ytcho	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f23r	f23r.6	3	311	319	abmessen	abmessen	12	ldals	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f24v	f24v.15	1	45	53	trocknen	trocknen	1	dchey	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f26r	f26r.2	1	161	169	erhitzen	erhitzen	4	ykecthey	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f26r	f26r.2	2	174	185	abschließen	abschließen	4	ykecthey	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f26r	f26r.2	3	246	254	abkühlen	abkühlen	6	ytedy	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f26r	f26r.2	4	304	312	trocknen	trocknen	8	checthedy	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f27r	f27r.9	1	45	53	trocknen	trocknen	1	dchey	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f30r	f30r.9	1	45	53	trocknen	trocknen	1	dchey	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f30r	f30r.9	2	77	83	nehmen	nehmen	2	qochar	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f30r	f30r.9	3	161	169	trocknen	trocknen	5	chcthey	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f30r	f30r.9	4	244	252	erhitzen	erhitzen	7	cheky	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f49r	f49r.16	1	14	20	nehmen	nehmen	1	qocho	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f49r	f49r.16	2	99	107	abkühlen	abkühlen	4	qotchody	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f49r	f49r.16	3	129	137	trocknen	trocknen	4	qotchody	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f49r	f49r.16	4	146	154	ansetzen	ansetzen	4	qotchody	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f56r	f56r.6	1	36	44	bereiten	bereiten	1	ykcho	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f75r	f75r.3	1	35	43	trocknen	trocknen	NONE	NONE	ZERO_ACTION_ORDINAL_CANDIDATE
f75r	f75r.3	2	109	115	nehmen	nehmen	4	qey	ONE_LEXICAL_CANDIDATE_NO_STORED_SPAN
f75r	f75r.3	3	134	141	bringen	bringen	NONE	NONE	ZERO_ACTION_ORDINAL_CANDIDATE
f75r	f75r.3	4	155	165	einweichen	einweichen	6	sheeky	ONE_LEXICAL_CANDIDATE_NO_STORED_SPAN
f75r	f75r.3	5	167	175	erhitzen	erhitzen	6	sheeky	ONE_LEXICAL_CANDIDATE_NO_STORED_SPAN
f75r	f75r.3	6	180	191	abschließen	abschließen	6	sheeky	ONE_LEXICAL_CANDIDATE_NO_STORED_SPAN
f76v	f76v.10	1	30	38	abmessen	abmessen	1	cphdor	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f76v	f76v.10	2	121	127	nehmen	nehmen	3	qopchdy	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f76v	f76v.10	3	180	190	einweichen	einweichen	4	dshedy	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f77r	f77r.38	1	75	81	nehmen	nehmen	3	qoeedy	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f77r	f77r.38	2	182	189	zugeben	zugeben	6	qol	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f77r	f77r.38	3	264	271	zugeben	zugeben	9	qol	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f77v	f77v.7	1	85	92	zugeben	zugeben	2	qolsheedy	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f77v	f77v.7	2	102	108	nehmen	nehmen	3	qy	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f77v	f77v.7	3	155	163	trocknen	trocknen	5	ycheedy	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f77v	f77v.7	4	369	379	hinzugeben	hinzugeben	11	qolky	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f7r	f7r.2	1	23	31	trocknen	trocknen	1	dcheey	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f7r	f7r.2	2	36	47	abschließen	abschließen	1	dcheey	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f7r	f7r.2	3	142	150	abmessen	abmessen	5	dold	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f7r	f7r.2	4	155	166	abschließen	abschließen	5	dold	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f80r	f80r.17	1	87	97	einweichen	einweichen	3|6|11	sheky|sheky|sheky	MULTIPLE_LEXICAL_CANDIDATES_NO_STORED_SPAN
f80r	f80r.17	2	99	107	erhitzen	erhitzen	3|6|11	sheky|sheky|sheky	MULTIPLE_LEXICAL_CANDIDATES_NO_STORED_SPAN
f80r	f80r.17	3	112	123	abschließen	abschließen	3|6|11	sheky|sheky|sheky	MULTIPLE_LEXICAL_CANDIDATES_NO_STORED_SPAN
f80r	f80r.17	4	236	246	einweichen	einweichen	3|6|11	sheky|sheky|sheky	MULTIPLE_LEXICAL_CANDIDATES_NO_STORED_SPAN
f80r	f80r.17	5	248	256	erhitzen	erhitzen	3|6|11	sheky|sheky|sheky	MULTIPLE_LEXICAL_CANDIDATES_NO_STORED_SPAN
f80r	f80r.17	6	261	272	abschließen	abschließen	3|6|11	sheky|sheky|sheky	MULTIPLE_LEXICAL_CANDIDATES_NO_STORED_SPAN
f80r	f80r.17	7	301	309	trocknen	trocknen	7	chetain	ONE_LEXICAL_CANDIDATE_NO_STORED_SPAN
f80r	f80r.17	8	331	338	bringen	bringen	7	chetain	ONE_LEXICAL_CANDIDATE_NO_STORED_SPAN
f80r	f80r.17	9	426	436	einweichen	einweichen	3|6|11	sheky|sheky|sheky	MULTIPLE_LEXICAL_CANDIDATES_NO_STORED_SPAN
f80r	f80r.17	10	438	446	erhitzen	erhitzen	3|6|11	sheky|sheky|sheky	MULTIPLE_LEXICAL_CANDIDATES_NO_STORED_SPAN
f80r	f80r.17	11	451	462	abschließen	abschließen	3|6|11	sheky|sheky|sheky	MULTIPLE_LEXICAL_CANDIDATES_NO_STORED_SPAN
f80r	f80r.17	12	524	532	abmessen	abmessen	13	da	ONE_LEXICAL_CANDIDATE_NO_STORED_SPAN
f80v	f80v.35	1	123	130	zugeben	zugeben	5	qol	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f80v	f80v.35	2	144	151	zugeben	zugeben	6	qol	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f83v	f83v.12	1	133	141	abmessen	abmessen	4	lldar	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f86v3	f86v3.13	1	79	87	abkühlen	abkühlen	3	tcheody	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f86v3	f86v3.13	2	109	117	trocknen	trocknen	3	tcheody	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f86v3	f86v3.13	3	122	130	ansetzen	ansetzen	3	tcheody	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f86v3	f86v3.13	4	365	373	erhitzen	erhitzen	10	qokady	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f86v3	f86v3.18	1	120	124	nimm	nehmen	4	qopchol	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f86v3	f86v3.19	1	45	53	trocknen	trocknen	1	dchey	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f86v3	f86v3.19	2	115	123	erhitzen	erhitzen	3	olkechy	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f86v3	f86v3.19	3	125	133	trocknen	trocknen	3	olkechy	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f86v3	f86v3.19	4	138	149	abschließen	abschließen	3	olkechy	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f86v3	f86v3.19	5	151	155	nimm	nehmen	4	qokam	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f86v3	f86v3.19	6	168	175	erhitze	erhitzen	4	qokam	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f86v5	f86v5.2	1	193	197	nimm	nehmen	7	qopchol	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f86v5	f86v5.2	2	275	307	kühle hiervon den Drogenstoff ab	abkühlen	10	ytol	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f86v5	f86v5.24	1	39	46	erhitze	erhitzen	3	ykain	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f86v5	f86v5.4	1	40	48	trocknen	trocknen	1	ypchesy	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f86v6	f86v6.25	1	20	28	abkühlen	abkühlen	1	yteedy	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f86v6	f86v6.25	2	139	147	abmessen	abmessen	4	qodar	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f86v6	f86v6.25	3	149	156	erhitze	erhitzen	5	ykaiin	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f86v6	f86v6.31	1	325	331	nehmen	nehmen	10	otytam	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f86v6	f86v6.31	2	343	349	kühlen	kühlen	10	otytam	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f88r	f88r.19	1	45	53	trocknen	trocknen	1	dchey	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f88r	f88r.19	2	155	162	zugeben	zugeben	4	qoekol	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f88r	f88r.19	3	199	206	zugeben	zugeben	5	qoekol	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f88r	f88r.19	4	241	248	zugeben	zugeben	6	qockhol	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
f8r	f8r.15	1	45	53	trocknen	trocknen	1	dchey	EXACT_RENDERER_SPAN_TO_ACTION_ORDINAL
