root	selected_minimal_value_de	register	atom_mention_count	event_count	page_count	surface_count	register_reading_guardrail_de
S	WÄHLEN	CELESTIAL	54	53	4	43	Himmelswert bleibt abstrakt; kein Stoff-/Wasserwort
S	WÄHLEN	HERBAL	48	47	9	37	sichtbarer Besitzer liefert den lokalen Gegenstand
S	WÄHLEN	PHARMA	50	48	3	26	sichtbarer Besitzer liefert den lokalen Gegenstand
S	WÄHLEN	SOURCE_SECTION_T	19	19	1	19	Textblock ist Besitzer; kein Objekt ergänzen
CHD	UMSETZEN	BIOLOGICAL	259	259	7	77	sichtbarer Besitzer liefert den lokalen Gegenstand
CHD	UMSETZEN	CELESTIAL	7	7	2	5	Himmelswert bleibt abstrakt; kein Stoff-/Wasserwort
CHD	UMSETZEN	HERBAL	29	29	4	23	sichtbarer Besitzer liefert den lokalen Gegenstand
CHD	UMSETZEN	PHARMA	5	5	2	5	sichtbarer Besitzer liefert den lokalen Gegenstand
CHD	UMSETZEN	SOURCE_SECTION_T	1	1	1	1	Textblock ist Besitzer; kein Objekt ergänzen
OR	EINHEIT	BIOLOGICAL	80	79	7	45	sichtbarer Besitzer liefert den lokalen Gegenstand
OR	EINHEIT	CELESTIAL	30	30	4	27	Himmelswert bleibt abstrakt; kein Stoff-/Wasserwort
OR	EINHEIT	HERBAL	97	95	9	52	sichtbarer Besitzer liefert den lokalen Gegenstand
OR	EINHEIT	PHARMA	48	47	3	31	sichtbarer Besitzer liefert den lokalen Gegenstand
OR	EINHEIT	SOURCE_SECTION_T	11	11	1	6	Textblock ist Besitzer; kein Objekt ergänzen
L	VERBINDUNG	BIOLOGICAL	220	218	7	96	sichtbarer Besitzer liefert den lokalen Gegenstand
L	VERBINDUNG	CELESTIAL	11	11	4	9	Himmelswert bleibt abstrakt; kein Stoff-/Wasserwort
L	VERBINDUNG	HERBAL	10	10	5	10	sichtbarer Besitzer liefert den lokalen Gegenstand
L	VERBINDUNG	PHARMA	27	27	3	17	sichtbarer Besitzer liefert den lokalen Gegenstand
L	VERBINDUNG	SOURCE_SECTION_T	2	2	1	2	Textblock ist Besitzer; kein Objekt ergänzen
T	EINSTELLEN	BIOLOGICAL	106	105	7	66	sichtbarer Besitzer liefert den lokalen Gegenstand
T	EINSTELLEN	CELESTIAL	38	38	4	37	Himmelswert bleibt abstrakt; kein Stoff-/Wasserwort
T	EINSTELLEN	HERBAL	103	103	9	73	sichtbarer Besitzer liefert den lokalen Gegenstand
T	EINSTELLEN	PHARMA	22	22	3	20	sichtbarer Besitzer liefert den lokalen Gegenstand
T	EINSTELLEN	SOURCE_SECTION_T	27	27	1	23	Textblock ist Besitzer; kein Objekt ergänzen
AIN	ANTEIL	BIOLOGICAL	160	160	7	30	sichtbarer Besitzer liefert den lokalen Gegenstand
AIN	ANTEIL	CELESTIAL	8	8	2	7	Himmelswert bleibt abstrakt; kein Stoff-/Wasserwort
AIN	ANTEIL	HERBAL	39	39	7	21	sichtbarer Besitzer liefert den lokalen Gegenstand
AIN	ANTEIL	PHARMA	18	18	3	14	sichtbarer Besitzer liefert den lokalen Gegenstand
AIN	ANTEIL	SOURCE_SECTION_T	15	15	1	10	Textblock ist Besitzer; kein Objekt ergänzen
R	MARKIEREN	BIOLOGICAL	61	61	7	32	sichtbarer Besitzer liefert den lokalen Gegenstand
R	MARKIEREN	CELESTIAL	14	14	4	10	Himmelswert bleibt abstrakt; kein Stoff-/Wasserwort
R	MARKIEREN	HERBAL	14	14	7	10	sichtbarer Besitzer liefert den lokalen Gegenstand
R	MARKIEREN	PHARMA	19	19	3	9	sichtbarer Besitzer liefert den lokalen Gegenstand
R	MARKIEREN	SOURCE_SECTION_T	6	6	1	6	Textblock ist Besitzer; kein Objekt ergänzen
P	EINSETZEN	BIOLOGICAL	84	84	7	63	sichtbarer Besitzer liefert den lokalen Gegenstand
P	EINSETZEN	CELESTIAL	15	15	4	15	Himmelswert bleibt abstrakt; kein Stoff-/Wasserwort
P	EINSETZEN	HERBAL	33	33	9	32	sichtbarer Besitzer liefert den lokalen Gegenstand
P	EINSETZEN	PHARMA	17	17	3	17	sichtbarer Besitzer liefert den lokalen Gegenstand
P	EINSETZEN	SOURCE_SECTION_T	11	11	1	11	Textblock ist Besitzer; kein Objekt ergänzen
AIR	LAUF	BIOLOGICAL	12	12	6	11	sichtbarer Besitzer liefert den lokalen Gegenstand
AIR	LAUF	CELESTIAL	6	6	2	3	Himmelswert bleibt abstrakt; kein Stoff-/Wasserwort
AIR	LAUF	HERBAL	10	10	5	7	sichtbarer Besitzer liefert den lokalen Gegenstand
AIR	LAUF	PHARMA	12	12	2	8	sichtbarer Besitzer liefert den lokalen Gegenstand
AIR	LAUF	SOURCE_SECTION_T	3	3	1	3	Textblock ist Besitzer; kein Objekt ergänzen
