root_a	value_a_de	root_b	value_b_de	same_structural_category	shared_exact_substitution_frame_count	weighted_frame_overlap_event_count	weighted_frame_jaccard	shared_frame_examples	shared_frame_page_union
Y	POSTEN	AR	AUSGANG	NO	35	167	0.094510	CH+E+O+{SLOT} | CH+E+{SLOT} | CH+K+{SLOT} | CH+O+CH+T+{SLOT} | CH+P+{SLOT} | CH+T+{SLOT} | CHD+{SLOT} | D_ADDR+CH+{SLOT}	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
AL	ZIELORT	AIN	ANTEIL	NO	18	163	0.379953	CH+K+{SLOT} | CHD+{SLOT} | K+{SLOT} | L+{SLOT} | OK+{SLOT} | OL+K+{SLOT} | OL+{SLOT} | OR+{SLOT}	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
AR	AUSGANG	AIIN	WERT	NO	23	162	0.273187	CH+K+{SLOT} | CH+T+{SLOT} | CHD+{SLOT} | D_ADDR+CH+{SLOT} | K+{SLOT} | L+K+{SLOT} | L+{SLOT} | O+D_ADDR+{SLOT}	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
AL	ZIELORT	AR	AUSGANG	YES	32	150	0.285714	CH+E+O+{SLOT} | CH+K+{SLOT} | CH+P+{SLOT} | CH+T+{SLOT} | CHD+{SLOT} | D_ADDR+CH+{SLOT} | K+{SLOT} | L+CHD+{SLOT}	f10r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
OT	DANACH	SH	HALTEN	NO	27	148	0.174941	O+{SLOT}+OR | S+{SLOT}+E+OL | {SLOT} | {SLOT}+AIIN | {SLOT}+AL | {SLOT}+AR | {SLOT}+E+AIIN | {SLOT}+E+AR	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
OL	FORTSETZEN	OR	EINHEIT	NO	35	146	0.180693	AL+{SLOT} | CARRIER_Q+O+{SLOT} | CH+K+E+{SLOT} | CH+K+{SLOT} | CH+P+{SLOT} | CH+T+{SLOT} | CHD+{SLOT} | D_ADDR+{SLOT}	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
OL	FORTSETZEN	AR	AUSGANG	NO	29	142	0.163406	CH+K+{SLOT} | CH+P+{SLOT} | CH+T+{SLOT} | CHD+{SLOT} | D_ADDR+{SLOT} | K+{SLOT} | L+{SLOT} | O+P+{SLOT}	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
AR	AUSGANG	AIN	ANTEIL	NO	19	141	0.334123	CH+K+{SLOT} | CHD+Y+K+{SLOT} | CHD+{SLOT} | K+{SLOT} | L+K+{SLOT} | L+{SLOT} | O+D_ADDR+{SLOT} | O+{SLOT}	f10r|f11r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
Y	POSTEN	OR	EINHEIT	YES	38	137	0.078736	AL+{SLOT} | CH+K+E+{SLOT} | CH+K+{SLOT} | CH+P+{SLOT} | CH+T+{SLOT} | CHD+{SLOT} | D_ADDR+CH+{SLOT} | D_ADDR+{SLOT}	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
AL	ZIELORT	OR	EINHEIT	NO	34	131	0.268994	AL+{SLOT} | CH+K+{SLOT} | CH+P+{SLOT} | CH+T+{SLOT} | CH+{SLOT} | CHD+{SLOT} | D_ADDR+CH+{SLOT} | K+CH+{SLOT}	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
K	GEBEN	T	EINSTELLEN	YES	53	130	0.197568	CH+CH+{SLOT}+D_ADDR+Y | CH+CH+{SLOT}+E+Y | CH+{SLOT} | CH+{SLOT}+AIIN | CH+{SLOT}+AL | CH+{SLOT}+AR | CH+{SLOT}+E+OL | CH+{SLOT}+E+Y	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
AIIN	WERT	OR	EINHEIT	YES	27	128	0.224561	AL+{SLOT} | CARRIER_Q+O+{SLOT} | CH+K+{SLOT} | CH+T+{SLOT} | CH+{SLOT} | CHD+{SLOT} | D_ADDR+AR+{SLOT} | D_ADDR+CH+{SLOT}	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
OL	FORTSETZEN	AIN	ANTEIL	NO	16	127	0.158552	CARRIER_Q+O+{SLOT} | CH+K+{SLOT} | CHD+{SLOT} | K+{SLOT} | L+{SLOT} | O+{SLOT} | OK+{SLOT} | OL+{SLOT}	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
AR	AUSGANG	OR	EINHEIT	NO	26	109	0.227083	CH+K+{SLOT} | CH+P+{SLOT} | CH+T+{SLOT} | CHD+{SLOT} | D_ADDR+CH+{SLOT} | D_ADDR+{SLOT} | K+{SLOT} | L+{SLOT}	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
OK	SETZEN	S	WÄHLEN	YES	17	99	0.100917	O+{SLOT}+AIN | {SLOT} | {SLOT}+AIIN | {SLOT}+AIN | {SLOT}+AIR | {SLOT}+AL | {SLOT}+AL+DY | {SLOT}+AM_ADDR	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
OL	FORTSETZEN	L	VERBINDUNG	NO	26	99	0.115250	OT+CH+{SLOT} | Y+{SLOT} | {SLOT} | {SLOT}+AIIN | {SLOT}+AIN | {SLOT}+AL | {SLOT}+AR | {SLOT}+CH+Y	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
OR	EINHEIT	AIN	ANTEIL	YES	16	97	0.237164	CARRIER_Q+O+{SLOT} | CH+K+{SLOT} | CHD+{SLOT} | K+{SLOT} | L+{SLOT} | O+D_ADDR+{SLOT} | OK+{SLOT} | OL+{SLOT}	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
OK	SETZEN	K	GEBEN	YES	34	93	0.079284	OL+{SLOT}+Y | SH+E+{SLOT}+Y | {SLOT} | {SLOT}+AIIN | {SLOT}+AIN | {SLOT}+AIR | {SLOT}+AL | {SLOT}+AM_ADDR	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
OK	SETZEN	OL	FORTSETZEN	NO	19	92	0.067153	SH+E+{SLOT}+Y | SH+{SLOT} | {SLOT} | {SLOT}+AIIN | {SLOT}+AIN | {SLOT}+AL | {SLOT}+AL+Y | {SLOT}+AM_ADDR	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
OL	FORTSETZEN	S	WÄHLEN	NO	21	91	0.100775	AL+{SLOT} | CH+T+E+{SLOT} | E+{SLOT} | OK+EE+{SLOT} | OL+{SLOT} | OT+E+{SLOT} | OT+EE+{SLOT} | SH+E+AL+{SLOT}	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
Y	POSTEN	S	WÄHLEN	NO	31	91	0.049836	AL+{SLOT} | A_ADDR+{SLOT} | CH+AL+{SLOT} | CH+E+O+L+{SLOT} | CH+E+O+{SLOT} | CH+E+{SLOT} | CH+T+E+O+{SLOT} | CH+T+E+{SLOT}	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
CH	NEHMEN	SH	HALTEN	YES	45	86	0.061960	D_ADDR+{SLOT}+OR | K+{SLOT}+E+Y | L+{SLOT} | L+{SLOT}+EE+D_ADDR+Y | L+{SLOT}+L | L+{SLOT}+O | O+{SLOT}+E+Y | OK+{SLOT}	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
OK	SETZEN	CHD	UMSETZEN	YES	12	86	0.086957	T+{SLOT}+Y | Y+T+{SLOT}+Y | {SLOT} | {SLOT}+AIIN | {SLOT}+AIN | {SLOT}+AIR | {SLOT}+AL | {SLOT}+AM_ADDR	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
OT	DANACH	K	GEBEN	NO	25	82	0.106080	CH+{SLOT}+AM_ADDR | CH+{SLOT}+E+Y | CH+{SLOT}+EE+Y | CH+{SLOT}+OL | CH+{SLOT}+Y | {SLOT} | {SLOT}+AIIN | {SLOT}+AIN	f10r|f11r|f13r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
SH	HALTEN	K	GEBEN	YES	30	79	0.075670	L+{SLOT}+E+DY | L+{SLOT}+E+Y | L+{SLOT}+EE+D_ADDR+Y | L+{SLOT}+EE+Y | OL+{SLOT}+E+DY | OL+{SLOT}+E+Y | OL+{SLOT}+EE+DY | Y+{SLOT}+E+DY	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
OL	FORTSETZEN	OT	DANACH	YES	14	78	0.080164	{SLOT} | {SLOT}+AIIN | {SLOT}+AIN | {SLOT}+AL | {SLOT}+AL+Y | {SLOT}+AM_ADDR | {SLOT}+AR | {SLOT}+CH+Y	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
OT	DANACH	S	WÄHLEN	NO	9	77	0.130068	{SLOT} | {SLOT}+AIIN | {SLOT}+AIN | {SLOT}+AL | {SLOT}+AL+DY | {SLOT}+AM_ADDR | {SLOT}+AR | {SLOT}+EE+Y	f10r|f11r|f13r|f17r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
OK	SETZEN	L	VERBINDUNG	NO	22	73	0.075180	{SLOT} | {SLOT}+AIIN | {SLOT}+AIN | {SLOT}+AL | {SLOT}+AR | {SLOT}+CH | {SLOT}+CH+O | {SLOT}+CH+Y	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
Y	POSTEN	L	VERBINDUNG	NO	31	73	0.040376	CH+E+O+{SLOT} | CH+O+D_ADDR+{SLOT} | L+CH+{SLOT} | O+D_ADDR+{SLOT} | OT+CH+{SLOT} | Y+{SLOT} | {SLOT} | {SLOT}+AIN	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
AL	ZIELORT	S	WÄHLEN	NO	18	67	0.113367	AL+{SLOT} | A_ADDR+{SLOT} | CH+E+O+{SLOT} | CH+{SLOT} | OK+E+O+{SLOT} | OK+EE+{SLOT} | OK+{SLOT}+Y | OL+{SLOT}	f10r|f11r|f13r|f17r|f18r|f1r|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
OL	FORTSETZEN	CHD	UMSETZEN	NO	18	67	0.072668	AL+{SLOT} | K+{SLOT}+Y | L+{SLOT} | L+{SLOT}+Y | OK+{SLOT} | OK+{SLOT}+DY | T+{SLOT} | Y+K+{SLOT}+Y	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
L	VERBINDUNG	R	MARKIEREN	NO	17	62	0.192547	CH+E+O+{SLOT} | CH+{SLOT} | OT+CH+{SLOT} | Y+CH+E+O+{SLOT} | {SLOT} | {SLOT}+AIIN | {SLOT}+AIN | {SLOT}+AL	f10r|f18r|f1r|f24v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
AL	ZIELORT	L	VERBINDUNG	YES	16	58	0.102837	CH+E+O+{SLOT} | CH+{SLOT} | S+{SLOT} | Y+{SLOT} | {SLOT} | {SLOT}+AIIN | {SLOT}+AL | {SLOT}+CHD	f13r|f18r|f1r|f24v|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
OK	SETZEN	CH	NEHMEN	YES	23	58	0.037203	K+{SLOT}+AIIN | OL+{SLOT}+Y | SH+E+{SLOT}+Y | Y+{SLOT}+E+O+D_ADDR+Y | {SLOT} | {SLOT}+AIIN | {SLOT}+AIR | {SLOT}+AL	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
S	WÄHLEN	OR	EINHEIT	NO	16	58	0.112840	AL+{SLOT} | CH+T+O+{SLOT} | CH+{SLOT} | O+D_ADDR+{SLOT} | OK+EE+{SLOT} | OK+O+E+{SLOT} | OL+{SLOT} | OT+E+{SLOT}	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
Y	POSTEN	CH	NEHMEN	NO	29	58	0.024207	CH+{SLOT}+K+E+Y | L+{SLOT} | OK+{SLOT} | SH+O+{SLOT}+T+Y | {SLOT} | {SLOT}+AL | {SLOT}+AL+S | {SLOT}+K	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
OT	DANACH	CHD	UMSETZEN	NO	9	57	0.093904	{SLOT} | {SLOT}+AIIN | {SLOT}+AIN | {SLOT}+AL | {SLOT}+AM_ADDR | {SLOT}+AR | {SLOT}+OL | {SLOT}+OR	f10r|f11r|f13r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
OL	FORTSETZEN	CH	NEHMEN	NO	24	53	0.035859	L+{SLOT} | L+{SLOT}+Y | OK+{SLOT} | OL+K+EE+{SLOT}+Y | SH+E+{SLOT}+Y | Y+K+{SLOT}+Y | {SLOT} | {SLOT}+AIIN	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
OT	DANACH	L	VERBINDUNG	NO	15	52	0.089501	{SLOT} | {SLOT}+AIIN | {SLOT}+AIN | {SLOT}+AL | {SLOT}+AR | {SLOT}+CH+L | {SLOT}+CH+Y | {SLOT}+CHD+DY	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88v|f89r|f95v
AR	AUSGANG	S	WÄHLEN	NO	9	51	0.088235	CH+E+O+{SLOT} | CH+E+{SLOT} | O+D_ADDR+{SLOT} | OL+{SLOT} | OT+E+{SLOT} | OT+O+{SLOT} | SH+E+{SLOT} | {SLOT}	f10r|f11r|f13r|f17r|f1r|f24v|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
OT	DANACH	T	EINSTELLEN	NO	23	51	0.083882	CH+{SLOT}+E+Y | CH+{SLOT}+EE+Y | CH+{SLOT}+OL | CH+{SLOT}+Y | {SLOT} | {SLOT}+AIIN | {SLOT}+AIN | {SLOT}+AL	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
OK	SETZEN	T	EINSTELLEN	YES	22	50	0.049020	OL+{SLOT}+Y | SH+E+{SLOT}+E+Y | {SLOT} | {SLOT}+AIIN | {SLOT}+AIN | {SLOT}+AL | {SLOT}+AL+Y | {SLOT}+AR	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
S	WÄHLEN	L	VERBINDUNG	NO	16	48	0.090909	CH+E+O+{SLOT} | CH+{SLOT} | L+CH+{SLOT} | O+DA+{SLOT} | O+D_ADDR+{SLOT} | {SLOT} | {SLOT}+AIIN | {SLOT}+AIN	f10r|f11r|f13r|f17r|f1r|f24v|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
AIIN	WERT	S	WÄHLEN	NO	9	47	0.068017	AL+{SLOT} | CH+{SLOT} | O+D_ADDR+{SLOT} | OL+{SLOT} | OT+E+{SLOT} | SH+E+{SLOT} | SH+O+{SLOT} | T+O+{SLOT}	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
K	GEBEN	L	VERBINDUNG	NO	20	47	0.065734	CH+E+O+{SLOT} | CH+E+O+{SLOT}+Y | CH+{SLOT} | Y+{SLOT} | {SLOT} | {SLOT}+AIIN | {SLOT}+AIN | {SLOT}+AL	f10r|f11r|f13r|f18r|f1r|f24v|f55v|f56r|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
S	WÄHLEN	R	MARKIEREN	YES	12	47	0.126005	CH+E+O+{SLOT} | CH+{SLOT} | {SLOT} | {SLOT}+AIIN | {SLOT}+AIN | {SLOT}+AL | {SLOT}+AM_ADDR | {SLOT}+A_ADDR	f10r|f11r|f13r|f17r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
Y	POSTEN	R	MARKIEREN	NO	11	47	0.028010	CH+E+O+{SLOT} | L+{SLOT} | OT+CH+{SLOT} | {SLOT} | {SLOT}+AIN | {SLOT}+AL | {SLOT}+CHD+Y | {SLOT}+OL	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
OL	FORTSETZEN	R	MARKIEREN	NO	12	46	0.060847	L+{SLOT} | OT+CH+{SLOT} | {SLOT} | {SLOT}+AIIN | {SLOT}+AIN | {SLOT}+AL | {SLOT}+AL+Y | {SLOT}+AM_ADDR	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
OT	DANACH	CH	NEHMEN	NO	13	45	0.038760	{SLOT} | {SLOT}+AIIN | {SLOT}+AL | {SLOT}+AL+Y | {SLOT}+AM_ADDR | {SLOT}+E+AR | {SLOT}+E+O | {SLOT}+E+O+Y	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
K	GEBEN	S	WÄHLEN	YES	18	44	0.058355	CH+E+O+{SLOT} | CH+{SLOT} | OL+{SLOT}+AIN | SH+E+{SLOT} | {SLOT} | {SLOT}+AIIN | {SLOT}+AIN | {SLOT}+AIR	f10r|f11r|f13r|f17r|f1r|f24v|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
OL	FORTSETZEN	K	GEBEN	NO	17	44	0.038732	L+{SLOT}+Y | SH+E+{SLOT} | SH+E+{SLOT}+AIIN | SH+E+{SLOT}+Y | Y+{SLOT} | {SLOT} | {SLOT}+AIIN | {SLOT}+AIN	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
