component	shelf	abstract_core_de	workshop_prose_de	owner_address_de	prose_atom_occurrences	address_atom_occurrences	total_atom_occurrences	channel_status	composition_rule_de
K	PRODUCTIVE_CONTRAST_CORE	ZUORDNUNG	Material zugeben	Wert zuordnen	151	43	194	BIVALENT	ZUORDNUNG bleibt invariant; das Register erweitert zu „Material zugeben“ oder „Wert zuordnen“.
AIIN	PRODUCTIVE_CONTRAST_CORE	SOLLWERT	Sollmaß	verzeichneter Sollwert	163	28	191	BIVALENT	SOLLWERT bleibt invariant; das Register erweitert zu „Sollmaß“ oder „verzeichneter Sollwert“.
S	PRODUCTIVE_CONTRAST_CORE	AUSWAHL	Arbeitsvariante auswählen	Bildklasse auswählen	134	48	182	BIVALENT	AUSWAHL bleibt invariant; das Register erweitert zu „Arbeitsvariante auswählen“ oder „Bildklasse auswählen“.
CHD	PRODUCTIVE_CONTRAST_CORE	WECHSEL	Arbeitsgut umsetzen	zu Gegen- oder Folgeplatz wechseln	153	11	164	BIVALENT	WECHSEL bleibt invariant; das Register erweitert zu „Arbeitsgut umsetzen“ oder „zu Gegen- oder Folgeplatz wechseln“.
OR	PRODUCTIVE_CONTRAST_CORE	EINTRAG	Ansatz oder Zubereitung	Eintragsklasse	129	22	151	BIVALENT	EINTRAG bleibt invariant; das Register erweitert zu „Ansatz oder Zubereitung“ oder „Eintragsklasse“.
L	PRODUCTIVE_CONTRAST_CORE	VERBINDUNG	entlang des Arbeitswegs führen	Bildverbindung	120	11	131	BIVALENT	VERBINDUNG bleibt invariant; das Register erweitert zu „entlang des Arbeitswegs führen“ oder „Bildverbindung“.
T	PRODUCTIVE_CONTRAST_CORE	EINSTELLUNG	Arbeitsgang einstellen	Platz oder Wert einstellen	90	37	127	BIVALENT	EINSTELLUNG bleibt invariant; das Register erweitert zu „Arbeitsgang einstellen“ oder „Platz oder Wert einstellen“.
AIN	PRODUCTIVE_CONTRAST_CORE	EINHEIT	Portion	Einheit oder Index	97	8	105	BIVALENT	EINHEIT bleibt invariant; das Register erweitert zu „Portion“ oder „Einheit oder Index“.
R	PRODUCTIVE_CONTRAST_CORE	MARKE	Zustand kennzeichnen	Zustandsmarke	57	16	73	BIVALENT	MARKE bleibt invariant; das Register erweitert zu „Zustand kennzeichnen“ oder „Zustandsmarke“.
P	PRODUCTIVE_CONTRAST_CORE	EINSETZUNG	Material einsetzen	Platz besetzen	53	7	60	BIVALENT	EINSETZUNG bleibt invariant; das Register erweitert zu „Material einsetzen“ oder „Platz besetzen“.
CTH	PRODUCTIVE_CONTRAST_CORE	BEREITSTATUS	bis bereit führen	Bereitschaftsklasse	52	7	59	BIVALENT	BEREITSTATUS bleibt invariant; das Register erweitert zu „bis bereit führen“ oder „Bereitschaftsklasse“.
SHED	LEARNED_WORKSHOP_ROOT	ABSETZUNG	absetzen lassen	Absetzklasse	59	0	59	PROSE_ONLY	ABSETZUNG bleibt invariant; das Register erweitert zu „absetzen lassen“ oder „Absetzklasse“.
CKH	PRODUCTIVE_CONTRAST_CORE	DURCHLASS	durch einen Durchlass führen	Verbindung oder Durchlass	53	2	55	BIVALENT	DURCHLASS bleibt invariant; das Register erweitert zu „durch einen Durchlass führen“ oder „Verbindung oder Durchlass“.
AM_ADDR	FORMAL_ADDRESS_SIGN	INNENADRESSE	Innenstelle	Innenplatz	33	14	47	BIVALENT	INNENADRESSE bleibt invariant; das Register erweitert zu „Innenstelle“ oder „Innenplatz“.
CHEO	PRODUCTIVE_CONTRAST_CORE	LOKALINHALT	Auszug	lokaler Eintrag	36	9	45	BIVALENT	LOKALINHALT bleibt invariant; das Register erweitert zu „Auszug“ oder „lokaler Eintrag“.
DA	PRODUCTIVE_CONTRAST_CORE	STUFE_2	zweite Arbeitsstufe	zweite Bildstufe	18	20	38	BIVALENT	STUFE_2 bleibt invariant; das Register erweitert zu „zweite Arbeitsstufe“ oder „zweite Bildstufe“.
CARRIER_Q	LOCAL_WRITING_SIGN	EINTRITT	neuen Kartenblock beginnen	Eintrittsform einer Bildkarte	35	1	36	BIVALENT	EINTRITT bleibt invariant; das Register erweitert zu „neuen Kartenblock beginnen“ oder „Eintrittsform einer Bildkarte“.
A_ADDR	FORMAL_ADDRESS_SIGN	ADRESSE	lokale Arbeitsstelle	lokale Bildadresse	19	16	35	BIVALENT	ADRESSE bleibt invariant; das Register erweitert zu „lokale Arbeitsstelle“ oder „lokale Bildadresse“.
AIR	PRODUCTIVE_CONTRAST_CORE	LAUFWEG	Flüssigkeits- oder Stationslauf	Ringlauf	17	16	33	BIVALENT	LAUFWEG bleibt invariant; das Register erweitert zu „Flüssigkeits- oder Stationslauf“ oder „Ringlauf“.
CHK	PRODUCTIVE_CONTRAST_CORE	BEHANDLUNG	Arbeitsgegenstand behandeln	Behandlungsklasse	26	4	30	BIVALENT	BEHANDLUNG bleibt invariant; das Register erweitert zu „Arbeitsgegenstand behandeln“ oder „Behandlungsklasse“.
IIN	PRODUCTIVE_CONTRAST_CORE	STUFE	Arbeitsstufe	Wertstufe	18	8	26	BIVALENT	STUFE bleibt invariant; das Register erweitert zu „Arbeitsstufe“ oder „Wertstufe“.
S_ADDR	FORMAL_ADDRESS_SIGN	STERNADRESSE	bezeichnete s-Stelle	Stern- oder s-Stelle	2	22	24	BIVALENT	STERNADRESSE bleibt invariant; das Register erweitert zu „bezeichnete s-Stelle“ oder „Stern- oder s-Stelle“.
SOLK	LEARNED_WORKSHOP_ROOT	SAMMELSTELLE	auffangen	Sammelstelle	22	0	22	PROSE_ONLY	SAMMELSTELLE bleibt invariant; das Register erweitert zu „auffangen“ oder „Sammelstelle“.
EEE	PRODUCTIVE_CONTRAST_CORE	GRAD_3	vollständig	dritter oder voller Grad	15	3	18	BIVALENT	GRAD_3 bleibt invariant; das Register erweitert zu „vollständig“ oder „dritter oder voller Grad“.
LSH	LEARNED_WORKSHOP_ROOT	SPUELUNG	spülen	Spülklasse	17	0	17	PROSE_ONLY	SPUELUNG bleibt invariant; das Register erweitert zu „spülen“ oder „Spülklasse“.
LOCAL_CHAR_F	LOCAL_WRITING_SIGN	F	lokales Schreibzeichen	lokales Bildzeichen	8	5	13	BIVALENT	F bleibt invariant; das Register erweitert zu „lokales Schreibzeichen“ oder „lokales Bildzeichen“.
CPH	LEARNED_WORKSHOP_ROOT	GEGENLAUF	umleiten	Gegenplatz	9	3	12	BIVALENT	GEGENLAUF bleibt invariant; das Register erweitert zu „umleiten“ oder „Gegenplatz“.
HO	LEARNED_WORKSHOP_ROOT	TEIL	Teil des sichtbaren Gegenstands	Teil oder Mitglied der Bildklasse	7	4	11	BIVALENT	TEIL bleibt invariant; das Register erweitert zu „Teil des sichtbaren Gegenstands“ oder „Teil oder Mitglied der Bildklasse“.
AN	LEARNED_WORKSHOP_ROOT	ZUSATZ	weiteren Posten zugeben	zusätzlicher Eintrag	6	3	9	BIVALENT	ZUSATZ bleibt invariant; das Register erweitert zu „weiteren Posten zugeben“ oder „zusätzlicher Eintrag“.
G_LABEL	LOCAL_WRITING_SIGN	G	lokales Schreibzeichen	lokales Bildzeichen	3	4	7	BIVALENT	G bleibt invariant; das Register erweitert zu „lokales Schreibzeichen“ oder „lokales Bildzeichen“.
CFH	LEARNED_WORKSHOP_ROOT	TRENNUNG	trennen	Trennklasse	4	1	5	BIVALENT	TRENNUNG bleibt invariant; das Register erweitert zu „trennen“ oder „Trennklasse“.
LOCAL_CHAR_G	LOCAL_WRITING_SIGN	G-LOKALZEICHEN	lokales Schreibzeichen	lokales Bildzeichen	5	0	5	PROSE_ONLY	G-LOKALZEICHEN bleibt invariant; das Register erweitert zu „lokales Schreibzeichen“ oder „lokales Bildzeichen“.
LOCAL_CHAR_I	LOCAL_WRITING_SIGN	I	lokales Schreibzeichen	lokales Bildzeichen	4	1	5	BIVALENT	I bleibt invariant; das Register erweitert zu „lokales Schreibzeichen“ oder „lokales Bildzeichen“.
OS	LEARNED_WORKSHOP_ROOT	ADDITION	dazu oder außerdem	zusätzlicher Bildposten	4	0	4	PROSE_ONLY	ADDITION bleibt invariant; das Register erweitert zu „dazu oder außerdem“ oder „zusätzlicher Bildposten“.
D_LABEL	LOCAL_WRITING_SIGN	D	lokales Schreibzeichen	lokales Bildzeichen	1	2	3	BIVALENT	D bleibt invariant; das Register erweitert zu „lokales Schreibzeichen“ oder „lokales Bildzeichen“.
S_LABEL	LOCAL_WRITING_SIGN	S	lokales Schreibzeichen	lokales Bildzeichen	0	3	3	ADDRESS_ONLY	S bleibt invariant; das Register erweitert zu „lokales Schreibzeichen“ oder „lokales Bildzeichen“.
LOCAL_CHAR_B	LOCAL_WRITING_SIGN	B	lokales Schreibzeichen	lokales Bildzeichen	2	0	2	PROSE_ONLY	B bleibt invariant; das Register erweitert zu „lokales Schreibzeichen“ oder „lokales Bildzeichen“.
M_LOCAL	LOCAL_WRITING_SIGN	M	lokales Schreibzeichen	lokales Bildzeichen	1	1	2	BIVALENT	M bleibt invariant; das Register erweitert zu „lokales Schreibzeichen“ oder „lokales Bildzeichen“.
Z_ADDR	FORMAL_ADDRESS_SIGN	LOKALE_ADRESSE	z-stelle	z-stelle	0	2	2	ADDRESS_ONLY	LOKALE_ADRESSE bleibt invariant; das Register erweitert zu „z-stelle“ oder „z-stelle“.
LD	LEARNED_WORKSHOP_ROOT	BEFESTIGUNG	befestigen	Befestigungsstelle	1	0	1	PROSE_ONLY	BEFESTIGUNG bleibt invariant; das Register erweitert zu „befestigen“ oder „Befestigungsstelle“.
LOCAL_CHAR_J	LOCAL_WRITING_SIGN	J	lokales Schreibzeichen	lokales Bildzeichen	1	0	1	PROSE_ONLY	J bleibt invariant; das Register erweitert zu „lokales Schreibzeichen“ oder „lokales Bildzeichen“.
LOCAL_CHAR_Z	LOCAL_WRITING_SIGN	Z-LOKALZEICHEN	lokales Schreibzeichen	lokales Bildzeichen	0	1	1	ADDRESS_ONLY	Z-LOKALZEICHEN bleibt invariant; das Register erweitert zu „lokales Schreibzeichen“ oder „lokales Bildzeichen“.
RESUME_CARD	LEARNED_WORKSHOP_ROOT	WIEDERAUFNAHME	vorigen Posten wieder aufnehmen	vorigen Bildbezug wieder aufnehmen	1	0	1	PROSE_ONLY	WIEDERAUFNAHME bleibt invariant; das Register erweitert zu „vorigen Posten wieder aufnehmen“ oder „vorigen Bildbezug wieder aufnehmen“.
