local_locus_id	diagram_id	page	source_locus	locus_ordinal_editorial	group_count	local_group_ids	surface_sequence_display_only	instrument_component	local_lookup_address	technical_role_sequence	complete_technical_locus_reading_German	medical_election_comparator	orientation_contract	crosspage_contract	source_lineage
A1:L011	A1	f67r2	f67r2.11	11	3	A1:G024|A1:G025|A1:G026	chky chykchs chy	COLUMN_12	A1:C11	COLUMN_KEY > COLUMN_DESCRIPTOR_FRAGMENT > COLUMN_DESCRIPTOR_FRAGMENT	Termin-/Sektorspalte C11 wählen; Fragment 01 als opaken Merker bewahren ; Termin-/Sektorspalte C11 wählen; Fragment 02 als opaken Merker bewahren ; Termin-/Sektorspalte C11 wählen; Fragment 03 als opaken Merker bewahren	Aquarius: protect the shins and ankles; avoid invasive treatment there ; its ruling quality ; its application rule	LOCUS_IS_PRIMARY;EDITORIAL_ORDINAL_NOT_AUTHORIAL_ORIGIN	NONE	GUARDED_V22_ASTRO_LOCUS>V55_SELECTED_INSTRUMENT>V66_R3_LOCUS_FUNCTION
A1:L012	A1	f67r2	f67r2.12	12	2	A1:G027|A1:G028	ykees ykchos	COLUMN_12	A1:C12	COLUMN_KEY > COLUMN_DESCRIPTOR_FRAGMENT	Termin-/Sektorspalte C12 wählen; Fragment 01 als opaken Merker bewahren ; Termin-/Sektorspalte C12 wählen; Fragment 02 als opaken Merker bewahren	Pisces: protect the feet; avoid invasive treatment there ; its ruling quality	LOCUS_IS_PRIMARY;EDITORIAL_ORDINAL_NOT_AUTHORIAL_ORIGIN	NONE	GUARDED_V22_ASTRO_LOCUS>V55_SELECTED_INSTRUMENT>V66_R3_LOCUS_FUNCTION
A1:L013	A1	f67r2	f67r2.13	13	4	A1:G029|A1:G030|A1:G031|A1:G032	opodchol s ain aldy	INSTRUCTION_BLOCK	A1:I01	LOOKUP_INSTRUCTION_FRAGMENT > LOOKUP_INSTRUCTION_FRAGMENT > LOOKUP_INSTRUCTION_FRAGMENT > LOOKUP_INSTRUCTION_FRAGMENT	Lookup-Anweisungsblock I01 lesen; Fragment 01 als opaken Merker bewahren ; Lookup-Anweisungsblock I01 lesen; Fragment 02 als opaken Merker bewahren ; Lookup-Anweisungsblock I01 lesen; Fragment 03 als opaken Merker bewahren ; Lookup-Anweisungsblock I01 lesen; Fragment 04 als opaken Merker bewahren	at night ; in the morning ; for the sick person ; at the affected place	LOCUS_IS_PRIMARY;EDITORIAL_ORDINAL_NOT_AUTHORIAL_ORIGIN	NONE	GUARDED_V22_ASTRO_LOCUS>V55_SELECTED_INSTRUMENT>V66_R3_LOCUS_FUNCTION
A1:L014	A1	f67r2	f67r2.14	14	3	A1:G033|A1:G034|A1:G035	soeey doiin oldy	INSTRUCTION_BLOCK	A1:I02	LOOKUP_INSTRUCTION_FRAGMENT > LOOKUP_INSTRUCTION_FRAGMENT > LOOKUP_INSTRUCTION_FRAGMENT	Lookup-Anweisungsblock I02 lesen; Fragment 01 als opaken Merker bewahren ; Lookup-Anweisungsblock I02 lesen; Fragment 02 als opaken Merker bewahren ; Lookup-Anweisungsblock I02 lesen; Fragment 03 als opaken Merker bewahren	in the morning ; for the sick person ; at the affected place	LOCUS_IS_PRIMARY;EDITORIAL_ORDINAL_NOT_AUTHORIAL_ORIGIN	NONE	GUARDED_V22_ASTRO_LOCUS>V55_SELECTED_INSTRUMENT>V66_R3_LOCUS_FUNCTION
A1:L015	A1	f67r2	f67r2.15	15	1	A1:G036	dolchsody	ROW_7	A1:R01	ROW_KEY	Werk-/Ressourcenreihe R01 wählen; Fragment 01 als opaken Merker bewahren	sevenfold governor 1: Saturn	LOCUS_IS_PRIMARY;EDITORIAL_ORDINAL_NOT_AUTHORIAL_ORIGIN	NONE	GUARDED_V22_ASTRO_LOCUS>V55_SELECTED_INSTRUMENT>V66_R3_LOCUS_FUNCTION
A1:L016	A1	f67r2	f67r2.16	16	4	A1:G037|A1:G038|A1:G039|A1:G040	odaeiin okoes oekain y	INSTRUCTION_BLOCK	A1:I03	LOOKUP_INSTRUCTION_FRAGMENT > LOOKUP_INSTRUCTION_FRAGMENT > LOOKUP_INSTRUCTION_FRAGMENT > LOOKUP_INSTRUCTION_FRAGMENT	Lookup-Anweisungsblock I03 lesen; Fragment 01 als opaken Merker bewahren ; Lookup-Anweisungsblock I03 lesen; Fragment 02 als opaken Merker bewahren ; Lookup-Anweisungsblock I03 lesen; Fragment 03 als opaken Merker bewahren ; Lookup-Anweisungsblock I03 lesen; Fragment 04 als opaken Merker bewahren	at the affected place ; repeat once ; do not overheat ; let it settle	LOCUS_IS_PRIMARY;EDITORIAL_ORDINAL_NOT_AUTHORIAL_ORIGIN	NONE	GUARDED_V22_ASTRO_LOCUS>V55_SELECTED_INSTRUMENT>V66_R3_LOCUS_FUNCTION
A1:L017	A1	f67r2	f67r2.17	17	3	A1:G041|A1:G042|A1:G043	otchey soraiir dy	INSTRUCTION_BLOCK	A1:I04	LOOKUP_INSTRUCTION_FRAGMENT > LOOKUP_INSTRUCTION_FRAGMENT > LOOKUP_INSTRUCTION_FRAGMENT	Lookup-Anweisungsblock I04 lesen; Fragment 01 als opaken Merker bewahren ; Lookup-Anweisungsblock I04 lesen; Fragment 02 als opaken Merker bewahren ; Lookup-Anweisungsblock I04 lesen; Fragment 03 als opaken Merker bewahren	repeat once ; do not overheat ; let it settle	LOCUS_IS_PRIMARY;EDITORIAL_ORDINAL_NOT_AUTHORIAL_ORIGIN	NONE	GUARDED_V22_ASTRO_LOCUS>V55_SELECTED_INSTRUMENT>V66_R3_LOCUS_FUNCTION
A1:L018	A1	f67r2	f67r2.18	18	3	A1:G044|A1:G045|A1:G046	qopchy daiin dal	INSTRUCTION_BLOCK	A1:I05	LOOKUP_INSTRUCTION_FRAGMENT > LOOKUP_INSTRUCTION_FRAGMENT > LOOKUP_INSTRUCTION_FRAGMENT	Lookup-Anweisungsblock I05 lesen; Fragment 01 als opaken Merker bewahren ; Lookup-Anweisungsblock I05 lesen; Fragment 02 als opaken Merker bewahren ; Lookup-Anweisungsblock I05 lesen; Fragment 03 als opaken Merker bewahren	do not overheat ; let it settle ; then proceed	LOCUS_IS_PRIMARY;EDITORIAL_ORDINAL_NOT_AUTHORIAL_ORIGIN	NONE	GUARDED_V22_ASTRO_LOCUS>V55_SELECTED_INSTRUMENT>V66_R3_LOCUS_FUNCTION
A1:L019	A1	f67r2	f67r2.19	19	4	A1:G047|A1:G048|A1:G049|A1:G050	ydchos ain ar amy	INSTRUCTION_BLOCK	A1:I06	LOOKUP_INSTRUCTION_FRAGMENT > LOOKUP_INSTRUCTION_FRAGMENT > LOOKUP_INSTRUCTION_FRAGMENT > LOOKUP_INSTRUCTION_FRAGMENT	Lookup-Anweisungsblock I06 lesen; Fragment 01 als opaken Merker bewahren ; Lookup-Anweisungsblock I06 lesen; Fragment 02 als opaken Merker bewahren ; Lookup-Anweisungsblock I06 lesen; Fragment 03 als opaken Merker bewahren ; Lookup-Anweisungsblock I06 lesen; Fragment 04 als opaken Merker bewahren	let it settle ; then proceed ; the favourable condition ; the adverse condition	LOCUS_IS_PRIMARY;EDITORIAL_ORDINAL_NOT_AUTHORIAL_ORIGIN	NONE	GUARDED_V22_ASTRO_LOCUS>V55_SELECTED_INSTRUMENT>V66_R3_LOCUS_FUNCTION
A1:L020	A1	f67r2	f67r2.20	20	2	A1:G051|A1:G052	chocfhy saral	INSTRUCTION_BLOCK	A1:I07	LOOKUP_INSTRUCTION_FRAGMENT > LOOKUP_INSTRUCTION_FRAGMENT	Lookup-Anweisungsblock I07 lesen; Fragment 01 als opaken Merker bewahren ; Lookup-Anweisungsblock I07 lesen; Fragment 02 als opaken Merker bewahren	then proceed ; the favourable condition	LOCUS_IS_PRIMARY;EDITORIAL_ORDINAL_NOT_AUTHORIAL_ORIGIN	NONE	GUARDED_V22_ASTRO_LOCUS>V55_SELECTED_INSTRUMENT>V66_R3_LOCUS_FUNCTION
A1:L021	A1	f67r2	f67r2.21	21	3	A1:G053|A1:G054|A1:G055	sain am ar	INSTRUCTION_BLOCK	A1:I08	LOOKUP_INSTRUCTION_FRAGMENT > LOOKUP_INSTRUCTION_FRAGMENT > LOOKUP_INSTRUCTION_FRAGMENT	Lookup-Anweisungsblock I08 lesen; Fragment 01 als opaken Merker bewahren ; Lookup-Anweisungsblock I08 lesen; Fragment 02 als opaken Merker bewahren ; Lookup-Anweisungsblock I08 lesen; Fragment 03 als opaken Merker bewahren	the favourable condition ; the adverse condition ; as written above	LOCUS_IS_PRIMARY;EDITORIAL_ORDINAL_NOT_AUTHORIAL_ORIGIN	NONE	GUARDED_V22_ASTRO_LOCUS>V55_SELECTED_INSTRUMENT>V66_R3_LOCUS_FUNCTION
A1:L022	A1	f67r2	f67r2.22	22	1	A1:G056	okal	ROW_7	A1:R02	ROW_KEY	Werk-/Ressourcenreihe R02 wählen; Fragment 01 als opaken Merker bewahren	sevenfold governor 2: Jupiter	LOCUS_IS_PRIMARY;EDITORIAL_ORDINAL_NOT_AUTHORIAL_ORIGIN	NONE	GUARDED_V22_ASTRO_LOCUS>V55_SELECTED_INSTRUMENT>V66_R3_LOCUS_FUNCTION
A1:L023	A1	f67r2	f67r2.23	23	2	A1:G057|A1:G058	oparchy salsain	INSTRUCTION_BLOCK	A1:I09	LOOKUP_INSTRUCTION_FRAGMENT > LOOKUP_INSTRUCTION_FRAGMENT	Lookup-Anweisungsblock I09 lesen; Fragment 01 als opaken Merker bewahren ; Lookup-Anweisungsblock I09 lesen; Fragment 02 als opaken Merker bewahren	as written above ; choose	LOCUS_IS_PRIMARY;EDITORIAL_ORDINAL_NOT_AUTHORIAL_ORIGIN	NONE	GUARDED_V22_ASTRO_LOCUS>V55_SELECTED_INSTRUMENT>V66_R3_LOCUS_FUNCTION
A1:L024	A1	f67r2	f67r2.24	24	3	A1:G059|A1:G060|A1:G061	sodar ofar ar	INSTRUCTION_BLOCK	A1:I10	LOOKUP_INSTRUCTION_FRAGMENT > LOOKUP_INSTRUCTION_FRAGMENT > LOOKUP_INSTRUCTION_FRAGMENT	Lookup-Anweisungsblock I10 lesen; Fragment 01 als opaken Merker bewahren ; Lookup-Anweisungsblock I10 lesen; Fragment 02 als opaken Merker bewahren ; Lookup-Anweisungsblock I10 lesen; Fragment 03 als opaken Merker bewahren	choose ; the governing influence ; for this division	LOCUS_IS_PRIMARY;EDITORIAL_ORDINAL_NOT_AUTHORIAL_ORIGIN	NONE	GUARDED_V22_ASTRO_LOCUS>V55_SELECTED_INSTRUMENT>V66_R3_LOCUS_FUNCTION
A1:L025	A1	f67r2	f67r2.25	25	1	A1:G062	ydam	INSTRUCTION_BLOCK	A1:I11	LOOKUP_INSTRUCTION_FRAGMENT	Lookup-Anweisungsblock I11 lesen; Fragment 01 als opaken Merker bewahren	the governing influence	LOCUS_IS_PRIMARY;EDITORIAL_ORDINAL_NOT_AUTHORIAL_ORIGIN	NONE	GUARDED_V22_ASTRO_LOCUS>V55_SELECTED_INSTRUMENT>V66_R3_LOCUS_FUNCTION
A1:L026	A1	f67r2	f67r2.26	26	3	A1:G063|A1:G064|A1:G065	yteoor yto ykor	INSTRUCTION_BLOCK	A1:I12	LOOKUP_INSTRUCTION_FRAGMENT > LOOKUP_INSTRUCTION_FRAGMENT > LOOKUP_INSTRUCTION_FRAGMENT	Lookup-Anweisungsblock I12 lesen; Fragment 01 als opaken Merker bewahren ; Lookup-Anweisungsblock I12 lesen; Fragment 02 als opaken Merker bewahren ; Lookup-Anweisungsblock I12 lesen; Fragment 03 als opaken Merker bewahren	for this division ; when the Moon enters ; use the indicated remedy	LOCUS_IS_PRIMARY;EDITORIAL_ORDINAL_NOT_AUTHORIAL_ORIGIN	NONE	GUARDED_V22_ASTRO_LOCUS>V55_SELECTED_INSTRUMENT>V66_R3_LOCUS_FUNCTION
A1:L027	A1	f67r2	f67r2.27	27	4	A1:G066|A1:G067|A1:G068|A1:G069	okeo r aiin am	INSTRUCTION_BLOCK	A1:I13	LOOKUP_INSTRUCTION_FRAGMENT > LOOKUP_INSTRUCTION_FRAGMENT > LOOKUP_INSTRUCTION_FRAGMENT > LOOKUP_INSTRUCTION_FRAGMENT	Lookup-Anweisungsblock I13 lesen; Fragment 01 als opaken Merker bewahren ; Lookup-Anweisungsblock I13 lesen; Fragment 02 als opaken Merker bewahren ; Lookup-Anweisungsblock I13 lesen; Fragment 03 als opaken Merker bewahren ; Lookup-Anweisungsblock I13 lesen; Fragment 04 als opaken Merker bewahren	when the Moon enters ; use the indicated remedy ; avoid bleeding ; favour washing	LOCUS_IS_PRIMARY;EDITORIAL_ORDINAL_NOT_AUTHORIAL_ORIGIN	NONE	GUARDED_V22_ASTRO_LOCUS>V55_SELECTED_INSTRUMENT>V66_R3_LOCUS_FUNCTION
A1:L028	A1	f67r2	f67r2.28	28	2	A1:G070|A1:G071	okain am	ROW_7	A1:R03	ROW_KEY > ROW_REDUNDANCY_FRAGMENT	Werk-/Ressourcenreihe R03 wählen; Fragment 01 als opaken Merker bewahren ; Werk-/Ressourcenreihe R03 wählen; Fragment 02 als opaken Merker bewahren	sevenfold governor 3: Mars ; sevenfold governor 3: Mars	LOCUS_IS_PRIMARY;EDITORIAL_ORDINAL_NOT_AUTHORIAL_ORIGIN	NONE	GUARDED_V22_ASTRO_LOCUS>V55_SELECTED_INSTRUMENT>V66_R3_LOCUS_FUNCTION
A1:L029	A1	f67r2	f67r2.29	29	2	A1:G072|A1:G073	ytody saiin	INSTRUCTION_BLOCK	A1:I14	LOOKUP_INSTRUCTION_FRAGMENT > LOOKUP_INSTRUCTION_FRAGMENT	Lookup-Anweisungsblock I14 lesen; Fragment 01 als opaken Merker bewahren ; Lookup-Anweisungsblock I14 lesen; Fragment 02 als opaken Merker bewahren	avoid bleeding ; favour washing	LOCUS_IS_PRIMARY;EDITORIAL_ORDINAL_NOT_AUTHORIAL_ORIGIN	NONE	GUARDED_V22_ASTRO_LOCUS>V55_SELECTED_INSTRUMENT>V66_R3_LOCUS_FUNCTION
A1:L030	A1	f67r2	f67r2.30	30	2	A1:G074|A1:G075	ochol olol	INSTRUCTION_BLOCK	A1:I15	LOOKUP_INSTRUCTION_FRAGMENT > LOOKUP_INSTRUCTION_FRAGMENT	Lookup-Anweisungsblock I15 lesen; Fragment 01 als opaken Merker bewahren ; Lookup-Anweisungsblock I15 lesen; Fragment 02 als opaken Merker bewahren	favour washing ; favour purging	LOCUS_IS_PRIMARY;EDITORIAL_ORDINAL_NOT_AUTHORIAL_ORIGIN	NONE	GUARDED_V22_ASTRO_LOCUS>V55_SELECTED_INSTRUMENT>V66_R3_LOCUS_FUNCTION
A1:L031	A1	f67r2	f67r2.31	31	1	A1:G076	opcholdy	ROW_7	A1:R04	ROW_KEY	Werk-/Ressourcenreihe R04 wählen; Fragment 01 als opaken Merker bewahren	sevenfold governor 4: Sun	LOCUS_IS_PRIMARY;EDITORIAL_ORDINAL_NOT_AUTHORIAL_ORIGIN	NONE	GUARDED_V22_ASTRO_LOCUS>V55_SELECTED_INSTRUMENT>V66_R3_LOCUS_FUNCTION
A1:L032	A1	f67r2	f67r2.32	32	4	A1:G077|A1:G078|A1:G079|A1:G080	dosar odas air alaiin	INSTRUCTION_BLOCK	A1:I16	LOOKUP_INSTRUCTION_FRAGMENT > LOOKUP_INSTRUCTION_FRAGMENT > LOOKUP_INSTRUCTION_FRAGMENT > LOOKUP_INSTRUCTION_FRAGMENT	Lookup-Anweisungsblock I16 lesen; Fragment 01 als opaken Merker bewahren ; Lookup-Anweisungsblock I16 lesen; Fragment 02 als opaken Merker bewahren ; Lookup-Anweisungsblock I16 lesen; Fragment 03 als opaken Merker bewahren ; Lookup-Anweisungsblock I16 lesen; Fragment 04 als opaken Merker bewahren	apply while warm ; wait until the next station ; with the usual measure ; under the same governor	LOCUS_IS_PRIMARY;EDITORIAL_ORDINAL_NOT_AUTHORIAL_ORIGIN	NONE	GUARDED_V22_ASTRO_LOCUS>V55_SELECTED_INSTRUMENT>V66_R3_LOCUS_FUNCTION
A1:L033	A1	f67r2	f67r2.33	33	3	A1:G081|A1:G082|A1:G083	dokan oear odal	INSTRUCTION_BLOCK	A1:I17	LOOKUP_INSTRUCTION_FRAGMENT > LOOKUP_INSTRUCTION_FRAGMENT > LOOKUP_INSTRUCTION_FRAGMENT	Lookup-Anweisungsblock I17 lesen; Fragment 01 als opaken Merker bewahren ; Lookup-Anweisungsblock I17 lesen; Fragment 02 als opaken Merker bewahren ; Lookup-Anweisungsblock I17 lesen; Fragment 03 als opaken Merker bewahren	wait until the next station ; with the usual measure ; under the same governor	LOCUS_IS_PRIMARY;EDITORIAL_ORDINAL_NOT_AUTHORIAL_ORIGIN	NONE	GUARDED_V22_ASTRO_LOCUS>V55_SELECTED_INSTRUMENT>V66_R3_LOCUS_FUNCTION
A1:L034	A1	f67r2	f67r2.34	34	2	A1:G084|A1:G085	ofar oeoldan	ROW_7	A1:R05	ROW_KEY > ROW_REDUNDANCY_FRAGMENT	Werk-/Ressourcenreihe R05 wählen; Fragment 01 als opaken Merker bewahren ; Werk-/Ressourcenreihe R05 wählen; Fragment 02 als opaken Merker bewahren	sevenfold governor 5: Venus ; sevenfold governor 5: Venus	LOCUS_IS_PRIMARY;EDITORIAL_ORDINAL_NOT_AUTHORIAL_ORIGIN	NONE	GUARDED_V22_ASTRO_LOCUS>V55_SELECTED_INSTRUMENT>V66_R3_LOCUS_FUNCTION
A1:L035	A1	f67r2	f67r2.35	35	3	A1:G086|A1:G087|A1:G088	chol giin okol	INSTRUCTION_BLOCK	A1:I18	LOOKUP_INSTRUCTION_FRAGMENT > LOOKUP_INSTRUCTION_FRAGMENT > LOOKUP_INSTRUCTION_FRAGMENT	Lookup-Anweisungsblock I18 lesen; Fragment 01 als opaken Merker bewahren ; Lookup-Anweisungsblock I18 lesen; Fragment 02 als opaken Merker bewahren ; Lookup-Anweisungsblock I18 lesen; Fragment 03 als opaken Merker bewahren	under the same governor ; at night ; in the morning	LOCUS_IS_PRIMARY;EDITORIAL_ORDINAL_NOT_AUTHORIAL_ORIGIN	NONE	GUARDED_V22_ASTRO_LOCUS>V55_SELECTED_INSTRUMENT>V66_R3_LOCUS_FUNCTION
A1:L036	A1	f67r2	f67r2.36	36	3	A1:G089|A1:G090|A1:G091	ytor daiin or	INSTRUCTION_BLOCK	A1:I19	LOOKUP_INSTRUCTION_FRAGMENT > LOOKUP_INSTRUCTION_FRAGMENT > LOOKUP_INSTRUCTION_FRAGMENT	Lookup-Anweisungsblock I19 lesen; Fragment 01 als opaken Merker bewahren ; Lookup-Anweisungsblock I19 lesen; Fragment 02 als opaken Merker bewahren ; Lookup-Anweisungsblock I19 lesen; Fragment 03 als opaken Merker bewahren	at night ; in the morning ; for the sick person	LOCUS_IS_PRIMARY;EDITORIAL_ORDINAL_NOT_AUTHORIAL_ORIGIN	NONE	GUARDED_V22_ASTRO_LOCUS>V55_SELECTED_INSTRUMENT>V66_R3_LOCUS_FUNCTION
A1:L037	A1	f67r2	f67r2.37	37	1	A1:G092	ytoaiin	ROW_7	A1:R06	ROW_KEY	Werk-/Ressourcenreihe R06 wählen; Fragment 01 als opaken Merker bewahren	sevenfold governor 6: Mercury	LOCUS_IS_PRIMARY;EDITORIAL_ORDINAL_NOT_AUTHORIAL_ORIGIN	NONE	GUARDED_V22_ASTRO_LOCUS>V55_SELECTED_INSTRUMENT>V66_R3_LOCUS_FUNCTION
A1:L038	A1	f67r2	f67r2.38	38	2	A1:G093|A1:G094	otoldos octhole	INSTRUCTION_BLOCK	A1:I20	LOOKUP_INSTRUCTION_FRAGMENT > LOOKUP_INSTRUCTION_FRAGMENT	Lookup-Anweisungsblock I20 lesen; Fragment 01 als opaken Merker bewahren ; Lookup-Anweisungsblock I20 lesen; Fragment 02 als opaken Merker bewahren	for the sick person ; at the affected place	LOCUS_IS_PRIMARY;EDITORIAL_ORDINAL_NOT_AUTHORIAL_ORIGIN	NONE	GUARDED_V22_ASTRO_LOCUS>V55_SELECTED_INSTRUMENT>V66_R3_LOCUS_FUNCTION
