configuration_id	planet_axis_index	planet_default	planet_quality_exemplar	zodiac_axis_index	zodiac_default	body_sector_exemplar	medical_configuration_default	calendar_rival_default	visible_matrix_cell	composition_rule
A67:P01xZ11	1	Saturn	kalt und trocken	11	Wassermann	Schienbeine und Knöchel	[IATROMED_EXEMPLAR] Unter Saturn im Wassermann: Schienbeine und Knöchel schonen; starke Eingriffe verschieben und nur mäßig behandeln.	[KALENDER_RIVALE] Samstag im Monatsabschnitt November: den lokalen Werkstattposten nach Wochen- und Monatsrubrik auswählen.	NO_DERIVED_FROM_TWO_VISIBLE_INVENTORIES	CHOOSE_ONE_A67_PLANET+CHOOSE_ONE_A67_ZODIAC;DO_NOT_READ_AS_GROUP_TEXT
A67:P01xZ12	1	Saturn	kalt und trocken	12	Fische	Füße	[IATROMED_EXEMPLAR] Unter Saturn im Fische: Füße schonen; starke Eingriffe verschieben und nur mäßig behandeln.	[KALENDER_RIVALE] Samstag im Monatsabschnitt Dezember: den lokalen Werkstattposten nach Wochen- und Monatsrubrik auswählen.	NO_DERIVED_FROM_TWO_VISIBLE_INVENTORIES	CHOOSE_ONE_A67_PLANET+CHOOSE_ONE_A67_ZODIAC;DO_NOT_READ_AS_GROUP_TEXT
A67:P02xZ01	2	Jupiter	warm und feucht	1	Widder	Kopf und Gesicht	[IATROMED_EXEMPLAR] Unter Jupiter im Widder: Kopf und Gesicht schonen; eine sanfte stärkende Anwendung begünstigen.	[KALENDER_RIVALE] Donnerstag im Monatsabschnitt Januar: den lokalen Werkstattposten nach Wochen- und Monatsrubrik auswählen.	NO_DERIVED_FROM_TWO_VISIBLE_INVENTORIES	CHOOSE_ONE_A67_PLANET+CHOOSE_ONE_A67_ZODIAC;DO_NOT_READ_AS_GROUP_TEXT
A67:P02xZ02	2	Jupiter	warm und feucht	2	Stier	Hals und Kehle	[IATROMED_EXEMPLAR] Unter Jupiter im Stier: Hals und Kehle schonen; eine sanfte stärkende Anwendung begünstigen.	[KALENDER_RIVALE] Donnerstag im Monatsabschnitt Februar: den lokalen Werkstattposten nach Wochen- und Monatsrubrik auswählen.	NO_DERIVED_FROM_TWO_VISIBLE_INVENTORIES	CHOOSE_ONE_A67_PLANET+CHOOSE_ONE_A67_ZODIAC;DO_NOT_READ_AS_GROUP_TEXT
A67:P02xZ03	2	Jupiter	warm und feucht	3	Zwillinge	Schultern, Arme und Hände	[IATROMED_EXEMPLAR] Unter Jupiter im Zwillinge: Schultern, Arme und Hände schonen; eine sanfte stärkende Anwendung begünstigen.	[KALENDER_RIVALE] Donnerstag im Monatsabschnitt März: den lokalen Werkstattposten nach Wochen- und Monatsrubrik auswählen.	NO_DERIVED_FROM_TWO_VISIBLE_INVENTORIES	CHOOSE_ONE_A67_PLANET+CHOOSE_ONE_A67_ZODIAC;DO_NOT_READ_AS_GROUP_TEXT
A67:P02xZ04	2	Jupiter	warm und feucht	4	Krebs	Brustkorb und Brust	[IATROMED_EXEMPLAR] Unter Jupiter im Krebs: Brustkorb und Brust schonen; eine sanfte stärkende Anwendung begünstigen.	[KALENDER_RIVALE] Donnerstag im Monatsabschnitt April: den lokalen Werkstattposten nach Wochen- und Monatsrubrik auswählen.	NO_DERIVED_FROM_TWO_VISIBLE_INVENTORIES	CHOOSE_ONE_A67_PLANET+CHOOSE_ONE_A67_ZODIAC;DO_NOT_READ_AS_GROUP_TEXT
A67:P02xZ05	2	Jupiter	warm und feucht	5	Löwe	Herz und oberen Rücken	[IATROMED_EXEMPLAR] Unter Jupiter im Löwe: Herz und oberen Rücken schonen; eine sanfte stärkende Anwendung begünstigen.	[KALENDER_RIVALE] Donnerstag im Monatsabschnitt Mai: den lokalen Werkstattposten nach Wochen- und Monatsrubrik auswählen.	NO_DERIVED_FROM_TWO_VISIBLE_INVENTORIES	CHOOSE_ONE_A67_PLANET+CHOOSE_ONE_A67_ZODIAC;DO_NOT_READ_AS_GROUP_TEXT
A67:P02xZ06	2	Jupiter	warm und feucht	6	Jungfrau	Bauch und Eingeweide	[IATROMED_EXEMPLAR] Unter Jupiter im Jungfrau: Bauch und Eingeweide schonen; eine sanfte stärkende Anwendung begünstigen.	[KALENDER_RIVALE] Donnerstag im Monatsabschnitt Juni: den lokalen Werkstattposten nach Wochen- und Monatsrubrik auswählen.	NO_DERIVED_FROM_TWO_VISIBLE_INVENTORIES	CHOOSE_ONE_A67_PLANET+CHOOSE_ONE_A67_ZODIAC;DO_NOT_READ_AS_GROUP_TEXT
A67:P02xZ07	2	Jupiter	warm und feucht	7	Waage	unteren Rücken und Nieren	[IATROMED_EXEMPLAR] Unter Jupiter im Waage: unteren Rücken und Nieren schonen; eine sanfte stärkende Anwendung begünstigen.	[KALENDER_RIVALE] Donnerstag im Monatsabschnitt Juli: den lokalen Werkstattposten nach Wochen- und Monatsrubrik auswählen.	NO_DERIVED_FROM_TWO_VISIBLE_INVENTORIES	CHOOSE_ONE_A67_PLANET+CHOOSE_ONE_A67_ZODIAC;DO_NOT_READ_AS_GROUP_TEXT
A67:P02xZ08	2	Jupiter	warm und feucht	8	Skorpion	Geschlechtsteile und Blase	[IATROMED_EXEMPLAR] Unter Jupiter im Skorpion: Geschlechtsteile und Blase schonen; eine sanfte stärkende Anwendung begünstigen.	[KALENDER_RIVALE] Donnerstag im Monatsabschnitt August: den lokalen Werkstattposten nach Wochen- und Monatsrubrik auswählen.	NO_DERIVED_FROM_TWO_VISIBLE_INVENTORIES	CHOOSE_ONE_A67_PLANET+CHOOSE_ONE_A67_ZODIAC;DO_NOT_READ_AS_GROUP_TEXT
A67:P02xZ09	2	Jupiter	warm und feucht	9	Schütze	Hüften und Oberschenkel	[IATROMED_EXEMPLAR] Unter Jupiter im Schütze: Hüften und Oberschenkel schonen; eine sanfte stärkende Anwendung begünstigen.	[KALENDER_RIVALE] Donnerstag im Monatsabschnitt September: den lokalen Werkstattposten nach Wochen- und Monatsrubrik auswählen.	NO_DERIVED_FROM_TWO_VISIBLE_INVENTORIES	CHOOSE_ONE_A67_PLANET+CHOOSE_ONE_A67_ZODIAC;DO_NOT_READ_AS_GROUP_TEXT
A67:P02xZ10	2	Jupiter	warm und feucht	10	Steinbock	Knie	[IATROMED_EXEMPLAR] Unter Jupiter im Steinbock: Knie schonen; eine sanfte stärkende Anwendung begünstigen.	[KALENDER_RIVALE] Donnerstag im Monatsabschnitt Oktober: den lokalen Werkstattposten nach Wochen- und Monatsrubrik auswählen.	NO_DERIVED_FROM_TWO_VISIBLE_INVENTORIES	CHOOSE_ONE_A67_PLANET+CHOOSE_ONE_A67_ZODIAC;DO_NOT_READ_AS_GROUP_TEXT
A67:P02xZ11	2	Jupiter	warm und feucht	11	Wassermann	Schienbeine und Knöchel	[IATROMED_EXEMPLAR] Unter Jupiter im Wassermann: Schienbeine und Knöchel schonen; eine sanfte stärkende Anwendung begünstigen.	[KALENDER_RIVALE] Donnerstag im Monatsabschnitt November: den lokalen Werkstattposten nach Wochen- und Monatsrubrik auswählen.	NO_DERIVED_FROM_TWO_VISIBLE_INVENTORIES	CHOOSE_ONE_A67_PLANET+CHOOSE_ONE_A67_ZODIAC;DO_NOT_READ_AS_GROUP_TEXT
A67:P02xZ12	2	Jupiter	warm und feucht	12	Fische	Füße	[IATROMED_EXEMPLAR] Unter Jupiter im Fische: Füße schonen; eine sanfte stärkende Anwendung begünstigen.	[KALENDER_RIVALE] Donnerstag im Monatsabschnitt Dezember: den lokalen Werkstattposten nach Wochen- und Monatsrubrik auswählen.	NO_DERIVED_FROM_TWO_VISIBLE_INVENTORIES	CHOOSE_ONE_A67_PLANET+CHOOSE_ONE_A67_ZODIAC;DO_NOT_READ_AS_GROUP_TEXT
A67:P03xZ01	3	Mars	heiß und trocken	1	Widder	Kopf und Gesicht	[IATROMED_EXEMPLAR] Unter Mars im Widder: Kopf und Gesicht schonen; Schneiden und Aderlass am betroffenen Sektor meiden.	[KALENDER_RIVALE] Dienstag im Monatsabschnitt Januar: den lokalen Werkstattposten nach Wochen- und Monatsrubrik auswählen.	NO_DERIVED_FROM_TWO_VISIBLE_INVENTORIES	CHOOSE_ONE_A67_PLANET+CHOOSE_ONE_A67_ZODIAC;DO_NOT_READ_AS_GROUP_TEXT
A67:P03xZ02	3	Mars	heiß und trocken	2	Stier	Hals und Kehle	[IATROMED_EXEMPLAR] Unter Mars im Stier: Hals und Kehle schonen; Schneiden und Aderlass am betroffenen Sektor meiden.	[KALENDER_RIVALE] Dienstag im Monatsabschnitt Februar: den lokalen Werkstattposten nach Wochen- und Monatsrubrik auswählen.	NO_DERIVED_FROM_TWO_VISIBLE_INVENTORIES	CHOOSE_ONE_A67_PLANET+CHOOSE_ONE_A67_ZODIAC;DO_NOT_READ_AS_GROUP_TEXT
A67:P03xZ03	3	Mars	heiß und trocken	3	Zwillinge	Schultern, Arme und Hände	[IATROMED_EXEMPLAR] Unter Mars im Zwillinge: Schultern, Arme und Hände schonen; Schneiden und Aderlass am betroffenen Sektor meiden.	[KALENDER_RIVALE] Dienstag im Monatsabschnitt März: den lokalen Werkstattposten nach Wochen- und Monatsrubrik auswählen.	NO_DERIVED_FROM_TWO_VISIBLE_INVENTORIES	CHOOSE_ONE_A67_PLANET+CHOOSE_ONE_A67_ZODIAC;DO_NOT_READ_AS_GROUP_TEXT
A67:P03xZ04	3	Mars	heiß und trocken	4	Krebs	Brustkorb und Brust	[IATROMED_EXEMPLAR] Unter Mars im Krebs: Brustkorb und Brust schonen; Schneiden und Aderlass am betroffenen Sektor meiden.	[KALENDER_RIVALE] Dienstag im Monatsabschnitt April: den lokalen Werkstattposten nach Wochen- und Monatsrubrik auswählen.	NO_DERIVED_FROM_TWO_VISIBLE_INVENTORIES	CHOOSE_ONE_A67_PLANET+CHOOSE_ONE_A67_ZODIAC;DO_NOT_READ_AS_GROUP_TEXT
A67:P03xZ05	3	Mars	heiß und trocken	5	Löwe	Herz und oberen Rücken	[IATROMED_EXEMPLAR] Unter Mars im Löwe: Herz und oberen Rücken schonen; Schneiden und Aderlass am betroffenen Sektor meiden.	[KALENDER_RIVALE] Dienstag im Monatsabschnitt Mai: den lokalen Werkstattposten nach Wochen- und Monatsrubrik auswählen.	NO_DERIVED_FROM_TWO_VISIBLE_INVENTORIES	CHOOSE_ONE_A67_PLANET+CHOOSE_ONE_A67_ZODIAC;DO_NOT_READ_AS_GROUP_TEXT
A67:P03xZ06	3	Mars	heiß und trocken	6	Jungfrau	Bauch und Eingeweide	[IATROMED_EXEMPLAR] Unter Mars im Jungfrau: Bauch und Eingeweide schonen; Schneiden und Aderlass am betroffenen Sektor meiden.	[KALENDER_RIVALE] Dienstag im Monatsabschnitt Juni: den lokalen Werkstattposten nach Wochen- und Monatsrubrik auswählen.	NO_DERIVED_FROM_TWO_VISIBLE_INVENTORIES	CHOOSE_ONE_A67_PLANET+CHOOSE_ONE_A67_ZODIAC;DO_NOT_READ_AS_GROUP_TEXT
A67:P03xZ07	3	Mars	heiß und trocken	7	Waage	unteren Rücken und Nieren	[IATROMED_EXEMPLAR] Unter Mars im Waage: unteren Rücken und Nieren schonen; Schneiden und Aderlass am betroffenen Sektor meiden.	[KALENDER_RIVALE] Dienstag im Monatsabschnitt Juli: den lokalen Werkstattposten nach Wochen- und Monatsrubrik auswählen.	NO_DERIVED_FROM_TWO_VISIBLE_INVENTORIES	CHOOSE_ONE_A67_PLANET+CHOOSE_ONE_A67_ZODIAC;DO_NOT_READ_AS_GROUP_TEXT
A67:P03xZ08	3	Mars	heiß und trocken	8	Skorpion	Geschlechtsteile und Blase	[IATROMED_EXEMPLAR] Unter Mars im Skorpion: Geschlechtsteile und Blase schonen; Schneiden und Aderlass am betroffenen Sektor meiden.	[KALENDER_RIVALE] Dienstag im Monatsabschnitt August: den lokalen Werkstattposten nach Wochen- und Monatsrubrik auswählen.	NO_DERIVED_FROM_TWO_VISIBLE_INVENTORIES	CHOOSE_ONE_A67_PLANET+CHOOSE_ONE_A67_ZODIAC;DO_NOT_READ_AS_GROUP_TEXT
A67:P03xZ09	3	Mars	heiß und trocken	9	Schütze	Hüften und Oberschenkel	[IATROMED_EXEMPLAR] Unter Mars im Schütze: Hüften und Oberschenkel schonen; Schneiden und Aderlass am betroffenen Sektor meiden.	[KALENDER_RIVALE] Dienstag im Monatsabschnitt September: den lokalen Werkstattposten nach Wochen- und Monatsrubrik auswählen.	NO_DERIVED_FROM_TWO_VISIBLE_INVENTORIES	CHOOSE_ONE_A67_PLANET+CHOOSE_ONE_A67_ZODIAC;DO_NOT_READ_AS_GROUP_TEXT
A67:P03xZ10	3	Mars	heiß und trocken	10	Steinbock	Knie	[IATROMED_EXEMPLAR] Unter Mars im Steinbock: Knie schonen; Schneiden und Aderlass am betroffenen Sektor meiden.	[KALENDER_RIVALE] Dienstag im Monatsabschnitt Oktober: den lokalen Werkstattposten nach Wochen- und Monatsrubrik auswählen.	NO_DERIVED_FROM_TWO_VISIBLE_INVENTORIES	CHOOSE_ONE_A67_PLANET+CHOOSE_ONE_A67_ZODIAC;DO_NOT_READ_AS_GROUP_TEXT
A67:P03xZ11	3	Mars	heiß und trocken	11	Wassermann	Schienbeine und Knöchel	[IATROMED_EXEMPLAR] Unter Mars im Wassermann: Schienbeine und Knöchel schonen; Schneiden und Aderlass am betroffenen Sektor meiden.	[KALENDER_RIVALE] Dienstag im Monatsabschnitt November: den lokalen Werkstattposten nach Wochen- und Monatsrubrik auswählen.	NO_DERIVED_FROM_TWO_VISIBLE_INVENTORIES	CHOOSE_ONE_A67_PLANET+CHOOSE_ONE_A67_ZODIAC;DO_NOT_READ_AS_GROUP_TEXT
A67:P03xZ12	3	Mars	heiß und trocken	12	Fische	Füße	[IATROMED_EXEMPLAR] Unter Mars im Fische: Füße schonen; Schneiden und Aderlass am betroffenen Sektor meiden.	[KALENDER_RIVALE] Dienstag im Monatsabschnitt Dezember: den lokalen Werkstattposten nach Wochen- und Monatsrubrik auswählen.	NO_DERIVED_FROM_TWO_VISIBLE_INVENTORIES	CHOOSE_ONE_A67_PLANET+CHOOSE_ONE_A67_ZODIAC;DO_NOT_READ_AS_GROUP_TEXT
A67:P04xZ01	4	Sonne	warm und trocken	1	Widder	Kopf und Gesicht	[IATROMED_EXEMPLAR] Unter Sonne im Widder: Kopf und Gesicht schonen; mäßig erwärmen und Überhitzung meiden.	[KALENDER_RIVALE] Sonntag im Monatsabschnitt Januar: den lokalen Werkstattposten nach Wochen- und Monatsrubrik auswählen.	NO_DERIVED_FROM_TWO_VISIBLE_INVENTORIES	CHOOSE_ONE_A67_PLANET+CHOOSE_ONE_A67_ZODIAC;DO_NOT_READ_AS_GROUP_TEXT
A67:P04xZ02	4	Sonne	warm und trocken	2	Stier	Hals und Kehle	[IATROMED_EXEMPLAR] Unter Sonne im Stier: Hals und Kehle schonen; mäßig erwärmen und Überhitzung meiden.	[KALENDER_RIVALE] Sonntag im Monatsabschnitt Februar: den lokalen Werkstattposten nach Wochen- und Monatsrubrik auswählen.	NO_DERIVED_FROM_TWO_VISIBLE_INVENTORIES	CHOOSE_ONE_A67_PLANET+CHOOSE_ONE_A67_ZODIAC;DO_NOT_READ_AS_GROUP_TEXT
A67:P04xZ03	4	Sonne	warm und trocken	3	Zwillinge	Schultern, Arme und Hände	[IATROMED_EXEMPLAR] Unter Sonne im Zwillinge: Schultern, Arme und Hände schonen; mäßig erwärmen und Überhitzung meiden.	[KALENDER_RIVALE] Sonntag im Monatsabschnitt März: den lokalen Werkstattposten nach Wochen- und Monatsrubrik auswählen.	NO_DERIVED_FROM_TWO_VISIBLE_INVENTORIES	CHOOSE_ONE_A67_PLANET+CHOOSE_ONE_A67_ZODIAC;DO_NOT_READ_AS_GROUP_TEXT
A67:P04xZ04	4	Sonne	warm und trocken	4	Krebs	Brustkorb und Brust	[IATROMED_EXEMPLAR] Unter Sonne im Krebs: Brustkorb und Brust schonen; mäßig erwärmen und Überhitzung meiden.	[KALENDER_RIVALE] Sonntag im Monatsabschnitt April: den lokalen Werkstattposten nach Wochen- und Monatsrubrik auswählen.	NO_DERIVED_FROM_TWO_VISIBLE_INVENTORIES	CHOOSE_ONE_A67_PLANET+CHOOSE_ONE_A67_ZODIAC;DO_NOT_READ_AS_GROUP_TEXT
A67:P04xZ05	4	Sonne	warm und trocken	5	Löwe	Herz und oberen Rücken	[IATROMED_EXEMPLAR] Unter Sonne im Löwe: Herz und oberen Rücken schonen; mäßig erwärmen und Überhitzung meiden.	[KALENDER_RIVALE] Sonntag im Monatsabschnitt Mai: den lokalen Werkstattposten nach Wochen- und Monatsrubrik auswählen.	NO_DERIVED_FROM_TWO_VISIBLE_INVENTORIES	CHOOSE_ONE_A67_PLANET+CHOOSE_ONE_A67_ZODIAC;DO_NOT_READ_AS_GROUP_TEXT
A67:P04xZ06	4	Sonne	warm und trocken	6	Jungfrau	Bauch und Eingeweide	[IATROMED_EXEMPLAR] Unter Sonne im Jungfrau: Bauch und Eingeweide schonen; mäßig erwärmen und Überhitzung meiden.	[KALENDER_RIVALE] Sonntag im Monatsabschnitt Juni: den lokalen Werkstattposten nach Wochen- und Monatsrubrik auswählen.	NO_DERIVED_FROM_TWO_VISIBLE_INVENTORIES	CHOOSE_ONE_A67_PLANET+CHOOSE_ONE_A67_ZODIAC;DO_NOT_READ_AS_GROUP_TEXT
A67:P04xZ07	4	Sonne	warm und trocken	7	Waage	unteren Rücken und Nieren	[IATROMED_EXEMPLAR] Unter Sonne im Waage: unteren Rücken und Nieren schonen; mäßig erwärmen und Überhitzung meiden.	[KALENDER_RIVALE] Sonntag im Monatsabschnitt Juli: den lokalen Werkstattposten nach Wochen- und Monatsrubrik auswählen.	NO_DERIVED_FROM_TWO_VISIBLE_INVENTORIES	CHOOSE_ONE_A67_PLANET+CHOOSE_ONE_A67_ZODIAC;DO_NOT_READ_AS_GROUP_TEXT
A67:P04xZ08	4	Sonne	warm und trocken	8	Skorpion	Geschlechtsteile und Blase	[IATROMED_EXEMPLAR] Unter Sonne im Skorpion: Geschlechtsteile und Blase schonen; mäßig erwärmen und Überhitzung meiden.	[KALENDER_RIVALE] Sonntag im Monatsabschnitt August: den lokalen Werkstattposten nach Wochen- und Monatsrubrik auswählen.	NO_DERIVED_FROM_TWO_VISIBLE_INVENTORIES	CHOOSE_ONE_A67_PLANET+CHOOSE_ONE_A67_ZODIAC;DO_NOT_READ_AS_GROUP_TEXT
A67:P04xZ09	4	Sonne	warm und trocken	9	Schütze	Hüften und Oberschenkel	[IATROMED_EXEMPLAR] Unter Sonne im Schütze: Hüften und Oberschenkel schonen; mäßig erwärmen und Überhitzung meiden.	[KALENDER_RIVALE] Sonntag im Monatsabschnitt September: den lokalen Werkstattposten nach Wochen- und Monatsrubrik auswählen.	NO_DERIVED_FROM_TWO_VISIBLE_INVENTORIES	CHOOSE_ONE_A67_PLANET+CHOOSE_ONE_A67_ZODIAC;DO_NOT_READ_AS_GROUP_TEXT
A67:P04xZ10	4	Sonne	warm und trocken	10	Steinbock	Knie	[IATROMED_EXEMPLAR] Unter Sonne im Steinbock: Knie schonen; mäßig erwärmen und Überhitzung meiden.	[KALENDER_RIVALE] Sonntag im Monatsabschnitt Oktober: den lokalen Werkstattposten nach Wochen- und Monatsrubrik auswählen.	NO_DERIVED_FROM_TWO_VISIBLE_INVENTORIES	CHOOSE_ONE_A67_PLANET+CHOOSE_ONE_A67_ZODIAC;DO_NOT_READ_AS_GROUP_TEXT
A67:P04xZ11	4	Sonne	warm und trocken	11	Wassermann	Schienbeine und Knöchel	[IATROMED_EXEMPLAR] Unter Sonne im Wassermann: Schienbeine und Knöchel schonen; mäßig erwärmen und Überhitzung meiden.	[KALENDER_RIVALE] Sonntag im Monatsabschnitt November: den lokalen Werkstattposten nach Wochen- und Monatsrubrik auswählen.	NO_DERIVED_FROM_TWO_VISIBLE_INVENTORIES	CHOOSE_ONE_A67_PLANET+CHOOSE_ONE_A67_ZODIAC;DO_NOT_READ_AS_GROUP_TEXT
A67:P04xZ12	4	Sonne	warm und trocken	12	Fische	Füße	[IATROMED_EXEMPLAR] Unter Sonne im Fische: Füße schonen; mäßig erwärmen und Überhitzung meiden.	[KALENDER_RIVALE] Sonntag im Monatsabschnitt Dezember: den lokalen Werkstattposten nach Wochen- und Monatsrubrik auswählen.	NO_DERIVED_FROM_TWO_VISIBLE_INVENTORIES	CHOOSE_ONE_A67_PLANET+CHOOSE_ONE_A67_ZODIAC;DO_NOT_READ_AS_GROUP_TEXT
A67:P05xZ01	5	Venus	kühl und feucht	1	Widder	Kopf und Gesicht	[IATROMED_EXEMPLAR] Unter Venus im Widder: Kopf und Gesicht schonen; Baden und Salben begünstigen.	[KALENDER_RIVALE] Freitag im Monatsabschnitt Januar: den lokalen Werkstattposten nach Wochen- und Monatsrubrik auswählen.	NO_DERIVED_FROM_TWO_VISIBLE_INVENTORIES	CHOOSE_ONE_A67_PLANET+CHOOSE_ONE_A67_ZODIAC;DO_NOT_READ_AS_GROUP_TEXT
A67:P05xZ02	5	Venus	kühl und feucht	2	Stier	Hals und Kehle	[IATROMED_EXEMPLAR] Unter Venus im Stier: Hals und Kehle schonen; Baden und Salben begünstigen.	[KALENDER_RIVALE] Freitag im Monatsabschnitt Februar: den lokalen Werkstattposten nach Wochen- und Monatsrubrik auswählen.	NO_DERIVED_FROM_TWO_VISIBLE_INVENTORIES	CHOOSE_ONE_A67_PLANET+CHOOSE_ONE_A67_ZODIAC;DO_NOT_READ_AS_GROUP_TEXT
A67:P05xZ03	5	Venus	kühl und feucht	3	Zwillinge	Schultern, Arme und Hände	[IATROMED_EXEMPLAR] Unter Venus im Zwillinge: Schultern, Arme und Hände schonen; Baden und Salben begünstigen.	[KALENDER_RIVALE] Freitag im Monatsabschnitt März: den lokalen Werkstattposten nach Wochen- und Monatsrubrik auswählen.	NO_DERIVED_FROM_TWO_VISIBLE_INVENTORIES	CHOOSE_ONE_A67_PLANET+CHOOSE_ONE_A67_ZODIAC;DO_NOT_READ_AS_GROUP_TEXT
