station_address	source_locus	surface_display_only	astro_local_group_id	editorial_mansion_id_R0	conventional_name_exemplar	german_memory_image	complete_default	strongest_rival	orientation_status	cross_page_join
A68:S11	f68r1.19	otys	ASTRO_f68r1_019_01	M11	al-Zubra	die Mähne	[ASTRO_LOKAL_EXEMPLAR] S11: al-Zubra, die Mähne; nur in Lehrrotation R0	[STERNKATALOG_RIVALE] individueller Merklocus S11 ohne Mondhaus- oder Zeitwert	NO_AUTHORIAL_START_OR_DIRECTION;R0_EDITORIAL;55_ALTERNATIVES_LIVE	NONE
A68:S12	f68r1.20	olor	ASTRO_f68r1_020_01	M12	al-Sarfa	die Wende	[ASTRO_LOKAL_EXEMPLAR] S12: al-Sarfa, die Wende; nur in Lehrrotation R0	[STERNKATALOG_RIVALE] individueller Merklocus S12 ohne Mondhaus- oder Zeitwert	NO_AUTHORIAL_START_OR_DIRECTION;R0_EDITORIAL;55_ALTERNATIVES_LIVE	NONE
A68:S13	f68r1.21	ockhy	ASTRO_f68r1_021_01	M13	al-Awwa	die Bellenden	[ASTRO_LOKAL_EXEMPLAR] S13: al-Awwa, die Bellenden; nur in Lehrrotation R0	[STERNKATALOG_RIVALE] individueller Merklocus S13 ohne Mondhaus- oder Zeitwert	NO_AUTHORIAL_START_OR_DIRECTION;R0_EDITORIAL;55_ALTERNATIVES_LIVE	NONE
A68:S14	f68r1.22	ofcheor	ASTRO_f68r1_022_01	M14	al-Simak	die Hohe/Spica	[ASTRO_LOKAL_EXEMPLAR] S14: al-Simak, die Hohe/Spica; nur in Lehrrotation R0	[STERNKATALOG_RIVALE] individueller Merklocus S14 ohne Mondhaus- oder Zeitwert	NO_AUTHORIAL_START_OR_DIRECTION;R0_EDITORIAL;55_ALTERNATIVES_LIVE	NONE
A68:S15	f68r1.23	otchdy	ASTRO_f68r1_023_01	M15	al-Ghafr	die Bedeckung	[ASTRO_LOKAL_EXEMPLAR] S15: al-Ghafr, die Bedeckung; nur in Lehrrotation R0	[STERNKATALOG_RIVALE] individueller Merklocus S15 ohne Mondhaus- oder Zeitwert	NO_AUTHORIAL_START_OR_DIRECTION;R0_EDITORIAL;55_ALTERNATIVES_LIVE	NONE
A68:S16	f68r1.24	otykchs	ASTRO_f68r1_024_01	M16	al-Zubana	die Scheren	[ASTRO_LOKAL_EXEMPLAR] S16: al-Zubana, die Scheren; nur in Lehrrotation R0	[STERNKATALOG_RIVALE] individueller Merklocus S16 ohne Mondhaus- oder Zeitwert	NO_AUTHORIAL_START_OR_DIRECTION;R0_EDITORIAL;55_ALTERNATIVES_LIVE	NONE
A68:S17	f68r1.25	otol	ASTRO_f68r1_025_01	M17	al-Iklil	die Krone	[ASTRO_LOKAL_EXEMPLAR] S17: al-Iklil, die Krone; nur in Lehrrotation R0	[STERNKATALOG_RIVALE] individueller Merklocus S17 ohne Mondhaus- oder Zeitwert	NO_AUTHORIAL_START_OR_DIRECTION;R0_EDITORIAL;55_ALTERNATIVES_LIVE	NONE
A68:S18	f68r1.26	otor	ASTRO_f68r1_026_01	M18	al-Qalb	das Herz/Antares	[ASTRO_LOKAL_EXEMPLAR] S18: al-Qalb, das Herz/Antares; nur in Lehrrotation R0	[STERNKATALOG_RIVALE] individueller Merklocus S18 ohne Mondhaus- oder Zeitwert	NO_AUTHORIAL_START_OR_DIRECTION;R0_EDITORIAL;55_ALTERNATIVES_LIVE	NONE
A68:S19	f68r1.27	oiinar	ASTRO_f68r1_027_01	M19	al-Shawla	der Stachel	[ASTRO_LOKAL_EXEMPLAR] S19: al-Shawla, der Stachel; nur in Lehrrotation R0	[STERNKATALOG_RIVALE] individueller Merklocus S19 ohne Mondhaus- oder Zeitwert	NO_AUTHORIAL_START_OR_DIRECTION;R0_EDITORIAL;55_ALTERNATIVES_LIVE	NONE
A68:S20	f68r1.28	okoldy	ASTRO_f68r1_028_01	M20	al-Naam	die Strauße	[ASTRO_LOKAL_EXEMPLAR] S20: al-Naam, die Strauße; nur in Lehrrotation R0	[STERNKATALOG_RIVALE] individueller Merklocus S20 ohne Mondhaus- oder Zeitwert	NO_AUTHORIAL_START_OR_DIRECTION;R0_EDITORIAL;55_ALTERNATIVES_LIVE	NONE
A68:S21	f68r1.29	ykchdy	ASTRO_f68r1_029_01	M21	al-Balda	der leere Ort	[ASTRO_LOKAL_EXEMPLAR] S21: al-Balda, der leere Ort; nur in Lehrrotation R0	[STERNKATALOG_RIVALE] individueller Merklocus S21 ohne Mondhaus- oder Zeitwert	NO_AUTHORIAL_START_OR_DIRECTION;R0_EDITORIAL;55_ALTERNATIVES_LIVE	NONE
A68:S22	f68r1.30	oeeody	ASTRO_f68r1_030_01	M22	Sad al-Dhabih	das Glück des Schlachtenden	[ASTRO_LOKAL_EXEMPLAR] S22: Sad al-Dhabih, das Glück des Schlachtenden; nur in Lehrrotation R0	[STERNKATALOG_RIVALE] individueller Merklocus S22 ohne Mondhaus- oder Zeitwert	NO_AUTHORIAL_START_OR_DIRECTION;R0_EDITORIAL;55_ALTERNATIVES_LIVE	NONE
A68:S23	f68r1.31	ocphy	ASTRO_f68r1_031_01	M23	Sad Bula	das Glück des Verschlingenden	[ASTRO_LOKAL_EXEMPLAR] S23: Sad Bula, das Glück des Verschlingenden; nur in Lehrrotation R0	[STERNKATALOG_RIVALE] individueller Merklocus S23 ohne Mondhaus- oder Zeitwert	NO_AUTHORIAL_START_OR_DIRECTION;R0_EDITORIAL;55_ALTERNATIVES_LIVE	NONE
A68:S24	f68r1.32	okeeodal	ASTRO_f68r1_032_01	M24	Sad al-Suud	das glücklichste Glück	[ASTRO_LOKAL_EXEMPLAR] S24: Sad al-Suud, das glücklichste Glück; nur in Lehrrotation R0	[STERNKATALOG_RIVALE] individueller Merklocus S24 ohne Mondhaus- oder Zeitwert	NO_AUTHORIAL_START_OR_DIRECTION;R0_EDITORIAL;55_ALTERNATIVES_LIVE	NONE
A68:S25	f68r1.33	okshor	ASTRO_f68r1_033_01	M25	Sad al-Akhbiya	das Glück der Zelte	[ASTRO_LOKAL_EXEMPLAR] S25: Sad al-Akhbiya, das Glück der Zelte; nur in Lehrrotation R0	[STERNKATALOG_RIVALE] individueller Merklocus S25 ohne Mondhaus- oder Zeitwert	NO_AUTHORIAL_START_OR_DIRECTION;R0_EDITORIAL;55_ALTERNATIVES_LIVE	NONE
A68:S26	f68r1.34	osdaiin	ASTRO_f68r1_034_01	M26	al-Fargh al-Muqaddam	der vordere Ausguss	[ASTRO_LOKAL_EXEMPLAR] S26: al-Fargh al-Muqaddam, der vordere Ausguss; nur in Lehrrotation R0	[STERNKATALOG_RIVALE] individueller Merklocus S26 ohne Mondhaus- oder Zeitwert	NO_AUTHORIAL_START_OR_DIRECTION;R0_EDITORIAL;55_ALTERNATIVES_LIVE	NONE
A68:S27	f68r1.35	otochedy	ASTRO_f68r1_035_01	M27	al-Fargh al-Muakhkhar	der hintere Ausguss	[ASTRO_LOKAL_EXEMPLAR] S27: al-Fargh al-Muakhkhar, der hintere Ausguss; nur in Lehrrotation R0	[STERNKATALOG_RIVALE] individueller Merklocus S27 ohne Mondhaus- oder Zeitwert	NO_AUTHORIAL_START_OR_DIRECTION;R0_EDITORIAL;55_ALTERNATIVES_LIVE	NONE
A68:S28	f68r1.36	dolchedy	ASTRO_f68r1_036_01	M28	Batn al-Hut	der Bauch des Fisches	[ASTRO_LOKAL_EXEMPLAR] S28: Batn al-Hut, der Bauch des Fisches; nur in Lehrrotation R0	[STERNKATALOG_RIVALE] individueller Merklocus S28 ohne Mondhaus- oder Zeitwert	NO_AUTHORIAL_START_OR_DIRECTION;R0_EDITORIAL;55_ALTERNATIVES_LIVE	NONE
